Timestamp,Trial Duration,Wrist World Position X,Wrist World Position Y,Wrist World Position Z,Wrist World Position Magnitude,Wrist World Rotation X,Wrist World Rotation Y,Wrist World Rotation Z,Wrist World Rotation W,Wrist World Rotation Angle,Wrist World Rotation Axis X,Wrist World Rotation Axis Y,Wrist World Rotation Axis Z,Wrist World Position_left X,Wrist World Position_left Y,Wrist World Position_left Z,Wrist World Position_left Magnitude,Wrist World Rotation_left X,Wrist World Rotation_left Y,Wrist World Rotation_left Z,Wrist World Rotation_left W,Wrist World Rotation_left Angle,Wrist World Rotation_left Axis X,Wrist World Rotation_left Axis Y,Wrist World Rotation_left Axis Z,Thumb Tip World Position X,Thumb Tip World Position Y,Thumb Tip World Position Z,Thumb Tip World Position Magnitude,Index Tip World Position X,Index Tip World Position Y,Index Tip World Position Z,Index Tip World Position Magnitude,Middle Tip World Position X,Middle Tip World Position Y,Middle Tip World Position Z,Middle Tip World Position Magnitude,Thumb Tip World Position_left X,Thumb Tip World Position_left Y,Thumb Tip World Position_left Z,Thumb Tip World Position_left Magnitude,Index Tip World Position_left X,Index Tip World Position_left Y,Index Tip World Position_left Z,Index Tip World Position_left Magnitude,Middle Tip World Position_left X,Middle Tip World Position_left Y,Middle Tip World Position_left Z,Middle Tip World Position_left Magnitude,Thumb Tip Local Position X,Thumb Tip Local Position Y,Thumb Tip Local Position Z,Thumb Tip Local Position Magnitude,Index Tip Local Position X,Index Tip Local Position Y,Index Tip Local Position Z,Index Tip Local Position Magnitude,Middle Tip Local Position X,Middle Tip Local Position Y,Middle Tip Local Position Z,Middle Tip Local Position Magnitude,Thumb Tip Local Position_left X,Thumb Tip Local Position_left Y,Thumb Tip Local Position_left Z,Thumb Tip Local Position_left Magnitude,Index Tip Local Position_left X,Index Tip Local Position_left Y,Index Tip Local Position_left Z,Index Tip Local Position_left Magnitude,Middle Tip Local Position_left X,Middle Tip Local Position_left Y,Middle Tip Local Position_left Z,Middle Tip Local Position_left Magnitude,Thumb Tip Euro Position X,Thumb Tip Euro Position Y,Thumb Tip Euro Position Z,Thumb Tip Euro Position Magnitude,Index Tip Euro Position X,Index Tip Euro Position Y,Index Tip Euro Position Z,Index Tip Euro Position Magnitude,Middle Tip Euro Position X,Middle Tip Euro Position Y,Middle Tip Euro Position Z,Middle Tip Euro Position Magnitude,Thumb Tip Euro Position_left X,Thumb Tip Euro Position_left Y,Thumb Tip Euro Position_left Z,Thumb Tip Euro Position_left Magnitude,Index Tip Euro Position_left X,Index Tip Euro Position_left Y,Index Tip Euro Position_left Z,Index Tip Euro Position_left Magnitude,Middle Tip Euro Position_left X,Middle Tip Euro Position_left Y,Middle Tip Euro Position_left Z,Middle Tip Euro Position_left Magnitude,Triangle Local Position X,Triangle Local Position Y,Triangle Local Position Z,Triangle Local Position Magnitude,Triangle Local Rotation X,Triangle Local Rotation Y,Triangle Local Rotation Z,Triangle Local Rotation W,Triangle Local Rotation Angle,Triangle Local Rotation Axis X,Triangle Local Rotation Axis Y,Triangle Local Rotation Axis Z,Triangle Local Position_left X,Triangle Local Position_left Y,Triangle Local Position_left Z,Triangle Local Position_left Magnitude,Triangle Local Rotation_left X,Triangle Local Rotation_left Y,Triangle Local Rotation_left Z,Triangle Local Rotation_left W,Triangle Local Rotation_left Angle,Triangle Local Rotation_left Axis X,Triangle Local Rotation_left Axis Y,Triangle Local Rotation_left Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is Grabbed,Is Grabbed_right,Is Grabbed_left,Is On Target
1773020440678,0.0137123,0.1271899,0.9577283,0.2271213,0.9924741,0.500233,0.7680736,-0.1451006,-0.372526,223.743,0.5390316,0.8276462,-0.1563548,-0.0559589,0.6431613,0.1464192,0.6619867,0.3929007,0.2992851,-0.8379146,-0.2322856,206.8633,0.4039496,0.3077015,-0.861478,0.03829913,1.010099,0.2994304,1.054241,0.04251291,1.032132,0.3074161,1.077779,0.05228222,1.022076,0.3200322,1.072285,0.03216887,0.5377648,0.137095,0.5558965,0.03674696,0.5083745,0.1710165,0.5376258,0.02024231,0.4919707,0.1811142,0.5246401,0.09651931,-0.07780803,0.02242278,0.1259875,0.1183074,-0.06970334,0.01726734,0.1383957,0.112713,-0.0753661,0.0001690537,0.1355887,-0.1123808,0.06794045,-0.04143098,0.1377021,-0.1510229,0.06498364,-0.01833408,0.1654295,-0.156883,0.07231419,0.005232301,0.1728265,0.09663132,-0.07787562,0.02225702,0.1260857,0.1183971,-0.06980798,0.0172193,0.138519,0.1138858,-0.07532514,-6.439391E-05,0.1365425,-0.1123035,0.06795137,-0.04165836,0.137713,-0.1510434,0.06494978,-0.01831658,0.165433,-0.1568832,0.07231551,0.005258827,0.1728281,0.1071189,-0.07524642,0.01383272,0.1316352,-0.2157292,0.9205673,-0.02713576,0.3244694,142.1331,-0.2280685,0.9732223,-0.02868789,-0.1297426,0.06912515,-0.02467327,0.1490645,-0.1147016,-0.3538327,0.1988517,0.9066995,49.89367,-0.2719482,-0.8389091,0.4714617,-0.05056768,0.9998507,0.2999721,1.045104,-0.0009053454,-0.0113016,0.01162643,0.9998682,1.860402,-0.05576541,-0.6961301,0.7161382,0.08311298,-0.07137292,0.0118411,0.1101911,0.5622152,-0.8210369,0.07455654,-0.065222,187.4792,0.5634149,-0.8227888,0.07471564,0.08076811,-0.3740621,-0.1235783,0.4021412,0.06246811,-0.739767,0.3773873,0.5535535,112.7777,0.07500851,-0.8882744,0.4531473,0.1005677,0.00014925,2.786517E-05,0.1005678,0.8324506,-0.3799911,0.1114515,0.3875711,134.3931,0.9030317,-0.4122095,0.1209011,-0.08482334,1.089562,-0.0005016676,1.092859,0.06781988,0.07575431,0.09830926,0.989948,16.26139,0.4795242,0.535625,0.695101,False,False,False,False
1773020440691,0.0287656,0.03854495,0.9349768,0.2269327,0.9628945,0.4302857,0.8330975,-0.2347224,-0.2563361,209.7055,0.4451595,0.8618953,-0.2428361,-0.05642255,0.6382946,0.1460968,0.6572273,0.3888089,0.2907238,-0.8439683,-0.2280894,206.3692,0.3993353,0.2985947,-0.8668175,-0.08655982,0.9572523,0.2649431,0.9970052,-0.08717009,1.023719,0.2837718,1.065892,-0.07489944,1.039603,0.3058033,1.086232,0.03159091,0.5327491,0.1382479,0.5513003,0.037193,0.5045348,0.1714326,0.5341609,0.02102511,0.4884301,0.181445,0.5214674,0.08954599,-0.08631603,0.04607877,0.1326356,0.1497396,-0.06366671,0.02085068,0.1640431,0.1618837,-0.06157059,-0.006285489,0.1733112,-0.1126311,0.06797799,-0.04051004,0.1376511,-0.150575,0.06542647,-0.01854651,0.1652194,-0.156062,0.07301347,0.004547715,0.1723572,0.09606929,-0.07854514,0.02414663,0.1264188,0.1208832,-0.06932084,0.01750735,0.1404445,0.1176931,-0.07423409,-0.0005578682,0.1391499,-0.1123295,0.06795347,-0.04156728,0.1377078,-0.1510062,0.06498759,-0.01833482,0.1654159,-0.1568181,0.07237088,0.005202419,0.1727904,0.1076131,-0.07541636,0.01515753,0.1322799,-0.2166915,0.9088867,-0.0132736,0.3560809,138.2806,-0.2318908,0.9726382,-0.01420464,-0.1297486,0.06914697,-0.02462772,0.1490722,-0.1151689,-0.3539829,0.1985421,0.9066495,49.90727,-0.2729865,-0.8390512,0.4706074,-0.05069384,0.9998102,0.2999448,1.045063,-0.0004019739,-0.01515911,0.01496799,0.999773,2.441543,-0.01886787,-0.7115391,0.7025682,0.1151634,-0.06413915,-0.01039271,0.1322288,-0.4370302,-0.8253005,0.2358199,-0.2688362,211.19,-0.453734,-0.8568444,0.2448332,0.1368827,-0.3665517,-0.03657432,0.3929818,-0.382393,-0.2843513,0.8453361,-0.2415093,207.9513,-0.3940577,-0.2930253,0.8711227,0.1006938,0.0001897812,5.525351E-05,0.100694,0.8330864,-0.3757613,0.1131614,0.389827,134.1125,0.9046554,-0.4080423,0.1228829,-0.084433,1.089797,-0.0006023137,1.093063,0.06697237,0.07800364,0.09725875,0.9899348,16.2721,0.4732224,0.5511687,0.687224,False,False,False,False
1773020440706,0.0419656,0.03694727,0.9344798,0.2267577,0.962308,0.4353594,0.8293056,-0.2351128,-0.2596852,210.1028,0.4508257,0.8587671,-0.2434653,-0.05643991,0.6384907,0.1461138,0.657423,0.3889292,0.2909039,-0.8439916,-0.2275678,206.3078,0.3994089,0.2987423,-0.8667328,-0.08724928,0.9587422,0.2660692,0.9987952,-0.08727649,1.022979,0.2849068,1.065493,-0.07517628,1.03834,0.3066476,1.085281,0.03159976,0.5329673,0.1384054,0.5515512,0.03729686,0.5048245,0.1715358,0.5344748,0.02108619,0.4887013,0.1814621,0.5217299,0.08973269,-0.08635168,0.04527998,0.1325098,0.1482319,-0.06518904,0.02055795,0.1632327,0.1602321,-0.06348305,-0.006052792,0.172456,-0.1126591,0.06798674,-0.04038978,0.137643,-0.1505851,0.06541929,-0.01854667,0.1652257,-0.1560018,0.07307114,0.004548358,0.1723272,0.09552175,-0.0792197,0.02597275,0.1267862,0.1232464,-0.06896382,0.01777095,0.1423429,0.1213689,-0.07330509,-0.001032683,0.1417925,-0.112358,0.06795635,-0.04146553,0.1377017,-0.1509698,0.0650249,-0.01835313,0.1653994,-0.1567476,0.07243139,0.005145902,0.1727501,0.1080179,-0.07569652,0.01643975,0.1329214,-0.2160646,0.9000514,-0.00402781,0.3784274,135.5274,-0.2334242,0.9723652,-0.004351421,-0.1297569,0.06917074,-0.02457425,0.1490816,-0.1156986,-0.35413,0.1982667,0.9065848,49.92482,-0.274152,-0.8391239,0.4698002,-0.05197881,0.9992785,0.2995299,1.044499,-0.0005466873,-0.03086506,0.04494577,0.9985124,6.251119,-0.01002649,-0.5660788,0.8243253,0.1142904,-0.06432909,-0.01023899,0.1315499,-0.4440051,-0.8187588,0.2374388,-0.275892,212.0303,-0.4619333,-0.851819,0.2470262,0.1365179,-0.3664175,-0.03674033,0.3927451,-0.3803096,-0.2819059,0.8461727,-0.2447152,208.33,-0.3922355,-0.2907461,0.8727074,0.1019788,0.0007215142,0.0004701316,0.1019824,0.8422434,-0.3443922,0.1146302,0.3985977,133.0189,0.9183509,-0.3755125,0.1249885,-0.08403463,1.090046,-0.0006399857,1.093281,0.06621985,0.07990663,0.09656405,0.9899017,16.29892,0.4671405,0.5636924,0.6812003,False,False,False,False
1773020440718,0.0564288,0.03334567,0.9330856,0.2266587,0.9607991,0.441431,0.8254708,-0.2349173,-0.2618218,210.3564,0.4573863,0.855307,-0.2434083,-0.05656537,0.6391953,0.1460247,0.6580983,0.3890048,0.2911855,-0.8440065,-0.2270225,206.2437,0.3994342,0.2989924,-0.8666348,-0.08925267,0.9597206,0.26882,1.000647,-0.08897594,1.017678,0.286815,1.06106,-0.07795334,1.029349,0.3078467,1.077221,0.03154466,0.5337286,0.1383138,0.5522608,0.03723204,0.5056233,0.1713969,0.5351804,0.02105622,0.4894953,0.1813255,0.5224251,0.09017814,-0.08704802,0.04251949,0.1323532,0.1434612,-0.06904564,0.01971987,0.1604284,0.1529153,-0.06955288,-0.004986256,0.1680641,-0.1126271,0.06805819,-0.0403644,0.1376447,-0.1504943,0.06550488,-0.01854027,0.1651762,-0.1559227,0.07313594,0.004538901,0.1722827,0.0951125,-0.07981924,0.02724,0.1271201,0.1247946,-0.06897008,0.01792021,0.143707,0.1237849,-0.07301772,-0.001335472,0.1437222,-0.1123786,0.06796415,-0.0413812,0.137697,-0.1509334,0.06506166,-0.01836746,0.1653822,-0.1566844,0.07248534,0.005099414,0.172714,0.108225,-0.07611487,0.01733176,0.1334411,-0.2156166,0.8953125,-0.001332479,0.3897732,134.1192,-0.2341341,0.9722032,-0.001446914,-0.12976,0.0691955,-0.02452952,0.1490885,-0.1161191,-0.3542473,0.1980236,0.9065384,49.93743,-0.2750833,-0.8392035,0.4691133,-0.05217486,0.9992099,0.2992677,1.044368,-0.00889397,-0.02910448,0.05389233,0.9980829,7.096683,-0.143705,-0.4702577,0.8707693,0.1131412,-0.06370267,-0.01063078,0.1302766,-0.4704819,-0.7964497,0.2359736,-0.2977104,214.6403,-0.4928284,-0.8342788,0.2471817,0.1363361,-0.3651874,-0.03599228,0.3914649,-0.3753393,-0.2667226,0.8443948,-0.2738194,211.7833,-0.3902544,-0.2773215,0.877949,0.1021749,0.0007900596,0.0007322729,0.1021805,0.8487946,-0.3365951,0.1129913,0.391771,133.8705,0.9225399,-0.3658393,0.1228083,-0.08372127,1.090262,-0.0007000645,1.093472,0.06553268,0.08204282,0.09561659,0.9898646,16.32881,0.461452,0.577709,0.6732895,False,False,False,False
1773020440732,0.0695187,0.03169692,0.9325882,0.2265079,0.9602246,0.4491553,0.8207808,-0.2351847,-0.2631859,210.5184,0.4655688,0.8507746,-0.2437791,-0.05656276,0.6392412,0.1459661,0.6581297,0.3891186,0.2914522,-0.844022,-0.226427,206.1736,0.3994943,0.2992236,-0.8665274,-0.08929109,0.9619099,0.2708147,1.003287,-0.08894059,1.01731,0.2871481,1.060794,-0.07797319,1.027191,0.3076576,1.075107,0.0316812,0.5338809,0.1382684,0.5524045,0.0373117,0.5057755,0.1713611,0.5353182,0.02118212,0.4896392,0.1812762,0.5225478,0.09044158,-0.08756212,0.04017672,0.13214,0.1415924,-0.07059591,0.01939703,0.1594002,0.149606,-0.07183301,-0.00453651,0.1660196,-0.1126011,0.06808773,-0.04039917,0.1376482,-0.1504356,0.06554909,-0.01851656,0.1651376,-0.1558761,0.07317065,0.004530471,0.1722551,0.0947234,-0.08046426,0.02831769,0.1274712,0.1261939,-0.06910552,0.01804324,0.1450036,0.125936,-0.07291903,-0.001602134,0.1455322,-0.1123971,0.06797445,-0.04129939,0.1376927,-0.150892,0.06510226,-0.01837988,0.1653617,-0.156617,0.07254243,0.005052018,0.1726755,0.1083915,-0.07661445,0.01810968,0.1339644,-0.2149778,0.8914219,0.0002164106,0.3989379,132.9764,-0.2344416,0.9721301,0.0002360041,-0.1297588,0.06922311,-0.02448745,0.1490934,-0.1165519,-0.3543421,0.1978051,0.9064935,49.94961,-0.2760456,-0.8392363,0.4684885,-0.05238364,0.9990707,0.2989213,1.044146,-0.01879922,-0.02738867,0.06250784,0.9974915,8.118341,-0.2655764,-0.3869196,0.8830479,0.1118438,-0.06437842,-0.0106459,0.1294872,-0.4833423,-0.7894331,0.2263226,-0.3032392,215.3045,-0.5072252,-0.8284405,0.2375056,0.1361628,-0.3650212,-0.03629509,0.3912776,-0.377501,-0.2708396,0.8389342,-0.2834226,212.9292,-0.3936423,-0.2824202,0.8748055,0.1023836,0.000929296,0.001078665,0.1023935,0.8556725,-0.328826,0.1121131,0.3835736,134.8896,0.9265435,-0.356061,0.1213988,-0.0834538,1.090461,-0.000727463,1.09365,0.06470131,0.08400536,0.09477323,0.9898358,16.35207,0.4549542,0.5906926,0.6664081,False,False,False,False
1773020440747,0.08414569,0.02966682,0.9320461,0.2259255,0.9594959,0.4550235,0.8163021,-0.2368243,-0.2655539,210.7997,0.4719691,0.846702,-0.2456439,-0.05654634,0.6390422,0.1459625,0.6579342,0.3890805,0.2916445,-0.8441113,-0.225911,206.1129,0.399406,0.2993842,-0.8665126,-0.088601,0.9639692,0.274014,1.006067,-0.08925702,1.015969,0.2873628,1.059593,-0.07790859,1.023548,0.3068471,1.07139,0.03184294,0.5337986,0.1382424,0.5523277,0.03741724,0.5056694,0.1714054,0.5352396,0.02134063,0.4895319,0.1812858,0.5224571,0.09082829,-0.08807361,0.03622348,0.1316012,0.1392,-0.07223151,0.01914197,0.1579887,0.1449835,-0.07387981,-0.003873423,0.1627681,-0.1125755,0.06810516,-0.04045899,0.1376535,-0.1504184,0.06555904,-0.01846939,0.1651206,-0.1558552,0.07318544,0.004525721,0.1722424,0.09442738,-0.08104254,0.0289185,0.1277525,0.1271823,-0.06934308,0.01812674,0.1459876,0.1273835,-0.07299205,-0.001774742,0.1468249,-0.1124107,0.06798438,-0.04123552,0.1376895,-0.150856,0.06513698,-0.01838668,0.1653433,-0.1565592,0.0725913,0.005012022,0.1726424,0.1084892,-0.07709046,0.01857875,0.1343801,-0.2135194,0.888741,0.001544,0.4056435,132.1371,-0.2336019,0.9723309,0.00168922,-0.1297533,0.06924728,-0.02445741,0.1490948,-0.1169363,-0.3543946,0.1976966,0.9064472,49.96218,-0.2768908,-0.8391631,0.4681214,-0.05328038,0.9977379,0.298135,1.042691,-0.0240364,-0.03954171,0.08144325,0.9956033,10.7496,-0.2566059,-0.4221362,0.8694654,0.1106376,-0.06474472,-0.01097332,0.1286584,-0.4934288,-0.7829908,0.2167477,-0.3106027,216.1911,-0.5191038,-0.8237327,0.2280259,0.1362242,-0.3648775,-0.03662784,0.3911958,-0.3789685,-0.2762735,0.8330464,-0.2934101,214.1245,-0.3964161,-0.2889931,0.8713996,0.1032804,0.002262056,0.00186497,0.103322,0.8622836,-0.3071806,0.1168031,0.3853106,134.674,0.9344341,-0.3328836,0.1265764,-0.08306124,1.090589,-0.0008018152,1.093748,0.06382991,0.08561759,0.0934952,0.9898757,16.31981,0.4497085,0.6032117,0.6587128,False,False,False,False
1773020440761,0.0988754,0.02606593,0.9306666,0.2258964,0.9580443,0.4612763,0.8111256,-0.2396197,-0.2681081,211.1034,0.4788059,0.8419504,-0.2487259,-0.05655876,0.6383777,0.1460064,0.6572997,0.3891394,0.2918327,-0.8441887,-0.2252763,206.0383,0.3994062,0.2995323,-0.8664613,-0.0879904,0.9657291,0.279947,1.009329,-0.09098352,1.013647,0.2879876,1.057684,-0.07901009,1.019986,0.3062225,1.067889,0.03193065,0.5332193,0.1383897,0.5518098,0.03754143,0.5051073,0.171607,0.5347819,0.02153047,0.4889637,0.1814703,0.5219967,0.09142506,-0.08895876,0.02979075,0.130995,0.1364485,-0.0739044,0.01901817,0.1563385,0.1407494,-0.07516833,-0.00325188,0.1595971,-0.1125867,0.06810264,-0.04040961,0.1376469,-0.1504629,0.06552237,-0.01841191,0.1651401,-0.1559164,0.07314166,0.004532715,0.1722793,0.09417468,-0.08170883,0.02899192,0.1280068,0.1279623,-0.069727,0.01820177,0.1468588,0.1285085,-0.07317522,-0.001899071,0.1478941,-0.1124255,0.06799433,-0.041166,0.1376857,-0.1508229,0.06516942,-0.01838881,0.1653262,-0.156505,0.07263762,0.004971679,0.1726116,0.1085848,-0.07763568,0.01871627,0.1347897,-0.2104722,0.8857543,0.004268964,0.4136695,131.1289,-0.2311797,0.9728999,0.004688969,-0.1297478,0.06927028,-0.02442587,0.1490956,-0.1173367,-0.3544863,0.1976458,0.9063706,49.98296,-0.2777309,-0.8390538,0.4678191,-0.05331995,0.9974162,0.2980159,1.042351,-0.01968546,-0.03866129,0.08311033,0.9955956,10.759,-0.2099733,-0.4123773,0.8864891,0.1084312,-0.064302,-0.01098911,0.1265418,-0.5093896,-0.7651497,0.2154737,-0.3296054,218.4897,-0.5395396,-0.8104377,0.2282273,0.1364031,-0.3638068,-0.03650188,0.3902481,-0.3724008,-0.2702403,0.8305025,-0.3139324,216.5928,-0.3922298,-0.2846296,0.8747238,0.1033199,0.002583802,0.001984119,0.1033713,0.8613627,-0.3065948,0.1137199,0.3887439,134.2473,0.9348962,-0.3327684,0.123428,-0.08273987,1.090736,-0.0007389081,1.09387,0.06317279,0.08692063,0.09286223,0.9898639,16.32939,0.4448195,0.6120355,0.6538723,False,False,False,False
1773020440775,0.1114067,0.02513179,0.9298227,0.2263963,0.9573177,0.4659593,0.8071761,-0.2417461,-0.2700143,211.3302,0.4839344,0.8383142,-0.2510719,-0.05660078,0.6382666,0.1460217,0.6571988,0.3891394,0.2922113,-0.8442012,-0.2247385,205.975,0.3993553,0.2998826,-0.8663635,-0.08709451,0.9671906,0.2823929,1.01133,-0.09070896,1.014406,0.2885326,1.058536,-0.07826243,1.01957,0.3063321,1.067468,0.03201214,0.533212,0.1384418,0.5518206,0.03759618,0.505088,0.1716012,0.5347657,0.02164781,0.4889454,0.181486,0.5219898,0.09191009,-0.08893818,0.02773561,0.1308691,0.1364017,-0.07393195,0.01905306,0.156315,0.1394823,-0.07530158,-0.003015921,0.1585394,-0.1125945,0.06809579,-0.04039343,0.1376452,-0.1504222,0.06556734,-0.0183853,0.165118,-0.1559077,0.07314137,0.004531663,0.1722713,0.09398285,-0.08232123,0.0288855,0.1282339,0.1286772,-0.0700832,0.01827388,0.1476597,0.1294381,-0.07335535,-0.001993679,0.1487925,-0.1124398,0.06800292,-0.04110056,0.1376821,-0.1507889,0.06520312,-0.01838851,0.1653085,-0.1564544,0.07268029,0.004934406,0.1725826,0.1086946,-0.07812934,0.01874109,0.1351663,-0.2070845,0.8829986,0.007297505,0.4211606,130.1842,-0.2283216,0.9735525,0.008045884,-0.1297419,0.06929156,-0.02439614,0.1490954,-0.1176849,-0.354579,0.1975268,0.9063151,49.998,-0.2784766,-0.8390368,0.4674058,-0.05338877,0.9956136,0.2980227,1.040632,0.009632568,-0.04047054,0.08040227,0.995894,10.38784,0.1064057,-0.4470559,0.8881599,0.1076992,-0.06440206,-0.01030473,0.1259084,-0.5163301,-0.7592146,0.2203653,-0.3292958,218.4521,-0.5468283,-0.8040594,0.2333817,0.1361011,-0.3636099,-0.03695704,0.3900019,-0.3746493,-0.2665126,0.8310972,-0.3128681,216.4643,-0.3944521,-0.2805997,0.8750265,0.1033888,0.004386425,0.001977265,0.1035007,0.8491311,-0.3113779,0.1047332,0.4135832,131.1397,0.9326332,-0.3419983,0.1150325,-0.08241094,1.090856,-0.0006940537,1.093965,0.06275333,0.08834653,0.0919131,0.989853,16.33819,0.4416291,0.6217423,0.6468422,True,True,False,False
1773020440788,0.1263735,0.02437026,0.9277164,0.2279127,0.9556128,0.4703836,0.8033901,-0.2437674,-0.2718106,211.5441,0.488786,0.8348204,-0.2533041,-0.05681742,0.6382794,0.1460299,0.6572317,0.3890526,0.2930157,-0.8441205,-0.2241434,205.905,0.3992101,0.3006659,-0.866159,-0.08490256,0.9696575,0.2862823,1.014594,-0.09019496,1.013019,0.2900858,1.057588,-0.07723044,1.017416,0.3071746,1.065578,0.03188881,0.5333129,0.138511,0.5519283,0.03739315,0.5051954,0.1714945,0.5348186,0.0216152,0.4890629,0.1813299,0.5220443,0.09413451,-0.08749948,0.02427252,0.1307923,0.1356105,-0.07424077,0.0191123,0.1557793,0.1377491,-0.0752946,-0.002653599,0.1570068,-0.1126409,0.0680834,-0.04024913,0.1376347,-0.1503079,0.0656506,-0.0182474,0.1650316,-0.1558426,0.07318428,0.004524196,0.1722305,0.09399392,-0.08269919,0.0285488,0.1284097,0.1291832,-0.07038666,0.01833508,0.1482524,0.1300447,-0.07349689,-0.002041846,0.1493907,-0.1124545,0.0680088,-0.04103841,0.1376785,-0.1507538,0.06523579,-0.01837821,0.1652882,-0.1564098,0.07271707,0.004904465,0.1725568,0.1089047,-0.07843807,0.01858079,0.1354917,-0.2028919,0.8811231,0.01008078,0.4270308,129.4414,-0.2243792,0.9744382,0.01114838,-0.1297347,0.0693094,-0.02436732,0.1490928,-0.1180034,-0.3546544,0.1974287,0.9062656,50.01144,-0.2791601,-0.8390044,0.4670562,-0.05323021,0.9953034,0.2979157,1.040296,0.01186076,-0.03818652,0.07575163,0.9963247,9.827647,0.1384678,-0.4458064,0.8843581,0.1067152,-0.06407283,-0.008857403,0.1247875,-0.5257995,-0.7489231,0.2476877,-0.3182766,217.1175,-0.554642,-0.790005,0.2612745,0.134777,-0.3622811,-0.03726592,0.3883313,-0.3790114,-0.2433296,0.8412005,-0.2992032,214.8195,-0.3972078,-0.2550119,0.8815867,0.1032302,0.004696608,0.002084285,0.103358,0.8470451,-0.3165129,0.1037875,0.4142009,131.062,0.9306291,-0.3477455,0.1140289,-0.08218861,1.090968,-0.0006553419,1.09406,0.06219097,0.0897775,0.09128045,0.9898183,16.36619,0.4369279,0.6307394,0.6412985,True,True,False,False
1773020440801,0.1389504,0.02347307,0.9263017,0.228191,0.9542834,0.4742928,0.8000973,-0.2453894,-0.2732668,211.7175,0.4930595,0.8317553,-0.2550989,-0.05682166,0.6381415,0.1460954,0.6571127,0.3890165,0.2936461,-0.8440794,-0.223535,205.8335,0.3991158,0.3012695,-0.8659927,-0.08466662,0.9707003,0.286869,1.015737,-0.08988634,1.013197,0.2899972,1.057708,-0.07692172,1.01725,0.307245,1.065417,0.03205209,0.533316,0.1385684,0.5519552,0.03748767,0.505174,0.1714955,0.5348054,0.02172386,0.4890544,0.1811918,0.5219929,0.09498759,-0.08674596,0.02368633,0.1307996,0.1356717,-0.07378761,0.01922819,0.1556315,0.1376231,-0.07518891,-0.002594247,0.1568445,-0.1126442,0.06807932,-0.04025024,0.1376357,-0.1502419,0.06569701,-0.01819464,0.1649841,-0.1556853,0.07327995,0.004504036,0.1721283,0.09407934,-0.08304703,0.02813084,0.1286043,0.1297409,-0.07067899,0.01841184,0.1488866,0.1306961,-0.07364233,-0.002089328,0.1500301,-0.1124708,0.06801486,-0.04097066,0.1376746,-0.1507098,0.06527543,-0.01836243,0.165262,-0.1563475,0.07276545,0.004870045,0.1725198,0.1092011,-0.07872149,0.01836399,0.1358646,-0.1986405,0.8790553,0.01263918,0.4331791,128.661,-0.2203913,0.9753106,0.01402315,-0.1297206,0.0693314,-0.02433803,0.1490859,-0.1184344,-0.3546475,0.1973781,0.9062231,50.02295,-0.2801193,-0.8388072,0.4668359,-0.05319519,0.9949794,0.2977434,1.039935,0.01168193,-0.0397258,0.07327848,0.9964516,9.656396,0.1387924,-0.4719802,0.870618,0.1066212,-0.06373322,-0.008727622,0.1245238,-0.5270289,-0.7478826,0.2513884,-0.3157786,216.8156,-0.5554497,-0.7882132,0.2649449,0.1344608,-0.3620734,-0.0380792,0.3881068,-0.3802497,-0.2445508,0.8423821,-0.2932531,214.1056,-0.3977363,-0.255797,0.8811207,0.1031952,0.005020618,0.002256632,0.1033419,0.8460806,-0.3180047,0.1060936,0.4144452,131.0312,0.9296831,-0.3494272,0.1165769,-0.08187065,1.091067,-0.0005365089,1.094134,0.06189844,0.09093214,0.09067508,0.9897868,16.39145,0.4342071,0.6378735,0.6360703,True,True,False,False
