Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773020852667,0,1,1,135,-0.04563588,-0.9118404,-0.4080006,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.04216205,-0.8424307,-0.3769433,0.3826834,135,-0.04563588,-0.9118404,-0.4080006
Trial Start,1773020856461,0,1,1,135,-0.04563588,-0.9118404,-0.4080006,1,-1,-0.04852224,1.001623,0.2987494,1.046352,0.0008428062,-0.008687137,-0.01098983,0.9999015,1.608112,0.06005755,-0.619037,-0.7831247,0.09852224,-0.001622558,0.001250565,0.09854353,-0.04846404,-0.8382422,-0.3737769,0.394071,133.5839,-0.05273104,-0.9120449,-0.4066859
On Target,1773020861972,5.517068,1,1,135,-0.04563588,-0.9118404,-0.4080006,1,-1,0.0584003,0.9959244,0.2958969,1.040592,0.09919351,0.816219,0.4322021,-0.3703357,223.4726,0.1067862,0.8786961,0.4652848,-0.008400302,0.004075587,0.004103124,0.01019858,0.03408642,0.01879655,-0.07495116,-0.9964271,350.3105,0.4035977,0.2225592,-0.8874537
Off Target,1773020862167,5.711843,1,1,135,-0.04563588,-0.9118404,-0.4080006,1,-1,0.04890088,0.9952352,0.3028381,1.041439,0.1024195,0.8735797,0.3263119,-0.3462505,220.5163,0.1091727,0.9311805,0.3478277,0.001099121,0.004764795,-0.002838135,0.005653879,-0.07899055,-0.01776403,-0.04380672,-0.9957539,349.4363,-0.8580806,-0.192972,-0.4758759
On Target,1773020862515,6.059299,1,1,135,-0.04563588,-0.9118404,-0.4080006,1,-1,0.05064735,1.002673,0.298408,1.047361,0.09565524,0.8714688,0.3503745,-0.3295907,218.4879,0.1013164,0.9230449,0.3711107,-0.0006473474,-0.00267303,0.00159201,0.003177836,-0.05603763,-0.03455519,-0.05368545,-0.9963852,350.2538,-0.6596593,-0.4067741,-0.63197
Trial End,1773020863502,7.046369,1,2,135,-0.04563588,-0.9118404,-0.4080006,1,-1,0.04870141,0.9963539,0.2976845,1.041013,0.05270671,0.8258258,0.4263743,-0.3652927,222.8512,0.05661952,0.8871331,0.4580273,0.001298595,0.003646135,0.002315521,0.004510243,0.04313273,-0.006405434,-0.03505494,-0.9984336,353.5854,0.7709336,-0.1144876,-0.6265551
Trial Load,1773020863504,7.046369,1,2,135,0.7032725,0.6896484,0.1726059,0.9999999,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.6497391,0.6371521,0.1594671,0.3826834,135,0.7032725,0.6896485,0.1726059
Trial Start,1773020864461,0,1,2,135,0.7032725,0.6896484,0.1726059,0.9999999,-1,-0.04853605,0.9996201,0.2998346,1.044747,0.003094466,-0.00430494,-0.002786084,0.9999821,0.6864226,0.5165917,-0.7186689,-0.4651103,0.09853605,0.00037992,0.0001654327,0.09853692,0.6496319,0.6364844,0.1652991,0.3815,135.1468,0.7027842,0.6885611,0.1788238
On Target,1773020868252,3.806279,1,2,135,0.7032725,0.6896484,0.1726059,0.9999999,-1,0.05066529,0.9995672,0.2960446,1.043716,0.6077405,0.6956954,0.1169195,0.3646769,137.2246,0.6526884,0.7471484,0.1255668,-0.0006652884,0.0004328489,0.003955364,0.004034213,0.04081761,-0.05482384,-0.05138652,0.9963372,9.810889,0.4773341,-0.6411274,-0.6009303
Trial End,1773020869253,4.806049,1,3,135,0.7032725,0.6896484,0.1726059,0.9999999,-1,0.05169158,1.001753,0.2943531,1.045383,0.6214955,0.6640971,0.1538415,0.3860717,134.5794,0.6737307,0.7199128,0.1667715,-0.001691584,-0.001753449,0.005646944,0.006150123,0.02089102,-0.007303778,-0.03280952,0.9992167,4.53628,0.5278656,-0.1845488,-0.8290173
Trial Load,1773020869254,4.806049,1,3,135,-0.5737562,-0.007459035,-0.8189921,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.5300817,-0.00689125,-0.7566501,0.3826833,135,-0.5737563,-0.007459035,-0.8189923
Trial Start,1773020870059,0,1,3,135,-0.5737562,-0.007459035,-0.8189921,1,-1,-0.0472478,1.001535,0.2965289,1.045578,0.004309488,-0.02176748,-0.01481081,0.9996441,3.057343,0.1615413,-0.8159545,-0.5551837,0.09724779,-0.001534939,0.003471136,0.09732183,-0.5151739,0.01255297,-0.7622812,0.3916194,133.8894,-0.5598941,0.01364264,-0.8284519
On Target,1773020873711,3.667193,1,3,135,-0.5737562,-0.007459035,-0.8189921,1,-1,0.04376801,0.9952101,0.2984037,1.039906,-0.5018553,0.04282596,-0.7976449,0.3317679,141.2478,-0.5319864,0.04539721,-0.845535,0.00623199,0.004789948,0.001596302,0.008020566,-0.02171351,0.024413,0.0803728,0.9962293,9.954414,-0.250273,0.2813878,0.9263885
