Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,-0.04563588,-0.9118404,-0.4080006,1,7.046369,False,0.001298595,0.003646135,0.002315521,0.004510243,0.04313273,-0.006405434,-0.03505494,-0.9984336,353.5854,0.7709336,-0.1144876,-0.6265551,0.5854284,0.8622196,0.6095673,1.871499,1036.616,0,0,0.2222926,0.07003451,0.1476619,0.3767019,116.4049,0,0,0.6958106,629.1194,0.1685583,45.46658
1,3,135,0.7032725,0.6896484,0.1726059,0.9999999,4.806049,False,-0.001691584,-0.001753449,0.005646944,0.006150123,0.02089102,-0.007303778,-0.03280952,0.9992167,4.53628,0.5278656,-0.1845488,-0.8290173,0.3842506,0.3576021,0.328249,1.076681,726.2471,0,0,0.0415973,0.03197032,0.08205465,0.1425977,42.70778,0,0,0.518626,525.9388,0.08938593,23.56786
1,4,135,-0.5737562,-0.007459035,-0.8189921,1,4.65344,False,0.002985891,0.005243301,0.002734214,0.006624476,-0.03153393,0.00702301,0.02760918,0.9990966,4.871163,-0.7420465,0.1652633,0.6496906,0.4809963,0.7102672,0.6564418,1.407421,746.9495,0,0,0.03031458,0.03398421,0.03771295,0.2369343,41.60187,0,0,0.5238289,459.1459,0.1368991,38.22289
1,5,135,0.2304034,0.895244,-0.3813823,1,3.208378,False,0.002530582,-0.0003501177,0.006894886,0.007352951,-0.0209017,0.01363257,0.02356002,0.999411,3.933448,-0.6090432,0.397232,0.6865025,0.2237802,0.2938279,0.2943706,0.7934434,454.6491,0,0,0.01407294,0.01413317,0.01827912,0.1604642,21.70299,0,0,0.3657143,333.778,0.071283,16.14856
1,6,135,0.4580579,-0.4522605,0.7652733,0.9999999,6.861526,False,0.00412878,0.0007351041,-4.971027E-05,0.004194004,0.01028218,0.04381626,0.04362182,0.9980339,7.187044,0.1640487,0.6990736,0.6959713,0.6626914,0.9500175,0.7780473,2.318437,1134.037,0,0,0.2309224,0.1844033,0.258247,3.078647,575.9901,0,0,0.9499135,650.1942,0.2558486,68.50605
1,7,135,-0.1363024,0.0300004,0.9902129,1,3.985479,False,0.002726339,0.0008611679,-0.0001651645,0.002863881,0.002638887,-0.01840012,0.003131059,0.9998224,2.159843,0.1400213,-0.9763238,0.1661363,0.3711792,0.5560834,0.4382482,0.9012877,542.4981,0,0,0.04351301,0.07043105,0.09698417,0.1871087,91.82804,0,0,0.4147264,330.7566,0.09034273,22.02533
1,8,135,-0.9281663,0.1943476,-0.3173898,1,5.637186,False,-0.001292359,-0.0009192228,0.001923919,0.002493316,0.02721744,0.01936211,0.009000521,0.9994016,3.964966,0.7867686,0.5596963,0.2601761,0.8200232,0.7220091,0.5390799,1.335127,901.9703,0,0,0.02144551,0.01825569,0.04211302,0.1086495,12.2368,0,0,0.6044189,417.5941,0.1151299,30.13517
1,9,135,-0.9346356,0.3338142,-0.1225742,1,5.736228,False,-0.00103597,0.001725435,0.001995772,0.002834337,-0.05775457,-0.06429717,-0.004056455,0.99625,9.927217,-0.6675056,-0.7431225,-0.04688298,0.3409728,0.3949398,0.3337155,1.026804,563.8395,0,0,0.0250011,0.02618663,0.04427216,0.1853383,28.21938,0,0,0.6041826,425.2126,0.1411948,33.70139
1,10,135,0.02926289,-0.9360503,0.3506474,1,5.20773,False,-0.0008093528,0.001094818,-0.008336604,0.008447049,0.05630659,-0.02666704,-0.02932268,-0.9976265,352.1033,0.8177353,-0.3872828,-0.4258505,0.3824381,0.3102649,0.2674266,1.131811,652.0322,0,0,0.3278282,0.3468758,0.4608612,10.27975,1596.388,0,0,0.7510036,479.2152,0.1964786,44.74765
1,11,135,-0.8508199,-0.4098993,-0.3287674,1,7.583581,False,0.005297624,0.004728973,-0.002748221,0.007614507,0.005417489,-0.01868825,-0.02627173,0.9994655,3.746714,0.1657219,-0.5716769,-0.8036567,0.9576619,1.178084,1.10974,2.305951,1170.397,0,0,0.05145055,0.03119456,0.08157973,0.1648382,32.62973,0,0,0.8749626,607.7706,0.2438636,63.42587
2,2,135,0.7563562,0.275571,-0.5932839,0.9999999,3.929208,False,-0.000325378,-0.0001548529,0.002640009,0.002664488,0.03450673,0.008718906,-0.01482932,0.9992566,4.419314,0.8949665,0.2261335,-0.3846131,0.3728267,0.5098732,0.3903903,0.9167147,626.6918,0,0,0.02598347,0.01634797,0.0255065,0.0726612,15.83334,0,0,0.4244742,322.306,0.09708275,28.90718
