Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773020879491,0.0145712,0.02413421,0.8815627,0.259042,0.9191507,0.1043409,0.3374398,0.7819762,-0.5135763,241.8047,0.1216033,0.3932664,0.9113476,-0.05701489,0.9917462,0.2763214,1.031099,-0.06644703,0.9954206,0.3127903,1.045521,-0.06622687,1.00026,0.365473,1.066995,-0.0347386,-0.08900599,0.09609479,0.1355103,-0.01494191,-0.08291651,0.1269765,0.1523859,0.007862332,-0.06212316,0.1688009,0.1800412,0,0,0,0,0,0,0,0,0,1,0,0,-0.05980037,0.631372,0.1360486,0.6486261,-0.299096,-0.2804154,-0.08265153,-0.9083378,310.5533,-0.7151347,-0.6704696,-0.1976188,0.04814115,0.5413804,0.1526334,0.5645416,0.04200089,0.5056598,0.202043,0.5461477,0.02615596,0.4912312,0.2119833,0.5356576,0.0523213,-0.05991293,0.114026,0.1390288,0.0138344,-0.05972826,0.1603208,0.1716439,-0.008070472,-0.06568871,0.1651491,0.1779168,0,0,0,0,0,0,0,0,0,1,0,0,-0.04925822,1.000384,0.2996982,1.045473,-0.0007957739,-0.0005206291,0.005592878,-0.999984,359.3511,-0.1405266,-0.09193847,0.9876525,0.09925822,-0.0003842115,0.0003018081,0.09925942,-0.4209103,0.4209563,-0.7085966,-0.3788421,224.524,-0.4548113,0.454861,-0.7656685,-0.004937056,1.090306,-0.001921903,1.090319,0.09759627,0.04454074,0.04823206,0.9930583,13.50988,0.8297374,0.3786735,0.4100561,False
1773020879503,0.027714,0.02409186,0.8813573,0.2577291,0.9185833,0.1050139,0.3375237,0.7862778,-0.5067713,240.898,0.1218145,0.3915222,0.9120699,-0.05633406,0.991985,0.275293,1.031016,-0.06521627,0.9936811,0.3063888,1.041887,-0.06521565,1.001405,0.3628662,1.067116,-0.03347097,-0.08934724,0.09618352,0.1354788,-0.01513262,-0.08438718,0.1217056,0.1488706,0.007502793,-0.06280296,0.168162,0.1796634,0,0,0,0,0,0,0,0,0,1,0,0,-0.05987719,0.6312962,0.1363387,0.6486204,-0.29915,-0.2809852,-0.08252368,-0.9081556,310.5034,-0.714588,-0.6711973,-0.1971267,0.04809203,0.5413228,0.1528169,0.5645319,0.04197053,0.5055699,0.202169,0.5461087,0.02611556,0.4911247,0.212044,0.535582,0.05230857,-0.05989043,0.1140402,0.139026,0.0138041,-0.05976689,0.1602831,0.1716196,-0.008086584,-0.06578791,0.1650506,0.1778627,0,0,0,0,0,0,0,0,0,1,0,0,-0.04763397,1.001276,0.2981359,1.045805,0.001142679,-0.001745543,-0.01333918,0.9999089,1.547087,0.08463798,-0.129292,-0.9880307,0.09763397,-0.001276493,0.001864105,0.09766011,0.4159068,-0.4235811,0.7123219,0.3744303,136.0218,0.4485356,-0.4568119,0.768205,-0.005079734,1.090278,-0.001918071,1.090291,0.09758932,0.04502822,0.04844857,0.9930264,13.54091,0.8277867,0.3819451,0.4109577,False
1773020879517,0.0416805,0.02398908,0.8811917,0.2557081,0.9178567,0.1064093,0.3358234,0.7908953,-0.500384,240.0508,0.1229023,0.3878748,0.9134814,-0.05536235,0.9924749,0.2741062,1.031119,-0.06351207,0.9934686,0.3023072,1.040386,-0.06392306,1.002211,0.3601803,1.066884,-0.03245094,-0.08952256,0.09638881,0.1354923,-0.01536271,-0.08493211,0.1191844,0.1471544,0.00732483,-0.06348266,0.1674756,0.1792534,0,0,0,0,0,0,0,0,0,1,0,0,-0.05973379,0.6304382,0.1367899,0.6478672,-0.2991808,-0.2808254,-0.08285333,-0.9081649,310.506,-0.714696,-0.6708478,-0.1979236,0.04825685,0.5404772,0.153205,0.5638405,0.04210521,0.5047195,0.2025922,0.545489,0.02624065,0.4902606,0.2123753,0.5349274,0.05232765,-0.05997238,0.1139898,0.1390271,0.01378614,-0.05981289,0.1602453,0.1715989,-0.008078816,-0.06588339,0.1649556,0.1778096,0,0,0,0,0,0,0,0,0,1,0,0,-0.04586237,1.002122,0.2963839,1.046038,0.002655266,-0.00241638,-0.02135164,0.9997656,2.481294,0.1226362,-0.111603,-0.9861472,0.09586237,-0.002122164,0.003616095,0.09595402,0.4114452,-0.4277247,0.7149388,0.3696309,136.6143,0.4428052,-0.4603256,0.7694309,-0.005316501,1.090302,-0.0020025,1.090316,0.09755003,0.04509085,0.04902545,0.9929992,13.56736,0.8258471,0.3817338,0.4150437,False
1773020879530,0.0555482,0.02376073,0.8809845,0.2535439,0.9170511,0.1079214,0.334001,0.7956468,-0.4937029,239.1685,0.1241003,0.3840722,0.914925,-0.05431633,0.9930304,0.2729204,1.031283,-0.06178752,0.9928613,0.2976066,1.038345,-0.06262444,1.003011,0.357389,1.066621,-0.03147232,-0.08956271,0.0967089,0.135516,-0.01559893,-0.08550438,0.1160404,0.1449817,0.007144912,-0.0641375,0.1667949,0.1788441,0,0,0,0,0,0,0,0,0,1,0,0,-0.05953118,0.6293128,0.1373731,0.6468771,-0.2992257,-0.2806082,-0.08321203,-0.9081844,310.5113,-0.7148756,-0.6703969,-0.1988006,0.04846661,0.5393403,0.1536914,0.5629014,0.04229375,0.5035993,0.2031498,0.544675,0.02641808,0.4891268,0.2128343,0.5340799,0.05234794,-0.06009866,0.1139159,0.1390287,0.01377154,-0.05986176,0.1602056,0.1715777,-0.008066094,-0.06598368,0.1648555,0.1777533,0,0,0,0,0,0,0,0,0,1,0,0,-0.04411162,1.002939,0.2945126,1.046217,0.004217627,-0.003046097,-0.02971452,0.9995449,3.457233,0.1398142,-0.100978,-0.9850355,0.09411162,-0.002938747,0.005487442,0.09431726,0.4068144,-0.4320353,0.7175968,0.364558,137.2392,0.4368801,-0.463965,0.770631,-0.005591713,1.09032,-0.002113073,1.090337,0.09755511,0.04498493,0.0494644,0.9929817,13.58429,0.8248653,0.3803646,0.4182402,False
1773020879546,0.0695236,0.02489061,0.8813896,0.2499747,0.9164903,0.1067765,0.3324534,0.7990376,-0.4895023,238.6158,0.1224498,0.381253,0.9163254,-0.05282819,0.9935932,0.2700259,1.030986,-0.05966927,0.9939305,0.294082,1.03824,-0.06097164,1.003656,0.3535247,1.065844,-0.03061087,-0.08978549,0.09680942,0.1355379,-0.01577437,-0.08553372,0.1159319,0.1449312,0.007039826,-0.06456681,0.1663648,0.1785936,0,0,0,0,0,0,0,0,0,1,0,0,-0.05963279,0.6297425,0.1373466,0.6472988,-0.2991627,-0.2808925,-0.08341913,-0.9080982,310.4877,-0.7144061,-0.6707765,-0.1992064,0.04843073,0.5398436,0.1536124,0.5633591,0.04221823,0.5040497,0.2029942,0.5450277,0.02636516,0.4895751,0.2126533,0.5344159,0.05235757,-0.06009435,0.1139105,0.139026,0.0137346,-0.05994341,0.1601273,0.1715302,-0.008078209,-0.0660779,0.1647581,0.1776986,0,0,0,0,0,0,0,0,0,1,0,0,-0.04196636,1.003787,0.2912902,1.04604,0.0067345,-0.004907974,-0.03451192,0.9993696,4.069225,0.1896885,-0.1382413,-0.972086,0.09196636,-0.003786922,0.008709848,0.09245547,0.4024561,-0.4350592,0.719045,0.3629421,137.438,0.4319071,-0.466896,0.7716634,-0.005887686,1.090319,-0.002267975,1.090337,0.0974624,0.04485317,0.05004167,0.9929678,13.59774,0.8232715,0.3788777,0.4227054,False
1773020879559,0.0834742,0.02697532,0.8816804,0.246248,0.9158199,0.1038812,0.3316343,0.8014444,-0.4867385,238.2529,0.1189187,0.3796408,0.9174592,-0.05046266,0.9939556,0.266749,1.030364,-0.05725659,0.9944664,0.2903217,1.037559,-0.05895158,1.003878,0.3497331,1.064688,-0.03021421,-0.08970619,0.09696122,0.1355049,-0.0158701,-0.08555849,0.1158877,0.1449209,0.006956317,-0.06467873,0.1662693,0.1785419,0,0,0,0,0,0,0,0,0,1,0,0,-0.05950401,0.6292647,0.1373096,0.6468142,-0.2987043,-0.2809191,-0.08336234,-0.9082462,310.5282,-0.7138584,-0.6713544,-0.1992235,0.04857675,0.5393974,0.1536022,0.5629413,0.04228669,0.5036085,0.2029982,0.5446264,0.02644521,0.4891458,0.2125718,0.5339941,0.05239262,-0.06013315,0.1138693,0.1390223,0.01370128,-0.06002773,0.1600501,0.1714849,-0.0080572,-0.06621496,0.16462,0.1776206,0,0,0,0,0,0,0,0,0,1,0,0,-0.0395224,1.004199,0.2877828,1.045369,0.009403839,-0.007922099,-0.03701324,0.9992391,4.470392,0.2411153,-0.2031234,-0.9490229,0.08952241,-0.004199147,0.01221725,0.09044974,0.3982032,-0.4367971,0.7200702,0.3635128,137.3678,0.4274451,-0.468873,0.7729481,-0.006165544,1.090308,-0.002444386,1.090328,0.09762348,0.04484899,0.05088222,0.9929095,13.65411,0.8212424,0.3772852,0.4280388,False
1773020879573,0.0973055,0.02966657,0.8820893,0.2423997,0.91527,0.1019762,0.3338898,0.8016485,-0.485261,238.0591,0.1166283,0.3818636,0.9168306,-0.04758384,0.9945343,0.2627556,1.029759,-0.05474862,0.9951171,0.2857118,1.036767,-0.0568291,1.004604,0.3449586,1.063699,-0.03010329,-0.08930404,0.09738218,0.1355164,-0.01593612,-0.0855938,0.1159315,0.144984,0.006864923,-0.06477673,0.1661909,0.1785009,0,0,0,0,0,0,0,0,0,1,0,0,-0.05959794,0.6293104,0.1373868,0.6468838,-0.2986983,-0.2816451,-0.08323015,-0.9080353,310.4705,-0.7130648,-0.6723548,-0.1986904,0.04850363,0.5394634,0.1535597,0.5629866,0.04225019,0.50365,0.2028762,0.5446165,0.02643419,0.4891899,0.2124528,0.5339866,0.05235397,-0.0601171,0.1138827,0.1390117,0.01365799,-0.06008709,0.1599911,0.1714473,-0.008082594,-0.06628254,0.1645483,0.1775805,0,0,0,0,0,0,0,0,0,1,0,0,-0.03698725,1.004743,0.2832801,1.044569,0.008551106,-0.01109508,-0.03739301,0.9992025,4.576828,0.2141551,-0.2778668,-0.9364759,0.08698724,-0.004743218,0.01671994,0.08870646,0.396112,-0.4351253,0.7218887,0.3641952,137.2839,0.425322,-0.4672122,0.775122,-0.00643588,1.090284,-0.002638233,1.090306,0.09781054,0.04491946,0.05186347,0.9928371,13.72368,0.8186654,0.3759719,0.4340926,False
1773020879587,0.1111571,0.03210846,0.8824822,0.2393129,0.9149188,0.1017505,0.3345736,0.8015039,-0.4850762,238.0349,0.1163566,0.3826007,0.9165576,-0.04516613,0.9948285,0.2598467,1.029196,-0.05240528,0.9959347,0.2826744,1.036599,-0.0544498,1.005275,0.3414365,1.063071,-0.02985297,-0.08909747,0.09759274,0.1354766,-0.01606836,-0.08562961,0.1163735,0.1453734,0.006598564,-0.06486769,0.1661367,0.1784734,0,0,0,0,0,0,0,0,0,1,0,0,-0.05997472,0.6282384,0.1377345,0.6459498,-0.298472,-0.2818567,-0.08324421,-0.9080428,310.4725,-0.7125521,-0.672886,-0.1987317,0.04818923,0.5384566,0.1538346,0.5620701,0.0419216,0.5026255,0.2032148,0.5437702,0.02607867,0.4881482,0.2126816,0.5331061,0.05242343,-0.06013862,0.113837,0.1390098,0.0136618,-0.06011276,0.1599712,0.171438,-0.008056725,-0.06639274,0.1644386,0.1775189,0,0,0,0,0,0,0,0,0,1,0,0,-0.03460746,1.005168,0.2799945,1.044011,0.008067366,-0.01167259,-0.03731555,0.9992028,4.575973,0.202078,-0.2923846,-0.9347106,0.08460745,-0.005168438,0.02000546,0.08709393,0.3959213,-0.4345296,0.7223058,0.3642866,137.2726,0.4251336,-0.4665906,0.7755997,-0.006706515,1.090209,-0.002864812,1.090233,0.09758611,0.04488411,0.05309307,0.9927958,13.76324,0.8144506,0.3746014,0.4431131,False
1773020879601,0.1250134,0.03542463,0.8829543,0.2369782,0.914889,0.1019213,0.3349662,0.8012244,-0.4852311,238.0552,0.1165633,0.3830874,0.9163281,-0.04196741,0.9951773,0.2575006,1.028808,-0.04924768,0.9966521,0.2804869,1.036539,-0.05121424,1.005843,0.3388333,1.062615,-0.02970383,-0.08907995,0.09760483,0.135441,-0.0160661,-0.08568323,0.1167292,0.1456895,0.006508206,-0.06496923,0.1660506,0.1784269,0,0,0,0,0,0,0,0,0,1,0,0,-0.05983414,0.6276549,0.1378727,0.6453988,-0.2982917,-0.2821246,-0.08329342,-0.9080143,310.4648,-0.7120166,-0.6734262,-0.1988198,0.04834268,0.5378907,0.1539394,0.5615699,0.04208748,0.5020728,0.2032908,0.5433007,0.02626287,0.4875975,0.2127024,0.5326194,0.05240066,-0.06016831,0.1138256,0.1390047,0.01364045,-0.06016843,0.1599197,0.1714078,-0.008038901,-0.06648339,0.1643462,0.1774665,0,0,0,0,0,0,0,0,0,1,0,0,-0.03134859,1.005647,0.2775468,1.043715,0.007594298,-0.01166186,-0.03706804,0.9992158,4.53835,0.191802,-0.2945326,-0.9361926,0.0813486,-0.005646825,0.02245325,0.08457913,0.3962189,-0.4341,0.7224134,0.364262,137.2757,0.4254487,-0.4661243,0.7757072,-0.006916361,1.090165,-0.003044174,1.090191,0.09764753,0.04487139,0.05413016,0.9927344,13.82189,0.811522,0.3729139,0.4498611,False
1773020879615,0.1389621,0.03832985,0.8834774,0.2333851,0.9145874,0.1042302,0.3365193,0.7990117,-0.4873101,238.3279,0.1193618,0.3853735,0.9150083,-0.03946607,0.9954672,0.2535467,1.028007,-0.04676689,0.9974933,0.2770932,1.036321,-0.04844066,1.006637,0.3347195,1.061933,-0.02969638,-0.08909249,0.09757441,0.1354257,-0.01605597,-0.08568522,0.1173963,0.1462247,0.006405331,-0.06506836,0.1659683,0.1783827,0,0,0,0,0,0,0,0,0,1,0,0,-0.05990393,0.6282352,0.1378248,0.6459595,-0.2984033,-0.2823665,-0.08358252,-0.9078759,310.4269,-0.7117736,-0.6735215,-0.1993672,0.04829985,0.5384956,0.1537929,0.5621055,0.04205393,0.5026704,0.2031628,0.5438026,0.02622589,0.4881724,0.2124965,0.5330617,0.05237066,-0.06021143,0.1138092,0.1389987,0.01357632,-0.0601809,0.1598981,0.1713869,-0.008083465,-0.0665482,0.1642696,0.1774218,0,0,0,0,0,0,0,0,0,1,0,0,-0.02880166,1.006119,0.2735139,1.043032,0.004652513,-0.009736327,-0.03492676,0.9993317,4.189795,0.1272739,-0.2663465,-0.9554549,0.07880166,-0.006119013,0.02648607,0.0833586,0.3996497,-0.4318992,0.7220902,0.3637707,137.3361,0.4290442,-0.4636656,0.7752004,-0.007119957,1.090018,-0.003283483,1.090046,0.09768835,0.04486938,0.05494977,0.9926854,13.86847,0.8091477,0.3716508,0.4551462,False
