Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773021310261,0,1,1,135,-0.7006329,-0.3945499,-0.5945115,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.6473004,-0.3645166,-0.549257,0.3826834,135,-0.7006329,-0.3945499,-0.5945116
Grab,1773021313636,2.506388,1,1,135,-0.7006329,-0.3945499,-0.5945115,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.6473004,-0.3645166,-0.549257,0.3826834,135,-0.7006329,-0.3945499,-0.5945116
Trial Start,1773021313660,0,1,1,135,-0.7006329,-0.3945499,-0.5945115,1,-1,-0.05000001,1,0.3,1.045227,0.05565198,-0.004769919,-0.009704608,0.9983917,6.499845,0.9816612,-0.08413798,-0.1711824,0.1,0,0,0.1,-0.6684741,-0.325256,-0.5680335,0.3531135,138.6443,-0.7145019,-0.3476515,-0.6071455
Release,1773021313844,0.1942376,1,1,135,-0.7006329,-0.3945499,-0.5945115,1,0,-0.03353985,0.9937047,0.2721253,1.030838,0.3974504,-0.323452,0.1334449,0.8482951,63.94657,0.7505808,-0.6108357,0.2520093,0.08353986,0.006295264,0.02787468,0.08829233,-0.4748983,-0.05351443,-0.8712471,0.1119667,167.1426,-0.4779033,-0.05385306,-0.8767601
Grab,1773021314968,1.319052,1,1,135,-0.7006329,-0.3945499,-0.5945115,1,0,-0.03353985,0.9937047,0.2721253,1.030838,0.3974504,-0.323452,0.1334449,0.8482951,63.94657,0.7505808,-0.6108357,0.2520093,0.08353986,0.006295264,0.02787468,0.08829233,-0.4748983,-0.05351443,-0.8712471,0.1119667,167.1426,-0.4779033,-0.05385306,-0.8767601
Release,1773021315358,1.708417,1,1,135,-0.7006329,-0.3945499,-0.5945115,1,0,-0.01645456,0.9888041,0.2712485,1.025466,0.4965811,-0.1987605,0.7738016,0.3393119,140.3301,0.5278992,-0.2112959,0.8226034,0.06645456,0.0111959,0.02875149,0.07326803,-0.01843589,-0.2757539,-0.7921603,-0.5441526,245.9336,-0.021974,-0.3286751,-0.9441875
Grab,1773021315887,2.236633,1,1,135,-0.7006329,-0.3945499,-0.5945115,1,0,-0.01645456,0.9888041,0.2712485,1.025466,0.4965811,-0.1987605,0.7738016,0.3393119,140.3301,0.5278992,-0.2112959,0.8226034,0.06645456,0.0111959,0.02875149,0.07326803,-0.01843589,-0.2757539,-0.7921603,-0.5441526,245.9336,-0.021974,-0.3286751,-0.9441875
Release,1773021316137,2.486655,1,1,135,-0.7006329,-0.3945499,-0.5945115,1,0,-0.01746827,0.9825544,0.2778174,1.021225,0.1308392,0.4064535,0.9041506,0.01372307,178.4274,0.1308516,0.4064918,0.9042358,0.06746827,0.01744556,0.02218258,0.07313263,0.0473775,-0.673938,-0.1381365,-0.7242109,272.8065,0.06870501,-0.9773186,-0.2003202
Grab,1773021316664,3.014825,1,1,135,-0.7006329,-0.3945499,-0.5945115,1,0,-0.01746827,0.9825544,0.2778174,1.021225,0.1308392,0.4064535,0.9041506,0.01372307,178.4274,0.1308516,0.4064918,0.9042358,0.06746827,0.01744556,0.02218258,0.07313263,0.0473775,-0.673938,-0.1381365,-0.7242109,272.8065,0.06870501,-0.9773186,-0.2003202
Release,1773021317178,3.529029,1,1,135,-0.7006329,-0.3945499,-0.5945115,1,0,-0.00436547,0.9879386,0.2628072,1.022306,0.6744205,0.0972286,0.55664,-0.4752425,236.7503,0.7665134,0.1105053,0.6326498,0.05436547,0.01206136,0.03719282,0.06696557,0.1990362,0.1461429,-0.134888,-0.9596,327.3163,0.7073882,0.519402,-0.4794011
Grab,1773021317663,4.014289,1,1,135,-0.7006329,-0.3945499,-0.5945115,1,0,-0.00436547,0.9879386,0.2628072,1.022306,0.6744205,0.0972286,0.55664,-0.4752425,236.7503,0.7665134,0.1105053,0.6326498,0.05436547,0.01206136,0.03719282,0.06696557,0.1990362,0.1461429,-0.134888,-0.9596,327.3163,0.7073882,0.519402,-0.4794011
Clutch Start,1773021318525,4.875589,1,1,135,-0.7006329,-0.3945499,-0.5945115,1,0,0.002127435,0.98819,0.2667958,1.023574,0.5012143,0.1964536,0.6129275,-0.5783685,250.6717,0.6144021,0.2408181,0.7513432,0.04787257,0.01181,0.03320417,0.05944557,0.2980905,0.01419264,0.02757931,-0.9540336,325.1208,0.9946304,0.04735619,0.09202312
On Target,1773021319539,5.903412,1,1,135,-0.7006329,-0.3945499,-0.5945115,1,-1,0.05194398,0.9996608,0.2980382,1.044436,0.6629823,0.314079,0.5157598,-0.4424938,232.5262,0.7392989,0.350233,0.5751294,-0.001943976,0.0003391504,0.001961768,0.002782552,0.04820696,0.07139967,0.007305523,-0.9962555,350.0802,0.5575732,0.8258256,0.08449742
Trial End,1773021320526,6.889506,1,2,135,-0.7006329,-0.3945499,-0.5945115,1,-1,0.05211831,1.000189,0.2953624,1.044191,0.6268916,0.3446713,0.5549589,-0.4245342,230.2424,0.6923828,0.380679,0.6129352,-0.002118304,-0.0001893044,0.004637599,0.005101997,0.04787874,0.007949299,0.01539829,-0.9987029,354.1628,0.940325,0.156122,0.3024181
Trial Load,1773021320526,6.889506,1,2,135,0.8400986,0.2294592,0.4915108,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.7761499,0.2119927,0.4540968,0.3826834,135,0.8400986,0.2294592,0.4915109
Grab,1773021321251,7.597953,1,2,135,0.8400986,0.2294592,0.4915108,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.7761499,0.2119927,0.4540968,0.3826834,135,0.8400986,0.2294592,0.4915109
Trial Start,1773021321261,0,1,2,135,0.8400986,0.2294592,0.4915108,1,-1,-0.05,1,0.3,1.045227,-0.01255768,0.01223706,0.02635389,0.9994989,3.627825,-0.3967215,0.3865924,0.8325701,0.09999999,0,0,0.09999999,0.7805365,0.2333605,0.4316241,0.3873064,134.426,0.8466138,0.2531159,0.4681638
Clutch Start,1773021321497,0.2329322,1,2,135,0.8400986,0.2294592,0.4915108,1,0,-0.04264367,0.9894706,0.2918742,1.032502,0.4987623,-0.1593249,0.04967752,0.8505198,63.46349,0.9483201,-0.3029318,0.0944542,0.09264366,0.0105294,0.008125782,0.09359351,0.3863826,0.0533458,0.5966015,0.7013769,90.92485,0.5420703,0.07484078,0.8369941
Clutch End,1773021321760,0.4967328,1,2,135,0.8400986,0.2294592,0.4915108,1,0,-0.0269943,0.9833084,0.2658871,1.01898,0.5583359,-0.1619386,0.02250042,0.8133454,71.15184,0.9597009,-0.2783497,0.03867505,0.0769943,0.01669157,0.03411287,0.08585114,0.3393063,-0.001680371,0.6047788,0.7204937,87.80949,0.4892936,-0.002423164,0.8721159
Release,1773021321760,0.4967328,1,2,135,0.8400986,0.2294592,0.4915108,1,0,-0.0269943,0.9833084,0.2658871,1.01898,0.5583359,-0.1619386,0.02250042,0.8133454,71.15184,0.9597009,-0.2783497,0.03867505,0.0769943,0.01669157,0.03411287,0.08585114,0.3393063,-0.001680371,0.6047788,0.7204937,87.80949,0.4892936,-0.002423164,0.8721159
Grab,1773021321858,0.5939983,1,2,135,0.8400986,0.2294592,0.4915108,1,0,-0.0269943,0.9833084,0.2658871,1.01898,0.5583359,-0.1619386,0.02250042,0.8133454,71.15184,0.9597009,-0.2783497,0.03867505,0.0769943,0.01669157,0.03411287,0.08585114,0.3393063,-0.001680371,0.6047788,0.7204937,87.80949,0.4892936,-0.002423164,0.8721159
Release,1773021322123,0.8579485,1,2,135,0.8400986,0.2294592,0.4915108,1,0,-0.007030621,0.9826708,0.2714603,1.019501,-0.1694942,-0.1176972,-0.1197199,0.9711263,27.60385,-0.7104705,-0.4933524,-0.5018312,0.05703062,0.01732916,0.02853972,0.06608561,0.790536,0.2349586,0.5422193,0.1607656,161.4973,0.8009543,0.2380551,0.5493651
Grab,1773021322566,1.302499,1,2,135,0.8400986,0.2294592,0.4915108,1,0,-0.007030621,0.9826708,0.2714603,1.019501,-0.1694942,-0.1176972,-0.1197199,0.9711263,27.60385,-0.7104705,-0.4933524,-0.5018312,0.05703062,0.01732916,0.02853972,0.06608561,0.790536,0.2349586,0.5422193,0.1607656,161.4973,0.8009543,0.2380551,0.5493651
Release,1773021322789,1.524714,1,2,135,0.8400986,0.2294592,0.4915108,1,0,-0.00781342,0.9792174,0.2696733,1.015702,0.05015361,-0.6627253,0.2531936,0.7029743,90.66775,0.0705182,-0.9318211,0.3560013,0.05781342,0.02078259,0.03032672,0.0685129,0.1718038,0.576381,0.7473318,0.2824248,147.19,0.1790949,0.6008416,0.7790473
Grab,1773021323344,2.0803,1,2,135,0.8400986,0.2294592,0.4915108,1,0,-0.00781342,0.9792174,0.2696733,1.015702,0.05015361,-0.6627253,0.2531936,0.7029743,90.66775,0.0705182,-0.9318211,0.3560013,0.05781342,0.02078259,0.03032672,0.0685129,0.1718038,0.576381,0.7473318,0.2824248,147.19,0.1790949,0.6008416,0.7790473
Release,1773021323498,2.233131,1,2,135,0.8400986,0.2294592,0.4915108,1,0,0.003992517,0.974759,0.2706677,1.011648,0.4620458,-0.4584594,0.569528,0.5019628,119.7401,0.5342254,-0.5300788,0.6584982,0.04600748,0.02524096,0.02933231,0.06011804,-0.1161396,0.5140828,0.4637744,0.7121404,89.18134,-0.1654323,0.7322729,0.6606122
Grab,1773021323970,2.705399,1,2,135,0.8400986,0.2294592,0.4915108,1,0,0.003992517,0.974759,0.2706677,1.011648,0.4620458,-0.4584594,0.569528,0.5019628,119.7401,0.5342254,-0.5300788,0.6584982,0.04600748,0.02524096,0.02933231,0.06011804,-0.1161396,0.5140828,0.4637744,0.7121404,89.18134,-0.1654323,0.7322729,0.6606122
Release,1773021324135,2.87196,1,2,135,0.8400986,0.2294592,0.4915108,1,0,0.01540809,0.977043,0.2733717,1.014683,0.6817634,-0.08078767,0.7123502,0.1457031,163.244,0.6891174,-0.08165911,0.7200341,0.03459191,0.02295697,0.02662832,0.04932231,-0.3355106,0.305108,0.0007908695,0.8912582,53.93643,-0.7398312,0.6727908,0.001743939
Grab,1773021325095,3.830544,1,2,135,0.8400986,0.2294592,0.4915108,1,0,0.01540809,0.977043,0.2733717,1.014683,0.6817634,-0.08078767,0.7123502,0.1457031,163.244,0.6891174,-0.08165911,0.7200341,0.03459191,0.02295697,0.02662832,0.04932231,-0.3355106,0.305108,0.0007908695,0.8912582,53.93643,-0.7398312,0.6727908,0.001743939
Release,1773021325386,4.122241,1,2,135,0.8400986,0.2294592,0.4915108,1,0,0.02900219,0.9847025,0.2452885,1.015208,0.4897335,-0.2682674,0.7847619,-0.2689656,211.2054,0.5084707,-0.2785313,0.814787,0.02099781,0.01529753,0.05471155,0.0605663,-0.6843536,0.4323492,-0.1104162,0.576665,109.5674,-0.8376619,0.5292037,-0.1351515
Grab,1773021326053,4.789207,1,2,135,0.8400986,0.2294592,0.4915108,1,0,0.02900219,0.9847025,0.2452885,1.015208,0.4897335,-0.2682674,0.7847619,-0.2689656,211.2054,0.5084707,-0.2785313,0.814787,0.02099781,0.01529753,0.05471155,0.0605663,-0.6843536,0.4323492,-0.1104162,0.576665,109.5674,-0.8376619,0.5292037,-0.1351515
Clutch Start,1773021327038,5.775096,1,2,135,0.8400986,0.2294592,0.4915108,1,0,0.03281572,0.9913241,0.2639933,1.026398,0.6810511,-0.3731356,0.5704422,-0.2674602,211.0264,0.7068007,-0.3872433,0.5920098,0.01718428,0.008675873,0.03600675,0.0408296,-0.7585855,0.2195787,0.09423541,0.6061791,105.3725,-0.9538018,0.2760856,0.1184862
Clutch End,1773021328636,7.372114,1,2,135,0.8400986,0.2294592,0.4915108,1,0,0.03335188,0.9943953,0.2314406,1.021518,0.8823225,-0.08665554,0.4521718,0.09766592,168.7904,0.886561,-0.08707181,0.4543439,0.01664812,0.005604684,0.06855936,0.070774,-0.3970539,0.004159322,0.1256147,0.9091491,49.22396,-0.9533773,0.009987065,0.3016171
Release,1773021328636,7.372114,1,2,135,0.8400986,0.2294592,0.4915108,1,0,0.03335188,0.9943953,0.2314406,1.021518,0.8823225,-0.08665554,0.4521718,0.09766592,168.7904,0.886561,-0.08707181,0.4543439,0.01664812,0.005604684,0.06855936,0.070774,-0.3970539,0.004159322,0.1256147,0.9091491,49.22396,-0.9533773,0.009987065,0.3016171
Grab,1773021329191,7.927726,1,2,135,0.8400986,0.2294592,0.4915108,1,0,0.03335188,0.9943953,0.2314406,1.021518,0.8823225,-0.08665554,0.4521718,0.09766592,168.7904,0.886561,-0.08707181,0.4543439,0.01664812,0.005604684,0.06855936,0.070774,-0.3970539,0.004159322,0.1256147,0.9091491,49.22396,-0.9533773,0.009987065,0.3016171
Clutch Start,1773021329678,8.413841,1,2,135,0.8400986,0.2294592,0.4915108,1,0,0.03393482,0.9938284,0.2677023,1.029811,0.8792014,0.1462064,0.3645158,0.2697347,148.703,0.9130437,0.1518341,0.3785467,0.01606518,0.006171584,0.03229776,0.03659677,-0.1379841,-0.1150927,0.05589774,0.9821352,21.69277,-0.7332694,-0.6116207,0.2970495
On Target,1773021330873,9.622127,1,2,135,0.8400986,0.2294592,0.4915108,1,-1,0.04441026,1.003424,0.2870026,1.044606,0.825601,0.1861386,0.4233764,0.3232458,142.2813,0.8724378,0.1966984,0.4473947,0.005589742,-0.003423691,0.01299742,0.01455678,-0.07028437,-0.0490057,0.01531569,0.9962049,9.98664,-0.8075,-0.5630285,0.1759626
Trial End,1773021331871,10.62219,1,3,135,0.8400986,0.2294592,0.4915108,1,-1,0.04988667,1.003554,0.2920769,1.046384,0.7902045,0.1618687,0.4858067,0.3367007,140.648,0.8392041,0.171906,0.5159311,0.0001133271,-0.003554106,0.007923096,0.008684467,-0.07055131,0.0276631,0.008867715,0.9970852,8.751649,-0.9246791,0.3625658,0.1162245
Trial Load,1773021331873,10.62219,1,3,135,-0.8821486,0.07765669,0.4645247,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.8149991,0.07174543,0.4291649,0.3826835,135,-0.8821487,0.0776567,0.4645247
Grab,1773021334483,13.21929,1,3,135,-0.8821486,0.07765669,0.4645247,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.8149991,0.07174543,0.4291649,0.3826835,135,-0.8821487,0.0776567,0.4645247
Trial Start,1773021334497,0,1,3,135,-0.8821486,0.07765669,0.4645247,1,-1,-0.05,1,0.3,1.045227,-0.003588959,-0.001367894,0.000246802,0.9999926,0.4405739,-0.9334749,-0.3557841,0.06419227,0.09999999,0,0,0.09999999,-0.8142244,0.07360748,0.4276949,0.3856134,134.6364,-0.8824747,0.07977743,0.4635454
Release,1773021334594,0.0972226,1,3,135,-0.8821486,0.07765669,0.4645247,1,0,-0.04685332,1.002401,0.2939197,1.045654,-0.1501557,0.04390661,-0.06061321,0.9858254,19.31693,-0.8949839,0.2616998,-0.3612774,0.09685332,-0.002401114,0.00608027,0.09707368,-0.7227928,0.1677674,0.4712882,0.4767728,123.0503,-0.8222649,0.1908559,0.5361477
Grab,1773021335107,0.6110768,1,3,135,-0.8821486,0.07765669,0.4645247,1,0,-0.04685332,1.002401,0.2939197,1.045654,-0.1501557,0.04390661,-0.06061321,0.9858254,19.31693,-0.8949839,0.2616998,-0.3612774,0.09685332,-0.002401114,0.00608027,0.09707368,-0.7227928,0.1677674,0.4712882,0.4767728,123.0503,-0.8222649,0.1908559,0.5361477
Release,1773021335288,0.7917047,1,3,135,-0.8821486,0.07765669,0.4645247,1,0,-0.05019387,0.9827106,0.2978501,1.028083,-0.653909,-0.08626626,0.1669452,0.7328646,85.74584,-0.9611015,-0.1267923,0.2453726,0.1001939,0.0172894,0.00214991,0.1016974,-0.3960438,0.2301669,0.1334106,0.8788482,56.99254,-0.8301038,0.4824275,0.2796274
Grab,1773021335746,1.250145,1,3,135,-0.8821486,0.07765669,0.4645247,1,0,-0.05019387,0.9827106,0.2978501,1.028083,-0.653909,-0.08626626,0.1669452,0.7328646,85.74584,-0.9611015,-0.1267923,0.2453726,0.1001939,0.0172894,0.00214991,0.1016974,-0.3960438,0.2301669,0.1334106,0.8788482,56.99254,-0.8301038,0.4824275,0.2796274
Release,1773021336219,1.722286,1,3,135,-0.8821486,0.07765669,0.4645247,1,0,-0.03188055,0.9737555,0.3006476,1.01961,-0.7805622,-0.4123532,0.466395,0.05624384,173.5515,-0.7817997,-0.413007,0.4671344,0.08188055,0.02624446,-0.0006475449,0.08598613,0.04244033,0.1167144,-0.546413,0.828257,68.15983,0.07573914,0.2082888,-0.9751303
Grab,1773021336787,2.291454,1,3,135,-0.8821486,0.07765669,0.4645247,1,0,-0.03188055,0.9737555,0.3006476,1.01961,-0.7805622,-0.4123532,0.466395,0.05624384,173.5515,-0.7817997,-0.413007,0.4671344,0.08188055,0.02624446,-0.0006475449,0.08598613,0.04244033,0.1167144,-0.546413,0.828257,68.15983,0.07573914,0.2082888,-0.9751303
Clutch Start,1773021337816,3.319461,1,3,135,-0.8821486,0.07765669,0.4645247,1,0,-0.01120432,0.986774,0.2863691,1.027548,-0.8871121,0.05165801,0.4495417,0.09097232,169.5609,-0.8908059,0.05187311,0.4514135,0.06120433,0.01322597,0.01363093,0.06408352,0.255258,0.00109949,-0.154535,0.9544429,34.72231,0.85544,0.003684696,-0.5178896
On Target,1773021338733,4.250075,1,3,135,-0.8821486,0.07765669,0.4645247,1,-1,0.03907076,0.9844269,0.2942657,1.02821,-0.8045384,0.05617783,0.4388202,0.396231,133.3145,-0.8762594,0.06118584,0.4779391,0.01092925,0.01557314,0.005734295,0.01987092,-0.02241817,-0.005428975,-0.009817856,0.9996858,2.873081,-0.8942469,-0.2165584,-0.3916281
Trial End,1773021339719,5.236075,1,4,135,-0.8821486,0.07765669,0.4645247,1,-1,0.05373586,0.9954505,0.2950028,1.039633,-0.8046818,0.08848622,0.4685947,0.3536615,138.5771,-0.8602786,0.09459988,0.5009707,-0.003735863,0.004549503,0.004997194,0.007721826,0.02406021,-0.04505173,-0.01316039,0.9986082,6.046464,0.4561943,-0.8542045,-0.249528
Trial Load,1773021339720,5.236075,1,4,135,-0.9057447,-0.3631205,0.2185634,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.836799,-0.3354796,0.2019263,0.3826834,135,-0.9057447,-0.3631205,0.2185635
Grab,1773021340469,5.972164,1,4,135,-0.9057447,-0.3631205,0.2185634,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.836799,-0.3354796,0.2019263,0.3826834,135,-0.9057447,-0.3631205,0.2185635
Trial Start,1773021340483,0,1,4,135,-0.9057447,-0.3631205,0.2185634,1,-1,-0.05,1,0.3,1.045227,0.02290636,-0.01641622,0.00541253,0.9995882,3.288745,0.7982532,-0.5720813,0.1886187,0.1,0,0,0.1,-0.8467194,-0.3382138,0.1783502,0.369958,136.5739,-0.9113835,-0.3640433,0.1919708
Release,1773021340787,0.3057251,1,4,135,-0.9057447,-0.3631205,0.2185634,1,0,-0.05413309,0.9709623,0.2733274,1.010152,-0.6064074,0.2494526,0.3525566,0.6676431,96.22917,-0.8145365,0.3350689,0.4735599,0.1041331,0.02903771,0.02667266,0.1113477,-0.1579744,-0.4920115,0.4120761,0.7504413,82.74277,-0.2390158,-0.744415,0.6234725
