Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,-0.7006329,-0.3945499,-0.5945115,1,6.889506,False,-0.002118304,-0.0001893044,0.004637599,0.005101997,0.04787874,0.007949299,0.01539829,-0.9987029,354.1628,0.940325,0.156122,0.3024181,0.2675705,0.14831,0.2375001,0.2420643,175.8766,0.3104198,575.1452,0,0,0,0,0,0,0,0.3398539,604.6982,0.1700791,25.86165
1,3,135,0.8400986,0.2294592,0.4915108,1,10.62219,False,0.0001133271,-0.003554106,0.007923096,0.008684467,-0.07055131,0.0276631,0.008867715,0.9970852,8.751649,-0.9246791,0.3625658,0.1162245,0.4351424,0.2912713,0.3844019,0.4438455,295.5242,0.4784481,832.305,0,0,0,0,0,0,0,0.5729162,860.713,0.2278722,29.72943
1,4,135,-0.8821486,0.07765669,0.4645247,1,5.236075,False,-0.003735863,0.004549503,0.004997194,0.007721826,0.02406021,-0.04505173,-0.01316039,0.9986082,6.046464,0.4561943,-0.8542045,-0.249528,0.1808772,0.113122,0.1699494,0.2601112,187.0595,0.2168968,447.2737,0,0,0,0,0,0,0,0.2789769,503.2343,0.06323709,12.42483
1,5,135,-0.9057447,-0.3631205,0.2185634,1,9.195666,False,0.002128106,-0.009293556,0.01194918,0.01528666,-0.05869288,0.06259462,-0.002131696,0.9963095,9.84796,-0.6837972,0.7292542,-0.02483517,0.3193988,0.2663963,0.3575068,0.6479055,452.2799,0.3334816,652.6469,0,0,0,0,0,0,0,0.6218778,820.6519,0.3533128,55.91145
1,6,135,0.1098084,-0.9476036,-0.2999824,1,7.331509,False,-0.006808545,-0.001238704,0.005186588,0.0086482,-0.02956677,-0.03669351,-0.00479941,-0.9988775,354.5702,-0.6242136,-0.7746735,-0.1013251,0.2877019,0.2350174,0.3099375,0.4897054,303.0612,0.3970109,654.4496,0,0,0,0,0,0,0,0.464537,703.936,0.2156117,27.37625
1,7,135,0.7902245,0.2769104,-0.5466862,0.9999999,8.624364,False,8.765236E-05,0.0003299713,0.004747242,0.004759503,-0.02821756,0.007874412,0.008992122,0.9995304,3.512046,-0.9208395,0.2569701,0.293445,0.425425,0.3812224,0.5116066,0.5123481,500.9769,0.4568566,962.4973,0,0,0,0,0,0,0,0.5965969,1083.089,0.1770582,40.73494
1,8,135,-0.1311579,-0.3799476,-0.9156623,1,5.652665,False,-0.003407609,0.002905726,-0.003489345,0.005677198,-0.008698887,-0.01993702,-0.01067821,-0.9997064,357.2234,-0.3590274,-0.8228564,-0.4407195,0.2039196,0.2035616,0.2448323,0.3044248,224.0344,0.2902954,577.5204,0,0,0,0,0,0,0,0.3196819,502.7515,0.06330143,17.28194
1,9,135,0.06070827,0.1065407,-0.9924533,1,6.693601,False,-0.002824899,0.002858102,-0.001092196,0.004164336,0.0085119,0.01028987,0.003869918,0.9999034,1.593443,0.6121333,0.7399963,0.2783051,0.3060771,0.3032479,0.3191395,0.5550595,380.1534,0.3295131,913.4518,0,0,0,0,0,0,0,0.4951393,928.4058,0.1223512,21.41722
1,10,135,-0.09038748,0.7936875,-0.6015732,1,11.93022,False,0.007042948,0.008062065,-0.002656132,0.01102973,0.005490819,0.03029572,-0.0007728241,-0.9995256,356.4702,0.1782819,0.9836749,-0.0250929,0.4269441,0.2925339,0.4798595,0.4158381,350.943,0.4837928,1035.85,0,0,0,0,0,0,0,0.5254253,966.3022,0.1861877,36.20399
1,11,135,-0.3488055,0.7945049,0.4970882,1,8.22238,False,0.0006669201,0.002757013,9.679794E-05,0.002838181,-0.008268022,-0.04394428,0.03881496,0.9982455,6.789075,-0.1396365,-0.7421639,0.6555361,0.2149422,0.2781232,0.3382175,0.3890268,338.406,0.3364162,611.0564,0,0,0,0,0,0,0,0.4434762,563.903,0.2547842,37.1277
2,2,135,0.2605861,-0.09932176,0.9603281,1,18.52742,False,-0.000572633,-0.001967907,0.009081602,0.009309998,-0.06716405,-0.04867148,-0.01903162,0.9963725,9.76365,-0.7892294,-0.5719274,-0.2236362,0.7224907,0.6074035,0.8369974,0.9878415,786.7479,0.8836073,1654.472,0,0,0,0,0,0,0,1.145907,1753.806,0.4641799,80.40385
2,3,135,-0.6358815,0.7517229,-0.1748348,0.9999999,3.860219,False,0.002753187,-0.0002541542,3.278255E-06,0.002764895,-0.01534952,0.02222376,-0.00566928,0.9996192,3.162554,-0.5562338,0.8053415,-0.2054426,0.2023022,0.1690093,0.2360325,0.1673372,163.5081,0.2695973,483.3224,0,0,0,0,0,0,0,0.2561418,456.1485,0.03950896,7.161752
2,4,135,-0.6557437,-0.5775588,-0.4862367,1,7.819432,False,-0.002347212,0.001336575,0.0003868639,0.002728645,0.02095672,-0.01107639,-0.002794627,-0.9997152,357.2651,0.8781484,-0.4641335,-0.1171031,0.2844669,0.2263813,0.3703608,0.3202437,290.5622,0.4094172,720.3046,0,0,0,0,0,0,0,0.3850373,704.5728,0.1212578,17.82215
2,5,135,-0.9168869,-0.3922392,0.0739392,1,7.80621,False,-0.003105868,0.003838897,0.003187627,0.005877458,-0.001860349,-0.04384208,-0.001526611,0.9990356,5.033057,-0.04236991,-0.9985141,-0.03476895,0.3217923,0.247864,0.3115522,0.4932866,354.1695,0.3867611,664.6913,0,0,0,0,0,0,0,0.4360248,684.9638,0.2431024,36.23769
2,6,135,-0.8058708,-0.01430196,-0.5919187,1,11.96908,False,-0.003240403,-0.0005329847,0.004837632,0.005846962,0.04623931,-0.06102413,0.005584025,0.9970492,8.805464,0.6023362,-0.7949305,0.07274028,0.4670283,0.3820757,0.4661939,0.6141768,317.266,0.5549594,789.7299,0,0,0,0,0,0,0,0.6957069,651.5033,0.4707156,70.86451
2,7,135,-0.05183255,-0.5028749,0.8628037,1,8.598994,False,0.0001912788,-0.0001956224,0.003794849,0.003804699,-0.01038106,0.0003157589,0.03655925,0.9992776,4.355973,-0.2731593,0.008308638,0.9619922,0.3536321,0.2424844,0.2504689,0.398562,297.1851,0.3174801,619.1235,0,0,0,0,0,0,0,0.4264778,700.5381,0.1568237,26.65434
2,8,135,0.8701509,-0.2077706,0.4468431,1,7.638798,False,-0.004213765,0.003527939,0.008393824,0.01003287,0.0146969,-0.05200045,-0.01727508,0.9983896,6.504421,0.2590627,-0.9166135,-0.3045084,0.2782053,0.1791144,0.225883,0.3800697,331.2776,0.3591686,758.5589,0,0,0,0,0,0,0,0.4046315,797.0723,0.1194645,28.38835
2,9,135,0.8271341,0.3137316,0.466285,1,5.48646,False,0.003149305,0.0002368093,0.003873348,0.004997702,-0.003624173,0.02040612,-0.03049715,0.9993201,4.226259,-0.09828928,0.5534236,-0.8270972,0.1835285,0.1897133,0.2714687,0.3237554,198.8506,0.2340249,504.795,0,0,0,0,0,0,0,0.3629394,557.4276,0.2390131,44.27436
2,10,135,0.193554,0.96977,-0.148604,1,8.485214,False,0.007442448,0.002550721,0.001395702,0.007990257,0.02501853,0.05095003,0.02953223,-0.9979509,352.6629,0.3910098,0.7962882,0.4615536,0.3572516,0.2671101,0.3138297,0.291428,261.8861,0.4245156,1000.939,0,0,0,0,0,0,0,0.4032092,769.9212,0.1088558,25.24546
2,11,135,0.9255814,-0.3639984,0.1039435,1,10.62504,False,-0.0001425743,-0.003105044,0.003253698,0.004499798,-0.04735789,0.001185834,0.05145516,0.9975512,8.021273,-0.6771072,0.01695466,0.7356884,0.3273864,0.1955187,0.2431756,0.2925071,252.4134,0.440497,724.9675,0,0,0,0,0,0,0,0.4110942,687.5862,0.1876384,36.679
3,2,135,-0.534348,0.739484,-0.4094335,1,5.95846,False,-0.001360085,0.001761496,0.007289827,0.00762196,0.07229122,0.005521844,0.03024552,-0.9969096,350.9888,0.9202372,0.07029077,0.385013,0.2398673,0.1778235,0.2723573,0.3032377,237.2449,0.3074389,705.5237,0,0,0,0,0,0,0,0.3841145,710.079,0.09615262,29.53557
3,3,135,0.05012622,0.604062,0.7953594,1,6.333772,False,-0.0007512234,0.001320899,-0.001180083,0.001923981,-0.01061279,0.02876725,0.001132909,0.9995292,3.516501,-0.3458944,0.9375886,0.03692403,0.2294042,0.1959897,0.2272435,0.3559797,246.2708,0.275116,661.3963,0,0,0,0,0,0,0,0.349839,689.6431,0.07257482,17.58761
3,4,135,0.4480317,0.3810907,0.8087258,1,10.77855,False,-9.697676E-05,0.002518177,0.004593581,0.005239428,0.01808166,0.03742924,0.01091351,-0.9990761,355.0737,0.420728,0.8709118,0.2539379,0.4223164,0.196137,0.3314362,0.2749137,313.8655,0.5483487,934.1803,0,0,0,0,0,0,0,0.4570428,887.6177,0.09714465,20.84815
3,5,135,-0.9719595,-0.227641,-0.05894434,1,9.04199,False,-0.01108148,0.01503724,0.006083071,0.01964489,0.02629374,0.04505171,-0.004170895,-0.99863,354.0007,0.5024612,0.8609174,-0.07970387,0.4855859,0.2833605,0.4086442,0.3420891,303.9626,0.6252843,1108.631,0,0,0,0,0,0,0,0.508723,1080.634,0.08609001,17.11294
3,6,135,-0.7409422,0.6675208,-0.07362449,1,6.805194,False,0.0005605854,-0.0009922981,0.003741503,0.003911234,0.02723023,-0.01832,-0.0165934,0.9993237,4.21513,0.740447,-0.4981591,-0.4512094,0.2557296,0.1113297,0.1874562,0.3035682,150.0579,0.2893693,696.6157,0,0,0,0,0,0,0,0.3287088,662.4165,0.06825887,15.92012
3,7,135,-0.6419986,-0.2055592,0.738636,1,7.055197,False,0.001170214,0.008150995,0.0123902,0.014877,0.02646119,0.04508313,0.02243749,0.9983807,6.522215,0.465159,0.7925124,0.3944267,0.209348,0.1349503,0.2608724,0.2804339,261.9931,0.3112187,728.446,0,0,0,0,0,0,0,0.3290255,738.1133,0.1102109,25.4617
3,8,135,0.8755,-0.4829043,0.01741421,1,13.61026,False,0.001291085,0.00960964,0.01205134,0.01546761,-0.004230728,0.02217984,0.01580084,0.9996202,3.158343,-0.1535169,0.8048214,0.5733518,0.3591238,0.3073807,0.3487223,0.3580789,333.8051,0.4958684,1002.577,0,0,0,0,0,0,0,0.4752019,843.3705,0.1814389,41.25147
3,9,135,-0.2945163,0.5787825,-0.7604413,1,10.91713,False,0.003995616,0.007048368,-0.00290221,0.008606235,0.03287262,-0.04270231,-0.02633152,-0.9981997,353.1229,0.5480766,-0.7119643,-0.4390185,0.4013312,0.2861236,0.4369955,0.4273533,262.2868,0.4112144,1199.063,0,0,0,0,0,0,0,0.5212307,1017.149,0.1069607,25.44303
3,10,135,0.6954976,-0.6280189,-0.3491064,0.9999999,3.999524,False,-0.0006124936,0.003239393,0.00461185,0.005669036,-0.009454374,-0.01815171,0.02689298,0.9994289,3.87308,-0.2797733,-0.5371444,0.7958155,0.1523495,0.1216313,0.1339635,0.1538659,128.335,0.1324523,331.7107,0,0,0,0,0,0,0,0.216207,350.955,0.08208916,10.43104
3,11,135,0.6870049,0.7259625,0.03166831,1,5.389503,False,-3.661215E-05,0.00828892,-0.005309403,0.009843642,0.02891799,-0.02615665,-0.008348327,-0.9992047,355.4295,0.7252301,-0.6559789,-0.2093665,0.2057196,0.08898591,0.1471523,0.1951129,141.2019,0.2437296,491.9202,0,0,0,0,0,0,0,0.2469676,510.4778,0.06364542,15.41029
