Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Thumb Tip Euro Position X,Right Thumb Tip Euro Position Y,Right Thumb Tip Euro Position Z,Right Thumb Tip Euro Position Magnitude,Right Index Tip Euro Position X,Right Index Tip Euro Position Y,Right Index Tip Euro Position Z,Right Index Tip Euro Position Magnitude,Right Middle Tip Euro Position X,Right Middle Tip Euro Position Y,Right Middle Tip Euro Position Z,Right Middle Tip Euro Position Magnitude,Right Triangle Local Position X,Right Triangle Local Position Y,Right Triangle Local Position Z,Right Triangle Local Position Magnitude,Right Triangle Local Rotation X,Right Triangle Local Rotation Y,Right Triangle Local Rotation Z,Right Triangle Local Rotation W,Right Triangle Local Rotation Angle,Right Triangle Local Rotation Axis X,Right Triangle Local Rotation Axis Y,Right Triangle Local Rotation Axis Z,Right Triangle Area,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Right Angle Scale Factor,Right Is Grabbed,Right Is Rotating,Right Is Clutching,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Thumb Tip Euro Position X,Left Thumb Tip Euro Position Y,Left Thumb Tip Euro Position Z,Left Thumb Tip Euro Position Magnitude,Left Index Tip Euro Position X,Left Index Tip Euro Position Y,Left Index Tip Euro Position Z,Left Index Tip Euro Position Magnitude,Left Middle Tip Euro Position X,Left Middle Tip Euro Position Y,Left Middle Tip Euro Position Z,Left Middle Tip Euro Position Magnitude,Left Triangle Local Position X,Left Triangle Local Position Y,Left Triangle Local Position Z,Left Triangle Local Position Magnitude,Left Triangle Local Rotation X,Left Triangle Local Rotation Y,Left Triangle Local Rotation Z,Left Triangle Local Rotation W,Left Triangle Local Rotation Angle,Left Triangle Local Rotation Axis X,Left Triangle Local Rotation Axis Y,Left Triangle Local Rotation Axis Z,Left Triangle Area,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Left Angle Scale Factor,Left Is Grabbed,Left Is Rotating,Left Is Clutching,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773021370147,0.0139566,0.01345807,0.8981309,0.2322785,0.9277788,0.4042433,0.2823259,0.5655343,-0.6610979,262.7673,0.5387757,0.3762842,0.7537445,-0.06729274,0.9987882,0.2791729,1.039252,-0.06329372,1.003912,0.2963385,1.048648,-0.06447654,0.9894288,0.3050002,1.037377,-0.0289741,-0.08380883,0.1011807,0.1345398,-0.01682553,-0.08343504,0.1144383,0.1426205,-0.00263674,-0.08686808,0.1065839,0.1375251,-0.04323957,-0.08198937,0.0986558,0.1353694,-0.01737959,-0.0804432,0.1223596,0.147462,-0.002226874,-0.0859272,0.1104816,0.1399808,-0.02753407,-0.08286665,0.1057276,0.1371253,-0.04629722,0.5999277,-0.1372847,0.7868268,76.2201,-0.07501487,0.9720561,-0.2224408,3.477698,-0.007344555,-0.07345553,0.1156968,0.1372421,-0.4235949,-0.2830395,-0.5635822,-0.6502547,261.1216,-0.5575699,-0.3725595,-0.7418324,1.3,True,True,False,-0.09633318,0.6684037,0.1226645,0.6863601,-0.08273766,0.1763044,0.255583,0.9469681,37.48645,-0.2574871,0.5486751,0.7953973,0.008492656,0.6657846,0.2131453,0.6991224,0.002370447,0.6370399,0.2290366,0.6769662,-0.00857725,0.6278813,0.2387592,0.6717995,0.04839041,-0.06081684,0.111256,0.1357137,0.02487745,-0.08287575,0.1169449,0.1454764,0.008551955,-0.08568338,0.1204059,0.1480282,0.04837126,-0.0608375,0.1112682,0.1357262,0.02484439,-0.08288499,0.1167607,0.145328,0.008516072,-0.08562584,0.120013,0.1476734,0.03448668,-0.06982786,0.1143305,0.1383355,-0.2928806,-0.5680129,0.6603655,0.3943345,133.5511,-0.3187064,-0.6180993,0.7185955,1.505919,0,0,0,0,0,0,0,0,0,1,0,0,0.3780635,False,True,False,-0.05,1,0.3,1.045227,0.0141416,-0.004276088,0.006062787,0.9998726,1.829431,0.8858083,-0.2678476,0.3797637,0.1,0,0,0.1,-0.1208248,-0.3381161,-0.8536562,0.3772932,135.6678,-0.1304671,-0.3650992,-0.9217814,-0.04656047,1.09755,-0.02683318,1.098864,0.05457438,0.04292821,0.0268967,0.9972239,8.540618,0.7329149,0.5765109,0.3612133,False
1773021370162,0.0276967,0.01268928,0.8970479,0.2320224,0.9266554,0.408811,0.2838383,0.5656234,-0.6575557,262.2274,0.5426172,0.3767402,0.7507551,-0.06675859,0.9963886,0.2817412,1.037605,-0.06364665,1.003217,0.2947166,1.047546,-0.06473965,0.9894075,0.3037809,1.037016,-0.0245951,-0.08400571,0.1012316,0.1338271,-0.01678647,-0.08360975,0.113665,0.1420989,-0.002651374,-0.08692858,0.1064317,0.1374457,-0.03917505,-0.08240885,0.09919478,0.1347795,-0.01725663,-0.08112387,0.1204268,0.1462241,-0.002314747,-0.08613857,0.109587,0.1394077,-0.02443894,-0.08334222,0.105746,0.1368408,-0.04034108,0.6027713,-0.1329888,0.7857183,76.42567,-0.06521514,0.9744366,-0.2149889,2.885656,-0.004185885,-0.07394087,0.1157156,0.1373858,-0.4318435,-0.279124,-0.5646882,-0.645545,260.4131,-0.5654457,-0.3654785,-0.7393895,1.299995,True,True,False,-0.09627447,0.6682621,0.1226775,0.6862163,-0.08295205,0.1762891,0.2554585,0.9469858,37.48016,-0.258196,0.5487162,0.7951384,0.008551031,0.6656619,0.2131553,0.6990093,0.002394229,0.6369246,0.229085,0.6768741,-0.008522689,0.627791,0.2388556,0.6717486,0.04840876,-0.06082582,0.11124,0.1357111,0.02486414,-0.08287335,0.1169453,0.145473,0.008557044,-0.08568514,0.1204619,0.1480751,0.04837897,-0.0608351,0.1112624,0.1357231,0.02484846,-0.0828826,0.1167988,0.1453579,0.008524504,-0.08563805,0.1201058,0.1477563,0.03449304,-0.06983023,0.1143586,0.1383615,-0.2914295,-0.5678933,0.6602576,0.39576,133.3732,-0.3173389,-0.6183817,0.7189577,1.504538,0,0,0,0,0,0,0,0,0,1,0,0,0.3755242,False,True,False,-0.0499993,0.9982684,0.3014235,1.043981,0.01813127,-0.008200043,0.01001662,0.9997519,2.552818,0.8139469,-0.3681154,0.4496648,0.09999929,0.001731575,-0.001423538,0.1000244,-0.1176295,-0.3336761,-0.8569431,0.3747962,135.9766,-0.126878,-0.359911,-0.9243193,-0.04680802,1.097511,-0.02688974,1.098837,0.05481207,0.04284722,0.02685704,0.9972154,8.553634,0.7349899,0.5745499,0.3601333,False
1773021370175,0.0415252,0.01101481,0.8961384,0.229665,0.9251656,0.4131133,0.2835986,0.5645853,-0.6558603,261.9698,0.5472553,0.3756858,0.7479118,-0.06737818,0.9951575,0.2805245,1.036133,-0.0646446,1.003045,0.2920026,1.046682,-0.06581914,0.9895517,0.3013782,1.03652,-0.02282297,-0.08388114,0.1012018,0.1334119,-0.01676515,-0.08359928,0.1137171,0.142132,-0.00260036,-0.08703747,0.106783,0.1377857,-0.03555429,-0.08271687,0.09961715,0.134275,-0.01715424,-0.0816581,0.1189275,0.1452793,-0.002374158,-0.08632905,0.1089662,0.1390395,-0.02171921,-0.08372161,0.1058287,0.1366775,-0.03331525,0.6033446,-0.1297733,0.7861452,76.34656,-0.05390451,0.9762197,-0.209975,2.430758,-0.00141036,-0.07432806,0.1157999,0.1376091,-0.4383172,-0.2721134,-0.5663373,-0.6427243,259.9905,-0.5721427,-0.3551942,-0.7392496,1.299968,True,True,False,-0.09616035,0.6681099,0.1226637,0.6860496,-0.08303598,0.1761502,0.2552183,0.947069,37.45044,-0.2586549,0.5487033,0.7949984,0.008636832,0.6654755,0.2131641,0.6988356,0.002441831,0.6367118,0.2290561,0.6766644,-0.008454882,0.6276354,0.2389238,0.6716266,0.04841962,-0.06082967,0.1112259,0.1357053,0.02486024,-0.08289135,0.1168818,0.1454317,0.00856103,-0.08568126,0.1205092,0.1481115,0.04838738,-0.06083398,0.1112548,0.1357194,0.02485089,-0.08288441,0.116816,0.1453732,0.008532059,-0.08564699,0.1201895,0.1478301,0.03449906,-0.0698332,0.1143819,0.1383838,-0.2893868,-0.5681358,0.6596328,0.3979468,133.1002,-0.3154395,-0.6192833,0.7190176,1.504404,0,0,0,0,0,0,0,0,0,1,0,0,0.3730534,False,True,False,-0.04998454,0.9966437,0.3029275,1.042862,0.01765413,-0.01310083,0.01464331,0.9996511,3.02698,0.6684042,-0.4960115,0.5544114,0.09998454,0.003356338,-0.002927482,0.1000837,-0.1116648,-0.3327295,-0.8590549,0.3726218,136.2452,-0.1203306,-0.3585512,-0.9257222,-0.04705491,1.09751,-0.0269015,1.098848,0.05482595,0.04279303,0.02712131,0.9972098,8.562238,0.7344405,0.5732492,0.3633132,False
1773021370190,0.0555776,0.01026836,0.8942131,0.2280139,0.922883,0.4190623,0.2822022,0.5619925,-0.6549146,261.8264,0.5545332,0.3734301,0.7436685,-0.06689245,0.9930738,0.2799655,1.033949,-0.06449287,1.002061,0.2903891,1.045281,-0.06580262,0.9893131,0.3004668,1.036026,-0.02140795,-0.08367854,0.1011534,0.1330128,-0.01672968,-0.08360763,0.1140187,0.1423741,-0.002455766,-0.08735768,0.1079036,0.1388545,-0.03235878,-0.08292064,0.09994459,0.1338351,-0.01706467,-0.0820835,0.1178187,0.1446034,-0.002391344,-0.08654959,0.108729,0.1389912,-0.01940063,-0.08403514,0.1060071,0.1366594,-0.02485187,0.5997283,-0.1289448,0.7893552,75.74943,-0.04047952,0.9768565,-0.2100294,2.078119,0.0009558275,-0.07464801,0.115982,0.1379314,-0.4410345,-0.259971,-0.5687538,-0.6437568,260.1451,-0.5763423,-0.3397291,-0.7432454,1.299813,True,True,False,-0.09626065,0.6680433,0.1226169,0.6859905,-0.08331937,0.1764518,0.2554429,0.9469275,37.50094,-0.2592007,0.5489293,0.794665,0.008595079,0.6654662,0.2130432,0.6987894,0.002463311,0.63678,0.2290026,0.6767104,-0.008460134,0.6276983,0.2388882,0.6716728,0.04841049,-0.06088183,0.1111952,0.1357002,0.02489671,-0.08290706,0.1169211,0.1454784,0.008563557,-0.08568355,0.1205424,0.1481401,0.04839222,-0.060844,0.1112423,0.1357154,0.02486049,-0.08288915,0.116838,0.1453953,0.008538658,-0.08565465,0.1202638,0.1478952,0.03449728,-0.06984671,0.1144005,0.1384055,-0.2880712,-0.5680294,0.6594092,0.3994212,132.916,-0.3142248,-0.6196002,0.7192763,1.504928,0,0,0,0,0,0,0,0,0,1,0,0,0.3704399,False,True,False,-0.05079157,0.995113,0.3026052,1.041345,0.01497566,-0.01731326,0.0204579,0.9995286,3.518504,0.487812,-0.5639563,0.6663889,0.1007916,0.004887044,-0.0026052,0.1009436,-0.1050203,-0.334045,-0.8607466,0.3694592,136.6355,-0.1130166,-0.3594792,-0.926284,-0.04725259,1.097479,-0.02707947,1.09883,0.05490679,0.04248771,0.02759129,0.9972055,8.568823,0.7349575,0.5687213,0.3693245,False
1773021370203,0.0696205,0.01061648,0.8917576,0.2273973,0.9203553,0.4262847,0.2828405,0.5524704,-0.6580722,262.306,0.5661492,0.3756407,0.7337365,-0.06593218,0.9891557,0.2810063,1.030408,-0.06437206,0.9999658,0.2899692,1.043148,-0.06521843,0.9878926,0.3006401,1.034683,-0.01930309,-0.08319212,0.1009994,0.1322665,-0.01669386,-0.083618,0.1145894,0.1428335,-0.002317307,-0.08732869,0.109156,0.1398095,-0.02939393,-0.08297809,0.1001692,0.1333538,-0.01698651,-0.08241757,0.1170917,0.1441931,-0.002375769,-0.08671635,0.1088238,0.1391689,-0.01738049,-0.08423726,0.106309,0.1367465,-0.01238568,0.5904455,-0.1273415,0.7968719,74.33516,-0.02050105,0.9773188,-0.2107785,1.808369,0.003017464,-0.07485427,0.1162901,0.1383317,-0.4409006,-0.2385879,-0.5754058,-0.6462125,260.5133,-0.5777321,-0.3126325,-0.7539805,1.299558,True,True,False,-0.09625365,0.6680576,0.1226844,0.6860155,-0.08333641,0.176523,0.2552741,0.9469582,37.49,-0.2593267,0.5493055,0.7943637,0.00862667,0.6654117,0.2130733,0.698747,0.002471074,0.6367458,0.2290476,0.6766935,-0.008449845,0.6277064,0.2389706,0.6717095,0.04841531,-0.06092583,0.1111636,0.1356957,0.0248926,-0.08293033,0.1168988,0.1454731,0.008566733,-0.08568028,0.1205627,0.1481548,0.04839705,-0.06086113,0.1112259,0.1357112,0.02486721,-0.08289777,0.1168508,0.1454116,0.008544536,-0.08566002,0.1203266,0.1479498,0.03449649,-0.06986348,0.1144122,0.1384235,-0.2868009,-0.5679559,0.6590878,0.4009672,132.7227,-0.3130698,-0.6199766,0.7194555,1.505638,0,0,0,0,0,0,0,0,0,1,0,0,0.3678013,False,True,False,-0.05037846,0.99291,0.302887,1.039302,0.004663844,-0.02092561,0.02621558,0.9994264,3.881358,0.1377214,-0.6179247,0.7741353,0.1003785,0.007090032,-0.002886951,0.1006699,-0.09598475,-0.3420478,-0.8596815,0.3670669,136.9303,-0.1031878,-0.3677164,-0.9241953,-0.04744174,1.097451,-0.02704925,1.098809,0.05489621,0.04218991,0.02804073,0.9972062,8.567818,0.7349022,0.5648014,0.3753846,False
1773021370217,0.0833597,0.01047205,0.888382,0.2251384,0.9165258,0.4388664,0.2803837,0.5369714,-0.6636588,263.159,0.586692,0.3748268,0.7178422,-0.06436342,0.9848213,0.2811166,1.026178,-0.06399008,0.9975844,0.2888587,1.040533,-0.06329253,0.9882131,0.3013208,1.035068,-0.01734242,-0.08214495,0.1013297,0.1315913,-0.01668206,-0.08345225,0.1158882,0.1437799,-0.001915085,-0.0865832,0.1134293,0.1427113,-0.0266907,-0.08280509,0.1004121,0.1328596,-0.01692345,-0.08263854,0.1168265,0.1440971,-0.002280603,-0.08668839,0.1098197,0.1399301,-0.01574496,-0.08423311,0.1069342,0.137033,0.004588672,0.5675563,-0.1227744,0.8141162,70.99986,0.00790194,0.9773624,-0.2114242,1.592018,0.004686531,-0.07485004,0.1169282,0.1389125,-0.430224,-0.200395,-0.5932534,-0.6502304,261.118,-0.5662801,-0.2637688,-0.7808667,1.299119,True,True,False,-0.09624876,0.6680062,0.1226864,0.6859651,-0.0834649,0.1766675,0.2553208,0.9469073,37.50813,-0.2596056,0.5494989,0.7941386,0.008673042,0.6653478,0.2130263,0.6986724,0.002509013,0.6367203,0.2290225,0.6766611,-0.00839863,0.6277223,0.238982,0.6717278,0.04841613,-0.0609801,0.1111331,0.1356955,0.02489172,-0.0829485,0.1168826,0.1454702,0.008579778,-0.08567201,0.120587,0.1481706,0.04840098,-0.0608856,0.1112068,0.135708,0.02487226,-0.08290821,0.1168573,0.1454237,0.008551789,-0.08566248,0.1203804,0.1479954,0.03449659,-0.0698834,0.1144188,0.1384391,-0.2856137,-0.5678826,0.6587158,0.4025267,132.5275,-0.3120069,-0.62036,0.719587,1.506085,0,0,0,0,0,0,0,0,0,1,0,0,0.3660742,False,True,False,-0.04968528,0.9899243,0.3039652,1.036732,-0.01626141,-0.02406484,0.04464349,0.9985807,6.106003,-0.3053236,-0.4518404,0.8382242,0.09968528,0.01007569,-0.003965199,0.1002716,-0.07875019,-0.3604846,-0.8590532,0.3547915,138.4387,-0.08422972,-0.3855675,-0.9188271,-0.04758799,1.097392,-0.02703948,1.098756,0.05524972,0.04186687,0.02883903,0.9971775,8.611687,0.7358752,0.5576279,0.3841092,False
1773021370231,0.0972297,0.0106236,0.8851907,0.2224179,0.9127679,0.4559651,0.2809831,0.5218894,-0.6639094,263.1974,0.6097314,0.3757398,0.6978877,-0.06218422,0.9824157,0.2788883,1.023126,-0.0630196,0.9958767,0.285061,1.037787,-0.06129833,0.9881286,0.2984508,1.034035,-0.01584216,-0.08123412,0.1018729,0.1312557,-0.01671092,-0.08337879,0.1162216,0.1440095,-0.001753954,-0.08617298,0.1151648,0.1438464,-0.02423181,-0.08247718,0.1007201,0.1324168,-0.01687911,-0.08279746,0.1166928,0.1440748,-0.002171084,-0.08657958,0.1109738,0.140769,-0.014338,-0.08412118,0.1076673,0.1373834,0.02555244,0.5399403,-0.1145417,0.8334817,67.08385,0.04624483,0.9771843,-0.2072976,1.424119,0.006122407,-0.07473582,0.1176762,0.1395372,-0.418022,-0.1539703,-0.6148399,-0.6507861,261.2018,-0.5505642,-0.2027896,-0.8097873,1.297869,True,True,False,-0.09631519,0.6680923,0.1226735,0.6860559,-0.08338794,0.1768238,0.255323,0.9468844,37.5163,-0.2593117,0.5498695,0.7939784,0.008644998,0.665365,0.2129634,0.6986693,0.002515785,0.6368054,0.2289904,0.6767303,-0.008411527,0.6278194,0.2389363,0.6718024,0.04840074,-0.06103255,0.1111084,0.1356934,0.02491962,-0.08296072,0.1169109,0.1455047,0.008601315,-0.08566143,0.1205966,0.1481736,0.04840093,-0.06091607,0.1111864,0.1357049,0.02488208,-0.08291909,0.1168685,0.1454405,0.008562057,-0.08566227,0.1204254,0.1480325,0.03449368,-0.06990752,0.1144225,0.1384535,-0.2849921,-0.5675715,0.6586661,0.4034859,132.4074,-0.3114717,-0.6203064,0.719865,1.506522,0,0,0,0,0,0,0,0,0,1,0,0,0.3641649,False,True,False,-0.04845511,0.9866635,0.3036561,1.03347,-0.05857457,-0.01997912,0.0772439,0.9950896,11.36068,-0.5917928,-0.2018538,0.7804134,0.09845512,0.01333648,-0.00365606,0.09942152,-0.05414738,-0.4005682,-0.8532274,0.3295698,141.5147,-0.05735154,-0.4242718,-0.9037169,-0.04769945,1.097302,-0.02704093,1.098671,0.05561018,0.04147525,0.02948709,0.9971549,8.646096,0.7377334,0.5502173,0.3911804,False
1773021370245,0.1112576,0.01067135,0.8824047,0.2200417,0.909489,0.4710643,0.2813911,0.5081133,-0.6638814,263.1931,0.6299015,0.3762729,0.679443,-0.06005297,0.9800707,0.2772854,1.02031,-0.06229121,0.9944055,0.2816492,1.035398,-0.0596052,0.98792,0.2955996,1.032917,-0.01392766,-0.08035806,0.1022569,0.1307971,-0.01674921,-0.0833113,0.1165299,0.1442239,-0.001639249,-0.08573198,0.1164526,0.1446163,-0.02187048,-0.08203208,0.1010471,0.1319776,-0.01685178,-0.0829085,0.1166567,0.1441062,-0.002059582,-0.08639945,0.1121573,0.1415923,-0.01309277,-0.08392243,0.1084577,0.1377588,0.05013169,0.5072616,-0.101689,0.8543019,62.6346,0.09644846,0.9759216,-0.1956397,1.30085,0.007393178,-0.07453299,0.1184829,0.1401714,-0.4050417,-0.1041639,-0.6379654,-0.6465999,260.5715,-0.5309728,-0.1365494,-0.8363147,1.296927,True,True,False,-0.09638759,0.6681929,0.1226595,0.6861615,-0.08326853,0.1769903,0.255337,0.94686,37.52501,-0.2588825,0.5502641,0.7938446,0.008614004,0.6653841,0.2128958,0.6986665,0.002526425,0.6369007,0.2289532,0.6768075,-0.008425452,0.627924,0.2388756,0.6718788,0.04838148,-0.06108985,0.111083,0.1356915,0.02495201,-0.08297278,0.116944,0.1455437,0.008625879,-0.08564886,0.1206002,0.1481707,0.04839686,-0.06095242,0.1111648,0.1357021,0.02489671,-0.08293032,0.1168843,0.1454621,0.00857541,-0.08565946,0.1204621,0.1480615,0.03448768,-0.06993579,0.1144233,0.138467,-0.2849223,-0.5670269,0.6589376,0.4038579,132.3608,-0.3114512,-0.6198223,0.7202908,1.506909,0,0,0,0,0,0,0,0,0,1,0,0,0.363277,False,True,False,-0.04639506,0.9853265,0.3011091,1.031352,-0.1116112,-0.01845331,0.1158117,0.986808,18.6338,-0.6894053,-0.1139833,0.7153511,0.09639506,0.01467347,-0.001109123,0.09751178,-0.02060013,-0.4477855,-0.8421786,0.2996648,145.1251,-0.02159242,-0.4693548,-0.8827456,-0.04775979,1.097167,-0.02700861,1.098538,0.05620436,0.04119148,0.02981987,0.9971234,8.693808,0.7415317,0.5434594,0.3934282,False
1773021370259,0.1250488,0.01000609,0.8806664,0.2182989,0.9073741,0.4898652,0.2868765,0.4926933,-0.6595358,262.529,0.6516997,0.3816505,0.6554621,-0.05923857,0.9796116,0.2745534,1.019082,-0.06259004,0.994871,0.276823,1.034561,-0.05895469,0.988757,0.2906394,1.032273,-0.01203525,-0.07985179,0.1025747,0.1305478,-0.01678431,-0.08320057,0.1169113,0.1444725,-0.001669821,-0.08501243,0.1165305,0.1442542,-0.01964206,-0.0815814,0.1013678,0.1315932,-0.01683778,-0.08297064,0.1167122,0.1441852,-0.001979008,-0.08610938,0.1130832,0.1421497,-0.01207851,-0.08365989,0.1091915,0.1380857,0.07365885,0.4736073,-0.08470014,0.8735539,58.25143,0.1513349,0.9730443,-0.1740197,1.22166,0.008428245,-0.07426506,0.1192318,0.1407216,-0.3913136,-0.05571165,-0.6617972,-0.6370199,259.1399,-0.5076409,-0.07227326,-0.8585322,1.295778,True,True,False,-0.09636906,0.6680874,0.1226764,0.6860592,-0.08335245,0.1769486,0.2552806,0.9468756,37.51942,-0.2591806,0.5502134,0.793783,0.008659378,0.665222,0.2128867,0.6985099,0.002560794,0.6367961,0.2289726,0.6767158,-0.008428484,0.6278358,0.2388848,0.6717997,0.04839999,-0.06115924,0.1110423,0.135696,0.02498038,-0.08299474,0.1169371,0.1455556,0.008636232,-0.08564071,0.1205775,0.148148,0.0483975,-0.06099512,0.1111395,0.1357008,0.02491398,-0.08294361,0.1168952,0.1454814,0.008587965,-0.08565559,0.120486,0.1480794,0.03448345,-0.06996854,0.1144178,0.1384779,-0.285182,-0.5663981,0.6592893,0.4039828,132.3452,-0.3117538,-0.6191723,0.7207186,1.507507,0,0,0,0,0,0,0,0,0,1,0,0,0.3649818,False,True,False,-0.04451589,0.9843951,0.298784,1.029703,-0.1622812,-0.01807936,0.1598945,0.9735357,26.42166,-0.7100939,-0.07910985,0.6996504,0.09451589,0.01560491,0.001215994,0.09580316,0.0155566,-0.4914763,-0.8299888,0.263302,149.4678,0.01612562,-0.5094531,-0.8603473,-0.04779663,1.096992,-0.02700134,1.098365,0.05679297,0.04093647,0.02983312,0.9971002,8.728881,0.7462916,0.5379282,0.3920239,False
1773021370273,0.1388513,0.009140804,0.8777688,0.219357,0.9048088,0.5159616,0.2826943,0.4639008,-0.6623168,262.9536,0.6886615,0.3773162,0.6191751,-0.05792075,0.9780036,0.2759491,1.017838,-0.06243546,0.9931136,0.2771297,1.032944,-0.05721533,0.9889836,0.2914543,1.032622,-0.01131756,-0.07925609,0.1031047,0.1305381,-0.01692239,-0.08320215,0.1170024,0.1445632,-0.001544566,-0.08462892,0.1180277,0.1452411,-0.01775415,-0.08110102,0.1017329,0.1313094,-0.01685534,-0.08301982,0.1167752,0.1442665,-0.001889192,-0.08580036,0.1141235,0.1427916,-0.01129237,-0.08337691,0.1099196,0.1384253,0.09516565,0.4373092,-0.06584701,0.8918343,53.7907,0.2103748,0.9667233,-0.1455626,1.16885,0.009230516,-0.07397626,0.1199748,0.1412503,-0.3745582,-0.009130804,-0.6851947,-0.6246046,257.3063,-0.4796242,-0.01169205,-0.8773962,1.286885,True,True,False,-0.09634513,0.6679848,0.1226522,0.6859516,-0.08374218,0.1769316,0.2552373,0.9468561,37.52637,-0.2603459,0.5500622,0.7935067,0.008689135,0.6651459,0.2128616,0.6984301,0.002569273,0.636775,0.2289552,0.67669,-0.008470744,0.6278097,0.2387772,0.6717376,0.04840959,-0.06121125,0.1110134,0.1356992,0.02499834,-0.08299975,0.1169022,0.1455335,0.008645185,-0.08562448,0.1204403,0.1480276,0.0484,-0.06103977,0.1111134,0.1357004,0.0249314,-0.0829552,0.1168966,0.1454922,0.008599784,-0.08564916,0.1204765,0.1480687,0.0344817,-0.0700006,0.1144003,0.1384792,-0.2861735,-0.5656883,0.6598549,0.4033522,132.4242,-0.3127426,-0.6182083,0.7211176,1.507522,0,0,0,0,0,0,0,0,0,1,0,0,0.3654424,False,True,False,-0.04374712,0.9857389,0.2949337,1.029845,-0.2163738,-0.01460841,0.207591,0.9538737,34.94022,-0.7207459,-0.04866092,0.6914899,0.09374712,0.01426107,0.005066276,0.09496087,0.05244584,-0.5374425,-0.8121996,0.2207645,154.4921,0.05377256,-0.5510382,-0.8327459,-0.04779424,1.096777,-0.02705247,1.098151,0.05765152,0.04087322,0.02940472,0.9970663,8.779713,0.7531946,0.5339926,0.3841612,False
