Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1772971268892,0,1,1,135,-0.4012273,-0.03405021,-0.9153454,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.3706857,-0.03145829,-0.8456689,0.3826834,135,-0.4012273,-0.03405021,-0.9153454
Trial Start,1772971277172,0,1,1,135,-0.4012273,-0.03405021,-0.9153454,1,-1,-0.04993718,1.000524,0.2997216,1.045646,0.001910109,0.0006343829,0.0003964202,-0.9999979,359.7659,0.9351236,0.3105721,0.1940737,0.09993719,-0.000524044,0.0002783835,0.09993894,0.3694299,0.03268383,0.8456905,-0.3837459,225.1318,0.4000589,0.03539361,0.9158058
On Target,1772971286546,9.388257,1,1,135,-0.4012273,-0.03405021,-0.9153454,1,-1,0.04180723,1.007062,0.2835947,1.047066,-0.4009659,0.008005247,-0.8347537,0.3772911,135.668,-0.4329642,0.008644091,-0.9013696,0.008192766,-0.007061839,0.01640534,0.0196501,-0.0194431,-0.04458557,0.01596422,0.9986888,5.868898,-0.3797975,-0.8709255,0.3118418
Trial End,1772971287546,10.38755,1,2,135,-0.4012273,-0.03405021,-0.9153454,1,-1,0.04810254,1.000687,0.2956639,1.04456,-0.4135551,0.008669764,-0.8247262,0.3856472,134.6322,-0.4482272,0.009396628,-0.8938704,0.001897465,-0.0006868839,0.004336119,0.004782689,-0.01796941,-0.05946614,0.005702701,0.9980523,7.153182,-0.2880517,-0.953249,0.09141495
Trial Load,1772971287548,10.38755,1,2,135,0.1692189,-0.8051345,0.5684395,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.1563379,-0.7438473,0.5251697,0.3826834,135,0.1692189,-0.8051345,0.5684395
Trial Start,1772971290670,0,1,2,135,0.1692189,-0.8051345,0.5684395,1,-1,-0.04935009,1.000007,0.3002089,1.045263,-0.0001516984,0.001902834,-0.001833542,0.9999965,0.3013157,-0.05769151,0.7236554,-0.6973034,0.09935009,-7.152557E-06,-0.0002088547,0.09935031,0.1560308,-0.7447798,0.5256849,0.38028,135.2979,0.1687054,-0.8052794,0.568387
On Target,1772971294893,4.236053,1,2,135,0.1692189,-0.8051345,0.5684395,1,-1,0.05814989,1.012788,0.2875065,1.054411,-0.1449034,0.748332,-0.4934329,-0.4189585,229.5377,-0.1595843,0.8241494,-0.5434252,-0.008149888,-0.01278841,0.01249355,0.01964823,0.01591557,0.0242235,-0.04040231,-0.998763,354.2997,0.3200831,0.4871665,-0.8125437
Trial End,1772971295893,5.235802,1,3,135,0.1692189,-0.8051345,0.5684395,1,-1,0.048866,1.002615,0.295741,1.046465,-0.1462651,0.7623492,-0.4904788,-0.3960568,226.6638,-0.159291,0.8302413,-0.534159,0.001133997,-0.002615333,0.00425902,0.005124955,0.02957596,0.003000934,-0.03068407,-0.999087,355.103,0.6923029,0.07024473,-0.7182412
Trial Load,1772971295893,5.235802,1,3,135,0.7813637,-0.5343745,-0.3223578,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.721886,-0.4936977,-0.2978198,0.3826833,135,0.7813638,-0.5343745,-0.3223578
Trial Start,1772971297683,0,1,3,135,0.7813637,-0.5343745,-0.3223578,1,-1,-0.04988723,1.001304,0.2988675,1.046146,0.0002761889,0.007460846,0.008317671,-0.9999375,358.7192,0.02470987,0.6675017,0.7441595,0.09988724,-0.00130415,0.001132548,0.09990217,-0.7200622,0.4968984,0.2890959,-0.3886206,225.7374,-0.7814889,0.5392875,0.313758
On Target,1772971304198,6.527788,1,3,135,0.7813637,-0.5343745,-0.3223578,1,-1,0.04463529,1.001631,0.2934121,1.044675,0.7061633,-0.4793376,-0.2877185,0.4344962,128.4935,0.7840391,-0.532199,-0.3194481,0.005364712,-0.001630545,0.006587893,0.008650962,0.04413007,-0.02846582,-0.0219006,0.9983801,6.523416,0.7756159,-0.5003061,-0.3849178
Off Target,1772971304267,6.597896,1,3,135,0.7813637,-0.5343745,-0.3223578,1,-1,0.04629913,0.9989722,0.2925793,1.041965,0.7342608,-0.5296972,-0.3010659,0.2994015,145.1567,0.7695627,-0.5551641,-0.3155406,0.003700871,0.001027822,0.007420719,0.008355832,-0.05573687,0.05623461,0.0459234,0.9958023,10.50331,-0.6089447,0.6143826,0.5017291
On Target,1772971304434,6.763977,1,3,135,0.7813637,-0.5343745,-0.3223578,1,-1,0.05079724,1.000698,0.2914363,1.04351,0.7408903,-0.5178818,-0.3001335,0.3046308,144.5281,0.7778617,-0.5437248,-0.3151105,-0.0007972382,-0.0006982088,0.008563668,0.008628991,-0.05755744,0.05177884,0.03220676,0.9964782,9.620054,-0.6864148,0.6175008,0.3840893
Trial End,1772971305420,7.750041,1,4,135,0.7813637,-0.5343745,-0.3223578,1,-1,0.05233699,1.002103,0.2976117,1.046672,0.7294486,-0.478919,-0.3152685,0.3730244,136.1955,0.786195,-0.5161757,-0.3397943,-0.00233699,-0.002103329,0.002388299,0.003948352,-0.02288248,-0.01123068,-0.004848252,0.9996634,2.973758,-0.881862,-0.4328163,-0.1868455
