Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,-0.4012273,-0.03405021,-0.9153454,1,10.38755,False,0.001897465,-0.0006868839,0.004336119,0.004782689,-0.01796941,-0.05946614,0.005702701,0.9980523,7.153182,-0.2880517,-0.953249,0.09141495,0.4185373,0.5757699,0.6975273,1.161182,687.1427,0,0,0.02604864,0.02587537,0.04013088,0.08627748,9.12561,0,0,0.6086665,410.1229,0.1497443,34.21762
1,3,135,0.1692189,-0.8051345,0.5684395,1,5.235802,False,0.001133997,-0.002615333,0.00425902,0.005124955,0.02957596,0.003000934,-0.03068407,-0.999087,355.103,0.6923029,0.07024473,-0.7182412,0.1739354,0.3077206,0.3740516,0.8256243,351.7939,0,0,0.0480025,0.02995837,0.02971951,2.389393,303.2037,0,0,0.4030996,231.4877,0.285805,48.51431
1,4,135,0.7813637,-0.5343745,-0.3223578,1,7.750041,False,-0.00233699,-0.002103329,0.002388299,0.003948352,-0.02288248,-0.01123068,-0.004848252,0.9996634,2.973758,-0.881862,-0.4328163,-0.1868455,0.6253337,0.7557058,0.8377897,0.7978026,797.7052,0,0,0.0221959,0.03869224,0.04582496,0.08075185,16.02373,0,0,0.5177876,371.7478,0.1282864,27.90055
1,5,135,-0.1449691,-0.9199343,-0.3642868,1,11.27624,False,0.004942935,0.001682162,0.001608193,0.005463384,-0.03552971,0.002057924,0.0410882,-0.9985215,353.7679,-0.6536255,0.03785879,0.7558829,1.243847,1.14773,1.192454,2.015695,1384.579,0,0,0.05668566,0.07657757,0.114735,1.708887,221.0118,0,0,0.9937217,759.5768,0.3334385,83.06286
1,6,135,-0.1906993,-0.9522533,-0.238427,1,4.58229,False,-0.001059037,0.001425564,2.17855E-05,0.001776026,-0.04738315,-0.03717891,-0.01648355,0.9980485,7.160077,-0.7588255,-0.595408,-0.2639786,0.2839293,0.2517462,0.3084255,0.6288874,421.8853,0,0,0.02017072,0.02534604,0.03685412,0.06201541,19.4378,0,0,0.4055394,257.2357,0.1220978,23.57781
1,7,135,-0.2383065,0.9690344,0.06467021,1,5.222209,False,-0.001717225,-0.000344038,0.0006214678,0.001858345,0.03528172,-0.07403034,-0.01523328,0.9965153,9.569256,0.4229895,-0.8875434,-0.1826305,0.2740119,0.4679573,0.5995779,0.6262133,469.2855,0,0,0.01496833,0.02416388,0.0327738,0.05522803,10.40227,0,0,0.3314124,275.0196,0.08610496,22.62343
1,8,135,0.3768522,0.65319,-0.6567535,1,6.374726,False,0.001385886,0.0005731583,0.005635351,0.005831498,-0.00164246,0.03128855,-0.002542949,-0.9995059,356.3975,-0.05225344,0.9954181,-0.08090172,0.3558815,0.614373,0.6761396,0.6511971,501.0153,0,0,0.01958266,0.01769181,0.022148,0.05540728,13.11025,0,0,0.5224031,312.6239,0.1324424,30.41899
1,9,135,0.2252444,0.7149097,0.6619434,1,9.263229,False,-0.0001168437,-0.003029227,0.008053452,0.008605112,0.03006653,0.01887365,-0.03144335,-0.998875,354.5637,0.6340071,0.397985,-0.6630397,0.5568634,0.6023079,0.7147147,1.615296,930.3151,0,0,0.04225271,0.06738681,0.1118624,1.595033,206.7349,0,0,0.5773237,466.0349,0.459197,80.10299
1,10,135,0.924175,0.3320954,0.1887144,0.9999999,6.401181,False,-0.001971848,-0.003428698,0.006970048,0.008014095,-0.003029978,-0.007456241,0.008270013,0.9999335,1.321728,-0.2626953,-0.6464468,0.7169998,0.4577947,0.4813501,0.6609897,1.117504,614.8467,0,0,0,0,0,0,0,0,0,0.6138175,333.6295,0.2118282,40.16153
1,11,135,-0.3580354,-0.9056689,-0.2271005,1,5.819014,False,-0.0001059733,0.000480175,0.0004418194,0.0006610619,0.008910734,0.02060233,0.02524744,0.9994293,3.871665,0.2637824,0.6098858,0.747394,0.6336426,0.4500329,0.4834856,0.9861329,589.8358,0,0,0,0,0,0,0,0,0,0.5220587,398.119,0.1796384,40.38694
2,2,135,0.7257457,0.1949476,0.6597641,1,11.98532,False,-0.002004337,-0.0029006,0.00161913,0.003879746,-0.02562988,0.04827308,0.04786382,0.9973575,8.332527,-0.3527807,0.6644514,0.6588182,0.9657176,0.9316835,1.195156,2.216785,1435.654,0,0,0.03851723,0.03961025,0.005984054,1.47539,116.3154,0,0,0.9992064,701.7803,0.3155496,76.66958
2,3,135,0.8426325,0.372929,0.3884513,1,9.887514,False,-0.001968633,0.002389848,0.001460582,0.003423477,-0.01127846,0.04226816,0.005471651,0.9990277,5.053704,-0.2558199,0.9587334,0.1241089,0.6303528,0.7673232,0.9617125,1.793442,1056.619,0,0,0,0,0,0,0,0,0,0.5220105,440.694,0.8794023,158.1896
2,4,135,-0.6160679,-0.1494669,0.7733822,1,7.721925,False,-0.002014223,0.001954973,-8.434057E-05,0.002808225,-0.006773736,-0.03541399,-0.007464697,0.999322,4.220327,-0.1839652,-0.9617944,-0.2027307,0.4608689,0.5814221,0.8996525,1.107981,774.7164,0,0,0,0,0,0,0,0,0,0.6202241,482.6864,0.2186001,44.95716
2,5,135,-0.9105808,0.356867,-0.2085394,1,7.74951,False,-0.0003385209,0.001453042,0.006823897,0.006985092,-0.02351986,-0.01446147,-0.01392999,0.9995217,3.544218,-0.7605687,-0.4676449,-0.4504582,0.3752526,0.6027303,0.6417738,1.393958,793.8146,0,0,0,0,0,0,0,0,0,0.6077481,509.8755,0.168353,39.61507
2,6,135,0.3239088,-0.944308,0.05801332,1,5.708085,False,0.005652342,-0.00262332,0.0006411076,0.006264327,-0.03203299,-0.006341329,-0.001065595,0.9994662,3.744416,-0.9804966,-0.1941015,-0.03261676,0.4087406,0.28975,0.3561356,0.8728887,536.7681,0,0,0,0,0,0,0,0,0,0.5788287,402.0419,0.1696661,39.11468
2,7,135,-0.9569713,-0.2827583,-0.06522024,1,11.44375,False,0.001599837,-0.002246976,0.004490763,0.005270231,0.006753596,-0.06796434,-0.03915849,0.9968961,9.030977,0.08578343,-0.8632755,-0.4973868,0.8689535,0.7000491,0.906796,1.99108,1289.362,0,0,0,0,0,0,0,0,0,1.114288,856.1105,0.2913337,65.13338
2,8,135,0.03131301,0.01706692,0.9993639,1,6.763346,False,0.0007512644,-0.0004967451,0.004524052,0.00461283,-0.05500681,-0.02561849,-0.009103799,-0.9981158,352.9643,-0.8964677,-0.4175146,-0.1483682,0.5288881,0.4934669,0.6511021,0.8962837,686.9966,0,0,0,0,0,0,0,0,0,0.6258126,410.0083,0.1929212,34.37575
2,9,135,-0.476301,0.7514408,0.4565897,1,6.082683,False,-0.0007246174,-0.003367662,0.001686096,0.00383525,0.02065574,-0.01779848,0.003032921,0.9996237,3.143935,0.7529528,-0.6487988,0.1105575,0.4453946,0.4686053,0.6451365,1.076936,616.7715,0,0,0,0,0,0,0,0,0,0.3521831,243.6197,0.125616,38.17624
2,10,135,-0.2588254,-0.01386516,-0.9658246,1,6.74982,False,-0.00346737,0.002203465,0.005184352,0.006614788,0.001382143,-0.03928063,-0.01985261,0.9990301,5.047503,0.03138853,-0.8920646,-0.4508537,0.4174003,0.3810911,0.4029679,1.331413,680.8249,0,0,0,0,0,0,0,0,0,0.666838,500.9896,0.2189856,50.19796
2,11,135,-0.4591932,0.2021316,-0.8650343,1,4.722227,False,0.0003619902,0.00241524,0.001158834,0.002703205,0.04080331,0.03335331,-0.006493886,0.9985893,6.087379,0.7684581,0.6281505,-0.1223008,0.1959361,0.2955295,0.2999581,1.053592,537.4149,0,0,0,0,0,0,0,0,0,0.507735,343.1777,0.2622427,43.77493
3,2,135,-0.3489388,0.1534554,0.9244962,1,5.124376,False,0.001194552,-0.004163742,0.006296992,0.007643024,0.008005565,0.03511854,0.04858119,0.9981697,6.934479,0.1323717,0.5806835,0.8032879,0.5316867,0.5237066,0.4874974,0.8078341,589.6516,0,0,0,0,0,0,0,0,0,0.4336875,261.3162,0.1560925,34.07613
3,3,135,0.6080871,0.2105995,-0.7654266,1,7.986263,False,-0.006506156,-0.001421928,-0.001991093,0.006951,0.003622325,-0.004167309,-0.02593253,0.9996485,3.038337,0.1366324,-0.1571889,-0.9781628,0.8458342,0.7204096,0.9639298,1.297402,822.1318,0,0,0,0,0,0,0,0,0,0.8663661,519.7346,0.240979,45.3883
