Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1772971591564,0,1,1,135,-0.5906235,0.1823979,0.786063,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.545665,0.1685137,0.7262275,0.3826834,135,-0.5906235,0.1823979,0.786063
Grab,1772971597782,5.359212,1,1,135,-0.5906235,0.1823979,0.786063,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.545665,0.1685137,0.7262275,0.3826834,135,-0.5906235,0.1823979,0.786063
Trial Start,1772971597805,0,1,1,135,-0.5906235,0.1823979,0.786063,1,-1,-0.05000002,1,0.3,1.045227,-0.004598865,-0.006489624,-0.009862512,0.9999198,1.451554,-0.3630555,-0.5123207,-0.7785921,0.1,0,-2.980232E-08,0.1,-0.5469123,0.1797051,0.7256274,0.3769062,135.7157,-0.5904576,0.1940132,0.783402
Release,1772971598809,1.013813,1,1,135,-0.5906235,0.1823979,0.786063,1,0,0.002461061,1.02253,0.2504511,1.052758,-0.1413142,0.2934888,0.7220785,0.6103256,104.7739,-0.1783931,0.3704962,0.9115419,0.04753894,-0.02253008,0.04954895,0.07226793,-0.1874952,-0.3008517,0.303241,0.8845219,55.61454,-0.4019199,-0.6449141,0.6500357
Grab,1772971600489,2.694729,1,1,135,-0.5906235,0.1823979,0.786063,1,0,0.002461061,1.02253,0.2504511,1.052758,-0.1413142,0.2934888,0.7220785,0.6103256,104.7739,-0.1783931,0.3704962,0.9115419,0.04753894,-0.02253008,0.04954895,0.07226793,-0.1874952,-0.3008517,0.303241,0.8845219,55.61454,-0.4019199,-0.6449141,0.6500357
Clutch Start,1772971600835,3.041744,1,1,135,-0.5906235,0.1823979,0.786063,1,0,0.00783924,1.029702,0.2422106,1.057835,-0.4011633,0.1864869,0.6205035,0.6475076,99.2921,-0.5264203,0.2447145,0.8142461,0.04216076,-0.02970243,0.05778937,0.07745563,-0.1689351,-0.00950276,0.2669393,0.9487435,36.84811,-0.5345246,-0.03006751,0.8446178
Clutch End,1772971601170,3.374962,1,1,135,-0.5906235,0.1823979,0.786063,1,0,0.006681725,1.035168,0.2400392,1.062655,-0.474776,0.1682838,0.5991173,0.6223558,103.0233,-0.6065608,0.2149947,0.7654158,0.04331828,-0.03516757,0.05996081,0.08190562,-0.136656,0.05835414,0.2345199,0.9606875,32.23789,-0.4922193,0.2101849,0.844714
Release,1772971601170,3.374962,1,1,135,-0.5906235,0.1823979,0.786063,1,0,0.006681725,1.035168,0.2400392,1.062655,-0.474776,0.1682838,0.5991173,0.6223558,103.0233,-0.6065608,0.2149947,0.7654158,0.04331828,-0.03516757,0.05996081,0.08190562,-0.136656,0.05835414,0.2345199,0.9606875,32.23789,-0.4922193,0.2101849,0.844714
Grab,1772971602391,4.597666,1,1,135,-0.5906235,0.1823979,0.786063,1,0,0.006681725,1.035168,0.2400392,1.062655,-0.474776,0.1682838,0.5991173,0.6223558,103.0233,-0.6065608,0.2149947,0.7654158,0.04331828,-0.03516757,0.05996081,0.08190562,-0.136656,0.05835414,0.2345199,0.9606875,32.23789,-0.4922193,0.2101849,0.844714
On Target,1772971603601,5.819578,1,1,135,-0.5906235,0.1823979,0.786063,1,-1,0.05034742,1.01175,0.2957581,1.055294,-0.5132478,0.1193374,0.7763547,0.345845,139.5332,-0.5470024,0.1271858,0.827413,-0.0003474206,-0.01175022,0.004241914,0.01249729,-0.03646435,-0.03828366,-0.06730695,0.9963306,9.819831,-0.4260385,-0.4472948,-0.7863942
Clutch Start,1772971604058,6.264599,1,1,135,-0.5906235,0.1823979,0.786063,1,0,0.0454326,1.00379,0.2944985,1.047085,-0.5310109,0.1729168,0.7188208,0.4140339,131.083,-0.5833608,0.1899639,0.789686,0.004567396,-0.003789544,0.005501479,0.008092467,-0.01826887,-0.00300264,0.03047407,0.9993642,4.086886,-0.512349,-0.08420882,0.854643
Trial End,1772971604600,6.819383,1,2,135,-0.5906235,0.1823979,0.786063,1,-1,0.04660852,1.002148,0.2957294,1.045911,-0.5305327,0.1646887,0.7208452,0.4144815,131.0267,-0.582966,0.1809651,0.7920874,0.003391478,-0.002148151,0.004270583,0.005861276,-0.02501278,-0.001230353,0.0256152,0.9993582,4.105997,-0.6982159,-0.03434454,0.7150322
Trial Load,1772971604602,6.819383,1,2,135,-0.603853,-0.1846204,0.7754204,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.5578875,-0.170567,0.7163951,0.3826834,135,-0.6038531,-0.1846204,0.7754205
Grab,1772971607029,9.239178,1,2,135,-0.603853,-0.1846204,0.7754204,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.5578875,-0.170567,0.7163951,0.3826834,135,-0.6038531,-0.1846204,0.7754205
Trial Start,1772971607044,0,1,2,135,-0.603853,-0.1846204,0.7754204,1,-1,-0.04999999,1,0.3,1.045227,0.001255087,-0.003176511,0.0007508339,0.9999939,0.3995839,0.3599305,-0.9109514,0.2153222,0.09999999,0,0,0.09999999,-0.5605119,-0.1706684,0.7141172,0.3830606,134.9532,-0.6067964,-0.1847614,0.7730857
Release,1772971608114,1.070028,1,2,135,-0.603853,-0.1846204,0.7754204,1,0,-0.0111112,1.023391,0.2548642,1.054708,-0.2291114,0.5410061,0.6827149,0.4344201,128.5032,-0.2543674,0.6006438,0.7579738,0.0611112,-0.02339113,0.0451358,0.07949191,0.3493423,-0.4978756,0.3908522,0.6908796,92.60046,0.4832045,-0.6886532,0.5406201
Grab,1772971608962,1.916675,1,2,135,-0.603853,-0.1846204,0.7754204,1,0,-0.0111112,1.023391,0.2548642,1.054708,-0.2291114,0.5410061,0.6827149,0.4344201,128.5032,-0.2543674,0.6006438,0.7579738,0.0611112,-0.02339113,0.0451358,0.07949191,0.3493423,-0.4978756,0.3908522,0.6908796,92.60046,0.4832045,-0.6886532,0.5406201
Release,1772971609822,2.777503,1,2,135,-0.603853,-0.1846204,0.7754204,1,0,0.03674769,1.038531,0.2452633,1.067732,-0.7551876,-0.1721363,0.438394,0.4559293,125.7505,-0.8485101,-0.1934081,0.4925686,0.01325231,-0.0385313,0.05473667,0.06823774,-0.0139016,0.2845454,0.1916368,0.9392104,40.16127,-0.04048904,0.8287514,0.558151
Grab,1772971610778,3.734986,1,2,135,-0.603853,-0.1846204,0.7754204,1,0,0.03674769,1.038531,0.2452633,1.067732,-0.7551876,-0.1721363,0.438394,0.4559293,125.7505,-0.8485101,-0.1934081,0.4925686,0.01325231,-0.0385313,0.05473667,0.06823774,-0.0139016,0.2845454,0.1916368,0.9392104,40.16127,-0.04048904,0.8287514,0.558151
Clutch Start,1772971611821,4.776691,1,2,135,-0.603853,-0.1846204,0.7754204,1,0,0.06937908,1.001137,0.2892832,1.044401,-0.3781992,-0.2816772,0.8226312,0.3176495,142.9583,-0.3988567,-0.2970626,0.867564,-0.01937908,-0.001137376,0.01071686,0.02217416,-0.09396055,-0.1343829,-0.1798806,0.9699257,28.17479,-0.3860307,-0.5521034,-0.7390276
On Target,1772971612585,5.554493,1,2,135,-0.603853,-0.1846204,0.7754204,1,-1,0.04184383,1.008598,0.2844819,1.048786,-0.5154531,-0.2242474,0.7046321,0.4330299,128.68,-0.5718491,-0.2487825,0.7817263,0.008156169,-0.008598328,0.01551807,0.019526,-0.08478937,-0.01188218,0.003383917,0.9963224,9.830837,-0.9895471,-0.1386727,0.03949251
Off Target,1772971612641,5.610008,1,2,135,-0.603853,-0.1846204,0.7754204,1,-1,0.04344795,1.00718,0.2873645,1.048274,-0.5136759,-0.2239512,0.7051116,0.434512,128.4915,-0.5703289,-0.2486507,0.782878,0.006552055,-0.007179976,0.01263547,0.01594166,-0.08600233,-0.01378904,0.004124294,0.9961911,10.00491,-0.9862817,-0.1581339,0.04729773
On Target,1772971612695,5.665617,1,2,135,-0.603853,-0.1846204,0.7754204,1,-1,0.04525382,1.005373,0.2898673,1.047304,-0.5121083,-0.2219243,0.7064714,0.435193,128.4048,-0.5687961,-0.2464902,0.7846743,0.00474618,-0.005373359,0.01013267,0.0124125,-0.08529819,-0.01656252,0.004955232,0.9962056,9.985776,-0.9800791,-0.190304,0.05693578
Trial End,1772971613696,6.665738,1,3,135,-0.603853,-0.1846204,0.7754204,1,-1,0.0488844,0.9993764,0.2945943,1.043038,-0.5192352,-0.2142907,0.704037,0.4345185,128.4907,-0.5765033,-0.2379255,0.7816875,0.001115602,0.0006235838,0.005405754,0.005554782,-0.07714111,-0.01290487,0.01087799,0.9968774,9.058264,-0.9768924,-0.1634234,0.1377556
Trial Load,1772971613696,6.665738,1,3,135,-0.2170366,-0.3230444,-0.9211609,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.2005157,-0.2984541,-0.8510418,0.3826834,135,-0.2170366,-0.3230444,-0.921161
Grab,1772971615016,7.972126,1,3,135,-0.2170366,-0.3230444,-0.9211609,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.2005157,-0.2984541,-0.8510418,0.3826834,135,-0.2170366,-0.3230444,-0.921161
Trial Start,1772971615029,0,1,3,135,-0.2170366,-0.3230444,-0.9211609,1,-1,-0.05000002,1,0.3,1.045227,0.01018519,-0.002536685,0.001599836,0.9999437,1.216258,0.9596175,-0.2389988,0.1507317,0.1,0,0,0.1,-0.2017658,-0.2891194,-0.8551546,0.3800151,135.3308,-0.2181298,-0.3125681,-0.924511
Release,1772971615835,0.8051734,1,3,135,-0.2170366,-0.3230444,-0.9211609,1,0,-0.01612585,1.001795,0.2410793,1.03052,0.9101439,0.1467438,-0.3577159,0.1488072,162.8844,0.9203914,0.148396,-0.3617435,0.06612585,-0.001794577,0.05892076,0.08858614,-0.6097821,0.7457296,-0.231961,0.1350828,164.4732,-0.6154229,0.752628,-0.2341067
Grab,1772971616835,1.805021,1,3,135,-0.2170366,-0.3230444,-0.9211609,1,0,-0.01612585,1.001795,0.2410793,1.03052,0.9101439,0.1467438,-0.3577159,0.1488072,162.8844,0.9203914,0.148396,-0.3617435,0.06612585,-0.001794577,0.05892076,0.08858614,-0.6097821,0.7457296,-0.231961,0.1350828,164.4732,-0.6154229,0.752628,-0.2341067
Release,1772971617821,2.791108,1,3,135,-0.2170366,-0.3230444,-0.9211609,1,0,0.05305038,1.026883,0.2423102,1.056417,0.6920269,0.4421065,-0.398469,0.4084887,131.7801,0.7581668,0.4843605,-0.4365524,-0.003050376,-0.02688313,0.05768982,0.06371909,-0.8419115,0.3777411,-0.3130425,0.2247249,154.0266,-0.8640109,0.3876565,-0.3212595
Grab,1772971618682,3.652147,1,3,135,-0.2170366,-0.3230444,-0.9211609,1,0,0.05305038,1.026883,0.2423102,1.056417,0.6920269,0.4421065,-0.398469,0.4084887,131.7801,0.7581668,0.4843605,-0.4365524,-0.003050376,-0.02688313,0.05768982,0.06371909,-0.8419115,0.3777411,-0.3130425,0.2247249,154.0266,-0.8640109,0.3876565,-0.3212595
Release,1772971619917,4.887789,1,3,135,-0.2170366,-0.3230444,-0.9211609,1,0,0.04233738,1.015309,0.2562037,1.047991,-0.03904646,0.4150266,-0.870671,0.2610753,149.7323,-0.04044931,0.4299375,-0.901952,0.00766262,-0.01530862,0.0437963,0.04702324,-0.6504676,-0.0953898,0.2058783,0.7248496,87.08733,-0.9442021,-0.1384654,0.2988477
Grab,1772971621057,6.026604,1,3,135,-0.2170366,-0.3230444,-0.9211609,1,0,0.04233738,1.015309,0.2562037,1.047991,-0.03904646,0.4150266,-0.870671,0.2610753,149.7323,-0.04044931,0.4299375,-0.901952,0.00766262,-0.01530862,0.0437963,0.04702324,-0.6504676,-0.0953898,0.2058783,0.7248496,87.08733,-0.9442021,-0.1384654,0.2988477
