Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,-0.5906235,0.1823979,0.786063,1,6.819383,False,0.003391478,-0.002148151,0.004270583,0.005861276,-0.02501278,-0.001230353,0.0256152,0.9993582,4.105997,-0.6982159,-0.03434454,0.7150322,0.09849612,0.1371013,0.1590464,0.393046,208.6423,0.1677445,237.0259,0,0,0,0,0,0,0,0.3157889,323.2971,0.2523983,42.15787
1,3,135,-0.603853,-0.1846204,0.7754204,1,6.665738,False,0.001115602,0.0006235838,0.005405754,0.005554782,-0.07714111,-0.01290487,0.01087799,0.9968774,9.058264,-0.9768924,-0.1634234,0.1377556,0.1405319,0.1218244,0.2589497,0.3878881,307.7674,0.1290011,520.3558,0,0,0,0,0,0,0,0.3956791,653.9974,0.1237424,25.72738
1,4,135,-0.2170366,-0.3230444,-0.9211609,1,8.66518,False,0.0006376691,-0.001490474,0.007487714,0.007661201,0.0112212,-0.02095218,-0.02737987,0.9993426,4.15565,0.3094892,-0.5778773,-0.7551578,0.2038966,0.2536494,0.3813358,0.4375181,364.6346,0.2587861,919.0923,0,0,0,0,0,0,0,0.431686,975.9079,0.1274016,22.37741
1,5,135,-0.2139466,-0.08315053,0.9733,1,18.44344,False,-0.00513,-0.006490469,0.002157211,0.008549658,0.01434974,-0.03228035,0.00254246,-0.9993727,355.9408,0.4051819,-0.911474,0.07178938,0.5669882,0.4688363,0.9032007,0.980548,898.775,0.5759626,1580.19,0,0,0,0,0,0,0,0.9766618,1876.936,0.6403484,150.4497
1,6,135,-0.5122532,0.6445595,0.5675735,1,3.430682,False,-0.0004308186,-0.002162218,0.003393918,0.004047156,-0.005689957,-0.04546643,-0.008304972,0.9989152,5.33805,-0.1221905,-0.9763815,-0.1783474,0.08281767,0.1059558,0.0746443,0.3266354,211.8598,0.1023798,153.6222,0,0,0,0,0,0,0,0.3302612,306.8163,0.08176392,15.50167
1,7,135,-0.9823449,-0.1523613,-0.1085569,1,5.180602,False,0.0005704276,-0.001994014,0.01293701,0.0131022,0.03905261,0.03505663,-0.00985522,-0.9985735,353.8783,0.7313622,0.6565271,-0.1845648,0.1318519,0.07982028,0.1658165,0.4405802,251.3737,0.08974833,327.6636,0,0,0,0,0,0,0,0.3485024,445.8069,0.1272951,23.29638
1,8,135,-0.04276567,0.631485,-0.7742078,1,5.846347,False,0.005735163,-0.0001659393,0.008377194,0.01015367,-0.08072533,-0.02309533,-0.009500321,0.9964235,9.694462,-0.9553394,-0.2733203,-0.112431,0.1088252,0.1276412,0.1087547,0.2283092,177.2607,0.09677164,301.2851,0,0,0,0,0,0,0,0.2356509,287.5277,0.2037589,38.20322
1,9,135,-0.2584391,0.7624516,-0.5931921,1,4.790706,False,-0.006393742,0.004996002,-0.001371533,0.008229281,-0.04635564,-0.02003029,0.01890466,0.9985453,6.181837,-0.8597071,-0.3714798,0.350604,0.06986116,0.08350577,0.0849788,0.2951253,178.9889,0.08430736,216.2488,0,0,0,0,0,0,0,0.2542999,254.5005,0.1301725,32.40644
1,10,135,0.05162645,0.3781381,-0.9243085,1,4.777144,False,0.001912151,-0.001693249,0.004703283,0.005352036,0.009580838,0.02962656,0.02346111,0.9992398,4.468466,0.2457595,0.7599555,0.6018045,0.06788133,0.1249472,0.1261225,0.4410776,193.9741,0.09428636,240.0264,0,0,0,0,0,0,0,0.2682672,350.2343,0.1665098,33.46704
1,11,135,-0.1851518,0.9822851,0.02889311,1,8.527605,False,0.01289316,-0.01361799,0.006278604,0.01977636,-0.08246253,0.02674497,0.007466221,0.9962073,9.983422,-0.9477174,0.3073719,0.08580706,0.1740271,0.1972277,0.2227244,0.389669,294.6637,0.2004776,465.4487,0,0,0,0,0,0,0,0.3351206,553.7613,0.2374685,54.87242
