Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Thumb Tip Euro Position X,Right Thumb Tip Euro Position Y,Right Thumb Tip Euro Position Z,Right Thumb Tip Euro Position Magnitude,Right Index Tip Euro Position X,Right Index Tip Euro Position Y,Right Index Tip Euro Position Z,Right Index Tip Euro Position Magnitude,Right Middle Tip Euro Position X,Right Middle Tip Euro Position Y,Right Middle Tip Euro Position Z,Right Middle Tip Euro Position Magnitude,Right Triangle Local Position X,Right Triangle Local Position Y,Right Triangle Local Position Z,Right Triangle Local Position Magnitude,Right Triangle Local Rotation X,Right Triangle Local Rotation Y,Right Triangle Local Rotation Z,Right Triangle Local Rotation W,Right Triangle Local Rotation Angle,Right Triangle Local Rotation Axis X,Right Triangle Local Rotation Axis Y,Right Triangle Local Rotation Axis Z,Right Triangle Area,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Right Angle Scale Factor,Right Is Grabbed,Right Is Rotating,Right Is Clutching,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Thumb Tip Euro Position X,Left Thumb Tip Euro Position Y,Left Thumb Tip Euro Position Z,Left Thumb Tip Euro Position Magnitude,Left Index Tip Euro Position X,Left Index Tip Euro Position Y,Left Index Tip Euro Position Z,Left Index Tip Euro Position Magnitude,Left Middle Tip Euro Position X,Left Middle Tip Euro Position Y,Left Middle Tip Euro Position Z,Left Middle Tip Euro Position Magnitude,Left Triangle Local Position X,Left Triangle Local Position Y,Left Triangle Local Position Z,Left Triangle Local Position Magnitude,Left Triangle Local Rotation X,Left Triangle Local Rotation Y,Left Triangle Local Rotation Z,Left Triangle Local Rotation W,Left Triangle Local Rotation Angle,Left Triangle Local Rotation Axis X,Left Triangle Local Rotation Axis Y,Left Triangle Local Rotation Axis Z,Left Triangle Area,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Left Angle Scale Factor,Left Is Grabbed,Left Is Rotating,Left Is Clutching,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1772971774764,0.0147156,0.01409587,0.9186292,0.2137899,0.9432839,-0.572335,-0.1978061,-0.1858416,0.7738013,78.60704,-0.9035512,-0.3122785,-0.29339,-0.05397872,0.9868443,0.2922055,1.030611,-0.05164526,0.9992155,0.2928112,1.042515,-0.03318086,1.022766,0.301414,1.066772,-0.02354658,-0.08733936,0.1013697,0.1358618,-0.02185488,-0.08283485,0.114285,0.1428297,-0.001333335,-0.07299434,0.1396112,0.1575476,-0.02491256,-0.08871856,0.09986561,0.1358851,-0.02390329,-0.08078184,0.1213382,0.1477161,-0.0005929953,-0.06680635,0.1481687,0.1625343,-0.01039737,-0.07525644,0.1297585,0.1503626,-0.1859002,0.2270158,0.04512705,0.954918,34.53936,-0.6262017,0.7646989,0.1520097,2.554214,-0.01397665,-0.08049716,0.1073568,0.1349097,0.5772134,0.1760724,0.1542832,0.7823172,77.05357,0.926684,0.2826744,0.2476931,1.3,True,True,False,0,0,0,0,0,0,0,1,0,1,0,0,0.04266088,-0.03848437,0.1097695,0.1238965,0.01831053,-0.05863924,0.07202302,0.09466336,0.00719517,-0.04540315,0.0603161,0.07583699,0.0466502,-0.04208313,0.1200343,0.1354824,0.0200228,-0.06412274,0.07875807,0.1035156,0.007868008,-0.04964891,0.06595641,0.08292869,0.04665019,-0.04208314,0.1200343,0.1354824,0.02002279,-0.06412274,0.07875808,0.1035156,0.007868007,-0.04964891,0.06595641,0.08292869,0.03427215,-0.04618876,0.1023581,0.1174102,0.6079242,0.7308504,-0.2404399,-0.1961494,202.6237,0.6199677,0.7453291,-0.2452032,5.536904,-0.05,1,0.3,1.045227,-0.01429148,-0.005575446,0.002104914,0.9998801,1.774263,-0.9230308,-0.3600962,0.1359482,0.3548855,False,True,False,-0.05000002,1,0.3,1.045227,0.003656015,-0.01814684,-0.005046482,0.9998159,2.198634,0.1905678,-0.9458939,-0.2630451,0.1,0,0,0.1,-0.4350549,-0.8025777,-0.09799189,0.3962245,133.3153,-0.4738367,-0.8741213,-0.1067271,-0.008768195,1.180138,0.008546476,1.180202,-0.03091147,-0.07614762,0.03303137,-0.9960698,349.8371,-0.3489985,-0.8597263,0.3729327,False
1772971774779,0.0280128,0.01386134,0.9184135,0.2145481,0.9432425,-0.5751871,-0.1971347,-0.185538,0.7719284,78.94524,-0.9047955,-0.3101018,-0.2918597,-0.05386988,0.9873627,0.2925934,1.031212,-0.05125587,0.9981811,0.2931768,1.041607,-0.03321492,1.022639,0.3017026,1.066733,-0.02351797,-0.08723707,0.1014416,0.1358448,-0.021454,-0.08310205,0.1127186,0.1416746,-0.001385954,-0.07336716,0.139061,0.1572343,-0.02462247,-0.08841813,0.1001884,0.135874,-0.02340313,-0.08126722,0.1194737,0.1463763,-0.000752693,-0.06821142,0.1462143,0.1613443,-0.009860623,-0.07561033,0.1295139,0.1502931,-0.1830782,0.2300464,0.02894469,0.9553655,34.3662,-0.6197084,0.7786931,0.09797601,2.17019,-0.0134858,-0.0808208,0.1071331,0.1348754,0.5798227,0.163654,0.1371442,0.7862663,76.32413,0.9383944,0.2648604,0.2219564,1.297991,True,True,False,0,0,0,0,0,0,0,1,0,1,0,0,0.04266088,-0.03848437,0.1097695,0.1238965,0.01831053,-0.05863924,0.07202302,0.09466336,0.00719517,-0.04540315,0.0603161,0.07583699,0.0466502,-0.04208313,0.1200343,0.1354824,0.0200228,-0.06412274,0.07875807,0.1035156,0.007868008,-0.04964891,0.06595641,0.08292869,0.04665019,-0.04208314,0.1200343,0.1354824,0.02002279,-0.06412274,0.07875808,0.1035156,0.007868007,-0.04964891,0.06595641,0.08292869,0.03427215,-0.04618876,0.1023581,0.1174102,0.6079242,0.7308504,-0.2404399,-0.1961494,202.6237,0.6199677,0.7453291,-0.2452032,5.536904,-0.05,1,0.3,1.045227,-0.01429148,-0.005575446,0.002104914,0.9998801,1.774263,-0.9230308,-0.3600962,0.1359482,0.3548855,False,True,False,-0.0492266,1.000268,0.3005425,1.045603,0.00110436,-0.03747065,-0.01259854,0.9992177,4.532826,0.02792577,-0.9475143,-0.3185773,0.09922661,-0.0002679825,-0.0005424619,0.09922846,-0.4382314,-0.7916676,-0.1013096,0.4134635,131.1548,-0.4812976,-0.8694669,-0.1112656,-0.009101224,1.180155,0.008646496,1.180222,-0.03113358,-0.07589927,0.03256743,-0.9960971,349.8725,-0.3527317,-0.8599102,0.3689767,False
1772971774793,0.0417047,0.01359818,0.9181827,0.2153887,0.9432055,-0.5780565,-0.1963927,-0.1851393,0.7700675,79.28009,-0.9060983,-0.3078437,-0.2902041,-0.05374028,0.9878718,0.2930781,1.03183,-0.05084183,0.9970068,0.2936041,1.040582,-0.03336523,1.02209,0.3021551,1.066339,-0.02345379,-0.08711777,0.1015243,0.1358189,-0.02102923,-0.08333597,0.1110102,0.1403936,-0.001466193,-0.07397453,0.1381143,0.1566842,-0.02437413,-0.08814813,0.1004683,0.1358605,-0.02290655,-0.0817095,0.117597,0.145018,-0.0008998232,-0.06947465,0.1444319,0.1602751,-0.009276625,-0.07589522,0.1294066,0.150307,-0.1813858,0.2325408,0.009120873,0.9554793,34.32204,-0.6147462,0.7881189,0.03091213,1.807027,-0.01295174,-0.08108131,0.1070349,0.1349014,0.5805537,0.1480397,0.1172498,0.792019,75.2508,0.9509536,0.2424908,0.1920566,1.294151,True,True,False,0,0,0,0,0,0,0,1,0,1,0,0,0.04266088,-0.03848437,0.1097695,0.1238965,0.01831053,-0.05863924,0.07202302,0.09466336,0.00719517,-0.04540315,0.0603161,0.07583699,0.0466502,-0.04208313,0.1200343,0.1354824,0.0200228,-0.06412274,0.07875807,0.1035156,0.007868008,-0.04964891,0.06595641,0.08292869,0.04665019,-0.04208314,0.1200343,0.1354824,0.02002279,-0.06412274,0.07875808,0.1035156,0.007868007,-0.04964891,0.06595641,0.08292869,0.03427215,-0.04618876,0.1023581,0.1174102,0.6079242,0.7308504,-0.2404399,-0.1961494,202.6237,0.6199677,0.7453291,-0.2452032,5.536904,-0.05,1,0.3,1.045227,-0.01429148,-0.005575446,0.002104914,0.9998801,1.774263,-0.9230308,-0.3600962,0.1359482,0.3548855,False,True,False,-0.04886629,1.000411,0.3013409,1.045953,-0.001340428,-0.05736668,-0.01984527,0.9981551,6.961869,-0.02207685,-0.9448292,-0.3268516,0.0988663,-0.0004111528,-0.001340896,0.09887625,-0.4409495,-0.7802833,-0.1050363,0.4309162,128.9486,-0.4886452,-0.8646834,-0.1163977,-0.009395091,1.1802,0.008791867,1.18027,-0.03142358,-0.07565325,0.03215929,-0.9961199,349.9022,-0.3570611,-0.8596357,0.3654208,False
1772971774806,0.05562,0.01332846,0.9179563,0.2162411,0.9431763,-0.5811256,-0.1955463,-0.1846398,0.7680904,79.63457,-0.9075245,-0.3053781,-0.2883458,-0.0535464,0.9884335,0.2935655,1.032496,-0.05036048,0.995765,0.2939787,1.039475,-0.03356288,1.021254,0.3026421,1.065682,-0.02334844,-0.08697978,0.1016177,0.1357822,-0.02058775,-0.083515,0.1091667,0.138982,-0.001568853,-0.07475671,0.1368365,0.1559335,-0.02415377,-0.08790237,0.1007121,0.1358424,-0.0224149,-0.08209985,0.1157009,0.1436298,-0.0010396,-0.07064685,0.1427367,0.1592666,-0.008652331,-0.07614759,0.1293748,0.15037,-0.1816838,0.2339955,-0.01807977,0.9549399,34.53092,-0.6121439,0.7883965,-0.06091585,1.464532,-0.01238084,-0.08131208,0.1070059,0.1349637,0.5778111,0.1258716,0.09171802,0.801173,73.51545,0.9655409,0.2103354,0.1532637,1.289677,True,True,False,0,0,0,0,0,0,0,1,0,1,0,0,0.04266088,-0.03848437,0.1097695,0.1238965,0.01831053,-0.05863924,0.07202302,0.09466336,0.00719517,-0.04540315,0.0603161,0.07583699,0.0466502,-0.04208313,0.1200343,0.1354824,0.0200228,-0.06412274,0.07875807,0.1035156,0.007868008,-0.04964891,0.06595641,0.08292869,0.04665019,-0.04208314,0.1200343,0.1354824,0.02002279,-0.06412274,0.07875808,0.1035156,0.007868007,-0.04964891,0.06595641,0.08292869,0.03427215,-0.04618876,0.1023581,0.1174102,0.6079242,0.7308504,-0.2404399,-0.1961494,202.6237,0.6199677,0.7453291,-0.2452032,5.536904,-0.05,1,0.3,1.045227,-0.01429148,-0.005575446,0.002104914,0.9998801,1.774263,-0.9230308,-0.3600962,0.1359482,0.3548855,False,True,False,-0.04846078,1.000674,0.3022351,1.046443,-0.006385283,-0.08125241,-0.02790239,0.9962825,9.883942,-0.07412104,-0.9431865,-0.3238938,0.09846078,-0.0006737709,-0.002235085,0.09848845,-0.4426259,-0.7665969,-0.1079896,0.4524928,126.1925,-0.4963465,-0.8596372,-0.1210961,-0.009772914,1.180157,0.008901665,1.180231,-0.03124533,-0.07550609,0.03206854,-0.9961396,349.9279,-0.3559394,-0.8601474,0.3653171,False
1772971774823,0.0728664,0.01310096,0.9178572,0.2166153,0.9431626,-0.5818213,-0.1957149,-0.1849849,0.7674375,79.75134,-0.9075024,-0.3052685,-0.2885323,-0.05372152,0.9885921,0.293736,1.032706,-0.05036012,0.9949687,0.2941544,1.038762,-0.03399126,1.021279,0.3031637,1.065868,-0.02333203,-0.08690516,0.1016731,0.135773,-0.02034529,-0.08362506,0.1082047,0.1382582,-0.001578422,-0.07522799,0.1368836,0.1562014,-0.02394615,-0.0876549,0.1009523,0.135824,-0.02189729,-0.08248757,0.1137194,0.1421823,-0.001172475,-0.07184101,0.1412019,0.1584313,-0.007931049,-0.07640851,0.1295638,0.1506251,-0.1842345,0.2330142,-0.05922557,0.9530238,35.26316,-0.6082449,0.7692896,-0.1955315,1.125762,-0.01172123,-0.08155071,0.1071788,0.1351858,0.5696806,0.09107523,0.05646836,0.8148502,70.8549,0.9827642,0.1571152,0.09741439,1.260302,True,True,False,0,0,0,0,0,0,0,1,0,1,0,0,0.04266088,-0.03848437,0.1097695,0.1238965,0.01831053,-0.05863924,0.07202302,0.09466336,0.00719517,-0.04540315,0.0603161,0.07583699,0.0466502,-0.04208313,0.1200343,0.1354824,0.0200228,-0.06412274,0.07875807,0.1035156,0.007868008,-0.04964891,0.06595641,0.08292869,0.04665019,-0.04208314,0.1200343,0.1354824,0.02002279,-0.06412274,0.07875808,0.1035156,0.007868007,-0.04964891,0.06595641,0.08292869,0.03427215,-0.04618876,0.1023581,0.1174102,0.6079242,0.7308504,-0.2404399,-0.1961494,202.6237,0.6199677,0.7453291,-0.2452032,5.536904,-0.05,1,0.3,1.045227,-0.01429148,-0.005575446,0.002104914,0.9998801,1.774263,-0.9230308,-0.3600962,0.1359482,0.3548855,False,True,False,-0.04798559,1.001058,0.303131,1.047047,-0.01646518,-0.1133729,-0.03763907,0.9927028,13.85194,-0.136542,-0.9401758,-0.3121322,0.09798559,-0.001058221,-0.003130972,0.09804131,-0.4422692,-0.7480971,-0.1096099,0.4824254,122.3121,-0.5049099,-0.8540536,-0.1251345,-0.01010793,1.180165,0.009021597,1.180243,-0.0313029,-0.07532915,0.03149985,-0.9961694,349.9668,-0.357974,-0.8614498,0.3602263,False
1772971774835,0.0835117,0.0129053,0.9177753,0.2169391,0.9431546,-0.5824732,-0.195805,-0.1852195,0.7668632,79.85392,-0.9075469,-0.3050823,-0.2885891,-0.05384618,0.9887505,0.2938849,1.032906,-0.05025782,0.993934,0.2942799,1.037801,-0.03443902,1.0208,0.3036369,1.065558,-0.02330867,-0.0868273,0.1017309,0.1357625,-0.02004925,-0.08373892,0.1069798,0.1373276,-0.001628291,-0.07584997,0.136398,0.1560778,-0.02383623,-0.08751482,0.1010851,0.1358131,-0.02158161,-0.08270483,0.1124941,0.1412826,-0.001249099,-0.07255747,0.1403374,0.1579896,-0.007463734,-0.07657708,0.1297538,0.1508502,-0.1886128,0.230037,-0.09708385,0.9497805,36.47021,-0.6027569,0.7351378,-0.3102545,0.9296566,-0.01129389,-0.08170486,0.1073525,0.1353802,0.5582398,0.05801787,0.02551742,0.8272554,68.36438,0.9936164,0.1032666,0.04541869,1.259818,True,True,False,0,0,0,0,0,0,0,1,0,1,0,0,0.04266088,-0.03848437,0.1097695,0.1238965,0.01831053,-0.05863924,0.07202302,0.09466336,0.00719517,-0.04540315,0.0603161,0.07583699,0.0466502,-0.04208313,0.1200343,0.1354824,0.0200228,-0.06412274,0.07875807,0.1035156,0.007868008,-0.04964891,0.06595641,0.08292869,0.04665019,-0.04208314,0.1200343,0.1354824,0.02002279,-0.06412274,0.07875808,0.1035156,0.007868007,-0.04964891,0.06595641,0.08292869,0.03427215,-0.04618876,0.1023581,0.1174102,0.6079242,0.7308504,-0.2404399,-0.1961494,202.6237,0.6199677,0.7453291,-0.2452032,5.536904,-0.05,1,0.3,1.045227,-0.01429148,-0.005575446,0.002104914,0.9998801,1.774263,-0.9230308,-0.3600962,0.1359482,0.3548855,False,True,False,-0.04777263,1.001233,0.3038973,1.047427,-0.03110705,-0.1621116,-0.04889359,0.9850694,19.8266,-0.1806892,-0.9416456,-0.2840046,0.09777263,-0.001232505,-0.003897309,0.09785803,-0.43817,-0.7196977,-0.1137495,0.5264061,116.4741,-0.5153527,-0.8464709,-0.1337862,-0.01042565,1.180219,0.009218522,1.180301,-0.03118246,-0.07497261,0.03121434,-0.996209,350.0189,-0.3584526,-0.8618348,0.3588191,False
1772971774849,0.0971697,0.01271759,0.9176995,0.2172515,0.9431502,-0.5832234,-0.1958607,-0.1854268,0.7662284,79.96719,-0.9076443,-0.3048092,-0.2885713,-0.05394055,0.9889382,0.2940156,1.033128,-0.05008149,0.9927379,0.2943444,1.036666,-0.0349008,1.020025,0.3040602,1.064952,-0.02327431,-0.08674531,0.1017917,0.1357498,-0.01971409,-0.08383466,0.1055407,0.1362194,-0.001704122,-0.07656133,0.1355665,0.1557011,-0.02371792,-0.08735538,0.1012324,0.1357995,-0.02119111,-0.08294432,0.1109511,0.1401391,-0.001342782,-0.07343034,0.1392902,0.1574661,-0.006869064,-0.0768045,0.1300149,0.1511621,-0.2002034,0.2210347,-0.1702241,0.9391944,40.16662,-0.5830271,0.6436915,-0.4957221,0.7036398,-0.01075007,-0.08191283,0.1075912,0.1356508,0.5413912,0.02039302,-0.007938837,0.8404862,65.61704,0.9991841,0.03763708,-0.01465181,1.254163,True,True,False,0,0,0,0,0,0,0,1,0,1,0,0,0.04266088,-0.03848437,0.1097695,0.1238965,0.01831053,-0.05863924,0.07202302,0.09466336,0.00719517,-0.04540315,0.0603161,0.07583699,0.0466502,-0.04208313,0.1200343,0.1354824,0.0200228,-0.06412274,0.07875807,0.1035156,0.007868008,-0.04964891,0.06595641,0.08292869,0.04665019,-0.04208314,0.1200343,0.1354824,0.02002279,-0.06412274,0.07875808,0.1035156,0.007868007,-0.04964891,0.06595641,0.08292869,0.03427215,-0.04618876,0.1023581,0.1174102,0.6079242,0.7308504,-0.2404399,-0.1961494,202.6237,0.6199677,0.7453291,-0.2452032,5.536904,-0.05,1,0.3,1.045227,-0.01429148,-0.005575446,0.002104914,0.9998801,1.774263,-0.9230308,-0.3600962,0.1359482,0.3548855,False,True,False,-0.04767078,1.00144,0.3044523,1.047781,-0.04801085,-0.2060226,-0.05814312,0.9756377,25.34616,-0.2188402,-0.9390799,-0.2650245,0.09767078,-0.001439929,-0.004452318,0.09778281,-0.4312315,-0.6927515,-0.1145771,0.5665746,110.9766,-0.5233327,-0.8407072,-0.1390481,-0.01079658,1.180261,0.009369552,1.180348,-0.03099594,-0.07474095,0.03080174,-0.9962451,350.0665,-0.3580129,-0.8632815,0.3557698,False
1772971774862,0.1112773,0.01268823,0.9175892,0.2175703,0.943116,-0.5834953,-0.1958202,-0.1857457,0.7659545,80.01604,-0.9076063,-0.3045913,-0.2889208,-0.05388656,0.9889879,0.2942396,1.033237,-0.05001782,0.9926417,0.2945831,1.036638,-0.03500694,1.020004,0.3044711,1.065053,-0.02324487,-0.08666907,0.1018468,0.1357373,-0.01966046,-0.08380786,0.1054478,0.1361232,-0.001726426,-0.07678221,0.1356248,0.1558608,-0.02361592,-0.08720953,0.1013637,0.1357859,-0.02086283,-0.08313172,0.1097004,0.1392132,-0.001423814,-0.0741784,0.1384668,0.1570908,-0.006375981,-0.07704124,0.1302556,0.1514679,-0.2164807,0.2056484,-0.2638419,0.9171872,46.96347,-0.5432979,0.5161123,-0.6621597,0.5401189,-0.01088438,-0.08170746,0.1075438,0.1355,0.5417557,0.02041969,-0.007685328,0.8402529,65.66636,0.9991899,0.03766116,-0.01417447,1.15525,True,False,True,0,0,0,0,0,0,0,1,0,1,0,0,0.04266088,-0.03848437,0.1097695,0.1238965,0.01831053,-0.05863924,0.07202302,0.09466336,0.00719517,-0.04540315,0.0603161,0.07583699,0.0466502,-0.04208313,0.1200343,0.1354824,0.0200228,-0.06412274,0.07875807,0.1035156,0.007868008,-0.04964891,0.06595641,0.08292869,0.04665019,-0.04208314,0.1200343,0.1354824,0.02002279,-0.06412274,0.07875808,0.1035156,0.007868007,-0.04964891,0.06595641,0.08292869,0.03427215,-0.04618876,0.1023581,0.1174102,0.6079242,0.7308504,-0.2404399,-0.1961494,202.6237,0.6199677,0.7453291,-0.2452032,5.536904,-0.05,1,0.3,1.045227,-0.01429148,-0.005575446,0.002104914,0.9998801,1.774263,-0.9230308,-0.3600962,0.1359482,0.3548855,False,True,False,-0.04748092,1.00172,0.3051031,1.048229,-0.07002552,-0.254011,-0.06778802,0.9622784,31.57458,-0.2573836,-0.9336347,-0.2491595,0.09748092,-0.001719594,-0.005103081,0.09762955,-0.420601,-0.6613401,-0.1125107,0.6107907,104.7066,-0.5312014,-0.8352448,-0.1420962,-0.01112676,1.180212,0.009428307,1.180302,-0.03089756,-0.07435262,0.03044084,-0.9962883,350.1238,-0.3589433,-0.8637697,0.3536375,False
1772971774876,0.1249252,0.01265521,0.9174755,0.2179075,0.9430827,-0.5838046,-0.1957608,-0.1860529,0.7656593,80.06863,-0.907591,-0.3043326,-0.2892405,-0.05380205,0.9890423,0.2944906,1.033356,-0.04993737,0.9925005,0.2948229,1.036567,-0.0351725,1.019678,0.3049307,1.064877,-0.02318271,-0.08658665,0.1019028,0.1357161,-0.01959825,-0.08377305,0.105298,0.1359767,-0.001767647,-0.07715536,0.1353703,0.1558242,-0.02352507,-0.08708062,0.1014759,0.1357712,-0.02059871,-0.08326706,0.1087271,0.1384894,-0.001494552,-0.07482465,0.1377904,0.156803,-0.006001513,-0.0772984,0.1303985,0.1517064,-0.2355962,0.1837543,-0.3722605,0.8787212,57.02302,-0.4935654,0.3849586,-0.7798721,0.4370425,-0.01054194,-0.08194263,0.1076745,0.1357185,0.5417557,0.02041971,-0.007685319,0.8402528,65.66635,0.9991902,0.0376612,-0.01417446,1.299944,True,False,True,0,0,0,0,0,0,0,1,0,1,0,0,0.04266088,-0.03848437,0.1097695,0.1238965,0.01831053,-0.05863924,0.07202302,0.09466336,0.00719517,-0.04540315,0.0603161,0.07583699,0.0466502,-0.04208313,0.1200343,0.1354824,0.0200228,-0.06412274,0.07875807,0.1035156,0.007868008,-0.04964891,0.06595641,0.08292869,0.04665019,-0.04208314,0.1200343,0.1354824,0.02002279,-0.06412274,0.07875808,0.1035156,0.007868007,-0.04964891,0.06595641,0.08292869,0.03427215,-0.04618876,0.1023581,0.1174102,0.6079242,0.7308504,-0.2404399,-0.1961494,202.6237,0.6199677,0.7453291,-0.2452032,5.536904,-0.05,1,0.3,1.045227,-0.01429148,-0.005575446,0.002104914,0.9998801,1.774263,-0.9230308,-0.3600962,0.1359482,0.3548855,False,True,False,-0.04748093,1.00172,0.3051031,1.048229,-0.07002552,-0.254011,-0.06778801,0.9622784,31.57456,-0.2573838,-0.9336355,-0.2491597,0.09748093,-0.001719594,-0.005103111,0.09762955,-0.420601,-0.6613401,-0.1125107,0.6107908,104.7066,-0.5312014,-0.8352448,-0.1420963,-0.01139772,1.180231,0.0095301,1.180325,-0.03101095,-0.07383149,0.02975989,-0.9963441,350.1985,-0.3629967,-0.8642299,0.3483525,False
1772971774890,0.1389428,0.0125903,0.917423,0.217923,0.9430344,-0.5839845,-0.1962274,-0.187254,0.7651097,80.16649,-0.9069492,-0.3047483,-0.2908123,-0.05389488,0.9892092,0.2942652,1.033456,-0.04999804,0.9925044,0.2946059,1.036512,-0.03542056,1.019297,0.3048555,1.064499,-0.02318223,-0.08650876,0.1019592,0.1357088,-0.01956129,-0.08372378,0.1051862,0.1358546,-0.00182966,-0.07743502,0.1349204,0.1555732,-0.02345176,-0.08695978,0.1015785,0.1357578,-0.02037756,-0.08336529,0.1079301,0.137891,-0.001564962,-0.07540201,0.1371519,0.1565201,-0.005721888,-0.07757002,0.1304141,0.1518476,-0.2555009,0.1558532,-0.4882867,0.8197592,69.8786,-0.4461276,0.2721336,-0.8525924,0.3776999,-0.01028624,-0.08219098,0.1076888,0.1358604,0.5417557,0.02041971,-0.007685315,0.8402528,65.66635,0.9991902,0.0376612,-0.01417445,0.8571019,True,False,True,0,0,0,0,0,0,0,1,0,1,0,0,0.04266088,-0.03848437,0.1097695,0.1238965,0.01831053,-0.05863924,0.07202302,0.09466336,0.00719517,-0.04540315,0.0603161,0.07583699,0.0466502,-0.04208313,0.1200343,0.1354824,0.0200228,-0.06412274,0.07875807,0.1035156,0.007868008,-0.04964891,0.06595641,0.08292869,0.04665019,-0.04208314,0.1200343,0.1354824,0.02002279,-0.06412274,0.07875808,0.1035156,0.007868007,-0.04964891,0.06595641,0.08292869,0.03427215,-0.04618876,0.1023581,0.1174102,0.6079242,0.7308504,-0.2404399,-0.1961494,202.6237,0.6199677,0.7453291,-0.2452032,5.536904,-0.05,1,0.3,1.045227,-0.01429148,-0.005575446,0.002104914,0.9998801,1.774263,-0.9230308,-0.3600962,0.1359482,0.3548855,False,True,False,-0.0473116,1.00176,0.305769,1.048454,-0.0704395,-0.254136,-0.06808241,0.9621944,31.60994,-0.2586229,-0.9330758,-0.2499688,0.0973116,-0.001759768,-0.005769014,0.09749833,-0.4206343,-0.661134,-0.1121082,0.6110649,104.6669,-0.5313855,-0.8352076,-0.1416258,-0.01174466,1.180249,0.009658325,1.180347,-0.03087828,-0.07340403,0.02938682,-0.9963909,350.2614,-0.363773,-0.8647633,0.3462023,False
