Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1772971924782,0,1,1,135,0.6815143,-0.102925,-0.7245307,1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,0,0,0.1,0.6296371,-0.09509028,-0.6693791,0.3826834,135,0.6815143,-0.102925,-0.7245307
Trial Start,1772971929673,0,1,1,135,0.6815143,-0.102925,-0.7245307,1,-0.05066227,0.999202,0.3003872,1.044607,-0.003349204,0.001343858,-0.002371078,0.9999908,0.4925767,-0.7791493,0.3126313,-0.5516009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1006623,0.000797987,-0.0003871918,0.1006662,0.629788,-0.09933848,-0.6689932,0.3820305,135.081,0.6814782,-0.1074917,-0.7239012
Grab,1772971929880,0.2123986,1,1,135,0.6815143,-0.102925,-0.7245307,1,-0.05798422,0.9891549,0.2995859,1.035153,-0.004659518,-0.02319259,0.03734509,0.9990225,5.067473,-0.1054007,-0.5246284,0.844765,0.1168964,-0.06465748,0.02680505,0.1362493,0.4631224,0.6979203,-0.145354,0.5265904,116.4493,0.5447734,0.8209675,-0.1709807,-0.06343919,-0.4088945,-0.1043207,0.4267341,-0.527503,-0.2176178,0.8047363,-0.163655,198.8382,-0.5347121,-0.2205919,0.8157341,0.1079842,0.01084507,0.0004140735,0.1085282,0.6498805,-0.06572703,-0.6679701,0.3565829,138.219,0.6956072,-0.07035169,-0.7149695
Release,1772971930909,1.241224,1,1,135,0.6815143,-0.102925,-0.7245307,1,0.01818854,1.036716,0.1979431,1.0556,0.3679163,0.02131469,-0.6274825,0.6858929,93.38825,0.5055862,0.02929039,-0.8622789,0.1162683,-0.0788428,0.01432624,0.1412082,0.2025807,0.961186,-0.1334077,0.1314728,164.8906,0.2043545,0.9696024,-0.1345759,0.009822882,-0.4135317,-0.1940611,0.4569077,-0.2948713,-0.1845999,0.7091274,0.6132799,104.3459,-0.3733183,-0.2337105,0.8977823,0.03181146,-0.03671563,0.1020569,0.1130293,0.2171331,-0.2221893,-0.267401,0.9121305,48.39711,0.5297221,-0.5420573,-0.6523567
Grab,1772971931993,2.327008,1,1,135,0.6815143,-0.102925,-0.7245307,1,0.007310815,1.037205,0.2038281,1.057069,0.4269759,-0.13618,-0.3286647,0.83134,67.52674,0.768268,-0.2450319,-0.5913742,0.1258248,-0.08036126,0.02932275,0.15215,0.3677457,0.7300366,-0.5736746,0.05202993,174.0351,0.3682444,0.7310267,-0.5744526,0.01457004,-0.4290189,-0.1716303,0.4623056,-0.3289137,0.03495823,0.8800398,0.3407694,140.1525,-0.3498535,0.03718379,0.9360662,0.04268919,-0.03720534,0.09617189,0.1116048,0.4199491,0.05193075,-0.3855643,0.8199306,69.84431,0.7335829,0.0907146,-0.6735183
Release,1772971932563,2.894568,1,1,135,0.6815143,-0.102925,-0.7245307,1,-0.004139483,1.029417,0.1999263,1.048659,0.6162751,-0.2360783,-0.5351411,0.5273482,116.3471,0.7253288,-0.2778538,-0.6298376,0.1200638,-0.09384218,0.03491287,0.1563349,0.1860457,0.635839,-0.7372395,-0.1325666,195.2359,0.1877023,0.6415007,-0.7438042,0.01229462,-0.4224188,-0.1600087,0.4518756,-0.08036993,0.1445598,0.7492087,0.6413499,100.2149,-0.1047508,0.1884132,0.9764874,0.05413948,-0.02941656,0.1000737,0.1175209,0.2033389,0.1157745,-0.05816436,0.970498,27.90399,0.843349,0.4801753,-0.2412369
Grab,1772971932577,2.90922,1,1,135,0.6815143,-0.102925,-0.7245307,1,-0.004402826,1.029066,0.199738,1.04828,0.6164961,-0.2386986,-0.5427727,0.5180284,117.5998,0.7207417,-0.2790611,-0.6345522,0.1197453,-0.09501968,0.03513666,0.1568511,0.1844344,0.6337209,-0.7392141,-0.1339566,195.3966,0.1861118,0.6394845,-0.7459371,0.01266974,-0.4225669,-0.159107,0.4517061,-0.07586771,0.148471,0.7466322,0.644004,99.81793,-0.09917059,0.194074,0.9759613,0.05440283,-0.02906621,0.100262,0.1177157,0.1984145,0.1130063,-0.04737648,0.9724283,26.97132,0.850827,0.4845854,-0.2031564
Release,1772971932589,2.923405,1,1,135,0.6815143,-0.102925,-0.7245307,1,-0.004431813,1.028973,0.1997709,1.048196,0.6179076,-0.2407212,-0.5439601,0.5141507,118.1186,0.7204241,-0.280659,-0.634208,0.1193272,-0.09789518,0.03573374,0.1584278,0.1759856,0.6340019,-0.7409627,-0.1343317,195.44,0.1775952,0.6398007,-0.7477399,0.01325185,-0.4225186,-0.1580587,0.4513094,-0.06796487,0.1475382,0.7418463,0.6505978,98.82663,-0.08949544,0.1942768,0.9768558,0.05443181,-0.02897346,0.1002291,0.1176782,0.1966738,0.1143463,-0.04318719,0.9728203,26.77804,0.8493372,0.4938052,-0.1865042
Grab,1772971933327,3.659349,1,1,135,0.6815143,-0.102925,-0.7245307,1,-0.008462443,1.031647,0.1999391,1.050878,0.652658,-0.2024921,-0.493495,0.5380495,114.8981,0.7742884,-0.2402289,-0.5854635,0.1234988,-0.07828639,0.02174733,0.1478299,0.1788014,0.7884169,-0.5824792,-0.08454067,189.6992,0.1794438,0.7912494,-0.5845719,0.01546355,-0.4221706,-0.1558855,0.4502971,-0.1193052,0.1893104,0.7446684,0.6288061,102.0758,-0.1534349,0.2434665,0.9576961,0.05846244,-0.03164744,0.1000609,0.1201316,0.177632,0.1524799,-0.1058716,0.9664305,29.77572,0.6913686,0.5934733,-0.412067
Release,1772971934020,4.352962,1,1,135,0.6815143,-0.102925,-0.7245307,1,0.01285659,1.034141,0.1905462,1.051628,0.7346379,-0.1045905,-0.5741666,0.3459781,139.517,0.7829934,-0.1114749,-0.6119596,0.1154052,-0.1029122,0.03327568,0.1581662,0.09374144,0.6900906,-0.6690038,-0.2596563,210.0993,0.09707087,0.7146006,-0.6927649,0.006619001,-0.4199611,-0.1765481,0.4556099,-0.09409299,0.232009,0.5474828,0.7984866,74.02834,-0.1562974,0.385389,0.909421,0.03714341,-0.03414094,0.1094538,0.1205213,-0.04788004,0.1373605,-0.01586928,0.989236,16.82848,-0.3272085,0.938711,-0.1084494
