Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Total Thumb Tip Translation,Total Index Tip Translation,Total Middle Tip Translation,Total Thumb Tip Translation_left,Total Index Tip Translation_left,Total Middle Tip Translation_left,Total Wrist Translation,Total Wrist Rotation,Total Wrist Translation_left,Total Wrist Rotation_left,Total Die Translation,Total Die Rotation,Total Die Local Translation,Total Die Local Rotation,Total Die Local Translation_left,Total Die Local Rotation_left,Total Head Translation,Total Head Rotation,Total Grabbed Time,Total Grabbed Time_left
1,1,135,0.6815143,-0.102925,-0.7245307,1,18.86758,False,0.000175748,-0.002611518,0.001250803,0.002900935,-0.04475834,0.03597887,0.02877628,0.997935,7.365509,-0.696826,0.5601418,0.4480073,0.4041676,0.3919998,0.411406,0,0,0,0.655552,380.5073,0,0,0.5851964,811.245,0.3078279,704.5201,0,0,0.2432633,41.59103,12.13528,0
1,2,135,0.5251854,-0.2025141,0.82654,1,14.97115,False,4.436821E-06,0.0003489256,0.0004479885,0.0005678578,0.07015882,-0.0006811713,-0.001581747,0.9975345,8.048667,0.9996962,-0.009706041,-0.02253839,0.4007298,0.4488733,0.3778532,0,0,0,0.8614671,517.711,0,0,0.5062698,820.3656,0.3350968,625.1533,0,0,0.2112827,44.37358,9.537455,0
1,3,135,-0.158522,0.9716003,0.1756803,0.9999999,21.56776,False,-0.006688274,0.003782153,-0.005302399,0.009335584,-0.04047461,-0.008527805,0.006089728,0.9991257,4.792251,-0.9681076,-0.2039756,0.1456595,0.3311546,0.2700191,0.2700844,0,0,0,0.6304713,366.8784,0,0,0.4627804,660.0007,0.2499513,562.2149,0,0,0.2838051,51.39935,9.216777,0
1,4,135,-0.9540505,0.1926457,0.2295109,1,12.66652,False,0.0006989054,0.004185081,0.004656017,0.006299354,-0.02604638,-0.02482188,0.02836981,0.9989499,5.25229,-0.5684685,-0.5417436,0.6191779,0.101566,0.090604,0.1406456,0,0,0,0.2342535,168.1426,0,0,0.1895654,231.8575,0.1141037,175.0011,0,0,0.03663968,12.72275,2.207307,0
1,5,135,0.003536972,-0.869273,0.4943196,1,9.915385,False,-0.0007766597,-0.002718449,0.004896909,0.005654457,-0.06101349,0.04677185,0.01532963,0.9969227,8.992288,-0.7783131,0.5966409,0.195551,0.1445117,0.1257994,0.1381303,0,0,0,0.3721836,218.9297,0,0,0.2233844,378.4792,0.1540065,296.129,0,0,0.1299678,16.52592,7.095808,0
1,6,135,0.9810377,-0.1508613,0.1216792,0.9999999,9.322936,False,-0.003786024,-0.0001528263,-0.005128205,0.006376192,-0.03486582,0.03318778,-0.0241276,0.9985495,6.17309,-0.6475279,0.6163634,-0.4480978,0.1573136,0.1256715,0.1253059,0,0,0,0.297516,204.011,0,0,0.2043228,364.5878,0.1195814,244.4971,0,0,0.0821491,12.58995,2.850337,0
1,7,135,0.556318,0.6082988,-0.566112,1,7.609068,False,0.002597205,0.004578114,0.007594198,0.009239937,0.06646489,0.003462264,0.0108899,0.9977234,7.733808,0.9855562,0.05133923,0.161478,0.1331555,0.2086961,0.136435,0,0,0,0.2807536,214.228,0,0,0.2529398,352.6172,0.1288907,266.499,0,0,0.06421278,16.12617,3.249668,0
1,8,135,0.06443407,0.5983449,-0.7986436,1,7.458169,False,0.002370238,0.002716184,-0.002836704,0.004587219,-0.004916165,-0.01418968,-0.02124151,0.9996616,2.981119,-0.188995,-0.5455022,-0.8165995,0.125915,0.1049573,0.1023931,0,0,0,0.2120003,140.1802,0,0,0.1554661,291.5355,0.09963646,216.6027,0,0,0.06768937,12.88877,3.67954,0
1,9,135,-0.6652964,0.7101748,0.2302877,0.9999999,12.33235,False,0.0004120022,-0.003615856,0.007562667,0.008392741,0.02444795,-0.001795736,0.01461533,-0.9995927,356.7294,0.856701,-0.0629259,0.512148,0.2653024,0.2513525,0.2623124,0,0,0,0.3875011,380.2698,0,0,0.2933573,628.0991,0.1817145,388.3328,0,0,0.06235602,15.90048,3.33718,0
1,10,135,-0.6545209,-0.7323849,0.1876558,1,6.77636,False,-0.0001003444,-0.008779645,0.005259365,0.0102349,0.01713692,0.02199455,0.0431406,-0.9986799,354.1113,0.3336205,0.4281885,0.8398584,0.2329306,0.1536384,0.1555783,0,0,0,0.409635,242.2012,0,0,0.2990617,477.0306,0.1811778,366.1061,0,0,0.08751183,16.77117,4.145672,0
2,1,135,-0.1818138,0.78943,0.5862968,1,10.00613,False,0.008299794,0.001439869,0.006804228,0.01082854,0.02192986,0.02037848,0.01635061,0.999418,3.909493,0.6429184,0.5974365,0.4793514,0.1468434,0.1451845,0.1424557,0,0,0,0.337197,212.7079,0,0,0.2328063,358.0301,0.1145066,222.1396,0,0,0.06800204,23.06149,2.348497,0
2,2,135,-0.1272,0.7233745,-0.678638,1,10.7815,False,-0.005405646,0.0003154874,0.003927648,0.006689317,0.01741525,-0.03186934,0.02736596,0.9989656,5.212486,0.3829901,-0.7008594,0.6018226,0.2067939,0.2430144,0.2284329,0,0,0,0.351393,241.0474,0,0,0.2801085,452.2748,0.160985,343.5901,0,0,0.06918568,19.02089,5.511454,0
2,3,135,0.6807544,0.7257628,0.09920585,1,10.37701,False,-0.002527967,-0.001544595,0.007303476,0.007881444,-0.0001684891,-0.01475948,-0.05497131,0.9983789,6.525816,-0.002960219,-0.2593124,-0.9658025,0.1572628,0.123647,0.1491685,0,0,0,0.4100939,151.6517,0,0,0.252679,368.9872,0.1613967,329.6084,0,0,0.1249659,20.90348,6.095104,0
2,4,135,0.9752822,0.164689,-0.1473163,0.9999999,4.974629,False,0.001580372,0.002722621,-0.0004687309,0.003182758,-0.02912358,0.05075116,0.04892164,0.9970872,8.748336,-0.3818503,0.6654178,0.6414302,0.1222036,0.114067,0.107289,0,0,0,0.3351115,210.7075,0,0,0.2371016,356.3031,0.1078532,240.3948,0,0,0.1040921,16.00004,3.414027,0
