Timestamp,Trial Duration,Wrist World Position X,Wrist World Position Y,Wrist World Position Z,Wrist World Position Magnitude,Wrist World Rotation X,Wrist World Rotation Y,Wrist World Rotation Z,Wrist World Rotation W,Wrist World Rotation Angle,Wrist World Rotation Axis X,Wrist World Rotation Axis Y,Wrist World Rotation Axis Z,Wrist World Position_left X,Wrist World Position_left Y,Wrist World Position_left Z,Wrist World Position_left Magnitude,Wrist World Rotation_left X,Wrist World Rotation_left Y,Wrist World Rotation_left Z,Wrist World Rotation_left W,Wrist World Rotation_left Angle,Wrist World Rotation_left Axis X,Wrist World Rotation_left Axis Y,Wrist World Rotation_left Axis Z,Thumb Tip World Position X,Thumb Tip World Position Y,Thumb Tip World Position Z,Thumb Tip World Position Magnitude,Index Tip World Position X,Index Tip World Position Y,Index Tip World Position Z,Index Tip World Position Magnitude,Middle Tip World Position X,Middle Tip World Position Y,Middle Tip World Position Z,Middle Tip World Position Magnitude,Thumb Tip World Position_left X,Thumb Tip World Position_left Y,Thumb Tip World Position_left Z,Thumb Tip World Position_left Magnitude,Index Tip World Position_left X,Index Tip World Position_left Y,Index Tip World Position_left Z,Index Tip World Position_left Magnitude,Middle Tip World Position_left X,Middle Tip World Position_left Y,Middle Tip World Position_left Z,Middle Tip World Position_left Magnitude,Thumb Tip Local Position X,Thumb Tip Local Position Y,Thumb Tip Local Position Z,Thumb Tip Local Position Magnitude,Index Tip Local Position X,Index Tip Local Position Y,Index Tip Local Position Z,Index Tip Local Position Magnitude,Middle Tip Local Position X,Middle Tip Local Position Y,Middle Tip Local Position Z,Middle Tip Local Position Magnitude,Thumb Tip Local Position_left X,Thumb Tip Local Position_left Y,Thumb Tip Local Position_left Z,Thumb Tip Local Position_left Magnitude,Index Tip Local Position_left X,Index Tip Local Position_left Y,Index Tip Local Position_left Z,Index Tip Local Position_left Magnitude,Middle Tip Local Position_left X,Middle Tip Local Position_left Y,Middle Tip Local Position_left Z,Middle Tip Local Position_left Magnitude,Thumb Tip Euro Position X,Thumb Tip Euro Position Y,Thumb Tip Euro Position Z,Thumb Tip Euro Position Magnitude,Index Tip Euro Position X,Index Tip Euro Position Y,Index Tip Euro Position Z,Index Tip Euro Position Magnitude,Middle Tip Euro Position X,Middle Tip Euro Position Y,Middle Tip Euro Position Z,Middle Tip Euro Position Magnitude,Thumb Tip Euro Position_left X,Thumb Tip Euro Position_left Y,Thumb Tip Euro Position_left Z,Thumb Tip Euro Position_left Magnitude,Index Tip Euro Position_left X,Index Tip Euro Position_left Y,Index Tip Euro Position_left Z,Index Tip Euro Position_left Magnitude,Middle Tip Euro Position_left X,Middle Tip Euro Position_left Y,Middle Tip Euro Position_left Z,Middle Tip Euro Position_left Magnitude,Triangle Local Position X,Triangle Local Position Y,Triangle Local Position Z,Triangle Local Position Magnitude,Triangle Local Rotation X,Triangle Local Rotation Y,Triangle Local Rotation Z,Triangle Local Rotation W,Triangle Local Rotation Angle,Triangle Local Rotation Axis X,Triangle Local Rotation Axis Y,Triangle Local Rotation Axis Z,Triangle Local Position_left X,Triangle Local Position_left Y,Triangle Local Position_left Z,Triangle Local Position_left Magnitude,Triangle Local Rotation_left X,Triangle Local Rotation_left Y,Triangle Local Rotation_left Z,Triangle Local Rotation_left W,Triangle Local Rotation_left Angle,Triangle Local Rotation_left Axis X,Triangle Local Rotation_left Axis Y,Triangle Local Rotation_left Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is Grabbed,Is Grabbed_right,Is Grabbed_left,Is On Target
1772971968033,0.0133715,0.1605675,1.064929,0.2648457,1.109053,0.06679149,-0.9729083,0.1469683,0.1654952,160.948,0.06772538,-0.9865116,0.1490233,-0.1539367,0.65759,0.06876113,0.6788588,0.500438,0.2348736,-0.8312758,-0.05810905,186.6626,0.501285,0.2352712,-0.8326828,0.06810866,0.9797124,0.3049082,1.028321,0.02678407,0.9822479,0.3103509,1.030459,0.03428832,0.9837453,0.3328058,1.039081,-0.0536914,0.582348,0.1151108,0.5960389,-0.04037593,0.5641706,0.1541771,0.5862502,-0.08549523,0.5554565,0.1213968,0.5749596,0.1071866,-0.07483234,0.01807505,0.131968,0.1475321,-0.06648408,0.0248807,0.163722,0.148056,-0.07233015,0.001895316,0.1647902,-0.1116127,0.05951861,-0.04311533,0.1336368,-0.155635,0.05988441,-0.03332775,0.1700563,-0.1099314,0.07603739,-0.004405487,0.1337386,0.1070385,-0.07479793,0.01816255,0.1318402,0.1475908,-0.06651322,0.02501238,0.1638069,0.1477994,-0.07256731,0.001908814,0.1646643,-0.1116126,0.05951862,-0.04311535,0.1336367,-0.1556351,0.0598844,-0.03332773,0.1700563,-0.1099314,0.07603736,-0.004405485,0.1337386,0.1260066,-0.07243293,0.01563517,0.1461802,-0.1355829,0.8164413,-0.06155786,0.5578992,112.1787,-0.1633709,0.9837724,-0.07417425,-0.1286115,0.06568745,-0.02508662,0.146578,-0.1993377,0.02743607,0.03462034,0.9789347,23.56225,-0.9763149,0.1343762,0.1695633,-0.05007725,0.9999577,0.3000053,1.045192,-0.001030578,0.00203419,0.00133385,0.9999965,0.3013157,-0.3919331,0.7736107,0.5072687,0.1206655,-0.05130493,0.02242083,0.1330228,0.7829004,0.364071,-0.3716522,0.3411656,140.1042,0.8328699,0.3873082,-0.3953733,-0.1725499,-0.3771809,-0.1992067,0.4601328,-0.3058277,0.6810594,0.4723959,-0.4684758,235.8708,-0.3461641,0.7708858,0.5347013,0.1000773,4.225969E-05,-5.275011E-06,0.1000773,-0.1469275,0.896832,0.1611692,0.3848754,134.728,-0.1591902,0.9716822,0.1746205,-0.08514508,1.154909,0.05159738,1.159192,-0.03060501,-0.03206737,-0.06204054,-0.9970887,351.254,-0.4013808,-0.4205596,-0.8136539,False,False,False,False
1772971968046,0.0281818,0.005807588,0.9114892,0.1754531,0.9282403,-0.52754,-0.6767416,0.1109275,0.5014157,119.8126,-0.6097272,-0.7821735,0.1282092,-0.1539367,0.65759,0.06876113,0.6788588,0.500438,0.2348736,-0.8312758,-0.05810905,186.6626,0.501285,0.2352712,-0.8326828,-0.07631186,0.9666299,0.265541,1.00534,-0.03299181,1.027348,0.2898802,1.067971,-0.01699577,1.009389,0.3043521,1.054412,-0.0536914,0.582348,0.1151108,0.5960389,-0.04037593,0.5641706,0.1541771,0.5862502,-0.08549523,0.5554565,0.1213968,0.5749596,0.09122001,-0.08759219,0.04366305,0.1337907,0.1575722,-0.05258211,0.0206977,0.1673985,0.1518294,-0.06029022,-0.005673721,0.1634603,-0.1116127,0.05951861,-0.04311533,0.1336368,-0.155635,0.05988441,-0.03332775,0.1700563,-0.1099314,0.07603739,-0.004405487,0.1337386,0.1058125,-0.07578953,0.02013895,0.1317039,0.1483644,-0.0654335,0.02467798,0.16402,0.1481117,-0.07161579,0.001321136,0.1645225,-0.1116126,0.05951862,-0.04311535,0.1336367,-0.1556351,0.0598844,-0.03332773,0.1700563,-0.1099314,0.07603736,-0.004405485,0.1337386,0.1250616,-0.07259834,0.01649953,0.1455443,-0.1556095,0.8235275,-0.0481606,0.5433864,114.1711,-0.1853636,0.980994,-0.05736937,-0.1286115,0.06568745,-0.02508662,0.146578,-0.1993377,0.02743607,0.03462034,0.9789347,23.56225,-0.9763149,0.1343762,0.1695633,-0.0500828,0.9999533,0.3000037,1.045188,-0.001216997,0.002249547,0.001377365,0.9999958,0.3333781,-0.4183167,0.7732339,0.4734398,0.1396391,-0.08122833,0.01912979,0.1626747,0.5281497,0.6771699,-0.1084877,0.500729,119.9035,0.6101515,0.7823089,-0.1253318,-0.1236617,-0.3916478,-0.1131194,0.4260002,-0.5023806,-0.2351802,0.8299353,-0.05925561,186.7942,-0.503265,-0.2355942,0.8313963,0.1000828,4.667044E-05,-3.72529E-06,0.1000828,-0.1468602,0.8967728,0.1610167,0.3851028,134.6998,-0.1591336,0.9717178,0.1744731,-0.08485635,1.154855,0.05169259,1.159122,-0.03075194,-0.03207038,-0.06114961,-0.9971392,351.3301,-0.4068413,-0.424284,-0.8089958,False,False,False,False
1772971968060,0.0417526,0.00541945,0.9111521,0.1759145,0.9279943,-0.5261755,-0.6800905,0.1123524,0.4979891,120.2659,-0.6067639,-0.7842524,0.1295601,-0.1539367,0.65759,0.06876113,0.6788588,0.500438,0.2348736,-0.8312758,-0.05810905,186.6626,0.501285,0.2352712,-0.8326828,-0.07703353,0.9657012,0.2659588,1.004613,-0.03501859,1.027362,0.2896846,1.067997,-0.01853997,1.009988,0.3044448,1.055038,-0.0536914,0.582348,0.1151108,0.5960389,-0.04037593,0.5641706,0.1541771,0.5862502,-0.08549523,0.5554565,0.1213968,0.5749596,0.09139162,-0.08776671,0.04273923,0.1337238,0.1577762,-0.05249644,0.02084456,0.167582,0.152469,-0.05985295,-0.00578253,0.1638982,-0.1116127,0.05951861,-0.04311533,0.1336368,-0.155635,0.05988441,-0.03332775,0.1700563,-0.1099314,0.07603739,-0.004405487,0.1337386,0.1045848,-0.0768092,0.02206299,0.1316222,0.1491657,-0.06433212,0.02435162,0.1642621,0.1484827,-0.07061438,0.000716375,0.1644202,-0.1116126,0.05951862,-0.04311535,0.1336367,-0.1556351,0.0598844,-0.03332773,0.1700563,-0.1099314,0.07603736,-0.004405485,0.1337386,0.1240846,-0.07281061,0.01741141,0.144919,-0.1732297,0.8287997,-0.0350123,0.5309018,115.8672,-0.2044169,0.9780116,-0.0413157,-0.1286115,0.06568745,-0.02508662,0.146578,-0.1993377,0.02743607,0.03462034,0.9789347,23.56225,-0.9763149,0.1343762,0.1695633,-0.05009357,0.9999443,0.3000054,1.04518,-0.001414085,0.002502401,0.001481954,0.9999948,0.3690349,-0.4390974,0.7770379,0.4601718,0.1401134,-0.08011709,0.01771364,0.1623709,0.5267567,0.6806199,-0.1096547,0.4972523,120.3633,0.6071381,0.7844803,-0.1263876,-0.1236592,-0.3916439,-0.1131138,0.4259945,-0.5025586,-0.2353257,0.8297806,-0.05933445,186.8032,-0.5034457,-0.2357411,0.8312452,0.1000936,5.573034E-05,-5.424023E-06,0.1000936,-0.1468375,0.8966919,0.1608366,0.3853753,134.6659,-0.1591285,0.9717498,0.1742995,-0.08464509,1.154794,0.05179073,1.15905,-0.03110421,-0.03230904,-0.05997716,-0.9971918,351.4102,-0.4153346,-0.4314227,-0.8008752,False,False,False,False
1772971968075,0.05552449,0.005024916,0.9106038,0.1766517,0.9275939,-0.5251119,-0.6829735,0.1135291,0.4948898,120.675,-0.6043023,-0.7859704,0.1306501,-0.1539367,0.65759,0.06876113,0.6788588,0.500438,0.2348736,-0.8312758,-0.05810905,186.6626,0.501285,0.2352712,-0.8326828,-0.07751626,0.9646365,0.2667953,1.003849,-0.03681759,1.027405,0.2897594,1.068118,-0.01976672,1.01068,0.3049046,1.055856,-0.0536914,0.582348,0.1151108,0.5960389,-0.04037593,0.5641706,0.1541771,0.5862502,-0.08549523,0.5554565,0.1213968,0.5749596,0.09160607,-0.08791874,0.04167812,0.1336355,0.1581484,-0.05226198,0.0210797,0.1678886,0.1534098,-0.05923817,-0.005914688,0.1645561,-0.1116127,0.05951861,-0.04311533,0.1336368,-0.155635,0.05988441,-0.03332775,0.1700563,-0.1099314,0.07603739,-0.004405487,0.1337386,0.103565,-0.07768206,0.02360412,0.1315955,0.1498715,-0.06338379,0.02409455,0.1644977,0.1488698,-0.06972057,0.0001953825,0.1643874,-0.1116126,0.05951862,-0.04311535,0.1336367,-0.1556351,0.0598844,-0.03332773,0.1700563,-0.1099314,0.07603736,-0.004405485,0.1337386,0.1232679,-0.07301719,0.01818934,0.1444207,-0.1861479,0.8319386,-0.02412526,0.5221543,117.0463,-0.2182654,0.9754794,-0.02828778,-0.1286115,0.06568745,-0.02508662,0.146578,-0.1993377,0.02743607,0.03462034,0.9789347,23.56225,-0.9763149,0.1343762,0.1695633,-0.05015976,0.9998541,0.3000495,1.04511,-0.002742185,0.003193604,0.001227126,0.9999904,0.5020199,-0.6259344,0.7289757,0.2801051,0.1405221,-0.0788155,0.01665998,0.161975,0.5257056,0.6835907,-0.1105153,0.4940889,120.7806,0.6046684,0.7862685,-0.1271151,-0.1236583,-0.3916382,-0.1131009,0.4259855,-0.5027815,-0.2354517,0.8296009,-0.05946057,186.8177,-0.5036727,-0.235869,0.8310715,0.1001598,0.0001458526,-4.944205E-05,0.1001599,-0.1459876,0.8966762,0.1598425,0.3861472,134.57,-0.158263,0.972073,0.1732828,-0.08432293,1.154702,0.05189787,1.15894,-0.03131333,-0.03242323,-0.05880246,-0.9972515,351.502,-0.422636,-0.4376163,-0.7936567,False,False,False,False
1772971968088,0.0698212,0.004330083,0.9096255,0.1780888,0.926905,-0.5240795,-0.6860391,0.1147383,0.4914533,121.1277,-0.6017649,-0.7877321,0.1317462,-0.1539367,0.65759,0.06876113,0.6788588,0.500438,0.2348736,-0.8312758,-0.05810905,186.6626,0.501285,0.2352712,-0.8326828,-0.07764063,0.9628152,0.2689973,1.002697,-0.03919223,1.027395,0.2902032,1.068314,-0.02124822,1.011298,0.3060423,1.056805,-0.0536914,0.582348,0.1151108,0.5960389,-0.04037593,0.5641706,0.1541771,0.5862502,-0.08549523,0.5554565,0.1213968,0.5749596,0.09196036,-0.08826847,0.03955606,0.1334643,0.1586752,-0.05181457,0.0217016,0.1683257,0.154641,-0.05841871,-0.006085157,0.1654195,-0.1116127,0.05951861,-0.04311533,0.1336368,-0.155635,0.05988441,-0.03332775,0.1700563,-0.1099314,0.07603739,-0.004405487,0.1337386,0.1026408,-0.07852516,0.02487454,0.1316058,0.1505726,-0.06246242,0.02390398,0.1647576,0.1493294,-0.06882048,-0.0003047998,0.1644251,-0.1116126,0.05951862,-0.04311535,0.1336367,-0.1556351,0.0598844,-0.03332773,0.1700563,-0.1099314,0.07603736,-0.004405485,0.1337386,0.1225586,-0.07322576,0.01886127,0.1440083,-0.1967048,0.8335284,-0.0138391,0.5160873,117.8597,-0.2296516,0.9731389,-0.01615706,-0.1286115,0.06568745,-0.02508662,0.146578,-0.1993377,0.02743607,0.03462034,0.9789347,23.56225,-0.9763149,0.1343762,0.1695633,-0.05018102,0.9998359,0.3000471,1.045092,-0.003508999,0.003835738,0.00146797,0.9999855,0.6180209,-0.6506288,0.711212,0.2721869,0.1408654,-0.0767734,0.01573422,0.1611979,0.5239351,0.6872736,-0.1105792,0.4908355,121.209,0.6013586,0.7888342,-0.1269198,-0.123691,-0.3915875,-0.1129969,0.4259208,-0.5032168,-0.2367223,0.8289542,-0.05975077,186.851,-0.5041175,-0.237146,0.830438,0.100181,0.0001640916,-4.708767E-05,0.1001812,-0.1458054,0.8965153,0.1591552,0.3868731,134.4799,-0.1581176,0.972219,0.1725947,-0.08397053,1.154605,0.05200607,1.158822,-0.03153645,-0.03281374,-0.05738409,-0.9973143,351.5997,-0.4305848,-0.4480244,-0.7834972,False,False,False,False
1772971968102,0.0834884,0.004144982,0.9092618,0.1787577,0.9266761,-0.5234165,-0.6883224,0.1158981,0.4886873,121.4913,-0.5999324,-0.7889452,0.1328408,-0.1539367,0.65759,0.06876113,0.6788588,0.500438,0.2348736,-0.8312758,-0.05810905,186.6626,0.501285,0.2352712,-0.8326828,-0.07831997,0.9621739,0.2693425,1.002226,-0.04055336,1.027408,0.2902178,1.068381,-0.02245588,1.011462,0.3063136,1.057066,-0.0536914,0.582348,0.1151108,0.5960389,-0.04037593,0.5641706,0.1541771,0.5862502,-0.08549523,0.5554565,0.1213968,0.5749596,0.09196258,-0.08837471,0.03922441,0.1334382,0.1588336,-0.0517116,0.02185509,0.1684632,0.1548756,-0.05830386,-0.006104514,0.1655991,-0.1116127,0.05951861,-0.04311533,0.1336368,-0.155635,0.05988441,-0.03332775,0.1700563,-0.1099314,0.07603739,-0.004405487,0.1337386,0.1017607,-0.079337,0.02605732,0.1316381,0.1512535,-0.06157628,0.0237351,0.1650231,0.1497866,-0.06795365,-0.0007828397,0.164482,-0.1116126,0.05951862,-0.04311535,0.1336367,-0.1556351,0.0598844,-0.03332773,0.1700563,-0.1099314,0.07603736,-0.004405485,0.1337386,0.1218827,-0.07344861,0.01951383,0.1436345,-0.2056971,0.8345987,-0.004556026,0.5109921,118.5401,-0.239298,0.9709318,-0.00530026,-0.1286115,0.06568745,-0.02508662,0.146578,-0.1993377,0.02743607,0.03462034,0.9789347,23.56225,-0.9763149,0.1343762,0.1695633,-0.05030645,0.9996368,0.3001909,1.044949,-0.005590862,0.004069783,0.0006474361,0.9999759,0.7952419,-0.8056251,0.5864426,0.09329345,0.141017,-0.07587889,0.01492363,0.1608294,0.523149,0.6898252,-0.110756,0.4880468,121.5754,0.5993796,0.790343,-0.1268948,-0.1236847,-0.3915733,-0.1129735,0.4258997,-0.5037602,-0.2372754,0.8284346,-0.06018361,186.9007,-0.5046751,-0.2377063,0.8299392,0.1003065,0.0003631711,-0.0001908541,0.1003073,-0.1442328,0.8968752,0.1576332,0.3872513,134.4328,-0.1564391,0.9727769,0.1709735,-0.08358792,1.154558,0.05219088,1.158756,-0.03181562,-0.03321045,-0.0559907,-0.9973715,351.6897,-0.4390932,-0.4583436,-0.772738,False,False,False,False
1772971968115,0.0975597,0.003746666,0.9084088,0.1807984,0.9262336,-0.5229569,-0.6902584,0.1171302,0.4861482,121.8246,-0.5984334,-0.7898809,0.1340352,-0.1539367,0.65759,0.06876113,0.6788588,0.500438,0.2348736,-0.8312758,-0.05810905,186.6626,0.501285,0.2352712,-0.8326828,-0.07903308,0.9611932,0.2710989,1.001815,-0.04174544,1.027192,0.2914041,1.068542,-0.02367373,1.011402,0.3079844,1.05752,-0.0536914,0.582348,0.1151108,0.5960389,-0.04037593,0.5641706,0.1541771,0.5862502,-0.08549523,0.5554565,0.1213968,0.5749596,0.09203393,-0.08838744,0.03886211,0.1333898,0.1590704,-0.05123357,0.02200501,0.16856,0.1553243,-0.05807632,-0.006100997,0.1659389,-0.1116127,0.05951861,-0.04311533,0.1336368,-0.155635,0.05988441,-0.03332775,0.1700563,-0.1099314,0.07603739,-0.004405487,0.1337386,0.1009915,-0.08005273,0.02706996,0.1316833,0.1518717,-0.06075836,0.02359828,0.1652678,0.1502245,-0.06717253,-0.001203413,0.164563,-0.1116126,0.05951862,-0.04311535,0.1336367,-0.1556351,0.0598844,-0.03332773,0.1700563,-0.1099314,0.07603736,-0.004405485,0.1337386,0.1212986,-0.07365146,0.02009252,0.1433234,-0.2132146,0.835086,0.002993218,0.5071114,119.0568,-0.247383,0.9689116,0.003472892,-0.1286115,0.06568745,-0.02508662,0.146578,-0.1993377,0.02743607,0.03462034,0.9789347,23.56225,-0.9763149,0.1343762,0.1695633,-0.05033986,0.9995989,0.3002114,1.044921,-0.00623212,0.00447142,0.00086241,0.9999703,0.8838103,-0.8080356,0.5797492,0.1118172,0.1406916,-0.07405496,0.01485194,0.1596836,0.5211499,0.6925365,-0.1108252,0.4863269,121.8011,0.5964335,0.792578,-0.1268346,-0.1238046,-0.3914794,-0.1127437,0.4257874,-0.5036362,-0.239428,0.8278683,-0.06048784,186.9356,-0.5045602,-0.2398672,0.8293869,0.1003399,0.0004011393,-0.0002114177,0.1003409,-0.1441144,0.896789,0.1570332,0.3877384,134.3723,-0.1563453,0.9728995,0.1703606,-0.0829127,1.154458,0.05240582,1.158617,-0.0322709,-0.03393429,-0.05448974,-0.9974157,351.7598,-0.449161,-0.4723128,-0.758413,False,False,False,False
1772971968130,0.1103328,0.00363345,0.9080569,0.1815542,0.9260359,-0.5226672,-0.691952,0.1184792,0.4837192,122.1428,-0.5971816,-0.7906005,0.1353702,-0.1539367,0.65759,0.06876113,0.6788588,0.500438,0.2348736,-0.8312758,-0.05810905,186.6626,0.501285,0.2352712,-0.8326828,-0.07960315,0.9608355,0.2714108,1.001601,-0.04271673,1.027187,0.2915189,1.068607,-0.02457519,1.011616,0.3083306,1.057846,-0.0536914,0.582348,0.1151108,0.5960389,-0.04037593,0.5641706,0.1541771,0.5862502,-0.08549523,0.5554565,0.1213968,0.5749596,0.09205564,-0.08837457,0.03877895,0.1333721,0.1591537,-0.05114954,0.02205577,0.1686198,0.1555375,-0.05799078,-0.006128326,0.1661096,-0.1116127,0.05951861,-0.04311533,0.1336368,-0.155635,0.05988441,-0.03332775,0.1700563,-0.1099314,0.07603739,-0.004405487,0.1337386,0.1002656,-0.08072872,0.02802109,0.1317403,0.1524632,-0.05997783,0.02347298,0.1655093,0.1506561,-0.06642669,-0.001603467,0.1646582,-0.1116126,0.05951862,-0.04311535,0.1336367,-0.1556351,0.0598844,-0.03332773,0.1700563,-0.1099314,0.07603736,-0.004405485,0.1337386,0.1207476,-0.07385499,0.02064931,0.1430418,-0.2197434,0.8353771,0.009739425,0.503749,119.5033,-0.2543769,0.9670396,0.01127444,-0.1286115,0.06568745,-0.02508662,0.146578,-0.1993377,0.02743607,0.03462034,0.9789347,23.56225,-0.9763149,0.1343762,0.1695633,-0.05038594,0.9995533,0.3002363,1.044886,-0.006978949,0.005131531,0.00142905,0.9999615,1.0056,-0.7952775,0.5847573,0.1628457,0.1406693,-0.07335096,0.0142958,0.1592878,0.5207636,0.694382,-0.1114091,0.4839703,122.1099,0.5951008,0.7935027,-0.1273124,-0.1238173,-0.3914598,-0.1126943,0.4257599,-0.5039805,-0.2398755,0.8274995,-0.06089279,186.9821,-0.5049174,-0.2403214,0.8290379,0.1003859,0.0004466772,-0.000236243,0.1003872,-0.1442288,0.8965668,0.1562412,0.3885289,134.274,-0.156526,0.9730098,0.1695627,-0.08244123,1.154336,0.05249704,1.158466,-0.03256374,-0.03436268,-0.05289481,-0.9974773,351.8587,-0.4587336,-0.4840758,-0.7451425,False,False,False,False
1772971968144,0.1246273,0.00348044,0.9076616,0.1825079,0.9258353,-0.522507,-0.6932223,0.1198599,0.4817293,122.4032,-0.5962512,-0.7910604,0.1367764,-0.1539367,0.65759,0.06876113,0.6788588,0.500438,0.2348736,-0.8312758,-0.05810905,186.6626,0.501285,0.2352712,-0.8326828,-0.08006502,0.9604747,0.2720351,1.001462,-0.04353554,1.02723,0.2919331,1.068794,-0.02533613,1.011725,0.3088526,1.05812,-0.0536914,0.582348,0.1151108,0.5960389,-0.04037593,0.5641706,0.1541771,0.5862502,-0.08549523,0.5554565,0.1213968,0.5749596,0.09209044,-0.08836332,0.0386712,0.1333574,0.1593268,-0.05105547,0.02211898,0.1687629,0.1556698,-0.0578955,-0.006125227,0.1662002,-0.1116127,0.05951861,-0.04311533,0.1336368,-0.155635,0.05988441,-0.03332775,0.1700563,-0.1099314,0.07603739,-0.004405487,0.1337386,0.09965825,-0.08129592,0.02881232,0.1317989,0.1529731,-0.05931496,0.02337239,0.1657266,0.1510286,-0.06579287,-0.001939404,0.1647486,-0.1116126,0.05951862,-0.04311535,0.1336367,-0.1556351,0.0598844,-0.03332773,0.1700563,-0.1099314,0.07603736,-0.004405485,0.1337386,0.1202883,-0.07403282,0.02112381,0.1428158,-0.2247781,0.8355179,0.01518566,0.5011526,119.8474,-0.2597513,0.9655161,0.0175484,-0.1286115,0.06568745,-0.02508662,0.146578,-0.1993377,0.02743607,0.03462034,0.9789347,23.56225,-0.9763149,0.1343762,0.1695633,-0.05087157,0.9992918,0.3006043,1.044765,-0.006377354,-0.004675934,0.009413682,0.9999245,1.408311,-0.5189161,-0.380474,0.7659777,0.1405172,-0.07255581,0.01400806,0.1587629,0.5207306,0.6957574,-0.1116477,0.4819713,122.3716,0.5943143,0.7940739,-0.1274244,-0.1238297,-0.3914371,-0.11263,0.4257256,-0.5046145,-0.240249,0.8269535,-0.06158202,187.0612,-0.5055742,-0.2407059,0.8285261,0.1008716,0.0007082224,-0.0006042719,0.1008759,-0.1532127,0.8990197,0.1522833,0.3809191,135.2188,-0.1657055,0.9723247,0.1647003,-0.08191504,1.154258,0.05265981,1.158359,-0.03295512,-0.03500891,-0.05138304,-0.997521,351.9296,-0.468314,-0.4974997,-0.7301869,False,False,False,False
1772971968157,0.1428893,0.003383069,0.9071874,0.1841908,0.9257033,-0.5224403,-0.6942533,0.1213969,0.4799286,122.6385,-0.5955041,-0.7913454,0.1383744,-0.1539367,0.65759,0.06876113,0.6788588,0.500438,0.2348736,-0.8312758,-0.05810905,186.6626,0.501285,0.2352712,-0.8326828,-0.0800257,0.9600347,0.273744,1.001502,-0.04426501,1.027246,0.2929129,1.069108,-0.02596368,1.011819,0.310042,1.058573,-0.0536914,0.582348,0.1151108,0.5960389,-0.04037593,0.5641706,0.1541771,0.5862502,-0.08549523,0.5554565,0.1213968,0.5749596,0.09226504,-0.08834888,0.03809564,0.1333028,0.1594292,-0.05087785,0.02233088,0.1688339,0.1558024,-0.05776226,-0.006055534,0.1662754,-0.1116127,0.05951861,-0.04311533,0.1336368,-0.155635,0.05988441,-0.03332775,0.1700563,-0.1099314,0.07603739,-0.004405487,0.1337386,0.09904896,-0.08187718,0.02957738,0.1318688,0.1535052,-0.05861963,0.02328655,0.1659589,0.151422,-0.06513105,-0.002278627,0.164851,-0.1116126,0.05951862,-0.04311535,0.1336367,-0.1556351,0.0598844,-0.03332773,0.1700563,-0.1099314,0.07603736,-0.004405485,0.1337386,0.119838,-0.07421452,0.02159351,0.1426016,-0.2296034,0.8354238,0.02059791,0.4989239,120.1423,-0.2649334,0.9639738,0.02376739,-0.1286115,0.06568745,-0.02508662,0.146578,-0.1993377,0.02743607,0.03462034,0.9789347,23.56225,-0.9763149,0.1343762,0.1695633,-0.05100887,0.9992925,0.300597,1.044771,-0.009237649,-0.004570666,0.01396136,0.9998495,1.988126,-0.5324461,-0.2634473,0.8047145,0.1400002,-0.07192437,0.01434369,0.1580472,0.525308,0.6878128,-0.1148852,0.4876132,121.6324,0.6016861,0.7878187,-0.1315892,-0.1239735,-0.3914385,-0.1119827,0.425598,-0.4983536,-0.2351745,0.8315081,-0.07021975,188.0532,-0.4995869,-0.2357565,0.8335658,0.1010089,0.0007075071,-0.0005970299,0.1010131,-0.1561723,0.8987103,0.1479787,0.3821419,135.0672,-0.1689987,0.9725211,0.1601322,-0.08147677,1.154206,0.05276804,1.158281,-0.03315592,-0.0361079,-0.04969324,-0.9975608,351.9947,-0.4749936,-0.5172839,-0.7119082,False,False,False,False
