Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773022493297,0,1,1,135,0.2508341,-0.6510642,0.7163782,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.2317405,-0.6015049,0.6618472,0.3826834,135,0.2508341,-0.6510642,0.7163782
Trial Start,1773022497384,0,1,1,135,0.2508341,-0.6510642,0.7163782,1,-1,-0.07243635,1.000233,0.2786925,1.040857,0,0,0,1,0,1,0,0,0.1224363,-0.0002331734,0.02130747,0.1242768,0.2317405,-0.6015049,0.6618472,0.3826834,135,0.2508341,-0.6510642,0.7163782
On Target,1773022502138,4.779215,1,1,135,0.2508341,-0.6510642,0.7163782,1,-1,0.05223662,1.000439,0.2949086,1.044308,-0.2094683,0.6190444,-0.6911352,-0.3086086,215.9508,-0.2202174,0.650811,-0.7266013,-0.002236623,-0.0004392862,0.005091369,0.005578306,0.00263452,-0.0727964,0.04277285,-0.9964258,350.3086,0.03118785,-0.8617747,0.5063514
Trial End,1773022503139,5.779358,1,2,135,0.2508341,-0.6510642,0.7163782,1,-1,0.05340286,1.003171,0.2986508,1.048044,-0.2220762,0.5841205,-0.6837221,-0.3768414,224.2763,-0.2397512,0.6306105,-0.7381394,-0.003402855,-0.003171206,0.001349211,0.004843174,-0.0270082,-0.008326852,0.01045327,-0.9995459,356.5466,-0.8963194,-0.2763427,0.346912
Trial Load,1773022503140,5.779358,1,2,135,0.3580855,0.9102953,0.2076949,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.3308279,0.8410032,0.1918851,0.3826834,135,0.3580856,0.9102954,0.2076949
Trial Start,1773022504818,0,1,2,135,0.3580855,0.9102953,0.2076949,1,-1,-0.05047224,1.000777,0.3002388,1.046061,0.001219405,-0.0003094675,-5.978748E-05,-0.9999992,359.8573,0.9795377,-0.2485927,-0.04802679,0.1004722,-0.0007765293,-0.0002387762,0.1004755,-0.3313034,-0.8411379,-0.1907341,-0.3825515,224.9836,-0.358579,-0.9103873,-0.2064369
On Target,1773022510346,5.541195,1,2,135,0.3580855,0.9102953,0.2076949,1,-1,0.04128985,1.014317,0.2895393,1.05564,-0.3610886,-0.8362588,-0.1875332,-0.3675834,223.1333,-0.3882713,-0.8992122,-0.2016507,0.008710146,-0.0143168,0.01046067,0.01975508,0.01382626,0.01812983,-0.02578685,-0.9994075,356.055,0.4016984,0.5267313,-0.749193
Trial End,1773022511345,6.540514,1,3,135,0.3580855,0.9102953,0.2076949,1,-1,0.04823334,0.999059,0.2984104,1.043788,-0.3415042,-0.8407137,-0.2083926,-0.3648944,222.8022,-0.3667952,-0.9029748,-0.2238256,0.001766663,0.0009410381,0.001589566,0.002556046,0.02390919,0.01143724,0.0006560066,-0.9996485,356.9617,0.9018431,0.4314074,0.02474426
Trial Load,1773022511346,6.540514,1,3,135,-0.2439215,0.7392576,0.6276946,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.2253541,0.6829849,0.5799142,0.3826834,135,-0.2439215,0.7392576,0.6276946
Trial Start,1773022512761,0,1,3,135,-0.2439215,0.7392576,0.6276946,1,-1,-0.04684118,0.9872917,0.306099,1.034715,0,0,0,1,0,1,0,0,0.09684119,0.01270831,-0.006098956,0.09786171,-0.2253541,0.6829849,0.5799142,0.3826834,135,-0.2439215,0.7392576,0.6276946
On Target,1773022518665,5.91682,1,3,135,-0.2439215,0.7392576,0.6276946,1,-1,0.05095571,1.000229,0.2945651,1.043946,0.1579097,-0.6533218,-0.6175961,-0.4084242,228.2118,0.1729964,-0.7157399,-0.6766009,-0.0009557046,-0.0002288818,0.005434871,0.005523005,0.07454886,0.01867152,-0.03988599,-0.9962445,350.0657,0.8609945,0.2156448,-0.4606591
Off Target,1773022518831,6.083445,1,3,135,-0.2439215,0.7392576,0.6276946,1,-1,0.0468477,1.003503,0.2952672,1.047089,0.23589,-0.733343,-0.5563399,-0.3115285,216.3027,0.2482434,-0.7717476,-0.585475,0.003152296,-0.003502965,0.004732847,0.00667889,-0.06537125,0.05644641,0.02808969,-0.9958672,349.5783,-0.7197788,0.6215108,0.3092853
