Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,0.2508341,-0.6510642,0.7163782,1,5.779358,False,-0.003402855,-0.003171206,0.001349211,0.004843174,-0.0270082,-0.008326852,0.01045327,-0.9995459,356.5466,-0.8963194,-0.2763427,0.346912,0.2151674,0.3283614,0.3329117,1.016098,536.8739,0,0,0.01339098,0.009784819,0.01629117,0.0390474,1.443961,0,0,0.5246074,340.1653,0.07139621,23.15675
1,3,135,0.3580855,0.9102953,0.2076949,1,6.540514,False,0.001766663,0.0009410381,0.001589566,0.002556046,0.02390919,0.01143724,0.0006560066,-0.9996485,356.9617,0.9018431,0.4314074,0.02474426,0.3754803,0.6433594,0.7860529,1.107994,656.4146,0,0,0.01584325,0.01104084,0.01712578,0.04387435,5.267329,0,0,0.4928789,373.5183,0.08522784,25.68114
1,4,135,-0.2439215,0.7392576,0.6276946,1,7.847316,False,-0.0001162104,-0.0003250837,0.001684844,0.00171985,-0.03934254,0.04672541,0.03185688,-0.9976242,352.0995,-0.571088,0.6782562,0.4624278,0.3015177,0.5411525,0.6220215,0.7735855,784.8886,0,0,0.01709224,0.009668208,0.01619135,0.047839,2.342215,0,0,0.5712254,501.9823,0.06096912,15.54423
1,5,135,-0.08895776,-0.4986943,-0.862201,1,6.096375,False,0.001726713,-0.001005769,0.002361298,0.003093353,0.03939838,-0.03993401,-0.02900831,-0.9980038,352.7584,0.6238541,-0.6323355,-0.4593324,0.2365444,0.3063498,0.370111,0.7544924,497.4202,0,0,0.01400851,0.008499327,0.01395467,0.03857013,2.06707,0,0,0.4012302,336.2472,0.0632715,13.68637
1,6,135,-0.8057454,0.4234021,-0.4141315,1,6.152246,False,-0.002047677,-0.002245665,-0.0006558299,0.003109036,-0.03090412,-0.02055229,-0.04564686,0.998268,6.74533,-0.5253096,-0.3493487,-0.7759076,0.2795961,0.5033047,0.5031732,0.711616,553.4767,0,0,0.01279635,0.008146878,0.01498036,0.03786387,1.990174,0,0,0.4580461,373.8223,0.06963014,14.96422
1,7,135,-0.450389,-0.8814737,-0.1419646,1,10.88812,False,0.002804283,-0.006067991,0.004931778,0.008307043,0.02278385,0.005482949,0.05608282,0.9981511,6.969289,0.3748502,0.09020796,0.9227,0.5455265,0.7034927,0.7153569,1.647847,932.3643,0,0,0.03272841,0.02414939,0.02578217,0.08902624,23.1392,0,0,0.9061067,616.09,0.2267436,46.50278
1,8,135,-0.8732141,-0.4803798,-0.08205092,1,8.402014,False,0.001068879,-0.005704165,0.007102877,0.009172288,-0.01254834,0.003903093,-0.02634164,0.9995667,3.373577,-0.4262936,0.1325963,-0.8948811,0.3658073,0.5547228,0.6493081,1.186666,659.4454,0,0,0.02061755,0.01469123,0.02322003,0.07376649,8.167762,0,0,0.7090254,460.5822,0.1514948,26.1147
1,9,135,0.9660167,-0.09722435,0.2394978,0.9999999,8.470751,False,-0.005056474,-0.002037287,0.006962776,0.008843004,-0.05548738,0.008770534,0.02223405,0.9981734,6.927248,-0.9184399,0.1451719,0.3680232,0.3634782,0.5196375,0.6506602,0.7871115,663.7808,0,0,0.01964713,0.017334,0.01897425,0.06647837,9.725648,0,0,0.5593734,448.661,0.05813744,9.147902
1,10,135,0.057166,-0.3206467,-0.9454722,1,8.985129,False,0.0008240677,-0.00415349,0.003909588,0.005763284,-0.02659977,0.0143638,0.02118308,-0.9993185,355.7693,-0.7206404,0.3891437,0.5738916,0.2644791,0.5252369,0.6430205,0.8267881,596.4302,0,0,0.01660478,0.01153728,0.01894574,0.05370178,2.012233,0,0,0.4833443,367.6826,0.05395669,10.97391
1,11,135,0.144331,0.9053021,-0.3994955,1,6.110674,False,-0.001928601,-0.002807021,-3.477931E-05,0.003405889,-0.02593403,0.002427276,0.05306559,0.9982513,6.777761,-0.4387211,0.04106178,0.8977005,0.3818172,0.6218848,0.812464,0.9957098,620.1436,0,0,0.01544331,0.009392404,0.01590281,0.04011457,3.706328,0,0,0.5412391,363.5728,0.07739685,23.93035
