Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773022579630,0.0137567,0.04645108,1.02063,0.2402102,1.049545,-0.05875883,-0.3295757,-0.2355404,0.9123859,48.32564,-0.1435484,-0.8051569,-0.5754277,-0.05662026,0.9785303,0.2914484,1.02258,-0.06761391,1.003031,0.3237212,1.056143,-0.05453028,0.9854151,0.3251098,1.039092,-0.02253475,-0.09099965,0.09633848,0.1344241,-0.01887684,-0.07124436,0.1377719,0.1562472,-0.0007226626,-0.08149112,0.1256494,0.1497635,0,0,0,0,0,0,0,0,0,1,0,0,-0.1665145,0.7381302,0.01138216,0.7567647,-0.004879898,0.1024689,-0.4664105,-0.8785998,302.9478,-0.01021842,0.2145681,-0.9766555,-0.1190193,0.7230906,0.1250242,0.7434088,-0.1200672,0.7025891,0.1223319,0.7231961,-0.1223458,0.6863372,0.1186831,0.7071866,0.03784147,-0.06290818,0.1145931,0.1360919,0.01826487,-0.0744097,0.1142462,0.1375595,0.001575792,-0.08207954,0.1126238,0.1393688,0,0,0,0,0,0,0,0,0,1,0,0,-0.04996312,1.001981,0.3011992,1.047465,-0.007993819,0.004969423,-0.008140752,0.9999226,1.425985,-0.6423839,0.3993432,-0.6541914,0.09996313,-0.001980901,-0.001199156,0.09998994,0.141368,0.8303877,-0.3732904,0.3887489,134.2467,0.1534368,0.9012789,-0.4051587,-0.005330524,1.206745,-0.05094042,1.207831,0.1210597,-0.01580798,0.02735625,0.9921423,14.37478,0.9675887,-0.1263477,0.2186491,False
1773022579645,0.0277331,0.04601022,1.019688,0.2400925,1.048582,-0.06975464,-0.3264361,-0.2400425,0.9115664,48.55455,-0.1696562,-0.7939532,-0.583828,-0.05661591,0.9801883,0.2938122,1.024841,-0.06555013,1.002343,0.3211639,1.054577,-0.05175707,0.9854484,0.3207708,1.037632,-0.0215746,-0.09055263,0.09670836,0.1342302,-0.01882504,-0.07313897,0.1324236,0.1524457,-0.001670373,-0.08205596,0.1183316,0.1440081,0,0,0,0,0,0,0,0,0,1,0,0,-0.1665216,0.7381058,0.01133966,0.7567419,-0.004944227,0.1026052,-0.4665552,-0.8785068,302.9255,-0.01034941,0.2147764,-0.976608,-0.1190595,0.7230371,0.124999,0.7433589,-0.1200793,0.7025628,0.1222743,0.7231629,-0.1223494,0.6863333,0.1185764,0.7071655,0.03781462,-0.06290868,0.1146104,0.1360992,0.01826885,-0.07440919,0.1142267,0.1375435,0.001591899,-0.08206267,0.1125527,0.1393015,0,0,0,0,0,0,0,0,0,1,0,0,-0.0500798,1.003568,0.3023019,1.049306,-0.01584964,0.009889354,-0.01624843,0.9996935,2.837442,-0.6401743,0.3994357,-0.6562819,0.1000798,-0.003567696,-0.002301842,0.1001698,0.149309,0.8243327,-0.3773297,0.3947211,133.5028,0.1625042,0.897183,-0.4106762,-0.005492531,1.206628,-0.05090916,1.207714,0.1210766,-0.01611766,0.02787791,0.9921207,14.39447,0.9664071,-0.1286476,0.2225154,False
1773022579658,0.041705,0.04557689,1.015988,0.2394625,1.044821,-0.09277841,-0.3263503,-0.2533962,0.9059128,50.10699,-0.2190939,-0.7706681,-0.5983889,-0.05765144,0.982556,0.2955868,1.027673,-0.06478411,1.004718,0.319379,1.056247,-0.04891777,0.9863394,0.3144287,1.036399,-0.02065693,-0.09033047,0.09677809,0.1339862,-0.01884002,-0.07369932,0.1292293,0.1499558,-0.002811377,-0.08186329,0.1088561,0.136232,0,0,0,0,0,0,0,0,0,1,0,0,-0.166566,0.7380911,0.01136112,0.7567376,-0.004863686,0.1026927,-0.4667977,-0.8783681,302.8923,-0.0101754,0.2148451,-0.9765953,-0.1191342,0.7230383,0.125044,0.7433797,-0.120132,0.7025909,0.1223085,0.7232047,-0.1223979,0.6863723,0.1185923,0.7072145,0.03779163,-0.06291509,0.114625,0.1361081,0.01827427,-0.07440646,0.1142223,0.1375391,0.001601331,-0.08204536,0.112527,0.1392707,0,0,0,0,0,0,0,0,0,1,0,0,-0.05070709,1.006052,0.3026592,1.051815,-0.03267853,0.01277009,-0.03741097,0.9986839,5.879829,-0.6371486,0.2489844,-0.7294193,0.1007071,-0.006052375,-0.002659202,0.1009238,0.1722514,0.8133526,-0.3833182,0.4023109,132.5546,0.1881495,0.8884216,-0.4186968,-0.005614646,1.206538,-0.05086791,1.207623,0.1211636,-0.01619031,0.02826391,0.992098,14.41529,0.9657123,-0.129042,0.2252724,False
1773022579673,0.0555311,0.04510733,1.012424,0.2388811,1.041202,-0.112071,-0.3259317,-0.2644624,0.9007044,51.49838,-0.2579709,-0.750247,-0.6087537,-0.05830641,0.9841477,0.2969652,1.029628,-0.06376182,1.005718,0.3172137,1.056484,-0.0469676,0.987176,0.3103461,1.035875,-0.01976962,-0.09009558,0.09683413,0.1337344,-0.0188314,-0.07428415,0.1257789,0.1472858,-0.003568132,-0.08092185,0.1027019,0.1308004,0,0,0,0,0,0,0,0,0,1,0,0,-0.1666128,0.7380767,0.01138586,0.7567343,-0.004773415,0.1027862,-0.467057,-0.8782198,302.8568,-0.009980856,0.2149183,-0.9765813,-0.1192115,0.7230432,0.1250931,0.7434051,-0.1201884,0.7026226,0.1223481,0.7232516,-0.1224502,0.6864142,0.1186152,0.7072681,0.03776953,-0.06292323,0.1146387,0.1361172,0.01827967,-0.07440393,0.1142186,0.1375354,0.001610144,-0.08202805,0.1125038,0.1392419,0,0,0,0,0,0,0,0,0,1,0,0,-0.05111277,1.007703,0.302776,1.053447,-0.04676363,0.01534972,-0.05515644,0.9972639,8.478754,-0.6325956,0.2076435,-0.7461295,0.1011128,-0.007702947,-0.002775967,0.1014437,0.1913423,0.8036129,-0.3881278,0.4085965,131.7666,0.2096407,0.8804641,-0.4252453,-0.005696594,1.206454,-0.05081729,1.207537,0.1214088,-0.0163465,0.02856589,0.9920568,14.45285,0.9651651,-0.12995,0.2270906,False
1773022579686,0.0696267,0.04467333,1.009466,0.2384204,1.038201,-0.1276354,-0.3253493,-0.2733068,0.8961922,52.67605,-0.2876835,-0.7333202,-0.6160192,-0.05861592,0.9853818,0.2980938,1.031151,-0.0624819,1.0059,0.3147756,1.055851,-0.04507105,0.9878263,0.3068894,1.035381,-0.01889973,-0.08984598,0.09687906,0.133473,-0.01881772,-0.07479838,0.1220331,0.144364,-0.00420035,-0.07963292,0.0976328,0.1260603,0,0,0,0,0,0,0,0,0,1,0,0,-0.1666148,0.7379667,0.01139903,0.7566275,-0.004729203,0.1027881,-0.467211,-0.8781379,302.8371,-0.009885301,0.2148547,-0.9765961,-0.1192198,0.7229313,0.1251143,0.7433012,-0.1201876,0.7025436,0.1223768,0.7231796,-0.1224523,0.6863378,0.118647,0.7071996,0.03774074,-0.0629383,0.1146467,0.1361229,0.01828336,-0.0744006,0.1142281,0.137542,0.001612379,-0.0820148,0.1125162,0.1392441,0,0,0,0,0,0,0,0,0,1,0,0,-0.05134186,1.008968,0.3027942,1.054674,-0.05811286,0.01755501,-0.06948002,0.9957346,10.58774,-0.629853,0.190269,-0.7530553,0.1013419,-0.008968115,-0.002794176,0.1017763,0.2066476,0.7953911,-0.3918684,0.413629,131.134,0.2269742,0.8736284,-0.4304139,-0.005764212,1.206342,-0.05079205,1.207425,0.1219003,-0.01612194,0.02867606,0.991997,14.50721,0.9654602,-0.1276871,0.2271167,False
1773022579700,0.08335219,0.04599523,1.004622,0.2395828,1.033818,-0.1439223,-0.3305024,-0.281909,0.8891467,54.46757,-0.3145002,-0.7222164,-0.6160299,-0.05831546,0.9852828,0.2990583,1.031319,-0.06137439,1.006064,0.314814,1.055955,-0.04275481,0.9872227,0.3053082,1.034239,-0.0189811,-0.08973774,0.09685416,0.1333937,-0.01876929,-0.07471572,0.1214241,0.1438003,-0.004634667,-0.07833409,0.09422278,0.1226199,0,0,0,0,0,0,0,0,0,1,0,0,-0.1666157,0.7378503,0.01141405,0.7565145,-0.004683651,0.1027822,-0.4673638,-0.8780575,302.8178,-0.009787065,0.214776,-0.9766143,-0.1192237,0.7228125,0.1251357,0.7431899,-0.1201849,0.7024588,0.1224093,0.7231022,-0.1224536,0.6862541,0.118687,0.7071253,0.03771153,-0.0629558,0.1146531,0.1361283,0.01828678,-0.07439727,0.1142402,0.1375506,0.001613292,-0.08200198,0.112536,0.1392525,0,0,0,0,0,0,0,0,0,1,0,0,-0.0504246,1.008677,0.3032218,1.054474,-0.07164809,0.01385916,-0.0841351,0.9937785,12.78909,-0.6433083,0.1244375,-0.7554256,0.1004246,-0.008677244,-0.00322178,0.1008503,0.225188,0.7882196,-0.3963661,0.4133934,131.1636,0.2473092,0.8656498,-0.4353029,-0.00581368,1.206226,-0.05078239,1.207309,0.1222323,-0.01577409,0.02875233,0.9919596,14.54115,0.9658428,-0.1246421,0.2271923,False
1773022579713,0.09726819,0.04697002,1.000589,0.2404865,1.030154,-0.1582015,-0.334123,-0.2894486,0.8829234,56.0059,-0.3369451,-0.7116312,-0.6164815,-0.0580429,0.9854907,0.2997687,1.031708,-0.0600365,1.006185,0.3144119,1.055872,-0.03999967,0.9867139,0.3030886,1.032989,-0.01913098,-0.08958883,0.09682602,0.1332945,-0.01871757,-0.07456024,0.1203171,0.1427788,-0.005137957,-0.0766452,0.09024259,0.11851,0,0,0,0,0,0,0,0,0,1,0,0,-0.1666156,0.737728,0.01143086,0.7563954,-0.004636816,0.1027687,-0.4675155,-0.8779786,302.799,-0.009686267,0.2146829,-0.9766358,-0.1192234,0.7226874,0.1251571,0.7430717,-0.1201806,0.7023684,0.1224456,0.7230198,-0.1224542,0.6861629,0.1187349,0.707045,0.03768199,-0.06297572,0.114658,0.1361335,0.01828997,-0.07439397,0.1142548,0.1375614,0.001612634,-0.08198992,0.1125629,0.1392672,0,0,0,0,0,0,0,0,0,1,0,0,-0.0495927,1.008623,0.3035281,1.054471,-0.0833102,0.01142283,-0.09703493,0.9917223,14.75439,-0.6488293,0.0889623,-0.7557191,0.0995927,-0.008623242,-0.003528059,0.1000276,0.2410652,0.7814077,-0.4000999,0.4137749,131.1156,0.2647965,0.8583322,-0.4394871,-0.005823266,1.206114,-0.05077312,1.207196,0.122459,-0.01551164,0.02914316,0.9919243,14.57301,0.9655287,-0.1223016,0.2297795,False
1773022579728,0.1110563,0.04821291,0.9978869,0.241042,1.027718,-0.1664512,-0.3382841,-0.2917941,0.8790416,56.94608,-0.3491409,-0.7095702,-0.6120547,-0.05747202,0.9850544,0.2996447,1.031224,-0.05899215,1.005804,0.3141718,1.05538,-0.03926188,0.986014,0.3033637,1.032373,-0.01954071,-0.08953499,0.09678281,0.1332864,-0.01863071,-0.07447371,0.1201685,0.142597,-0.005139652,-0.07661333,0.09027971,0.1185177,0,0,0,0,0,0,0,0,0,1,0,0,-0.1666932,0.7376382,0.01145589,0.7563254,-0.004660732,0.1026566,-0.4676059,-0.8779435,302.7906,-0.009734921,0.21442,-0.9766934,-0.1192857,0.7225622,0.125174,0.7429628,-0.1202329,0.7023,0.1224716,0.7229664,-0.1225057,0.6860923,0.1187662,0.7069905,0.03762662,-0.06299856,0.1146671,0.1361364,0.01829132,-0.07438818,0.1142639,0.137566,0.001612385,-0.08198388,0.1125763,0.1392745,0,0,0,0,0,0,0,0,0,1,0,0,-0.04862419,1.007988,0.3033614,1.05377,-0.09120848,0.008126188,-0.1026198,0.9904969,15.81044,-0.6631663,0.05908458,-0.7461371,0.09862418,-0.007987738,-0.003361374,0.0990042,0.2498122,0.7779845,-0.4036768,0.4115568,131.3947,0.274102,0.8536296,-0.4429272,-0.005800504,1.206028,-0.05075612,1.20711,0.1228162,-0.01516792,0.0290408,0.9918885,14.60534,0.9662135,-0.1193283,0.2284684,False
1773022579741,0.1249243,0.04914249,0.9955629,0.2414868,1.02561,-0.1747094,-0.3415935,-0.2945752,0.8752235,57.85713,-0.3611797,-0.7061819,-0.6089802,-0.05706654,0.9850417,0.2995316,1.031156,-0.05792843,1.005719,0.3136936,1.055097,-0.03859586,0.9857852,0.3034666,1.03216,-0.01989469,-0.08945932,0.09673092,0.1332503,-0.01855605,-0.07432536,0.1196582,0.1420798,-0.005178207,-0.07642246,0.09016147,0.1183059,0,0,0,0,0,0,0,0,0,1,0,0,-0.1667745,0.7375456,0.01148281,0.7562534,-0.004692263,0.1025263,-0.4676877,-0.8779149,302.7837,-0.009799708,0.2141244,-0.9767574,-0.1193474,0.7224296,0.1251898,0.7428464,-0.1202858,0.7022276,0.1224987,0.7229095,-0.1225579,0.6860162,0.118801,0.7069317,0.03756749,-0.06302366,0.1146754,0.1361387,0.01829216,-0.07438207,0.1142743,0.1375715,0.001611008,-0.08197909,0.1125935,0.1392855,0,0,0,0,0,0,0,0,0,1,0,0,-0.04784472,1.007771,0.3031926,1.053478,-0.09876993,0.005609742,-0.1086309,0.9891473,16.89779,-0.6722372,0.03818041,-0.7393515,0.09784472,-0.007770538,-0.003192604,0.0982047,0.2584823,0.7742264,-0.4068671,0.4101459,131.572,0.2834173,0.8489138,-0.4461165,-0.005784042,1.20597,-0.05074143,1.207051,0.1232023,-0.01503223,0.02910209,0.9918409,14.64821,0.96643,-0.1179166,0.2282842,False
1773022579756,0.1388982,0.04988124,0.9949329,0.2415474,1.025049,-0.1773333,-0.3454491,-0.2943638,0.8732513,58.32262,-0.3639322,-0.708948,-0.6041081,-0.05690063,0.9851544,0.2986742,1.031006,-0.05777663,1.006411,0.3134753,1.055683,-0.03882121,0.9862599,0.3039328,1.032759,-0.02032503,-0.08941404,0.09669083,0.1332557,-0.0185303,-0.07394497,0.1204702,0.1425633,-0.005057805,-0.07647739,0.09144792,0.1193193,0,0,0,0,0,0,0,0,0,1,0,0,-0.1668585,0.7375919,0.01154387,0.7563179,-0.004807166,0.1023428,-0.4677318,-0.8779122,302.7831,-0.01003958,0.213739,-0.9768395,-0.1193894,0.7224299,0.1252295,0.7428601,-0.1203226,0.7022768,0.1225462,0.7229715,-0.1225887,0.6860636,0.1188376,0.7069891,0.03751874,-0.06304605,0.1146819,0.1361411,0.01829151,-0.07437877,0.1142826,0.1375765,0.001610019,-0.08198103,0.1125885,0.1392826,0,0,0,0,0,0,0,0,0,1,0,0,-0.04748781,1.007733,0.3025276,1.053235,-0.1022208,0.002049463,-0.1095827,0.9887055,17.23898,-0.6820549,0.01367478,-0.7311765,0.09748781,-0.007733107,-0.002527565,0.0978267,0.2618541,0.7738187,-0.4087513,0.4068902,131.9807,0.2866564,0.8471134,-0.4474675,-0.005765154,1.205914,-0.05078652,1.206997,0.1233713,-0.01480411,0.02905218,0.9918248,14.66267,0.9668061,-0.1160133,0.227669,False
