Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773023150828,0,1,1,135,0.04349254,0.3774155,-0.9250221,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.04018187,0.3486865,-0.8546091,0.3826834,135,0.04349254,0.3774155,-0.9250222
Grab,1773023156523,4.807056,1,1,135,0.04349254,0.3774155,-0.9250221,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.04018187,0.3486865,-0.8546091,0.3826834,135,0.04349254,0.3774155,-0.9250222
Trial Start,1773023156546,0,1,1,135,0.04349254,0.3774155,-0.9250221,1,-1,-0.05000003,1,0.3,1.045227,0.006165864,0.004681101,-0.005204567,0.9999565,1.06825,0.6614167,0.5021451,-0.5582977,0.1,0,0,0.1,0.0356348,0.3519402,-0.8506184,0.3889947,134.2161,0.03868134,0.3820288,-0.9233405
Clutch Start,1773023156966,0.4300767,1,1,135,0.04349254,0.3774155,-0.9250221,1,0,-0.03999914,1.008042,0.2978924,1.051898,0.04948729,0.4479807,-0.3656296,0.8143582,70.95209,0.08526961,0.771898,-0.630002,0.08999914,-0.008041978,0.00210762,0.0903823,-0.2415738,0.1401215,-0.5567827,0.782305,77.05579,-0.387824,0.2249518,-0.8938621
On Target,1773023159355,2.833179,1,1,135,0.04349254,0.3774155,-0.9250221,1,-1,0.05078484,1.002314,0.2926936,1.04541,0.01208332,0.4174634,-0.8150336,0.4016202,132.641,0.01319418,0.4558423,-0.8899626,-0.0007848442,-0.002313614,0.007306457,0.007704096,-0.06106305,-0.04213984,-0.04388964,0.9962778,9.890283,-0.7083712,-0.4888496,-0.5091484
Trial End,1773023160356,3.833087,1,2,135,0.04349254,0.3774155,-0.9250221,1,-1,0.05138763,1.005923,0.2961957,1.049882,-0.0113335,0.3436269,-0.8572638,0.3832633,134.9281,-0.01227048,0.3720359,-0.9281371,-0.001387626,-0.005922556,0.003804266,0.007174581,0.02498698,-0.04199376,-0.0172391,0.9986566,5.940377,0.4822204,-0.810432,-0.332695
Trial Load,1773023160356,3.833087,1,2,135,0.3908664,-0.2290974,0.8914807,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.3611135,-0.2116584,0.8236208,0.3826835,135,0.3908665,-0.2290975,0.8914807
Grab,1773023161841,5.305233,1,2,135,0.3908664,-0.2290974,0.8914807,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.3611135,-0.2116584,0.8236208,0.3826835,135,0.3908665,-0.2290975,0.8914807
Trial Start,1773023161855,0,1,2,135,0.3908664,-0.2290974,0.8914807,1,-1,-0.05000001,1,0.3,1.045227,-0.002756555,0.01433185,-0.0002045518,0.9998935,1.672062,-0.1889169,0.982215,-0.0140187,0.1,0,0,0.1,0.3738907,-0.214924,0.8190194,0.3784454,135.5252,0.4039338,-0.2321937,0.8848297
Release,1773023163618,1.763868,1,2,135,0.3908664,-0.2290974,0.8914807,1,0,-0.03180473,1.028078,0.2308803,1.054164,0.3609736,-0.6572061,0.2112567,0.6270158,102.3394,0.4633768,-0.8436465,0.2711874,0.08180472,-0.02807844,0.06911966,0.1107156,-0.4082891,-0.102229,0.5965017,0.6833997,93.78024,-0.5592661,-0.1400312,0.8170759
Grab,1773023164729,2.875055,1,2,135,0.3908664,-0.2290974,0.8914807,1,0,-0.03180473,1.028078,0.2308803,1.054164,0.3609736,-0.6572061,0.2112567,0.6270158,102.3394,0.4633768,-0.8436465,0.2711874,0.08180472,-0.02807844,0.06911966,0.1107156,-0.4082891,-0.102229,0.5965017,0.6833997,93.78024,-0.5592661,-0.1400312,0.8170759
Clutch Start,1773023165674,3.819141,1,2,135,0.3908664,-0.2290974,0.8914807,1,0,-0.01071602,1.022643,0.2196862,1.046028,0.8075653,-0.02161559,0.5889333,-0.02299473,182.6352,0.8077789,-0.02162131,0.5890891,0.06071602,-0.02264297,0.08031386,0.1031962,-0.2104959,-0.4393168,-0.4074363,0.7724559,78.85014,-0.3314538,-0.6917626,-0.6415625
Clutch End,1773023165910,4.055399,1,2,135,0.3908664,-0.2290974,0.8914807,1,0,-0.007760413,1.040981,0.2115854,1.062295,0.7514102,-0.07790288,0.6494953,-0.08642789,189.9163,0.7542325,-0.07819548,0.6519347,0.05776041,-0.04098105,0.08841458,0.1132822,-0.2454538,-0.3362302,-0.4506454,0.7896965,75.6857,-0.4000891,-0.5480544,-0.7345509
Release,1773023165911,4.055399,1,2,135,0.3908664,-0.2290974,0.8914807,1,0,-0.007760413,1.040981,0.2115854,1.062295,0.7514102,-0.07790288,0.6494953,-0.08642789,189.9163,0.7542325,-0.07819548,0.6519347,0.05776041,-0.04098105,0.08841458,0.1132822,-0.2454538,-0.3362302,-0.4506454,0.7896965,75.6857,-0.4000891,-0.5480544,-0.7345509
