Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,0.04349254,0.3774155,-0.9250221,1,3.833087,False,-0.001387626,-0.005922556,0.003804266,0.007174581,0.02498698,-0.04199376,-0.0172391,0.9986566,5.940377,0.4822204,-0.810432,-0.332695,0.08495153,0.09186542,0.09221516,0.2571886,121.9467,0.06301565,64.94189,0,0,0,0,0,0,0,0.2486478,181.6286,0.03982444,10.31506
1,3,135,0.3908664,-0.2290974,0.8914807,1,18.89989,False,0.001122482,-0.002254367,0.005999863,0.006506957,0.009313195,0.003531625,0.005885887,0.9999332,1.325867,0.8049219,0.3052317,0.5087061,0.3138548,0.3849363,0.4470731,0.7822385,430.8197,0.3455558,743.4544,0,0,0,0,0,0,0,0.8243127,853.7905,0.1809486,25.41968
1,4,135,0.6531385,-0.5738318,0.4940922,1,8.222418,False,0.008010384,-0.003498197,0.003376663,0.009370457,-0.01193485,0.04776552,-0.01017058,0.9987356,5.76335,-0.2373988,0.9501148,-0.2023053,0.2467883,0.2151167,0.3030334,0.3588895,276.4484,0.2452423,651.3889,0,0,0,0,0,0,0,0.4951392,753.6027,0.08657406,24.19243
1,5,135,-0.05623814,-0.8413633,0.5375361,1,8.041224,False,-0.002263959,0.001944482,0.009556592,0.01001174,-0.04876548,0.03865269,-0.03091669,0.9975832,7.96866,-0.7018266,0.5562847,-0.4449492,0.215525,0.1801717,0.324661,0.5142592,393.506,0.2322423,613.2194,0,0,0,0,0,0,0,0.5389821,827.3558,0.08173049,17.65172
1,6,135,0.9303086,0.2773097,-0.2400523,1,13.06713,False,0.0005760454,-0.001067281,0.008234054,0.008322894,-0.02457157,0.03114079,0.03184477,0.9987054,5.831556,-0.4830453,0.6121877,0.6260271,0.2235672,0.3060476,0.4492729,0.5399183,356.821,0.3408667,1115.392,0,0,0,0,0,0,0,0.5585687,1035.446,0.1600432,27.19525
1,7,135,-0.2478137,0.6698623,-0.6999092,1,4.569644,False,-0.0001538992,-0.004662395,0.001216412,0.00482092,0.04781282,0.01370819,0.02547127,0.9984375,6.406771,0.8556265,0.2453127,0.455817,0.06930991,0.08842982,0.1120399,0.1735697,121.0783,0.1147631,208.5121,0,0,0,0,0,0,0,0.2440583,236.0573,0.03578592,7.011313
1,8,135,-0.3276618,-0.9192716,0.2181226,1,6.833544,False,-0.000436794,-0.00152564,0.008145988,0.008299125,-0.0162656,-0.06836355,-0.04182158,0.9966509,9.381118,-0.1989083,-0.8360023,-0.5114267,0.1604193,0.2250584,0.2927685,0.3889802,253.4928,0.1898954,414.4275,0,0,0,0,0,0,0,0.4590435,494.8108,0.08491924,14.06199
1,9,135,-0.1438904,0.9888763,-0.03767097,1,9.318125,False,-0.0002623163,-0.008335114,0.01278389,0.01526338,-0.04819283,-0.03045703,-0.02047054,0.9981638,6.945539,-0.7956032,-0.5028075,-0.337943,0.1544907,0.2785996,0.3173469,0.4126869,320.6985,0.2045907,411.6425,0,0,0,0,0,0,0,0.4979275,588.6917,0.06833573,16.54754
1,10,135,-0.4126562,0.7740079,0.480236,1,9.152138,False,-0.002215978,-0.005579948,0.007265449,0.009425133,-0.04227027,0.02984829,0.01532341,0.9985427,6.187155,-0.7832661,0.5530874,0.283942,0.2807133,0.331321,0.363856,0.5188374,434.5349,0.3212182,905.116,0,0,0,0,0,0,0,0.5890113,947.3469,0.0814537,15.99699
1,11,135,0.7118,-0.6908204,0.1269172,1,7.444114,False,0.0009920262,0.001746058,0.0003351569,0.002035968,-0.03509768,0.04214237,0.01006281,0.9984443,6.392699,-0.629468,0.7558129,0.1804739,0.1716157,0.217865,0.2015929,0.4575248,465.4398,0.1659279,357.8038,0,0,0,0,0,0,0,0.5684196,608.2416,0.07177088,21.67127
2,2,135,0.5233946,0.7588345,-0.3875929,1,7.596931,False,-0.002779212,-0.002383947,0.001631975,0.004008811,-0.03717222,-0.03191067,0.03101308,0.9983177,6.647799,-0.6411137,-0.5503671,0.5348862,0.1802194,0.3246256,0.3487475,0.4180203,289.1689,0.1975104,582.3912,0,0,0,0,0,0,0,0.4560954,678.1954,0.2517743,60.83292
2,3,135,0.3195835,-0.4830798,-0.8151689,1,7.013491,False,0.001099329,-0.006048083,0.005672276,0.008364362,-0.06097205,-0.00278984,0.0574754,0.9964795,9.618343,-0.727266,-0.03327682,0.6855585,0.08470136,0.1375783,0.2212538,0.5052582,334.9702,0.123714,316.8008,0,0,0,0,0,0,0,0.4988211,503.0725,0.2104135,30.95866
2,4,135,-0.03034402,0.7102965,0.7032483,1,10.09553,False,-0.001474865,-0.005580306,0.006598324,0.008766579,0.003880663,-0.04763416,-0.02460452,0.9985543,6.162553,0.07219498,-0.8861751,-0.4577369,0.194335,0.2577765,0.3542303,0.4192319,393.4316,0.2474892,518.1102,0,0,0,0,0,0,0,0.5833172,654.5486,0.1339289,33.21254
2,5,135,-0.1570963,-0.9109786,-0.3813645,1,6.749427,False,0.0009633265,-0.003394365,0.004581153,0.005782446,0.04866394,0.02020744,0.01138435,0.9985459,6.180317,0.9027295,0.3748536,0.2111829,0.1405873,0.1627009,0.1467233,0.4400399,368.0971,0.1176171,284.398,0,0,0,0,0,0,0,0.4572384,494.1928,0.1204695,22.5603
