Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Thumb Tip Euro Position X,Right Thumb Tip Euro Position Y,Right Thumb Tip Euro Position Z,Right Thumb Tip Euro Position Magnitude,Right Index Tip Euro Position X,Right Index Tip Euro Position Y,Right Index Tip Euro Position Z,Right Index Tip Euro Position Magnitude,Right Middle Tip Euro Position X,Right Middle Tip Euro Position Y,Right Middle Tip Euro Position Z,Right Middle Tip Euro Position Magnitude,Right Triangle Local Position X,Right Triangle Local Position Y,Right Triangle Local Position Z,Right Triangle Local Position Magnitude,Right Triangle Local Rotation X,Right Triangle Local Rotation Y,Right Triangle Local Rotation Z,Right Triangle Local Rotation W,Right Triangle Local Rotation Angle,Right Triangle Local Rotation Axis X,Right Triangle Local Rotation Axis Y,Right Triangle Local Rotation Axis Z,Right Triangle Area,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Right Angle Scale Factor,Right Is Grabbed,Right Is Rotating,Right Is Clutching,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Thumb Tip Euro Position X,Left Thumb Tip Euro Position Y,Left Thumb Tip Euro Position Z,Left Thumb Tip Euro Position Magnitude,Left Index Tip Euro Position X,Left Index Tip Euro Position Y,Left Index Tip Euro Position Z,Left Index Tip Euro Position Magnitude,Left Middle Tip Euro Position X,Left Middle Tip Euro Position Y,Left Middle Tip Euro Position Z,Left Middle Tip Euro Position Magnitude,Left Triangle Local Position X,Left Triangle Local Position Y,Left Triangle Local Position Z,Left Triangle Local Position Magnitude,Left Triangle Local Rotation X,Left Triangle Local Rotation Y,Left Triangle Local Rotation Z,Left Triangle Local Rotation W,Left Triangle Local Rotation Angle,Left Triangle Local Rotation Axis X,Left Triangle Local Rotation Axis Y,Left Triangle Local Rotation Axis Z,Left Triangle Area,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Left Angle Scale Factor,Left Is Grabbed,Left Is Rotating,Left Is Clutching,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773023393610,0.013784,0.05638929,1.026785,0.254525,1.059363,0.09579519,0.4648157,0.1812835,-0.8613396,298.9347,0.1885622,0.9149383,0.3568365,-0.06162332,0.9947081,0.2759473,1.034112,-0.0711216,1.005271,0.3061258,1.053253,-0.05441703,0.9881439,0.3081821,1.036516,-0.03751388,-0.08408954,0.1003231,0.1361729,-0.01767826,-0.07754354,0.1303566,0.1527035,-0.002400252,-0.08738767,0.1112962,0.1415246,-0.03626108,-0.08469281,0.1001876,0.1361076,-0.01798076,-0.07734275,0.1316905,0.1537777,-0.002192056,-0.08709413,0.1147985,0.1441141,-0.02241272,-0.08338285,0.1123887,0.141726,-0.0831309,0.5444532,-0.1836823,0.8141995,70.98342,-0.1431847,0.9377663,-0.3163744,4.387614,-0.009082254,-0.06635953,0.09783143,0.1185625,-0.1112202,-0.4947412,-0.1770042,-0.843523,295.028,-0.2070779,-0.9211456,-0.3295594,1.299366,True,True,False,-0.09563211,0.6905788,0.0725975,0.7009386,0.05294812,-0.09644455,-0.4434848,-0.8895034,305.6218,0.1158783,-0.2110714,-0.9705778,-0.02262844,0.6869878,0.1585314,0.7054052,-0.03075785,0.6836681,0.1366709,0.6978732,-0.03039671,0.6667554,0.1392239,0.6818137,0.02341925,-0.06717206,0.1012388,0.123733,0.02058046,-0.0620274,0.07607749,0.1002933,0.005755977,-0.07351714,0.0755251,0.1055554,0.02341148,-0.06714439,0.1012081,0.1236913,0.02059763,-0.06193017,0.07602818,0.1001993,0.005762748,-0.07341818,0.07547396,0.1054503,0.01719021,-0.06814295,0.08802275,0.1126364,-0.3418765,0.8873426,0.008107385,-0.3093185,216.0363,-0.3595073,0.9331034,0.008525488,2.427732,0,0,0,0,0,0,0,0,0,1,0,0,0.3605983,False,True,False,-0.05000001,1,0.3,1.045227,0.01091202,0.01268532,0.002820478,0.9998561,1.944337,0.6431192,0.7476317,0.1662299,0.1,0,0,0.1,0.8630775,0.1972098,-0.246979,0.393963,133.5974,0.9390196,0.2145622,-0.2687106,-0.02298786,1.18303,-0.01271835,1.183321,0.1320588,-0.01288554,0.09772164,0.986329,18.96983,0.8013868,-0.07819469,0.5930147,False
1773023393624,0.0278743,0.05629647,1.026875,0.2543161,1.059395,0.09778102,0.4617062,0.1831352,-0.8623965,299.1735,0.193154,0.9120423,0.3617604,-0.06175182,0.9954993,0.2765397,1.035039,-0.07062002,1.005825,0.3065189,1.053862,-0.05384635,0.988756,0.3083296,1.037114,-0.03754228,-0.08402202,0.1003623,0.1361679,-0.01766212,-0.07760871,0.1298182,0.1522755,-0.002466884,-0.08724279,0.1106046,0.1408928,-0.03654025,-0.08455071,0.1002243,0.136121,-0.01791293,-0.07739983,0.1312843,0.1534509,-0.002250037,-0.08712638,0.113857,0.1433858,-0.02238728,-0.08333371,0.1121591,0.141511,-0.08155978,0.5559459,-0.1810366,0.8071542,72.36238,-0.1381571,0.9417374,-0.3066646,4.402729,-0.009059056,-0.06631473,0.09762212,0.118363,-0.1170854,-0.5041136,-0.1768409,-0.8371906,293.6892,-0.2140846,-0.9217461,-0.3233446,0.9217803,True,True,False,-0.09560669,0.6906309,0.07262626,0.7009894,0.0530052,-0.09662915,-0.4434258,-0.8895094,305.6233,0.1160062,-0.2114808,-0.9704735,-0.02255779,0.6870627,0.1585489,0.7054799,-0.03067584,0.683705,0.136727,0.6979168,-0.03031241,0.6667971,0.1392897,0.6818643,0.02343861,-0.06718662,0.1012515,0.1237549,0.0205746,-0.06207947,0.07612408,0.1003596,0.005754719,-0.0735697,0.07557842,0.1056301,0.02341718,-0.06715325,0.1012172,0.1237047,0.0205928,-0.06196154,0.07604831,0.1002329,0.005761063,-0.07345001,0.07549589,0.105488,0.01718876,-0.06816532,0.08803678,0.1126607,-0.3418805,0.8872401,0.007811676,-0.3096158,216.0722,-0.359548,0.9330904,0.008215364,2.42613,0,0,0,0,0,0,0,0,0,1,0,0,0.3624432,False,True,False,-0.04974324,1.000665,0.300467,1.045985,0.02240698,0.0308512,0.003846983,0.9992654,4.392483,0.5846981,0.8050455,0.100385,0.09974325,-0.0006645918,-0.0004669428,0.09974656,0.853656,0.1937603,-0.2607881,0.4070847,131.9563,0.9346014,0.2121331,-0.2855166,-0.02295149,1.183013,-0.01272023,1.183304,0.1321078,-0.01288514,0.09779516,0.9863152,18.97944,0.8012813,-0.07815303,0.5931628,False
1773023393639,0.0417271,0.05617807,1.026986,0.254054,1.059434,0.09964758,0.4586193,0.18505,-0.8634206,299.4057,0.1975235,0.9090846,0.3668099,-0.06189833,0.9963086,0.2770589,1.035965,-0.07016943,1.006401,0.3068509,1.054478,-0.05331611,0.9893778,0.3084008,1.0377,-0.03756787,-0.08395319,0.1004022,0.136162,-0.01764488,-0.07766607,0.1293169,0.1518757,-0.002533233,-0.08709541,0.1099287,0.1402724,-0.03676077,-0.08442584,0.1002613,0.1361301,-0.01785668,-0.07745613,0.1308634,0.1531129,-0.002308978,-0.08711977,0.1129881,0.1426937,-0.02234719,-0.08328735,0.1119198,0.1412878,-0.08031195,0.5663511,-0.1781221,0.8006679,73.61214,-0.1340525,0.9453231,-0.297312,4.404893,-0.009022503,-0.06627242,0.09740396,0.1181566,-0.1220002,-0.5122067,-0.177088,-0.8315048,292.5073,-0.2196153,-0.9220351,-0.3187802,0.872454,True,True,False,-0.09557969,0.6906906,0.07265514,0.7010477,0.05304627,-0.09681728,-0.4433676,-0.8895154,305.6248,0.1160991,-0.211898,-0.9703712,-0.02248155,0.6871446,0.158565,0.7055608,-0.03058752,0.6837465,0.1367864,0.6979652,-0.03022152,0.6668437,0.1393592,0.6819199,0.02346076,-0.0672021,0.1012648,0.1237784,0.02056856,-0.06213552,0.07617586,0.1004323,0.005753554,-0.07362625,0.07563802,0.105712,0.0234262,-0.06716337,0.1012271,0.12372,0.02058778,-0.06199761,0.07607473,0.1002742,0.005759508,-0.07348654,0.07552533,0.1055344,0.01718792,-0.06819119,0.08805366,0.1126894,-0.3418869,0.8870979,0.00748806,-0.3100237,216.1213,-0.359605,0.9330714,0.007876126,2.42396,0,0,0,0,0,0,0,0,0,1,0,0,0.3643482,False,True,False,-0.04947209,1.001293,0.3008818,1.046692,0.02978504,0.04405891,0.003954242,0.9985771,6.113821,0.5585272,0.8261898,0.07414968,0.09947209,-0.001292825,-0.0008818209,0.0994844,0.8470811,0.1904126,-0.2707153,0.4158243,130.8575,0.9314265,0.2093723,-0.2976709,-0.02289667,1.183009,-0.01273228,1.183299,0.1321322,-0.01280201,0.09768114,0.9863243,18.97311,0.8016948,-0.07767452,0.5926675,False
1773023393653,0.0562312,0.05611553,1.027055,0.2540472,1.059495,0.1014009,0.4567401,0.1868292,-0.8638294,299.4986,0.2012783,0.9066179,0.3708515,-0.0620322,0.9970215,0.2775148,1.036781,-0.06989477,1.00697,0.3071951,1.055104,-0.05303691,0.9899611,0.3086021,1.038302,-0.0376049,-0.08390848,0.1004212,0.1361586,-0.0176192,-0.07771227,0.1289747,0.1516051,-0.002565017,-0.08700816,0.109501,0.1398838,-0.03694814,-0.08431377,0.1002957,0.1361367,-0.01780505,-0.0775122,0.130445,0.1527778,-0.002364222,-0.08709513,0.1121904,0.1420487,-0.02230365,-0.08324624,0.1116758,0.1410634,-0.0792632,0.5758176,-0.1752315,0.7946354,74.75833,-0.1305632,0.9484929,-0.2886432,4.400429,-0.008982804,-0.06623495,0.0971815,0.1179492,-0.1259326,-0.5187958,-0.1774239,-0.8267483,291.5323,-0.2238515,-0.9221855,-0.3153799,0.7766684,True,True,False,-0.09559876,0.6907461,0.07264471,0.7011039,0.05314642,-0.09682221,-0.4431993,-0.8895928,305.6443,0.1163567,-0.2119787,-0.970323,-0.02248309,0.6872002,0.1585603,0.7056139,-0.03057539,0.6837707,0.1368326,0.6979974,-0.0302141,0.6668722,0.1394129,0.6819585,0.02348663,-0.06722182,0.1012668,0.1237956,0.02056476,-0.06218621,0.07622829,0.1005027,0.005753113,-0.07367568,0.07569576,0.1057878,0.02343918,-0.06717592,0.1012356,0.1237362,0.02058283,-0.06203816,0.07610771,0.1003233,0.005758135,-0.07352719,0.07556193,0.1055889,0.01718774,-0.068221,0.08807185,0.1127217,-0.3418989,0.8869097,0.00716902,-0.3105562,216.1855,-0.3596834,0.933044,0.007541931,2.421034,0,0,0,0,0,0,0,0,0,1,0,0,0.3655135,False,True,False,-0.04921399,1.001921,0.3012261,1.04738,0.0360479,0.05597596,0.003942934,0.9977734,7.648363,0.5404881,0.8392816,0.05911881,0.09921399,-0.0019207,-0.001226127,0.09924015,0.841162,0.1871685,-0.2796654,0.4233222,129.911,0.9284562,0.2065925,-0.3086886,-0.02281258,1.183002,-0.0127579,1.18329,0.132183,-0.01274232,0.09762082,0.9863243,18.97315,0.8020011,-0.07731218,0.5923003,False
1773023393666,0.0698614,0.05604907,1.027125,0.2540423,1.059559,0.1030542,0.4548751,0.1886155,-0.8642296,299.5897,0.2048395,0.9041488,0.3749083,-0.06216245,0.9977214,0.2779613,1.037581,-0.06961124,1.007513,0.3075155,1.055696,-0.05273315,0.9905264,0.3087646,1.038874,-0.03763811,-0.08386566,0.100439,0.1361546,-0.01759464,-0.0777593,0.1286128,0.1513186,-0.002602967,-0.08690734,0.1090364,0.1394582,-0.03709374,-0.08422136,0.100325,0.1361407,-0.01776153,-0.07756364,0.1300586,0.1524691,-0.002413261,-0.08705574,0.1115043,0.141484,-0.02226005,-0.0832114,0.1114468,0.1408547,-0.07846994,0.5838688,-0.1725076,0.7894181,75.73766,-0.1278312,0.9511496,-0.2810229,4.390671,-0.008943036,-0.06620321,0.09697265,0.1177563,-0.1289852,-0.5240313,-0.1778462,-0.822876,290.7475,-0.2269982,-0.9222313,-0.3129877,0.7199363,True,True,False,-0.09561924,0.6908078,0.072632,0.7011661,0.05324071,-0.09680788,-0.4430183,-0.889679,305.6659,0.1166059,-0.2120252,-0.970283,-0.02248654,0.6872587,0.1585541,0.7056695,-0.0305646,0.683797,0.1368822,0.6980324,-0.03020864,0.666903,0.1394701,0.682,0.02351522,-0.06724294,0.1012678,0.1238133,0.02056112,-0.06223936,0.07628506,0.1005779,0.005752863,-0.07372741,0.07575829,0.1058685,0.02345472,-0.06718963,0.1012422,0.123752,0.0205784,-0.06207935,0.07614399,0.1003754,0.005757057,-0.07356817,0.07560209,0.1056461,0.01718817,-0.06825189,0.08808972,0.1127544,-0.3419153,0.8866942,0.006881533,-0.3111592,216.2582,-0.3597754,0.9330109,0.007240992,2.417657,0,0,0,0,0,0,0,0,0,1,0,0,0.3668618,False,True,False,-0.04900958,1.002483,0.3015547,1.048003,0.04084089,0.06500507,0.003715361,0.9970419,8.816134,0.5313718,0.8457668,0.04833975,0.09900957,-0.002483249,-0.001554698,0.09905291,0.8365954,0.184507,-0.2863243,0.4290498,129.1855,0.9261742,0.2042631,-0.3169826,-0.02272795,1.182998,-0.01277199,1.183285,0.132099,-0.01275617,0.09754791,0.9863425,18.96042,0.8020241,-0.07744765,0.5922512,False
1773023393680,0.083382,0.05603401,1.02719,0.2540945,1.059633,0.1042775,0.4537182,0.1893851,-0.8645226,299.6565,0.2074786,0.9027532,0.3768153,-0.06220897,0.9981599,0.2783153,1.0381,-0.06945377,1.007888,0.3078737,1.056148,-0.05263717,0.990911,0.3090951,1.039334,-0.0376867,-0.08382577,0.1004546,0.136155,-0.01756212,-0.07778105,0.1284983,0.1512288,-0.002595653,-0.08688711,0.1089591,0.139385,-0.03721783,-0.08414033,0.1003514,0.1361439,-0.01772058,-0.07760856,0.129732,0.1522087,-0.002450478,-0.08702067,0.1109553,0.1410308,-0.02222884,-0.08318324,0.1112478,0.1406756,-0.0777861,0.5903732,-0.1703458,0.7851059,76.53905,-0.1255908,0.9531963,-0.2750345,4.380948,-0.00891459,-0.06617753,0.09679122,0.1175903,-0.1310923,-0.5276021,-0.1780901,-0.8202043,290.2105,-0.229154,-0.9222668,-0.3113077,0.6076867,True,True,False,-0.09558269,0.6907966,0.07260326,0.7011471,0.05329042,-0.09671324,-0.4428214,-0.8897842,305.6923,0.1167673,-0.2119132,-0.9702878,-0.02244622,0.6872154,0.1585407,0.7056231,-0.03049895,0.6837321,0.1369206,0.6979735,-0.03015329,0.6668435,0.1395074,0.6819471,0.02353031,-0.0672691,0.1012671,0.1238299,0.02055626,-0.06230082,0.07634,0.1006566,0.005751491,-0.07378305,0.07581215,0.1059458,0.02347008,-0.06720578,0.1012473,0.1237678,0.0205739,-0.06212441,0.07618383,0.1004326,0.005755926,-0.07361188,0.07564479,0.105707,0.01718765,-0.06828597,0.08810746,0.1127888,-0.3419164,0.8864716,0.006585615,-0.3117981,216.3353,-0.3598558,0.9329823,0.006931144,2.413706,0,0,0,0,0,0,0,0,0,1,0,0,0.3678327,False,True,False,-0.04882006,1.003029,0.3018792,1.048609,0.04461451,0.07257675,0.00316131,0.9963595,9.780971,0.5233276,0.8513244,0.03708213,0.09882006,-0.003029108,-0.001879185,0.09888433,0.8328713,0.1818869,-0.2918015,0.4336986,128.595,0.9243259,0.2018592,-0.3238432,-0.02267023,1.183026,-0.0127659,1.183312,0.1319633,-0.01264071,0.09735397,0.9863813,18.93345,0.8023321,-0.07685507,0.5919085,False
1773023393694,0.0971279,0.05601906,1.027256,0.2541521,1.05971,0.1054149,0.4525977,0.1901491,-0.8648041,299.7207,0.2099442,0.9013931,0.3787008,-0.06225373,0.9985845,0.2786559,1.038603,-0.0692941,1.008242,0.3082165,1.056575,-0.05254057,0.9912825,0.3094134,1.039778,-0.03773709,-0.08378804,0.100468,0.1361556,-0.01752995,-0.07780421,0.1283759,0.151133,-0.002588817,-0.08686364,0.1088809,0.1393092,-0.03732773,-0.08406724,0.1003755,0.1361466,-0.01768094,-0.07764947,0.1294447,0.1519802,-0.002479072,-0.08698764,0.1105033,0.1406555,-0.02220767,-0.08315966,0.1110691,0.1405171,-0.07718875,0.5957795,-0.1685632,0.7814571,77.21163,-0.1237081,0.9548377,-0.2701511,4.370667,-0.008895304,-0.06615604,0.09662824,0.1174426,-0.1326406,-0.5302008,-0.1782479,-0.8182428,289.8186,-0.2307304,-0.9222924,-0.310065,0.531989,True,True,False,-0.09554356,0.6907858,0.07257162,0.7011278,0.05332949,-0.09659249,-0.4426121,-0.8898991,305.7211,0.1169103,-0.2117525,-0.9703056,-0.02240514,0.6871655,0.158526,0.7055699,-0.03043015,0.6836612,0.1369622,0.6979092,-0.03009614,0.6667785,0.1395465,0.681889,0.02354571,-0.06729767,0.1012653,0.1238468,0.02055122,-0.06236648,0.07639915,0.1007411,0.005750143,-0.07384184,0.07586944,0.1060276,0.02348564,-0.0672247,0.101251,0.1237841,0.02056923,-0.06217431,0.07622819,0.1004961,0.005754736,-0.07365928,0.07569107,0.1057731,0.01718622,-0.06832399,0.0881255,0.1128257,-0.3419029,0.8862359,0.006274565,-0.3124884,216.4185,-0.3599275,0.9329568,0.006605349,2.409089,0,0,0,0,0,0,0,0,0,1,0,0,0.3689421,False,True,False,-0.04861269,1.00336,0.3021432,1.048992,0.04692071,0.07772614,0.003090428,0.9958653,10.42414,0.5165073,0.8556162,0.0340197,0.0986127,-0.003359675,-0.002143145,0.09869318,0.8303517,0.1803038,-0.2956876,0.4365495,128.2321,0.9229409,0.2004088,-0.3286585,-0.02266676,1.183075,-0.01275514,1.183361,0.1318255,-0.01256936,0.0972872,0.9864072,18.91533,0.8022546,-0.07649377,0.5920638,False
1773023393708,0.1111468,0.05603377,1.027258,0.2543046,1.05975,0.1057043,0.4520685,0.1905941,-0.8649477,299.7535,0.2106242,0.9007826,0.379774,-0.0622518,0.9987324,0.2789208,1.038816,-0.06917914,1.008326,0.3084832,1.056725,-0.05250312,0.9914199,0.3097016,1.039993,-0.03775507,-0.08377165,0.1004763,0.1361566,-0.01749614,-0.07782227,0.1282955,0.15107,-0.002570488,-0.08683846,0.1089035,0.1393108,-0.03741942,-0.08400498,0.1003966,0.1361489,-0.01764194,-0.07768613,0.1291977,0.1517841,-0.002498259,-0.08695585,0.1101504,0.140359,-0.02219518,-0.08314098,0.1109137,0.1403812,-0.07672109,0.6000425,-0.1671373,0.7785422,77.74541,-0.1222467,0.9561025,-0.2663151,4.359175,-0.008883905,-0.06613902,0.09648656,0.1173156,-0.1337225,-0.5320211,-0.1783613,-0.8168593,289.5432,-0.2318203,-0.9223076,-0.3092058,0.470435,True,True,False,-0.09549389,0.690713,0.07256705,0.7010489,0.05344447,-0.09654802,-0.4425035,-0.8899511,305.7342,0.1171884,-0.2117021,-0.970283,-0.0223479,0.6871058,0.1585361,0.7055123,-0.0303539,0.6835597,0.1370081,0.6978154,-0.03000066,0.6666691,0.1396294,0.6817948,0.02357369,-0.06731157,0.1012705,0.123864,0.02054645,-0.06242048,0.076438,0.100803,0.005745337,-0.07392206,0.07594611,0.1061381,0.02350405,-0.06724287,0.101255,0.1238008,0.02056446,-0.06222586,0.07627209,0.1005604,0.005752772,-0.0737143,0.07574444,0.1058495,0.01718547,-0.0683642,0.08814405,0.1128644,-0.3419479,0.885929,0.00588208,-0.313316,216.5184,-0.3600783,0.9329016,0.006193952,2.405047,0,0,0,0,0,0,0,0,0,1,0,0,0.370892,False,True,False,-0.04842747,1.00368,0.3024004,1.049364,0.04859577,0.0817535,0.002703167,0.9954635,10.91925,0.5107582,0.8592572,0.0284112,0.09842747,-0.003680229,-0.002400339,0.09852549,0.8284824,0.1787432,-0.2986216,0.43874,127.953,0.9219558,0.1989099,-0.3323136,-0.02267184,1.183119,-0.01275463,1.183405,0.1316716,-0.01258025,0.09713884,0.9864423,18.89088,0.8023458,-0.07665826,0.5919192,False
1773023393721,0.1251349,0.05605069,1.027257,0.2544682,1.059789,0.1059334,0.4516125,0.1909858,-0.8650715,299.7817,0.2111705,0.9002568,0.3807164,-0.06224544,0.9988526,0.2791794,1.039001,-0.06906864,1.008385,0.3087417,1.05685,-0.05247467,0.9915421,0.3099918,1.040194,-0.03776926,-0.08376002,0.1004823,0.1361579,-0.01746239,-0.07784049,0.1282166,0.1510086,-0.002550635,-0.08681096,0.108941,0.1393226,-0.03749422,-0.08395348,0.1004145,0.1361509,-0.01760413,-0.07771879,0.1289875,0.1516175,-0.00250923,-0.08692507,0.1098848,0.1401319,-0.02219027,-0.08312667,0.1107807,0.140267,-0.07638303,0.6032881,-0.1660126,0.7763047,78.15305,-0.1211741,0.9570565,-0.2633624,4.346599,-0.008879443,-0.06612593,0.09636535,0.1172082,-0.1344692,-0.5332913,-0.1784537,-0.8158876,289.3505,-0.2325609,-0.9223137,-0.308631,0.4310755,True,True,False,-0.09544138,0.6906364,0.07256201,0.7009657,0.05356184,-0.09649367,-0.4423994,-0.8900016,305.7469,0.1174711,-0.2116287,-0.9702648,-0.02228885,0.6870444,0.158547,0.705453,-0.03027555,0.683454,0.1370542,0.6977175,-0.02988229,0.6665444,0.1397344,0.6816892,0.02360363,-0.06732473,0.1012761,0.1238814,0.02054161,-0.06247523,0.07647626,0.1008649,0.005738996,-0.07402875,0.0760463,0.1062837,0.02352484,-0.06725996,0.1012594,0.1238176,0.02055969,-0.06227799,0.07631474,0.100624,0.005749897,-0.07378004,0.0758075,0.1059402,0.01718503,-0.06840698,0.08816247,0.1129047,-0.3421071,0.8855164,0.00537478,-0.3143161,216.6391,-0.3603713,0.9327918,0.005661726,2.401993,0,0,0,0,0,0,0,0,0,1,0,0,0.3744094,False,True,False,-0.04826885,1.003752,0.3025891,1.04948,0.05008605,0.0842609,0.002799516,0.9951802,11.25523,0.5107564,0.8592571,0.02854828,0.09826885,-0.003752232,-0.002589107,0.09837454,0.8270521,0.178165,-0.3004815,0.4404008,127.7411,0.9211974,0.1984459,-0.334686,-0.02269229,1.183143,-0.0127727,1.18343,0.1315537,-0.01263852,0.09722573,0.9864487,18.88642,0.8018147,-0.0770313,0.592587,False
1773023393736,0.1391493,0.05606968,1.027253,0.2546423,1.059828,0.1061513,0.4511467,0.1913926,-0.8651979,299.8106,0.2116968,0.8997192,0.3816932,-0.06223567,0.9989654,0.2794507,1.039181,-0.06895698,1.008442,0.3090123,1.056976,-0.05245202,0.991667,0.3103013,1.040404,-0.03777969,-0.08375315,0.1004863,0.1361595,-0.0174287,-0.07785907,0.1281396,0.1509488,-0.002529164,-0.08678149,0.1089929,0.1393445,-0.03755525,-0.08391133,0.1004296,0.1361529,-0.01756716,-0.07774848,0.1288057,0.1514739,-0.00251341,-0.08689457,0.1096893,0.1399598,-0.0221916,-0.08311599,0.1106658,0.1401701,-0.07616197,0.6057145,-0.1651152,0.7746265,78.45763,-0.1204296,0.9577742,-0.2610852,4.332863,-0.008880644,-0.06611618,0.09626059,0.1171167,-0.1349852,-0.5341918,-0.1785402,-0.8151942,289.2131,-0.2330594,-0.922312,-0.3082595,0.4051541,True,True,False,-0.09538618,0.6905558,0.07255656,0.7008783,0.05368149,-0.09642977,-0.4422999,-0.8900508,305.7593,0.1177583,-0.2115331,-0.9702508,-0.02222809,0.6869813,0.1585585,0.7053922,-0.03019517,0.6833442,0.1371006,0.6976157,-0.02975076,0.6664097,0.1398525,0.681576,0.02363559,-0.06733713,0.1012818,0.1238989,0.02053678,-0.06253072,0.07651397,0.1009269,0.005731662,-0.07414991,0.07615993,0.106449,0.02354799,-0.0672761,0.1012641,0.1238346,0.0205549,-0.06233091,0.07635643,0.1006874,0.005746086,-0.07385749,0.07588127,0.1060467,0.01718475,-0.06845278,0.08818085,0.1129467,-0.3423904,0.8849885,0.004743532,-0.3155022,216.7823,-0.3608193,0.9326223,0.004998849,2.399966,0,0,0,0,0,0,0,0,0,1,0,0,0.3783545,False,True,False,-0.0481324,1.003809,0.3027779,1.049582,0.05115487,0.08609252,0.002786797,0.9949691,11.49937,0.510617,0.8593571,0.02781721,0.0981324,-0.003808737,-0.002777904,0.09824557,0.8260275,0.1776647,-0.3018112,0.4416148,127.5861,0.9206678,0.1980203,-0.3363906,-0.02272442,1.183144,-0.01278363,1.183432,0.1314191,-0.01272273,0.09705912,0.986482,18.86318,0.8019725,-0.07763921,0.5922939,False
