Timestamp,Trial Duration,Wrist World Position X,Wrist World Position Y,Wrist World Position Z,Wrist World Position Magnitude,Wrist World Rotation X,Wrist World Rotation Y,Wrist World Rotation Z,Wrist World Rotation W,Wrist World Rotation Angle,Wrist World Rotation Axis X,Wrist World Rotation Axis Y,Wrist World Rotation Axis Z,Wrist World Position_left X,Wrist World Position_left Y,Wrist World Position_left Z,Wrist World Position_left Magnitude,Wrist World Rotation_left X,Wrist World Rotation_left Y,Wrist World Rotation_left Z,Wrist World Rotation_left W,Wrist World Rotation_left Angle,Wrist World Rotation_left Axis X,Wrist World Rotation_left Axis Y,Wrist World Rotation_left Axis Z,Thumb Tip World Position X,Thumb Tip World Position Y,Thumb Tip World Position Z,Thumb Tip World Position Magnitude,Index Tip World Position X,Index Tip World Position Y,Index Tip World Position Z,Index Tip World Position Magnitude,Middle Tip World Position X,Middle Tip World Position Y,Middle Tip World Position Z,Middle Tip World Position Magnitude,Thumb Tip World Position_left X,Thumb Tip World Position_left Y,Thumb Tip World Position_left Z,Thumb Tip World Position_left Magnitude,Index Tip World Position_left X,Index Tip World Position_left Y,Index Tip World Position_left Z,Index Tip World Position_left Magnitude,Middle Tip World Position_left X,Middle Tip World Position_left Y,Middle Tip World Position_left Z,Middle Tip World Position_left Magnitude,Thumb Tip Local Position X,Thumb Tip Local Position Y,Thumb Tip Local Position Z,Thumb Tip Local Position Magnitude,Index Tip Local Position X,Index Tip Local Position Y,Index Tip Local Position Z,Index Tip Local Position Magnitude,Middle Tip Local Position X,Middle Tip Local Position Y,Middle Tip Local Position Z,Middle Tip Local Position Magnitude,Thumb Tip Local Position_left X,Thumb Tip Local Position_left Y,Thumb Tip Local Position_left Z,Thumb Tip Local Position_left Magnitude,Index Tip Local Position_left X,Index Tip Local Position_left Y,Index Tip Local Position_left Z,Index Tip Local Position_left Magnitude,Middle Tip Local Position_left X,Middle Tip Local Position_left Y,Middle Tip Local Position_left Z,Middle Tip Local Position_left Magnitude,Thumb Tip Euro Position X,Thumb Tip Euro Position Y,Thumb Tip Euro Position Z,Thumb Tip Euro Position Magnitude,Index Tip Euro Position X,Index Tip Euro Position Y,Index Tip Euro Position Z,Index Tip Euro Position Magnitude,Middle Tip Euro Position X,Middle Tip Euro Position Y,Middle Tip Euro Position Z,Middle Tip Euro Position Magnitude,Thumb Tip Euro Position_left X,Thumb Tip Euro Position_left Y,Thumb Tip Euro Position_left Z,Thumb Tip Euro Position_left Magnitude,Index Tip Euro Position_left X,Index Tip Euro Position_left Y,Index Tip Euro Position_left Z,Index Tip Euro Position_left Magnitude,Middle Tip Euro Position_left X,Middle Tip Euro Position_left Y,Middle Tip Euro Position_left Z,Middle Tip Euro Position_left Magnitude,Triangle Local Position X,Triangle Local Position Y,Triangle Local Position Z,Triangle Local Position Magnitude,Triangle Local Rotation X,Triangle Local Rotation Y,Triangle Local Rotation Z,Triangle Local Rotation W,Triangle Local Rotation Angle,Triangle Local Rotation Axis X,Triangle Local Rotation Axis Y,Triangle Local Rotation Axis Z,Triangle Local Position_left X,Triangle Local Position_left Y,Triangle Local Position_left Z,Triangle Local Position_left Magnitude,Triangle Local Rotation_left X,Triangle Local Rotation_left Y,Triangle Local Rotation_left Z,Triangle Local Rotation_left W,Triangle Local Rotation_left Angle,Triangle Local Rotation_left Axis X,Triangle Local Rotation_left Axis Y,Triangle Local Rotation_left Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is Grabbed,Is Grabbed_right,Is Grabbed_left,Is On Target
1773023900816,0.0189482,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.05104092,0.9905053,0.2963878,1.035158,-0.4487733,0.09390531,0.0320365,0.8881205,54.72397,-0.9764206,0.2043149,0.06970357,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1010409,0.009494722,0.00361222,0.1015503,0.5200711,-0.4590652,0.70552,0.1450064,163.3247,0.5256265,-0.463969,0.7130565,-0.02784583,1.195423,-0.04496227,1.196592,0.08927539,0.06592712,0.02527669,0.9935012,13.07134,0.7843446,0.5792142,0.2220728,True,False,True,False
1773023900843,0.0423943,0.1518958,0.9023074,0.1160727,0.922336,0.6485048,0.3927585,0.6460272,0.08849482,169.846,0.6510591,0.3943055,0.6485718,-0.07032377,0.9041885,0.1126214,0.9138851,0.6770468,0.05604827,-0.7288947,0.08472805,170.2792,0.6794901,0.05625054,-0.7315251,0.2030881,1.009728,0.1744148,1.044613,0.1444288,1.05043,0.2151816,1.081927,0.1081651,1.049874,0.2086839,1.075864,0.002793484,0.8715078,0.2190676,0.8986236,-0.04548436,0.959231,0.2232387,0.9859151,-0.07991993,0.9776976,0.2310722,1.007807,0.1045015,-0.01606917,0.07990538,0.1325279,0.1696152,-0.0413838,0.03655973,0.1783775,0.1694696,-0.05937821,0.004407514,0.179625,-0.1095509,0.05010168,-0.05686285,0.1332102,-0.1145605,-0.04530025,-0.02658269,0.1260272,-0.1208748,-0.06999381,0.004053026,0.1397365,0.1045015,-0.01606917,0.07990538,0.1325279,0.1696152,-0.0413838,0.03655973,0.1783775,0.1694696,-0.05937821,0.004407514,0.179625,-0.1095509,0.05010168,-0.05686285,0.1332102,-0.1145605,-0.04530025,-0.02658269,0.1260272,-0.1208748,-0.06999381,0.004053026,0.1397365,0.1274485,-0.0299296,0.05580562,0.1423137,-0.07306827,0.9177257,-0.2416657,0.3066568,144.2843,-0.07676689,0.9641797,-0.2538985,-0.1127957,0.01380306,-0.03925912,0.1202276,0.3031233,-0.4274694,0.6454341,0.5556988,112.4823,0.364601,-0.5141662,0.7763372,-0.05104092,0.9905053,0.2963878,1.035158,-0.4487733,0.09390531,0.0320365,0.8881205,54.72397,-0.9764206,0.2043149,0.06970357,0.2226305,-0.02758029,-0.1764957,0.2854396,-0.5675818,-0.02981118,-0.8080725,-0.154859,197.8172,-0.5745123,-0.03017519,-0.8179395,-0.1885595,-0.07462142,-0.02166703,0.2039424,-0.7095656,-0.3472394,0.5613294,-0.2466798,208.5622,-0.7321925,-0.3583123,0.5792293,0.1010409,0.009494722,0.00361222,0.1015503,0.5200711,-0.4590652,0.70552,0.1450064,163.3247,0.5256265,-0.463969,0.7130565,-0.02784329,1.195156,-0.04460572,1.196312,0.09063321,0.06693852,0.02554609,0.9933037,13.26866,0.7844828,0.5793915,0.2211162,False,False,False,False
1773023900871,0.0703092,0.1519308,0.7070493,0.1163519,0.7324885,0.6479649,0.3941233,0.6462646,0.08456059,170.2985,0.6502939,0.3955399,0.6485876,-0.07121594,0.7314671,0.1099565,0.7431058,0.6773413,0.05596219,-0.7291452,0.08015258,170.8053,0.6795276,0.05614282,-0.7314987,0.2023754,0.8149855,0.1745437,0.8576845,0.1436827,0.854725,0.2161309,0.8932593,0.1075014,0.8538712,0.210291,0.8859316,0.002472677,0.6980317,0.2159035,0.7306632,-0.02000928,0.719434,0.2824715,0.7731596,-0.06619857,0.7316559,0.2990941,0.793196,0.1044198,-0.01658826,0.08001565,0.132594,0.1696864,-0.04123394,0.03658258,0.1784152,0.1699371,-0.05879776,0.004405495,0.1798755,-0.1093538,0.0498535,-0.05769826,0.1333143,-0.1750192,0.02632359,-0.03469426,0.1803562,-0.1888762,0.005883073,0.009456694,0.1892043,0.104491,-0.01613582,0.07991953,0.1325363,0.1696243,-0.04136456,0.03656267,0.1783824,0.1695296,-0.05930368,0.004407255,0.179657,-0.1095256,0.05006981,-0.05697012,0.1332232,-0.1223234,-0.0361037,-0.02762422,0.1304975,-0.1296062,-0.06025117,0.004746861,0.1430053,0.1274471,-0.02994506,0.05582488,0.1423232,-0.0730423,0.9177709,-0.2409777,0.3070688,144.2346,-0.07675031,0.9643617,-0.2532111,-0.115939,0.01408834,-0.03772909,0.1227347,0.2910639,-0.4173633,0.6065155,0.6109246,104.6872,0.3676493,-0.5271808,0.7661032,-0.05104092,0.9905053,0.2963878,1.035158,-0.4487733,0.09390531,0.0320365,0.8881205,54.72397,-0.9764206,0.2043149,0.06970357,0.3441703,-0.1613846,-0.09726038,0.3923746,-0.5653581,-0.03130351,-0.8089712,-0.157975,198.1788,-0.5725475,-0.03170158,-0.8192585,-0.1978654,-0.2451713,-0.05481619,0.3197882,-0.7077945,-0.3476956,0.5614163,-0.2508916,209.0606,-0.7311811,-0.359184,0.5799664,0.1010409,0.009494722,0.00361222,0.1015503,0.5200711,-0.4590652,0.70552,0.1450064,163.3247,0.5256265,-0.463969,0.7130565,-0.02777541,1.194248,-0.04349593,1.195363,0.09450527,0.06825826,0.0254688,0.992855,13.70658,0.7919833,0.5720254,0.2134364,False,False,False,False
1773023900894,0.09536231,0.1518337,0.4736311,0.116328,0.5107956,0.6474085,0.3954535,0.6464849,0.08084655,170.7256,0.6495347,0.3967523,0.6486081,-0.06968091,0.5352948,0.1093712,0.5507795,0.6776218,0.05589471,-0.7293519,0.07583173,171.302,0.6795786,0.05605612,-0.7314581,0.2009362,0.5825289,0.1741184,0.6403378,0.1424335,0.6211544,0.2158582,0.6728409,0.1064723,0.6199135,0.2103714,0.6632384,0.004304841,0.5010115,0.2148802,0.5451647,-0.01742395,0.499439,0.2714819,0.5687225,-0.05709649,0.5005549,0.2910196,0.5818141,0.1045241,-0.01780665,0.0797945,0.1327009,0.1693067,-0.04197533,0.03648401,0.1782071,0.1696452,-0.05917303,0.004406348,0.179723,-0.1091801,0.04970396,-0.05822914,0.1333469,-0.1640285,0.04840104,-0.03237744,0.1740583,-0.1807618,0.04032619,0.007768199,0.1853682,0.1044959,-0.01638515,0.07990088,0.1325595,0.1695769,-0.0414557,0.03655093,0.1783561,0.1695468,-0.05928418,0.004407119,0.1796668,-0.109474,0.05001521,-0.05715799,0.1332408,-0.1285467,-0.02349375,-0.0283335,0.1337124,-0.1372398,-0.04524283,0.005197711,0.1445983,0.1274381,-0.03010251,0.05582191,0.1423471,-0.07283081,0.9179367,-0.2397767,0.3075629,144.1752,-0.07654092,0.9646979,-0.2519913,-0.1191409,0.0164449,-0.03615141,0.1255863,0.2623865,-0.4063323,0.5730285,0.6615783,97.15929,0.3499065,-0.541866,0.7641643,-0.05104092,0.9905053,0.2963878,1.035158,-0.4487733,0.09390531,0.0320365,0.8881205,54.72397,-0.9764206,0.2043149,0.06970357,0.488059,-0.3202141,0.0001843422,0.5837283,-0.5632191,-0.03275261,-0.8098305,-0.1608918,198.5173,-0.5706535,-0.03318494,-0.8205201,-0.2036205,-0.4396855,-0.08806123,0.4924829,-0.7061218,-0.3481252,0.5614654,-0.2548679,209.5315,-0.7302372,-0.3600144,0.5806406,0.1010409,0.009494722,0.00361222,0.1015503,0.5200711,-0.4590652,0.70552,0.1450064,163.3247,0.5256265,-0.463969,0.7130565,-0.02780582,1.193749,-0.04272841,1.194837,0.09685427,0.06944782,0.02492006,0.99256,13.987,0.7954739,0.570382,0.204671,False,False,False,False
1773023900907,0.1183396,0.1517329,0.3115297,0.1163472,0.3655275,0.6468635,0.3967598,0.6466611,0.07732346,171.1305,0.6488059,0.3979512,0.648603,-0.07015979,0.4083599,0.1095394,0.428578,0.6778976,0.05586443,-0.7295075,0.0717841,171.7671,0.679651,0.05600893,-0.7313944,0.1999025,0.4208503,0.1741829,0.4974089,0.1409818,0.4590738,0.2151569,0.5262291,0.1052661,0.4573092,0.2101627,0.51418,0.002931371,0.3727007,0.2151111,0.4303338,-0.01805479,0.3724127,0.2721192,0.4615908,-0.05841656,0.3756456,0.2924194,0.4796157,0.1046013,-0.01822372,0.07964128,0.1327263,0.1687163,-0.04318345,0.03630723,0.1778994,0.1691618,-0.05981895,0.00426466,0.1794776,-0.1093904,0.04993013,-0.05744572,0.133264,-0.1647422,0.04732763,-0.03254923,0.1744687,-0.1822272,0.03718498,0.007984996,0.1861538,0.1045103,-0.0166352,0.07986557,0.1325807,0.1694599,-0.04169068,0.03651778,0.1782928,0.1694945,-0.05935692,0.004387744,0.1796409,-0.1094626,0.05000364,-0.05719712,0.1332439,-0.1334695,-0.01386173,-0.02890686,0.1372656,-0.1433583,-0.03403229,0.005576794,0.1474479,0.1273987,-0.03029202,0.05581002,0.1423475,-0.07102855,0.9182496,-0.2384793,0.3080589,144.1154,-0.07465944,0.9651893,-0.2506701,-0.1220726,0.01851586,-0.03467895,0.1282466,0.2392367,-0.3975366,0.5330442,0.7075269,89.93189,0.338533,-0.5625361,0.7542869,-0.05104092,0.9905053,0.2963878,1.035158,-0.4487733,0.09390531,0.0320365,0.8881205,54.72397,-0.9764206,0.2043149,0.06970357,0.5866483,-0.4304995,0.07109144,0.7311224,-0.5611793,-0.03418199,-0.8106349,-0.1636479,198.8374,-0.568848,-0.0346491,-0.8217126,-0.2045316,-0.5661064,-0.1089108,0.6116954,-0.7045639,-0.3485394,0.5614616,-0.2585943,209.9733,-0.7293727,-0.3608121,0.5812317,0.1010409,0.009494722,0.00361222,0.1015503,0.5200711,-0.4590652,0.70552,0.1450064,163.3247,0.5256265,-0.463969,0.7130565,-0.02775989,1.193255,-0.04199804,1.194316,0.09915229,0.07030343,0.0244761,0.9922838,14.24454,0.7996982,0.567022,0.1974084,False,False,False,False
1773023900920,0.1303589,0.1515264,0.2430773,0.1165787,0.309253,0.6465207,0.3978884,0.6467113,0.07389516,171.5245,0.6482931,0.3989792,0.6484842,-0.0701355,0.3633813,0.1095086,0.3859496,0.6782085,0.05603182,-0.7295246,0.06846666,172.1482,0.6798037,0.05616362,-0.7312405,0.1984889,0.3528787,0.1745997,0.4409153,0.1396435,0.3903943,0.215264,0.4671687,0.1042225,0.3883739,0.2103405,0.4538058,0.002856239,0.3269094,0.2149815,0.3912735,-0.01806272,0.3266124,0.2719701,0.4254052,-0.05840855,0.3297123,0.2921798,0.4443993,0.1049026,-0.01875916,0.07919474,0.1327715,0.168412,-0.04382454,0.03604312,0.1777141,0.1687748,-0.06030825,0.004244953,0.1792764,-0.1094672,0.04991252,-0.05751681,0.1333511,-0.164811,0.04715881,-0.03272027,0.17452,-0.1821864,0.03723529,0.007843882,0.1861179,0.1045598,-0.01690315,0.07978094,0.1326026,0.1693277,-0.04195988,0.0364579,0.1782181,0.1694037,-0.05947693,0.00436973,0.1795946,-0.1094632,0.04999215,-0.05723745,0.1332574,-0.1374234,-0.006163546,-0.02938795,0.1406657,-0.1482567,-0.02504137,0.005862804,0.1504709,0.127373,-0.03050959,0.05576302,0.1423525,-0.06932931,0.9185427,-0.2374847,0.3083403,144.0815,-0.07288033,0.9655899,-0.2496485,-0.124633,0.02054226,-0.03348739,0.1306781,0.220904,-0.3898263,0.4884936,0.7487395,83.03738,0.3332568,-0.5880937,0.7369435,-0.05104092,0.9905053,0.2963878,1.035158,-0.4487733,0.09390531,0.0320365,0.8881205,54.72397,-0.9764206,0.2043149,0.06970357,0.6267794,-0.4777471,0.1044945,0.7949929,-0.5593678,-0.03549473,-0.8112636,-0.1664312,199.1608,-0.5672796,-0.03599677,-0.8227383,-0.2026923,-0.6118706,-0.114469,0.6546549,-0.7033582,-0.3489973,0.5612662,-0.2616649,210.3378,-0.7287487,-0.3615957,0.5815273,0.1010409,0.009494722,0.00361222,0.1015503,0.5200711,-0.4590652,0.70552,0.1450064,163.3247,0.5256265,-0.463969,0.7130565,-0.02777165,1.193091,-0.04165521,1.194141,0.1004559,0.07035402,0.02405763,0.9921594,14.35911,0.8037806,0.5629256,0.192493,False,False,False,False
1773023900933,0.1427584,0.1513968,0.2207374,0.1167095,0.2920053,0.6463733,0.3985198,0.646732,0.07156366,171.7924,0.6480348,0.3995442,0.6483944,-0.07013678,0.3527551,0.109508,0.3759619,0.6784557,0.05624991,-0.7294584,0.06651632,172.3722,0.6799615,0.05637475,-0.7310774,0.1977079,0.3308019,0.1748253,0.4231811,0.1388655,0.3678637,0.2154278,0.4483486,0.1036331,0.3656833,0.210638,0.4345486,0.002705588,0.3157648,0.2149145,0.3819725,-0.01811049,0.3154528,0.2718865,0.4168462,-0.05848134,0.318643,0.2921214,0.4362205,0.1050258,-0.01907118,0.07900774,0.132802,0.1682515,-0.04416347,0.03590953,0.1776189,0.1686265,-0.06050005,0.00425525,0.1792017,-0.1094938,0.04992106,-0.05747905,0.1333599,-0.1648366,0.04708622,-0.03281431,0.1745423,-0.1822348,0.03711125,0.007771865,0.1861375,0.1045925,-0.01705539,0.07972664,0.1326153,0.1692521,-0.04211461,0.0364194,0.1781749,0.1693491,-0.05954877,0.004361691,0.1795667,-0.1094654,0.04998716,-0.05725442,0.1332646,-0.1393483,-0.00242452,-0.02962854,0.1424839,-0.1506425,-0.02067721,0.005996852,0.1521732,0.1273595,-0.03063361,0.05573385,0.1423556,-0.06840329,0.9186996,-0.2369689,0.3084767,144.0651,-0.07191021,0.9657998,-0.2491179,-0.1259388,0.0216574,-0.03291407,0.1319582,0.2122774,-0.3860764,0.4619059,0.7697573,79.3358,0.3325478,-0.6048163,0.7236086,-0.05104092,0.9905053,0.2963878,1.035158,-0.4487733,0.09390531,0.0320365,0.8881205,54.72397,-0.9764206,0.2043149,0.06970357,0.6390077,-0.4936901,0.1172493,0.8159707,-0.5582089,-0.03626984,-0.8116262,-0.1683758,199.3868,-0.566294,-0.03679517,-0.8233817,-0.2009326,-0.6232296,-0.1150011,0.6648415,-0.7027032,-0.3493365,0.5610239,-0.2634854,210.5539,-0.7284439,-0.3621331,0.5815747,0.1010409,0.009494722,0.00361222,0.1015503,0.5200711,-0.4590652,0.70552,0.1450064,163.3247,0.5256265,-0.463969,0.7130565,-0.02774932,1.192848,-0.04131314,1.193886,0.1016381,0.07080202,0.023388,0.9920231,14.48355,0.8062899,0.5616689,0.1855359,False,False,False,False
1773023900946,0.1561802,0.1512343,0.2063104,0.1168998,0.2812496,0.646345,0.3988682,0.6467454,0.06973399,172.0026,0.6479223,0.3998416,0.6483237,-0.07014745,0.3500294,0.109536,0.3734159,0.67868,0.05651502,-0.7293427,0.06525972,172.5165,0.6801298,0.05663574,-0.7309008,0.1969306,0.3166242,0.1751,0.4119376,0.1380766,0.3533965,0.215274,0.4362306,0.1031178,0.3510022,0.2108027,0.4222246,0.002646982,0.3126991,0.2148932,0.3794296,-0.01814346,0.3124339,0.2718937,0.4145724,-0.05859168,0.3156737,0.2921264,0.4340745,0.1051782,-0.01942636,0.07877007,0.1328328,0.1679153,-0.04482916,0.03577355,0.17744,0.1683853,-0.06080186,0.004269611,0.1790773,-0.109504,0.04993479,-0.05751621,0.1333894,-0.1648879,0.04697227,-0.0329153,0.174579,-0.1822848,0.03695182,0.007740065,0.1861534,0.1046348,-0.01722675,0.0796575,0.1326293,0.1691555,-0.04231081,0.03637272,0.1781201,0.1692794,-0.05963934,0.004355036,0.1795309,-0.1094682,0.04998337,-0.05727334,0.1332736,-0.1411942,0.001145749,-0.0298661,0.1443229,-0.1529296,-0.01651194,0.006122847,0.1539402,0.1273411,-0.03077585,0.05569926,0.1423563,-0.0670732,0.9188905,-0.2363619,0.3086656,144.0423,-0.07051647,0.9660627,-0.2484958,-0.1272191,0.02280891,-0.03238152,0.1332423,0.2043107,-0.3825889,0.4330916,0.7901358,75.60359,0.3333334,-0.6241948,0.7065902,-0.05104092,0.9905053,0.2963878,1.035158,-0.4487733,0.09390531,0.0320365,0.8881205,54.72397,-0.9764206,0.2043149,0.06970357,0.6464525,-0.5043109,0.1259477,0.8295138,-0.5573726,-0.03674598,-0.8118504,-0.1699549,199.5704,-0.5656009,-0.03728845,-0.8238356,-0.1995379,-0.6264969,-0.1147795,0.6674489,-0.7023361,-0.3496309,0.5607408,-0.2646735,210.6951,-0.728309,-0.3625605,0.5814774,0.1010409,0.009494722,0.00361222,0.1015503,0.5200711,-0.4590652,0.70552,0.1450064,163.3247,0.5256265,-0.463969,0.7130565,-0.02779009,1.192485,-0.0410859,1.193516,0.1027724,0.07079473,0.02319616,0.9919112,14.58485,0.8096558,0.5577313,0.1827428,False,False,False,False
1773023900974,0.1800598,0.150972,0.2012138,0.1171509,0.2774957,0.646409,0.3989362,0.6467555,0.06864971,172.1271,0.6479376,0.3998795,0.6482848,-0.07016955,0.3683081,0.1095986,0.3906232,0.6787825,0.05664936,-0.7292796,0.06478212,172.5713,0.6802112,0.0567686,-0.7308146,0.1956781,0.3120287,0.1752986,0.4078988,0.1366375,0.348773,0.213524,0.4311669,0.1024522,0.345889,0.2101389,0.4174853,0.002583734,0.3307312,0.21494,0.3944477,-0.01806058,0.330665,0.2719544,0.4285145,-0.05877607,0.3342807,0.2923407,0.4479523,0.1055034,-0.02024406,0.07822363,0.1328899,0.1667296,-0.0470359,0.03543739,0.1768247,0.1676359,-0.06173979,0.004270345,0.1786948,-0.1095062,0.05005017,-0.05749131,0.1334237,-0.1649228,0.04688034,-0.03308259,0.1746189,-0.1824646,0.03644827,0.007781655,0.186232,0.1047024,-0.01746142,0.07954599,0.1326464,0.1689668,-0.0426783,0.03629997,0.1780138,0.1691516,-0.0598027,0.004348449,0.1794646,-0.1094711,0.04998857,-0.05729029,0.1332853,-0.1430397,0.004702663,-0.03011625,0.1462513,-0.1552266,-0.01239307,0.006251857,0.155846,0.1272937,-0.03098208,0.05565305,0.1423406,-0.06385899,0.919239,-0.2352978,0.3091224,143.9873,-0.06714774,0.9665799,-0.2474156,-0.1285298,0.02403024,-0.0318607,0.1345825,0.1968173,-0.3793563,0.400848,0.8103535,71.73904,0.3358994,-0.6474305,0.6841093,-0.05104092,0.9905053,0.2963878,1.035158,-0.4487733,0.09390531,0.0320365,0.8881205,54.72397,-0.9764206,0.2043149,0.06970357,0.648505,-0.5084717,0.1296698,0.8342161,-0.556944,-0.03690163,-0.8119307,-0.1709399,199.6849,-0.5652639,-0.03745288,-0.8240595,-0.1985821,-0.6087095,-0.1114617,0.6499122,-0.7022112,-0.3497634,0.5605996,-0.265129,210.7492,-0.7282739,-0.362745,0.5814064,0.1010409,0.009494722,0.00361222,0.1015503,0.5200711,-0.4590652,0.70552,0.1450064,163.3247,0.5256265,-0.463969,0.7130565,-0.02772418,1.192247,-0.04081566,1.193267,0.1036092,0.07045922,0.02346596,0.9918417,14.64746,0.8127788,0.5527284,0.1840824,False,False,False,False
1773023900987,0.1976416,0.1508487,0.2278618,0.1172412,0.297358,0.6465262,0.3989476,0.6467673,0.06735597,172.2757,0.6479979,0.3998557,0.6482394,-0.07019255,0.4182558,0.1095624,0.4380283,0.678881,0.0568074,-0.7292137,0.06434995,172.6209,0.6802911,0.05692539,-0.7307282,0.1955673,0.3387248,0.1753071,0.4286183,0.1362242,0.3753468,0.2134548,0.452775,0.1021341,0.3723379,0.2102517,0.4396279,0.00252492,0.380582,0.2148992,0.4370705,-0.01812221,0.3805683,0.2719525,0.4681012,-0.05891822,0.3843091,0.2923605,0.486456,0.1053607,-0.0203727,0.07839702,0.1328985,0.1664905,-0.04743862,0.03540154,0.1766997,0.1674512,-0.06196236,0.004263405,0.1785985,-0.1095214,0.05002834,-0.05749114,0.1334279,-0.1649822,0.04676961,-0.03310139,0.1746488,-0.1825458,0.0362009,0.007820681,0.186265,0.1047883,-0.01784124,0.07939609,0.1326749,0.1686438,-0.04329935,0.03618276,0.1778335,0.1689298,-0.06008446,0.004337354,0.1793494,-0.1094777,0.04999376,-0.0573165,0.1333039,-0.1459024,0.01019093,-0.03050571,0.1494054,-0.1587908,-0.006053254,0.006456534,0.1590372,0.1271894,-0.0313183,0.05560516,0.1423022,-0.05835094,0.9198184,-0.2334848,0.3098616,143.8982,-0.06137155,0.9674339,-0.2455714,-0.1305877,0.02608741,-0.03111372,0.1367544,0.1860378,-0.3750017,0.344184,0.8404172,65.6316,0.3432811,-0.6919617,0.6350961,-0.05104092,0.9905053,0.2963878,1.035158,-0.4487733,0.09390531,0.0320365,0.8881205,54.72397,-0.9764206,0.2043149,0.06970357,0.6313372,-0.4914651,0.1198063,0.8089982,-0.5564668,-0.03702417,-0.8119987,-0.17214,199.8245,-0.5648993,-0.03758523,-0.8243036,-0.1972487,-0.5596973,-0.1028195,0.602279,-0.7021037,-0.3499116,0.560447,-0.2655401,210.7981,-0.7282479,-0.3629413,0.5813164,0.1010409,0.009494722,0.00361222,0.1015503,0.5200711,-0.4590652,0.70552,0.1450064,163.3247,0.5256265,-0.463969,0.7130565,-0.02775061,1.191851,-0.04020206,1.192852,0.105662,0.07048805,0.0231992,0.9916294,14.83714,0.8183438,0.5459242,0.1796759,False,False,False,False
