Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773023899137,0,1,1,135,0.3418756,-0.7872975,0.5131118,1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,0,0,0.1,0.3158518,-0.7273681,0.4740535,0.3826834,135,0.3418756,-0.7872976,0.5131118
Grab_left,1773023900810,0,1,1,135,0.3418756,-0.7872975,0.5131118,1,-0.04985316,0.9964834,0.3003486,1.041957,-0.1050977,-0.002601232,0.01496628,0.994346,12.19135,-0.9897223,-0.02449622,0.1409399,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.09985317,0.003516555,-0.000348568,0.09991568,0.363938,-0.667711,0.5429122,0.3563113,138.2523,0.389502,-0.7146129,0.5810478
Trial Start,1773023900816,0,1,1,135,0.3418756,-0.7872975,0.5131118,1,-0.05104092,0.9905053,0.2963878,1.035158,-0.4487733,0.09390531,0.0320365,0.8881205,54.72397,-0.9764206,0.2043149,0.06970357,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1010409,0.009494722,0.00361222,0.1015503,0.5200711,-0.4590652,0.70552,0.1450064,163.3247,0.5256265,-0.463969,0.7130565
Release_left,1773023900842,0.0189482,1,1,135,0.3418756,-0.7872975,0.5131118,1,-0.05104092,0.9905053,0.2963878,1.035158,-0.4487733,0.09390531,0.0320365,0.8881205,54.72397,-0.9764206,0.2043149,0.06970357,0.2226305,-0.02758029,-0.1764957,0.2854396,-0.5675818,-0.02981118,-0.8080725,-0.154859,197.8172,-0.5745123,-0.03017519,-0.8179395,-0.1885595,-0.07462142,-0.02166703,0.2039424,-0.7095656,-0.3472394,0.5613294,-0.2466798,208.5622,-0.7321925,-0.3583123,0.5792293,0.1010409,0.009494722,0.00361222,0.1015503,0.5200711,-0.4590652,0.70552,0.1450064,163.3247,0.5256265,-0.463969,0.7130565
Grab,1773023903167,2.363241,1,1,135,0.3418756,-0.7872975,0.5131118,1,-0.02755375,1.003981,0.2605892,1.037614,-0.2577926,0.4290694,-0.05421601,0.8640041,60.46165,-0.5120166,0.8521994,-0.1076815,0.09135102,-0.05206075,0.006901681,0.1053706,-0.3528273,-0.7859449,-0.499329,-0.09205522,190.5637,-0.3543318,-0.7892963,-0.5014583,-0.247485,-0.2515525,-0.05872957,0.3577383,-0.8667441,-0.1954588,0.4561529,0.04975145,174.2966,-0.8678187,-0.1957011,0.4567185,0.07755375,-0.003980875,0.0394108,0.08708411,0.5355171,-0.6875635,0.4823195,-0.08857693,190.1635,0.5376303,-0.6902768,0.4842228
Release,1773023903528,2.724257,1,1,135,0.3418756,-0.7872975,0.5131118,1,-0.02279687,1.028356,0.2222527,1.052346,-0.01143072,0.1470382,-0.3443437,0.9271875,43.99888,-0.03051466,0.3925231,-0.9192364,0.08927614,-0.05416458,0.007146609,0.1046666,-0.3283609,-0.8093963,-0.4787994,-0.08836361,190.1389,-0.3296504,-0.8125749,-0.4806797,-0.220696,-0.2790144,-0.08687922,0.3662018,-0.6415827,-0.2147721,0.5965185,0.4317527,128.8423,-0.7112952,-0.2381086,0.6613345,0.07279687,-0.02835619,0.07774732,0.1102184,0.1164676,-0.8340185,0.5331832,0.08102062,170.7055,0.1168517,-0.8367693,0.5349418
Grab,1773023905862,5.058237,1,1,135,0.3418756,-0.7872975,0.5131118,1,-0.007703434,1.034486,0.2047865,1.054589,-0.0482229,-0.2084851,0.3889042,0.8960815,52.70463,-0.1086372,-0.469678,0.8761283,0.1115947,-0.05714742,0.02193738,0.127281,-0.7733327,-0.2775528,-0.1727071,-0.543225,245.8069,-0.9210868,-0.3305824,-0.2057048,-0.2202918,-0.2724617,-0.1182891,0.3698056,-0.354874,0.09107106,0.9161313,-0.1627086,198.7283,-0.3596668,0.09230105,0.9285044,0.05770344,-0.03448606,0.09521349,0.1165529,0.4855265,-0.426301,0.3768896,0.6636911,96.83603,0.6490936,-0.5699158,0.5038584
Release,1773023906723,5.920001,1,1,135,0.3418756,-0.7872975,0.5131118,1,-0.007803333,1.031132,0.2249604,1.055415,0.2337584,-0.7622877,0.5267195,0.294688,145.7224,0.2446212,-0.7977113,0.5511962,0.1066617,-0.04985739,0.02296252,0.1199573,-0.8017374,0.04265881,0.1237659,-0.5831633,251.3467,-0.98693,0.05251252,0.1523544,-0.2393714,-0.2665856,-0.1105475,0.3749497,0.5118483,0.316792,0.7543374,-0.2619725,210.3743,0.5303712,0.3282561,0.7816356,0.05780333,-0.03113222,0.07503957,0.09970646,0.02537607,0.1329195,0.008872651,0.9907623,15.58789,0.1871242,0.9801542,0.06542729
Grab,1773023906737,5.933283,1,1,135,0.3418756,-0.7872975,0.5131118,1,-0.008395841,1.031425,0.2239923,1.0555,0.222166,-0.7444314,0.5415378,0.3212493,142.523,0.2346011,-0.7860988,0.5718489,0.1085374,-0.04930479,0.02465143,0.1217334,-0.7994925,0.007253423,0.1100788,-0.5904591,252.3792,-0.9906139,0.008987378,0.1363935,-0.2386198,-0.2670453,-0.1102257,0.374703,0.4778763,0.322366,0.7743223,-0.2610357,210.2631,0.4950397,0.3339441,0.8021328,0.05839584,-0.03142512,0.07600772,0.1008701,0.05744496,0.1169422,0.01858538,0.9913019,15.1251,0.4364834,0.8885608,0.1412171
Release,1773023906737,5.933283,1,1,135,0.3418756,-0.7872975,0.5131118,1,-0.008663592,1.031911,0.2229562,1.055758,0.2318551,-0.7395319,0.5373744,0.3325123,141.1573,0.2458439,-0.784151,0.5697965,0.1085374,-0.04930479,0.02465143,0.1217334,-0.7994925,0.007253423,0.1100788,-0.5904591,252.3792,-0.9906139,0.008987378,0.1363935,-0.2386198,-0.2670453,-0.1102257,0.374703,0.4778763,0.322366,0.7743223,-0.2610357,210.2631,0.4950397,0.3339441,0.8021328,0.05866359,-0.03191125,0.07704383,0.1019583,0.05658881,0.1009667,0.01692283,0.993135,13.43493,0.483775,0.8631594,0.1446725
