Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Total Thumb Tip Translation,Total Index Tip Translation,Total Middle Tip Translation,Total Thumb Tip Translation_left,Total Index Tip Translation_left,Total Middle Tip Translation_left,Total Wrist Translation,Total Wrist Rotation,Total Wrist Translation_left,Total Wrist Rotation_left,Total Die Translation,Total Die Rotation,Total Die Local Translation,Total Die Local Rotation,Total Die Local Translation_left,Total Die Local Rotation_left,Total Head Translation,Total Head Rotation,Total Grabbed Time,Total Grabbed Time_left
1,1,135,0.3418756,-0.7872975,0.5131118,1,12.8764,False,0.002653617,-0.007742405,0.007996947,0.0114428,-0.006716849,0.01137495,0.05469735,0.9984157,6.451473,-0.1193681,0.2021493,0.9720507,0.2299246,0.3202007,0.2920651,0,0,0,0.4890181,264.0286,0,0,0.3404678,570.0339,0.1946628,431.9774,0,0,0.04306718,6.381653,5.970074,0
1,2,135,-0.8406817,0.2541843,-0.4781679,1,8.254087,False,-0.003994662,-0.003880262,0.004444748,0.007125275,-0.03852743,0.03309759,0.02046251,0.9984996,6.277994,-0.7035906,0.6044305,0.3736878,0.2228747,0.2759129,0.2317474,0,0,0,0.4573399,272.8005,0,0,0.3817502,494.0083,0.1942316,389.5159,0,0,0.04198671,3.793596,6.66629,0
1,3,135,0.3649397,0.09575159,-0.9260943,1,12.55964,False,0.01179167,-0.004042506,0.009105623,0.01543689,-0.008559311,0.0484207,0.04412366,0.9978153,7.576027,-0.1295586,0.7329231,0.6678806,0.265146,0.2918659,0.2896665,0,0,0,0.3785872,255.1171,0,0,0.3519348,593.1688,0.2152532,488.5728,0,0,0.05052984,5.463912,8.710131,0
1,4,135,-0.8757315,-0.333662,0.348947,1,22.8909,False,0.002508987,-0.003044605,0.0007452369,0.004014974,-0.001847053,-0.01113366,0.007864138,0.9999055,1.575661,-0.1343299,-0.8097137,0.5719321,0.3840253,0.3747483,0.4281228,0,0,0,0.5050647,346.3697,0,0,0.427385,844.5494,0.3412654,702.7161,0,0,0.07898714,7.827098,13.3278,0
1,5,135,0.2421211,-0.9272262,-0.2857076,1,6.978518,False,-0.0006049722,-0.002394795,0.006654143,0.007097793,-0.05463713,0.0009784984,0.02503776,0.998192,6.892112,-0.9089722,0.01627882,0.4165413,0.2146076,0.172048,0.2302179,0,0,0,0.3715338,289.7625,0,0,0.3111819,563.0104,0.1636636,384.9264,0,0,0.08762065,13.30518,6.00129,0
1,6,135,0.479388,-0.4408846,-0.7588201,1,14.73939,False,0.001910187,-0.00314784,0.007198989,0.008085986,-0.04733641,-0.03918801,-0.04105233,-0.9972655,351.5237,-0.640522,-0.5302638,-0.5554904,0.2899343,0.2965601,0.2673953,0,0,0,0.4792569,305.3903,0,0,0.3751323,665.6109,0.2475591,521.2183,0,0,0.05914763,9.504889,9.818219,0
1,7,135,0.5472993,-0.2274482,-0.8054383,1,13.96183,False,-0.001196168,-0.003780842,0.008962423,0.009800541,-0.0007000476,-0.02835027,-0.00700147,0.9995733,3.347721,-0.0239658,-0.970558,-0.239692,0.3242503,0.2968421,0.3804808,0,0,0,0.4861768,351.3496,0,0,0.4478216,741.1871,0.3002871,638.6087,0,0,0.09007484,10.69927,10.64945,0
1,8,135,0.3382942,-0.8088527,-0.4809514,1,9.766264,False,0.00458518,-0.00367713,-0.0007455945,0.005924616,0.05157727,0.03175198,0.009167833,0.9981221,7.023803,0.8419962,0.5183494,0.1496644,0.2808402,0.2720817,0.334967,0,0,0,0.3964261,335.3143,0,0,0.3417028,650.7118,0.2188131,483.9926,0,0,0.04592143,7.087163,6.606785,0
1,9,135,-0.8655039,0.3686626,-0.3391031,1,13.34961,False,0.002856221,0.001667798,-0.0005433559,0.003351833,0.01345003,0.03953585,-0.00917963,0.9990855,4.901126,0.3145664,0.9246555,-0.2146911,0.4603872,0.4514403,0.4803891,0,0,0,0.5637241,418.8479,0,0,0.4536208,830.9529,0.2440415,604.6345,0,0,0.05543198,6.821067,10.7201,0
1,10,135,-0.8289555,-0.1253462,0.5450881,0.9999999,14.87922,False,0.005254321,-0.007540464,0.01239657,0.01543184,-0.005820407,0.05323491,0.05630248,0.9969766,8.913,-0.07490646,0.6851133,0.7245918,0.4654978,0.4541665,0.5196822,0,0,0,0.7351492,515.2205,0,0,0.6028816,881.9854,0.3647069,737.1109,0,0,0.07851482,13.22068,9.334784,0
2,1,135,0.5605653,0.8240734,0.08166754,1,9.476415,False,0.005467132,-0.005518794,0.004888505,0.009178459,-0.06467725,0.02638689,-0.02008892,0.997355,8.336287,-0.8898439,0.3630367,-0.2763878,0.1963148,0.2382562,0.2112798,0,0,0,0.3285671,235.2272,0,0,0.3487726,444.9329,0.141573,307.7325,0,0,0.04219769,8.507415,6.123032,0
2,2,135,-0.8433338,-0.2629183,-0.4686812,1,10.69847,False,-0.001601461,-0.00417161,0.004402339,0.006272767,-0.05193828,-0.0565455,0.000868642,-0.9970478,351.1927,-0.6764303,-0.7364334,0.01131296,0.246635,0.2255307,0.2408382,0,0,0,0.4182082,339.4887,0,0,0.3333925,565.2114,0.2082625,385.5777,0,0,0.02855962,3.275626,5.412262,0
2,3,135,-0.5393599,0.5032791,-0.6751304,1,11.44809,False,0.002250694,-0.0008620024,0.003650904,0.004374674,-0.02538858,0.02270981,0.05684636,0.9978017,7.599563,-0.3831075,0.3426855,0.8577977,0.2866177,0.2621735,0.3024213,0,0,0,0.5782471,334.3865,0,0,0.4352842,613.9713,0.2057066,447.1636,0,0,0.04505938,5.83197,7.550137,0
2,4,135,-0.7739025,0.2701911,-0.5727754,1,6.059279,False,-0.0008470975,-0.004614472,0.009682208,0.010759,-0.04810096,-0.006981717,-0.02682181,0.998458,6.364585,-0.866483,-0.1257675,-0.4831637,0.2229816,0.1806668,0.1767665,0,0,0,0.3969083,326.8326,0,0,0.3608713,559.3585,0.2052622,433.0591,0,0,0.07361276,12.25731,4.778049,0
