Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1772977825032,0,1,1,135,0.1252942,-0.7874909,0.6034563,1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,0,0,0.1,0.1157568,-0.7275468,0.5575209,0.3826834,135,0.1252942,-0.787491,0.6034563
Trial Start,1772977832125,0,1,1,135,0.1252942,-0.7874909,0.6034563,1,-0.05004549,0.9999821,0.300081,1.045236,0.0004341388,0.004750251,0.00129676,0.9999878,0.5664806,0.08782063,0.9609141,0.2623177,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1000455,1.788139E-05,-8.097291E-05,0.1000455,0.119181,-0.7294477,0.5561522,0.3799959,135.3331,0.128846,-0.7886022,0.6012533
Grab,1772977832598,0.4722147,1,1,135,0.1252942,-0.7874909,0.6034563,1,-0.03294485,1.007083,0.3007664,1.051552,-0.08882254,0.006829327,0.1100331,0.9899276,16.27789,-0.6273921,0.04823849,0.7772114,0.1142476,-0.06535836,0.02365418,0.1337301,0.5339262,0.6361555,-0.0342884,0.5559255,112.451,0.6423311,0.7653163,-0.04125009,0.1635209,-0.09957816,0.1142997,0.2229783,-0.04976576,-0.1598039,0.9084799,-0.3829497,225.033,-0.0538725,-0.1729911,0.983449,0.08294485,-0.007082939,-0.0007664263,0.08325025,0.2324434,-0.6605746,0.5736296,0.4249242,129.7083,0.2567786,-0.729732,0.6336845
Release,1772977833499,1.375855,1,1,135,0.1252942,-0.7874909,0.6034563,1,0.006322136,1.010949,0.2566362,1.043034,-0.03723663,-0.4407114,0.3504746,0.8255632,68.70874,-0.06598615,-0.7809743,0.6210678,0.1497555,-0.06811412,0.01254192,0.1649956,0.632057,0.3825265,-0.009840231,0.6738552,95.26939,0.8554447,0.5177228,-0.01331806,0.1185622,-0.1182308,0.1141733,0.20266,0.5357476,-0.06476118,0.6558305,-0.5278893,243.7259,0.630801,-0.07625122,0.7721891,0.04367787,-0.01094925,0.04336381,0.0625145,0.1190952,-0.3706529,0.4042546,0.8276541,68.28302,0.2122005,-0.6604192,0.7202898
Grab,1772977834597,2.473008,1,1,135,0.1252942,-0.7874909,0.6034563,1,0.005901169,1.01244,0.2575603,1.044704,-0.03448252,-0.4455955,0.3391809,0.8277753,68.25824,-0.06145962,-0.7942032,0.6045361,0.1242878,-0.06534635,0.01354234,0.1410709,0.6011339,0.1531398,-0.3514191,0.7012069,90.95219,0.8431548,0.214795,-0.492903,0.1194141,-0.1194911,0.1145067,0.2040824,0.536463,-0.0622904,0.6650656,-0.5157669,242.0975,0.6261757,-0.07270723,0.7762846,0.04409883,-0.01244009,0.04243976,0.06245475,0.1073577,-0.373236,0.4083715,0.8260763,68.60447,0.1904996,-0.6622847,0.7246304
Release,1772977835555,3.431153,1,1,135,0.1252942,-0.7874909,0.6034563,1,0.03924546,1.010813,0.2754881,1.048416,-0.5329472,-0.7296557,0.07806065,0.4212795,130.1692,-0.5876382,-0.8045329,0.08607123,0.1326347,-0.08281337,0.033474,0.1599079,-0.1215353,0.03172351,-0.176811,0.9761971,25.05233,-0.5603666,0.1462685,-0.8152279,0.09605561,-0.1329447,0.1406777,0.2160814,0.8679971,-0.4126767,0.2389166,-0.1385576,195.9288,0.8764508,-0.4166959,0.2412435,0.01075454,-0.010813,0.0245119,0.02886892,-0.09728953,0.2788918,0.6772062,0.6739035,95.26189,-0.1316824,0.3774831,0.9166059
Grab,1772977836571,4.444553,1,1,135,0.1252942,-0.7874909,0.6034563,1,0.04185429,1.013151,0.274478,1.050507,-0.5399508,-0.7322304,0.119089,0.3976302,133.1398,-0.5884728,-0.7980314,0.1297908,0.1224443,-0.05435332,0.02621419,0.1365067,0.3648049,-0.1849891,-0.1020256,0.9068006,49.86623,0.8653688,-0.4388202,-0.2420191,0.09565505,-0.1344187,0.1410426,0.2170514,0.8744576,-0.4071456,0.2202954,-0.1450054,196.6752,0.8837985,-0.4114947,0.2226485,0.008145709,-0.01315057,0.02552199,0.02984397,-0.06893234,0.3057371,0.6537138,0.68879,92.93121,-0.09508419,0.421729,0.9017227
Release,1772977837457,5.333583,1,1,135,0.1252942,-0.7874909,0.6034563,1,0.07359077,1.035875,0.2559531,1.069563,-0.1702061,-0.7571145,0.3771247,0.5055536,119.2638,-0.1972729,-0.8775136,0.4370965,0.1244696,-0.05604502,0.03634083,0.14126,0.05267429,-0.174111,-0.3450936,0.9207721,45.92155,0.1350274,-0.446323,-0.8846267,0.06801511,-0.1682892,0.1270137,0.2215396,0.8164944,-0.1301465,0.28045,-0.4875928,238.365,0.935198,-0.1490675,0.3212223,-0.02359077,-0.03587484,0.04404694,0.06151148,-0.02407504,0.06046948,0.3490113,0.9348556,41.59033,-0.06781164,0.1703231,0.9830528
Grab,1772977838417,6.290695,1,1,135,0.1252942,-0.7874909,0.6034563,1,0.06449084,1.026323,0.2566859,1.059899,-0.1459614,-0.7586183,0.4429106,0.4549988,125.8703,-0.1639109,-0.8519091,0.4973773,0.1198329,-0.06147631,0.02051507,0.1362355,0.5411758,-0.2684299,-0.2507536,0.756437,81.69784,0.8274015,-0.4104014,-0.3833761,0.07318833,-0.156087,0.12701,0.2141289,0.7949579,-0.1009685,0.2290764,-0.5526044,247.0917,0.953823,-0.1211461,0.2748552,-0.01449084,-0.0263232,0.04331416,0.05271633,0.00781877,0.09192418,0.2781857,0.9560867,34.08541,0.02667753,0.313644,0.9491659
On Target,1772977840542,8.429624,1,1,135,0.1252942,-0.7874909,0.6034563,1,0.04498312,0.9990196,0.2959934,1.042917,0.04307871,-0.7448167,0.5642657,0.3535485,138.591,0.04605299,-0.7962409,0.6032242,0.1187001,-0.05811795,0.01879494,0.133494,0.5031959,-0.3179334,-0.2963453,0.7469215,83.35117,0.7567855,-0.4781586,-0.4456909,0.093634,-0.1261042,0.1640964,0.2271502,0.7301679,0.06711236,0.1125701,-0.6705811,264.2238,0.9842708,0.09046788,0.1517452,0.005016878,0.0009803772,0.004006654,0.006494881,0.01971895,0.0691062,0.03605134,0.9967627,9.223098,0.2452612,0.8595323,0.4484011
Trial End,1772977841542,9.428298,1,1,135,0.1252942,-0.7874909,0.6034563,1,0.04664542,0.9985858,0.2956898,1.042488,0.1329721,-0.6902456,0.6074485,0.3699807,136.5712,0.1431286,-0.742967,0.6538458,0.1180785,-0.05859135,0.01844153,0.1330998,0.5033519,-0.3132877,-0.2966391,0.7486609,83.05099,0.759257,-0.4725637,-0.447451,0.09193255,-0.1263574,0.1642112,0.2266784,0.6560479,0.1401492,0.1384854,-0.7285476,273.5295,0.9577407,0.2045988,0.2021698,0.003354579,0.001414239,0.00431022,0.005641921,0.04906235,-0.008851188,-0.04303133,0.9978291,7.552004,0.7449943,-0.1344022,-0.6534156
Trial Load,1772977841547,9.428298,1,2,135,-0.72321,-0.04965728,-0.6888406,1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1180785,-0.05859135,0.01844153,0.1330998,0.5033519,-0.3132877,-0.2966391,0.7486609,83.05099,0.759257,-0.4725637,-0.447451,0.09193255,-0.1263574,0.1642112,0.2266784,0.6560479,0.1401492,0.1384854,-0.7285476,273.5295,0.9577407,0.2045988,0.2021698,0.1,0,0,0.1,-0.6681589,-0.04587734,-0.6364058,0.3826834,135,-0.72321,-0.04965728,-0.6888406
