Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Total Thumb Tip Translation,Total Index Tip Translation,Total Middle Tip Translation,Total Thumb Tip Translation_left,Total Index Tip Translation_left,Total Middle Tip Translation_left,Total Wrist Translation,Total Wrist Rotation,Total Wrist Translation_left,Total Wrist Rotation_left,Total Die Translation,Total Die Rotation,Total Die Local Translation,Total Die Local Rotation,Total Die Local Translation_left,Total Die Local Rotation_left,Total Head Translation,Total Head Rotation,Total Grabbed Time,Total Grabbed Time_left
1,1,135,0.1252942,-0.7874909,0.6034563,1,9.428298,False,0.003354579,0.001414239,0.00431022,0.005641921,0.04906235,-0.008851188,-0.04303133,0.9978291,7.552004,0.7449943,-0.1344022,-0.6534156,0.2712191,0.1961835,0.1904392,0,0,0,0.3804879,237.8647,0,0,0.3123226,453.6748,0.2057933,400.8076,0,0,0.07209405,15.82566,5.888418,0
1,2,135,-0.72321,-0.04965728,-0.6888406,1,5.642042,False,0.0007423945,0.0009860992,0.0004777908,0.001323565,-0.03030512,-0.05553501,-0.03275586,0.9974591,8.170664,-0.4253815,-0.7795237,-0.4597816,0.1590045,0.1406706,0.1560806,0,0,0,0.3387291,172.1696,0,0,0.3050528,349.7913,0.1470782,287.8743,0,0,0.1047882,28.70509,3.873559,0
1,3,135,0.008113604,-0.8119721,-0.5836399,1,9.073333,False,-0.002223674,0.0004112124,-0.003387809,0.004073214,0.01873294,-0.005409244,-0.02598686,0.9994722,3.723661,0.5765924,-0.1664943,-0.7998651,0.2327101,0.208302,0.2234769,0,0,0,0.4330205,207.7731,0,0,0.4094443,570.9537,0.262842,485.2377,0,0,0.1292224,40.67709,4.196618,0
1,4,135,-0.1409173,-0.2020081,-0.969193,1,16.96006,False,0.0009603463,0.0001710653,-0.0009602606,0.001368806,0.002780993,-0.0210266,0.02321802,0.9995055,3.604011,0.08843753,-0.6686606,0.7383495,0.3946524,0.4492952,0.452359,0,0,0,0.7801891,485.6277,0,0,0.6737521,951.577,0.3563343,690.5287,0,0,0.163019,42.84724,8.358723,0
1,5,135,0.6866308,-0.6746294,-0.2709488,1,9.754163,False,0.001753189,0.001471698,0.001746655,0.0028793,-0.004063359,-0.02582448,-0.01366257,0.9995649,3.38053,-0.1377569,-0.8755072,-0.4631916,0.2405253,0.2802034,0.2769531,0,0,0,0.3427585,201.2975,0,0,0.3468616,563.0199,0.2228993,484.2113,0,0,0.1207247,28.64181,6.103304,0
1,6,135,0.2763918,-0.2610628,-0.9249074,1,13.34601,False,-0.003161676,-0.0006862879,-0.002453297,0.004060278,0.01749441,0.05049024,-0.006319995,-0.9985514,353.8312,0.3251336,0.9383608,-0.1174571,0.2708772,0.2889704,0.2783627,0,0,0,0.5988203,308.1022,0,0,0.4577061,666.2706,0.269259,512.7805,0,0,0.1411197,36.09647,8.710301,0
1,7,135,0.01205408,-0.6008183,0.7992947,0.9999999,14.58645,False,0.002880629,-0.00204277,0.005822361,0.006809612,0.003007798,-0.01115006,0.01192699,-0.9998622,358.0976,0.1811756,-0.6716274,0.718426,0.4629712,0.4890574,0.5276308,0,0,0,0.7886195,452.8159,0,0,0.5849216,917.9799,0.4234528,781.8644,0,0,0.09346168,16.90047,8.853408,0
1,8,135,-0.9434725,0.2547002,-0.2121025,1,11.18,False,-0.001842987,0.0004653335,0.00116989,0.00223199,-0.01627311,0.06668205,-0.04243967,-0.9967384,350.7425,-0.2016508,0.8263011,-0.5258978,0.2134856,0.2388763,0.2187898,0,0,0,0.4698851,237.2752,0,0,0.3302589,517.3008,0.2139589,439.5558,0,0,0.05142916,8.672747,6.281885,0
1,9,135,-0.6417389,-0.7484137,-0.1674756,0.9999999,9.765177,False,-0.0001055188,0.0009422302,0.007391602,0.007452162,0.04371257,-0.00800794,-0.02160373,-0.9987785,354.3356,0.8846695,-0.1620673,-0.4372233,0.2767921,0.2565967,0.2771106,0,0,0,0.4040636,224.7148,0,0,0.346543,567.6989,0.2155038,448.4246,0,0,0.07033958,24.83743,5.939905,0
1,10,135,0.2670474,-0.2275545,0.9364319,1,20.11389,False,0.003856249,0.004331827,0.001190722,0.005920575,-0.008394183,0.0254549,0.02549161,0.9993158,4.239575,-0.226939,0.6881799,0.6891725,0.3899868,0.3965351,0.4426695,0,0,0,0.4894288,297.2466,0,0,0.4291347,713.0428,0.3176086,620.1214,0,0,0.1607173,43.70431,14.84342,0
