Timestamp,Trial Duration,Wrist World Position X,Wrist World Position Y,Wrist World Position Z,Wrist World Position Magnitude,Wrist World Rotation X,Wrist World Rotation Y,Wrist World Rotation Z,Wrist World Rotation W,Wrist World Rotation Angle,Wrist World Rotation Axis X,Wrist World Rotation Axis Y,Wrist World Rotation Axis Z,Wrist World Position_left X,Wrist World Position_left Y,Wrist World Position_left Z,Wrist World Position_left Magnitude,Wrist World Rotation_left X,Wrist World Rotation_left Y,Wrist World Rotation_left Z,Wrist World Rotation_left W,Wrist World Rotation_left Angle,Wrist World Rotation_left Axis X,Wrist World Rotation_left Axis Y,Wrist World Rotation_left Axis Z,Thumb Tip World Position X,Thumb Tip World Position Y,Thumb Tip World Position Z,Thumb Tip World Position Magnitude,Index Tip World Position X,Index Tip World Position Y,Index Tip World Position Z,Index Tip World Position Magnitude,Middle Tip World Position X,Middle Tip World Position Y,Middle Tip World Position Z,Middle Tip World Position Magnitude,Thumb Tip World Position_left X,Thumb Tip World Position_left Y,Thumb Tip World Position_left Z,Thumb Tip World Position_left Magnitude,Index Tip World Position_left X,Index Tip World Position_left Y,Index Tip World Position_left Z,Index Tip World Position_left Magnitude,Middle Tip World Position_left X,Middle Tip World Position_left Y,Middle Tip World Position_left Z,Middle Tip World Position_left Magnitude,Thumb Tip Local Position X,Thumb Tip Local Position Y,Thumb Tip Local Position Z,Thumb Tip Local Position Magnitude,Index Tip Local Position X,Index Tip Local Position Y,Index Tip Local Position Z,Index Tip Local Position Magnitude,Middle Tip Local Position X,Middle Tip Local Position Y,Middle Tip Local Position Z,Middle Tip Local Position Magnitude,Thumb Tip Local Position_left X,Thumb Tip Local Position_left Y,Thumb Tip Local Position_left Z,Thumb Tip Local Position_left Magnitude,Index Tip Local Position_left X,Index Tip Local Position_left Y,Index Tip Local Position_left Z,Index Tip Local Position_left Magnitude,Middle Tip Local Position_left X,Middle Tip Local Position_left Y,Middle Tip Local Position_left Z,Middle Tip Local Position_left Magnitude,Thumb Tip Euro Position X,Thumb Tip Euro Position Y,Thumb Tip Euro Position Z,Thumb Tip Euro Position Magnitude,Index Tip Euro Position X,Index Tip Euro Position Y,Index Tip Euro Position Z,Index Tip Euro Position Magnitude,Middle Tip Euro Position X,Middle Tip Euro Position Y,Middle Tip Euro Position Z,Middle Tip Euro Position Magnitude,Thumb Tip Euro Position_left X,Thumb Tip Euro Position_left Y,Thumb Tip Euro Position_left Z,Thumb Tip Euro Position_left Magnitude,Index Tip Euro Position_left X,Index Tip Euro Position_left Y,Index Tip Euro Position_left Z,Index Tip Euro Position_left Magnitude,Middle Tip Euro Position_left X,Middle Tip Euro Position_left Y,Middle Tip Euro Position_left Z,Middle Tip Euro Position_left Magnitude,Triangle Local Position X,Triangle Local Position Y,Triangle Local Position Z,Triangle Local Position Magnitude,Triangle Local Rotation X,Triangle Local Rotation Y,Triangle Local Rotation Z,Triangle Local Rotation W,Triangle Local Rotation Angle,Triangle Local Rotation Axis X,Triangle Local Rotation Axis Y,Triangle Local Rotation Axis Z,Triangle Local Position_left X,Triangle Local Position_left Y,Triangle Local Position_left Z,Triangle Local Position_left Magnitude,Triangle Local Rotation_left X,Triangle Local Rotation_left Y,Triangle Local Rotation_left Z,Triangle Local Rotation_left W,Triangle Local Rotation_left Angle,Triangle Local Rotation_left Axis X,Triangle Local Rotation_left Axis Y,Triangle Local Rotation_left Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is Grabbed,Is Grabbed_right,Is Grabbed_left,Is On Target
1772978046967,0.0148889,0.1263846,0.9013913,0.2600536,0.9466293,-0.5538262,-0.6524696,0.4257633,0.2937443,145.8355,-0.5793864,-0.6825823,0.4454131,-0.2283596,0.6289761,0.08327456,0.6743098,0.4861483,0.3306519,-0.8087861,0.01392897,178.4038,0.4861955,0.3306841,-0.8088647,0.03242766,0.9901237,0.302966,1.035946,0.04940401,1.019625,0.3045607,1.065286,0.06473053,1.013292,0.313644,1.062696,-0.1079039,0.6007916,0.1400802,0.6262717,-0.1096978,0.5474191,0.1766786,0.5855908,-0.1242405,0.5256867,0.1695819,0.5661628,0.1026393,-0.08007625,0.0399474,0.136172,0.1275663,-0.07275026,0.01790059,0.1479398,0.1173236,-0.07366132,0.002033152,0.1385459,-0.117092,0.03383681,-0.06062459,0.1361279,-0.1612205,0.05582184,-0.01866476,0.1716289,-0.1544085,0.0714903,0.002364926,0.1701718,0.1028357,-0.07990585,0.039802,0.1361775,0.1280431,-0.07262778,0.01795161,0.1482973,0.1178457,-0.07378332,0.002026448,0.1390528,-0.117092,0.0338368,-0.0606246,0.1361279,-0.1612204,0.05582184,-0.01866477,0.1716289,-0.1544085,0.07149032,0.002364926,0.1701718,0.110975,-0.07706018,0.02588505,0.1375637,-0.1017514,0.974231,0.0562541,0.1932773,157.7118,-0.1037069,0.992954,0.0573352,-0.1304634,0.04535476,-0.04090272,0.1440513,-0.2746617,-0.2049662,0.130912,0.9302751,43.04449,-0.7486776,-0.5587003,0.3568422,-0.0498403,1.000044,0.3003201,1.045353,0.007703897,0.006109861,-0.004682369,0.9999407,1.24802,0.7073655,0.5610024,-0.4299312,0.1039373,-0.06902962,0.02814344,0.1279067,0.293702,-0.3783642,-0.467222,0.7431577,83.99779,0.4389401,-0.5654685,-0.6982673,-0.2074175,-0.3027202,-0.3482758,0.5059224,0.2383784,0.2756012,0.6786841,-0.6376578,259.2348,0.3094539,0.3577752,0.8810422,0.0998403,-4.374981E-05,-0.0003201365,0.09984082,-0.5348985,0.4460465,-0.606099,0.3841487,134.8182,-0.5793514,0.4831153,-0.656469,-0.04407,1.058655,0.05738037,1.061124,-0.03135177,-0.06048768,-0.02684893,-0.9973151,351.601,-0.42813,-0.8260008,-0.3666406,False,False,False,False
1772978046980,0.02844179,0.03336568,0.9110556,0.2343652,0.941309,-0.4454313,-0.7436224,0.4207573,0.2675445,148.9636,-0.4622836,-0.7717564,0.4366761,-0.2283596,0.6289761,0.08327456,0.6743098,0.4861483,0.3306519,-0.8087861,0.01392897,178.4038,0.4861955,0.3306841,-0.8088647,-0.06717413,0.9715449,0.2980445,1.018451,-0.0810642,1.010163,0.2855306,1.052866,-0.06271864,1.041078,0.2860516,1.081482,-0.1079039,0.6007916,0.1400802,0.6262717,-0.1096978,0.5474191,0.1766786,0.5855908,-0.1242405,0.5256867,0.1695819,0.5661628,0.1014103,-0.0839261,0.02224043,0.1335001,0.1417889,-0.06956708,0.02430395,0.1597947,0.1608022,-0.05429311,-0.002111673,0.1697337,-0.117092,0.03383681,-0.06062459,0.1361279,-0.1612205,0.05582184,-0.01866476,0.1716289,-0.1544085,0.0714903,0.002364926,0.1701718,0.1027137,-0.08024976,0.03829967,0.1358565,0.129219,-0.07236594,0.01849503,0.149253,0.1215205,-0.07211599,0.001672445,0.1413179,-0.117092,0.0338368,-0.0606246,0.1361279,-0.1612204,0.05582184,-0.01866477,0.1716289,-0.1544085,0.07149032,0.002364926,0.1701718,0.1118057,-0.07683334,0.025177,0.1379774,-0.08806387,0.9636411,0.07865304,0.2396961,152.2628,-0.0907082,0.9925768,0.08101479,-0.1304634,0.04535476,-0.04090272,0.1440513,-0.2746617,-0.2049662,0.130912,0.9302751,43.04449,-0.7486776,-0.5587003,0.3568422,-0.04960278,1.000112,0.3007227,1.045523,0.01815975,0.01258898,-0.01189359,0.9996851,2.875805,0.723695,0.501691,-0.4739784,0.1187846,-0.07121278,-0.003339381,0.1385359,0.4465549,0.7440572,-0.4249924,0.2575835,150.1465,0.4621496,0.7700414,-0.4398341,-0.1558124,-0.3415187,-0.2752389,0.4654771,-0.4894055,-0.3265927,0.8082499,0.02348065,177.3091,-0.4895405,-0.3266829,0.808473,0.09960278,-0.0001115799,-0.0007227063,0.09960546,-0.5395645,0.4537041,-0.5951335,0.3857965,134.6136,-0.5848405,0.4917754,-0.6450724,-0.04465495,1.058927,0.05722879,1.061412,-0.03040529,-0.0582896,-0.02800938,-0.9974434,351.8042,-0.4254803,-0.8156831,-0.3919529,False,False,False,False
1772978046996,0.0420329,0.0331987,0.9113133,0.2346538,0.9416244,-0.4459876,-0.7423716,0.4207876,0.2700325,148.6676,-0.4631947,-0.7710137,0.4370224,-0.2283596,0.6289761,0.08327456,0.6743098,0.4861483,0.3306519,-0.8087861,0.01392897,178.4038,0.4861955,0.3306841,-0.8088647,-0.06661728,0.9726697,0.2985273,1.019629,-0.08072674,1.011048,0.2865624,1.05397,-0.06211479,1.039938,0.287707,1.080789,-0.1079039,0.6007916,0.1400802,0.6262717,-0.1096978,0.5474191,0.1766786,0.5855908,-0.1242405,0.5256867,0.1695819,0.5661628,0.1017587,-0.08348241,0.02198923,0.1334454,0.1420261,-0.0697415,0.02419142,0.1600641,0.1592575,-0.05547081,-0.001919523,0.1686524,-0.117092,0.03383681,-0.06062459,0.1361279,-0.1612205,0.05582184,-0.01866476,0.1716289,-0.1544085,0.0714903,0.002364926,0.1701718,0.1026388,-0.08050344,0.03701974,0.1355949,0.130224,-0.07215999,0.01894204,0.1500805,0.1244818,-0.0708098,0.001390572,0.143219,-0.117092,0.0338368,-0.0606246,0.1361279,-0.1612204,0.05582184,-0.01866477,0.1716289,-0.1544085,0.07149032,0.002364926,0.1701718,0.1125974,-0.07660889,0.02440036,0.1383563,-0.07782192,0.9535143,0.09605397,0.2748234,148.097,-0.08093847,0.9916999,0.09990067,-0.1304634,0.04535476,-0.04090272,0.1440513,-0.2746617,-0.2049662,0.130912,0.9302751,43.04449,-0.7486776,-0.5587003,0.3568422,-0.04870228,0.9999533,0.3019502,1.045683,0.04222755,0.01605699,-0.03532273,0.9983544,6.574952,0.7363639,0.2800018,-0.6159577,0.1184579,-0.07117537,-0.002851183,0.1382257,0.4472187,0.7432002,-0.4317335,0.2474981,151.341,0.4615791,0.7670648,-0.4455967,-0.1562375,-0.3416999,-0.2753364,0.4658101,-0.4919914,-0.3214672,0.8082502,0.03653485,175.8125,-0.4923201,-0.3216819,0.8087902,0.09870228,4.667044E-05,-0.001950175,0.09872156,-0.5398638,0.4790055,-0.5728921,0.3884531,134.2834,-0.5858732,0.5198283,-0.6217163,-0.04521468,1.058987,0.0569791,1.061482,-0.02945304,-0.05582185,-0.02910536,-0.9975818,352.0292,-0.4237695,-0.8031631,-0.4187671,True,True,False,False
1772978047009,0.0609369,0.0337432,0.9117786,0.2362839,0.9425014,-0.4481379,-0.740882,0.419617,0.2723747,148.3888,-0.4657472,-0.7699946,0.4361055,-0.2283596,0.6289761,0.08327456,0.6743098,0.4861483,0.3306519,-0.8087861,0.01392897,178.4038,0.4861955,0.3306841,-0.8088647,-0.0653801,0.9744184,0.2999536,1.021635,-0.07962056,1.012898,0.2883697,1.056153,-0.05902563,1.0285,0.2940488,1.071336,-0.1079039,0.6007916,0.1400802,0.6262717,-0.1096978,0.5474191,0.1766786,0.5855908,-0.1242405,0.5256867,0.1695819,0.5661628,0.1022671,-0.08287326,0.02182834,0.1334279,0.1427042,-0.06957051,0.02418528,0.160591,0.1475199,-0.06167896,-0.0006009489,0.1598962,-0.117092,0.03383681,-0.06062459,0.1361279,-0.1612205,0.05582184,-0.01866476,0.1716289,-0.1544085,0.0714903,0.002364926,0.1701718,0.1026095,-0.08068989,0.03582453,0.1353624,0.1312059,-0.07195626,0.01935456,0.1508883,0.1262944,-0.07009141,0.001233886,0.1444458,-0.117092,0.0338368,-0.0606246,0.1361279,-0.1612204,0.05582184,-0.01866477,0.1716289,-0.1544085,0.07149032,0.002364926,0.1701718,0.1133241,-0.07644488,0.02359779,0.1387193,-0.07541382,0.9456664,0.1058237,0.2980423,145.3199,-0.07900436,0.9906906,0.110862,-0.1304634,0.04535476,-0.04090272,0.1440513,-0.2746617,-0.2049662,0.130912,0.9302751,43.04449,-0.7486776,-0.5587003,0.3568422,-0.04773289,0.9988906,0.3033345,1.045023,0.05862612,0.008192462,-0.06743596,0.995966,10.29629,0.6533524,0.09130001,-0.7515329,0.1176105,-0.07105338,-0.001815653,0.1374195,0.43947,0.7421464,-0.4526373,0.2262844,153.8432,0.4511727,0.7619093,-0.4646908,-0.1577359,-0.3419064,-0.2755706,0.4666045,-0.4860672,-0.3129032,0.8131196,0.0683127,172.1658,-0.4872054,-0.3136359,0.8150237,0.09773289,0.001109362,-0.003334463,0.09779605,-0.5258713,0.5080688,-0.5560706,0.395109,133.4545,-0.572449,0.5530697,-0.6053231,-0.04589618,1.05899,0.05671949,1.061501,-0.02915959,-0.05378802,-0.03026873,-0.9976675,352.1718,-0.4271766,-0.7879734,-0.443425,True,True,False,False
1772978047023,0.0748434,0.03480258,0.9120355,0.2377525,0.9431576,-0.4511366,-0.7395028,0.4177092,0.2740994,148.1833,-0.4691026,-0.7689525,0.434344,-0.2283596,0.6289761,0.08327456,0.6743098,0.4861483,0.3306519,-0.8087861,0.01392897,178.4038,0.4861955,0.3306841,-0.8088647,-0.06537763,0.9745114,0.3006667,1.021933,-0.07759646,1.013493,0.2900003,1.057019,-0.05688882,1.02707,0.2964872,1.070521,-0.1079039,0.6007916,0.1400802,0.6262717,-0.1096978,0.5474191,0.1766786,0.5855908,-0.1242405,0.5256867,0.1695819,0.5661628,0.1021346,-0.08308764,0.02371699,0.1337817,0.1421759,-0.06970374,0.02417506,0.1601781,0.145362,-0.0629279,-0.0003027618,0.1583986,-0.117092,0.03383681,-0.06062459,0.1361279,-0.1612205,0.05582184,-0.01866476,0.1716289,-0.1544085,0.0714903,0.002364926,0.1701718,0.1025591,-0.08094446,0.03453911,0.1351419,0.1323706,-0.07171712,0.01986634,0.1518551,0.1283187,-0.06933089,0.001070744,0.1458548,-0.117092,0.0338368,-0.0606246,0.1361279,-0.1612204,0.05582184,-0.01866477,0.1716289,-0.1544085,0.07149032,0.002364926,0.1701718,0.1141604,-0.07629071,0.02275907,0.1391792,-0.0747598,0.9361932,0.1157861,0.3233372,142.2703,-0.07900357,0.9893366,0.1223587,-0.1304634,0.04535476,-0.04090272,0.1440513,-0.2746617,-0.2049662,0.130912,0.9302751,43.04449,-0.7486776,-0.5587003,0.3568422,-0.04717407,0.9985423,0.3037119,1.044774,0.06398958,-0.002870844,-0.08346228,0.9944502,12.07833,0.6082187,-0.02728727,-0.793306,0.1162487,-0.07171453,-0.0004541932,0.1365904,0.4189391,0.7446994,-0.4741666,0.2123183,155.4835,0.4287136,0.7620742,-0.4852296,-0.1596657,-0.3414646,-0.2753139,0.4667858,-0.4676987,-0.3145719,0.8199862,0.09962389,168.565,-0.4700371,-0.3161447,0.824086,0.09717406,0.001457691,-0.003711849,0.09725586,-0.5132501,0.5234286,-0.5525066,0.3966529,133.2618,-0.559115,0.5702031,-0.6018795,-0.04651251,1.058889,0.05641567,1.061411,-0.02908121,-0.05141815,-0.03125493,-0.9977643,352.336,-0.435144,-0.7693729,-0.4676695,True,True,False,False
1772978047036,0.0835514,0.03512646,0.9120625,0.2382989,0.9433336,-0.4553862,-0.7381997,0.4149668,0.2747497,148.1058,-0.4736128,-0.7677457,0.4315756,-0.2283596,0.6289761,0.08327456,0.6743098,0.4861483,0.3306519,-0.8087861,0.01392897,178.4038,0.4861955,0.3306841,-0.8088647,-0.06525735,0.9748935,0.3006385,1.022281,-0.07612444,1.013704,0.2902609,1.057186,-0.05552895,1.026584,0.2970522,1.070139,-0.1079039,0.6007916,0.1400802,0.6262717,-0.1096978,0.5474191,0.1766786,0.5855908,-0.1242405,0.5256867,0.1695819,0.5661628,0.1018909,-0.08326064,0.02442901,0.1338315,0.1412663,-0.06978653,0.02411518,0.1593985,0.1441066,-0.06339397,-0.0001180023,0.1574342,-0.117092,0.03383681,-0.06062459,0.1361279,-0.1612205,0.05582184,-0.01866476,0.1716289,-0.1544085,0.0714903,0.002364926,0.1701718,0.1025054,-0.08113057,0.0337267,0.1350075,0.1330854,-0.07156198,0.02020776,0.1524506,0.1295874,-0.06885382,0.0009752217,0.146747,-0.117092,0.0338368,-0.0606246,0.1361279,-0.1612204,0.05582184,-0.01866477,0.1716289,-0.1544085,0.07149032,0.002364926,0.1701718,0.1146772,-0.0762052,0.02224344,0.1394735,-0.07522242,0.9298028,0.1218096,0.3390734,140.3591,-0.07995921,0.9883529,0.12948,-0.1304634,0.04535476,-0.04090272,0.1440513,-0.2746617,-0.2049662,0.130912,0.9302751,43.04449,-0.7486776,-0.5587003,0.3568422,-0.04646914,0.9982117,0.3039193,1.044487,0.06933292,-0.02073243,-0.1032782,0.9920166,14.48946,0.5497909,-0.1644024,-0.8189676,0.1154154,-0.07218223,0.0001375017,0.1361286,0.4076369,0.7447681,-0.4841395,0.2115701,155.5712,0.4170783,0.762018,-0.4953529,-0.1603646,-0.3411971,-0.2754407,0.4669045,-0.4526401,-0.317678,0.8256889,0.111514,167.1948,-0.455481,-0.3196719,0.8308712,0.09646913,0.001788318,-0.003919274,0.09656528,-0.4942846,0.5429823,-0.5505421,0.3971858,133.1953,-0.5385899,0.5916526,-0.5998901,-0.04707363,1.058784,0.05611154,1.061314,-0.02977334,-0.04924154,-0.03145526,-0.9978474,352.4798,-0.4540078,-0.7508746,-0.4796551,True,True,False,False
1772978047051,0.0978401,0.03571672,0.9119046,0.2390059,0.9433819,-0.4623864,-0.7364579,0.4104035,0.2745864,148.1253,-0.4808699,-0.7658972,0.426809,-0.2283596,0.6289761,0.08327456,0.6743098,0.4861483,0.3306519,-0.8087861,0.01392897,178.4038,0.4861955,0.3306841,-0.8088647,-0.06473429,0.9757578,0.3002909,1.02297,-0.07392308,1.013837,0.2903455,1.05718,-0.05364764,1.026123,0.2974299,1.069706,-0.1079039,0.6007916,0.1400802,0.6262717,-0.1096978,0.5474191,0.1766786,0.5855908,-0.1242405,0.5256867,0.1695819,0.5661628,0.1017562,-0.0833415,0.02496749,0.1338787,0.1398989,-0.0700222,0.02391773,0.158262,0.1426638,-0.06397075,8.565187E-05,0.1563497,-0.117092,0.03383681,-0.06062459,0.1361279,-0.1612205,0.05582184,-0.01866476,0.1716289,-0.1544085,0.0714903,0.002364926,0.1701718,0.1024666,-0.08124527,0.03327231,0.1349342,0.1334388,-0.07148211,0.02040022,0.1527475,0.1302657,-0.06860051,0.0009290747,0.1472279,-0.117092,0.0338368,-0.0606246,0.1361279,-0.1612204,0.05582184,-0.01866477,0.1716289,-0.1544085,0.07149032,0.002364926,0.1701718,0.114948,-0.07616671,0.02195743,0.13963,-0.07589091,0.9261662,0.1249756,0.3476174,139.3167,-0.08093853,0.987767,0.1332879,-0.1304634,0.04535476,-0.04090272,0.1440513,-0.2746617,-0.2049662,0.130912,0.9302751,43.04449,-0.7486776,-0.5587003,0.3568422,-0.04574562,0.9977528,0.3041985,1.044098,0.07705018,-0.03789089,-0.1213353,0.9888909,17.09657,0.5183575,-0.2549121,-0.8162869,0.114499,-0.07284451,0.0009177194,0.13571,0.3931641,0.7441856,-0.496133,0.2132185,155.3779,0.4024178,0.7617012,-0.5078102,-0.1609999,-0.3408045,-0.2757432,0.467015,-0.4303842,-0.322434,0.8338947,0.1241986,165.731,-0.4337425,-0.32495,0.8404016,0.09574562,0.002247155,-0.004198462,0.09586398,-0.4770687,0.5624878,-0.5474052,0.3954244,133.4151,-0.5194007,0.6123993,-0.5959784,-0.04753773,1.05873,0.05589858,1.06127,-0.03051974,-0.04707122,-0.03179652,-0.9979188,352.6056,-0.4732977,-0.7299768,-0.493098,True,True,False,False
1772978047065,0.1125749,0.03662939,0.9117953,0.2397143,0.943491,-0.4676179,-0.7353035,0.4069622,0.273942,148.2021,-0.4862176,-0.7645504,0.4231493,-0.2283596,0.6289761,0.08327456,0.6743098,0.4861483,0.3306519,-0.8087861,0.01392897,178.4038,0.4861955,0.3306841,-0.8088647,-0.06433655,0.9762114,0.2998156,1.023239,-0.07175277,1.013853,0.2906026,1.057117,-0.05189643,1.025464,0.297891,1.069116,-0.1079039,0.6007916,0.1400802,0.6262717,-0.1096978,0.5474191,0.1766786,0.5855908,-0.1242405,0.5256867,0.1695819,0.5661628,0.1016545,-0.08337999,0.02588193,0.133999,0.1387878,-0.07024072,0.02358676,0.1573282,0.1413315,-0.06455526,0.0002754033,0.1553771,-0.117092,0.03383681,-0.06062459,0.1361279,-0.1612205,0.05582184,-0.01866476,0.1716289,-0.1544085,0.0714903,0.002364926,0.1701718,0.1023997,-0.08142113,0.03266348,0.1348406,0.1338795,-0.07137984,0.02066273,0.1531201,0.1311773,-0.06826725,0.0008752237,0.1478806,-0.117092,0.0338368,-0.0606246,0.1361279,-0.1612204,0.05582184,-0.01866477,0.1716289,-0.1544085,0.07149032,0.002364926,0.1701718,0.1152958,-0.07613023,0.02158056,0.139838,-0.07726883,0.9210865,0.1290743,0.3591225,137.9074,-0.08279184,0.9869238,0.1383003,-0.1304634,0.04535476,-0.04090272,0.1440513,-0.2746617,-0.2049662,0.130912,0.9302751,43.04449,-0.7486776,-0.5587003,0.3568422,-0.04381648,0.9954668,0.3053731,1.042174,0.09179656,-0.06212883,-0.1508113,0.9823286,21.5747,0.4904593,-0.3319478,-0.8057689,0.1136985,-0.07350112,0.001670056,0.1353978,0.378892,0.7421371,-0.5100538,0.2133511,155.3624,0.3878213,0.759627,-0.5220742,-0.1617404,-0.3403428,-0.2759677,0.4670668,-0.4089091,-0.3241763,0.8420085,0.1368376,164.2702,-0.4127921,-0.3272547,0.8500043,0.09381649,0.004533231,-0.00537312,0.09407951,-0.4513315,0.5935616,-0.5384395,0.3925146,133.7779,-0.4907132,0.6453539,-0.585422,-0.04790478,1.058624,0.05564946,1.061167,-0.03075968,-0.04528371,-0.03208312,-0.9979849,352.7242,-0.4847769,-0.7136778,-0.5056346,True,True,False,False
1772978047078,0.1265117,0.03911439,0.9110687,0.2412577,0.9432822,-0.4709711,-0.7345685,0.4047171,0.2734949,148.2553,-0.4896393,-0.7636852,0.4207591,-0.2283596,0.6289761,0.08327456,0.6743098,0.4861483,0.3306519,-0.8087861,0.01392897,178.4038,0.4861955,0.3306841,-0.8088647,-0.06274106,0.9761233,0.2998568,1.023068,-0.06733619,1.012108,0.2922283,1.055601,-0.04839079,1.02201,0.2995762,1.066111,-0.1079039,0.6007916,0.1400802,0.6262717,-0.1096978,0.5474191,0.1766786,0.5855908,-0.1242405,0.5256867,0.1695819,0.5661628,0.1020524,-0.08298257,0.02719751,0.1343149,0.1366292,-0.07041126,0.02265815,0.1553662,0.1381178,-0.06549297,0.000645116,0.1528603,-0.117092,0.03383681,-0.06062459,0.1361279,-0.1612205,0.05582184,-0.01866476,0.1716289,-0.1544085,0.0714903,0.002364926,0.1701718,0.1023702,-0.08155344,0.03220031,0.1347868,0.1341125,-0.07129776,0.02083182,0.1533085,0.1317654,-0.06803217,0.0008557251,0.1482944,-0.117092,0.0338368,-0.0606246,0.1361279,-0.1612204,0.05582184,-0.01866477,0.1716289,-0.1544085,0.07149032,0.002364926,0.1701718,0.1155265,-0.07610579,0.02129626,0.1399714,-0.07901511,0.9174166,0.1319746,0.3669961,136.9391,-0.08494216,0.9862335,0.1418742,-0.1304634,0.04535476,-0.04090272,0.1440513,-0.2746617,-0.2049662,0.130912,0.9302751,43.04449,-0.7486776,-0.5587003,0.3568422,-0.04317336,0.9949532,0.3054383,1.041676,0.09830745,-0.07947254,-0.1660782,0.9779764,24.09415,0.4710123,-0.3807702,-0.7957169,0.1121342,-0.07435337,0.002977021,0.1345785,0.3518285,0.7384719,-0.5355031,0.2100303,155.7517,0.3598551,0.7553194,-0.54772,-0.1643749,-0.3385062,-0.2758508,0.4665825,-0.3761638,-0.3247471,0.8529496,0.1597406,161.6163,-0.3810569,-0.3289714,0.8640448,0.09317335,0.005046785,-0.005438298,0.09346828,-0.4341207,0.6103759,-0.5362471,0.389127,134.1996,-0.4712637,0.6625993,-0.582128,-0.04814068,1.058679,0.05556476,1.061229,-0.03091861,-0.04355599,-0.03278138,-0.9980342,352.8137,-0.4933482,-0.6949948,-0.5230713,True,True,False,False
1772978047093,0.1394322,0.03986895,0.9107252,0.2419545,0.9431607,-0.4768311,-0.7332755,0.4007414,0.2726636,148.3543,-0.49561,-0.762154,0.4165237,-0.2283596,0.6289761,0.08327456,0.6743098,0.4861483,0.3306519,-0.8087861,0.01392897,178.4038,0.4861955,0.3306841,-0.8088647,-0.06211083,0.9768163,0.2992757,1.02352,-0.06507934,1.011636,0.2924298,1.055063,-0.04678475,1.021699,0.2997952,1.065803,-0.1079039,0.6007916,0.1400802,0.6262717,-0.1096978,0.5474191,0.1766786,0.5855908,-0.1242405,0.5256867,0.1695819,0.5661628,0.1021177,-0.08281176,0.02770914,0.1343638,0.1351325,-0.07063311,0.02225008,0.1540938,0.137244,-0.06582677,0.0007408038,0.1522158,-0.117092,0.03383681,-0.06062459,0.1361279,-0.1612205,0.05582184,-0.01866476,0.1716289,-0.1544085,0.0714903,0.002364926,0.1701718,0.1023499,-0.08165475,0.0318387,0.1347468,0.1341946,-0.07124425,0.02094601,0.153371,0.1322066,-0.0678546,0.000846472,0.1486053,-0.117092,0.0338368,-0.0606246,0.1361279,-0.1612204,0.05582184,-0.01866477,0.1716289,-0.1544085,0.07149032,0.002364926,0.1701718,0.115686,-0.07608685,0.02106234,0.1400574,-0.08074366,0.9145326,0.1340154,0.3730287,136.1949,-0.08702515,0.985679,0.1444412,-0.1304634,0.04535476,-0.04090272,0.1440513,-0.2746617,-0.2049662,0.130912,0.9302751,43.04449,-0.7486776,-0.5587003,0.3568422,-0.04155384,0.9929268,0.3053315,1.039643,0.110619,-0.1035768,-0.1959697,0.9688298,28.68613,0.4465355,-0.4181081,-0.7910704,0.1113634,-0.07486758,0.003689127,0.1342407,0.3395054,0.7352523,-0.5471806,0.2115034,155.5791,0.3473637,0.7522708,-0.5598459,-0.1649192,-0.3379179,-0.2760488,0.4664652,-0.3548819,-0.3257057,0.8598014,0.1694582,160.4874,-0.3600898,-0.3304855,0.872419,0.09155384,0.007073164,-0.005331457,0.09198131,-0.4059801,0.6389824,-0.5265374,0.3868337,134.4848,-0.440254,0.692927,-0.5709891,-0.04833611,1.058628,0.05549359,1.061183,-0.03108378,-0.04202745,-0.03369632,-0.9980642,352.8687,-0.4997983,-0.6757625,-0.5418055,True,True,False,False
