Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1772978668114,0,1,1,135,0.9518065,0.2499145,-0.1777834,0.9999999,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.8793547,0.230891,-0.1642504,0.3826834,135,0.9518066,0.2499146,-0.1777834
Trial Start,1772978674123,0,1,1,135,0.9518065,0.2499145,-0.1777834,0.9999999,-1,-0.04869485,1.002668,0.2991478,1.047475,0.005833236,-0.00552935,-0.01637623,0.9998336,2.090228,0.3197971,-0.3031371,-0.8977987,0.09869485,-0.002667665,0.0008521676,0.09873457,0.8816654,0.2195261,-0.1517471,0.3891624,134.1952,0.9571156,0.2383125,-0.1647331
On Target,1772978682235,7.677378,1,1,135,0.9518065,0.2499145,-0.1777834,0.9999999,-1,0.05098608,1.004531,0.2966864,1.048668,0.8432757,0.2304616,-0.2156171,0.4350665,128.4209,0.9365584,0.2559552,-0.2394686,-0.0009860806,-0.004531145,0.003313661,0.005699472,0.07180075,-0.03883644,0.003100488,0.9966578,9.371341,0.8789483,-0.4754159,0.03795459
Trial End,1772978683236,8.677013,1,2,135,0.9518065,0.2499145,-0.1777834,0.9999999,-1,0.04892576,0.9991466,0.3005815,1.044527,0.8721766,0.2090396,-0.1509624,0.4157172,130.871,0.9589692,0.2298417,-0.1659851,0.001074236,0.0008533597,-0.0005815029,0.001490084,0.03231631,0.02649522,0.007046856,0.9991017,4.857805,0.7625489,0.625192,0.1662805
Trial Load,1772978683237,8.677013,1,2,135,0.699397,-0.5046449,-0.5061395,0.9999999,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.6461586,-0.4662312,-0.467612,0.3826833,135,0.6993971,-0.504645,-0.5061396
Trial Start,1772978684623,0,1,2,135,0.699397,-0.5046449,-0.5061395,0.9999999,-1,-0.05074135,1.000148,0.2994353,1.045243,0.0024454,0.004428498,0.0005908151,-0.9999871,359.4172,0.4808006,0.8707061,0.1161627,0.1007414,-0.0001484156,0.000564754,0.100743,-0.6488814,0.4660557,0.4633782,-0.3834392,225.0938,-0.7025825,0.5046263,0.5017272
On Target,1772978689233,4.624104,1,2,135,0.699397,-0.5046449,-0.5061395,0.9999999,-1,0.04793596,1.005125,0.2922281,1.047841,0.6476678,-0.5227818,-0.4016792,0.3819419,135.092,0.7007979,-0.5656671,-0.4346301,0.002064046,-0.005124688,0.007771909,0.009535475,0.05612706,0.06529537,0.01095237,0.9962261,9.958743,0.6466469,0.7522762,0.1261837
Trial End,1772978690219,5.610836,1,3,135,0.699397,-0.5046449,-0.5061395,0.9999999,-1,0.06329586,0.9912832,0.3060858,1.039393,0.7035042,-0.4603944,-0.4159597,0.3465493,139.4472,0.7499791,-0.490809,-0.4434388,-0.01329586,0.008716762,-0.006085813,0.01702348,-0.02394091,0.07480425,-0.03337758,0.996352,9.79106,-0.280538,0.8765512,-0.3911162
Trial Load,1772978690220,5.610836,1,3,135,-0.3154467,0.1391803,0.9386811,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.2914348,0.1285858,0.8672283,0.3826834,135,-0.3154467,0.1391803,0.9386812
Trial Start,1772978691760,0,1,3,135,-0.3154467,0.1391803,0.9386811,1,-1,-0.04941216,1.000957,0.2999199,1.046092,-0.003954188,0.002148748,-0.002594174,0.9999865,0.5947883,-0.7618124,0.413977,-0.4997926,0.09941217,-0.0009570122,8.010864E-05,0.09941681,-0.2877206,0.131947,0.8683271,0.3818572,135.1024,-0.3113114,0.1427656,0.9395229
On Target,1772978706191,14.4437,1,3,135,-0.3154467,0.1391803,0.9386811,1,-1,0.05156676,1.003357,0.3016473,1.048988,-0.3182651,0.1962737,0.8611566,0.3443738,139.7129,-0.3390009,0.2090614,0.9172631,-0.001566764,-0.003357291,-0.001647264,0.004054582,0.08091385,-0.005791541,-0.01462308,0.9965971,9.456242,0.9816336,-0.07026203,-0.1774048
Trial End,1772978707190,15.44296,1,4,135,-0.3154467,0.1391803,0.9386811,1,-1,0.05390147,1.000801,0.3031223,1.047087,-0.3201203,0.1534712,0.849016,0.391333,133.9251,-0.3478626,0.1667714,0.9225936,-0.00390147,-0.0008013248,-0.00312224,0.005060828,0.03237987,0.02177356,0.01803462,0.9990758,4.927096,0.7533005,0.5065504,0.4195658
Trial Load,1772978707191,15.44296,1,4,135,0.02835838,0.9985463,-0.04583752,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.02619973,0.9225366,-0.04234835,0.3826833,135,0.02835838,0.9985463,-0.04583752
Trial Start,1772978708438,0,1,4,135,0.02835838,0.9985463,-0.04583752,1,-1,-0.0506058,1.000934,0.2997577,1.046081,0.003857872,0.0005909899,0.002237554,-0.9999899,359.4841,0.8569754,0.1312806,0.4970431,0.1006058,-0.0009343624,0.0002423525,0.1006104,-0.02976506,-0.9225314,0.04503519,-0.3821279,224.9311,-0.03220945,-0.9982923,0.04873361
On Target,1772978716843,8.415788,1,4,135,0.02835838,0.9985463,-0.04583752,1,-1,0.06972095,0.9993031,0.302851,1.046512,-0.03441784,0.9236712,-0.01059893,0.3814901,135.148,-0.03723371,0.9992408,-0.01146608,-0.01972095,0.0006968975,-0.00285095,0.01993814,-0.006171979,-0.003270227,-0.06805108,0.9976574,7.845125,-0.09022282,-0.04780462,-0.9947799
Trial End,1772978717828,9.401738,1,5,135,0.02835838,0.9985463,-0.04583752,1,-1,0.05143343,1.003028,0.3009369,1.048463,0.01957097,0.9254048,-0.02617306,0.3775685,135.6337,0.02113538,0.9993771,-0.02826521,-0.001433428,-0.003028274,-0.0009369254,0.003478935,-0.01264105,-0.005673084,-0.01216383,0.9998301,2.112576,-0.6856924,-0.3077269,-0.6598065
Trial Load,1772978717829,9.401738,1,5,135,-0.9677122,-0.1450327,-0.2061518,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.8940496,-0.1339927,-0.1904595,0.3826834,135,-0.9677123,-0.1450327,-0.2061519
Trial Start,1772978719175,0,1,5,135,-0.9677122,-0.1450327,-0.2061518,1,-1,-0.03800847,0.9908044,0.2882979,1.032596,0,0,0,1,0,1,0,0,0.08800847,0.009195626,0.01170212,0.089258,-0.8940496,-0.1339927,-0.1904595,0.3826834,135,-0.9677123,-0.1450327,-0.2061519
On Target,1772978731411,12.24962,1,5,135,-0.9677122,-0.1450327,-0.2061518,1,-1,0.05235028,1.001336,0.2904969,1.043936,-0.8937615,-0.07133856,-0.1422534,0.419363,130.4113,-0.9845155,-0.0785824,-0.1566981,-0.002350274,-0.001335502,0.009503096,0.009880091,-0.03837746,-0.07193523,0.03054369,0.9962027,9.989621,-0.4407884,-0.8262197,0.3508128
Trial End,1772978732411,13.24977,1,6,135,-0.9677122,-0.1450327,-0.2061518,1,-1,0.05134429,1.001091,0.2948051,1.044858,-0.8635943,-0.1313217,-0.1853396,0.4501209,126.4971,-0.9671059,-0.1470622,-0.2075547,-0.00134429,-0.001090646,0.005194902,0.005475732,-0.07176987,-0.00883517,-0.01649618,0.9972458,8.506979,-0.9676486,-0.1191216,-0.2224123
Trial Load,1772978732411,13.24977,1,6,135,-0.2613195,-0.7978664,0.5432506,0.9999999,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.2414278,-0.7371325,0.5018981,0.3826834,135,-0.2613196,-0.7978665,0.5432506
Trial Start,1772978733827,0,1,6,135,-0.2613195,-0.7978664,0.5432506,0.9999999,-1,-0.04968197,1.000109,0.3000574,1.045333,0.0002652677,-0.0003492394,-0.001634655,0.9999986,0.1938266,0.1568281,-0.2064727,-0.9664191,0.09968197,-0.0001093149,-5.742908E-05,0.09968205,-0.2429092,-0.7367364,0.5022431,0.3820558,135.0778,-0.2628492,-0.7972136,0.5434712
On Target,1772978744062,10.2489,1,6,135,-0.2613195,-0.7978664,0.5432506,0.9999999,-1,0.05181754,0.9963371,0.2970213,1.040958,0.2158218,0.7604455,-0.4371435,-0.4290095,230.8094,0.2389259,0.8418527,-0.4839405,-0.001817543,0.003662944,0.002978683,0.005058969,0.08041691,0.02244503,-0.02352806,-0.9962308,350.0476,0.9270841,0.258757,-0.2712426
Off Target,1772978744173,10.35963,1,6,135,-0.2613195,-0.7978664,0.5432506,0.9999999,-1,0.05254368,0.9963077,0.3009103,1.042083,0.2047278,0.7433861,-0.4545231,-0.4459511,232.9684,0.2287315,0.8305458,-0.5078146,-0.002543677,0.003692269,-0.0009103119,0.00457513,0.06737936,0.05122554,-0.02132099,-0.9961835,349.9852,0.7719467,0.5868769,-0.2442687
On Target,1772978744687,10.87395,1,6,135,-0.2613195,-0.7978664,0.5432506,0.9999999,-1,0.05099502,0.9956752,0.3036011,1.042182,0.1972303,0.7329034,-0.4702973,-0.4503036,233.5263,0.2208934,0.8208349,-0.5267222,-0.0009950213,0.004324794,-0.003601074,0.005715037,0.05441038,0.06601681,-0.01447318,-0.9962289,350.045,0.6271071,0.7608771,-0.1668107
Trial End,1772978745673,11.85955,1,7,135,-0.2613195,-0.7978664,0.5432506,0.9999999,-1,0.05155312,0.99922,0.2986284,1.044163,0.2040683,0.7352876,-0.4673323,-0.4464402,233.031,0.2280568,0.8217216,-0.5222679,-0.001553122,0.0007799864,0.001371562,0.00221399,0.05424312,0.05810875,-0.01813364,-0.9966707,350.6465,0.6652805,0.7126917,-0.2224053
Trial Load,1772978745673,11.85955,1,7,135,0.4717049,-0.8778408,0.08300626,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.4357986,-0.8110192,0.07668779,0.3826834,135,0.471705,-0.8778409,0.08300627
Trial Start,1772978746950,0,1,7,135,0.4717049,-0.8778408,0.08300626,1,-1,-0.03247432,0.9899487,0.2975848,1.034219,0,0,0,1,0,1,0,0,0.08247432,0.01005131,0.00241524,0.08311965,0.4357986,-0.8110192,0.07668779,0.3826834,135,0.471705,-0.8778409,0.08300627
