Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1772978733827,0.013638,0.0325709,0.9262273,0.2390302,0.9571276,-0.3386403,-0.3730533,-0.4829673,0.716168,88.52199,-0.4852081,-0.5345156,-0.6920018,-0.06389296,0.9942155,0.2811907,1.035188,-0.0625468,1.017455,0.2916016,1.060264,-0.0596936,1.019181,0.3152877,1.068503,-0.01984501,-0.08276124,0.1074083,0.1370393,-0.02082145,-0.07506179,0.1341917,0.1551619,0.001458404,-0.07477127,0.1478914,0.1657249,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.055,0.055,0,0,0,1,0,1,0,0,0.05785413,-0.01854949,0.05378185,0.08113983,0.01312879,-0.03051921,0.1055305,0.1106366,-0.0007248823,-0.03937218,0.1113943,0.1181499,0.06326421,-0.02028409,0.1189543,0.1362495,0.0143565,-0.03337314,0.1755421,0.1792621,-0.0007926678,-0.04305397,0.1819543,0.1869803,0,0,0,0,0,0,0,0,0,1,0,0,-0.04968197,1.000109,0.3000574,1.045333,0.0002652677,-0.0003492394,-0.001634655,0.9999986,0.1938266,0.1568281,-0.2064727,-0.9664191,0.09968197,-0.0001093149,-5.742908E-05,0.09968205,-0.2429092,-0.7367364,0.5022431,0.3820558,135.0778,-0.2628492,-0.7972136,0.5434712,-0.103359,1.043091,0.03310464,1.048722,0.007297399,-0.02401194,-0.1010362,-0.9945663,348.0487,0.07009614,-0.2306499,-0.9705164,False
1772978733839,0.0276926,0.03268166,0.9260885,0.2391131,0.9570178,-0.3389812,-0.3726441,-0.4843616,0.7152777,88.66808,-0.4850624,-0.533232,-0.6930932,-0.0626187,0.9940411,0.283242,1.035502,-0.06241256,1.014083,0.290977,1.056848,-0.06052585,1.016068,0.3136915,1.06511,-0.01751644,-0.08215383,0.1079548,0.1367857,-0.01982191,-0.07639284,0.1306134,0.1526062,0.001142199,-0.07686736,0.144259,0.1634642,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.055,0.055,0,0,0,1,0,1,0,0,0.05785413,-0.01854949,0.05378185,0.08113983,0.01312879,-0.03051921,0.1055305,0.1106366,-0.0007248823,-0.03937218,0.1113943,0.1181499,0.06326421,-0.02028409,0.1189543,0.1362495,0.0143565,-0.03337314,0.1755421,0.1792621,-0.0007926678,-0.04305397,0.1819543,0.1869803,0,0,0,0,0,0,0,0,0,1,0,0,-0.04936272,1.000228,0.3001089,1.045446,0.0004373472,-0.0006960732,-0.003328879,0.9999942,0.3916706,0.1279553,-0.2036511,-0.9739349,0.09936272,-0.0002279282,-0.0001088977,0.09936304,-0.2443969,-0.7362777,0.5026786,0.3814179,135.1569,-0.2643836,-0.79649,0.5437874,-0.1030073,1.043097,0.0332016,1.048697,0.007281641,-0.02413596,-0.1007642,-0.9945909,348.0759,0.07010341,-0.232367,-0.9700989,False
1772978733854,0.0417655,0.03278418,0.925939,0.2392028,0.956899,-0.3394311,-0.3722088,-0.4859075,0.7142416,88.83784,-0.4849714,-0.5318035,-0.6942536,-0.06131664,0.9938757,0.2852104,1.035806,-0.06212996,1.010766,0.2901,1.053407,-0.06112896,1.013111,0.3120767,1.061849,-0.01524702,-0.08152998,0.1084386,0.136523,-0.01901646,-0.07753836,0.1268877,0.1499144,0.0008307193,-0.078699,0.1406734,0.1611931,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.055,0.055,0,0,0,1,0,1,0,0,0.05785413,-0.01854949,0.05378185,0.08113983,0.01312879,-0.03051921,0.1055305,0.1106366,-0.0007248823,-0.03937218,0.1113943,0.1181499,0.06326421,-0.02028409,0.1189543,0.1362495,0.0143565,-0.03337314,0.1755421,0.1792621,-0.0007926678,-0.04305397,0.1819543,0.1869803,0,0,0,0,0,0,0,0,0,1,0,0,-0.04902094,1.00038,0.3001531,1.045588,0.0005511675,-0.001077307,-0.005251657,0.9999855,0.6167531,0.102406,-0.2001618,-0.975749,0.09902094,-0.0003795624,-0.0001530647,0.09902179,-0.2460471,-0.7357183,0.5032342,0.3807032,135.2455,-0.2660839,-0.7956315,0.5442151,-0.1027775,1.043115,0.03334782,1.048696,0.007118833,-0.02393591,-0.1006492,-0.9946085,348.0953,0.06864776,-0.2308169,-0.9705722,False
1772978733869,0.055664,0.03319293,0.9257899,0.2393277,0.9568001,-0.3391285,-0.3716894,-0.4864834,0.7142638,88.83421,-0.4845548,-0.5310786,-0.6950989,-0.06029953,0.9935987,0.2862688,1.035772,-0.06138157,1.010176,0.2910292,1.053054,-0.06158973,1.009559,0.3107028,1.058083,-0.01424121,-0.08112984,0.1086287,0.136327,-0.01808381,-0.07751209,0.1267743,0.1496892,0.0006796683,-0.08057005,0.1368695,0.1588246,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.055,0.055,0,0,0,1,0,1,0,0,0.05785413,-0.01854949,0.05378185,0.08113983,0.01312879,-0.03051921,0.1055305,0.1106366,-0.0007248823,-0.03937218,0.1113943,0.1181499,0.06326421,-0.02028409,0.1189543,0.1362495,0.0143565,-0.03337314,0.1755421,0.1792621,-0.0007926678,-0.04305397,0.1819543,0.1869803,0,0,0,0,0,0,0,0,0,1,0,0,-0.0485386,1.000222,0.3003868,1.045482,0.001240809,-0.001037107,-0.005716577,0.9999824,0.6806975,0.2088835,-0.1745913,-0.9623547,0.09853859,-0.0002222061,-0.0003867745,0.09853961,-0.2466328,-0.7359653,0.5029119,0.3802724,135.2989,-0.2666662,-0.7957461,0.5437623,-0.1020043,1.043011,0.03326618,1.048515,0.006993583,-0.02418751,-0.100521,-0.9946163,348.104,0.06748862,-0.2334113,-0.9700353,False
1772978733882,0.0689404,0.03371437,0.9255878,0.2394965,0.9566651,-0.3388812,-0.3711936,-0.4870672,0.7142411,88.83791,-0.4841854,-0.5303527,-0.6959101,-0.05910315,0.993321,0.2873715,1.035742,-0.06065142,1.009105,0.2916377,1.052152,-0.06167304,1.006168,0.3093946,1.054468,-0.01322842,-0.08065309,0.1088504,0.1361188,-0.01730466,-0.07772201,0.1260939,0.1491303,0.0005485864,-0.08210903,0.1332081,0.1564819,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.055,0.055,0,0,0,1,0,1,0,0,0.05785413,-0.01854949,0.05378185,0.08113983,0.01312879,-0.03051921,0.1055305,0.1106366,-0.0007248823,-0.03937218,0.1113943,0.1181499,0.06326421,-0.02028409,0.1189543,0.1362495,0.0143565,-0.03337314,0.1755421,0.1792621,-0.0007926678,-0.04305397,0.1819543,0.1869803,0,0,0,0,0,0,0,0,0,1,0,0,-0.04793873,1.000026,0.3006534,1.045343,0.00186731,-0.001006833,-0.006221642,0.9999784,0.7527708,0.2842544,-0.1532668,-0.9470997,0.09793873,-2.586842E-05,-0.0006534159,0.09794091,-0.2472287,-0.7361665,0.5026487,0.3798439,135.352,-0.2672596,-0.7958121,0.5433742,-0.1015132,1.043018,0.03329273,1.048476,0.006706547,-0.0242641,-0.1000789,-0.994661,348.1535,0.06498836,-0.2351261,-0.9697933,False
1772978733895,0.08284611,0.03517504,0.9255199,0.2394185,0.9566324,-0.3349135,-0.3711175,-0.4921209,0.7126864,89.09219,-0.4774365,-0.5290472,-0.7015437,-0.05713372,0.9934859,0.2876438,1.035866,-0.05902542,1.008903,0.2917859,1.051907,-0.06074897,1.004002,0.3081266,1.051975,-0.01262274,-0.08015987,0.1091274,0.1359916,-0.01686549,-0.07772188,0.1260116,0.1490103,0.0004515031,-0.08307694,0.1308091,0.1549613,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.055,0.055,0,0,0,1,0,1,0,0,0.05785413,-0.01854949,0.05378185,0.08113983,0.01312879,-0.03051921,0.1055305,0.1106366,-0.0007248823,-0.03937218,0.1113943,0.1181499,0.06326421,-0.02028409,0.1189543,0.1362495,0.0143565,-0.03337314,0.1755421,0.1792621,-0.0007926678,-0.04305397,0.1819543,0.1869803,0,0,0,0,0,0,0,0,0,1,0,0,-0.04655307,0.9999191,0.3005226,1.045141,0.006110123,-0.005153669,-0.009137486,0.9999263,1.390976,0.5033681,-0.4245729,-0.7527702,0.09655307,8.094311E-05,-0.0005226135,0.09655452,-0.2530704,-0.7359666,0.4996097,0.3803929,135.284,-0.2736414,-0.7957902,0.5402208,-0.1009807,1.043013,0.0332601,1.048418,0.006333279,-0.02455496,-0.09966017,-0.9946983,348.195,0.06158641,-0.2387787,-0.9691207,False
1772978733910,0.0972802,0.0367295,0.9254442,0.239334,0.9565964,-0.3299777,-0.371049,-0.4985487,0.7105538,89.44003,-0.4689561,-0.5273257,-0.7085252,-0.05497634,0.9937084,0.2879173,1.036038,-0.05730911,1.008497,0.2918078,1.051429,-0.05973956,1.001462,0.3064287,1.048996,-0.01193296,-0.07957838,0.1094348,0.1358348,-0.01636783,-0.07782036,0.1256635,0.1487119,0.0002852208,-0.08413,0.1278403,0.1530394,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.055,0.055,0,0,0,1,0,1,0,0,0.05785413,-0.01854949,0.05378185,0.08113983,0.01312879,-0.03051921,0.1055305,0.1106366,-0.0007248823,-0.03937218,0.1113943,0.1181499,0.06326421,-0.02028409,0.1189543,0.1362495,0.0143565,-0.03337314,0.1755421,0.1792621,-0.0007926678,-0.04305397,0.1819543,0.1869803,0,0,0,0,0,0,0,0,0,1,0,0,-0.0450802,0.9998306,0.3003443,1.04494,0.01136116,-0.01045341,-0.01295316,0.9997969,2.30941,0.5637849,-0.5187386,-0.642786,0.0950802,0.0001693964,-0.000344336,0.09508097,-0.2605212,-0.7355574,0.4958547,0.3810672,135.2004,-0.2817824,-0.7955865,0.5363216,-0.1004628,1.043064,0.03324278,1.048418,0.005925719,-0.02492753,-0.09915673,-0.9947419,348.2437,0.05786076,-0.243401,-0.9682004,False
1772978733923,0.1109708,0.03815826,0.9253713,0.2392548,0.956562,-0.3251576,-0.371002,-0.5049455,0.7082797,89.80977,-0.4606076,-0.5255493,-0.7152892,-0.05288743,0.9939306,0.2882372,1.036232,-0.05579375,1.00766,0.2915888,1.050484,-0.05874682,0.9988236,0.3044787,1.045852,-0.01118179,-0.07894978,0.1097431,0.1356527,-0.01585151,-0.07812185,0.1247915,0.1480784,7.168811E-05,-0.08511423,0.1245913,0.1508888,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.055,0.055,0,0,0,1,0,1,0,0,0.05785413,-0.01854949,0.05378185,0.08113983,0.01312879,-0.03051921,0.1055305,0.1106366,-0.0007248823,-0.03937218,0.1113943,0.1181499,0.06326421,-0.02028409,0.1189543,0.1362495,0.0143565,-0.03337314,0.1755421,0.1792621,-0.0007926678,-0.04305397,0.1819543,0.1869803,0,0,0,0,0,0,0,0,0,1,0,0,-0.04371928,0.9997788,0.3001483,1.044777,0.0164593,-0.01575473,-0.01685041,0.9995984,3.247547,0.5808599,-0.555995,-0.5946624,0.09371928,0.0002211928,-0.0001482964,0.09371966,-0.2679578,-0.7350002,0.4922086,0.3817122,135.1205,-0.2899094,-0.7952127,0.5325313,-0.09990099,1.043059,0.03318676,1.048357,0.005650743,-0.02541617,-0.09835536,-0.9948107,348.3209,0.05553933,-0.2498073,-0.9667031,False
1772978733936,0.1245727,0.04038944,0.9253046,0.2390776,0.9565448,-0.3188837,-0.3707905,-0.5110069,0.7068943,90.03442,-0.4508342,-0.5242195,-0.7224559,-0.05074671,0.9937407,0.2880184,1.035881,-0.05367868,1.007399,0.2914974,1.050097,-0.05680354,0.9983701,0.3042642,1.045249,-0.0110802,-0.07888011,0.1097792,0.135633,-0.01575425,-0.0781303,0.1247925,0.1480734,0.0002190932,-0.08511935,0.1245606,0.1508665,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.055,0.055,0,0,0,1,0,1,0,0,0.05785413,-0.01854949,0.05378185,0.08113983,0.01312879,-0.03051921,0.1055305,0.1106366,-0.0007248823,-0.03937218,0.1113943,0.1181499,0.06326421,-0.02028409,0.1189543,0.1362495,0.0143565,-0.03337314,0.1755421,0.1792621,-0.0007926678,-0.04305397,0.1819543,0.1869803,0,0,0,0,0,0,0,0,0,1,0,0,-0.04175259,0.999387,0.3000112,1.044282,0.02285464,-0.02119304,-0.0195919,0.9993221,4.219585,0.6208094,-0.5756747,-0.5321822,0.09175259,0.0006129742,-1.120567E-05,0.09175464,-0.2750888,-0.7352633,0.4870919,0.3826952,134.9985,-0.2977556,-0.7958475,0.5272272,-0.09940866,1.043131,0.03312258,1.048381,0.005401298,-0.025749,-0.09746435,-0.9948912,348.412,0.05350327,-0.2550601,-0.9654461,False
1772978733951,0.1386252,0.04239643,0.9252414,0.238917,0.9565303,-0.3132613,-0.370611,-0.5165396,0.7054798,90.26336,-0.4420037,-0.5229228,-0.7288241,-0.04877924,0.9935768,0.2878461,1.035582,-0.05174344,1.007118,0.2914468,1.049717,-0.05505098,0.997938,0.3040199,1.044672,-0.01092611,-0.07879424,0.1098143,0.135599,-0.01556818,-0.07814232,0.124758,0.1480309,0.0003631171,-0.08514268,0.1244716,0.1508064,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.055,0.055,0,0,0,1,0,1,0,0,0.05785413,-0.01854949,0.05378185,0.08113983,0.01312879,-0.03051921,0.1055305,0.1106366,-0.0007248823,-0.03937218,0.1113943,0.1181499,0.06326421,-0.02028409,0.1189543,0.1362495,0.0143565,-0.03337314,0.1755421,0.1792621,-0.0007926678,-0.04305397,0.1819543,0.1869803,0,0,0,0,0,0,0,0,0,1,0,0,-0.03997373,0.9990619,0.2998604,1.043858,0.02856,-0.02617233,-0.02220103,0.9990028,5.118052,0.6396649,-0.5861878,-0.4972416,0.08997373,0.0009380579,0.0001396239,0.08997873,-0.2816174,-0.735356,0.4825223,0.3835565,134.8917,-0.30494,-0.7962556,0.5224831,-0.09895414,1.043282,0.03308821,1.048487,0.005403815,-0.02628122,-0.09669866,-0.994952,348.4811,0.0538485,-0.2618899,-0.963593,False
