Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1772979657701,0,1,1,135,0.610348,0.6196049,-0.4935232,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.563888,0.5724403,-0.4559561,0.3826834,135,0.610348,0.6196049,-0.4935233
Grab,1772979664713,6.08104,1,1,135,0.610348,0.6196049,-0.4935232,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.563888,0.5724403,-0.4559561,0.3826834,135,0.610348,0.6196049,-0.4935233
Trial Start,1772979664736,0,1,1,135,0.610348,0.6196049,-0.4935232,1,-1,-0.05000002,1,0.3,1.045227,0.02017215,0.009614092,-0.008888028,0.9997108,2.755996,0.8388014,0.3997746,-0.3695833,0.1,0,-2.980232E-08,0.1,0.5567096,0.5727814,-0.4462968,0.4035036,132.4052,0.6084403,0.6260055,-0.4877677
Clutch Start,1772979667309,2.583106,1,1,135,0.610348,0.6196049,-0.4935232,1,0,0.1280358,0.9921972,0.2931668,1.042495,0.3936729,0.6122843,-0.181736,0.6611367,97.22676,0.5247114,0.8160902,-0.242229,-0.0780358,0.007802844,0.006833196,0.07872207,0.04701327,0.221169,-0.3518075,0.9083533,49.44248,0.1124171,0.5288544,-0.8412343
Clutch End,1772979667531,2.805333,1,1,135,0.610348,0.6196049,-0.4935232,1,0,0.1272695,0.9997254,0.28758,1.048022,0.3947047,0.5994676,-0.1883142,0.6703615,95.81006,0.5319222,0.8078701,-0.2537809,-0.07726951,0.0002745986,0.01241997,0.07826179,0.06142963,0.2281155,-0.3456784,0.908128,49.5042,0.1467176,0.5448276,-0.825613
Release,1772979667531,2.805333,1,1,135,0.610348,0.6196049,-0.4935232,1,0,0.1272695,0.9997254,0.28758,1.048022,0.3947047,0.5994676,-0.1883142,0.6703615,95.81006,0.5319222,0.8078701,-0.2537809,-0.07726951,0.0002745986,0.01241997,0.07826179,0.06142963,0.2281155,-0.3456784,0.908128,49.5042,0.1467176,0.5448276,-0.825613
Grab,1772979668878,4.152275,1,1,135,0.610348,0.6196049,-0.4935232,1,0,0.1272695,0.9997254,0.28758,1.048022,0.3947047,0.5994676,-0.1883142,0.6703615,95.81006,0.5319222,0.8078701,-0.2537809,-0.07726951,0.0002745986,0.01241997,0.07826179,0.06142963,0.2281155,-0.3456784,0.908128,49.5042,0.1467176,0.5448276,-0.825613
Clutch Start,1772979669809,5.082823,1,1,135,0.610348,0.6196049,-0.4935232,1,0,0.1374016,0.9902248,0.2869711,1.040085,0.6173729,0.5844148,-0.4163632,0.3224155,142.3819,0.6522016,0.6173843,-0.4398521,-0.08740155,0.009775221,0.01302889,0.08890635,-0.08257654,0.007630447,0.0361926,0.9958982,10.3827,-0.9126258,0.08433077,0.3999962
On Target,1772979670642,5.929949,1,1,135,0.610348,0.6196049,-0.4935232,1,-1,0.05507788,0.987721,0.2862044,1.029825,0.5521345,0.604247,-0.4058053,0.4066389,132.0123,0.6043577,0.6613992,-0.4441881,-0.005077876,0.01227903,0.01379561,0.01915407,-0.02520464,0.02446148,-0.05477809,0.9978807,7.461753,-0.3873451,0.3759243,-0.8418302
Trial End,1772979671641,6.929879,1,2,135,0.610348,0.6196049,-0.4935232,1,-1,0.04990748,0.9987029,0.299293,1.043779,0.5589066,0.5744658,-0.4721346,0.367017,136.9365,0.6008365,0.6175628,-0.5075547,9.252131E-05,0.001297057,0.0007070601,0.001480152,0.001409938,-0.02113738,0.009340798,0.9997321,2.653254,0.06089864,-0.9129747,0.4034517
Trial Load,1772979671643,6.929879,1,2,135,-0.04060687,0.9867703,0.156957,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.03751586,0.9116569,0.1450094,0.3826833,135,-0.04060687,0.9867703,0.156957
Grab,1772979671655,6.929879,1,2,135,-0.04060687,0.9867703,0.156957,1,1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.03751586,0.9116569,0.1450094,0.3826833,135,-0.04060687,0.9867703,0.156957
Release,1772979671670,6.944571,1,2,135,-0.04060687,0.9867703,0.156957,1,1,-0.05000001,1,0.3,1.045227,-0.005023404,0.00271696,0.01445836,0.9998792,1.781308,-0.3231589,0.1747838,0.9301161,0.1,-1.192093E-07,-2.980232E-08,0.1,-0.04837603,0.910693,0.1349812,0.3873991,134.4145,-0.05247358,0.9878306,0.1464144
Trial Start,1772979671670,0,1,2,135,-0.04060687,0.9867703,0.156957,1,-1,-0.05000001,1,0.3,1.045227,-0.005023404,0.00271696,0.01445836,0.9998792,1.781308,-0.3231589,0.1747838,0.9301161,0.1,-1.192093E-07,-2.980232E-08,0.1,-0.04837603,0.910693,0.1349812,0.3873991,134.4145,-0.05247358,0.9878306,0.1464144
Grab,1772979672836,1.165785,1,2,135,-0.04060687,0.9867703,0.156957,1,0,-0.05000001,1,0.3,1.045227,-0.005023404,0.00271696,0.01445836,0.9998792,1.781308,-0.3231589,0.1747838,0.9301161,0.1,-1.192093E-07,-2.980232E-08,0.1,-0.04837603,0.910693,0.1349812,0.3873991,134.4145,-0.05247358,0.9878306,0.1464144
Release,1772979675725,4.055404,1,2,135,-0.04060687,0.9867703,0.156957,1,0,0.1226531,1.00619,0.2871525,1.053527,0.4598702,-0.4173036,-0.1788795,0.7631378,80.5168,0.7116137,-0.645745,-0.2768022,-0.07265308,-0.006189823,0.01284751,0.07403947,-0.1020506,0.7954403,0.5827047,-0.1315892,195.1229,-0.1029458,0.8024178,0.5878161
Grab,1772979676683,5.013561,1,2,135,-0.04060687,0.9867703,0.156957,1,0,0.1226531,1.00619,0.2871525,1.053527,0.4598702,-0.4173036,-0.1788795,0.7631378,80.5168,0.7116137,-0.645745,-0.2768022,-0.07265308,-0.006189823,0.01284751,0.07403947,-0.1020506,0.7954403,0.5827047,-0.1315892,195.1229,-0.1029458,0.8024178,0.5878161
Clutch Start,1772979677934,6.263269,1,2,135,-0.04060687,0.9867703,0.156957,1,0,0.1295247,0.9804091,0.2832782,1.028701,0.6469687,-0.5441791,-0.2868333,-0.4505855,233.5625,0.7247055,-0.6095651,-0.3212979,-0.07952468,0.01959085,0.01672181,0.08359184,-0.04809757,-0.2855868,0.6138254,-0.7344013,274.5133,-0.07086559,-0.4207755,0.9043928
Clutch End,1772979678113,6.443424,1,2,135,-0.04060687,0.9867703,0.156957,1,0,0.1304083,0.9784368,0.2828213,1.026807,0.6423905,-0.5483458,-0.2976428,-0.4450396,232.8517,0.7173452,-0.6123273,-0.332372,-0.08040835,0.02156317,0.01717868,0.08500341,-0.03730329,-0.2778669,0.6144361,-0.7374733,275.0333,-0.05523335,-0.4114254,0.9097685
Release,1772979678113,6.443424,1,2,135,-0.04060687,0.9867703,0.156957,1,0,0.1304083,0.9784368,0.2828213,1.026807,0.6423905,-0.5483458,-0.2976428,-0.4450396,232.8517,0.7173452,-0.6123273,-0.332372,-0.08040835,0.02156317,0.01717868,0.08500341,-0.03730329,-0.2778669,0.6144361,-0.7374733,275.0333,-0.05523335,-0.4114254,0.9097685
Grab,1772979678127,6.457405,1,2,135,-0.04060687,0.9867703,0.156957,1,0,0.1304083,0.9784368,0.2828213,1.026807,0.6423905,-0.5483458,-0.2976428,-0.4450396,232.8517,0.7173452,-0.6123273,-0.332372,-0.08040835,0.02156317,0.01717868,0.08500341,-0.03730329,-0.2778669,0.6144361,-0.7374733,275.0333,-0.05523335,-0.4114254,0.9097685
Release,1772979678253,6.582102,1,2,135,-0.04060687,0.9867703,0.156957,1,0,0.128444,0.9902143,0.2905321,1.039919,0.7968089,-0.531458,-0.2863124,0.02594876,177.0262,0.7970772,-0.531637,-0.2864088,-0.07844402,0.009785652,0.009467959,0.07961699,-0.1219467,0.122233,0.819808,-0.5459881,246.1844,-0.1455571,0.1458988,0.978533
Grab,1772979678905,7.235003,1,2,135,-0.04060687,0.9867703,0.156957,1,0,0.128444,0.9902143,0.2905321,1.039919,0.7968089,-0.531458,-0.2863124,0.02594876,177.0262,0.7970772,-0.531637,-0.2864088,-0.07844402,0.009785652,0.009467959,0.07961699,-0.1219467,0.122233,0.819808,-0.5459881,246.1844,-0.1455571,0.1458988,0.978533
Release,1772979679988,8.317989,1,2,135,-0.04060687,0.9867703,0.156957,1,0,0.09171509,0.9690744,0.2806121,1.013045,0.2121814,-0.8905323,-0.4023218,0.008280378,179.0511,0.2121887,-0.8905629,-0.4023356,-0.04171509,0.03092563,0.01938793,0.05542955,0.156135,0.3326659,0.3151901,-0.8749918,302.088,0.322501,0.6871302,0.6510336
Grab,1772979681099,9.429194,1,2,135,-0.04060687,0.9867703,0.156957,1,0,0.09171509,0.9690744,0.2806121,1.013045,0.2121814,-0.8905323,-0.4023218,0.008280378,179.0511,0.2121887,-0.8905629,-0.4023356,-0.04171509,0.03092563,0.01938793,0.05542955,0.156135,0.3326659,0.3151901,-0.8749918,302.088,0.322501,0.6871302,0.6510336
Clutch Start,1772979682044,10.37363,1,2,135,-0.04060687,0.9867703,0.156957,1,0,0.09973353,0.972454,0.2759727,1.015763,-0.1491493,-0.8977805,-0.3630492,0.1998497,156.9437,-0.1522201,-0.9162647,-0.3705239,-0.04973353,0.02754599,0.02402729,0.06172128,0.2503691,0.5610082,-0.001741009,-0.7890388,284.1916,0.4075394,0.9131833,-0.002833934
Clutch End,1772979683669,11.99879,1,2,135,-0.04060687,0.9867703,0.156957,1,0,0.07464781,1.00324,0.3004667,1.049926,-0.1495143,-0.9073238,-0.3925746,-0.01714836,181.9652,-0.1495363,-0.9074573,-0.3926324,-0.02464781,-0.003240347,-0.0004667342,0.02486427,0.2841829,0.3679931,-0.02259971,-0.8850483,304.5149,0.6104906,0.7905341,-0.04854939
Release,1772979683669,11.99879,1,2,135,-0.04060687,0.9867703,0.156957,1,0,0.07464781,1.00324,0.3004667,1.049926,-0.1495143,-0.9073238,-0.3925746,-0.01714836,181.9652,-0.1495363,-0.9074573,-0.3926324,-0.02464781,-0.003240347,-0.0004667342,0.02486427,0.2841829,0.3679931,-0.02259971,-0.8850483,304.5149,0.6104906,0.7905341,-0.04854939
Grab,1772979684655,12.98479,1,2,135,-0.04060687,0.9867703,0.156957,1,0,0.07464781,1.00324,0.3004667,1.049926,-0.1495143,-0.9073238,-0.3925746,-0.01714836,181.9652,-0.1495363,-0.9074573,-0.3926324,-0.02464781,-0.003240347,-0.0004667342,0.02486427,0.2841829,0.3679931,-0.02259971,-0.8850483,304.5149,0.6104906,0.7905341,-0.04854939
Clutch Start,1772979685113,13.44306,1,2,135,-0.04060687,0.9867703,0.156957,1,0,0.08210124,1.009751,0.3017869,1.057077,-0.0155544,-0.9181919,-0.3883595,-0.0765415,188.7796,-0.01560016,-0.9208934,-0.3895021,-0.03210124,-0.009750605,-0.001786888,0.03359698,0.2297281,0.2984223,0.08889244,-0.9220994,314.4699,0.5936847,0.7712108,0.2297241
On Target,1772979687905,16.24827,1,2,135,-0.04060687,0.9867703,0.156957,1,-1,0.05346192,0.9968084,0.3030723,1.043234,0.02063358,-0.9258142,-0.2008587,-0.3195281,217.2688,0.0217751,-0.9770334,-0.2119709,-0.003461916,0.00319159,-0.003072262,0.005622269,0.05295376,0.06753697,0.01460875,-0.9962034,350.0115,0.6082731,0.7757885,0.1678089
Trial End,1772979688905,17.24804,1,3,135,-0.04060687,0.9867703,0.156957,1,-1,0.05365761,0.9959545,0.3037427,1.042624,0.02098785,-0.927051,-0.1942348,-0.3200136,217.3275,0.02215281,-0.9785079,-0.205016,-0.003657605,0.004045546,-0.003742695,0.006614551,0.04661828,0.06726777,0.01228004,-0.9965696,350.5057,0.5633042,0.8128189,0.1483839
Trial Load,1772979688905,17.24804,1,3,135,-0.7434281,0.5671464,0.354485,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.686838,0.523975,0.3275015,0.3826834,135,-0.7434281,0.5671465,0.3544851
Grab,1772979690099,18.42875,1,3,135,-0.7434281,0.5671464,0.354485,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.686838,0.523975,0.3275015,0.3826834,135,-0.7434281,0.5671465,0.3544851
Trial Start,1772979690113,0,1,3,135,-0.7434281,0.5671464,0.354485,1,-1,-0.05000001,1,0.3,1.045227,0.0007729176,-0.0001065454,0.006375402,0.9999794,0.7359469,0.1203483,-0.01658981,0.9926919,0.1,0,0,0.1,-0.6904951,0.519373,0.3253868,0.3841768,134.8147,-0.7478884,0.5625428,0.3524326
Release,1772979690960,0.8469629,1,3,135,-0.7434281,0.5671464,0.354485,1,0,0.08056518,0.9856559,0.2856032,1.029358,-0.08366599,-0.2584051,0.2532527,0.928488,43.59932,-0.2252947,-0.6958301,0.6819557,-0.03056518,0.0143441,0.01439682,0.03670492,-0.8230295,0.438849,-0.01415573,0.3603248,137.7597,-0.8822958,0.4704506,-0.01517509
Grab,1772979691696,1.583131,1,3,135,-0.7434281,0.5671464,0.354485,1,0,0.08056518,0.9856559,0.2856032,1.029358,-0.08366599,-0.2584051,0.2532527,0.928488,43.59932,-0.2252947,-0.6958301,0.6819557,-0.03056518,0.0143441,0.01439682,0.03670492,-0.8230295,0.438849,-0.01415573,0.3603248,137.7597,-0.8822958,0.4704506,-0.01517509
Release,1772979693639,3.527763,1,3,135,-0.7434281,0.5671464,0.354485,1,0,0.09119231,0.9733641,0.2987821,1.022264,-0.3471102,-0.1558926,0.3067618,0.8724158,58.51881,-0.7101788,-0.3189524,0.627627,-0.0411923,0.02663589,0.001217872,0.04906893,-0.6781656,0.419765,-0.1206252,0.5910487,107.5371,-0.8407331,0.5203896,-0.149541
Grab,1772979694182,4.06991,1,3,135,-0.7434281,0.5671464,0.354485,1,0,0.09119231,0.9733641,0.2987821,1.022264,-0.3471102,-0.1558926,0.3067618,0.8724158,58.51881,-0.7101788,-0.3189524,0.627627,-0.0411923,0.02663589,0.001217872,0.04906893,-0.6781656,0.419765,-0.1206252,0.5910487,107.5371,-0.8407331,0.5203896,-0.149541
Release,1772979695585,5.470983,1,3,135,-0.7434281,0.5671464,0.354485,1,0,0.04875882,0.9337444,0.2744667,0.9744681,-0.1067172,0.0548663,0.2363179,0.964238,30.73839,-0.4026491,0.2070132,0.8916387,0.001241181,0.06625557,0.02553335,0.07101615,-0.7272923,0.3568782,0.2071216,0.5484384,113.4801,-0.8697681,0.4267902,0.2476965
Grab,1772979696069,5.957265,1,3,135,-0.7434281,0.5671464,0.354485,1,0,0.04875882,0.9337444,0.2744667,0.9744681,-0.1067172,0.0548663,0.2363179,0.964238,30.73839,-0.4026491,0.2070132,0.8916387,0.001241181,0.06625557,0.02553335,0.07101615,-0.7272923,0.3568782,0.2071216,0.5484384,113.4801,-0.8697681,0.4267902,0.2476965
Clutch Start,1772979697070,6.95699,1,3,135,-0.7434281,0.5671464,0.354485,1,0,0.108295,0.9889461,0.2885631,1.035862,-0.6085783,0.2153179,-0.05542091,0.761708,80.76998,-0.9392795,0.3323216,-0.08553661,-0.05829499,0.01105392,0.01143688,0.06042597,-0.1907211,0.5540928,0.09967793,0.8041585,72.94186,-0.3208553,0.9321653,0.1676909
Clutch End,1772979697403,7.290247,1,3,135,-0.7434281,0.5671464,0.354485,1,0,0.09555709,0.9956019,0.2836488,1.039621,-0.6138944,0.2118554,-0.04534095,0.7590752,81.23454,-0.9429978,0.3254293,-0.06964783,-0.04555709,0.004398108,0.01635116,0.04860198,-0.193294,0.5488561,0.08979452,0.8082892,72.14176,-0.3282926,0.9321832,0.152508
Release,1772979697403,7.290247,1,3,135,-0.7434281,0.5671464,0.354485,1,0,0.09555709,0.9956019,0.2836488,1.039621,-0.6138944,0.2118554,-0.04534095,0.7590752,81.23454,-0.9429978,0.3254293,-0.06964783,-0.04555709,0.004398108,0.01635116,0.04860198,-0.193294,0.5488561,0.08979452,0.8082892,72.14176,-0.3282926,0.9321832,0.152508
Grab,1772979698070,7.95686,1,3,135,-0.7434281,0.5671464,0.354485,1,0,0.09555709,0.9956019,0.2836488,1.039621,-0.6138944,0.2118554,-0.04534095,0.7590752,81.23454,-0.9429978,0.3254293,-0.06964783,-0.04555709,0.004398108,0.01635116,0.04860198,-0.193294,0.5488561,0.08979452,0.8082892,72.14176,-0.3282926,0.9321832,0.152508
