Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,0.610348,0.6196049,-0.4935232,1,6.929879,False,9.252131E-05,0.001297057,0.0007070601,0.001480152,0.001409938,-0.02113738,0.009340798,0.9997321,2.653254,0.06089864,-0.9129747,0.4034517,0.1355393,0.1613397,0.1686942,0.3184824,141.9408,0.1374251,360.5565,0,0,0,0,0,0,0,0.444353,445.3285,0.208894,40.12896
1,3,135,-0.04060687,0.9867703,0.156957,1,17.24804,False,-0.003657605,0.004045546,-0.003742695,0.006614551,0.04661828,0.06726777,0.01228004,-0.9965696,350.5057,0.5633042,0.8128189,0.1483839,0.3349583,0.4466323,0.4490472,0.454282,326.819,0.3733483,947.6933,0,0,0,0,0,0,0,0.6137081,945.0107,0.2047986,49.15897
1,4,135,-0.7434281,0.5671464,0.354485,1,12.67906,False,-0.002561547,-0.0007810593,2.455711E-05,0.002678092,0.0417207,-0.05124047,0.01046668,0.9977597,7.671881,0.6236289,-0.7659277,0.156453,0.3569407,0.3757718,0.4547147,0.3989126,360.6943,0.395739,913.1176,0,0,0,0,0,0,0,0.645146,950.7418,0.1554071,32.64559
1,5,135,-0.962317,0.1090205,-0.2491196,1,19.51184,False,-0.0002949424,0.003351271,-0.000100702,0.003365732,-0.06892393,-0.03663896,0.01117852,0.9968863,9.045366,-0.874074,-0.464645,0.1417629,0.3299392,0.4484987,0.5268344,0.540679,369.7305,0.3741226,1443.644,0,0,0,0,0,0,0,0.6685953,1348.65,0.3005474,101.5856
1,6,135,0.9912117,0.131758,-0.01180065,1,6.082335,False,-0.002326984,0.003293037,-0.005623162,0.006919458,0.07715903,0.006292784,-0.01658357,0.9968611,9.08176,0.9745934,0.07948397,-0.2094666,0.1316514,0.1037785,0.1187012,0.2486181,160.2099,0.1120216,174.0199,0,0,0,0,0,0,0,0.3370826,279.6418,0.1280938,33.61002
1,7,135,0.2433273,0.3249269,-0.9139006,1,12.35941,False,-0.004524533,0.004551053,-0.003020048,0.007092543,0.0264632,-0.05201351,-0.0159061,0.9981691,6.935383,0.4375109,-0.8599291,-0.2629725,0.3020459,0.3553398,0.3433746,0.4578063,310.6614,0.3467047,914.0078,0,0,0,0,0,0,0,0.5699362,907.38,0.2567668,83.82593
1,8,135,0.9348136,-0.238723,0.2629354,1,9.819414,False,-0.002975535,0.002372146,0.001906395,0.004256198,-0.07590865,-0.02276918,0.0008832696,0.9968544,9.091417,-0.9577848,-0.2872924,0.01114474,0.2144398,0.1915216,0.213712,0.3257146,260.9673,0.1910723,442.5103,0,0,0,0,0,0,0,0.4306234,565.316,0.1162612,31.21045
1,9,135,-0.8606064,-0.486403,-0.1508929,0.9999999,8.290142,False,-0.0003739484,0.000464201,-0.0009839535,0.001150428,-0.04410812,0.006689189,0.01722532,-0.9988559,354.5179,-0.9223461,0.1398778,0.3601992,0.2477372,0.1947095,0.3710296,0.2790566,216.1915,0.1888894,652.2768,0,0,0,0,0,0,0,0.4413844,723.1481,0.1998533,49.58537
1,10,135,-0.7156727,-0.672476,0.1886495,1,10.92981,False,-0.005442999,0.0001971126,-0.0003464818,0.005457577,-0.0538931,0.02036693,0.013268,-0.9982508,353.2213,-0.911575,0.3444965,0.2244217,0.4306059,0.203927,0.2761736,0.3415906,188.3051,0.2509624,907.0692,0,0,0,0,0,0,0,0.4974233,983.8482,0.2653924,70.18285
1,11,135,0.4892357,-0.8650158,0.1113375,1,6.262789,False,0.001921102,-0.002399206,0.001717925,0.003521092,0.07398672,-0.01209537,0.01496232,0.9970736,8.76873,0.9678196,-0.1582195,0.195722,0.1693165,0.1201833,0.1186375,0.2865113,209.0716,0.1310107,442.397,0,0,0,0,0,0,0,0.3317201,545.4813,0.06789014,17.30942
2,2,135,-0.3047823,0.2391738,0.9219022,1,11.73533,False,0.001473095,-0.003370047,-2.512336E-05,0.003678023,0.02798628,0.02300263,-0.006580976,0.9993221,4.220142,0.7601014,0.6247468,-0.178738,0.2768626,0.2398544,0.2591533,0.3600143,288.6964,0.2963602,612.03,0,0,0,0,0,0,0,0.4201704,704.2848,0.2280277,53.23086
2,3,135,-0.2902173,0.8192235,0.4946179,1,12.08277,False,0.0005026795,0.000998199,0.005325735,0.00544174,0.02916986,-0.02060883,-0.001779698,-0.9993606,355.9014,0.8157372,-0.5763275,-0.04976936,0.2974436,0.3316368,0.4324568,0.4394097,331.3149,0.3521267,1027.996,0,0,0,0,0,0,0,0.5232584,1106.917,0.3736581,90.30615
2,4,135,-0.6940467,-0.02516539,0.7194901,1,18.15045,False,-0.003819022,-0.0009367466,-0.002138168,0.004475956,-0.0607274,0.04895603,0.02335671,-0.9966795,350.6591,-0.7458093,0.601242,0.2868499,0.4196643,0.3830383,0.5092924,0.4617068,351.3017,0.4158927,994.3781,0,0,0,0,0,0,0,0.6787698,1093.634,0.1913303,45.68468
2,5,135,-0.4968539,-0.04786945,0.866513,1,10.52699,False,-0.0008769408,0.0005559921,0.002157837,0.002394664,-0.05799152,-0.01773822,-0.01501314,0.9980466,7.163576,-0.9282611,-0.2839329,-0.2403129,0.2634755,0.1883984,0.3148211,0.2843221,229.3158,0.2341506,665.8826,0,0,0,0,0,0,0,0.3945745,739.8737,0.1513015,30.56159
2,6,135,0.9480072,0.0496409,0.3143534,1,8.832359,False,-0.005768683,-9.131432E-05,0.002114952,0.00614484,-0.0201188,-0.02197722,-0.03183931,0.9990488,4.998404,-0.4613812,-0.5040001,-0.7301657,0.1664844,0.1171181,0.1856811,0.19659,107.4401,0.1413115,575.4407,0,0,0,0,0,0,0,0.284374,467.7984,0.1205513,27.43403
2,7,135,0.7028902,-0.7082358,0.06593502,1,8.512979,False,-0.002756294,0.001800895,-0.005824506,0.006690684,0.02267642,0.006886616,-0.03679808,0.9990417,5.017009,0.5181056,0.1573438,-0.840754,0.2253517,0.2310074,0.2810732,0.3096324,152.8784,0.1983645,588.8104,0,0,0,0,0,0,0,0.3729547,609.5858,0.1874515,42.09137
