Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773127146763,0,1,1,135,0.252497,-0.9080819,0.3341145,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.2332768,-0.8389584,0.3086816,0.3826834,135,0.252497,-0.908082,0.3341145
Trial Start,1773127154063,0,1,1,135,0.252497,-0.9080819,0.3341145,1,-1,-0.0420379,1.000081,0.2654243,1.035557,0,0,0,1,0,1,0,0,0.0920379,-8.058548E-05,0.03457567,0.09831815,0.2332768,-0.8389584,0.3086816,0.3826834,135,0.252497,-0.908082,0.3341145
On Target,1773127160427,6.388324,1,1,135,0.252497,-0.9080819,0.3341145,1,-1,0.04909113,1.001367,0.2802001,1.040989,0.1695921,-0.8513677,0.2818604,0.4086151,131.7643,0.1858122,-0.9327943,0.3088181,0.0009088702,-0.001367331,0.01979992,0.01986787,0.004087947,-0.003605196,0.0745923,0.9971993,8.578509,0.05465786,-0.04820323,0.9973357
Trial End,1773127161413,7.374489,1,2,135,0.252497,-0.9080819,0.3341145,1,-1,0.04957874,0.9990845,0.2967426,1.0434,0.2103424,-0.8511589,0.297243,0.3780626,135.5726,0.2272056,-0.9193965,0.3210731,0.0004212596,0.0009154677,0.003257453,0.003409772,-0.00566386,0.01295667,0.02503811,0.9995866,3.29564,-0.1969642,0.4505762,0.8707153
Trial Load,1773127161415,7.374489,1,2,135,-0.2838471,-0.1124655,-0.9522512,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.2622406,-0.1039046,-0.8797654,0.3826835,135,-0.2838472,-0.1124655,-0.9522512
Trial Start,1773127162955,0,1,2,135,-0.2838471,-0.1124655,-0.9522512,1,-1,-0.03313544,1.004612,0.2779401,1.042878,0,0,0,1,0,1,0,0,0.08313544,-0.004612446,0.02205992,0.08613604,-0.2622406,-0.1039046,-0.8797654,0.3826835,135,-0.2838472,-0.1124655,-0.9522512
On Target,1773127171121,8.179847,1,2,135,-0.2838471,-0.1124655,-0.9522512,1,-1,0.06369054,1.005117,0.2879335,1.047484,-0.2363971,-0.08052219,-0.882741,0.3979962,133.0941,-0.2576853,-0.08777342,-0.962234,-0.01369053,-0.005117059,0.01206648,0.01895297,-0.03478564,0.01297735,-0.008886348,0.999271,4.375698,-0.9111957,0.3399364,-0.2327743
Trial End,1773127172107,9.165984,1,3,135,-0.2838471,-0.1124655,-0.9522512,1,-1,0.04764282,0.9961623,0.2987797,1.041095,-0.238389,-0.06299949,-0.8862864,0.3920437,133.8366,-0.2591335,-0.06848168,-0.9634106,0.002357181,0.003837705,0.001220345,0.004666211,-0.04824664,0.006067555,0.002509357,0.9988139,5.581697,-0.9908943,0.1246161,0.05153743
Trial Load,1773127172108,9.165984,1,3,135,-0.3933918,-0.7676668,-0.5058959,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.3634467,-0.7092317,-0.4673869,0.3826833,135,-0.3933918,-0.7676668,-0.5058959
Trial Start,1773127174842,0,1,3,135,-0.3933918,-0.7676668,-0.5058959,1,-1,-0.04977665,0.9999831,0.2999291,1.04518,0.000696024,8.347462E-05,0.0008511243,-0.9999994,359.8749,0.6374838,0.07645386,0.7795392,0.09977666,1.686811E-05,7.089972E-05,0.09977669,0.3637447,0.7092153,0.4665976,-0.3833931,225.088,0.3938399,0.7678937,0.5052025
On Target,1773127182187,7.360165,1,3,135,-0.3933918,-0.7676668,-0.5058959,1,-1,0.06068768,1.003373,0.2836394,1.044458,-0.3838885,-0.6549255,-0.4859264,0.4331025,128.6708,-0.4259065,-0.7266094,-0.5391128,-0.01068768,-0.003373384,0.01636064,0.01983121,-0.04903277,-0.05935708,0.01776494,0.9968737,9.063711,-0.620563,-0.7512283,0.2248346
Off Target,1773127182303,7.474357,1,3,135,-0.3933918,-0.7676668,-0.5058959,1,-1,0.05814012,1.004951,0.2850713,1.046218,-0.3704776,-0.6632326,-0.4624925,0.4571319,125.5956,-0.4165483,-0.7457089,-0.5200057,-0.008140121,-0.004950523,0.01492876,0.0177098,-0.04239557,-0.07546935,-0.01496451,0.9961341,10.07936,-0.4826151,-0.8591145,-0.1703503
On Target,1773127182980,8.151672,1,3,135,-0.3933918,-0.7676668,-0.5058959,1,-1,0.05507986,0.9976702,0.2967594,1.042327,-0.3396224,-0.6708149,-0.4756905,0.4564894,125.6784,-0.3817145,-0.7539544,-0.5346466,-0.005079854,0.002329826,0.003240645,0.006460247,-0.05978639,-0.05289395,-0.03425284,0.9962202,9.966452,-0.688276,-0.6089284,-0.3943273
Trial End,1773127183967,9.138139,1,4,135,-0.3933918,-0.7676668,-0.5058959,1,-1,0.051745,0.9993669,0.2961317,1.043602,-0.3582749,-0.6782421,-0.4764996,0.4296218,129.1129,-0.3967568,-0.7510913,-0.5276798,-0.001744997,0.0006330609,0.003868282,0.004290616,-0.03998589,-0.03942018,-0.01085606,0.9983634,6.556942,-0.6991902,-0.6892983,-0.1898283
Trial Load,1773127183968,9.138139,1,4,135,0.9215379,-0.3466006,0.1750313,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.8513901,-0.3202172,0.1617078,0.3826834,135,0.921538,-0.3466006,0.1750313
Trial Start,1773127185202,0,1,4,135,0.9215379,-0.3466006,0.1750313,1,-1,-0.0495941,0.9998593,0.3021442,1.045691,0.001378748,-0.001511342,-0.001832217,0.9999962,0.314035,0.5031063,-0.5514898,-0.6685773,0.0995941,0.000140667,-0.002144158,0.09961728,0.8500282,-0.3214205,0.1632536,0.3840435,134.8313,0.9206262,-0.3481157,0.1768125
On Target,1773127192357,7.168521,1,4,135,0.9215379,-0.3466006,0.1750313,1,-1,0.04808365,1.006827,0.2822747,1.046753,0.8381906,-0.3476844,0.1403856,0.3960354,133.3389,0.9128277,-0.3786441,0.1528863,0.001916353,-0.006826878,0.01772535,0.01909101,0.00514957,-0.009783388,0.03793078,0.9992193,4.528334,0.1303456,-0.2476365,0.9601014
Trial End,1773127193354,8.165486,1,5,135,0.9215379,-0.3466006,0.1750313,1,-1,0.04778883,1.004088,0.2939004,1.047308,0.8327955,-0.3532346,0.1667476,0.3922656,133.8089,0.9053582,-0.3840124,0.1812765,0.002211172,-0.004088402,0.006099641,0.007668764,0.01154868,0.01686446,0.03368586,0.9992235,4.516042,0.2931152,0.4280343,0.8549757
Trial Load,1773127193354,8.165486,1,5,135,-0.872721,-0.4284745,0.2340251,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.806289,-0.3958587,0.216211,0.3826834,135,-0.872721,-0.4284745,0.2340251
Trial Start,1773127194534,0,1,5,135,-0.872721,-0.4284745,0.2340251,1,-1,-0.05041581,0.9995303,0.3037663,1.045885,-0.0006225553,-0.002650163,0.0006166841,-0.9999961,359.681,-0.2236486,-0.9520525,0.2215394,0.1004158,0.0004697442,-0.003766328,0.1004875,0.8061953,0.3965088,-0.2183365,-0.3809975,224.791,0.8719622,0.4288547,-0.2361477
On Target,1773127206270,11.74952,1,5,135,-0.872721,-0.4284745,0.2340251,1,-1,0.05503084,1.001705,0.2811834,1.041876,-0.7974974,-0.4236163,0.2092792,0.3751658,135.9309,-0.8603384,-0.4569963,0.2257699,-0.005030837,-0.00170505,0.01881659,0.019552,-0.006048607,0.01728645,-0.02483354,0.9995238,3.536479,-0.1960237,0.5602205,-0.8048069
Trial End,1773127207270,12.7493,1,6,135,-0.872721,-0.4284745,0.2340251,1,-1,0.04895864,1.005418,0.2934433,1.048509,-0.7985394,-0.3928098,0.2179282,0.4006777,132.7589,-0.8715594,-0.4287291,0.237856,0.001041356,-0.005418062,0.006556749,0.008569176,-0.01613526,-0.01135009,0.002623947,0.9998019,2.280762,-0.8107527,-0.570311,0.1318462
Trial Load,1773127207270,12.7493,1,6,135,-0.4032664,0.7156937,-0.5702269,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.3725696,0.6612148,-0.526821,0.3826833,135,-0.4032664,0.7156938,-0.5702269
Trial Start,1773127209311,0,1,6,135,-0.4032664,0.7156937,-0.5702269,1,-1,-0.05135895,0.9983169,0.3018261,1.044209,-0.006296456,0.0001237148,-0.005728092,-0.9999638,359.0244,-0.7395871,0.01453165,-0.6728265,0.101359,0.001683116,-0.001826048,0.1013894,0.3786879,-0.6624212,0.5248767,-0.3772241,224.3237,0.4088964,-0.7152634,0.5667468
On Target,1773127220337,11.04048,1,6,135,-0.4032664,0.7156937,-0.5702269,1,-1,0.05866432,1.001072,0.2826816,1.041871,0.3404914,-0.6572747,0.5762072,-0.3464693,220.543,0.3629735,-0.7006735,0.6142532,-0.008664321,-0.001071811,0.01731846,0.01939454,-0.03594709,-0.01286187,-0.05772017,-0.9976025,352.0634,-0.5194345,-0.1858537,-0.8340548
Trial End,1773127221338,12.04039,1,7,135,-0.4032664,0.7156937,-0.5702269,1,-1,0.05025897,1.0002,0.2973033,1.04466,0.3970195,-0.6367375,0.5510197,-0.3651276,222.8309,0.4264636,-0.6839597,0.5918849,-0.000258971,-0.0001995564,0.002696753,0.002716498,-0.04479307,0.006106021,0.006776983,-0.9989547,354.7599,-0.9798898,0.1335748,0.1482527
Trial Load,1773127221339,12.04039,1,7,135,-0.007744577,0.9996084,0.02688801,0.9999999,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.007155056,0.9235178,0.02484128,0.3826834,135,-0.007744578,0.9996085,0.02688801
Trial Start,1773127222642,0,1,7,135,-0.007744577,0.9996084,0.02688801,0.9999999,-1,-0.0471555,1.000442,0.2909505,1.042957,0,0,0,1,0,1,0,0,0.0971555,-0.0004415512,0.009049535,0.09757704,-0.007155056,0.9235178,0.02484128,0.3826834,135,-0.007744578,0.9996085,0.02688801
On Target,1773127228841,6.210759,1,7,135,-0.007744577,0.9996084,0.02688801,0.9999999,-1,0.04753965,0.9999776,0.2895263,1.042133,0.01890392,0.894981,-0.01484937,0.4454563,127.0949,0.02111454,0.9996395,-0.01658585,0.002460349,2.241135E-05,0.01047373,0.01075885,0.02552465,0.06852912,0.04061006,0.9964954,9.596485,0.3051461,0.8192629,0.4854916
Trial End,1773127229837,7.207007,1,8,135,-0.007744577,0.9996084,0.02688801,0.9999999,-1,0.04983637,0.9959555,0.3014119,1.041758,-0.01664931,-0.9013262,-0.03141922,-0.431679,231.1483,-0.01845765,-0.9992227,-0.03483178,0.0001636334,0.004044533,-0.001411855,0.004286998,0.01608621,-0.05310227,-0.02052482,-0.9982485,353.2169,0.2719141,-0.8976173,-0.3469425
Trial Load,1773127229837,7.207007,1,8,135,-0.08209799,0.7345135,0.6736095,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.07584866,0.678602,0.6223341,0.3826834,135,-0.082098,0.7345136,0.6736096
Trial Start,1773127231086,0,1,8,135,-0.08209799,0.7345135,0.6736095,1,-1,-0.04974141,1.000276,0.300036,1.04549,0.002229673,0.005198023,0.003802133,-0.9999768,359.2197,0.3274246,0.763323,0.5583385,0.09974141,-0.0002764463,-3.603101E-05,0.0997418,0.07564841,-0.6822515,-0.6218673,-0.3769501,224.2898,0.08167315,-0.7365869,-0.6713936
On Target,1773127239878,8.805285,1,8,135,-0.08209799,0.7345135,0.6736095,1,-1,0.05981258,0.9938662,0.2840996,1.035403,0.1178141,-0.6463125,-0.6216805,-0.4265131,230.493,0.130256,-0.7145669,-0.6873336,-0.009812575,0.006133795,0.0159004,0.01966553,0.006916335,-0.0682657,0.003400119,-0.9976375,352.1215,0.1006765,-0.9936987,0.04949329
Trial End,1773127240877,9.805308,1,9,135,-0.08209799,0.7345135,0.6736095,1,-1,0.05287926,1.000554,0.298668,1.045517,0.09787432,-0.6795477,-0.6036603,-0.4052528,227.8139,0.1070595,-0.7433212,-0.6603119,-0.002879258,-0.0005537271,0.001332015,0.003220404,-0.01997759,-0.03007745,-0.006316934,-0.999328,355.7988,-0.5450372,-0.8205859,-0.1723413
Trial Load,1773127240879,9.805308,1,9,135,0.9749172,0.08543369,0.2055176,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.9007061,0.07893045,0.1898736,0.3826835,135,0.9749173,0.08543371,0.2055177
Trial Start,1773127242003,0,1,9,135,0.9749172,0.08543369,0.2055176,1,-1,-0.04866258,1.005877,0.2860394,1.046888,0,0,0,1,0,1,0,0,0.09866259,-0.00587666,0.01396063,0.09981854,0.9007061,0.07893045,0.1898736,0.3826835,135,0.9749173,0.08543371,0.2055177
