Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,0.252497,-0.9080819,0.3341145,1,7.374489,False,0.0004212596,0.0009154677,0.003257453,0.003409772,-0.00566386,0.01295667,0.02503811,0.9995866,3.29564,-0.1969642,0.4505762,0.8707153,0.3719996,0.4511599,0.5745168,0.9208903,578.1909,0,0,0.04426601,0.0673648,0.0698759,0.04833636,12.72688,0,0,0.4807454,285.9426,0.1578876,38.41829
1,3,135,-0.2838471,-0.1124655,-0.9522512,1,9.165984,False,0.002357181,0.003837705,0.001220345,0.004666211,-0.04824664,0.006067555,0.002509357,0.9988139,5.581697,-0.9908943,0.1246161,0.05153743,0.4324475,0.3283924,0.4864358,1.12521,684.1059,0,0,0.04293474,0.05570837,0.05898762,0.05610843,12.06227,0,0,0.7758144,376.1853,0.2062424,53.92263
1,4,135,-0.3933918,-0.7676668,-0.5058959,1,9.138139,False,-0.001744997,0.0006330609,0.003868282,0.004290616,-0.03998589,-0.03942018,-0.01085606,0.9983634,6.556942,-0.6991902,-0.6892983,-0.1898283,0.2904695,0.3437179,0.4246228,1.066473,625.9838,0,0,0.05411385,0.1022359,0.1116936,0.06247392,25.57621,0,0,0.8299567,397.5924,0.2137497,60.53812
1,5,135,0.9215379,-0.3466006,0.1750313,1,8.165486,False,0.002211172,-0.004088402,0.006099641,0.007668764,0.01154868,0.01686446,0.03368586,0.9992235,4.516042,0.2931152,0.4280343,0.8549757,0.2172982,0.3145875,0.3617115,1.161621,640.7661,0,0,0.0296588,0.05857268,0.07683635,0.05837158,14.13233,0,0,0.7962986,500.1573,0.2534163,65.83777
1,6,135,-0.872721,-0.4284745,0.2340251,1,12.7493,False,0.001041356,-0.005418062,0.006556749,0.008569176,-0.01613526,-0.01135009,0.002623947,0.9998019,2.280762,-0.8107527,-0.570311,0.1318462,0.7034345,0.8843098,0.8910108,1.513139,1133.365,0,0,0.07361265,0.07004625,0.1225591,0.09337112,18.32504,0,0,1.094281,684.7469,0.3757895,96.00506
1,7,135,-0.4032664,0.7156937,-0.5702269,1,12.04039,False,-0.000258971,-0.0001995564,0.002696753,0.002716498,-0.04479307,0.006106021,0.006776983,-0.9989547,354.7599,-0.9798898,0.1335748,0.1482527,0.7759135,0.7384226,0.7961215,1.475402,1052.889,0,0,0.05614214,0.07340675,0.1650221,0.0856303,24.55751,0,0,1.203279,667.3845,0.3131112,87.92725
1,8,135,-0.007744577,0.9996084,0.02688801,0.9999999,7.207007,False,0.0001636334,0.004044533,-0.001411855,0.004286998,0.01608621,-0.05310227,-0.02052482,-0.9982485,353.2169,0.2719141,-0.8976173,-0.3469425,0.5052447,0.5071872,0.5926811,0.6844359,636.3939,0,0,0.03394431,0.0347921,0.07443005,0.04630327,6.903914,0,0,0.5540981,364.5608,0.102326,30.64515
1,9,135,-0.08209799,0.7345135,0.6736095,1,9.805308,False,-0.002879258,-0.0005537271,0.001332015,0.003220404,-0.01997759,-0.03007745,-0.006316934,-0.999328,355.7988,-0.5450372,-0.8205859,-0.1723413,0.6573845,0.7265147,0.8614678,0.9336082,903.707,0,0,0.05173381,0.07035354,0.1210707,0.07284624,18.92388,0,0,0.7473426,505.9174,0.2856598,75.44118
1,10,135,0.9749172,0.08543369,0.2055176,1,17.01241,False,-0.002422784,0.001110673,0.00173375,0.003179522,0.01265686,0.05921565,-0.006148289,0.9981461,6.978947,0.2079497,0.9729015,-0.1010152,0.8471639,0.9208905,1.045591,1.837855,1277.727,0,0,0.08750645,0.142608,0.345349,0.1287615,50.2412,0,0,1.3286,788.5814,0.4240574,113.9221
1,11,135,0.8532898,0.2973158,-0.4283687,1,11.88777,False,-0.0003423877,0.0001935363,0.005099982,0.005115125,0.01901498,0.04674761,0.01641965,0.9985909,6.084291,0.3582952,0.8808554,0.309392,0.3912672,0.5301148,0.5995895,1.218475,788.5112,0,0,0.04907271,0.05489836,0.08294429,0.07347386,12.37194,0,0,0.7453407,587.4305,0.2553811,51.26877
