Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773127194534,0.0137723,0.05325165,0.9286868,0.2489924,0.9629601,0.5836375,0.3826177,0.004589856,-0.7162054,271.4841,0.8362889,0.5482494,0.006576764,-0.05028149,0.9791248,0.3054044,1.026881,-0.07036889,1.021761,0.2900615,1.064463,-0.04609776,1.043508,0.2934511,1.084964,-0.02085047,-0.08193605,0.1052991,0.1350413,-0.02499375,-0.06376363,0.1540518,0.1685895,0.005133024,-0.04785397,0.1594992,0.1666023,0,0,0,0,0,0,0,0,0,1,0,0,-0.07925761,0.7374257,0.2158774,0.7724516,0.3085109,0.1578441,0.8820288,0.3192672,142.7628,0.3255485,0.1665611,0.9307393,-0.002780698,0.822368,0.2791082,0.8684459,0.03068718,0.8087461,0.3021024,0.8638737,0.03577774,0.8072813,0.2695162,0.8518345,0.03982998,-0.07261176,0.1098227,0.1375497,0.01974205,-0.06681081,0.1497847,0.1651935,0.0002592234,-0.08447114,0.1270441,0.1525636,0,0,0,0,0,0,0,0,0,1,0,0,-0.05041581,0.9995303,0.3037663,1.045885,-0.0006225553,-0.002650163,0.0006166841,-0.9999961,359.681,-0.2236486,-0.9520525,0.2215394,0.1004158,0.0004697442,-0.003766328,0.1004875,0.8061953,0.3965088,-0.2183365,-0.3809975,224.791,0.8719622,0.4288547,-0.2361477,-0.04696932,1.096733,0.02316849,1.097982,-0.002117764,-0.03583978,0.1302437,0.9908318,15.52895,-0.01567538,-0.2652807,0.9640441,False
1773127194548,0.0277076,0.05223068,0.9283463,0.2518985,0.9633316,0.5834639,0.3805122,0.003773808,-0.7174721,271.6923,0.8376035,0.5462521,0.005417568,-0.05084183,0.9788278,0.3090247,1.027709,-0.07119027,1.0218,0.2933947,1.065469,-0.04660866,1.043343,0.2970445,1.085805,-0.0206782,-0.08201101,0.1052236,0.1350015,-0.02511175,-0.06346863,0.1543585,0.1687762,0.005342827,-0.04780211,0.1595109,0.1666052,0,0,0,0,0,0,0,0,0,1,0,0,-0.07946532,0.7374574,0.2159195,0.7725149,0.3084628,0.1580584,0.8820389,0.3191798,142.7733,0.3254877,0.1667821,0.930721,-0.002990261,0.8224528,0.2790964,0.8685231,0.03056724,0.8087819,0.3023424,0.863987,0.03558671,0.8073548,0.2695912,0.8519199,0.03981397,-0.07263634,0.1098221,0.1375575,0.01974218,-0.06669848,0.1500347,0.1653749,0.0002595294,-0.08444508,0.1271191,0.1526116,0,0,0,0,0,0,0,0,0,1,0,0,-0.05108386,0.9992464,0.3072628,1.046668,-0.001183552,-0.005118204,0.001188778,-0.9999855,359.3832,-0.2199019,-0.9509538,0.2208729,0.1010839,0.0007536411,-0.007262796,0.1013472,0.8060942,0.3971091,-0.220321,-0.3794404,224.5981,0.8712497,0.4292068,-0.2381293,-0.0478671,1.096699,0.02290822,1.097982,-0.002819736,-0.03619308,0.1320589,0.9905769,15.74371,-0.02058835,-0.2642643,0.9642304,False
1773127194561,0.0415346,0.05199292,0.9284714,0.251858,0.9634287,0.5835967,0.3793266,0.002855569,-0.7179959,271.7785,0.838444,0.5449724,0.00410255,-0.0507938,0.9789766,0.30941,1.027964,-0.0713738,1.022337,0.2933624,1.065987,-0.04651333,1.043566,0.2974055,1.086114,-0.02054523,-0.08206808,0.1051651,0.1349702,-0.02521228,-0.06306961,0.1547369,0.168988,0.00557157,-0.04780339,0.1594788,0.1665824,0,0,0,0,0,0,0,0,0,1,0,0,-0.07973132,0.7375101,0.2159305,0.7725958,0.3083776,0.1581954,0.8820332,0.3192097,142.7697,0.3254012,0.1669284,0.9307249,-0.003263786,0.8225483,0.2790749,0.8686076,0.03035074,0.8088282,0.3024892,0.8640741,0.0353369,0.8074133,0.2696502,0.8519837,0.03982086,-0.07265706,0.109816,0.1375656,0.01974696,-0.06662078,0.1501922,0.165487,0.0002612712,-0.08441178,0.1271835,0.1526468,0,0,0,0,0,0,0,0,0,1,0,0,-0.05113391,0.9994034,0.3075306,1.046899,-0.001047516,-0.006704186,0.001272964,-0.9999762,359.2097,-0.1518865,-0.9720857,0.1845758,0.1011339,0.0005966425,-0.0075306,0.1014156,0.8057251,0.397615,-0.2216838,-0.3789005,224.5312,0.8706425,0.4296509,-0.239545,-0.04880394,1.0967,0.02267233,1.09802,-0.003185876,-0.0363555,0.1338915,0.9903238,15.95406,-0.02295695,-0.2619724,0.9648024,False
1773127194576,0.055534,0.05173326,0.9285594,0.251996,0.9635356,0.5837289,0.3782073,0.001980841,-0.7184817,271.8585,0.8392385,0.5437561,0.002847894,-0.0507775,0.9790863,0.3099522,1.028231,-0.07157981,1.022807,0.2935068,1.066492,-0.04645611,1.043741,0.2979221,1.086421,-0.02041435,-0.08212393,0.105106,0.1349383,-0.02530726,-0.06269419,0.1550856,0.169182,0.005788152,-0.04780919,0.1594426,0.1665568,0,0,0,0,0,0,0,0,0,1,0,0,-0.08003425,0.7375752,0.2159415,0.7726923,0.3082777,0.15834,0.8820252,0.3192569,142.764,0.3253013,0.1670838,0.9307321,-0.003575273,0.8226572,0.2790525,0.8687048,0.03010888,0.8088782,0.3026712,0.8641761,0.03505095,0.8074815,0.269714,0.8520567,0.03982912,-0.07267772,0.1098091,0.1375734,0.01975372,-0.06652424,0.150385,0.1656241,0.0002631934,-0.08437512,0.1272515,0.1526832,0,0,0,0,0,0,0,0,0,1,0,0,-0.05121576,0.9995221,0.3079577,1.047142,-0.0009060717,-0.008202634,0.001349446,-0.9999651,359.0422,-0.1084073,-0.9814077,0.1614551,0.1012158,0.0004778504,-0.007957667,0.1015292,0.8053683,0.3980918,-0.2229749,-0.3784006,224.4693,0.8700647,0.4300711,-0.2408868,-0.04956508,1.096503,0.0224496,1.097852,-0.00351014,-0.03635973,0.1357189,0.9900737,16.15917,-0.02497459,-0.2586989,0.9656374,False
1773127194590,0.0696707,0.05167829,0.9286426,0.2517498,0.9635485,0.5837712,0.3772675,0.001263827,-0.7189429,271.9346,0.839875,0.542777,0.001818276,-0.05058627,0.9791892,0.3100611,1.028352,-0.07136001,1.02251,0.2937506,1.066259,-0.04624679,1.043793,0.2980662,1.086502,-0.02028438,-0.08216495,0.1050614,0.134909,-0.02526419,-0.06291381,0.1546517,0.1688596,0.005956035,-0.04789118,0.1593322,0.1664806,0,0,0,0,0,0,0,0,0,1,0,0,-0.08036083,0.7376505,0.2159519,0.772801,0.3081636,0.158492,0.8820146,0.3193208,142.7563,0.3251883,0.167248,0.9307421,-0.003908545,0.8227755,0.2790279,0.8688104,0.02985501,0.8089291,0.3028883,0.8642911,0.0347475,0.8075545,0.2697912,0.8521379,0.03983529,-0.0726983,0.1098027,0.1375809,0.0197624,-0.06640813,0.1506137,0.1657862,0.0002643702,-0.08433071,0.1273339,0.1527274,0,0,0,0,0,0,0,0,0,1,0,0,-0.05112156,0.9996188,0.3079681,1.047232,-0.0008743618,-0.009470813,0.001399426,-0.9999538,358.8986,-0.09096729,-0.9853292,0.1455942,0.1011216,0.0003812313,-0.007968068,0.1014357,0.8050926,0.3985255,-0.2240267,-0.377909,224.4084,0.8695782,0.4304462,-0.2419705,-0.05023287,1.096301,0.02225387,1.097676,-0.003367512,-0.03649871,0.1371378,0.9898736,16.32155,-0.023723,-0.2571213,0.9660901,False
1773127194604,0.0831849,0.05156823,0.9287367,0.2515592,0.9635835,0.5838159,0.3763081,0.0005276501,-0.7194101,272.0116,0.8405242,0.5417737,0.0007596618,-0.05044671,0.979305,0.3102264,1.028505,-0.07115776,1.022161,0.294082,1.066002,-0.04609218,1.043835,0.298279,1.086594,-0.02015623,-0.0822027,0.1050187,0.1348795,-0.02520916,-0.06316281,0.1541438,0.1684795,0.006116975,-0.0479908,0.1592046,0.166393,0,0,0,0,0,0,0,0,0,1,0,0,-0.08063804,0.7378514,0.2159518,0.7730216,0.3079777,0.158484,0.8819984,0.3195486,142.7287,0.3250185,0.1672531,0.9308006,-0.004169583,0.8229647,0.2790418,0.8689951,0.02959336,0.8090934,0.3029999,0.8644748,0.03463513,0.8076383,0.2701138,0.8523149,0.03983077,-0.07270089,0.1098139,0.13759,0.01977364,-0.06636215,0.1506973,0.1658451,0.0002365335,-0.08419193,0.1276713,0.1529323,0,0,0,0,0,0,0,0,0,1,0,0,-0.05107892,0.9997265,0.3080386,1.047354,-0.00083698,-0.01076644,0.001447862,-0.9999407,358.752,-0.07685082,-0.988566,0.1329415,0.1010789,0.0002734661,-0.00803861,0.1013984,0.8048068,0.398969,-0.2251018,-0.3774108,224.3468,0.8690787,0.4308306,-0.2430784,-0.05091625,1.096113,0.02210165,1.097517,-0.003033452,-0.03645588,0.1385521,0.9896793,16.47771,-0.02116852,-0.2544023,0.9668667,False
1773127194621,0.1001967,0.05140625,0.9288412,0.2514212,0.9636395,0.583865,0.3752866,-0.0002597868,-0.7199039,272.0931,0.8412146,0.5407014,-0.0003742928,-0.05034866,0.9794336,0.3104565,1.028693,-0.0709858,1.021835,0.29446,1.065783,-0.04599735,1.043754,0.2986571,1.086616,-0.02002989,-0.0822375,0.1049775,0.1348499,-0.02515304,-0.06338095,0.1536383,0.1680909,0.006259289,-0.04823086,0.1589725,0.1662458,0,0,0,0,0,0,0,0,0,1,0,0,-0.0809267,0.7380706,0.2159501,0.7732605,0.307772,0.1584637,0.8819795,0.3198089,142.6973,0.3248315,0.1672472,0.9308668,-0.004440546,0.823167,0.2790592,0.8691937,0.02932344,0.8092672,0.3031285,0.8646734,0.03452914,0.8077228,0.2704725,0.8525044,0.03982656,-0.07270116,0.1098265,0.137599,0.01978684,-0.0663085,0.150794,0.1659131,0.0002051192,-0.08403604,0.128045,0.1531588,0,0,0,0,0,0,0,0,0,1,0,0,-0.05107778,0.9998457,0.3081776,1.047508,-0.0007927222,-0.01214667,0.001497382,-0.9999248,358.595,-0.06465594,-0.9907059,0.1221293,0.1010778,0.0001542568,-0.008177638,0.1014082,0.8044983,0.3994414,-0.2262477,-0.3768833,224.2815,0.8685441,0.4312408,-0.2442592,-0.05141322,1.09589,0.02205012,1.097317,-0.00274991,-0.03638943,0.1393452,0.9895712,16.5639,-0.01909071,-0.2526264,0.9673768,False
1773127194632,0.1111876,0.05122413,0.9288593,0.2513123,0.9636189,0.5841113,0.3747293,-0.0001014471,-0.7199945,272.108,0.8416834,0.5399715,-0.0001461817,-0.05021458,0.9796874,0.310546,1.028955,-0.07010284,1.019674,0.2954971,1.063939,-0.04605525,1.043093,0.2992062,1.086135,-0.01972986,-0.08221492,0.1049628,0.1347804,-0.02490127,-0.06467535,0.1510969,0.1662325,0.006216866,-0.04904561,0.1583148,0.1658545,0,0,0,0,0,0,0,0,0,1,0,0,-0.08124534,0.7381873,0.2159032,0.7733922,0.3074988,0.1583199,0.8820196,0.3200323,142.6702,0.324569,0.1671087,0.9309832,-0.004771523,0.8232698,0.2790587,0.8692927,0.02899114,0.8093345,0.3032262,0.8647595,0.03431471,0.8077296,0.2707095,0.8525774,0.0398353,-0.07270987,0.1098258,0.1376055,0.01980083,-0.06627052,0.1508648,0.165964,0.0001806718,-0.08393275,0.128285,0.1533029,0,0,0,0,0,0,0,0,0,1,0,0,-0.05114538,0.9999802,0.3081298,1.047626,-0.0007335451,-0.01248886,0.002030303,-0.9999197,358.5479,-0.05788792,-0.9855618,0.160222,0.1011454,1.978874E-05,-0.008129776,0.1014716,0.8046085,0.3991278,-0.2267499,-0.3766784,224.2562,0.8685849,0.4308635,-0.2447793,-0.05199023,1.095605,0.02192031,1.097057,-0.002436457,-0.0357054,0.13949,0.9895765,16.55964,-0.01691895,-0.2479412,0.9686294,False
1773127194646,0.1248915,0.05096913,0.9288834,0.2512408,0.96361,0.5843569,0.3741944,7.167459E-05,-0.7200733,272.1211,0.8421367,0.5392643,0.0001032927,-0.05014998,0.9799538,0.3106647,1.029241,-0.06947241,1.018363,0.29617,1.062829,-0.04614859,1.042366,0.2997594,1.085593,-0.01942238,-0.08218534,0.1049509,0.1347084,-0.02461405,-0.06541783,0.1493897,0.1649322,0.006156941,-0.04984116,0.1575681,0.1653776,0,0,0,0,0,0,0,0,0,1,0,0,-0.08156481,0.7383076,0.215853,0.7735266,0.3071199,0.1581047,0.8820771,0.3203442,142.6325,0.3242051,0.1669001,0.9311473,-0.005109064,0.8233645,0.2790773,0.8693902,0.02864481,0.8093877,0.3033542,0.8648426,0.03410359,0.8077149,0.2709913,0.8526446,0.03984597,-0.07271791,0.1098245,0.1376118,0.01981655,-0.066231,0.1509377,0.1660164,0.0001535648,-0.08382066,0.1285431,0.1534577,0,0,0,0,0,0,0,0,0,1,0,0,-0.05128939,1.00012,0.308113,1.047762,-0.0006735504,-0.01280186,0.002560535,-0.9999146,358.5023,-0.05153377,-0.9794787,0.1959082,0.1012894,-0.000120163,-0.008113027,0.1016139,0.8047236,0.3988051,-0.2272278,-0.3764863,224.2324,0.868636,0.4304788,-0.2452746,-0.05248637,1.095378,0.02178595,1.096851,-0.001830971,-0.03516535,0.1395713,0.9895858,16.55233,-0.01271998,-0.2442981,0.969619,False
1773127194659,0.1388383,0.05059732,0.9289175,0.2512127,0.9636159,0.5846549,0.3735652,0.0002962053,-0.7201581,272.1351,0.842673,0.5384259,0.0004269257,-0.05019176,0.9802521,0.3108268,1.029576,-0.0689829,1.017463,0.2967575,1.062099,-0.0462959,1.041651,0.3003131,1.085066,-0.01912389,-0.08215396,0.104941,0.1346388,-0.02426595,-0.06593701,0.1480345,0.1638619,0.006087537,-0.05058542,0.1567824,0.1648535,0,0,0,0,0,0,0,0,0,1,0,0,-0.0818859,0.7384315,0.2157998,0.773664,0.3065629,0.1577692,0.8821632,0.3208055,142.5767,0.3236705,0.1665735,0.9313919,-0.005456574,0.8234425,0.2791296,0.8694829,0.02827482,0.8094143,0.3035335,0.8649182,0.03389384,0.8076645,0.2713445,0.8527008,0.03985859,-0.07272522,0.1098226,0.1376179,0.019834,-0.06618985,0.1510127,0.1660702,0.0001234214,-0.08369741,0.128824,0.1536258,0,0,0,0,0,0,0,0,0,1,0,0,-0.05152956,1.000294,0.3081456,1.047949,-0.0005998258,-0.01315477,0.003202643,-0.9999082,358.4474,-0.04427002,-0.9708853,0.2363704,0.1015296,-0.0002943277,-0.008145571,0.1018562,0.8048682,0.3984039,-0.2277859,-0.3762647,224.205,0.8687076,0.430004,-0.2458531,-0.05298622,1.095224,0.02167285,1.096719,-0.001019974,-0.03486998,0.1400473,0.9895301,16.59659,-0.007067113,-0.2416044,0.9703491,False
