Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773127757746,0,1,1,135,0.5606267,-0.5779058,0.5930619,1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,0,0,0.1,0.5179515,-0.5339154,0.5479178,0.3826834,135,0.5606267,-0.5779059,0.593062
Grab,1773127759433,0,1,1,135,0.5606267,-0.5779058,0.5930619,1,-0.05200236,0.9939456,0.2976812,1.038868,0.1392448,0.0119134,-0.150716,0.9786489,23.72212,0.6774611,0.05796169,-0.7332714,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1020024,0.006054401,0.00231877,0.1022082,0.379664,-0.6814331,0.5133802,0.357694,138.0827,0.4065627,-0.7297117,0.5497525
Trial Start,1773127759437,0,1,1,135,0.5606267,-0.5779058,0.5930619,1,-0.05200236,0.9939456,0.2976812,1.038868,0.1392448,0.0119134,-0.150716,0.9786489,23.72212,0.6774611,0.05796169,-0.7332714,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1020024,0.006054401,0.00231877,0.1022082,0.379664,-0.6814331,0.5133802,0.357694,138.0827,0.4065627,-0.7297117,0.5497525
Release,1773127759461,0.0143168,1,1,135,0.5606267,-0.5779058,0.5930619,1,-0.05200236,0.9939456,0.2976812,1.038868,0.1392448,0.0119134,-0.150716,0.9786489,23.72212,0.6774611,0.05796169,-0.7332714,0.05332967,-0.07706729,0.1460019,0.1734934,0.3865749,0.7645512,0.2256466,0.4637944,124.7355,0.4363429,0.8629802,0.2546965,-0.01304373,0.1132808,-0.2993368,0.3203205,-0.4987707,-0.1332118,0.3517182,0.7808822,77.31719,-0.7984437,-0.2132486,0.5630387,0.1020024,0.006054401,0.00231877,0.1022082,0.379664,-0.6814331,0.5133802,0.357694,138.0827,0.4065627,-0.7297117,0.5497525
Grab,1773127763073,3.646576,1,1,135,0.5606267,-0.5779058,0.5930619,1,-0.05709783,0.9907232,0.29732,1.03595,0.2689704,-0.1041457,-0.3002281,0.9092149,49.20585,0.6460553,-0.2501535,-0.721135,0.130895,-0.05328955,0.02210855,0.1430456,0.5116408,0.8026589,0.1760327,0.2509483,150.9327,0.5285542,0.8291926,0.1818518,-0.0133949,0.07369594,-0.3140495,0.3228585,-0.3293201,-0.3095543,0.4771566,0.7536883,82.17823,-0.5010713,-0.470997,0.7260094,0.1070978,0.009276807,0.002680033,0.1075323,0.150639,-0.7484663,0.5234024,0.3783598,135.5358,0.1627371,-0.8085771,0.5654379
Release,1773127764169,4.742933,1,1,135,0.5606267,-0.5779058,0.5930619,1,0.02134237,1.054802,0.2567529,1.085811,-0.4293474,0.285495,-0.1914942,0.8351548,66.73608,-0.7806104,0.5190676,-0.3481618,0.1388262,-0.07821609,0.04407109,0.1653261,-0.1964987,0.8084658,0.530845,0.1611668,161.4507,-0.1991015,0.8191748,0.5378767,0.04345121,0.1043659,-0.4049993,0.4204815,-0.8673788,-0.3998178,0.05749539,0.290679,146.2028,-0.9065218,-0.4178607,0.06009004,0.02865764,-0.05480194,0.0432471,0.07546406,0.6510599,-0.4190938,0.6122405,-0.1601346,198.4294,0.6595716,-0.4245729,0.6202447
Grab,1773127765780,6.354243,1,1,135,0.5606267,-0.5779058,0.5930619,1,0.03699138,1.069699,0.2475251,1.098587,-0.5568223,0.2398991,-0.2907847,0.7401633,84.50934,-0.8280782,0.3567658,-0.4324404,0.126146,-0.06121095,0.013583,0.140869,0.2113758,0.3094684,0.7834346,0.4957619,120.56,0.2433919,0.3563422,0.902098,0.06010044,0.09971415,-0.4225615,0.4383072,-0.8229599,-0.5300351,-0.06372736,0.194265,157.5964,-0.8389425,-0.5403289,-0.064965,0.01300862,-0.06969881,0.05247495,0.08820866,0.572646,-0.3325095,0.6898671,-0.2925707,214.0238,0.5988492,-0.3477245,0.7214342
Release,1773127766517,7.09048,1,1,135,0.5606267,-0.5779058,0.5930619,1,0.0772326,1.04407,0.1993025,1.065725,-0.3334007,-0.206617,-0.5526571,0.7353391,85.32824,-0.4919596,-0.3048801,-0.81549,0.1185197,-0.06459722,0.05120702,0.1443672,0.2796367,0.5456733,0.3670441,0.6995161,91.22363,0.3913099,0.7635885,0.5136235,0.1211528,0.1222707,-0.424192,0.4577848,-0.4116313,-0.7868431,0.2173716,0.4052005,132.1926,-0.4502502,-0.860664,0.2377652,-0.0272326,-0.04407048,0.1006975,0.1132422,0.1001757,-0.4171133,0.8994235,-0.08377798,189.6115,0.1005291,-0.4185849,0.9025966
Grab,1773127767892,8.466249,1,1,135,0.5606267,-0.5779058,0.5930619,1,0.05951571,0.9952232,0.1899912,1.014942,-0.3644314,0.0652655,-0.8835605,0.2867946,146.6677,-0.3804116,0.06812738,-0.9223045,0.1099221,-0.07668561,0.01464685,0.1348261,-0.8545645,0.5153506,-0.05542278,-0.03258256,183.7343,-0.8550184,0.5156243,-0.05545221,0.1262787,0.1211887,-0.3717712,0.4109097,-0.214177,-0.8031414,-0.4140313,0.3710399,136.4405,-0.2306409,-0.864879,-0.4458579,-0.00951571,0.004776776,0.1100089,0.1105229,-0.1479789,-0.4360632,0.656035,-0.5979711,253.4494,-0.1846234,-0.5440468,0.8184909
Release,1773127768447,9.021146,1,1,135,0.5606267,-0.5779058,0.5930619,1,0.06448762,0.9850633,0.1925278,1.005771,-0.3422788,0.5686366,-0.7472854,0.03259239,176.2645,-0.3424608,0.5689389,-0.7476826,0.07704319,-0.0752599,0.02272008,0.1100723,-0.7026214,0.6075802,0.3703323,-0.004857273,180.5566,-0.7026297,0.6075873,0.3703367,0.1306922,0.1339009,-0.3628987,0.4082957,-0.3182063,-0.40472,-0.8050232,0.2947618,145.7135,-0.3330012,-0.4235374,-0.8424526,-0.01448762,0.01493675,0.1074723,0.1094682,0.06044469,-0.4345263,0.1920534,-0.8778661,302.772,0.1262141,-0.9073309,0.4010252
