Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Total Thumb Tip Translation,Total Index Tip Translation,Total Middle Tip Translation,Total Thumb Tip Translation_left,Total Index Tip Translation_left,Total Middle Tip Translation_left,Total Wrist Translation,Total Wrist Rotation,Total Wrist Translation_left,Total Wrist Rotation_left,Total Die Translation,Total Die Rotation,Total Die Local Translation,Total Die Local Rotation,Total Die Local Translation_left,Total Die Local Rotation_left,Total Head Translation,Total Head Rotation,Total Grabbed Time,Total Grabbed Time_left
1,1,135,0.5606267,-0.5779058,0.5930619,1,13.61725,False,-0.0004811808,-0.001511574,0.01140338,0.01151319,-0.0005207382,-0.04929803,-0.02257086,-0.998529,353.7837,-0.00960396,-0.909202,-0.4162736,0.2692609,0.3181398,0.3222285,0,0,0,0.7191651,283.4585,0,0,0.4749884,579.8056,0.2601964,517.4131,0,0,0.1508979,32.97023,5.845003,0
1,2,135,-0.1617865,0.7557155,0.6346016,1,8.380447,False,0.00177772,0.00266099,0.001724511,0.003635257,-0.02003328,-0.006813947,-0.0524743,0.9983982,6.487061,-0.3540694,-0.1204301,-0.927434,0.1144812,0.08913022,0.1119387,0,0,0,0.2859781,210.6079,0,0,0.2325612,333.3508,0.1092184,218.4865,0,0,0.04056223,9.234166,2.665559,0
1,3,135,-0.8906147,-0.4487423,0.07372773,1,16.82313,False,0.002490975,0.0002887845,0.005854368,0.006368829,0.007510616,0.04865917,0.02249273,0.998534,6.205858,0.1387517,0.8989334,0.4155325,0.2498045,0.2404929,0.290728,0,0,0,0.5148242,368.7452,0,0,0.4267337,637.3263,0.2213533,455.0102,0,0,0.08654384,18.71219,5.372852,0
1,4,135,-0.5013685,0.6444069,-0.5773814,0.9999999,12.04738,False,-0.002200153,0.002770841,0.004831582,0.005988524,-0.01028536,0.06884776,0.004813649,0.9975626,8.002501,-0.147401,0.986667,0.06898509,0.2024978,0.1752598,0.1959515,0,0,0,0.4834191,269.1321,0,0,0.3394207,435.7505,0.17515,319.8444,0,0,0.07485632,20.87626,5.65798,0
1,5,135,-0.6024662,-0.2272017,0.7651234,1,30.00401,True,-0.001490686,0.005931556,0.0003656447,0.006126924,-0.06793872,0.01448177,-0.03623527,0.9969262,8.987233,-0.8671421,0.1848394,-0.4624923,0.5199779,0.5816377,0.7874792,0,0,0,0.9140735,486.6868,0,0,0.7020145,1099.105,0.4848047,935.603,0,0,0.1847696,43.97292,11.04312,0
1,6,135,-0.7361231,-0.6579657,-0.1587569,0.9999999,16.06081,False,-0.00606982,-0.01633584,-0.002167165,0.0175613,0.01395625,-0.04541445,-0.04289597,0.9979494,7.34005,0.2180322,-0.7094895,-0.6701444,0.1227257,0.134807,0.1495235,0,0,0,0.3766218,142.9684,0,0,0.316216,291.0767,0.1296135,265.703,0,0,0.1343956,36.08336,4.068581,0
1,7,135,-0.6813173,0.3718537,-0.630501,1,9.102757,False,-0.003147598,0.004838586,0.007489383,0.009455694,-0.03055264,-0.0003606126,-0.04174661,0.998661,5.930747,-0.5905892,-0.00697072,-0.8069711,0.1466714,0.14997,0.1445904,0,0,0,0.2670112,208.5466,0,0,0.2376192,389.7077,0.1201507,265.1799,0,0,0.1119359,21.527,6.028236,0
1,8,135,-0.5737037,-0.1301968,0.8086488,1,7.256866,False,0.00413242,-0.001199722,8.46386E-05,0.004303881,0.03767449,0.0143252,0.03079159,0.9987129,5.814613,0.7427911,0.2824359,0.6070876,0.1713649,0.131893,0.1836439,0,0,0,0.3801712,246.7094,0,0,0.2491179,409.868,0.1283988,289.4514,0,0,0.08031832,12.52998,3.944604,0
1,9,135,0.08784897,0.9777584,0.1904496,1,6.006014,False,0.002270263,0.002948821,0.003641576,0.005206794,-0.02076623,-0.05384418,-0.001530823,0.9983323,6.619111,-0.3597107,-0.932684,-0.02651678,0.1135336,0.1183818,0.1140719,0,0,0,0.1760236,63.40459,0,0,0.1465346,149.2782,0.06850481,133.0007,0,0,0.03091264,8.411675,2.487044,0
1,10,135,0.6412921,0.1664796,-0.7490187,1,14.12827,False,0.0021546,-0.00116539,0.01117808,0.01144333,0.01905204,0.003818586,0.01540016,-0.9996926,357.1587,0.7684754,0.1540249,0.6211746,0.1759609,0.1620882,0.1968306,0,0,0,0.3336067,171.9265,0,0,0.2290994,385.0069,0.132623,300.517,0,0,0.04470383,12.77835,1.858164,0
