Timestamp,Trial Duration,Wrist World Position X,Wrist World Position Y,Wrist World Position Z,Wrist World Position Magnitude,Wrist World Rotation X,Wrist World Rotation Y,Wrist World Rotation Z,Wrist World Rotation W,Wrist World Rotation Angle,Wrist World Rotation Axis X,Wrist World Rotation Axis Y,Wrist World Rotation Axis Z,Wrist World Position_left X,Wrist World Position_left Y,Wrist World Position_left Z,Wrist World Position_left Magnitude,Wrist World Rotation_left X,Wrist World Rotation_left Y,Wrist World Rotation_left Z,Wrist World Rotation_left W,Wrist World Rotation_left Angle,Wrist World Rotation_left Axis X,Wrist World Rotation_left Axis Y,Wrist World Rotation_left Axis Z,Thumb Tip World Position X,Thumb Tip World Position Y,Thumb Tip World Position Z,Thumb Tip World Position Magnitude,Index Tip World Position X,Index Tip World Position Y,Index Tip World Position Z,Index Tip World Position Magnitude,Middle Tip World Position X,Middle Tip World Position Y,Middle Tip World Position Z,Middle Tip World Position Magnitude,Thumb Tip World Position_left X,Thumb Tip World Position_left Y,Thumb Tip World Position_left Z,Thumb Tip World Position_left Magnitude,Index Tip World Position_left X,Index Tip World Position_left Y,Index Tip World Position_left Z,Index Tip World Position_left Magnitude,Middle Tip World Position_left X,Middle Tip World Position_left Y,Middle Tip World Position_left Z,Middle Tip World Position_left Magnitude,Thumb Tip Local Position X,Thumb Tip Local Position Y,Thumb Tip Local Position Z,Thumb Tip Local Position Magnitude,Index Tip Local Position X,Index Tip Local Position Y,Index Tip Local Position Z,Index Tip Local Position Magnitude,Middle Tip Local Position X,Middle Tip Local Position Y,Middle Tip Local Position Z,Middle Tip Local Position Magnitude,Thumb Tip Local Position_left X,Thumb Tip Local Position_left Y,Thumb Tip Local Position_left Z,Thumb Tip Local Position_left Magnitude,Index Tip Local Position_left X,Index Tip Local Position_left Y,Index Tip Local Position_left Z,Index Tip Local Position_left Magnitude,Middle Tip Local Position_left X,Middle Tip Local Position_left Y,Middle Tip Local Position_left Z,Middle Tip Local Position_left Magnitude,Thumb Tip Euro Position X,Thumb Tip Euro Position Y,Thumb Tip Euro Position Z,Thumb Tip Euro Position Magnitude,Index Tip Euro Position X,Index Tip Euro Position Y,Index Tip Euro Position Z,Index Tip Euro Position Magnitude,Middle Tip Euro Position X,Middle Tip Euro Position Y,Middle Tip Euro Position Z,Middle Tip Euro Position Magnitude,Thumb Tip Euro Position_left X,Thumb Tip Euro Position_left Y,Thumb Tip Euro Position_left Z,Thumb Tip Euro Position_left Magnitude,Index Tip Euro Position_left X,Index Tip Euro Position_left Y,Index Tip Euro Position_left Z,Index Tip Euro Position_left Magnitude,Middle Tip Euro Position_left X,Middle Tip Euro Position_left Y,Middle Tip Euro Position_left Z,Middle Tip Euro Position_left Magnitude,Triangle Local Position X,Triangle Local Position Y,Triangle Local Position Z,Triangle Local Position Magnitude,Triangle Local Rotation X,Triangle Local Rotation Y,Triangle Local Rotation Z,Triangle Local Rotation W,Triangle Local Rotation Angle,Triangle Local Rotation Axis X,Triangle Local Rotation Axis Y,Triangle Local Rotation Axis Z,Triangle Local Position_left X,Triangle Local Position_left Y,Triangle Local Position_left Z,Triangle Local Position_left Magnitude,Triangle Local Rotation_left X,Triangle Local Rotation_left Y,Triangle Local Rotation_left Z,Triangle Local Rotation_left W,Triangle Local Rotation_left Angle,Triangle Local Rotation_left Axis X,Triangle Local Rotation_left Axis Y,Triangle Local Rotation_left Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is Grabbed,Is Grabbed_right,Is Grabbed_left,Is On Target
1773128138803,0.0136537,0.08885879,0.8930275,0.2262716,0.925523,-0.6616897,-0.4837,-0.5715611,0.03897442,175.5327,-0.6621928,-0.4840678,-0.5719957,-0.2334276,0.7359453,0.2055672,0.7989755,0.5592991,0.190749,-0.5523977,0.5879253,107.9802,0.6914186,0.2358084,-0.6828871,0.03164157,0.9890705,0.271678,1.026192,0.05387823,1.020658,0.2959134,1.064054,0.0322179,1.008444,0.303125,1.05351,-0.2154438,0.7631279,0.314882,0.8531886,-0.2423401,0.8172162,0.3554806,0.9235461,-0.2185806,0.7765793,0.3471,0.8782547,0.1001972,-0.06722021,0.001335736,0.1206641,0.1355579,-0.05655587,0.02808474,0.1495435,0.1366377,-0.06130907,0.00265649,0.1497856,-0.09822152,0.05795981,0.002285309,0.1140703,-0.1645299,0.0401345,-0.02185307,0.1707584,-0.1322168,0.0664783,0.00155583,0.1479969,0.1002204,-0.06730535,0.001395251,0.1207314,0.1353596,-0.05671407,0.02810952,0.1494284,0.1368834,-0.06143861,0.002695704,0.1500634,-0.09804022,0.05799234,0.00211278,0.1139274,-0.1646515,0.03998217,-0.02191838,0.1708482,-0.1320771,0.06656647,0.001470523,0.1479108,0.1182408,-0.06286312,0.01002399,0.1342875,-0.1206963,0.6840546,-0.01148959,0.7192842,88.00917,-0.1737347,0.9846537,-0.01653854,-0.1365198,0.04942613,-0.01056632,0.1455756,0.4089686,0.5847154,-0.2491469,-0.6548118,261.8108,0.5411127,0.773646,-0.3296501,-0.05005818,1.000329,0.3007392,1.045757,-0.007804384,-0.001576358,0.0007386738,0.9999681,0.9151362,-0.9772524,-0.1973889,0.09249554,0.1210527,-0.05341975,0.01148023,0.1328128,0.1103666,-0.008129706,0.6234283,-0.7740092,281.4306,0.1743068,-0.0128396,0.9846078,-0.09931511,0.2171027,-0.3135433,0.3940894,-0.5973449,0.7600045,0.1627171,0.1977257,157.192,-0.6093755,0.7753111,0.1659943,0.1000582,-0.0003292561,-0.0007392168,0.1000615,-0.2052363,-0.6388013,0.6332385,0.3857723,134.6166,-0.2224556,-0.6923969,0.6863673,-0.002664195,1.125618,-0.02687348,1.125942,-0.02755838,0.00254084,-0.02457654,0.9993148,4.242344,-0.7445618,0.06864746,-0.6639996,False,False,False,False
1773128138816,0.0290673,0.07816112,0.8706768,0.2288432,0.9036351,-0.4224239,-0.848459,0.1379944,0.2874596,146.5881,-0.4410389,-0.8858482,0.1440754,-0.2329635,0.7401473,0.2040291,0.8023203,0.5552692,0.2042212,-0.5453285,0.5937902,107.1471,0.6901012,0.2538107,-0.6777467,-0.02684042,0.9166912,0.2911849,0.9622016,-0.05017899,0.987617,0.2768669,1.026918,-0.01187697,0.919165,0.2925912,0.9646838,-0.2147071,0.7669548,0.3110731,0.8550352,-0.2440405,0.8186363,0.3535858,0.9245237,-0.2180572,0.779903,0.3455449,0.8804538,0.1099516,-0.06883503,0.01419638,0.1304958,0.1722568,-0.0339706,0.04032487,0.1801458,0.1052928,-0.05847028,0.004053928,0.1205064,-0.09619397,0.05704136,0.001829654,0.1118497,-0.1634396,0.03903051,-0.02036023,0.1692644,-0.1319579,0.06642812,0.001963049,0.1477479,0.1009892,-0.06742621,0.002406674,0.1214533,0.1382748,-0.0549171,0.02907466,0.1515954,0.1343874,-0.06120408,0.002803018,0.1476949,-0.09789435,0.0579172,0.00209041,0.1137632,-0.1645558,0.03990698,-0.02179527,0.1707226,-0.1320677,0.06655554,0.001509437,0.1478979,0.1199706,-0.06185917,0.01220602,0.1355304,-0.1361681,0.689656,-0.00764283,0.7111782,89.33828,-0.1936926,0.9810022,-0.01087155,-0.1363276,0.04939074,-0.0104686,0.1453763,0.4093036,0.5837042,-0.2496244,-0.6553226,261.8882,0.5418735,0.7727609,-0.3304755,-0.05002846,1.000401,0.3010212,1.045906,-0.01277631,-0.003930338,0.001432492,0.9999096,1.540496,-0.9503878,-0.2923649,0.1065584,0.1911816,-0.03759002,0.02134446,0.1960077,0.4205762,0.8487437,-0.1318219,0.2921866,146.0222,0.4397669,0.8874717,-0.1378369,-0.132652,0.1471618,-0.2669245,0.3324182,-0.5591769,-0.2089965,0.5450312,0.5887129,107.8686,-0.6917575,-0.2585495,0.6742579,0.1000285,-0.0004014969,-0.001021206,0.1000345,-0.2043548,-0.6348804,0.63565,0.3887353,134.2483,-0.2217994,-0.6890766,0.689912,-0.002606705,1.125598,-0.02673301,1.125919,-0.0276465,0.002682546,-0.02480049,0.9993065,4.267917,-0.742466,0.07204165,-0.6660346,False,False,False,False
1773128138831,0.0475303,0.07809725,0.8711346,0.228817,0.9040641,-0.4190003,-0.847388,0.1397901,0.2946714,145.7243,-0.4384689,-0.8867614,0.1462854,-0.2329804,0.7401467,0.204018,0.8023219,0.5550295,0.2044495,-0.5449889,0.5942475,107.082,0.6900927,0.2542012,-0.6776088,-0.02621331,0.9164643,0.292886,0.9624844,-0.04999504,0.9874706,0.2789948,1.027344,-0.0111317,0.9190238,0.2941557,0.9650162,-0.214711,0.7670525,0.311082,0.855127,-0.2440737,0.8186992,0.3535339,0.9245684,-0.2181297,0.7799982,0.3455603,0.8805621,0.1099844,-0.06883641,0.01432793,0.1305385,0.1722481,-0.03374431,0.040638,0.1801653,0.1053311,-0.0584228,0.004055522,0.1205169,-0.09621698,0.05709169,0.00179226,0.1118945,-0.1634114,0.03909914,-0.02040927,0.1692589,-0.1320023,0.06644122,0.001958579,0.1477934,0.1017835,-0.06755073,0.003459266,0.1222086,0.1412745,-0.05304764,0.03009565,0.1538775,0.1318219,-0.0609585,0.002913608,0.1452633,-0.09774625,0.05784431,0.002064085,0.1135982,-0.1644547,0.03983565,-0.02167289,0.1705929,-0.1320619,0.06654544,0.001549095,0.1478886,0.122634,-0.06049662,0.01469553,0.1375314,-0.1491833,0.6975775,0.003748947,0.7007966,91.0181,-0.2091273,0.9778743,0.005255328,-0.1361278,0.04935991,-0.01037124,0.1451714,0.4095329,0.582714,-0.2500846,-0.6558848,261.9735,0.5425276,0.7719488,-0.3312989,-0.0501763,1.000814,0.3019447,1.046574,-0.02420609,-0.003806666,-0.0009820962,0.9996993,2.810277,-0.9871475,-0.1552395,-0.04005082,0.1909314,-0.03653756,0.0234478,0.195805,0.4158621,0.847339,-0.1301757,0.3035288,144.6606,0.436453,0.8892939,-0.1366212,-0.1327816,0.1477033,-0.2667704,0.3325863,-0.5607225,-0.2129345,0.5453602,0.5855183,108.3208,-0.6916869,-0.2626683,0.6727366,0.1001763,-0.0008138418,-0.001944691,0.1001985,-0.2014148,-0.6271031,0.6438303,0.3894309,134.1618,-0.2186781,-0.6808525,0.6990134,-0.00254546,1.125582,-0.02660202,1.125899,-0.02746232,0.002707002,-0.02514069,0.999303,4.278726,-0.7356562,0.07251473,-0.6734647,False,False,False,False
1773128138844,0.0635051,0.07798577,0.872421,0.2288127,0.905293,-0.4158539,-0.8462712,0.1416391,0.3013784,144.9192,-0.436132,-0.8875375,0.1485458,-0.2330355,0.7401471,0.2039998,0.8023336,0.5548319,0.2046374,-0.5446894,0.5946417,107.0258,0.6900973,0.254527,-0.6774821,-0.02573507,0.9172689,0.2943246,0.963676,-0.05027771,0.9875026,0.2811116,1.027965,-0.01028726,0.9197494,0.2954503,0.966093,-0.2147033,0.7671044,0.3111322,0.85519,-0.2441609,0.8187399,0.3534806,0.924607,-0.2182275,0.7801338,0.3455563,0.8807049,0.1101003,-0.06873821,0.01463366,0.1306184,0.1719428,-0.03431371,0.04109406,0.1800847,0.1052009,-0.05821308,0.004085071,0.1203025,-0.09624839,0.05721165,0.001784459,0.1119826,-0.1633858,0.03914874,-0.02043392,0.1692486,-0.1320524,0.06644534,0.001901716,0.1478393,0.102648,-0.06767416,0.00462082,0.1230356,0.1444624,-0.05110029,0.03123891,0.1563857,0.1290547,-0.06067313,0.003035379,0.1426378,-0.09759054,0.05777855,0.002035018,0.1134302,-0.1643436,0.03976425,-0.0215441,0.1704528,-0.1320609,0.06653503,0.001585749,0.1478835,0.1262675,-0.05871103,0.01753925,0.1403499,-0.1583997,0.7098436,0.02717845,0.6857792,93.40618,-0.2176388,0.9753147,0.03734279,-0.1359111,0.04933422,-0.01026905,0.1449522,0.4096948,0.5817782,-0.2506574,-0.6563957,262.0511,0.5430616,0.7711629,-0.3322532,-0.05042087,1.001464,0.3033107,1.047602,-0.03997109,-0.002727907,-0.005397315,0.9991826,4.633608,-0.9887716,-0.0674807,-0.1335143,0.1905731,-0.03629415,0.02496316,0.1955979,0.4070634,0.8487064,-0.1229906,0.3144363,143.3464,0.4288135,0.8940542,-0.1295622,-0.1336621,0.14828,-0.2666935,0.3331335,-0.5667846,-0.2205691,0.5411002,0.5807885,108.988,-0.6962488,-0.2709513,0.6646976,0.1004209,-0.001464128,-0.00331071,0.1004861,-0.1974403,-0.6163523,0.6555746,0.3890364,134.2109,-0.2143242,-0.6690591,0.7116355,-0.002506538,1.125574,-0.02646392,1.125887,-0.02751114,0.002567519,-0.02502735,0.9993049,4.272867,-0.7379749,0.06887263,-0.6713482,False,False,False,False
1773128138858,0.0761751,0.07757127,0.8738328,0.2289784,0.9066598,-0.4129397,-0.8451244,0.1435238,0.3076469,144.1651,-0.4339879,-0.8882017,0.1508394,-0.2330582,0.7400603,0.2040054,0.8022615,0.5546964,0.2047569,-0.5443956,0.5949959,106.9753,0.6901535,0.2547587,-0.6773373,-0.02549179,0.9182386,0.2958833,0.9650694,-0.05071254,0.9877015,0.2835299,1.028842,-0.009922909,0.9206718,0.2969705,0.9674329,-0.214715,0.7670513,0.3111506,0.855152,-0.2442945,0.8186656,0.3534691,0.9245721,-0.2183072,0.7801199,0.3455508,0.8807102,0.110181,-0.0686309,0.01483544,0.1306528,0.1716842,-0.03495986,0.04124378,0.1799964,0.1052184,-0.05817602,0.004085563,0.1202998,-0.09623886,0.05727097,0.001783773,0.1120047,-0.1633874,0.03914744,-0.0204073,0.1692467,-0.1320561,0.06644611,0.001884863,0.1478427,0.1033351,-0.06776143,0.005552566,0.1236955,0.1469455,-0.04962801,0.03215152,0.1583971,0.1268804,-0.06044535,0.003131174,0.1405777,-0.09746724,0.05773225,0.002012101,0.1133002,-0.1642564,0.03970798,-0.0214404,0.1703425,-0.1320605,0.06652692,0.001613033,0.1478797,0.1295201,-0.05712687,0.01980531,0.1429377,-0.1621127,0.7229028,0.05411967,0.669479,95.94627,-0.2182363,0.9731727,0.07285596,-0.13574,0.04931576,-0.01018807,0.1447798,0.4098051,0.5810763,-0.251174,-0.656751,262.1051,0.5434306,0.7705483,-0.3330745,-0.05040511,1.001707,0.3038921,1.048002,-0.0475595,-0.003391679,-0.004142002,0.9988541,5.486335,-0.9937413,-0.0708681,-0.08654588,0.1903098,-0.03610453,0.02599413,0.1954407,0.3953523,0.8515599,-0.1124128,0.3254318,142.0165,0.418112,0.9005826,-0.1188842,-0.135069,0.1488148,-0.2667592,0.3339909,-0.5754354,-0.2309666,0.534068,0.5747174,109.8403,-0.7031636,-0.2822338,0.652614,0.1004051,-0.001707077,-0.003892124,0.100495,-0.1940768,-0.6113755,0.659638,0.3917039,133.8789,-0.2109321,-0.6644726,0.7169267,-0.002550364,1.125582,-0.02633208,1.125893,-0.02735931,0.002551914,-0.02542308,0.9992991,4.290602,-0.7308677,0.068171,-0.6791439,False,False,False,False
1773128138872,0.0884037,0.07732417,0.8745551,0.2290666,0.9073573,-0.4101246,-0.8439187,0.1454858,0.3137404,143.4304,-0.4319334,-0.888795,0.1532221,-0.2330668,0.7399991,0.204013,0.8022096,0.5546389,0.2047925,-0.5441264,0.5952833,106.9343,0.6902649,0.2548705,-0.6771818,-0.02504327,0.9185132,0.2973789,0.9657784,-0.05060836,0.9878018,0.2856608,1.029522,-0.009419234,0.9209513,0.2984033,0.9681346,-0.2147335,0.7670361,0.3111821,0.8551545,-0.2444057,0.8186233,0.3534564,0.9245592,-0.2183125,0.7800629,0.3455052,0.8806431,0.1102419,-0.06856085,0.01497003,0.1306827,0.1716556,-0.03498425,0.04129059,0.1799846,0.1052802,-0.05817235,0.004081279,0.120352,-0.0962493,0.05731724,0.001769215,0.1120372,-0.1633859,0.03914907,-0.02039833,0.1692444,-0.1319741,0.0664992,0.00187847,0.1477932,0.1038444,-0.06782038,0.00624699,0.1241865,0.1487676,-0.04854821,0.03282542,0.1598944,0.1252877,-0.06027774,0.003201233,0.1390707,-0.09737743,0.05770165,0.001994191,0.113207,-0.1641922,0.03966677,-0.02136356,0.1702614,-0.1320541,0.06652488,0.001632606,0.1478733,0.1320684,-0.05586927,0.02145404,0.1449955,-0.1633775,0.7346493,0.07843908,0.6537932,98.34358,-0.2159155,0.9708937,0.1036631,-0.1356187,0.04930262,-0.01013065,0.1446576,0.4099342,0.5805225,-0.2515723,-0.6570076,262.1441,0.5437629,0.7700423,-0.3337016,-0.05038006,1.001979,0.3044687,1.048428,-0.05413974,-0.003300867,-0.002061275,0.9985259,6.222869,-0.9974465,-0.06081371,-0.03797601,0.1899343,-0.03539187,0.02745222,0.1951442,0.3907443,0.8505055,-0.1078732,0.3351459,140.8372,0.4147297,0.9027128,-0.1144949,-0.1355474,0.1492441,-0.2668057,0.3344132,-0.579621,-0.2347526,0.5331786,0.569782,110.53,-0.70531,-0.285658,0.6487968,0.1003801,-0.001978993,-0.004468679,0.100499,-0.190093,-0.6074931,0.6628931,0.394195,133.5685,-0.2068416,-0.6610177,0.7212989,-0.002594995,1.125566,-0.02619122,1.125874,-0.02711199,0.002232103,-0.02574284,0.9992984,4.292791,-0.7238914,0.05959725,-0.687335,False,False,False,False
1773128138887,0.1023939,0.07716942,0.875393,0.2291056,0.9081616,-0.4082644,-0.8430641,0.1468125,0.3178196,142.9378,-0.43059,-0.8891664,0.1548408,-0.2330679,0.739941,0.2040478,0.8021651,0.5546781,0.2047429,-0.5439256,0.5954474,106.9109,0.6904182,0.2548473,-0.6770344,-0.02478175,0.9191102,0.2982499,0.9666079,-0.05061433,0.9879841,0.2871993,1.030125,-0.009007351,0.9214705,0.299289,0.9688978,-0.2147618,0.7669902,0.3112273,0.8551368,-0.2444168,0.8185415,0.3534854,0.9245008,-0.2183537,0.7800221,0.3455505,0.880635,0.1103073,-0.06846844,0.01518346,0.1307141,0.1715517,-0.03529223,0.04128926,0.1799453,0.1052555,-0.05813684,0.004083052,0.1203133,-0.09624425,0.05734218,0.001767382,0.1120455,-0.1633521,0.03922582,-0.02039193,0.1692289,-0.131971,0.06652925,0.001873195,0.1478039,0.1043056,-0.06786662,0.006884627,0.1246312,0.1503933,-0.04760237,0.03342933,0.1612502,0.1238583,-0.06012498,0.003264152,0.1377191,-0.09729658,0.057676,0.001978007,0.1131241,-0.1641323,0.03963531,-0.02129424,0.1701875,-0.1320482,0.06652519,0.001649773,0.1478684,0.1344249,-0.05469989,0.02290335,0.1469241,-0.163523,0.7470561,0.1036125,0.6359497,101.0191,-0.2118914,0.9680271,0.1342599,-0.1355074,0.04929493,-0.01007872,0.144547,0.4100471,0.5800325,-0.2519176,-0.6572375,262.179,0.5440575,0.769597,-0.3342486,-0.05032857,1.00325,0.3064305,1.050211,-0.05927561,0.01291401,0.00592963,0.9981405,6.989264,-0.9724483,0.2118612,0.09727877,0.189567,-0.03518305,0.02826688,0.1948653,0.3882335,0.8495622,-0.1029555,0.3419347,140.0104,0.4131357,0.9040552,-0.1095593,-0.1360266,0.1495457,-0.2669381,0.3348479,-0.5838803,-0.2369979,0.5326425,0.5649848,111.1975,-0.7076468,-0.2872349,0.645548,0.1003286,-0.003249645,-0.006430447,0.1005869,-0.1727034,-0.6118802,0.6662692,0.3896941,134.1291,-0.1875286,-0.6644051,0.7234631,-0.002624095,1.125549,-0.02606724,1.125854,-0.02720667,0.002008238,-0.02545853,0.9993036,4.276896,-0.7291198,0.05381938,-0.6822708,False,False,False,False
1773128138900,0.1170678,0.07669947,0.8764966,0.2295717,0.9093031,-0.4070929,-0.8424854,0.1476763,0.3204456,142.6203,-0.4297552,-0.8893854,0.1558972,-0.2330382,0.7399155,0.2041945,0.8021703,0.554813,0.2046059,-0.5437407,0.5955375,106.8981,0.6906436,0.254698,-0.6768606,-0.02525187,0.9201885,0.2989115,0.9678495,-0.05085383,0.9891214,0.2883026,1.031536,-0.009062918,0.9223699,0.3002456,0.9700494,-0.2147525,0.7670184,0.3114135,0.8552276,-0.2443826,0.8185659,0.3536001,0.9245572,-0.2183963,0.7800511,0.3457346,0.8807435,0.1104293,-0.0683235,0.01575836,0.1308093,0.171643,-0.03497559,0.04145977,0.1800098,0.1051936,-0.05806783,0.004095197,0.1202262,-0.09627708,0.05738135,0.00171686,0.112093,-0.1633208,0.03928848,-0.02047728,0.1692235,-0.1320144,0.06654078,0.001833349,0.1478474,0.1048004,-0.06790353,0.007601628,0.1251071,0.1521103,-0.04658212,0.0340782,0.1626922,0.1223502,-0.05995876,0.003331301,0.1362928,-0.09721421,0.05765219,0.001956907,0.1130407,-0.1640667,0.03960728,-0.02122823,0.1701095,-0.1320455,0.06652645,0.001664606,0.1478667,0.1369611,-0.05340644,0.02440352,0.1490172,-0.1636196,0.76252,0.13276,0.6116917,104.5762,-0.2068264,0.9638776,0.1678178,-0.1353887,0.04929128,-0.0100291,0.144431,0.4100901,0.5795619,-0.2522465,-0.6574997,262.2189,0.5442796,0.7692059,-0.3347865,-0.05037073,1.003583,0.3071518,1.050742,-0.06896808,0.01168766,0.004662656,0.9975395,8.040195,-0.9837658,0.1667137,0.06650847,0.1900363,-0.03507614,0.02766932,0.1952171,0.394244,0.8513967,-0.09030551,0.3339762,140.9794,0.4182599,0.9032606,-0.09580659,-0.1379831,0.1501278,-0.2675858,0.3364221,-0.5973173,-0.2254754,0.526968,0.5609613,111.7554,-0.7215354,-0.2723653,0.6365563,0.1003707,-0.003583193,-0.007151812,0.100689,-0.1704568,-0.6046656,0.6723651,0.3914706,133.9079,-0.1852407,-0.6571091,0.7306803,-0.002656977,1.125549,-0.02592051,1.125851,-0.02725281,0.001595397,-0.02549513,0.9993021,4.281286,-0.729607,0.04271168,-0.6825508,False,False,False,False
1773128138913,0.1300841,0.07663343,0.876901,0.2295979,0.909694,-0.4061512,-0.8419694,0.1484132,0.3226489,142.3536,-0.4291,-0.8895433,0.156799,-0.2330287,0.7399253,0.2042525,0.8021913,0.5550518,0.2043743,-0.5435556,0.5955637,106.8943,0.6909576,0.2544158,-0.6766465,-0.02502803,0.9204896,0.2994186,0.9682866,-0.05085522,0.9890545,0.2891247,1.031702,-0.00890399,0.9226626,0.3008242,0.9705054,-0.214816,0.767037,0.3114915,0.8552887,-0.2444573,0.8186094,0.3536432,0.9246319,-0.2184243,0.7800333,0.3457648,0.8807465,0.1104592,-0.06825444,0.0158133,0.130805,0.1714966,-0.03525081,0.04149104,0.1799311,0.1053004,-0.05813019,0.004084341,0.1203493,-0.09628719,0.05738332,0.001699351,0.1121024,-0.1633224,0.03929111,-0.02052729,0.1692317,-0.1319517,0.06658195,0.001810566,0.1478096,0.1052781,-0.06793316,0.008294823,0.1255675,0.1537468,-0.04562557,0.03470396,0.1640857,0.1209109,-0.0598044,0.00339487,0.1349353,-0.09713595,0.05762949,0.001935165,0.1129615,-0.1640039,0.03958059,-0.02116906,0.1700354,-0.1320376,0.06653114,0.001676927,0.1478618,0.1393907,-0.05215634,0.02578147,0.1510455,-0.1640041,0.7791436,0.1625636,0.5827616,108.71,-0.2018156,0.958777,0.200043,-0.1352793,0.04928721,-0.009986036,0.144324,0.4101924,0.5790742,-0.2525401,-0.6577529,262.2574,0.5445751,0.7687842,-0.3352745,-0.05037093,1.003867,0.3077679,1.051193,-0.07755516,0.01134959,0.00520449,0.9969099,9.010827,-0.9872928,0.1444826,0.06625421,0.1902221,-0.03510051,0.02786654,0.1954304,0.3885598,0.8520108,-0.08372766,0.3407179,140.1588,0.4132887,0.9062348,-0.08905628,-0.1385595,0.1502746,-0.2677435,0.3368497,-0.6020668,-0.2318106,0.5244125,0.5556718,112.486,-0.7241586,-0.278819,0.6307569,0.1003709,-0.003867269,-0.007767886,0.1007453,-0.1669034,-0.5988432,0.6772233,0.3935718,133.6461,-0.1815561,-0.6514165,0.7366776,-0.002735909,1.125554,-0.02577632,1.125853,-0.02721846,0.001499208,-0.02563516,0.9992996,4.28896,-0.7273837,0.04006469,-0.6850716,False,False,False,False
1773128138927,0.1442301,0.07652599,0.877312,0.2296763,0.910101,-0.4054171,-0.8412945,0.1492803,0.3249246,142.078,-0.4286771,-0.8895622,0.157845,-0.2330066,0.7399089,0.2043289,0.8021892,0.5552919,0.204074,-0.5433915,0.5955926,106.8902,0.6912749,0.2540488,-0.6764603,-0.02484727,0.9208338,0.2999996,0.9687889,-0.05080773,0.9891267,0.290047,1.032027,-0.008639881,0.9229171,0.301351,0.9709084,-0.214848,0.7670517,0.3116086,0.8553525,-0.2445395,0.818621,0.3537054,0.9246878,-0.2184971,0.7800187,0.3459112,0.8808091,0.1104892,-0.0682333,0.01588703,0.1308283,0.1714088,-0.03550228,0.04146863,0.1798918,0.1052304,-0.05813954,0.0040842,0.1202926,-0.09631463,0.05741165,0.00166706,0.11214,-0.1633288,0.03928488,-0.02055101,0.1692393,-0.1319989,0.06661719,0.001820311,0.1478677,0.105672,-0.06795585,0.0088688,0.1259493,0.155082,-0.04486024,0.03521537,0.1652362,0.1197255,-0.05967854,0.003446984,0.1338193,-0.09707386,0.05761302,0.001914896,0.1128993,-0.1639528,0.03955824,-0.02112233,0.1699751,-0.1320346,0.06653764,0.001687767,0.1478623,0.1413596,-0.05113683,0.02685767,0.1527051,-0.1651135,0.7940172,0.1880608,0.5539922,112.7173,-0.1983294,0.9537495,0.2258929,-0.1351906,0.04928521,-0.00995223,0.1442379,0.4102418,0.5786614,-0.2527706,-0.6579967,262.2945,0.5447947,0.7684535,-0.3356755,-0.05045263,1.004733,0.3095579,1.052549,-0.1009533,0.008413031,0.002684396,0.994852,11.6325,-0.9962,0.08301922,0.02648943,0.1902364,-0.0351286,0.02816867,0.1954926,0.3850375,0.85185,-0.07727993,0.3465913,139.4421,0.4104806,0.9081399,-0.08238655,-0.1390314,0.1503838,-0.2679262,0.337238,-0.6069966,-0.2359365,0.5226828,0.5501744,113.242,-0.7268987,-0.2825418,0.6259301,0.1004526,-0.004732847,-0.009557933,0.1010173,-0.1609919,-0.5811567,0.6913562,0.3979513,133.0997,-0.1754859,-0.6334777,0.7535985,-0.002860269,1.125522,-0.02562951,1.125817,-0.02715874,0.001154983,-0.02562142,0.9993021,4.281469,-0.7270578,0.03091968,-0.6859025,False,False,False,False
