Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773128535504,0,1,1,135,0.6877316,0.09421687,0.7198253,0.9999999,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.6353812,0.08704504,0.6650319,0.3826833,135,0.6877317,0.09421688,0.7198254
Grab,1773128541799,5.374884,1,1,135,0.6877316,0.09421687,0.7198253,0.9999999,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.6353812,0.08704504,0.6650319,0.3826833,135,0.6877317,0.09421688,0.7198254
Trial Start,1773128541826,0,1,1,135,0.6877316,0.09421687,0.7198253,0.9999999,-1,-0.05003942,1.000063,0.3001309,1.045327,0.0005455581,-0.002287833,-8.05671E-05,0.9999973,0.265408,0.2355481,-0.9877865,-0.03478536,0.1000394,-6.318092E-05,-0.000130862,0.1000395,0.6336562,0.08750632,0.666562,0.3827762,134.9885,0.685893,0.0947201,0.7215115
Release,1773128542062,0.2247134,1,1,135,0.6877316,0.09421687,0.7198253,0.9999999,0,-0.05890658,0.9908531,0.2923763,1.034768,0.2459104,-0.09629816,-0.0738757,0.9616637,31.83244,0.8967258,-0.3511565,-0.2693918,0.1089066,0.009146869,0.007623702,0.1095556,0.4593064,-0.08991773,0.7503994,0.4667476,124.3532,0.5193479,-0.101672,0.8484932
Grab,1773128542450,0.613795,1,1,135,0.6877316,0.09421687,0.7198253,0.9999999,0,-0.05890658,0.9908531,0.2923763,1.034768,0.2459104,-0.09629816,-0.0738757,0.9616637,31.83244,0.8967258,-0.3511565,-0.2693918,0.1089066,0.009146869,0.007623702,0.1095556,0.4593064,-0.08991773,0.7503994,0.4667476,124.3532,0.5193479,-0.101672,0.8484932
Clutch Start,1773128543145,1.308388,1,1,135,0.6877316,0.09421687,0.7198253,0.9999999,0,-0.04129376,0.979839,0.2774555,1.019201,0.7610447,-0.4963534,0.1238963,0.3988657,132.9854,0.8299204,-0.5412741,0.1351091,0.09129376,0.02016097,0.0225445,0.09617312,-0.3786828,-0.2027322,0.5994642,0.6753826,95.03226,-0.5134908,-0.2749032,0.8128686
Clutch End,1773128544019,2.183274,1,1,135,0.6877316,0.09421687,0.7198253,0.9999999,0,-0.02105203,0.9571854,0.2765461,0.9965565,0.764378,-0.3422121,0.1946663,0.5106098,118.5911,0.8890054,-0.3980078,0.2264056,0.07105203,0.04281461,0.02345395,0.08620656,-0.2126096,-0.2092434,0.5490467,0.7807447,77.34238,-0.3402568,-0.3348697,0.8786853
Release,1773128544019,2.183274,1,1,135,0.6877316,0.09421687,0.7198253,0.9999999,0,-0.02105203,0.9571854,0.2765461,0.9965565,0.764378,-0.3422121,0.1946663,0.5106098,118.5911,0.8890054,-0.3980078,0.2264056,0.07105203,0.04281461,0.02345395,0.08620656,-0.2126096,-0.2092434,0.5490467,0.7807447,77.34238,-0.3402568,-0.3348697,0.8786853
Grab,1773128547631,5.794823,1,1,135,0.6877316,0.09421687,0.7198253,0.9999999,0,-0.02105203,0.9571854,0.2765461,0.9965565,0.764378,-0.3422121,0.1946663,0.5106098,118.5911,0.8890054,-0.3980078,0.2264056,0.07105203,0.04281461,0.02345395,0.08620656,-0.2126096,-0.2092434,0.5490467,0.7807447,77.34238,-0.3402568,-0.3348697,0.8786853
Clutch Start,1773128548131,6.294391,1,1,135,0.6877316,0.09421687,0.7198253,0.9999999,0,-0.02527091,0.9493482,0.2806548,0.9902867,0.7686477,-0.3583362,0.1767242,0.4995443,120.0603,0.8872885,-0.4136454,0.2040016,0.07527091,0.05065179,0.01934516,0.0927661,-0.2304356,-0.2182758,0.5591705,0.7658874,80.02799,-0.3583898,-0.339478,0.8696616
Clutch End,1773128550117,8.280476,1,1,135,0.6877316,0.09421687,0.7198253,0.9999999,0,0.04824811,1.005589,0.2736196,1.043266,0.7194483,-0.1461723,0.4776229,0.4826016,122.2891,0.821438,-0.1668938,0.5453312,0.001751889,-0.005589008,0.02638039,0.02702279,-0.1074688,-0.07703765,0.2936667,0.9467183,37.57543,-0.333689,-0.2392007,0.9118306
Release,1773128550117,8.280476,1,1,135,0.6877316,0.09421687,0.7198253,0.9999999,0,0.04824811,1.005589,0.2736196,1.043266,0.7194483,-0.1461723,0.4776229,0.4826016,122.2891,0.821438,-0.1668938,0.5453312,0.001751889,-0.005589008,0.02638039,0.02702279,-0.1074688,-0.07703765,0.2936667,0.9467183,37.57543,-0.333689,-0.2392007,0.9118306
Grab,1773128552158,10.32221,1,1,135,0.6877316,0.09421687,0.7198253,0.9999999,0,0.04824811,1.005589,0.2736196,1.043266,0.7194483,-0.1461723,0.4776229,0.4826016,122.2891,0.821438,-0.1668938,0.5453312,0.001751889,-0.005589008,0.02638039,0.02702279,-0.1074688,-0.07703765,0.2936667,0.9467183,37.57543,-0.333689,-0.2392007,0.9118306
Release,1773128552284,10.44756,1,1,135,0.6877316,0.09421687,0.7198253,0.9999999,0,0.0468296,1.005732,0.2718432,1.042875,0.7205018,-0.1405382,0.4832475,0.4770725,123.0112,0.8198103,-0.1599089,0.5498547,0.003170405,-0.005732059,0.02815682,0.02890872,-0.1081278,-0.0768019,0.2843491,0.9495028,36.57178,-0.3446209,-0.2447801,0.9062667
Grab,1773128552950,11.1142,1,1,135,0.6877316,0.09421687,0.7198253,0.9999999,0,0.0468296,1.005732,0.2718432,1.042875,0.7205018,-0.1405382,0.4832475,0.4770725,123.0112,0.8198103,-0.1599089,0.5498547,0.003170405,-0.005732059,0.02815682,0.02890872,-0.1081278,-0.0768019,0.2843491,0.9495028,36.57178,-0.3446209,-0.2447801,0.9062667
Clutch Start,1773128553312,11.47491,1,1,135,0.6877316,0.09421687,0.7198253,0.9999999,0,0.04776522,1.003562,0.2660216,1.039319,0.6478399,-0.2281779,0.5827006,0.4343943,128.5065,0.7192445,-0.2533275,0.6469256,0.002234779,-0.003561616,0.0339784,0.03423757,-0.1743784,0.06453457,0.2672674,0.9455134,38.00181,-0.5355878,0.1982123,0.8208885
On Target,1773128554201,12.3776,1,1,135,0.6877316,0.09421687,0.7198253,0.9999999,-1,0.05193109,0.9915259,0.2917596,1.034864,0.6628988,0.0237476,0.6709401,0.331422,141.2898,0.7026085,0.02517015,0.7111315,-0.00193109,0.008474112,0.008240402,0.01197681,-0.08571012,0.005214694,0.00626189,0.9962867,9.878153,-0.995512,0.060568,0.07273105
Trial End,1773128555200,13.37733,1,2,135,0.6877316,0.09421687,0.7198253,0.9999999,-1,0.05049047,0.9955934,0.2922951,1.038842,0.6697099,0.05932049,0.6611905,0.3328617,141.1149,0.7102091,0.06290777,0.7011744,-0.000490468,0.004406631,0.007704914,0.008889581,-0.06289611,-0.01899748,-0.01105914,0.9977779,7.640473,-0.9440142,-0.2851351,-0.1659877
Trial Load,1773128555202,13.37733,1,2,135,-0.9218783,0.2419371,0.3026664,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.8517045,0.2235207,0.2796273,0.3826833,135,-0.9218783,0.2419371,0.3026664
Grab,1773128561338,19.50175,1,2,135,-0.9218783,0.2419371,0.3026664,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.8517045,0.2235207,0.2796273,0.3826833,135,-0.9218783,0.2419371,0.3026664
Trial Start,1773128561393,0,1,2,135,-0.9218783,0.2419371,0.3026664,1,-1,-0.05031461,0.9994456,0.3000164,1.044717,0.0002549345,0.0004750091,0.001184728,0.9999992,0.1480375,0.1973375,0.3676909,0.9170643,0.1003146,0.0005544424,-1.642108E-05,0.1003161,-0.8519334,0.2222584,0.2796353,0.3829033,134.9727,-0.922217,0.2405945,0.3027048
Clutch Start,1773128561478,0.0836226,1,2,135,-0.9218783,0.2419371,0.3026664,1,0,-0.05045735,0.9981774,0.2992076,1.043278,0.001543881,-0.0003706574,0.005125387,0.9999856,0.6142098,0.2880383,-0.06915269,0.9562316,0.1004573,0.001822591,0.0007923841,0.100477,-0.8535324,0.2188623,0.2776913,0.3827133,134.9963,-0.9238691,0.236898,0.3005749
Clutch End,1773128565895,4.500144,1,2,135,-0.9218783,0.2419371,0.3026664,1,0,0.05284993,0.9972067,0.2953484,1.041367,-0.7685741,0.3205754,0.381573,0.4011576,132.6989,-0.8390464,0.3499697,0.4165603,-0.002849933,0.002793312,0.004651606,0.006128797,-0.04319509,-0.1430849,0.06739627,0.9864679,18.87309,-0.2634565,-0.8727071,0.4110649
Release,1773128565895,4.500144,1,2,135,-0.9218783,0.2419371,0.3026664,1,0,0.05284993,0.9972067,0.2953484,1.041367,-0.7685741,0.3205754,0.381573,0.4011576,132.6989,-0.8390464,0.3499697,0.4165603,-0.002849933,0.002793312,0.004651606,0.006128797,-0.04319509,-0.1430849,0.06739627,0.9864679,18.87309,-0.2634565,-0.8727071,0.4110649
Grab,1773128567782,6.38823,1,2,135,-0.9218783,0.2419371,0.3026664,1,0,0.05284993,0.9972067,0.2953484,1.041367,-0.7685741,0.3205754,0.381573,0.4011576,132.6989,-0.8390464,0.3499697,0.4165603,-0.002849933,0.002793312,0.004651606,0.006128797,-0.04319509,-0.1430849,0.06739627,0.9864679,18.87309,-0.2634565,-0.8727071,0.4110649
