Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,0.6877316,0.09421687,0.7198253,0.9999999,13.37733,False,-0.000490468,0.004406631,0.007704914,0.008889581,-0.06289611,-0.01899748,-0.01105914,0.9977779,7.640473,-0.9440142,-0.2851351,-0.1659877,0.1787528,0.196369,0.2400557,0.4032815,339.9256,0.2413348,415.1375,0,0,0,0,0,0,0,0.4166884,434.0427,0.2120564,49.35895
1,3,135,-0.9218783,0.2419371,0.3026664,1,8.040887,False,0.0008025654,0.004131436,0.003214091,0.005295589,-0.01371087,-0.01862723,-0.01380177,0.9996373,3.086899,-0.5090307,-0.6915557,-0.5124055,0.09460728,0.101467,0.1438605,0.2721129,248.6527,0.1068036,169.3154,0,0,0,0,0,0,0,0.2800535,256.628,0.09180213,20.76255
1,4,135,-0.9984084,0.02777624,-0.04908192,1,19.16454,False,-0.002269991,0.002378106,0.0005372763,0.003331203,0.03797818,-0.02631557,-0.02953777,0.9984953,6.287092,0.692556,-0.4798809,-0.5386398,0.1548359,0.1420506,0.3147171,0.3714576,256.5165,0.2457533,544.5416,0,0,0,0,0,0,0,0.407203,467.6575,0.2297687,54.50911
1,5,135,0.3376883,0.9140034,-0.2248653,1,25.48341,False,0.0003645271,0.001351476,0.003482938,0.003753694,-0.0742598,-0.02314942,0.0199399,0.9967709,9.211452,-0.9247966,-0.2882921,0.2483221,0.4044023,0.4023944,0.3966868,0.9567423,780.2145,0.6003335,698.3569,0,0,0,0,0,0,0,1.037942,1031.651,0.5745727,152.2015
1,6,135,0.03815283,0.6916091,-0.7212636,1,5.179434,False,-0.0003353246,0.00357151,0.001795352,0.004011411,0.02945882,0.04013446,0.02520624,0.9984419,6.397841,0.5279115,0.7192226,0.4517039,0.04690218,0.08355211,0.1182016,0.2162306,79.29404,0.1199769,163.3072,0,0,0,0,0,0,0,0.2421244,215.5486,0.06539112,13.91117
1,7,135,-0.5500548,-0.4744581,0.6872621,1,13.83092,False,-0.001098264,-0.00388813,0.00765264,0.008653707,-0.0362336,0.01862335,0.02722514,0.9987988,5.617075,-0.7394806,0.3800783,0.5556296,0.3114263,0.3158605,0.3902207,0.648159,500.7638,0.294275,572.9813,0,0,0,0,0,0,0,0.6614748,752.7001,0.2116087,53.4025
1,8,135,-0.7121864,-0.5676,-0.4130627,1,30.01161,True,0.002995655,0.0208143,0.01444936,0.02551456,-0.03910643,-0.08461242,0.1682498,-0.9813274,337.8207,-0.2033143,-0.4398999,0.8747308,0.3381216,0.5222704,0.6269062,1.122153,893.9541,0.6575009,1450.909,0,0,0,0,0,0,0,1.135022,1388.913,1.017178,232.6631
1,9,135,-0.3624294,0.2205568,-0.9055383,1,3.138971,False,1.609325E-06,-0.003169298,0.003827393,0.004969244,-0.04881842,-0.02823891,0.006681747,0.998386,6.5114,-0.859601,-0.4972343,0.117653,0.04582124,0.04288694,0.04424803,0.2527003,110.173,0.04320041,124.0658,0,0,0,0,0,0,0,0.1792527,197.1011,0.04809145,11.42732
1,10,135,-0.2624175,-0.08505501,-0.9611986,1,10.34611,False,0.0003201552,0.003436983,0.006835103,0.007657283,-0.02407465,0.01463791,0.04207468,0.9987172,5.805179,-0.475428,0.2890704,0.8308938,0.1257956,0.1993223,0.1217607,0.4161512,311.1779,0.1210993,146.3906,0,0,0,0,0,0,0,0.3791492,338.5765,0.1391363,28.59973
1,11,135,-0.19709,-0.8730896,-0.4459485,1,14.6094,False,-0.001334969,0.001885116,0.007019937,0.007390218,0.03069684,0.001279647,0.02285031,0.9992667,4.38856,0.801734,0.03342157,0.5967998,0.2256443,0.2128869,0.2341996,0.534157,431.7961,0.2992928,679.0723,0,0,0,0,0,0,0,0.5651293,696.8289,0.2383174,59.65248
2,2,135,-0.3014328,-0.4598868,-0.8352499,1,11.08279,False,0.0005967282,0.002935648,0.004953206,0.005788641,0.002821214,-0.02650607,-0.01405095,-0.999546,356.5469,0.09363363,-0.8797131,-0.4663388,0.1321504,0.1188042,0.2292244,0.3797639,332.349,0.1880357,604.0665,0,0,0,0,0,0,0,0.3631133,560.5596,0.2479132,48.8957
2,3,135,-0.9572361,0.2889074,0.01522195,1,10.30437,False,-0.0004414283,-0.0003266335,0.0006388724,0.0008424406,-0.003591361,0.02494507,-0.01040138,0.9996283,3.124454,-0.1317303,0.9149798,-0.3815202,0.2571884,0.2879657,0.3190782,0.4987435,623.1448,0.237853,680.7644,0,0,0,0,0,0,0,0.54511,947.0892,0.2051513,36.23058
2,4,135,-0.7589114,0.3277612,-0.5626953,0.9999999,6.833045,False,-0.00104988,0.0009631515,0.005948156,0.00611641,-0.04729405,0.01574922,-0.02378065,0.9984738,6.331897,-0.8563396,0.2851666,-0.4305893,0.1471327,0.1852195,0.1692255,0.4015487,332.614,0.1513976,598.6731,0,0,0,0,0,0,0,0.4251676,705.3585,0.09087437,22.68368
2,5,135,0.1089995,0.4828518,-0.868892,1,4.22169,False,0.003245126,0.0009021759,-0.000732094,0.003446843,0.01838556,-0.0165181,0.01561569,0.9995726,3.350293,0.6289378,-0.5650554,0.5341853,0.04602213,0.1094057,0.1061464,0.1767984,136.4617,0.06503703,157.5216,0,0,0,0,0,0,0,0.2218197,266.8291,0.04917903,10.78525
2,6,135,-0.4872557,0.3035937,-0.8187873,1,3.847102,False,-0.0003448613,0.002873242,0.006090552,0.00674309,0.04682004,0.006905862,-0.03536915,0.9982531,6.774293,0.7924516,0.116885,-0.5986398,0.04191962,0.0696599,0.1064979,0.1543519,78.30943,0.07178373,200.5191,0,0,0,0,0,0,0,0.2094472,253.0888,0.02949031,5.479414
2,7,135,-0.1247859,-0.9561694,0.2648933,1,13.99812,False,-0.003925193,0.002349377,0.001618475,0.00485244,0.005126164,0.003863658,-0.03509741,-0.9993634,355.9108,0.1436821,0.1082951,-0.9837512,0.2324893,0.3418058,0.456346,0.8096159,753.6872,0.5058451,749.5638,0,0,0,0,0,0,0,0.9465262,1038.808,0.2681292,65.09338
2,8,135,0.4790914,-0.8764602,-0.04784286,1,15.51272,False,0.001531977,-0.001405716,0.0008400679,0.002242478,0.03872428,0.06248352,-0.0005106743,0.9972945,8.431408,0.5267787,0.8499833,-0.006946865,0.3785465,0.3975034,0.3815217,0.9479612,984.3574,0.3221394,1071.23,0,0,0,0,0,0,0,1.151333,1453.29,0.3296912,91.01317
2,9,135,-0.7793653,0.4793102,-0.4035486,1,29.16385,False,0.0009657927,0.0003754497,0.005330145,0.005429932,0.006532645,0.0426011,0.001853392,0.9990692,4.944703,0.1514396,0.9875776,0.04296529,0.4279408,0.5750224,0.5724084,1.323807,955.7473,0.6594491,1422.252,0,0,0,0,0,0,0,1.266942,1541.431,0.9527472,210.2123
2,10,135,0.9971535,0.0742003,-0.01338899,1,10.11021,False,0.0001970492,0.0006687045,0.006922066,0.006957083,0.007274497,-0.01150168,0.002925052,0.9999031,1.594916,0.5226624,-0.8263793,0.2101609,0.161954,0.2490638,0.320649,0.5102674,341.6378,0.2579846,607.7671,0,0,0,0,0,0,0,0.4949427,597.4493,0.2241627,56.57072
2,11,135,-0.5834227,-0.7923373,0.1783804,1,9.860172,False,0.0009558871,0.0008303523,0.006735206,0.006853189,-0.01469372,-0.04578792,0.02026621,0.9986376,5.982409,-0.281582,-0.8774534,0.3883699,0.1501296,0.2337092,0.3076738,0.3941762,372.4807,0.2586864,325.6165,0,0,0,0,0,0,0,0.4532981,516.7116,0.1758735,36.92471
3,2,135,0.8463178,-0.4633603,-0.2627612,1,3.499968,False,0.004476871,0.006775618,0.006108314,0.01016183,-0.02937988,-0.002783606,0.007409567,0.9995371,3.486993,-0.9656599,-0.09149175,0.2435382,0.03533429,0.06894636,0.06468061,0.1470649,116.3562,0.04127552,78.3619,0,0,0,0,0,0,0,0.1976294,172.6332,0.03850301,9.088822
3,3,135,0.6000591,-0.1709457,0.7814772,1,15.09538,False,0.001128305,-0.003620148,0.003615916,0.005239598,0.07737194,0.01395939,0.002336201,0.9969019,9.022557,0.9836832,0.1774754,0.02970174,0.3445908,0.4656427,0.4039986,1.033584,663.7888,0.4114665,711.2883,0,0,0,0,0,0,0,0.934411,877.1794,0.3833287,94.54256
3,4,135,0.0720015,0.6301615,0.7731185,1,15.54038,False,0.004712589,0.003774762,0.004459977,0.007506579,0.05173708,-0.02023201,0.01719984,-0.9983076,353.3323,0.8896616,-0.3479061,0.2957654,0.2765799,0.3637197,0.5084121,0.9256705,719.827,0.3946106,511.9456,0,0,0,0,0,0,0,0.9965335,1016.362,0.4141676,91.66818
3,5,135,-0.1352752,-0.6755559,-0.724793,1,9.846457,False,-0.0001597963,0.001585484,0.002756,0.003183524,-0.03258827,0.03931182,0.02394194,0.9984084,6.466022,-0.5778369,0.697055,0.4245249,0.2155782,0.2468503,0.2802655,0.4617201,392.7389,0.2768142,422.9548,0,0,0,0,0,0,0,0.6088018,676.1869,0.1110091,36.93267
3,6,135,-0.2969312,0.1350605,-0.9452991,1,9.679851,False,-0.002968248,0.003209352,0.006500632,0.007833814,0.0002194066,-0.0779762,0.01736332,0.996804,9.164037,0.002746489,-0.9760906,0.2173507,0.2240519,0.2203027,0.2120285,0.4429861,326.4262,0.248617,524.3411,0,0,0,0,0,0,0,0.4738676,556.6395,0.1654246,45.67194
3,7,135,0.7616675,-0.3987331,-0.5107586,1,3.958385,False,0.0002756007,0.00488466,0.008692682,0.009974898,0.009961799,0.05291635,0.03514279,0.9979308,7.373267,0.1549283,0.8229675,0.5465491,0.09333115,0.09005368,0.1105664,0.3332131,243.5753,0.08419257,55.15469,0,0,0,0,0,0,0,0.3048116,289.231,0.05730929,13.35162
3,8,135,-0.5147713,-0.8244427,-0.2351693,1,12.6935,False,-0.0009205453,-0.002528071,0.009706259,0.01007224,-0.03886076,0.04273494,0.02925433,0.9979017,7.424607,-0.6001983,0.6600343,0.4518285,0.1889408,0.1885493,0.1827427,0.4522664,278.4671,0.2733221,379.9549,0,0,0,0,0,0,0,0.5171688,413.5847,0.3402002,71.13165
3,9,135,0.3744668,0.6670212,-0.6440942,1,12.22112,False,-0.002337042,-0.0008218288,0.008729845,0.009074545,-0.02613756,-0.005056365,0.0068627,0.999622,3.150651,-0.9507477,-0.1839242,0.2496292,0.2680433,0.3211435,0.3283625,0.5475451,325.7527,0.368277,523.2494,0,0,0,0,0,0,0,0.5382456,544.5052,0.2977284,61.7468
3,10,135,0.7373732,-0.6012272,0.3079068,1,11.33284,False,-0.004220996,0.003047109,0.009958684,0.01123731,0.0123497,-0.002868686,0.01801643,0.9997573,2.524451,0.5606314,-0.1302279,0.8178805,0.245936,0.2769958,0.3636523,0.6765365,409.5113,0.271713,321.3829,0,0,0,0,0,0,0,0.7078041,526.6834,0.2070149,44.15641
3,11,135,0.02430551,-0.7139427,-0.6997821,1,6.429071,False,0.001332212,-0.0009684563,0.004291415,0.004596623,-0.03708487,-0.05117707,0.02115564,0.9977766,7.642831,-0.5564388,-0.7678847,0.3174291,0.07663992,0.1471936,0.1552589,0.322399,223.9583,0.1247408,406.229,0,0,0,0,0,0,0,0.3627548,497.1565,0.09142376,22.3311
