Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Thumb Tip Euro Position X,Right Thumb Tip Euro Position Y,Right Thumb Tip Euro Position Z,Right Thumb Tip Euro Position Magnitude,Right Index Tip Euro Position X,Right Index Tip Euro Position Y,Right Index Tip Euro Position Z,Right Index Tip Euro Position Magnitude,Right Middle Tip Euro Position X,Right Middle Tip Euro Position Y,Right Middle Tip Euro Position Z,Right Middle Tip Euro Position Magnitude,Right Triangle Local Position X,Right Triangle Local Position Y,Right Triangle Local Position Z,Right Triangle Local Position Magnitude,Right Triangle Local Rotation X,Right Triangle Local Rotation Y,Right Triangle Local Rotation Z,Right Triangle Local Rotation W,Right Triangle Local Rotation Angle,Right Triangle Local Rotation Axis X,Right Triangle Local Rotation Axis Y,Right Triangle Local Rotation Axis Z,Right Triangle Area,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Right Angle Scale Factor,Right Is Grabbed,Right Is Rotating,Right Is Clutching,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Thumb Tip Euro Position X,Left Thumb Tip Euro Position Y,Left Thumb Tip Euro Position Z,Left Thumb Tip Euro Position Magnitude,Left Index Tip Euro Position X,Left Index Tip Euro Position Y,Left Index Tip Euro Position Z,Left Index Tip Euro Position Magnitude,Left Middle Tip Euro Position X,Left Middle Tip Euro Position Y,Left Middle Tip Euro Position Z,Left Middle Tip Euro Position Magnitude,Left Triangle Local Position X,Left Triangle Local Position Y,Left Triangle Local Position Z,Left Triangle Local Position Magnitude,Left Triangle Local Rotation X,Left Triangle Local Rotation Y,Left Triangle Local Rotation Z,Left Triangle Local Rotation W,Left Triangle Local Rotation Angle,Left Triangle Local Rotation Axis X,Left Triangle Local Rotation Axis Y,Left Triangle Local Rotation Axis Z,Left Triangle Area,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Left Angle Scale Factor,Left Is Grabbed,Left Is Rotating,Left Is Clutching,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773128968620,0.0139339,0.06557279,0.9213744,0.2458335,0.9558581,-0.6066844,-0.4140745,-0.02772796,0.6780174,94.62218,-0.8253694,-0.5633315,-0.03772276,-0.03743445,0.9802036,0.2913842,1.023282,-0.0564329,1.012151,0.2759389,1.050607,-0.03718651,1.02034,0.2861956,1.06037,-0.01376491,-0.08068555,0.1058525,0.1338072,-0.02092223,-0.06965713,0.1461472,0.1632448,0.0028005,-0.06508756,0.1418882,0.1561297,-0.01508938,-0.08116628,0.1056221,0.1340585,-0.02214945,-0.06805479,0.149107,0.1653933,0.002933876,-0.06447317,0.1439892,0.1577919,-0.01257487,-0.07415166,0.1249276,0.1458201,-0.1771324,0.2180467,0.06221402,0.9577104,33.44465,-0.6156121,0.757807,0.2162208,5.672979,-0.006565508,-0.08518529,0.1230582,0.1498097,0.6052091,0.4219351,0.03487887,0.6741487,95.22386,0.819405,0.5712667,0.04722322,1.297312,True,True,False,-0.1566174,0.7492374,0.2484005,0.8047288,0.1882345,-0.01338446,-0.6441569,-0.7412493,275.6759,0.2804322,-0.01994021,-0.9596666,-0.1282155,0.8325191,0.3441899,0.9099417,-0.131412,0.8109038,0.398782,0.91316,-0.1046918,0.776634,0.384097,0.8727264,0.06192153,-0.04641615,0.1130114,0.1369682,0.02464655,-0.06049513,0.1604097,0.1732005,-0.0008000562,-0.08704038,0.1290894,0.1556944,0.06205295,-0.04637206,0.1129614,0.1369716,0.02460266,-0.06049166,0.160407,0.1731905,-0.0007765882,-0.08712343,0.1287539,0.1554627,0.03332585,-0.06288987,0.1280895,0.1465356,-0.619963,-0.1116896,0.7161933,-0.3003974,214.963,-0.649983,-0.1170979,0.7508731,15.03669,0,0,0,0,0,0,0,0,0,1,0,0,0.374773,False,True,False,-0.05000003,1,0.3,1.045227,-0.0002910669,0.004343716,0.000769224,0.9999903,0.5051284,-0.06603041,0.9854001,0.1745034,0.1,0,0,0.1,0.6830118,-0.5565115,0.2813742,0.3802875,135.297,0.7384961,-0.6017196,0.3042316,-0.005926982,1.122538,0.000590665,1.122554,-0.03305478,0.04334844,0.01608312,0.9983835,6.516449,-0.5815817,0.7626931,0.2829741,False
1773128968634,0.0278979,0.0652755,0.9210572,0.24591,0.9555516,-0.6076162,-0.4128801,-0.02814713,0.6778941,94.64141,-0.8265094,-0.5616197,-0.03828711,-0.03736792,0.9803414,0.2915814,1.023467,-0.05602469,1.011482,0.2764856,1.050086,-0.03690653,1.01974,0.2863395,1.059822,-0.01355708,-0.08062617,0.1058719,0.1337656,-0.02071412,-0.06998053,0.1452354,0.1625413,0.00271706,-0.06515689,0.1411971,0.1555295,-0.01476196,-0.08105329,0.1056742,0.1339947,-0.02184599,-0.06846348,0.1482863,0.1647826,0.00288859,-0.06461866,0.1433943,0.1573081,-0.01229994,-0.07419138,0.1246902,0.1456136,-0.1764101,0.2182286,0.06705091,0.9574759,33.53798,-0.6114446,0.7563891,0.2324011,5.487578,-0.006304435,-0.08522296,0.1228328,0.1496349,0.6045406,0.4251459,0.03775215,0.6725747,95.46782,0.8169144,0.5744987,0.0510144,0.9470115,True,True,False,-0.156592,0.7493612,0.2483784,0.8048323,0.1881094,-0.01329699,-0.6443096,-0.7411499,275.6589,0.2802001,-0.01980666,-0.9597374,-0.1281931,0.8325866,0.3442181,0.910011,-0.1313905,0.8110057,0.3987684,0.9132414,-0.1046959,0.7767594,0.384122,0.8728494,0.06187473,-0.04644947,0.1130238,0.1369687,0.0246573,-0.06049877,0.1604055,0.1731993,-0.0008004621,-0.08701908,0.1291458,0.1557293,0.06201573,-0.04638819,0.1129744,0.1369709,0.02461406,-0.06049314,0.1604067,0.1731923,-0.0007815682,-0.08710165,0.1288364,0.1555189,0.03331837,-0.06288663,0.128113,0.146553,-0.6195706,-0.1116374,0.7165549,-0.300364,214.9589,-0.6495645,-0.1170419,0.7512438,15.00906,0,0,0,0,0,0,0,0,0,1,0,0,0.3730791,False,True,False,-0.0496903,1.00004,0.3003232,1.045343,-0.001396297,0.01131079,-0.0004240954,0.999935,1.306241,-0.1224925,0.9922583,-0.03720448,0.0996903,-3.98159E-05,-0.000323236,0.09969083,0.6847162,-0.5596455,0.2776828,0.375304,135.9138,0.7387149,-0.6037808,0.2995817,-0.006179806,1.122419,0.0005953922,1.122436,-0.03269171,0.04305231,0.01632371,0.9984044,6.474252,-0.5789391,0.7624155,0.2890773,False
1773128968648,0.041782,0.06485955,0.9208797,0.2460066,0.9553772,-0.6083205,-0.4110378,-0.029477,0.6783254,94.57416,-0.8279154,-0.5594165,-0.04011777,-0.03737539,0.9806698,0.2919009,1.023873,-0.05526751,1.010441,0.2775072,1.049312,-0.03658891,1.019076,0.286908,1.059326,-0.01344135,-0.08060265,0.1058886,0.133753,-0.02045496,-0.07054352,0.143534,0.1612352,0.002593058,-0.06550297,0.140224,0.1547906,-0.01448125,-0.08095944,0.1057188,0.1339425,-0.02155317,-0.06890319,0.14728,0.1640231,0.002827173,-0.06480584,0.142721,0.1567708,-0.01203253,-0.07424679,0.1244043,0.1453747,-0.1758365,0.2188929,0.0711033,0.9571373,33.67217,-0.6070977,0.7557554,0.2454931,5.285465,-0.006050532,-0.08527562,0.1225612,0.1494315,0.6038823,0.4285238,0.04005441,0.6708871,95.72887,0.8143408,0.5778683,0.05401374,1.075449,True,True,False,-0.1565596,0.749462,0.2484279,0.8049352,0.188121,-0.01339492,-0.6445166,-0.7409652,275.6274,0.2801322,-0.01994647,-0.9597543,-0.1281724,0.8326775,0.3442785,0.9101141,-0.1313668,0.8111635,0.3988015,0.9133927,-0.1046701,0.7769269,0.3841837,0.8730226,0.06182287,-0.04647383,0.1130412,0.1369679,0.0246682,-0.06048848,0.1604135,0.1732047,-0.000800066,-0.08700404,0.1291831,0.1557518,0.06197563,-0.04640596,0.1129883,0.1369702,0.0246253,-0.06049217,0.1604081,0.1731949,-0.000785409,-0.08708137,0.1289091,0.1555678,0.0333062,-0.06288593,0.1281371,0.146571,-0.6192269,-0.111593,0.7168707,-0.3003358,214.9556,-0.649198,-0.1169942,0.7515679,14.98362,0,0,0,0,0,0,0,0,0,1,0,0,0.3707956,False,True,False,-0.04943953,1.000019,0.3006461,1.045405,-0.002473267,0.01643391,-0.002061847,0.9998598,1.918808,-0.1477057,0.9814478,-0.1231353,0.09943953,-1.93119E-05,-0.0006460845,0.09944163,0.6856247,-0.5623736,0.2753963,0.3712299,136.417,0.7383893,-0.605653,0.2965904,-0.006402826,1.122416,0.0006299217,1.122434,-0.03245296,0.04296605,0.01664881,0.9984105,6.461782,-0.5758153,0.7623498,0.2954012,False
1773128968662,0.0554272,0.06438314,0.9206825,0.2461268,0.9551858,-0.6091205,-0.4089093,-0.0310106,0.6788253,94.49617,-0.8295256,-0.5568697,-0.04223153,-0.03738989,0.9810377,0.2922741,1.024333,-0.05460776,1.009787,0.2784145,1.048888,-0.03625481,1.018472,0.2875099,1.058896,-0.013327,-0.08058174,0.105903,0.1337403,-0.02020735,-0.07092705,0.142203,0.1601895,0.002468844,-0.0658221,0.1392669,0.1540582,-0.01423942,-0.08088184,0.1057565,0.1338995,-0.02127368,-0.06932541,0.1462161,0.1632107,0.002753761,-0.06501789,0.1419963,0.1561981,-0.01178777,-0.07430784,0.1240987,0.1451244,-0.175467,0.2199074,0.07436866,0.9567243,33.83518,-0.6029879,0.755706,0.255566,5.081391,-0.005818046,-0.08533357,0.1222711,0.1492176,0.603263,0.4316537,0.04153376,0.6693459,95.96681,0.8119823,0.580999,0.05590377,1.112101,True,True,False,-0.1565253,0.749566,0.2484833,0.8050424,0.1881442,-0.01350206,-0.6447323,-0.7407697,275.5941,0.2800769,-0.02009956,-0.9597672,-0.1281504,0.8327731,0.3443437,0.9102231,-0.1313439,0.8113303,0.3988391,0.9135539,-0.104641,0.7771024,0.3842462,0.8732027,0.06176849,-0.04649988,0.113059,0.1369669,0.0246789,-0.06047671,0.1604226,0.1732105,-0.0007991382,-0.08698967,0.1292155,0.1557707,0.06193316,-0.04642518,0.1130028,0.1369695,0.02463628,-0.06048901,0.1604111,0.1731981,-0.0007882205,-0.08706257,0.1289724,0.1556098,0.03328987,-0.06288757,0.1281615,0.1465893,-0.618929,-0.1115552,0.7171435,-0.3003126,214.9528,-0.6488807,-0.1169537,0.7518482,14.9603,0,0,0,0,0,0,0,0,0,1,0,0,0.3688644,False,True,False,-0.04914018,1.000199,0.3011641,1.045711,-0.002318005,0.02148386,-0.005067184,0.9997537,2.543295,-0.1044493,0.9680626,-0.2283272,0.09914018,-0.0001986027,-0.001164109,0.09914722,0.6852602,-0.5663388,0.2729897,0.3676351,136.8603,0.7368625,-0.6089859,0.2935467,-0.006641123,1.122363,0.0006735886,1.122383,-0.03217577,0.04289578,0.01700594,0.9984165,6.449652,-0.5719715,0.7625353,0.3023055,False
1773128968676,0.0695405,0.06384797,0.9204667,0.2462703,0.9549788,-0.6099703,-0.4066103,-0.03266352,0.6793654,94.41186,-0.8312486,-0.5541159,-0.04451283,-0.03742988,0.9814181,0.2926896,1.024817,-0.0540245,1.009317,0.279273,1.048633,-0.03593253,1.017921,0.2881167,1.05852,-0.01321391,-0.08056334,0.1059152,0.1337277,-0.01997254,-0.07121871,0.1410586,0.159275,0.002347039,-0.06609479,0.1383455,0.1533412,-0.01401897,-0.08081464,0.1057899,0.133862,-0.02099615,-0.06973115,0.1451028,0.1623517,0.002668223,-0.06524853,0.1412085,0.1555774,-0.01155766,-0.07437158,0.1237727,0.1448599,-0.1753345,0.2212355,0.0771308,0.9562236,34.03179,-0.5991533,0.7560064,0.2635716,4.873335,-0.005599559,-0.08539411,0.1219614,0.1489903,0.6025938,0.4346403,0.04233705,0.6679641,96.17975,0.8097273,0.5840421,0.05688984,1.111191,True,True,False,-0.1564891,0.7496731,0.2485444,0.805154,0.1881786,-0.01361802,-0.6449564,-0.7405638,275.5589,0.2800334,-0.02026533,-0.9597763,-0.1281272,0.8328735,0.3444132,0.910338,-0.1313219,0.8115059,0.3988807,0.9137248,-0.1046087,0.7772857,0.3843095,0.8733898,0.06171179,-0.04652756,0.1130774,0.1369659,0.0246895,-0.06046338,0.1604325,0.1732166,-0.0007977064,-0.08697603,0.1292435,0.1557862,0.06188653,-0.0464467,0.1130185,0.1369687,0.02464747,-0.06048362,0.1604156,0.173202,-0.0007902155,-0.08704436,0.1290299,0.1556472,0.03326894,-0.06289151,0.1281873,0.1466088,-0.6186599,-0.1115207,0.7173886,-0.3002944,214.9506,-0.6485947,-0.1169168,0.7521007,14.93789,0,0,0,0,0,0,0,0,0,1,0,0,0.3670681,False,True,False,-0.04883997,1.000398,0.3017315,1.046051,-0.001799775,0.02590724,-0.008811916,0.999624,3.14269,-0.06563226,0.9447574,-0.3213435,0.09883997,-0.0003978014,-0.001731485,0.09885594,0.6841518,-0.570658,0.2710846,0.3644162,137.2567,0.7346705,-0.6127961,0.2911018,-0.006908264,1.122361,0.000708191,1.122383,-0.03205608,0.04267044,0.01726667,0.9984255,6.43117,-0.5714822,0.7607106,0.307823,False
1773128968690,0.0834396,0.06344101,0.9203066,0.2464032,0.9548317,-0.6099584,-0.404767,-0.03377128,0.680422,94.24674,-0.8323435,-0.5523412,-0.04608397,-0.03739644,0.9816152,0.2932293,1.025159,-0.05298161,1.00749,0.280566,1.047168,-0.03564204,1.016783,0.2890353,1.057667,-0.01304523,-0.08052058,0.1059298,0.1336969,-0.01973454,-0.07176405,0.1386123,0.1573306,0.002162264,-0.06658598,0.1370572,0.1523911,-0.01381234,-0.08075334,0.105819,0.1338266,-0.02073026,-0.07016179,0.1437127,0.161263,0.002563154,-0.06553148,0.1403217,0.1548907,-0.01130705,-0.0744381,0.1233856,0.1445437,-0.1754396,0.2227444,0.0783107,0.955758,34.21365,-0.5964204,0.757237,0.2662233,4.638507,-0.005361575,-0.0854573,0.1215938,0.148717,0.6021664,0.4367219,0.04179154,0.6670257,96.32417,0.8082393,0.5861766,0.05609341,1.221726,True,True,False,-0.15647,0.7497592,0.2485131,0.8052208,0.1882843,-0.01380491,-0.6450412,-0.7404596,275.5411,0.2801429,-0.02053994,-0.9597387,-0.1281048,0.8329698,0.3443688,0.9104062,-0.1312959,0.8116788,0.3988191,0.9138477,-0.1045928,0.7774527,0.3842862,0.8735263,0.06166761,-0.04654159,0.1130927,0.1369634,0.02470452,-0.06045431,0.1604404,0.1732228,-0.0007976573,-0.08696091,0.1292808,0.1558087,0.06184098,-0.0464664,0.1130339,0.1369675,0.02465933,-0.06047752,0.1604207,0.1732063,-0.0007917617,-0.08702701,0.1290825,0.1556811,0.03324751,-0.06289541,0.1282124,0.1466276,-0.6184132,-0.111503,0.7176135,-0.300272,214.9479,-0.6483312,-0.1168974,0.7523308,14.91717,0,0,0,0,0,0,0,0,0,1,0,0,0.3661565,False,True,False,-0.04855752,1.000589,0.302337,1.046396,-0.001074687,0.02982001,-0.01315258,0.9994682,3.737301,-0.03295769,0.9144976,-0.4033535,0.09855752,-0.0005892515,-0.002336949,0.09858698,0.6824701,-0.5752321,0.2696331,0.3614424,137.6224,0.7319543,-0.6169407,0.2891835,-0.007160936,1.12216,0.0007072752,1.122183,-0.03204943,0.04241706,0.01741295,0.998434,6.413856,-0.5729015,0.7582287,0.3112662,False
1773128968703,0.0971854,0.06302683,0.9201474,0.2465437,0.9546871,-0.6099283,-0.4029379,-0.03486535,0.6814786,94.08142,-0.8334197,-0.5505835,-0.0476408,-0.0373674,0.9818044,0.2937785,1.025496,-0.0521512,1.006184,0.2816272,1.046155,-0.0353638,1.015762,0.2898774,1.056907,-0.01287291,-0.08047725,0.1059425,0.1336642,-0.01952038,-0.07208223,0.136773,0.1558324,0.001993031,-0.0669739,0.1358871,0.1515083,-0.01361488,-0.08069629,0.1058445,0.133792,-0.0204775,-0.07056518,0.1422331,0.1600907,0.002445796,-0.06583397,0.1393807,0.1541657,-0.01105866,-0.07449743,0.1229784,0.1442076,-0.1758669,0.2243373,0.07831296,0.9553066,34.38906,-0.5949153,0.7588788,0.2649138,4.39893,-0.005125644,-0.08551362,0.1212072,0.1484252,0.6018238,0.4379473,0.0401659,0.6666312,96.38483,0.8073969,0.5875429,0.05388591,1.242548,True,True,False,-0.1564503,0.7498466,0.2484812,0.8052884,0.1884077,-0.01400754,-0.6451164,-0.7403589,275.524,0.2802803,-0.02083798,-0.9596921,-0.1280806,0.8330709,0.3443199,0.9104767,-0.1312691,0.8118598,0.3987541,0.9139763,-0.1045753,0.7776254,0.3842589,0.8736659,0.06162309,-0.04655519,0.1131079,0.1369605,0.02472005,-0.06044453,0.1604487,0.1732294,-0.0007973788,-0.08694611,0.1293155,0.1558293,0.06179603,-0.04648467,0.1130492,0.136966,0.02467184,-0.06047073,0.1604265,0.1732111,-0.0007929184,-0.08701033,0.1291308,0.1557119,0.03322544,-0.06289934,0.1282371,0.1466458,-0.6181852,-0.1114999,0.7178211,-0.3002461,214.9448,-0.6480868,-0.1168931,0.752542,14.89784,0,0,0,0,0,0,0,0,0,1,0,0,0.3653575,False,True,False,-0.04824359,1.000486,0.3031003,1.046503,0.0007021677,0.03232042,-0.01673557,0.9993372,4.172382,0.01928865,0.8878465,-0.4597284,0.09824359,-0.0004860163,-0.003100276,0.0982937,0.680422,-0.5790625,0.2682766,0.3601946,137.7757,0.7293801,-0.6207275,0.2875797,-0.00734948,1.122079,0.0006617969,1.122103,-0.03217063,0.04180491,0.01769473,0.9984509,6.378965,-0.5782096,0.7513685,0.3180312,False
1773128968717,0.1110552,0.06272797,0.9199781,0.2467616,0.9545605,-0.6105723,-0.4004871,-0.03710007,0.6822281,93.964,-0.835097,-0.5477574,-0.05074282,-0.0370578,0.9823016,0.2943078,1.026112,-0.05063575,1.004421,0.2826491,1.044661,-0.03490642,1.015555,0.2906551,1.056906,-0.01268043,-0.08041613,0.1059616,0.1336241,-0.0194052,-0.07240764,0.1340394,0.1535773,0.001928476,-0.06729138,0.1352946,0.1511175,-0.01341722,-0.08063799,0.1058688,0.1337561,-0.02025192,-0.07095501,0.1404648,0.1586667,0.002338493,-0.06614175,0.1385062,0.1535062,-0.01074666,-0.07452793,0.1225518,0.1438362,-0.1766168,0.2252402,0.07542747,0.955188,34.43501,-0.5966788,0.7609469,0.2548227,4.146641,-0.004829398,-0.08554257,0.120802,0.1481012,0.6021267,0.4361957,0.03678543,0.6677002,96.22038,0.8088422,0.5859457,0.0494142,1.276343,True,True,False,-0.1564868,0.7498871,0.2484132,0.8053123,0.1885251,-0.01428047,-0.6452159,-0.740237,275.5032,0.2803989,-0.02123976,-0.9596486,-0.1281111,0.83314,0.3442206,0.9105067,-0.1312901,0.8120083,0.398649,0.9140654,-0.1045987,0.777766,0.3841906,0.8737639,0.06158361,-0.04655996,0.1131229,0.1369568,0.02473296,-0.06042817,0.1604633,0.173239,-0.0007973906,-0.086932,0.1293543,0.1558536,0.0617519,-0.04650028,0.1130645,0.136964,0.02468452,-0.0604619,0.1604341,0.1732169,-0.000793846,-0.08699407,0.1291775,0.1557415,0.03320313,-0.06290214,0.1282622,0.146664,-0.6179665,-0.1115056,0.718015,-0.3002306,214.9429,-0.6478542,-0.1168985,0.7527415,14.88008,0,0,0,0,0,0,0,0,0,1,0,0,0.3648801,False,True,False,-0.04792815,1.000356,0.3038639,1.046586,0.002617609,0.03335622,-0.02048894,0.9992301,4.496758,0.0667221,0.8502406,-0.5222573,0.09792815,-0.0003559589,-0.003863871,0.098005,0.6778259,-0.5825013,0.2679129,0.3598155,137.8223,0.7264832,-0.6243158,0.2871449,-0.007555962,1.122041,0.0006298004,1.122067,-0.03222032,0.0413602,0.01760926,0.9984695,6.340795,-0.5825848,0.7478456,0.3183981,False
1773128968731,0.1249903,0.06241457,0.9198039,0.2469921,0.9544317,-0.6112543,-0.3978729,-0.03949491,0.6830121,93.84106,-0.836868,-0.5447276,-0.05407246,-0.03673527,0.9828207,0.2948604,1.026756,-0.04932408,1.003246,0.2835021,1.0437,-0.03441821,1.015398,0.2914414,1.056956,-0.01249905,-0.08035843,0.1059805,0.1335873,-0.01929368,-0.07254147,0.1319451,0.1518025,0.00186553,-0.06758376,0.1347247,0.1507375,-0.01322242,-0.0805796,0.105892,0.13372,-0.02004963,-0.07129189,0.1386104,0.1571539,0.002239984,-0.06644739,0.1376929,0.152904,-0.01040775,-0.07453012,0.1221513,0.1434712,-0.1776781,0.2255637,0.07013234,0.9553182,34.38453,-0.6011188,0.7631248,0.237271,3.899659,-0.004507553,-0.08554468,0.1204217,0.1477822,0.6029181,0.4318977,0.03194605,0.6700252,95.86198,0.8121878,0.581807,0.04303435,1.280985,True,True,False,-0.1565265,0.7499258,0.2483424,0.8053342,0.1886559,-0.01457524,-0.6453107,-0.7401153,275.4825,0.2805376,-0.02167387,-0.9595985,-0.1281436,0.833212,0.3441136,0.9105368,-0.131313,0.8121622,0.3985385,0.9141573,-0.1046223,0.7779104,0.3841161,0.8738624,0.06154468,-0.04656323,0.113138,0.1369529,0.02474588,-0.06041038,0.1604792,0.1732494,-0.0007972297,-0.08691835,0.1293916,0.155877,0.06170869,-0.04651337,0.1130798,0.1369617,0.02469729,-0.06045117,0.1604435,0.1732236,-0.0007945503,-0.0869783,0.1292224,0.15577,0.03318062,-0.06290389,0.1282877,0.1466819,-0.6177577,-0.1115191,0.7181948,-0.3002253,214.9423,-0.6476342,-0.1169124,0.7529287,14.86386,0,0,0,0,0,0,0,0,0,1,0,0,0.3644486,False,True,False,-0.04724307,1.000564,0.3046088,1.04697,0.00455932,0.03030092,-0.02486075,0.9992212,4.522798,0.1155465,0.7679139,-0.6300441,0.09724307,-0.0005637407,-0.00460881,0.09735386,0.6737792,-0.5848578,0.2705862,0.3615883,137.6045,0.7226772,-0.6273024,0.2902234,-0.007755956,1.122026,0.0006420766,1.122053,-0.03220099,0.04090704,0.01736632,0.998493,6.291823,-0.5867636,0.7454044,0.3164475,False
1773128968745,0.1390453,0.06232211,0.919597,0.2472084,0.9542823,-0.6117725,-0.3959826,-0.04249918,0.6834662,93.7698,-0.8380649,-0.5424552,-0.05821947,-0.03629791,0.9832814,0.2951975,1.027279,-0.04784811,1.001764,0.2840239,1.042349,-0.03382016,1.015225,0.2920081,1.056927,-0.01233048,-0.08028575,0.1060102,0.1335515,-0.01931648,-0.07261761,0.1296235,0.1498289,0.001801854,-0.0678371,0.134204,0.1503856,-0.01303204,-0.08051781,0.1059168,0.1336837,-0.01989388,-0.07157521,0.1366315,0.1555216,0.002148079,-0.0667439,0.136937,0.1523519,-0.0100368,-0.07448977,0.1218003,0.1431251,-0.1792296,0.2252174,0.06191001,0.9556783,34.24466,-0.6087698,0.7649716,0.210283,3.658643,-0.004155295,-0.08550635,0.1200884,0.1474782,0.6041507,0.4245087,0.02524197,0.6739119,95.26057,0.817733,0.5745831,0.03416564,1.286267,True,True,False,-0.156588,0.7499955,0.2482843,0.8053931,0.188707,-0.01474201,-0.6453936,-0.7400267,275.4674,0.2805728,-0.02191868,-0.9595824,-0.1282087,0.8332812,0.34405,0.9105852,-0.1313599,0.8123034,0.3984557,0.9142534,-0.1046864,0.7780475,0.3840771,0.873975,0.06149898,-0.04656475,0.1131556,0.1369474,0.02476322,-0.06040193,0.1604875,0.1732566,-0.0007982673,-0.08690044,0.1294409,0.1559079,0.06166466,-0.04652414,0.1130957,0.1369586,0.02471112,-0.06044085,0.1604527,0.1732305,-0.0007953293,-0.08696197,0.1292685,0.1557991,0.03315796,-0.06290454,0.1283135,0.1466997,-0.6175417,-0.1115562,0.7183808,-0.3002109,214.9405,-0.6474046,-0.1169508,0.7531201,14.84719,0,0,0,0,0,0,0,0,0,1,0,0,0.3646219,False,True,False,-0.04651156,1.000836,0.3053736,1.047421,0.006591951,0.02412145,-0.02875755,0.9992737,4.367818,0.172985,0.6329917,-0.7546514,0.09651157,-0.0008364916,-0.005373597,0.09666467,0.6691147,-0.585755,0.2751731,0.365317,137.1458,0.7187954,-0.6292464,0.2956042,-0.007950254,1.122005,0.0006432077,1.122033,-0.03202781,0.04059461,0.01722161,0.9985138,6.248362,-0.5876634,0.7448518,0.3159914,False
