Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773028877829,0,1,1,135,0.9244828,-0.001821782,0.3812194,0.9999999,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.8541108,-0.001683107,0.3522008,0.3826834,135,0.9244829,-0.001821782,0.3812194
Grab,1773028883780,5.089348,1,1,135,0.9244828,-0.001821782,0.3812194,0.9999999,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.8541108,-0.001683107,0.3522008,0.3826834,135,0.9244829,-0.001821782,0.3812194
Trial Start,1773028883803,0,1,1,135,0.9244828,-0.001821782,0.3812194,0.9999999,-1,-0.05000001,1,0.3,1.045227,0.02529865,0.03028368,0.0005556526,0.999221,4.523317,0.641068,0.7673889,0.01408024,0.1,0,0,0.1,0.854431,-0.02170647,0.3258056,0.4041379,132.3258,0.9341124,-0.02373075,0.3561892
Release,1773028884153,0.3604657,1,1,135,0.9244828,-0.001821782,0.3812194,0.9999999,0,-0.05462444,0.9976258,0.2971925,1.042384,0.3598942,0.05202787,-0.1826584,0.9134578,48.02468,0.8844056,0.1278535,-0.4488656,0.1046244,0.002374172,0.002807558,0.104689,0.6604854,-0.3042132,0.3465776,0.5925347,107.3258,0.8199237,-0.3776489,0.4302399
Grab,1773028885139,1.346521,1,1,135,0.9244828,-0.001821782,0.3812194,0.9999999,0,-0.05462444,0.9976258,0.2971925,1.042384,0.3598942,0.05202787,-0.1826584,0.9134578,48.02468,0.8844056,0.1278535,-0.4488656,0.1046244,0.002374172,0.002807558,0.104689,0.6604854,-0.3042132,0.3465776,0.5925347,107.3258,0.8199237,-0.3776489,0.4302399
Release,1773028887764,3.971796,1,1,135,0.9244828,-0.001821782,0.3812194,0.9999999,0,-0.02256989,1.028094,0.2389247,1.055733,0.7844992,-0.2430122,0.01833763,0.5702367,110.4665,0.9549822,-0.2958222,0.02232266,0.07256989,-0.02809381,0.06107531,0.09892344,0.1012723,-0.1686019,0.4000593,0.8951369,52.94796,0.2271742,-0.3782081,0.8974136
Grab,1773028889737,5.944197,1,1,135,0.9244828,-0.001821782,0.3812194,0.9999999,0,-0.02256989,1.028094,0.2389247,1.055733,0.7844992,-0.2430122,0.01833763,0.5702367,110.4665,0.9549822,-0.2958222,0.02232266,0.07256989,-0.02809381,0.06107531,0.09892344,0.1012723,-0.1686019,0.4000593,0.8951369,52.94796,0.2271742,-0.3782081,0.8974136
Clutch Start,1773028891472,7.680065,1,1,135,0.9244828,-0.001821782,0.3812194,0.9999999,0,0.03964082,1.00337,0.2890593,1.04493,0.885207,-0.1420532,0.344175,0.2788783,147.6135,0.9217772,-0.1479218,0.3583938,0.01035918,-0.003369808,0.0109407,0.01543915,-0.150013,0.03608499,0.08635036,0.9842448,20.36824,-0.8484325,0.2040868,0.488374
On Target,1773028892682,8.902347,1,1,135,0.9244828,-0.001821782,0.3812194,0.9999999,-1,0.05207925,0.997865,0.2978249,1.042663,0.8836787,-0.05116214,0.3390331,0.3186709,142.8349,0.9322829,-0.05397616,0.3576806,-0.002079245,0.002134979,0.002175093,0.003689501,-0.08343765,-0.002617974,0.02470461,0.9962034,9.988601,-0.9584301,-0.0300721,0.2837764
Trial End,1773028893681,9.901877,1,2,135,0.9244828,-0.001821782,0.3812194,0.9999999,-1,0.05139604,0.9967922,0.2986223,1.041831,0.871484,-0.03026113,0.3460293,0.3462134,139.4882,0.928933,-0.03225597,0.3688399,-0.001396038,0.003207803,0.001377761,0.00375994,-0.04787349,-0.0003923038,0.01389651,0.9987567,5.714779,-0.9603482,-0.007869663,0.2787658
