Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,0.9244828,-0.001821782,0.3812194,0.9999999,9.901877,False,-0.001396038,0.003207803,0.001377761,0.00375994,-0.04787349,-0.0003923038,0.01389651,0.9987567,5.714779,-0.9603482,-0.007869663,0.2787658,0.1852146,0.1743038,0.2947424,0.5023257,426.3321,0.1684947,505.1352,0,0,0,0,0,0,0,0.4691578,741.4335,0.1159789,27.22021
1,3,135,-0.2597675,0.2423743,0.9347596,1,6.806039,False,0.001077678,-0.001621246,0.007092953,0.007355257,0.03972577,0.006819058,-0.006400404,-0.999167,355.3222,0.9734272,0.167092,-0.1568334,0.1423546,0.1065317,0.2344067,0.2208994,252.3295,0.1863669,549.4259,0,0,0,0,0,0,0,0.3093567,546.5326,0.06202321,14.62867
1,4,135,-0.5487652,-0.8128971,-0.1950771,1,11.47148,False,-0.002175353,0.0002826452,0.005169392,0.005615573,-0.0007816771,-0.01175526,-0.03757528,0.9992244,4.513441,-0.01985106,-0.2985305,-0.9542422,0.1870421,0.1879732,0.2502268,0.3443753,262.1331,0.1879569,696.0086,0,0,0,0,0,0,0,0.3194219,631.44,0.1188971,27.40924
1,5,135,0.135908,-0.8766417,0.46155,1,11.59614,False,0.000721056,0.001381755,0.002176434,0.002676945,0.06043422,0.02961089,-0.007428258,0.9977053,7.764536,0.8925889,0.4373408,-0.1097124,0.3195505,0.3057253,0.4255839,0.429297,353.5002,0.3215466,768.4589,0,0,0,0,0,0,0,0.5257809,832.6028,0.1019208,21.07411
1,6,135,0.2465637,0.4564668,-0.8548944,1,7.319345,False,-0.002241008,-0.0006226301,0.004676849,0.005223284,-0.03367375,-0.04571167,-0.008091905,0.9983543,6.575191,-0.5871815,-0.7970912,-0.1411015,0.2113755,0.2498395,0.2773666,0.285712,386.9531,0.2625009,803.0054,0,0,0,0,0,0,0,0.4099681,845.5366,0.06303436,11.43124
1,7,135,-0.5723999,0.3076531,0.760071,1,7.845913,False,0.002220523,-0.004180074,0.003144592,0.005682622,0.0205029,0.008363127,-0.006297586,0.9997351,2.637869,0.8907354,0.3633308,-0.2735946,0.2324196,0.1914781,0.3309309,0.2318114,271.6985,0.2018024,664.6675,0,0,0,0,0,0,0,0.3532085,770.5377,0.1081278,31.04813
1,8,135,-0.8784892,0.3526746,0.3223002,1,9.790826,False,-0.0003165863,-0.002358317,-0.002046764,0.003138651,0.02577293,0.006738702,-0.02039942,0.999437,3.845493,0.7681435,0.2008421,-0.6079897,0.2104008,0.2504132,0.4699869,0.3505047,292.371,0.2265282,1029.841,0,0,0,0,0,0,0,0.4604135,1068.821,0.09153365,20.06953
1,9,135,-0.2936825,-0.6448439,-0.7056394,1,10.3457,False,0.000321582,-3.051758E-05,0.0003345013,0.0004650133,0.005921571,0.007604701,0.02454307,0.9996523,3.021804,0.2245811,0.2884153,0.9308187,0.3404021,0.2278096,0.3927955,0.4174658,378.0669,0.3002968,1051.886,0,0,0,0,0,0,0,0.4429291,1228.748,0.07650274,15.04886
1,10,135,-0.1804067,0.9834235,0.01820862,1,16.29065,False,0.004017387,-0.005188227,0.008050799,0.01038617,0.06330255,-0.009756849,-0.01252359,-0.9978681,352.5161,0.9699643,-0.149501,-0.1918949,0.392582,0.4358869,0.701763,0.4936249,540.3173,0.4673494,1084.041,0,0,0,0,0,0,0,0.6938874,1284.395,0.1405004,28.84748
1,11,135,-0.8492899,-0.4663852,-0.2473692,1,9.123842,False,-0.00218359,0.001439333,0.001789868,0.003169128,0.06351192,0.02060205,0.008463237,-0.9977326,352.2817,0.9436568,0.3061042,0.1257463,0.2699649,0.2870573,0.2977267,0.5174465,330.5625,0.1948576,753.5373,0,0,0,0,0,0,0,0.4778519,895.2057,0.1207767,29.17573
