Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Thumb Tip Euro Position X,Right Thumb Tip Euro Position Y,Right Thumb Tip Euro Position Z,Right Thumb Tip Euro Position Magnitude,Right Index Tip Euro Position X,Right Index Tip Euro Position Y,Right Index Tip Euro Position Z,Right Index Tip Euro Position Magnitude,Right Middle Tip Euro Position X,Right Middle Tip Euro Position Y,Right Middle Tip Euro Position Z,Right Middle Tip Euro Position Magnitude,Right Triangle Local Position X,Right Triangle Local Position Y,Right Triangle Local Position Z,Right Triangle Local Position Magnitude,Right Triangle Local Rotation X,Right Triangle Local Rotation Y,Right Triangle Local Rotation Z,Right Triangle Local Rotation W,Right Triangle Local Rotation Angle,Right Triangle Local Rotation Axis X,Right Triangle Local Rotation Axis Y,Right Triangle Local Rotation Axis Z,Right Triangle Area,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Right Angle Scale Factor,Right Is Grabbed,Right Is Rotating,Right Is Clutching,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Thumb Tip Euro Position X,Left Thumb Tip Euro Position Y,Left Thumb Tip Euro Position Z,Left Thumb Tip Euro Position Magnitude,Left Index Tip Euro Position X,Left Index Tip Euro Position Y,Left Index Tip Euro Position Z,Left Index Tip Euro Position Magnitude,Left Middle Tip Euro Position X,Left Middle Tip Euro Position Y,Left Middle Tip Euro Position Z,Left Middle Tip Euro Position Magnitude,Left Triangle Local Position X,Left Triangle Local Position Y,Left Triangle Local Position Z,Left Triangle Local Position Magnitude,Left Triangle Local Rotation X,Left Triangle Local Rotation Y,Left Triangle Local Rotation Z,Left Triangle Local Rotation W,Left Triangle Local Rotation Angle,Left Triangle Local Rotation Axis X,Left Triangle Local Rotation Axis Y,Left Triangle Local Rotation Axis Z,Left Triangle Area,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Left Angle Scale Factor,Left Is Grabbed,Left Is Rotating,Left Is Clutching,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773029071983,0.0138023,0.04303724,0.9120551,0.2492623,0.9464822,-0.4468087,-0.4004436,-0.3472194,0.7207258,87.77113,-0.6445408,-0.577657,-0.5008789,-0.05133035,0.9792027,0.293979,1.023668,-0.05451977,1.023826,0.2869205,1.064667,-0.04451853,1.019115,0.3092276,1.065926,-0.01232978,-0.08030474,0.1092736,0.1361676,-0.02771512,-0.06287462,0.1531706,0.1678767,-0.0004579941,-0.06427106,0.152329,0.1653333,-0.01182044,-0.0814844,0.1082786,0.1360283,-0.02838955,-0.05820099,0.1579237,0.1706845,0.0003432578,-0.06036169,0.1571931,0.1683844,-0.01322452,-0.07161977,0.1301126,0.1491092,-0.2043214,0.1036215,-0.05169106,0.9720305,27.16607,-0.8699923,0.4412164,-0.2200985,7.761175,-0.008116705,-0.06661164,0.1200258,0.1375106,0.4609433,0.4039559,0.3520561,0.7073948,89.95332,0.6521381,0.5715129,0.4980854,1.3,True,True,False,-0.1159822,0.6286373,0.1355987,0.6534705,-0.3068528,-0.09970212,-0.622876,-0.7126896,270.9083,-0.4374365,-0.1421312,-0.8879461,-0.003276743,0.6610641,0.1792997,0.6849561,0.007599443,0.6021845,0.2078624,0.6370955,0.00556846,0.5811648,0.2007462,0.6148842,0.07050081,-0.07399673,0.09163328,0.1372681,0.01917328,-0.06857247,0.1429177,0.1596724,-0.005034679,-0.07193796,0.1427898,0.1599667,0.07073732,-0.07401376,0.09145309,0.1372788,0.01921196,-0.0685133,0.1429716,0.1596999,-0.005020739,-0.07196442,0.1427317,0.1599263,0.05053616,-0.07321791,0.1061374,0.1384915,-0.462925,0.07417168,0.8756246,-0.1161061,193.3349,-0.4660771,0.07467674,0.8815869,6.552742,0,0,0,0,0,0,0,0,0,1,0,0,0.3714029,False,True,False,-0.05,1,0.3,1.045227,0.00807126,0.003088658,0.006292598,0.9999429,1.224595,0.7552722,0.2890227,0.588833,0.1,0,0,0.1,0.4451006,-0.3094437,-0.749168,0.3806277,135.2549,0.4813311,-0.334632,-0.8101493,-0.004290042,1.121065,-0.01251259,1.121144,0.06754653,0.05527874,-0.02418262,0.99589,10.39289,0.7457862,0.6103367,-0.2670021,False
1773029071997,0.0277607,0.0435048,0.9121349,0.2494543,0.946631,-0.4469228,-0.4010009,-0.3470852,0.7204098,87.82336,-0.6444,-0.578187,-0.5004483,-0.05085526,0.9793704,0.2940088,1.023813,-0.05445993,1.02254,0.2870506,1.063462,-0.04457559,1.017646,0.308987,1.064454,-0.01232574,-0.0801981,0.1093299,0.1361495,-0.02753928,-0.06377689,0.1519278,0.1670567,-0.000671369,-0.06519528,0.1507875,0.1642794,-0.01192756,-0.08121593,0.1084987,0.1360524,-0.02821175,-0.05939766,0.156654,0.1698955,0.0001310294,-0.06138616,0.1558436,0.1674977,-0.0133066,-0.07182854,0.1299674,0.1490904,-0.1987086,0.1074943,-0.04915243,0.9729049,26.73612,-0.8594458,0.4649296,-0.2125919,7.376449,-0.008191558,-0.06680197,0.1198935,0.137492,0.4675494,0.4053827,0.3539053,0.7012941,90.93815,0.6558671,0.5686613,0.49645,1.26847,True,True,False,-0.116004,0.628749,0.1356625,0.6535951,-0.3070881,-0.09978016,-0.6231167,-0.7123668,270.8556,-0.4375676,-0.142176,-0.8878744,-0.003291763,0.6611049,0.1793639,0.6850124,0.007627957,0.6023443,0.2078641,0.6372475,0.005606204,0.5813285,0.2007605,0.6150439,0.07037082,-0.07400441,0.09170706,0.1372548,0.01916299,-0.06858542,0.1429168,0.1596759,-0.005038078,-0.07193349,0.1428049,0.1599783,0.07066082,-0.07401181,0.09150606,0.1372737,0.01920175,-0.06852832,0.1429602,0.1596949,-0.005024352,-0.07195797,0.142747,0.1599372,0.05046854,-0.07321601,0.1061843,0.1385019,-0.4629075,0.07398992,0.8757024,-0.1157044,193.2885,-0.4660375,0.07449022,0.8816236,6.534016,0,0,0,0,0,0,0,0,0,1,0,0,0.3749313,False,True,False,-0.04973441,0.9999396,0.3000455,1.04517,0.01542629,0.005123005,0.01220542,0.9997934,2.329321,0.7589683,0.25205,0.6005026,0.09973441,6.043911E-05,-4.544854E-05,0.09973444,0.4425826,-0.3020591,-0.7545644,0.3788319,135.4773,0.478227,-0.3263861,-0.815335,-0.004448884,1.121103,-0.01241517,1.12118,0.06739125,0.05514154,-0.02385953,0.9959159,10.36003,0.7464266,0.6107486,-0.2642685,False
1773029072011,0.041637,0.04364753,0.9121411,0.2494072,0.9466311,-0.4477886,-0.4023486,-0.3469925,0.7191643,88.02895,-0.6444485,-0.5790522,-0.4993847,-0.05073404,0.9796187,0.293499,1.023899,-0.05445081,1.022061,0.2864092,1.062828,-0.04482877,1.016768,0.3081854,1.063393,-0.01232848,-0.08010072,0.1093771,0.1361303,-0.02747894,-0.06409467,0.1513086,0.1666059,-0.0008344962,-0.06581788,0.149694,0.1635267,-0.01201201,-0.08098455,0.1086818,0.1360681,-0.02805939,-0.06040322,0.1555229,0.1691841,-7.011568E-05,-0.06232387,0.1545473,0.1666407,-0.0133998,-0.07201444,0.1298155,0.149056,-0.1935575,0.1109442,-0.04755949,0.973635,26.37186,-0.8485207,0.4863588,-0.2084921,7.035986,-0.00827651,-0.0669715,0.119755,0.1374588,0.4736477,0.4060682,0.355029,0.696219,91.75113,0.6598333,0.565689,0.4945869,1.250435,True,True,False,-0.1160993,0.6287215,0.1356907,0.6535914,-0.3071881,-0.09973419,-0.6232602,-0.7122046,270.8291,-0.4376073,-0.1420772,-0.8878705,-0.003394037,0.661034,0.1794271,0.684961,0.007551037,0.602321,0.2078978,0.6372355,0.005534805,0.5813087,0.200792,0.6150348,0.07030609,-0.07399587,0.09175508,0.1372492,0.01915165,-0.06858497,0.1429402,0.1596953,-0.005046638,-0.07192831,0.1428305,0.1599991,0.07058711,-0.0740085,0.09155776,0.1372684,0.01919135,-0.06854007,0.1429561,0.159695,-0.005028974,-0.07195181,0.1427643,0.15995,0.05040324,-0.07321294,0.1062313,0.1385125,-0.4628837,0.07382599,0.8757746,-0.1153577,193.2485,-0.4659946,0.07432216,0.8816605,6.518226,0,0,0,0,0,0,0,0,0,1,0,0,0.3743306,False,True,False,-0.04950453,0.9998519,0.3000413,1.045074,0.02218881,0.006710975,0.01786092,0.9995717,3.353795,0.7582474,0.2293309,0.6103525,0.09950453,0.0001481175,-4.130602E-05,0.09950465,0.440509,-0.2950363,-0.7594206,0.3770754,135.6947,0.4756178,-0.3185509,-0.819947,-0.00456262,1.121076,-0.01233189,1.121153,0.06746693,0.05508708,-0.02363172,0.9959193,10.35579,0.7475682,0.6103932,-0.2618515,False
1773029072025,0.0555758,0.04379662,0.9121572,0.2493624,0.9466417,-0.4489686,-0.4042208,-0.3468072,0.717466,88.30868,-0.6445202,-0.5802822,-0.4978616,-0.05062985,0.9799306,0.2928365,1.024002,-0.05446585,1.021571,0.2855521,1.062127,-0.04513823,1.015835,0.3071641,1.062218,-0.01231442,-0.07999415,0.1094258,0.1361056,-0.02740776,-0.06443517,0.1506263,0.1661064,-0.001003646,-0.06649759,0.1484622,0.1626774,-0.01207583,-0.08077841,0.1088376,0.1360757,-0.02792354,-0.06127063,0.1544798,0.1685165,-0.0002653952,-0.06321231,0.1532541,0.165779,-0.01350518,-0.07218314,0.1296542,0.1490067,-0.188708,0.1141244,-0.04680445,0.9742557,26.05817,-0.837044,0.5062168,-0.2076085,6.723058,-0.008372614,-0.06712528,0.1196078,0.1374116,0.4795245,0.4061348,0.3555128,0.6918969,92.43909,0.6641648,0.5625166,0.4924025,1.243497,True,True,False,-0.1162007,0.6286895,0.1357189,0.6535845,-0.3072779,-0.09968738,-0.623404,-0.7120465,270.8033,-0.4376354,-0.1419781,-0.8878726,-0.003503159,0.6609579,0.1794919,0.6849051,0.007467762,0.6022925,0.2079381,0.6372208,0.005456969,0.581284,0.2008269,0.6150222,0.07024033,-0.07398681,0.09180358,0.137243,0.01914025,-0.06858265,0.1429682,0.159718,-0.005055843,-0.07192323,0.1428576,0.1600213,0.07051479,-0.07400399,0.09160899,0.137263,0.01918071,-0.06854893,0.1429586,0.1596998,-0.005034567,-0.07194586,0.1427838,0.1599649,0.05033894,-0.07320876,0.1062791,0.1385235,-0.4628533,0.07367732,0.8758425,-0.1150584,193.214,-0.4659478,0.0741699,0.8816981,6.504949,0,0,0,0,0,0,0,0,0,1,0,0,0.3738973,False,True,False,-0.04960158,0.9998715,0.2994364,1.044924,0.02692871,0.006532685,0.02248019,0.9993632,4.089758,0.7546834,0.18308,0.6300126,0.09960158,0.0001285076,0.0005636513,0.09960326,0.4401987,-0.2893091,-0.7624565,0.3757465,135.8591,0.475006,-0.3121853,-0.8227453,-0.004642561,1.121002,-0.0122587,1.121079,0.06776022,0.05493349,-0.023333,0.9959149,10.36139,0.7504146,0.6083642,-0.2584027,False
1773029072039,0.0694494,0.04390251,0.9121432,0.2492164,0.9465947,-0.4499716,-0.4059513,-0.3470474,0.7157424,88.59185,-0.6443222,-0.5812887,-0.4969431,-0.050524,0.9802303,0.2921133,1.024077,-0.05441377,1.021455,0.2846397,1.061768,-0.0453065,1.015065,0.306065,1.061171,-0.01226578,-0.079887,0.1094699,0.1360736,-0.02736557,-0.06458136,0.1503044,0.1658645,-0.001159088,-0.06696703,0.1473684,0.1618746,-0.01211572,-0.08059339,0.1089694,0.136075,-0.02780773,-0.06198065,0.1535916,0.1679442,-0.0004517361,-0.06401008,0.1520028,0.1649313,-0.01362458,-0.07232027,0.1295018,0.1489516,-0.1843855,0.1169947,-0.0464001,0.9747622,25.79948,-0.8259305,0.5240622,-0.2078432,6.444733,-0.008481457,-0.06725035,0.1194689,0.1373585,0.4847652,0.4060239,0.3556802,0.6882142,93.02217,0.6681739,0.5596413,0.4902502,1.22652,True,True,False,-0.1162509,0.6285719,0.1357237,0.6534813,-0.3073715,-0.0996391,-0.6234812,-0.7119454,270.7868,-0.4377046,-0.1418886,-0.8878527,-0.003557108,0.6607587,0.1795365,0.6847248,0.007431909,0.6021545,0.2079576,0.6370962,0.005424991,0.5811542,0.2008425,0.6149043,0.07015492,-0.07397088,0.09186453,0.1372315,0.01912336,-0.0685757,0.1430021,0.1597434,-0.005065292,-0.07191498,0.1428909,0.1600476,0.07044,-0.07399712,0.09166205,0.1372563,0.01916882,-0.06855448,0.1429676,0.1597088,-0.005040939,-0.07193945,0.142806,0.159982,0.05027293,-0.07320254,0.1063293,0.1385348,-0.4628121,0.07354151,0.8759086,-0.1148079,193.1851,-0.4658927,0.07403102,0.8817388,6.493321,0,0,0,0,0,0,0,0,0,1,0,0,0.3747968,False,True,False,-0.0497234,0.9999588,0.2986253,1.044781,0.03054733,0.005020346,0.02660549,0.9991665,4.678838,0.7483611,0.1229905,0.6517922,0.0997234,4.118681E-05,0.001374722,0.09973288,0.4411574,-0.2841296,-0.7643582,0.3747093,135.9873,0.4758248,-0.3064574,-0.8244238,-0.00466603,1.120909,-0.01216925,1.120985,0.06818721,0.05498689,-0.0231236,0.9958877,10.39583,0.7526494,0.6069445,-0.2552379,False
1773029072053,0.08323471,0.04401129,0.9121355,0.2490655,0.9465526,-0.4509676,-0.4077068,-0.3472624,0.7140115,88.87551,-0.644116,-0.5823268,-0.4959942,-0.0504117,0.9805315,0.2913838,1.024152,-0.0543665,1.021243,0.2837205,1.061315,-0.04549603,1.014172,0.3049497,1.060004,-0.01221023,-0.07977479,0.109515,0.1360391,-0.02730887,-0.06476735,0.1498886,0.1655512,-0.001317773,-0.06749715,0.1461537,0.1609922,-0.01213545,-0.08042423,0.1090826,0.1360674,-0.02770478,-0.06257532,0.1528067,0.1674309,-0.0006314727,-0.06474835,0.1507609,0.1640781,-0.01375677,-0.07243233,0.1293566,0.148892,-0.1804537,0.1196704,-0.04637573,0.9751742,25.58712,-0.8149143,0.5404217,-0.209429,6.189228,-0.008601988,-0.06735254,0.1193365,0.137301,0.4896228,0.405728,0.3555002,0.6850359,93.52315,0.6720884,0.5569289,0.487983,1.218712,True,True,False,-0.1163028,0.6284452,0.1357271,0.6533694,-0.3074574,-0.09958983,-0.6235499,-0.7118549,270.7721,-0.4377697,-0.1417999,-0.8878346,-0.003610611,0.6605316,0.1795794,0.6845171,0.007393576,0.6020038,0.2079812,0.636961,0.005390257,0.5810125,0.20086,0.6147758,0.07005208,-0.07395738,0.09193183,0.1372168,0.01910568,-0.06856661,0.1430406,0.1597717,-0.005075192,-0.07190645,0.1429261,0.1600755,0.07035977,-0.07398892,0.09171779,0.137248,0.01915579,-0.06855699,0.1429827,0.1597218,-0.005048006,-0.07193264,0.1428308,0.1600013,0.0502025,-0.073195,0.106383,0.1385465,-0.4627552,0.0734236,0.8759751,-0.114605,193.1617,-0.4658245,0.07391059,0.881785,6.48311,0,0,0,0,0,0,0,0,0,1,0,0,0.3764837,False,True,False,-0.04983083,1.000056,0.2977215,1.044621,0.03381081,0.003036595,0.02982427,0.9989786,5.179789,0.7482508,0.06720144,0.6600265,0.09983084,-5.614758E-05,0.002278537,0.09985685,0.4423185,-0.2794429,-0.7655954,0.3743391,136.0331,0.4770003,-0.3013538,-0.8256251,-0.004566025,1.120794,-0.012015,1.120868,0.06862574,0.05480665,-0.02326528,0.9958642,10.42549,0.75534,0.6032379,-0.2560729,False
1773029072066,0.0972541,0.04419334,0.9121373,0.2483581,0.9463769,-0.4523371,-0.4093974,-0.3480186,0.7118062,89.23588,-0.6440099,-0.582875,-0.4954876,-0.0502008,0.9810129,0.2899367,1.024192,-0.05408048,1.021392,0.2821549,1.061026,-0.04548755,1.013274,0.3031587,1.05863,-0.01225912,-0.07967916,0.1095699,0.1360317,-0.02725775,-0.06486323,0.1496673,0.1653799,-0.001482531,-0.06807671,0.1447585,0.159974,-0.01216158,-0.0802681,0.1091851,0.1360598,-0.02761133,-0.0630698,0.1521318,0.1669858,-0.0008105314,-0.06546323,0.1494651,0.1631744,-0.01392823,-0.07252026,0.1292299,0.1488407,-0.1768299,0.1225956,-0.04675749,0.9754564,25.44069,-0.8030693,0.5567652,-0.2123481,5.946935,-0.008758326,-0.06743266,0.1192211,0.1372499,0.4944671,0.4054961,0.354666,0.6821198,93.98099,0.6762031,0.5545317,0.4850196,1.221379,True,True,False,-0.1162881,0.62832,0.1357893,0.6532593,-0.3075337,-0.09950373,-0.623668,-0.7117305,270.7518,-0.4378,-0.1416519,-0.8878434,-0.003598779,0.6602572,0.1796954,0.6842828,0.007418454,0.6018673,0.2080463,0.6368536,0.005423628,0.5808804,0.2009379,0.6146767,0.06989264,-0.07394946,0.09202375,0.1371928,0.01908748,-0.06857418,0.1430543,0.1597851,-0.005084968,-0.0719042,0.1429573,0.1601027,0.07026184,-0.07398067,0.09178187,0.1372362,0.0191415,-0.06856059,0.1429976,0.159735,-0.005055735,-0.0719267,0.1428573,0.1600225,0.05011606,-0.07318757,0.1064452,0.1385591,-0.4626791,0.07329908,0.8760523,-0.1144019,193.1383,-0.4657369,0.0737835,0.881842,6.4712,0,0,0,0,0,0,0,0,0,1,0,0,0.3810335,False,True,False,-0.04992585,1.000168,0.2967897,1.044468,0.03662154,0.0006921569,0.0325964,0.9987972,5.620838,0.7468972,0.01411656,0.6648044,0.09992585,-0.0001683235,0.003210306,0.09997755,0.4437822,-0.2751569,-0.7663614,0.3742144,136.0485,0.4785528,-0.2967156,-0.8264063,-0.004476495,1.120699,-0.01187042,1.120771,0.06901317,0.05488635,-0.02315877,0.9958355,10.46159,0.7569907,0.6020366,-0.2540235,False
1773029072081,0.1113269,0.04444174,0.9121542,0.247358,0.9461429,-0.453723,-0.4111023,-0.3487876,0.7095616,89.60149,-0.6439043,-0.5834189,-0.4949845,-0.0499118,0.9815143,0.2881899,1.024166,-0.05372372,1.021473,0.2802903,1.060593,-0.04539827,1.01237,0.301069,1.057164,-0.01230117,-0.0795784,0.1096263,0.1360219,-0.02719183,-0.06499482,0.1493614,0.1651441,-0.001642737,-0.06865154,0.1433354,0.1589364,-0.01219113,-0.08012307,0.1092781,0.1360516,-0.02752335,-0.06348675,0.1515341,0.1665854,-0.0009862022,-0.0661507,0.1481334,0.1622356,-0.01412718,-0.07258477,0.1291257,0.1488005,-0.1734885,0.125778,-0.04746802,0.9756169,25.35702,-0.7904517,0.5730721,-0.2162747,5.715899,-0.008939729,-0.06749149,0.119126,0.137208,0.4992963,0.405372,0.3532417,0.6794094,94.40498,0.6804633,0.5524591,0.4814135,1.224521,True,True,False,-0.1162701,0.6281874,0.1358545,0.6531422,-0.3076028,-0.09941158,-0.6237865,-0.7116096,270.7321,-0.437822,-0.141496,-0.8878574,-0.003586665,0.6599777,0.1798196,0.6840457,0.007445626,0.6017225,0.2081162,0.63674,0.005459778,0.5807399,0.2010215,0.6145716,0.06973628,-0.07393718,0.09211626,0.1371687,0.01906851,-0.06858265,0.1430679,0.1597987,-0.005095123,-0.07190277,0.1429896,0.1601312,0.0701513,-0.07397155,0.09185212,0.1372218,0.01912618,-0.06856521,0.1430124,0.1597483,-0.005063996,-0.07192168,0.142885,0.1600453,0.05001819,-0.07317973,0.1065137,0.1385722,-0.4625913,0.07316265,0.8761366,-0.1141983,193.1148,-0.4656375,0.07364443,0.8819061,6.457937,0,0,0,0,0,0,0,0,0,1,0,0,0.3846789,False,True,False,-0.04984055,1.000475,0.2951735,1.044299,0.03933751,-0.002278571,0.03407568,0.9986422,5.972191,0.7551318,-0.04373997,0.6541246,0.09984055,-0.0004746914,0.004826486,0.09995827,0.4453492,-0.2712899,-0.7663411,0.3752164,135.9246,0.4804523,-0.2926734,-0.8267454,-0.004461487,1.120604,-0.0117997,1.120675,0.06922574,0.05468547,-0.02312321,0.9958326,10.46526,0.7590556,0.5996224,-0.2535444,False
1773029072093,0.1249395,0.04470179,0.9121867,0.2462749,0.9459039,-0.4550862,-0.4127747,-0.3495474,0.7073403,89.96215,-0.6438018,-0.5839444,-0.494498,-0.04959577,0.9820243,0.286377,1.02413,-0.05335288,1.021485,0.278361,1.060077,-0.04527403,1.011471,0.2989125,1.055685,-0.01233003,-0.07947123,0.1096834,0.1360079,-0.02711238,-0.06515697,0.1489775,0.1648478,-0.001797774,-0.06920372,0.1419043,0.1578899,-0.01221974,-0.07998951,0.1093614,0.1360425,-0.02743937,-0.06383886,0.1509967,0.1662177,-0.001153113,-0.0667925,0.1468108,0.1612947,-0.01433801,-0.07262616,0.1290468,0.1487724,-0.1704742,0.1291363,-0.04836405,0.9756656,25.33158,-0.7774849,0.5889542,-0.2205748,5.498983,-0.009131925,-0.06752924,0.1190541,0.1371768,0.504001,0.4054211,0.3513712,0.6768718,94.80068,0.6846898,0.5507682,0.4773408,1.229479,True,True,False,-0.116249,0.6280478,0.1359226,0.6530182,-0.3076646,-0.09931377,-0.6239053,-0.7114924,270.713,-0.437836,-0.1413329,-0.8878765,-0.003575437,0.6596981,0.1799521,0.6838108,0.007474869,0.6015697,0.2081905,0.6366202,0.005498491,0.5805913,0.2011106,0.6144607,0.06958798,-0.07391908,0.09220745,0.1371449,0.01904879,-0.06859194,0.1430813,0.1598123,-0.005105718,-0.07190201,0.1430228,0.1601608,0.07003586,-0.07396084,0.09192485,0.1372057,0.01911037,-0.06857067,0.1430264,0.1597614,-0.005072519,-0.07191766,0.1429132,0.1600689,0.04991585,-0.07317098,0.1065846,0.1385852,-0.4625006,0.07301121,0.8762234,-0.1139966,193.0915,-0.4655354,0.07349028,0.8819728,6.443938,0,0,0,0,0,0,0,0,0,1,0,0,0.3875221,False,True,False,-0.04968012,1.000828,0.2932278,1.044082,0.04218804,-0.005544912,0.03501245,0.9984807,6.317534,0.765624,-0.1006285,0.6354021,0.09968013,-0.0008281469,0.00677222,0.09991334,0.4469093,-0.267451,-0.7660185,0.3767729,135.7321,0.4824642,-0.2887286,-0.8269607,-0.00445005,1.120522,-0.01172987,1.120592,0.06947871,0.05474849,-0.02310964,0.9958119,10.49129,0.7599446,0.5988284,-0.2527688,False
1773029072108,0.138916,0.04511551,0.9120976,0.2441955,0.9452983,-0.4564938,-0.4140274,-0.3502488,0.7053514,90.28413,-0.6439849,-0.5840767,-0.494103,-0.04909244,0.9824084,0.2836627,1.023719,-0.0527657,1.021638,0.2755679,1.059465,-0.04482275,1.011535,0.2960698,1.054927,-0.01237915,-0.0793761,0.1097408,0.1360031,-0.02705802,-0.06520943,0.148858,0.1647517,-0.001860071,-0.06931481,0.1416118,0.1576766,-0.01225325,-0.07986112,0.109441,0.1360341,-0.02735977,-0.06413351,0.1505378,0.1659015,-0.001301598,-0.06733394,0.1456816,0.1604951,-0.01452476,-0.07264892,0.1289971,0.1487585,-0.1676702,0.1322592,-0.04933006,0.9756848,25.32155,-0.7649943,0.6034319,-0.2250682,5.31229,-0.009302211,-0.06755002,0.1190087,0.1371591,0.5080813,0.405371,0.3496496,0.6747395,95.13218,0.6884044,0.5492414,0.4737438,1.139839,True,True,False,-0.1162113,0.6279702,0.135971,0.652947,-0.3078015,-0.09916842,-0.623999,-0.7113713,270.6932,-0.4379544,-0.1411015,-0.887855,-0.003552683,0.6595289,0.1800739,0.6836794,0.007522285,0.6014572,0.2082309,0.6365277,0.005555272,0.5804882,0.2011625,0.6143808,0.06950644,-0.07388502,0.09227853,0.137133,0.01902726,-0.06860459,0.143091,0.1598239,-0.005113648,-0.07190604,0.143052,0.160189,0.06992505,-0.07394503,0.09199878,0.1371902,0.01909303,-0.06857774,0.1430399,0.1597744,-0.005081099,-0.07191524,0.1429422,0.160094,0.04981816,-0.0731592,0.1066553,0.1385982,-0.462431,0.07281658,0.8763035,-0.1137878,193.0674,-0.4654541,0.07329261,0.8820323,6.428865,0,0,0,0,0,0,0,0,0,1,0,0,0.3857226,False,True,False,-0.04949436,1.001218,0.2911971,1.043879,0.04514197,-0.008892835,0.0354775,0.9983109,6.661332,0.7769931,-0.1530654,0.6106462,0.09949437,-0.001217842,0.008802891,0.09989046,0.4483373,-0.263713,-0.7655054,0.378749,135.4876,0.4844273,-0.2849413,-0.8271267,-0.004362942,1.120457,-0.01169967,1.120527,0.0696473,0.05456177,-0.02319137,0.9958084,10.49562,0.7614764,0.5965415,-0.2535587,False
