Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773029586975,0,1,1,135,0.9660187,0.0348633,0.2561104,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.8924849,0.03220949,0.2366152,0.3826834,135,0.9660187,0.0348633,0.2561104
Trial Start,1773029592179,0,1,1,135,0.9660187,0.0348633,0.2561104,1,-1,-0.04796699,0.9968061,0.2974607,1.041348,0,0,0,1,0,1,0,0,0.09796698,0.003193915,0.002539307,0.09805192,0.8924849,0.03220949,0.2366152,0.3826834,135,0.9660187,0.0348633,0.2561104
On Target,1773029596891,4.736513,1,1,135,0.9660187,0.0348633,0.2561104,1,-1,0.04589424,0.9999722,0.2826517,1.040165,0.8958058,0.04575932,0.2723274,0.3482468,139.2398,0.9556252,0.04881499,0.2905126,0.004105765,2.783537E-05,0.01734829,0.01782754,-0.02994918,0.02479237,-0.03380075,0.9986721,5.906006,-0.5813504,0.4812506,-0.6561143
Trial End,1773029597892,5.736736,1,2,135,0.9660187,0.0348633,0.2561104,1,-1,0.04973392,0.9990051,0.2991802,1.044027,0.9046193,0.009859264,0.2485052,0.3461386,139.4974,0.9642244,0.01050889,0.2648791,0.0002660789,0.0009949207,0.0008198619,0.001316373,-0.0429307,0.01511646,0.007140902,0.9989382,5.28113,-0.9318544,0.3281181,0.1550005
Trial Load,1773029597894,5.736736,1,2,135,-0.1537896,-0.7602755,0.6311338,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.1420831,-0.7024031,0.5830916,0.3826834,135,-0.1537896,-0.7602756,0.6311339
Trial Start,1773029600378,0,1,2,135,-0.1537896,-0.7602755,0.6311338,1,-1,-0.01829662,1.001898,0.2898339,1.043138,0,0,0,1,0,1,0,0,0.06829663,-0.001897812,0.01016611,0.06907518,-0.1420831,-0.7024031,0.5830916,0.3826834,135,-0.1537896,-0.7602756,0.6311339
On Target,1773029626459,26.09474,1,2,135,-0.1537896,-0.7602755,0.6311338,1,-1,0.0507976,0.9996094,0.2871544,1.041277,0.082902,0.6990773,-0.5569245,-0.4407418,232.3024,0.09235614,0.7788,-0.6204361,-0.0007976033,0.0003905892,0.01284564,0.0128763,0.04733736,0.07284319,-0.002770621,-0.9962156,350.0274,0.5446241,0.8380728,-0.03187644
Trial End,1773029627459,27.09479,1,3,135,-0.1537896,-0.7602755,0.6311338,1,-1,0.05190164,0.9998375,0.2956089,1.043913,0.1155283,0.6830088,-0.579989,-0.4286782,230.7674,0.1278736,0.7559946,-0.6419662,-0.001901638,0.0001625419,0.004391074,0.00478792,0.00756777,0.05477173,-0.01210992,-0.9983969,353.5105,0.1337035,0.9676788,-0.2139518
Trial Load,1773029627464,27.09479,1,3,135,0.4321539,0.8943099,-0.115986,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.3992581,0.8262347,-0.1071571,0.3826834,135,0.4321539,0.89431,-0.115986
Trial Start,1773029629555,0,1,3,135,0.4321539,0.8943099,-0.115986,1,-1,-0.04822162,1.001726,0.2988293,1.046461,0.005644877,0.0003265899,0.008835105,-0.999945,358.798,0.5381441,0.03113486,0.8422787,0.09822161,-0.001726389,0.001170754,0.09824376,-0.4087313,-0.8221818,0.1083037,-0.3810855,224.8019,-0.4420916,-0.8892876,0.1171434
On Target,1773029637027,7.48528,1,3,135,0.4321539,0.8943099,-0.115986,1,-1,0.06241807,0.9969792,0.2896649,1.040081,0.3605261,0.82336,-0.1763801,0.4012349,132.6892,0.3935981,0.8988889,-0.1925599,-0.01241807,0.003020823,0.01033515,0.01643622,0.07973143,-0.01536025,-0.00635144,0.9966779,9.343205,0.9789653,-0.1885975,-0.07798479
Off Target,1773029637264,7.721682,1,3,135,0.4321539,0.8943099,-0.115986,1,-1,0.0465405,0.9942182,0.3054985,1.041136,0.446835,0.806451,-0.03354681,0.3858108,134.6118,0.484333,0.8741277,-0.03636203,0.003459502,0.005781829,-0.005498439,0.008696582,-0.07565763,0.04464254,0.01870388,0.9959584,10.30595,-0.8423698,0.4970487,0.2082484
On Target,1773029637652,8.110563,1,3,135,0.4321539,0.8943099,-0.115986,1,-1,0.05235549,0.9949716,0.3084625,1.043005,0.428722,0.8067144,-0.03091778,0.4055288,132.1515,0.469019,0.8825402,-0.03382385,-0.00235549,0.005028367,-0.008462489,0.01012159,-0.06305393,0.05994218,0.0005141296,0.9962083,9.982087,-0.7247571,0.6889899,0.00590953
Trial End,1773029638653,9.110596,1,4,135,0.4321539,0.8943099,-0.115986,1,-1,0.05116567,1.004328,0.2956385,1.048186,0.439851,0.8011991,-0.08174789,0.3974022,133.1683,0.4793262,0.873104,-0.08908448,-0.001165669,-0.004327655,0.00436151,0.006253811,-0.02796887,0.03623649,0.03223405,0.9984317,6.41886,-0.4995691,0.6472423,0.5757521
Trial Load,1773029638653,9.110596,1,4,135,0.4647369,0.3829559,0.798351,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.4293609,0.3538051,0.7375802,0.3826834,135,0.4647369,0.3829559,0.7983511
Trial Start,1773029640054,0,1,4,135,0.4647369,0.3829559,0.798351,1,-1,-0.03665041,0.9838214,0.291078,1.026632,0,0,0,1,0,1,0,0,0.08665042,0.01617861,0.00892204,0.08859822,0.4293609,0.3538051,0.7375802,0.3826834,135,0.4647369,0.3829559,0.7983511
On Target,1773029646457,6.416303,1,4,135,0.4647369,0.3829559,0.798351,1,-1,0.0494231,0.9983176,0.2960812,1.04247,-0.399539,-0.2832,-0.7760367,-0.3974085,226.8325,-0.4353975,-0.3086171,-0.8456858,0.0005769022,0.001682401,0.003918827,0.004303544,0.04794832,-0.07073701,-0.0159082,-0.996215,350.0267,0.5516141,-0.8137831,-0.1830135
Trial End,1773029647443,7.402483,1,5,135,0.4647369,0.3829559,0.798351,1,-1,0.04893887,0.9995687,0.3040821,1.045944,-0.4062664,-0.3187562,-0.7554856,-0.4032167,227.5589,-0.4439563,-0.3483277,-0.8255731,0.00106113,0.0004312992,-0.004082054,0.004239715,0.01453231,-0.04539933,-0.01517054,-0.9987481,354.2653,0.2905043,-0.9075435,-0.3032628
Trial Load,1773029647443,7.402483,1,5,135,-0.04652461,0.256492,0.965426,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.04298314,0.2369677,0.8919373,0.3826834,135,-0.04652462,0.256492,0.965426
Trial Start,1773029648873,0,1,5,135,-0.04652461,0.256492,0.965426,1,-1,-0.05574441,0.9981651,0.2762502,1.037186,0,0,0,1,0,1,0,0,0.1057444,0.001834869,0.02374983,0.1083942,-0.04298314,0.2369677,0.8919373,0.3826834,135,-0.04652462,0.256492,0.965426
On Target,1773029657164,8.304715,1,5,135,-0.04652461,0.256492,0.965426,1,-1,0.05563996,1.00242,0.2901053,1.045038,-0.122856,0.2052251,0.8893108,0.3897633,134.1205,-0.1334065,0.2228491,0.9656817,-0.005639959,-0.002420425,0.009894729,0.01164359,0.002571699,0.08517958,-0.01297179,0.9962779,9.890045,0.02983411,0.9881626,-0.1504849
Trial End,1773029658164,9.304482,1,6,135,-0.04652461,0.256492,0.965426,1,-1,0.04838172,1.001502,0.2965218,1.045597,0.07417269,-0.2858671,-0.8574941,-0.4212866,229.8317,0.08178458,-0.3152038,-0.9454934,0.001618277,-0.001502275,0.003478169,0.004119868,-0.06205351,-0.01973435,-0.04232339,-0.9969798,351.0917,-0.7990237,-0.2541066,-0.5449714
Trial Load,1773029658164,9.304482,1,6,135,0.3940962,-0.1090785,0.9125733,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.3640974,-0.1007754,0.8431079,0.3826834,135,0.3940962,-0.1090786,0.9125734
Trial Start,1773029659414,0,1,6,135,0.3940962,-0.1090785,0.9125733,1,-1,-0.03100308,0.9868956,0.3051625,1.033464,0,0,0,1,0,1,0,0,0.08100308,0.01310444,-0.005162507,0.08221848,0.3640974,-0.1007754,0.8431079,0.3826834,135,0.3940962,-0.1090786,0.9125734
On Target,1773029668288,8.888369,1,6,135,0.3940962,-0.1090785,0.9125733,1,-1,0.04993714,1.002344,0.296039,1.046339,0.433612,-0.0687651,0.8059453,0.39712,133.2035,0.4724643,-0.07492656,0.8781592,6.285682E-05,-0.002343655,0.003960997,0.004602843,0.001897308,-0.08584382,0.007732823,0.9962769,9.891392,0.02200763,-0.9957365,0.08969609
Trial End,1773029669274,9.874341,1,7,135,0.3940962,-0.1090785,0.9125733,1,-1,0.04922483,0.9982143,0.2980988,1.042937,0.3764613,-0.1219309,0.8338767,0.3847849,134.7392,0.4078642,-0.1321019,0.9034356,0.0007751696,0.001785696,0.001901209,0.002721065,-0.02273291,-0.005901059,0.01176108,0.9996551,3.010384,-0.8654374,-0.2246522,0.447742
Trial Load,1773029669274,9.874341,1,7,135,-0.661422,-0.5757508,0.4806578,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.6110743,-0.5319244,0.4440699,0.3826834,135,-0.661422,-0.5757509,0.4806578
Trial Start,1773029670900,0,1,7,135,-0.661422,-0.5757508,0.4806578,1,-1,-0.03814555,0.9947096,0.2841687,1.035207,0,0,0,1,0,1,0,0,0.08814555,0.005290389,0.01583129,0.08971208,-0.6110743,-0.5319244,0.4440699,0.3826834,135,-0.661422,-0.5757509,0.4806578
On Target,1773029677191,6.304763,1,7,135,-0.661422,-0.5757508,0.4806578,1,-1,0.04288343,1.016796,0.2922413,1.058828,0.5779936,0.5908284,-0.4110879,-0.3845154,225.2273,0.6261314,0.6400352,-0.4453251,0.007116567,-0.01679564,0.007758737,0.01982264,0.0574803,-0.02703142,0.04015592,-0.9971725,351.3807,0.7649053,-0.3597142,0.5343654
