Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,0.9660187,0.0348633,0.2561104,1,5.736736,False,0.0002660789,0.0009949207,0.0008198619,0.001316373,-0.0429307,0.01511646,0.007140902,0.9989382,5.28113,-0.9318544,0.3281181,0.1550005,0.5424266,0.3741693,0.568529,1.271193,720.0654,0,0,0,0,0,0,0,0,0,0.5038045,352.635,0.104346,40.99161
1,3,135,-0.1537896,-0.7602755,0.6311338,1,27.09479,False,-0.001901638,0.0001625419,0.004391074,0.00478792,0.00756777,0.05477173,-0.01210992,-0.9983969,353.5105,0.1337035,0.9676788,-0.2139518,2.0972,2.213139,2.941579,3.647042,3072.97,0,0,0,0,0,0,0,0,0,1.924577,1691.103,0.5921164,167.6952
1,4,135,0.4321539,0.8943099,-0.115986,1,9.110596,False,-0.001165669,-0.004327655,0.00436151,0.006253811,-0.02796887,0.03623649,0.03223405,0.9984317,6.41886,-0.4995691,0.6472423,0.5757521,0.8381208,0.8223969,1.043691,1.246891,791.5886,0,0,0,0,0,0,0,0,0,0.6807086,404.1419,0.3229009,74.06738
1,5,135,0.4647369,0.3829559,0.798351,1,7.402483,False,0.00106113,0.0004312992,-0.004082054,0.004239715,0.01453231,-0.04539933,-0.01517054,-0.9987481,354.2653,0.2905043,-0.9075435,-0.3032628,0.3804915,0.3671485,0.409125,0.915952,680.3466,0,0,0,0,0,0,0,0,0,0.6357749,551.4264,0.09110726,24.91598
1,6,135,-0.04652461,0.256492,0.965426,1,9.304482,False,0.001618277,-0.001502275,0.003478169,0.004119868,-0.06205351,-0.01973435,-0.04232339,-0.9969798,351.0917,-0.7990237,-0.2541066,-0.5449714,0.7658669,0.9177483,1.181182,1.213633,689.8057,0,0,0,0,0,0,0,0,0,0.7524604,413.7813,0.128086,42.85531
1,7,135,0.3940962,-0.1090785,0.9125733,1,9.874341,False,0.0007751696,0.001785696,0.001901209,0.002721065,-0.02273291,-0.005901059,0.01176108,0.9996551,3.010384,-0.8654374,-0.2246522,0.447742,0.8544488,0.7748973,1.061718,1.773463,1021.179,0,0,0,0,0,0,0,0,0,0.7271973,643.4565,0.140577,49.12904
1,8,135,-0.661422,-0.5757508,0.4806578,1,7.860425,False,-0.000511121,-0.000655055,0.003199458,0.003305582,0.009609917,0.001132472,0.01259185,0.9998739,1.819564,0.6052146,0.07132096,0.7930114,0.5484551,0.4865956,0.6416894,1.252163,844.9193,0,0,0,0,0,0,0,0,0,1.042181,571.6978,0.1131813,35.61591
1,9,135,-0.5742057,-0.6535847,-0.4930669,1,6.610573,False,-1.360849E-05,-0.001523614,0.002518117,0.002943213,-0.02028481,-0.05353248,-0.0002051298,0.9983601,6.563508,-0.3543437,-0.9351278,-0.003583293,0.335889,0.2640415,0.4270054,0.9331993,530.8896,0,0,0,0,0,0,0,0,0,0.4858879,334.8961,0.09638339,25.91043
1,10,135,0.5900458,-0.7538064,0.2891745,1,6.638732,False,0.000712622,-0.002099991,0.00565818,0.006077235,-0.0308244,-0.01143109,-0.02144342,0.9992294,4.498847,-0.7853404,-0.29124,-0.546333,0.3453529,0.3042738,0.4092128,0.7656416,621.5633,0,0,0,0,0,0,0,0,0,0.5353429,413.2695,0.1188293,26.42556
1,11,135,0.4461751,-0.8362364,0.3188049,1,12.91514,False,-0.001980569,-0.001402974,0.002165407,0.003252688,-0.04162591,0.002400497,-0.001852033,0.9991287,4.783912,-0.9973815,0.05751732,-0.04437581,1.250747,1.013115,1.199287,2.188614,1355.812,0,0,0,0,0,0,0,0,0,0.8827587,655.1035,0.184845,55.46568
