Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773029862548,0.0140431,0.03689861,0.9060744,0.2344785,0.9366496,0.1040169,-0.2694281,-0.8634924,0.4134852,131.1521,0.1142402,-0.2959088,-0.9483604,-0.03363188,0.9995993,0.2809651,1.03888,-0.0434902,1.003654,0.3141139,1.052559,-0.05936087,0.9890581,0.2946831,1.03373,-0.02756498,-0.07540311,0.1125173,0.138223,-0.0225388,-0.06475455,0.1488473,0.16388,-5.230285E-05,-0.07974769,0.1320247,0.1542408,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.7071068,-3.090862E-08,-0.7071068,-3.090862E-08,180,-0.7071068,-3.090862E-08,-0.7071068,0.09689636,0.05140441,0.08581597,0.1392684,0.1800304,0.01057347,0.01793963,0.1812307,0.1898625,0.00659139,-0.009400755,0.1902094,0.08581597,-0.05140441,0.09689637,0.1392684,0.01793961,-0.01057347,0.1800304,0.1812307,-0.009400785,-0.006591393,0.1898626,0.1902094,0,0,0,0,0,0,0,0,0,1,0,0,-0.04939525,0.9991525,0.3016447,1.044861,0.003965544,-0.01444603,-0.007808445,-0.9998573,358.0641,0.2347392,-0.8551288,-0.4622186,0.09939525,0.0008475184,-0.001644641,0.09941247,-0.242269,0.3956485,0.8050064,-0.3697741,223.4034,-0.2607505,0.4258305,0.8664163,0.01054782,1.093876,-0.0174443,1.094066,0.05347578,0.01503134,0.00231022,0.9984534,6.374052,0.9618726,0.2703698,0.04155408,False
1773029862562,0.0278968,0.03707465,0.9059246,0.2344272,0.9364988,0.07777908,-0.273,-0.8528429,0.4382698,128.0129,0.0865324,-0.3037236,-0.9488225,-0.03434706,0.9986564,0.2811337,1.038042,-0.04260258,1.003699,0.3145319,1.05269,-0.05883587,0.9878298,0.2965139,1.033049,-0.02759446,-0.0753606,0.1125347,0.1382199,-0.02259118,-0.06477184,0.1488282,0.1638767,-0.0001989314,-0.0797506,0.1319556,0.1541833,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.7071068,-3.090862E-08,-0.7071068,-3.090862E-08,180,-0.7071068,-3.090862E-08,-0.7071068,0.09689636,0.05140441,0.08581597,0.1392684,0.1800304,0.01057347,0.01793963,0.1812307,0.1898625,0.00659139,-0.009400755,0.1902094,0.08581597,-0.05140441,0.09689637,0.1392684,0.01793961,-0.01057347,0.1800304,0.1812307,-0.009400785,-0.006591393,0.1898626,0.1902094,0,0,0,0,0,0,0,0,0,1,0,0,-0.04900724,0.9984599,0.3026077,1.044459,0.02339713,-0.04125962,-0.0259903,-0.9985363,353.7993,0.4326014,-0.7628701,-0.4805478,0.09900723,0.001540124,-0.002607673,0.09905354,-0.2349948,0.4164096,0.8100343,-0.3394482,219.6865,-0.2498284,0.4426947,0.8611662,0.01040766,1.093864,-0.0174296,1.094053,0.05340555,0.01442871,0.003213836,0.9984635,6.353133,0.9637741,0.2603853,0.05799794,False
1773029862575,0.0419963,0.03727782,0.9057523,0.2343684,0.9363255,0.05695311,-0.2748318,-0.8437892,0.4574317,125.557,0.0640466,-0.3090621,-0.9488829,-0.03476606,0.9977916,0.2814792,1.037317,-0.04175995,1.003622,0.3149718,1.052714,-0.05817243,0.9868264,0.2980846,1.032504,-0.0276246,-0.07531894,0.1125511,0.1382166,-0.02264428,-0.06480135,0.1487961,0.1638666,-0.0003735357,-0.07975993,0.1318651,0.154111,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.7071068,-3.090862E-08,-0.7071068,-3.090862E-08,180,-0.7071068,-3.090862E-08,-0.7071068,0.09689636,0.05140441,0.08581597,0.1392684,0.1800304,0.01057347,0.01793963,0.1812307,0.1898625,0.00659139,-0.009400755,0.1902094,0.08581597,-0.05140441,0.09689637,0.1392684,0.01793961,-0.01057347,0.1800304,0.1812307,-0.009400785,-0.006591393,0.1898626,0.1902094,0,0,0,0,0,0,0,0,0,1,0,0,-0.04852623,0.9978105,0.3035378,1.044086,0.03805615,-0.06273729,-0.04033785,-0.9964882,350.3936,0.4544896,-0.7492467,-0.481739,0.09852622,0.002189457,-0.003537804,0.09861403,-0.2284907,0.4319834,0.8135391,-0.315177,216.743,-0.2407616,0.4551828,0.8572297,0.01027547,1.093863,-0.01739801,1.094049,0.05337878,0.01374164,0.003599368,0.9984733,6.332762,0.9663818,0.2487819,0.06516379,False
1773029862592,0.0566702,0.03739502,0.9056579,0.2336103,0.9360493,0.01180279,-0.2782387,-0.8188428,0.5019367,119.7436,0.01364636,-0.3216988,-0.9467437,-0.03683137,0.9954364,0.2816459,1.035169,-0.04103574,1.003176,0.3153091,1.052362,-0.05740032,0.9839675,0.3006542,1.030475,-0.02752466,-0.0753604,0.1125274,0.1381999,-0.0226727,-0.06475643,0.1488663,0.1639165,-0.000495784,-0.07971688,0.1312962,0.1536025,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.7071068,-3.090862E-08,-0.7071068,-3.090862E-08,180,-0.7071068,-3.090862E-08,-0.7071068,0.09689636,0.05140441,0.08581597,0.1392684,0.1800304,0.01057347,0.01793963,0.1812307,0.1898625,0.00659139,-0.009400755,0.1902094,0.08581597,-0.05140441,0.09689637,0.1392684,0.01793961,-0.01057347,0.1800304,0.1812307,-0.009400785,-0.006591393,0.1898626,0.1902094,0,0,0,0,0,0,0,0,0,1,0,0,-0.04839407,0.9960968,0.3049019,1.04284,0.07114178,-0.1097187,-0.07621437,-0.9884797,342.5892,0.4700369,-0.7249163,-0.5035517,0.09839407,0.00390321,-0.004901886,0.09859338,-0.215521,0.4643742,0.8197053,-0.2568865,209.7708,-0.2230047,0.480499,0.8481686,0.01015594,1.09384,-0.01735292,1.094024,0.05325043,0.01309338,0.003765991,0.9984882,6.301773,0.9687919,0.2382095,0.06851515,False
1773029862605,0.0702145,0.03753663,0.9055459,0.2325565,0.9356843,-0.01648983,-0.2793232,-0.8015778,0.5283746,116.2086,-0.0194224,-0.3289981,-0.9441309,-0.03790773,0.9937857,0.2814609,1.03357,-0.04034933,1.002912,0.3150422,1.052004,-0.05641418,0.9822381,0.3016863,1.029072,-0.02733808,-0.0754098,0.1125001,0.1381676,-0.02269823,-0.06471035,0.1489407,0.1639694,-0.0006389683,-0.07962608,0.1307721,0.153108,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.7071068,-3.090862E-08,-0.7071068,-3.090862E-08,180,-0.7071068,-3.090862E-08,-0.7071068,0.09689636,0.05140441,0.08581597,0.1392684,0.1800304,0.01057347,0.01793963,0.1812307,0.1898625,0.00659139,-0.009400755,0.1902094,0.08581597,-0.05140441,0.09689637,0.1392684,0.01793961,-0.01057347,0.1800304,0.1812307,-0.009400785,-0.006591393,0.1898626,0.1902094,0,0,0,0,0,0,0,0,0,1,0,0,-0.04799917,0.9950518,0.3053149,1.041945,0.0912416,-0.1389964,-0.09821828,-0.9811769,337.7312,0.4724825,-0.7197745,-0.5086103,0.09799917,0.004948199,-0.005314916,0.09826785,-0.2065263,0.4833335,0.8217644,-0.2200885,205.4285,-0.2117177,0.4954828,0.8424206,0.01004044,1.093816,-0.01732459,1.093999,0.05347878,0.01257203,0.003957713,0.998482,6.314806,0.9709465,0.2282544,0.07185519,False
1773029862619,0.0839507,0.0376702,0.9054428,0.2314044,0.935304,-0.03627068,-0.2795243,-0.7888376,0.5461557,113.7927,-0.04329878,-0.3336871,-0.9416891,-0.03855345,0.9925218,0.2810774,1.032274,-0.03973292,1.002746,0.3145096,1.051662,-0.05544926,0.9810923,0.3020063,1.02802,-0.02709858,-0.07546856,0.1124677,0.1381261,-0.02272079,-0.06466323,0.1490193,0.1640254,-0.0008019484,-0.07949994,0.1303475,0.1526806,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.7071068,-3.090862E-08,-0.7071068,-3.090862E-08,180,-0.7071068,-3.090862E-08,-0.7071068,0.09689636,0.05140441,0.08581597,0.1392684,0.1800304,0.01057347,0.01793963,0.1812307,0.1898625,0.00659139,-0.009400755,0.1902094,0.08581597,-0.05140441,0.09689637,0.1392684,0.01793961,-0.01057347,0.1800304,0.1812307,-0.009400785,-0.006591393,0.1898626,0.1902094,0,0,0,0,0,0,0,0,0,1,0,0,-0.04755597,0.9943427,0.3052608,1.041232,0.1049127,-0.1594207,-0.1133274,-0.9750566,334.3521,0.4726725,-0.7182521,-0.5105841,0.09755597,0.005657315,-0.005260795,0.09786137,-0.199768,0.4959401,0.8224243,-0.1943056,202.4083,-0.2036493,0.5055758,0.8384033,0.009995013,1.093795,-0.01731715,1.093977,0.05339871,0.01197315,0.003956898,0.9984937,6.290454,0.9732383,0.2182212,0.07211794,False
1773029862631,0.0977588,0.03731396,0.9051242,0.2306893,0.9348047,-0.08416703,-0.2826928,-0.7592003,0.5801859,109.0728,-0.1033379,-0.3470821,-0.9321243,-0.03957104,0.990777,0.2816213,1.030784,-0.03809781,1.003853,0.3139982,1.052505,-0.05188355,0.978417,0.3003847,1.024804,-0.02646513,-0.07546079,0.1125251,0.1380458,-0.02273563,-0.06458024,0.1490901,0.1640591,-0.001565698,-0.07891327,0.1250848,0.1479053,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.7071068,-3.090862E-08,-0.7071068,-3.090862E-08,180,-0.7071068,-3.090862E-08,-0.7071068,0.09689636,0.05140441,0.08581597,0.1392684,0.1800304,0.01057347,0.01793963,0.1812307,0.1898625,0.00659139,-0.009400755,0.1902094,0.08581597,-0.05140441,0.09689637,0.1392684,0.01793961,-0.01057347,0.1800304,0.1812307,-0.009400785,-0.006591393,0.1898626,0.1902094,0,0,0,0,0,0,0,0,0,1,0,0,-0.04624874,0.9943308,0.3060612,1.041396,0.1389616,-0.2054753,-0.1412972,-0.9583865,326.8257,0.486775,-0.7197692,-0.4949567,0.09624875,0.005669236,-0.006061196,0.0966059,-0.1826737,0.5273491,0.818029,-0.1391468,195.9969,-0.1844682,0.5325297,0.8260652,0.009950209,1.093801,-0.01731344,1.093983,0.05346537,0.01136922,0.00421473,0.9984961,6.285348,0.9752454,0.2073825,0.07687958,False
1773029862645,0.1111446,0.03696554,0.9048367,0.2300072,0.9343442,-0.113198,-0.2836538,-0.7392909,0.6001465,106.2392,-0.141517,-0.354616,-0.9242406,-0.04027876,0.9894078,0.2819996,1.029599,-0.03721377,1.004443,0.3134961,1.052887,-0.04986281,0.9767771,0.2996097,1.02291,-0.02587203,-0.075463,0.1125568,0.1379604,-0.02275667,-0.06442738,0.1492322,0.1641311,-0.001990017,-0.07834464,0.1223954,0.1453357,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.7071068,-3.090862E-08,-0.7071068,-3.090862E-08,180,-0.7071068,-3.090862E-08,-0.7071068,0.09689636,0.05140441,0.08581597,0.1392684,0.1800304,0.01057347,0.01793963,0.1812307,0.1898625,0.00659139,-0.009400755,0.1902094,0.08581597,-0.05140441,0.09689637,0.1392684,0.01793961,-0.01057347,0.1800304,0.1812307,-0.009400785,-0.006591393,0.1898626,0.1902094,0,0,0,0,0,0,0,0,0,1,0,0,-0.04554572,0.9942222,0.3063195,1.041337,0.1592212,-0.2333688,-0.1585678,-0.9460676,322.1938,0.4914703,-0.7203425,-0.4894533,0.09554572,0.005777776,-0.006319463,0.09592864,-0.1717561,0.5451356,0.8138562,-0.1047148,192.0215,-0.1727056,0.5481491,0.8183553,0.009880298,1.093818,-0.01731128,1.093999,0.05348558,0.01088723,0.004445596,0.9984994,6.278492,0.9766799,0.1988076,0.08117934,False
1773029862658,0.1249294,0.03624044,0.9032899,0.2299924,0.9328143,-0.1616431,-0.2967576,-0.7108917,0.6167977,103.8347,-0.2053597,-0.3770162,-0.9031536,-0.04039191,0.9887388,0.2807648,1.028623,-0.03535881,1.0076,0.3093888,1.054623,-0.04653757,0.9769924,0.2968211,1.022146,-0.02430664,-0.07528258,0.1126508,0.1376535,-0.02278684,-0.06422912,0.1489761,0.1638246,-0.002491063,-0.07711008,0.119153,0.1419493,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.7071068,-3.090862E-08,-0.7071068,-3.090862E-08,180,-0.7071068,-3.090862E-08,-0.7071068,0.09689636,0.05140441,0.08581597,0.1392684,0.1800304,0.01057347,0.01793963,0.1812307,0.1898625,0.00659139,-0.009400755,0.1902094,0.08581597,-0.05140441,0.09689637,0.1392684,0.01793961,-0.01057347,0.1800304,0.1812307,-0.009400785,-0.006591393,0.1898626,0.1902094,0,0,0,0,0,0,0,0,0,1,0,0,-0.04399861,0.9966514,0.30393,1.042892,0.1997422,-0.2713044,-0.1696841,-0.9261233,315.6767,0.5295098,-0.719219,-0.4498269,0.09399861,0.003348589,-0.003930032,0.09414031,-0.1562629,0.5815439,0.7958505,-0.0633313,187.2621,-0.1565772,0.5827136,0.7974511,0.009805918,1.093822,-0.01731765,1.094003,0.05354219,0.01027662,0.004656613,0.9985018,6.273377,0.9785113,0.1878106,0.08510202,False
1773029862673,0.13897,0.03537998,0.9015013,0.2299633,0.9310421,-0.1909925,-0.303222,-0.6916085,0.6271014,102.3268,-0.245196,-0.3892763,-0.8878868,-0.04087247,0.9872569,0.2802472,1.027076,-0.03487046,1.008228,0.3068481,1.054465,-0.04485323,0.9758464,0.2951859,1.020501,-0.02339446,-0.07509484,0.112676,0.1374133,-0.02280384,-0.06405505,0.1487506,0.1635536,-0.002815222,-0.07607003,0.1171124,0.1396778,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.7071068,-3.090862E-08,-0.7071068,-3.090862E-08,180,-0.7071068,-3.090862E-08,-0.7071068,0.09689636,0.05140441,0.08581597,0.1392684,0.1800304,0.01057347,0.01793963,0.1812307,0.1898625,0.00659139,-0.009400755,0.1902094,0.08581597,-0.05140441,0.09689637,0.1392684,0.01793961,-0.01057347,0.1800304,0.1812307,-0.009400785,-0.006591393,0.1898626,0.1902094,0,0,0,0,0,0,0,0,0,1,0,0,-0.04366271,0.9969434,0.3025203,1.042747,0.2236059,-0.2946979,-0.1776129,-0.911925,311.5455,0.544906,-0.7181502,-0.4328255,0.09366271,0.003056586,-0.002520263,0.09374645,-0.1462229,0.6020898,0.7840754,-0.03650592,184.1842,-0.1463204,0.6024913,0.7845984,0.009725124,1.093819,-0.01734244,1.094,0.05355624,0.009959209,0.004904752,0.9985031,6.27063,0.9791971,0.1820895,0.08967617,False
