Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773030127593,0,1,1,135,-0.3004497,0.5225188,-0.7979374,1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,0,0,0.1,-0.2775793,0.4827445,-0.7371981,0.3826833,135,-0.3004497,0.5225189,-0.7979375
Grab_left,1773030129255,0,1,1,135,-0.3004497,0.5225188,-0.7979374,1,-0.04594438,0.9954633,0.3013653,1.041095,-0.1184292,-0.1004878,0.01798834,0.9877009,17.99077,-0.7574384,-0.6426902,0.1150482,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.09594437,0.004536748,-0.001365304,0.09606128,-0.1634489,0.4229632,-0.8200794,0.3490793,139.138,-0.1744212,0.4513566,-0.8751311
Trial Start,1773030129263,0,1,1,135,-0.3004497,0.5225188,-0.7979374,1,-0.04594438,0.9954633,0.3013653,1.041095,-0.1184292,-0.1004878,0.01798834,0.9877009,17.99077,-0.7574384,-0.6426902,0.1150482,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.09594437,0.004536748,-0.001365304,0.09606128,-0.1634489,0.4229632,-0.8200794,0.3490793,139.138,-0.1744212,0.4513566,-0.8751311
Release,1773030129291,0.0192717,1,1,135,-0.3004497,0.5225188,-0.7979374,1,-0.04594438,0.9954633,0.3013653,1.041095,-0.1184292,-0.1004878,0.01798834,0.9877009,17.99077,-0.7574384,-0.6426902,0.1150482,0.2158223,0.04218043,0.1240131,0.2524633,0.09840248,0.7148129,0.3195383,0.6142106,104.2108,0.1246955,0.9058101,0.4049186,-0.08019038,-0.09223484,-0.1685316,0.2081842,0.6659517,0.2782908,-0.6717482,0.166784,160.7982,0.6754119,0.2822441,-0.6812908,0.09594437,0.004536748,-0.001365304,0.09606128,-0.1634489,0.4229632,-0.8200794,0.3490793,139.138,-0.1744212,0.4513566,-0.8751311
Grab,1773030131628,2.378153,1,1,135,-0.3004497,0.5225188,-0.7979374,1,-0.04462395,0.9970252,0.3034722,1.043142,-0.1220206,-0.1367726,0.04440451,0.9820552,21.74142,-0.6470036,-0.725225,0.2354511,0.1197613,-0.05016555,0.01214904,0.1304107,0.6148683,0.6159887,0.1543138,0.4676349,124.2382,0.695614,0.6968815,0.1745785,-0.1065801,-0.4088727,-0.105371,0.4354759,0.3775766,0.2396049,-0.8814842,0.1516939,162.5498,0.3819973,0.2424102,-0.8918046,0.09462395,0.002974808,-0.003472149,0.09473436,-0.1465105,0.4241432,-0.8378321,0.3109254,143.77,-0.1541511,0.4462625,-0.8815255
Release,1773030133419,4.171391,1,1,135,-0.3004497,0.5225188,-0.7979374,1,0.03891792,1.019756,0.2102386,1.04193,-0.2816579,0.178697,0.3173148,0.8877205,54.82363,-0.6117905,0.3881487,0.6892411,0.1285867,-0.04123698,0.03477036,0.1394417,0.7331408,0.5371222,0.1956009,0.3684356,136.7617,0.7886174,0.5777662,0.210402,-0.07808147,-0.3929262,-0.2363455,0.465131,0.6552687,0.2411083,-0.6129431,0.369852,136.587,0.7052796,0.25951,-0.6597237,0.01108208,-0.01975644,0.08976138,0.09257556,-0.4235441,0.06444009,-0.8622231,0.2702394,148.643,-0.4399119,0.06693036,-0.8955434
Grab,1773030135114,5.866582,1,1,135,-0.3004497,0.5225188,-0.7979374,1,0.05108261,1.034036,0.2059055,1.055575,-0.2350873,0.1723927,0.1101953,0.9501957,36.31787,-0.7543215,0.5531541,0.3535822,0.1093566,-0.0475681,0.01594563,0.1203157,-0.03482007,0.9911885,0.05947296,0.1131186,167.0098,-0.03504501,0.9975916,0.05985716,-0.07491675,-0.3988886,-0.2611689,0.4826322,0.6619107,0.2976038,-0.6494909,0.2268648,153.7749,0.6796312,0.3055713,-0.666879,-0.001082614,-0.03403628,0.09409456,0.1000671,-0.3540744,0.188836,-0.8082868,0.4308653,128.955,-0.3923626,0.209256,-0.8956918
Release,1773030136878,7.629553,1,1,135,-0.3004497,0.5225188,-0.7979374,1,0.07075271,1.042563,0.225667,1.069051,-0.2828382,0.4394072,-0.581171,0.6238303,102.8072,-0.3618894,0.5622182,-0.7436039,0.1088966,-0.04234243,0.0199865,0.1185361,-0.01600319,0.992527,-0.06707232,0.1006746,168.444,-0.01608491,0.9975954,-0.06741483,-0.1070156,-0.4081475,-0.2796401,0.5061969,0.5888656,0.6366779,-0.2593935,-0.424963,230.2966,0.6505287,0.7033477,-0.2865559,-0.02075271,-0.04256308,0.07433298,0.08813446,-0.1082979,0.08581004,-0.2520503,0.957799,33.40939,-0.3767685,0.2985331,-0.8768827
Grab,1773030138114,8.867466,1,1,135,-0.3004497,0.5225188,-0.7979374,1,0.07056325,1.040506,0.2071056,1.063261,-0.2537811,0.4148738,-0.661876,0.5704342,110.439,-0.308983,0.5051162,-0.8058457,0.1086971,-0.04951867,0.006522006,0.1196231,-0.3918777,0.605904,0.6692923,0.1770881,159.5996,-0.3981707,0.6156341,0.6800403,-0.09521351,-0.3924269,-0.2919594,0.4983019,0.5302455,0.6330808,-0.2295452,-0.5151286,242.0121,0.6186414,0.73862,-0.2678121,-0.02056325,-0.04050565,0.09289445,0.1034066,-0.04755012,0.1132448,-0.1745851,0.9769517,24.65044,-0.2227584,0.5305188,-0.8178804
Release,1773030138655,9.406953,1,1,135,-0.3004497,0.5225188,-0.7979374,1,0.08007322,1.030397,0.2279354,1.05834,-0.1871817,0.4942401,-0.5987853,0.6017856,106.0042,-0.2343703,0.6188384,-0.7497396,0.0992823,-0.04620213,0.02545421,0.1124257,-0.2058478,0.6697853,0.7082136,0.08630245,170.0981,-0.2066187,0.6722936,0.7108658,-0.1228073,-0.3819612,-0.2895628,0.4947955,0.6149936,0.5682268,-0.2114436,-0.5041754,240.5533,0.7121268,0.6579735,-0.2448394,-0.03007321,-0.0303967,0.07206465,0.08379541,-0.1707045,0.1295917,-0.1676601,0.9622661,31.57973,-0.6273361,0.4762473,-0.6161481
