Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Total Thumb Tip Translation,Total Index Tip Translation,Total Middle Tip Translation,Total Thumb Tip Translation_left,Total Index Tip Translation_left,Total Middle Tip Translation_left,Total Wrist Translation,Total Wrist Rotation,Total Wrist Translation_left,Total Wrist Rotation_left,Total Die Translation,Total Die Rotation,Total Die Local Translation,Total Die Local Rotation,Total Die Local Translation_left,Total Die Local Rotation_left,Total Head Translation,Total Head Rotation,Total Grabbed Time,Total Grabbed Time_left
1,1,135,-0.3004497,0.5225188,-0.7979374,1,14.73927,False,0.0001574755,4.297495E-05,0.001573175,0.001581621,-0.02469566,0.0308678,-0.01430876,0.9991159,4.81897,-0.5874166,0.7342286,-0.3403514,0.3160317,0.2642593,0.3088279,0.2822211,0.3571427,0.3899653,0.6794057,461.436,3.353692,112.4478,0.6867082,1057.448,0.2200879,488.6606,3.695265,1173.522,0.2657434,79.04566,6.829893,0
1,2,135,0.5246668,0.7857226,-0.3276657,1,19.94957,False,0.003193758,-0.01003218,0.009371936,0.01409531,-0.01165881,-0.0423941,0.04168257,0.998163,6.946778,-0.1924379,-0.6997486,0.6880043,0.4378495,0.403936,0.4302498,0.07985976,0.05642745,0.06213921,0.8068086,622.189,0.1516031,25.10678,0.8615873,1705.93,0.3471084,811.0309,1.131416,1856.604,0.3622118,94.07043,10.90483,0
1,3,135,-0.4592012,-0.5742952,0.677731,1,14.64409,False,7.368997E-05,0.002116144,-0.001320869,0.002495634,0.04131304,-0.01457691,0.02712519,0.9986717,5.907199,0.8017749,-0.2828986,0.5264269,0.1262312,0.1029442,0.1295001,0.0585173,0.05139047,0.05102469,0.3039885,176.131,0.1306996,18.95498,0.4818701,906.711,0.1374267,241.3307,0.7224731,1062.688,0.2298877,54.89621,3.127729,0
1,4,135,-0.5923719,0.7432092,-0.3110236,1,6.57073,False,-0.001028851,-0.00241828,0.001659155,0.003107958,0.0267471,-0.004645916,-0.004442583,0.9996216,3.152389,0.9723832,-0.1689009,-0.1615088,0.150705,0.1435248,0.146365,0.02658679,0.02089968,0.02326966,0.3151101,205.014,0.06340821,9.182286,0.276712,385.1546,0.1279656,249.8832,0.4023632,521.4035,0.08293023,20.51604,4.815229,0
1,5,135,0.9467095,-0.2924935,0.1348654,0.9999999,11.57467,False,-0.001972191,0.002085805,0.003109664,0.004232036,-0.006640531,0.01112038,-0.01302196,0.9998314,2.104782,-0.3615384,0.60544,-0.7089704,0.3215367,0.2191198,0.247461,0.04141136,0.03437242,0.03874169,0.3803204,305.2903,0.09864993,6.337117,0.4909598,756.1024,0.1891596,376.539,0.6604805,901.2798,0.1201932,27.53072,4.58113,0
1,6,135,0.4100006,0.9117372,0.02519333,1,7.754949,False,0.001530886,-0.001273751,0.001179904,0.002314784,-0.04648502,0.01020142,0.044319,0.9978833,7.457343,-0.7148049,0.1568682,0.6814978,0.1836565,0.1437713,0.1556866,0.02757739,0.02126001,0.02637784,0.4551592,285.994,0.06800053,4.122982,0.3550626,578.6299,0.1354168,269.9139,0.4851794,719.1904,0.1098869,30.59131,4.805227,0
1,7,135,0.8952574,-0.388457,-0.2182094,1,9.766902,False,0.001887243,0.002178967,0.01011837,0.01052097,-0.02013834,-0.005077789,-0.0218523,-0.9995455,356.545,-0.6680231,-0.1684389,-0.724878,0.2738535,0.2093991,0.1902697,0.03307685,0.02343049,0.030208,0.4567262,321.4081,0.07416496,2.346054,0.3974881,740.6525,0.1923559,418.3539,0.5206076,877.632,0.08217469,19.5822,6.585161,0
1,8,135,0.4543566,0.3010133,-0.8384218,1,13.29368,False,-0.003031507,0.0001245141,0.0008659065,0.003155207,0.0184889,0.02074568,-0.03146802,-0.9991184,355.1879,0.4404054,0.494162,-0.749568,0.1821968,0.1780714,0.1861327,0.04808894,0.03480513,0.04393018,0.5281435,332.2258,0.1155289,7.420182,0.6263272,1085.902,0.1664143,388.796,0.7802449,1223.621,0.1808451,49.4714,6.969994,0
1,9,135,0.4763424,-0.7108048,0.5175467,1,13.98122,False,-0.004303582,0.001085341,-0.001267344,0.004615728,0.002676751,0.01156431,0.0183438,0.9997613,2.503903,0.122512,0.529286,0.8395761,0.4351088,0.3237257,0.3320927,0.05811468,0.03740247,0.04457744,0.7272698,602.3925,0.1259206,13.13748,0.8293862,1415.835,0.2709053,592.7604,1.005885,1568.95,0.2264969,72.19256,7.736818,0
1,10,135,-0.3273561,0.8985808,-0.2922164,1,5.256257,False,0.002207059,-0.003275514,0.004089683,0.005685562,-0.01527046,-0.02248237,-0.05113013,0.9983222,6.638958,-0.2637224,-0.3882728,-0.8830224,0.1829542,0.2011721,0.1991859,0.0243747,0.01799724,0.02655667,0.332675,213.0277,0.0486156,4.974935,0.3291718,426.5682,0.1241454,269.6641,0.4629189,568.3884,0.058106,16.3772,3.918021,0
