Timestamp,Trial Duration,Wrist World Position X,Wrist World Position Y,Wrist World Position Z,Wrist World Position Magnitude,Wrist World Rotation X,Wrist World Rotation Y,Wrist World Rotation Z,Wrist World Rotation W,Wrist World Rotation Angle,Wrist World Rotation Axis X,Wrist World Rotation Axis Y,Wrist World Rotation Axis Z,Wrist World Position_left X,Wrist World Position_left Y,Wrist World Position_left Z,Wrist World Position_left Magnitude,Wrist World Rotation_left X,Wrist World Rotation_left Y,Wrist World Rotation_left Z,Wrist World Rotation_left W,Wrist World Rotation_left Angle,Wrist World Rotation_left Axis X,Wrist World Rotation_left Axis Y,Wrist World Rotation_left Axis Z,Thumb Tip World Position X,Thumb Tip World Position Y,Thumb Tip World Position Z,Thumb Tip World Position Magnitude,Index Tip World Position X,Index Tip World Position Y,Index Tip World Position Z,Index Tip World Position Magnitude,Middle Tip World Position X,Middle Tip World Position Y,Middle Tip World Position Z,Middle Tip World Position Magnitude,Thumb Tip World Position_left X,Thumb Tip World Position_left Y,Thumb Tip World Position_left Z,Thumb Tip World Position_left Magnitude,Index Tip World Position_left X,Index Tip World Position_left Y,Index Tip World Position_left Z,Index Tip World Position_left Magnitude,Middle Tip World Position_left X,Middle Tip World Position_left Y,Middle Tip World Position_left Z,Middle Tip World Position_left Magnitude,Thumb Tip Local Position X,Thumb Tip Local Position Y,Thumb Tip Local Position Z,Thumb Tip Local Position Magnitude,Index Tip Local Position X,Index Tip Local Position Y,Index Tip Local Position Z,Index Tip Local Position Magnitude,Middle Tip Local Position X,Middle Tip Local Position Y,Middle Tip Local Position Z,Middle Tip Local Position Magnitude,Thumb Tip Local Position_left X,Thumb Tip Local Position_left Y,Thumb Tip Local Position_left Z,Thumb Tip Local Position_left Magnitude,Index Tip Local Position_left X,Index Tip Local Position_left Y,Index Tip Local Position_left Z,Index Tip Local Position_left Magnitude,Middle Tip Local Position_left X,Middle Tip Local Position_left Y,Middle Tip Local Position_left Z,Middle Tip Local Position_left Magnitude,Thumb Tip Euro Position X,Thumb Tip Euro Position Y,Thumb Tip Euro Position Z,Thumb Tip Euro Position Magnitude,Index Tip Euro Position X,Index Tip Euro Position Y,Index Tip Euro Position Z,Index Tip Euro Position Magnitude,Middle Tip Euro Position X,Middle Tip Euro Position Y,Middle Tip Euro Position Z,Middle Tip Euro Position Magnitude,Thumb Tip Euro Position_left X,Thumb Tip Euro Position_left Y,Thumb Tip Euro Position_left Z,Thumb Tip Euro Position_left Magnitude,Index Tip Euro Position_left X,Index Tip Euro Position_left Y,Index Tip Euro Position_left Z,Index Tip Euro Position_left Magnitude,Middle Tip Euro Position_left X,Middle Tip Euro Position_left Y,Middle Tip Euro Position_left Z,Middle Tip Euro Position_left Magnitude,Triangle Local Position X,Triangle Local Position Y,Triangle Local Position Z,Triangle Local Position Magnitude,Triangle Local Rotation X,Triangle Local Rotation Y,Triangle Local Rotation Z,Triangle Local Rotation W,Triangle Local Rotation Angle,Triangle Local Rotation Axis X,Triangle Local Rotation Axis Y,Triangle Local Rotation Axis Z,Triangle Local Position_left X,Triangle Local Position_left Y,Triangle Local Position_left Z,Triangle Local Position_left Magnitude,Triangle Local Rotation_left X,Triangle Local Rotation_left Y,Triangle Local Rotation_left Z,Triangle Local Rotation_left W,Triangle Local Rotation_left Angle,Triangle Local Rotation_left Axis X,Triangle Local Rotation_left Axis Y,Triangle Local Rotation_left Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is Grabbed,Is Grabbed_right,Is Grabbed_left,Is On Target
1773030166639,0.0139459,0.1419128,0.9670002,0.2181634,1.001411,-0.3770213,-0.8398897,-0.01287249,0.3902237,134.0632,-0.4094852,-0.9122096,-0.01398089,-0.1536493,0.5829452,0.1444141,0.6199102,-0.4794765,-0.2123714,0.8486117,-0.06970444,187.994,-0.4806456,-0.2128893,0.8506809,0.02325642,0.9947442,0.2792154,1.03345,0.03038009,1.016348,0.3085087,1.062574,0.04070333,0.9961973,0.3223459,1.047842,-0.03477722,0.5467486,0.196419,0.5819999,-0.0251441,0.530952,0.246677,0.5859964,-0.03481814,0.518342,0.2631154,0.5823405,0.1066903,-0.07313538,0.04295136,0.1362953,0.136712,-0.06108349,0.02481258,0.1517795,0.1291127,-0.07262962,0.002162546,0.1481547,-0.1100096,0.05558315,-0.05434763,0.1347044,-0.158855,0.05814708,-0.03253586,0.1722631,-0.1686632,0.06155619,-0.0121644,0.1799567,0.1061178,-0.07355355,0.04295583,0.1360747,0.1360453,-0.06136641,0.02467157,0.1512708,0.1290522,-0.07247551,0.002127865,0.148026,-0.1099555,0.05534022,-0.05467035,0.1346907,-0.1585743,0.05848764,-0.03257183,0.1721265,-0.168478,0.06176819,-0.01223705,0.1798608,0.1188658,-0.07102375,0.0265285,0.1409865,-0.2841326,0.9247075,-0.06295885,0.2453997,151.5891,-0.2930948,0.9538752,-0.06494474,-0.1288057,0.05728954,-0.04172921,0.1470181,-0.07113437,-0.4500994,0.04212899,0.8891432,54.46845,-0.1554411,-0.9835461,0.09205924,-0.0503517,0.9992926,0.2992538,1.044353,0.01074504,0.007138795,-0.005123981,0.9999037,1.590493,0.774163,0.5143387,-0.3691746,0.1141187,-0.05016442,0.02462932,0.1270675,0.03804854,0.6920415,-0.2795527,-0.6644406,263.2788,0.05091187,0.9260047,-0.374063,-0.1932082,-0.3627892,-0.2738818,0.4939197,0.6669505,-0.253693,-0.02119136,-0.7002626,268.8961,0.9342545,-0.3553695,-0.02968454,0.1003517,0.0007074475,0.0007462502,0.100357,-0.4265665,-0.5378144,0.6253699,0.371092,136.434,-0.459367,-0.5791693,0.6734573,-0.004170942,1.119845,-0.02551202,1.120143,0.06762017,0.04357937,-0.02355167,0.9964806,9.616714,0.8067007,0.5198969,-0.2809687,True,False,True,False
1773030166653,0.0294027,0.05057307,0.9356872,0.2295647,0.9647633,-0.4597525,-0.7106438,-0.4381075,0.3027788,144.7508,-0.4823957,-0.7456437,-0.4596847,-0.1555634,0.582534,0.1470201,0.6206132,-0.4730263,-0.2080858,0.8541652,-0.0578615,186.6341,-0.4738202,-0.2084351,0.8555989,-0.06345348,0.9950965,0.2684887,1.032632,-0.05975327,1.004685,0.3261386,1.057983,-0.07041536,0.9702957,0.3181137,1.023537,-0.03685603,0.5434527,0.1978384,0.5795164,-0.02564462,0.5292457,0.2477404,0.5849222,-0.03612509,0.5155286,0.2642836,0.5804486,0.1004055,-0.07987185,0.03982241,0.1343376,0.1507021,-0.05477102,0.02341102,0.1620465,0.1348681,-0.07397954,-0.003810138,0.153873,-0.1109098,0.05525467,-0.0533594,0.1349121,-0.1599481,0.05644403,-0.03307225,0.1728094,-0.169339,0.06080706,-0.01152113,0.1802941,0.1056576,-0.07406259,0.04270339,0.1359131,0.1372261,-0.06083505,0.02457002,0.1521039,0.1295208,-0.07259668,0.001649468,0.1484878,-0.1100324,0.05533333,-0.05456473,0.1347079,-0.158685,0.058323,-0.03261214,0.1721803,-0.1685474,0.06169076,-0.01217937,0.1798953,0.1191029,-0.07110799,0.02639411,0.1412038,-0.285849,0.9221512,-0.06175872,0.2532064,150.6653,-0.2954779,0.9532143,-0.06383909,-0.128949,0.05725996,-0.04160662,0.1470975,-0.07253584,-0.4500624,0.04588179,0.8888629,54.53859,-0.1583153,-0.9822975,0.1001407,-0.05035483,0.9993222,0.2991076,1.04434,0.00774336,0.007165835,-0.004945993,0.9999322,1.334693,0.6648187,0.6152344,-0.4246462,0.1225061,-0.05643181,0.02992887,0.1381594,0.4561927,0.7198001,0.43216,0.2949813,145.6872,0.4774372,0.7533205,0.4522853,-0.1432597,-0.3925475,-0.1825244,0.4559956,0.4773905,0.2008985,-0.8526455,-0.06880082,187.8902,0.4785245,0.2013757,-0.8546709,0.1003548,0.0006777644,0.0008924603,0.1003611,-0.4253185,-0.536036,0.6269237,0.3724734,136.2635,-0.4582961,-0.5775982,0.6755331,-0.004122131,1.119905,-0.02551944,1.120203,0.06756665,0.04358661,-0.02379647,0.9964781,9.620135,0.8057752,0.519798,-0.283788,True,False,True,False
1773030166667,0.0473728,0.05040865,0.935386,0.2295594,0.9644613,-0.46199,-0.7106604,-0.4359299,0.3024768,144.7871,-0.4846947,-0.7455862,-0.4573539,-0.1555772,0.5824712,0.1470354,0.6205613,-0.4729432,-0.2080582,0.8542343,-0.05762096,186.6065,-0.4737304,-0.2084045,0.855656,-0.06359754,0.9925859,0.2706547,1.030789,-0.05983219,1.004652,0.3260493,1.057929,-0.07047003,0.9700612,0.3164518,1.022803,-0.03688233,0.5433264,0.1978104,0.57939,-0.02565785,0.5291033,0.2476896,0.5847725,-0.03614976,0.5153818,0.2642576,0.580308,0.1011743,-0.07990585,0.03656334,0.1340077,0.150574,-0.05527033,0.02310552,0.1620531,0.1331408,-0.07500339,-0.003512569,0.1528539,-0.1109027,0.05525855,-0.05334774,0.1349033,-0.1599291,0.05645817,-0.03306981,0.172796,-0.1693343,0.06081668,-0.0114966,0.1802913,0.1052607,-0.07457983,0.04215987,0.1357182,0.1384077,-0.06034245,0.02444038,0.152955,0.1298412,-0.07280973,0.00119252,0.1488671,-0.1101094,0.05532671,-0.05445701,0.1347245,-0.1587951,0.05815792,-0.03265266,0.1722336,-0.168617,0.06161338,-0.01211893,0.1799299,0.1194164,-0.07119034,0.02607225,0.14145,-0.2866234,0.9199452,-0.0610181,0.2604318,149.8086,-0.2968676,0.9528251,-0.06319895,-0.1290949,0.05723045,-0.0414807,0.1471783,-0.07389725,-0.4500252,0.04955781,0.8885722,54.61124,-0.1610886,-0.9810098,0.108031,-0.05033262,0.9991972,0.2988827,1.044155,-0.001660151,0.009245347,-0.002176899,0.9999536,1.104277,-0.1722756,0.9593995,-0.2258991,0.1223475,-0.05674016,0.02982824,0.1381234,0.4576621,0.7184402,0.432212,0.2959426,145.5719,0.4791242,0.7521314,0.4524805,-0.1429745,-0.3926946,-0.1825148,0.4560289,0.4775572,0.2033557,-0.8521134,-0.06699517,187.6828,0.4786326,0.2038136,-0.8540321,0.1003326,0.0008027554,0.001117349,0.1003421,-0.4189577,-0.5321299,0.631749,0.3771015,135.6915,-0.4523542,-0.5745477,0.6821077,-0.004074811,1.119892,-0.02551616,1.12019,0.0675533,0.04370887,-0.02429589,0.9964616,9.642673,0.8037378,0.5200408,-0.2890684,True,True,True,False
1773030166679,0.0622328,0.05016052,0.9352311,0.2294708,0.964277,-0.4647872,-0.7103806,-0.4339188,0.3017398,144.8757,-0.4875098,-0.7451099,-0.4551324,-0.1556118,0.5823614,0.1470546,0.6204715,-0.4728274,-0.2080155,0.854325,-0.05738069,186.5789,-0.4736077,-0.2083588,0.855735,-0.06357116,0.9918008,0.2722482,1.030451,-0.05982949,1.004766,0.325423,1.057844,-0.07046708,0.9697294,0.3128891,1.021391,-0.03695692,0.5431834,0.1978378,0.5792701,-0.02568993,0.5288978,0.2476185,0.5845577,-0.03615672,0.5152194,0.2642193,0.5801467,0.1020195,-0.07968534,0.03474503,0.1340334,0.1499867,-0.05588656,0.02281158,0.1616777,0.1297007,-0.0766132,-0.002814248,0.1506644,-0.1109247,0.05520947,-0.05329593,0.1348808,-0.1598952,0.05649367,-0.03306276,0.1727748,-0.169335,0.06081354,-0.01151125,0.1802918,0.1049319,-0.07509781,0.0414076,0.1355174,0.1395825,-0.05989038,0.02427513,0.1538161,0.129827,-0.07319561,0.0007860158,0.1490411,-0.1101921,0.05531482,-0.05433921,0.1347397,-0.1589067,0.05798908,-0.03269427,0.1722875,-0.1686899,0.06153223,-0.01205728,0.1799663,0.1197965,-0.07126732,0.02560762,0.141725,-0.2865331,0.9186238,-0.06099299,0.2651587,149.2472,-0.2971703,0.9527267,-0.06325729,-0.1292492,0.05719619,-0.04134572,0.1472625,-0.0752115,-0.4500288,0.05309942,0.8882555,54.69032,-0.1637347,-0.9797083,0.1155969,-0.05010509,0.9994237,0.298862,1.044355,-0.008359999,0.009597191,-0.001015789,0.9999185,1.462834,-0.6548879,0.7518044,-0.07957272,0.1220202,-0.0571118,0.02928928,0.1378715,0.4587065,0.7134287,0.4387183,0.2968743,145.4601,0.4803629,0.7471109,0.4594309,-0.14267,-0.3927111,-0.1825124,0.4559468,0.4803464,0.2099229,-0.8494436,-0.06037602,186.9228,0.4812243,0.2103066,-0.8509961,0.1001051,0.0005763173,0.001138002,0.1001132,-0.4155425,-0.5285435,0.6349868,0.3804708,135.2743,-0.4493358,-0.5715263,0.6866259,-0.00402223,1.119878,-0.02552804,1.120177,0.06764929,0.04373771,-0.0243288,0.996453,9.654367,0.803907,0.5197549,-0.2891101,True,True,True,False
1773030166696,0.0756746,0.04979028,0.934903,0.2294592,0.9639368,-0.4681956,-0.7097963,-0.4320323,0.30055,145.0187,-0.4908913,-0.7442037,-0.4529751,-0.1556267,0.5823196,0.1470612,0.6204376,-0.4726721,-0.2079555,0.8544419,-0.05713581,186.5509,-0.4734456,-0.2082958,0.8558401,-0.06348216,0.9917645,0.2730248,1.030616,-0.05977573,1.005176,0.3250743,1.058123,-0.07044693,0.9699448,0.3111586,1.021066,-0.03699304,0.5431044,0.1978336,0.5791968,-0.02568005,0.5287957,0.2475611,0.5844406,-0.03613462,0.515127,0.2641588,0.5800357,0.1023867,-0.07953797,0.03394882,0.1340218,0.1496699,-0.05631274,0.02265088,0.1615094,0.1279011,-0.07742828,-0.002429292,0.1495317,-0.110947,0.0551721,-0.05325809,0.1348689,-0.1598956,0.05649252,-0.0330631,0.172775,-0.1693344,0.06081189,-0.01152553,0.1802916,0.1047146,-0.07547697,0.04077066,0.1353668,0.1404439,-0.05958487,0.02413643,0.1544584,0.1296625,-0.07355706,0.0005114447,0.1490747,-0.1102566,0.05530263,-0.05424689,0.1347502,-0.1589912,0.05786128,-0.03272576,0.1723284,-0.1687449,0.06147072,-0.01201187,0.1799938,0.1201172,-0.07131299,0.0252125,0.1419484,-0.2859867,0.918082,-0.06128341,0.267547,148.9633,-0.2968069,0.9528173,-0.06360204,-0.1293674,0.0571679,-0.041242,0.1473261,-0.07618528,-0.4500494,0.05568157,0.888004,54.75304,-0.1656792,-0.9787171,0.1210901,-0.04961212,1.0002,0.2985926,1.044997,-0.02048455,0.002793599,-0.01329147,0.9996979,2.816676,-0.8334816,0.1136668,-0.5408075,0.1218688,-0.05715613,0.02898169,0.1376908,0.4607775,0.7094867,0.4421191,0.2980664,145.317,0.4827194,0.7432719,0.4631725,-0.1426319,-0.3930041,-0.1826416,0.456239,0.4811003,0.2150134,-0.8480394,-0.05604333,186.4255,0.4818577,0.2153519,-0.8493744,0.09961212,-0.0001995564,0.001407415,0.09962226,-0.4215823,-0.5130233,0.643093,0.3814538,135.1525,-0.4560664,-0.554987,0.695696,-0.003949612,1.119881,-0.02553957,1.120179,0.06770101,0.0436799,-0.02424017,0.9964542,9.652743,0.8046572,0.5191554,-0.2881054,True,True,True,False
1773030166708,0.091744,0.04983431,0.934785,0.2297736,0.9638996,-0.4717851,-0.7090761,-0.4302367,0.2992096,145.1797,-0.4944365,-0.7431204,-0.4508933,-0.1556311,0.5822446,0.147068,0.6203699,-0.4726721,-0.2079555,0.8544419,-0.05713581,186.5509,-0.4734456,-0.2082958,0.8558401,-0.06296582,0.9922439,0.27365,1.031211,-0.05903751,1.005596,0.3247303,1.058375,-0.07070789,0.9709566,0.3113284,1.022097,-0.03704714,0.5430226,0.1979241,0.5791545,-0.02568486,0.5287195,0.2475666,0.5843743,-0.0361327,0.5150534,0.2641569,0.5799693,0.1024685,-0.07952012,0.03357505,0.1339796,0.1488992,-0.05667032,0.02239509,0.1608851,0.1278997,-0.07827206,-0.002264194,0.1499666,-0.1109901,0.05513836,-0.05317728,0.1348587,-0.1598944,0.0564938,-0.03306288,0.1727742,-0.1693304,0.06081508,-0.0115351,0.1802896,0.1045396,-0.07579185,0.04021027,0.1352398,0.1411024,-0.05935789,0.02400081,0.1549493,0.1295252,-0.07392426,0.0002952785,0.1491364,-0.1103137,0.05528984,-0.05416359,0.1347582,-0.1590615,0.05775478,-0.03275202,0.1723626,-0.1687905,0.06141966,-0.01197474,0.1800167,0.1203928,-0.07136672,0.02486439,0.1421474,-0.2862578,0.9173537,-0.0624878,0.2694697,148.7346,-0.2972536,0.9525912,-0.06488809,-0.1294691,0.05714258,-0.04115107,0.1473802,-0.0769883,-0.4500903,0.05775856,0.8877812,54.80851,-0.1672692,-0.9778922,0.1254896,-0.04934919,1.000524,0.2985901,1.045294,-0.02692748,-0.00117489,-0.01491686,0.9995254,3.530498,-0.8741462,-0.03814042,-0.4842459,0.1214344,-0.05750215,0.02918726,0.1374944,0.4548869,0.7071553,0.4419729,0.3125211,143.5775,0.4788733,0.7444439,0.4652783,-0.1425899,-0.3935463,-0.1835088,0.4570405,0.4733227,0.2315184,-0.847844,-0.05937381,186.8077,0.4741592,0.2319276,-0.8493425,0.09934919,-0.0005238056,0.001409918,0.09936057,-0.4223908,-0.5066893,0.6453419,0.385209,134.6866,-0.4577128,-0.5490607,0.6993079,-0.00387026,1.119919,-0.02553714,1.120216,0.06789872,0.04384835,-0.02419235,0.9964346,9.679496,0.8047807,0.5197197,-0.2867438,True,True,True,False
1773030166722,0.1033761,0.04970698,0.934664,0.2299196,0.9638105,-0.4743789,-0.7084875,-0.4290666,0.2981815,145.3032,-0.4969872,-0.7422532,-0.4495155,-0.1556221,0.5822306,0.1470663,0.6203541,-0.4726721,-0.2079555,0.8544419,-0.05713581,186.5509,-0.4734456,-0.2082958,0.8558401,-0.06267507,0.9924036,0.2740828,1.031462,-0.0588778,1.006073,0.3245755,1.058772,-0.07067581,0.9715788,0.3111369,1.022627,-0.03707212,0.5429828,0.1979562,0.5791298,-0.02567549,0.528706,0.2475651,0.5843609,-0.03612778,0.5150274,0.2641397,0.5799381,0.1024927,-0.07944806,0.03312447,0.1338431,0.148659,-0.05702581,0.02232116,0.1607783,0.1275403,-0.07861244,-0.002126209,0.1498365,-0.1110022,0.05514152,-0.05312433,0.1348491,-0.1598947,0.05649349,-0.03306329,0.1727745,-0.1693165,0.06082943,-0.01153429,0.1802813,0.1043519,-0.07612715,0.03956044,0.1350914,0.1417954,-0.05914402,0.02384677,0.1554754,0.1293432,-0.0743542,7.320973E-05,0.1491919,-0.1103769,0.05527624,-0.05406828,0.1347661,-0.1591379,0.05763911,-0.03278057,0.1723998,-0.1688387,0.06136553,-0.01193435,0.1800408,0.120707,-0.07142263,0.02446735,0.1423728,-0.2862933,0.9166383,-0.06411073,0.271478,148.4955,-0.2974647,0.9524062,-0.06661238,-0.1295809,0.05711554,-0.04104887,0.1474395,-0.07786936,-0.450148,0.06000536,0.8875261,54.87199,-0.1690029,-0.9769738,0.130232,-0.04905758,1.000844,0.298631,1.045599,-0.03239673,-0.004538664,-0.01775309,0.9993072,4.265899,-0.8704485,-0.1219467,-0.4769971,0.1212457,-0.05763838,0.02902709,0.1373509,0.4560601,0.7033235,0.4429355,0.3180466,142.9103,0.4810379,0.7418436,0.4671944,-0.1426945,-0.3937781,-0.1838467,0.4574085,0.4698804,0.2379826,-0.8481397,-0.05688209,186.5217,0.4706425,0.2383686,-0.8495152,0.09905759,-0.0008442402,0.00136897,0.09907064,-0.4238162,-0.5006585,0.6477654,0.3874547,134.4076,-0.4597259,-0.543079,0.7026502,-0.003781587,1.119956,-0.02555877,1.120255,0.06808134,0.04422206,-0.0242128,0.9964051,9.719486,0.8036345,0.5219987,-0.2858087,True,True,True,False
1773030166736,0.1179032,0.04967014,0.9344844,0.2301844,0.9636976,-0.4763778,-0.7080718,-0.4281056,0.297362,145.4016,-0.4989478,-0.7416191,-0.4483885,-0.1556253,0.5822241,0.1470545,0.620346,-0.4726721,-0.2079555,0.8544419,-0.05713581,186.5509,-0.4734456,-0.2082958,0.8558401,-0.06236894,0.9926449,0.2744313,1.031769,-0.05864426,1.00642,0.3246848,1.059123,-0.07065875,0.9721814,0.3117064,1.023372,-0.03705525,0.5429883,0.1979375,0.5791275,-0.02567695,0.5287042,0.247558,0.5843564,-0.036135,0.5150133,0.2641212,0.5799176,0.1024822,-0.07937562,0.0330167,0.1337655,0.1485522,-0.0572116,0.02227601,0.1607394,0.1278491,-0.07871572,-0.002097286,0.1501531,-0.1110062,0.0551387,-0.05314818,0.1348606,-0.1598991,0.0564883,-0.03306437,0.1727771,-0.1693095,0.06083723,-0.01153108,0.1802771,0.1042246,-0.0763484,0.03911476,0.1349882,0.1422556,-0.0590124,0.02373979,0.155829,0.1292414,-0.07465126,-7.462015E-05,0.149252,-0.1104197,0.05526687,-0.05400561,0.1347722,-0.1591898,0.05756073,-0.0327999,0.1724252,-0.1688708,0.06132955,-0.01190688,0.1800568,0.1209269,-0.07145958,0.0242004,0.1425323,-0.2863308,0.9160697,-0.0654315,0.2730378,148.3098,-0.2976401,0.9522522,-0.06801588,-0.1296563,0.0570972,-0.04098113,0.1474798,-0.07847063,-0.4501731,0.06152602,0.8873563,54.9142,-0.1701872,-0.9763358,0.1334377,-0.04844677,1.001191,0.2988068,1.045953,-0.04543621,-0.004330624,-0.01623495,0.9988259,5.553288,-0.9379375,-0.08939686,-0.3351373,0.1210717,-0.05771877,0.02908485,0.1372434,0.4557868,0.7008196,0.443307,0.3234029,142.2623,0.4816711,0.7406194,0.4684826,-0.1428672,-0.3940037,-0.184187,0.4577934,0.4666258,0.2441432,-0.8482438,-0.05600833,186.4214,0.4673594,0.2445271,-0.8495774,0.09844677,-0.001191497,0.001193166,0.09846121,-0.4176863,-0.4929622,0.6538898,0.3936426,133.6373,-0.4543706,-0.5362577,0.7113192,-0.003700015,1.119973,-0.02564119,1.120273,0.06780685,0.04486467,-0.02409018,0.996398,9.728996,0.7996145,0.5290681,-0.2840842,True,True,True,False
1773030166749,0.131771,0.04977827,0.9348231,0.2302633,0.9640505,-0.4784681,-0.7076763,-0.4270422,0.2964754,145.5079,-0.5009925,-0.7409908,-0.4471456,-0.1556793,0.5822423,0.147013,0.6203668,-0.4726721,-0.2079555,0.8544419,-0.05713581,186.5509,-0.4734456,-0.2082958,0.8558401,-0.0618062,0.9924514,0.2751718,1.031746,-0.05806674,1.007175,0.3242241,1.059667,-0.06919341,0.9721032,0.3078769,1.022038,-0.03709823,0.5430098,0.1978767,0.5791296,-0.0257318,0.5287204,0.2475143,0.584355,-0.036193,0.5150242,0.2640746,0.5799097,0.102508,-0.07919386,0.03177027,0.133375,0.1480092,-0.05737111,0.02226745,0.1602935,0.1236755,-0.07918818,-0.0012476,0.1468603,-0.1109959,0.05514479,-0.05316718,0.1348621,-0.159897,0.05649051,-0.03306393,0.1727757,-0.1693037,0.0608442,-0.01152737,0.1802738,0.104081,-0.0765864,0.03850045,0.1348355,0.1427368,-0.05887512,0.02361664,0.156198,0.1287759,-0.07503074,-0.0001727305,0.1490398,-0.1104679,0.05525666,-0.05393548,0.1347794,-0.1592489,0.05747121,-0.03282198,0.1724542,-0.168907,0.06128895,-0.01187514,0.1800748,0.1211836,-0.07145224,0.02384078,0.1426859,-0.2851326,0.9164441,-0.06639064,0.272804,148.3376,-0.2963742,0.9525756,-0.06900815,-0.1297416,0.05707661,-0.04090483,0.1475257,-0.07915608,-0.4501933,0.06326273,0.887163,54.96222,-0.1715354,-0.975593,0.1370937,-0.04819772,1.001343,0.2988076,1.046087,-0.04991762,-0.004028389,-0.01569879,0.9986219,6.016735,-0.951143,-0.07675795,-0.2991287,0.1208957,-0.05763357,0.0285263,0.1369349,0.4547959,0.6939262,0.4518096,0.3278648,141.7216,0.4814058,0.7345275,0.4782448,-0.1433787,-0.394172,-0.1847416,0.4583214,0.4676368,0.2544551,-0.8451093,-0.04856354,185.5672,0.4681893,0.2547558,-0.8461078,0.09819773,-0.001343369,0.001192421,0.09821416,-0.4154111,-0.4903911,0.6560628,0.3956411,133.3881,-0.4523178,-0.5339593,0.71435,-0.003597778,1.120012,-0.02571293,1.120313,0.06783404,0.04536266,-0.02408883,0.9963737,9.761883,0.7972469,0.5331429,-0.2831137,True,True,True,False
1773030166763,0.1434085,0.0497457,0.934835,0.2303261,0.9640753,-0.4797643,-0.7074615,-0.4263403,0.2959026,145.5767,-0.5022563,-0.7406282,-0.4463277,-0.1557043,0.5822547,0.1469998,0.6203816,-0.4726721,-0.2079555,0.8544419,-0.05713581,186.5509,-0.4734456,-0.2082958,0.8558401,-0.0616209,0.9925125,0.2753286,1.031835,-0.05784272,1.007495,0.3240104,1.059893,-0.0690059,0.9722713,0.3070784,1.021944,-0.03711832,0.5430229,0.1978514,0.5791345,-0.02576293,0.5287227,0.2474862,0.5843465,-0.03621799,0.5150359,0.2640602,0.579915,0.1024491,-0.0791699,0.03147597,0.1332458,0.1477592,-0.05746854,0.02227205,0.1600982,0.1227893,-0.07947318,-0.001058325,0.146268,-0.1109884,0.05514924,-0.05317698,0.1348616,-0.1598823,0.05650241,-0.03306197,0.1727656,-0.1693029,0.06084519,-0.01152762,0.1802734,0.1039502,-0.07679347,0.03793744,0.1346927,0.1431394,-0.05876238,0.02350887,0.1565074,0.1282961,-0.0753868,-0.000243711,0.1488056,-0.1105096,0.05524805,-0.05387469,0.1347858,-0.1592997,0.05739356,-0.03284122,0.1724789,-0.1689387,0.06125338,-0.01184729,0.1800906,0.1214202,-0.07143428,0.02351457,0.1428239,-0.283987,0.9169159,-0.0673662,0.2721736,148.4127,-0.2951287,0.9528892,-0.07000917,-0.1298161,0.0570588,-0.04083835,0.1475659,-0.07973447,-0.4502124,0.06474663,0.8869944,55.00407,-0.1726676,-0.9749497,0.1402109,-0.04794326,1.001514,0.2988133,1.04624,-0.05356569,-0.003901588,-0.01597116,0.9984291,6.423982,-0.9560066,-0.06963308,-0.2850432,0.1207575,-0.05761865,0.02834957,0.1367698,0.4549436,0.6915444,0.4544896,0.3289864,141.5855,0.481761,0.7323086,0.4812802,-0.1435264,-0.3942221,-0.185007,0.4585177,0.4681661,0.2579711,-0.8438908,-0.04603838,185.2775,0.4686631,0.258245,-0.8447866,0.09794326,-0.001514435,0.001186728,0.09796216,-0.4139983,-0.4879375,0.6580358,0.3968772,133.2338,-0.4510415,-0.5315966,0.7169147,-0.003502025,1.120054,-0.02581911,1.120357,0.06741989,0.04553472,-0.0240783,0.9963942,9.734149,0.7946299,0.536685,-0.2837937,True,True,True,False
