Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773032958919,0,1,1,135,0.4779308,0.1372738,-0.8676047,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.4415505,0.1268245,-0.8015622,0.3826834,135,0.4779308,0.1372738,-0.8676047
Grab,1773032964467,4.657405,1,1,135,0.4779308,0.1372738,-0.8676047,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.4415505,0.1268245,-0.8015622,0.3826834,135,0.4779308,0.1372738,-0.8676047
Trial Start,1773032964492,0,1,1,135,0.4779308,0.1372738,-0.8676047,1,-1,-0.05000001,1,0.3,1.045227,0.01253081,0.001558038,-0.002954776,0.999916,1.485663,0.9665282,0.1201748,-0.2279082,0.1,0,0,0.1,0.4358439,0.1349571,-0.7994629,0.3907503,133.9976,0.4734877,0.1466134,-0.8685123
Release,1773032964786,0.3049392,1,1,135,0.4779308,0.1372738,-0.8676047,1,0,-0.0415018,0.9767036,0.3042584,1.023839,0.5160857,-0.07395605,0.01808489,0.8531466,62.88884,0.989293,-0.1417675,0.03466723,0.0915018,0.02329636,-0.004258394,0.09451684,0.2361967,0.5581619,-0.5926633,0.5304874,115.9232,0.2786347,0.6584481,-0.6991485
Grab,1773032966021,1.541246,1,1,135,0.4779308,0.1372738,-0.8676047,1,0,-0.0415018,0.9767036,0.3042584,1.023839,0.5160857,-0.07395605,0.01808489,0.8531466,62.88884,0.989293,-0.1417675,0.03466723,0.0915018,0.02329636,-0.004258394,0.09451684,0.2361967,0.5581619,-0.5926633,0.5304874,115.9232,0.2786347,0.6584481,-0.6991485
Release,1773032966244,1.763673,1,1,135,0.4779308,0.1372738,-0.8676047,1,0,-0.01536869,0.9838041,0.2950685,1.027216,0.4258442,0.4010306,-0.3125891,0.7484112,83.09412,0.6420714,0.6046585,-0.4713097,0.0653687,0.01619589,0.004931509,0.0675255,-0.1143092,0.1447658,-0.6033434,0.7758564,78.23453,-0.1811816,0.2294558,-0.9563072
Grab,1773032967230,2.750236,1,1,135,0.4779308,0.1372738,-0.8676047,1,0,-0.01536869,0.9838041,0.2950685,1.027216,0.4258442,0.4010306,-0.3125891,0.7484112,83.09412,0.6420714,0.6046585,-0.4713097,0.0653687,0.01619589,0.004931509,0.0675255,-0.1143092,0.1447658,-0.6033434,0.7758564,78.23453,-0.1811816,0.2294558,-0.9563072
Clutch Start,1773032967467,2.986409,1,1,135,0.4779308,0.1372738,-0.8676047,1,0,-0.01420596,0.9766487,0.2955067,1.020475,0.4371807,0.4280122,-0.6273226,0.4818143,122.3921,0.4989091,0.488446,-0.7158982,0.06420596,0.02335125,0.004493296,0.06846806,-0.218075,-0.02925435,-0.279682,0.9345402,41.692,-0.6128159,-0.0822081,-0.7859384
Clutch End,1773032967758,3.278056,1,1,135,0.4779308,0.1372738,-0.8676047,1,0,-0.004226714,0.9603169,0.2693837,0.9973936,0.285113,0.09872942,-0.8456009,0.4403661,127.7455,0.317562,0.1099659,-0.9418397,0.05422672,0.0396831,0.03061628,0.07384201,0.113441,-0.1267726,-0.03681815,0.9847357,20.04751,0.6517482,-0.7283416,-0.2115298
Release,1773032967758,3.278056,1,1,135,0.4779308,0.1372738,-0.8676047,1,0,-0.004226714,0.9603169,0.2693837,0.9973936,0.285113,0.09872942,-0.8456009,0.4403661,127.7455,0.317562,0.1099659,-0.9418397,0.05422672,0.0396831,0.03061628,0.07384201,0.113441,-0.1267726,-0.03681815,0.9847357,20.04751,0.6517482,-0.7283416,-0.2115298
Grab,1773032968688,4.208842,1,1,135,0.4779308,0.1372738,-0.8676047,1,0,-0.004226714,0.9603169,0.2693837,0.9973936,0.285113,0.09872942,-0.8456009,0.4403661,127.7455,0.317562,0.1099659,-0.9418397,0.05422672,0.0396831,0.03061628,0.07384201,0.113441,-0.1267726,-0.03681815,0.9847357,20.04751,0.6517482,-0.7283416,-0.2115298
Release,1773032970119,5.638335,1,1,135,0.4779308,0.1372738,-0.8676047,1,0,0.08083981,0.9545668,0.2764799,0.9970827,0.08971704,0.09880949,-0.7939509,0.5931522,107.238,0.1114372,0.1227309,-0.9861636,-0.03083981,0.04543322,0.02352011,0.05973665,0.2490639,-0.2412421,-0.2038677,0.9155366,47.4359,0.6192007,-0.5997549,-0.5068378
Grab,1773032970813,6.332929,1,1,135,0.4779308,0.1372738,-0.8676047,1,0,0.08083981,0.9545668,0.2764799,0.9970827,0.08971704,0.09880949,-0.7939509,0.5931522,107.238,0.1114372,0.1227309,-0.9861636,-0.03083981,0.04543322,0.02352011,0.05973665,0.2490639,-0.2412421,-0.2038677,0.9155366,47.4359,0.6192007,-0.5997549,-0.5068378
Release,1773032972091,7.610418,1,1,135,0.4779308,0.1372738,-0.8676047,1,0,0.06090048,0.9940859,0.2845577,1.035803,-0.2113912,0.5436493,-0.7403598,0.3341058,140.9637,-0.2242793,0.5767944,-0.785498,-0.01090048,0.005914092,0.01544228,0.01980558,-0.1134525,-0.6620223,-0.2513413,0.6969094,91.64087,-0.158197,-0.9231176,-0.3504679
Grab,1773032972327,7.846708,1,1,135,0.4779308,0.1372738,-0.8676047,1,0,0.06090048,0.9940859,0.2845577,1.035803,-0.2113912,0.5436493,-0.7403598,0.3341058,140.9637,-0.2242793,0.5767944,-0.785498,-0.01090048,0.005914092,0.01544228,0.01980558,-0.1134525,-0.6620222,-0.2513413,0.6969094,91.64087,-0.1581971,-0.9231175,-0.350468
Release,1773032972549,8.069003,1,1,135,0.4779308,0.1372738,-0.8676047,1,0,0.08370077,0.9907081,0.2626519,1.028345,-0.1132938,0.1023413,-0.9094868,0.3866842,134.5033,-0.1228501,0.1109737,-0.9862012,-0.03370077,0.009291887,0.03734815,0.05115628,0.2474086,-0.4825197,-0.02146325,0.8399423,65.73194,0.4559051,-0.8891493,-0.03955078
Grab,1773032973354,8.874662,1,1,135,0.4779308,0.1372738,-0.8676047,1,0,0.08370077,0.9907081,0.2626519,1.028345,-0.1132938,0.1023413,-0.9094868,0.3866842,134.5033,-0.1228501,0.1109737,-0.9862012,-0.03370077,0.009291887,0.03734815,0.05115628,0.2474086,-0.4825197,-0.02146325,0.8399423,65.73194,0.4559051,-0.8891493,-0.03955078
Release,1773032976563,12.08244,1,1,135,0.4779308,0.1372738,-0.8676047,1,0,0.06431755,0.9078303,0.2768428,0.9512805,0.3193981,0.2523515,-0.8870403,0.2178607,154.8332,0.3272589,0.2585622,-0.9088714,-0.01431755,0.0921697,0.02315721,0.09610672,-0.1158089,-0.2045963,0.09390828,0.9674244,29.32918,-0.457453,-0.8081694,0.3709441
