Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,0.4779308,0.1372738,-0.8676047,1,17.7627,False,-0.0003881417,0.0004088283,-0.001575172,0.00167301,-0.02165923,-0.03382781,0.03372105,0.9986238,6.012569,-0.4129866,-0.6450105,0.6429749,0.3539967,0.3996769,0.4805535,1.036535,636.5432,0.4789685,1127.479,0,0,0,0,0,0,0,0.9881996,1133.138,0.1917996,67.67675
1,3,135,-0.03274012,-0.8167906,-0.5760045,1,18.9845,False,0.002425816,-0.0001254082,0.00320223,0.004019277,-0.01509888,0.05982655,0.03899977,0.9973325,8.371826,-0.2068534,0.8196187,0.5342936,0.5177725,0.4717551,0.5023989,1.005949,717.5986,0.6458444,1291.425,0,0,0,0,0,0,0,1.102156,1391.611,0.2591441,79.93281
1,4,135,0.3845585,-0.742225,-0.5488322,0.9999999,7.873713,False,-0.00294945,0.0001893044,-0.008467734,0.008968702,0.03847607,-0.03759944,-0.04516812,0.9975299,8.055964,0.5477505,-0.5352706,-0.6430194,0.167091,0.1497416,0.2258707,0.39641,296.8949,0.1467417,500.9601,0,0,0,0,0,0,0,0.4201428,610.1578,0.08604614,24.3871
1,5,135,0.9027902,-0.139316,-0.4068917,1,11.73461,False,-5.310401E-05,-0.002221227,0.000993073,0.002433693,0.05876157,-0.03093528,-0.007523708,0.9977643,7.664015,0.8792531,-0.4628865,-0.1125777,0.2032152,0.2304661,0.3428681,0.5162407,402.3746,0.2851169,541.0353,0,0,0,0,0,0,0,0.5747511,761.3291,0.1639652,45.17401
1,6,135,-0.2220689,-0.2294558,0.9476473,1,9.624628,False,0.002259757,1.037121E-05,0.007402092,0.007739353,-0.05286658,-0.005171882,0.04669237,0.9974961,8.111005,-0.7475174,-0.07312884,0.660216,0.1978586,0.2284653,0.1980451,0.4749109,343.1647,0.2688712,558.5658,0,0,0,0,0,0,0,0.4714653,587.775,0.1382532,42.93926
1,7,135,0.3477963,0.8848937,0.3098402,1,11.48579,False,0.0004829355,0.0005573034,-0.003636003,0.003710031,0.008914452,0.03055068,0.01351805,0.9994021,3.962793,0.2578294,0.8836061,0.3909775,0.2151824,0.3671486,0.3195842,0.6895698,438.9753,0.3079983,659.7686,0,0,0,0,0,0,0,0.6509187,736.6473,0.2083013,59.69397
1,8,135,0.1866927,-0.5672686,-0.8020923,0.9999999,6.041232,False,-0.0003589578,-0.002614737,0.004852682,0.005523968,-0.03912321,-0.05556012,-0.01290316,0.9976052,7.932107,-0.5656462,-0.8032921,-0.1865549,0.1046908,0.1190333,0.1048283,0.3120651,216.1068,0.1055812,386.6263,0,0,0,0,0,0,0,0.3262663,426.8814,0.07860052,25.2664
1,9,135,0.07126601,0.7719713,-0.6316497,1,6.735162,False,0.00231595,-0.0008977652,0.002257884,0.003356731,0.06154674,0.03220596,0.02192152,0.9973436,8.354309,0.84495,0.4421424,0.3009516,0.05366459,0.1066855,0.1051035,0.2859308,146.5781,0.1083504,298.7901,0,0,0,0,0,0,0,0.2835274,403.0308,0.0864644,23.49643
1,10,135,-0.8009774,0.3751248,0.4666011,1,14.11027,False,0.0003817342,-0.000164628,0.002279133,0.002316737,-0.003938937,0.03382191,0.02232614,-0.9991708,355.3331,-0.09674373,0.8306958,0.5483494,0.2537271,0.2310428,0.2734583,0.4555285,394.0662,0.2983291,741.8157,0,0,0,0,0,0,0,0.4266648,746.0798,0.1475979,45.0359
1,11,135,0.5919901,-0.4230863,0.6859634,1,11.66529,False,-0.0008408166,-0.002185822,0.001825839,0.002969592,-0.0661664,-0.0373297,-0.00851584,0.9970738,8.768552,-0.8655396,-0.4883194,-0.1113979,0.2679833,0.3290028,0.3225674,0.626123,371.1766,0.3260603,725.6262,0,0,0,0,0,0,0,0.5037186,767.5408,0.140571,41.89756
2,2,135,0.4831927,-0.8583803,-0.172361,1,7.180097,False,0.0007464029,-0.0009638071,-0.0002556741,0.001245556,-0.02375561,-0.007850606,-0.01356184,0.999595,3.261498,-0.8347652,-0.275868,-0.4765593,0.2279852,0.165012,0.210556,0.2967266,284.4244,0.2228431,483.4172,0,0,0,0,0,0,0,0.3499224,570.8518,0.1144006,34.7365
2,3,135,-0.2079161,0.5372989,0.8173621,1,10.97129,False,0.000818219,-0.002866626,0.0003546476,0.003002133,0.02335361,-0.001812294,0.01412836,-0.9996259,356.8653,0.8538027,-0.06625707,0.5165297,0.2233491,0.290105,0.2659734,0.7346293,400.263,0.3329624,904.1498,0,0,0,0,0,0,0,0.6660084,863.5559,0.1904375,62.11853
2,4,135,-0.5888983,0.3748296,0.7160318,1,7.09622,False,-0.0009580441,-0.0006948709,0.001115024,0.00162603,0.03105422,-0.0540383,0.001435618,0.9980549,7.148473,0.498127,-0.8668045,0.02302811,0.3119704,0.2494424,0.2702018,0.4088535,276.616,0.2964491,703.674,0,0,0,0,0,0,0,0.4074868,736.6493,0.07700992,27.16765
2,5,135,-0.3914849,-0.8955579,-0.2114607,1,10.58233,False,-0.0001462735,-0.002143383,0.004614681,0.005090262,-0.003254558,0.01933109,-0.007293156,0.9997813,2.396893,-0.1556086,0.9242678,-0.3487041,0.2235726,0.3140611,0.3441008,0.507745,348.0705,0.2841367,875.8024,0,0,0,0,0,0,0,0.5041345,852.4278,0.1239046,38.44395
