Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Thumb Tip Euro Position X,Right Thumb Tip Euro Position Y,Right Thumb Tip Euro Position Z,Right Thumb Tip Euro Position Magnitude,Right Index Tip Euro Position X,Right Index Tip Euro Position Y,Right Index Tip Euro Position Z,Right Index Tip Euro Position Magnitude,Right Middle Tip Euro Position X,Right Middle Tip Euro Position Y,Right Middle Tip Euro Position Z,Right Middle Tip Euro Position Magnitude,Right Triangle Local Position X,Right Triangle Local Position Y,Right Triangle Local Position Z,Right Triangle Local Position Magnitude,Right Triangle Local Rotation X,Right Triangle Local Rotation Y,Right Triangle Local Rotation Z,Right Triangle Local Rotation W,Right Triangle Local Rotation Angle,Right Triangle Local Rotation Axis X,Right Triangle Local Rotation Axis Y,Right Triangle Local Rotation Axis Z,Right Triangle Area,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Right Angle Scale Factor,Right Is Grabbed,Right Is Rotating,Right Is Clutching,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Thumb Tip Euro Position X,Left Thumb Tip Euro Position Y,Left Thumb Tip Euro Position Z,Left Thumb Tip Euro Position Magnitude,Left Index Tip Euro Position X,Left Index Tip Euro Position Y,Left Index Tip Euro Position Z,Left Index Tip Euro Position Magnitude,Left Middle Tip Euro Position X,Left Middle Tip Euro Position Y,Left Middle Tip Euro Position Z,Left Middle Tip Euro Position Magnitude,Left Triangle Local Position X,Left Triangle Local Position Y,Left Triangle Local Position Z,Left Triangle Local Position Magnitude,Left Triangle Local Rotation X,Left Triangle Local Rotation Y,Left Triangle Local Rotation Z,Left Triangle Local Rotation W,Left Triangle Local Rotation Angle,Left Triangle Local Rotation Axis X,Left Triangle Local Rotation Axis Y,Left Triangle Local Rotation Axis Z,Left Triangle Area,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Left Angle Scale Factor,Left Is Grabbed,Left Is Rotating,Left Is Clutching,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773033238816,0.0140611,0.03321914,0.9080962,0.2503383,0.9425558,-0.631494,-0.3475797,-0.1926595,0.6657974,96.51295,-0.8463562,-0.4658417,-0.2582108,-0.06369196,0.9842285,0.2757833,1.024119,-0.0552856,1.017223,0.2833868,1.057406,-0.04472989,1.020612,0.2938352,1.063009,-0.03777621,-0.08295398,0.1036364,0.1380178,-0.01897719,-0.07779776,0.1365624,0.1583096,-0.002286285,-0.0773704,0.1371949,0.1575241,-0.03769515,-0.08280858,0.1037911,0.1380246,-0.0191896,-0.07678879,0.1382536,0.1593073,-0.002217909,-0.07579809,0.1409217,0.1600287,-0.02674428,-0.08045851,0.1164413,0.1440396,-0.07822413,0.3683648,-0.01311229,0.9262918,44.27209,-0.2075973,0.9775953,-0.03479841,2.711682,-0.004647908,-0.08188859,0.1059957,0.134024,0.6393982,0.3547709,0.1735064,0.6596994,97.4461,0.8507956,0.4720651,0.230871,1.299942,True,True,False,-0.1260603,0.5650144,0.1630499,0.6014298,0.3804162,0.00112012,0.6230717,0.6834209,93.77691,0.5211005,0.00153436,0.8534941,-0.03022197,0.5588931,0.242179,0.609857,-0.0303792,0.5375649,0.2058318,0.5764249,-0.04887339,0.5361801,0.194601,0.5724922,0.05878501,-0.04373958,0.1151403,0.1364775,0.01996745,-0.06283624,0.09886225,0.1188311,0.008317528,-0.05190072,0.08125051,0.09677041,0.05871138,-0.04362887,0.1152975,0.1365431,0.01997905,-0.06292205,0.09874273,0.1187791,0.008378133,-0.05170826,0.08077101,0.0962699,0.039936,-0.04798986,0.1034501,0.1208297,0.7535923,0.460961,-0.433474,-0.1780837,200.5163,0.765834,0.468449,-0.4405155,4.926058,0,0,0,0,0,0,0,0,0,1,0,0,0.3867272,False,True,False,-0.05000001,1,0.3,1.045227,0.007224134,-0.002359367,-0.004517923,0.9999609,1.012581,0.817542,-0.2670053,-0.5112851,0.1,0,0,0.1,0.8465676,-0.3625194,-0.00621607,0.3896978,134.1286,0.9192402,-0.3936394,-0.006749681,-0.04825864,1.085976,0.05558465,1.088468,-0.02893405,0.01742462,-0.002329262,-0.9994267,356.1197,-0.8546329,0.5146756,-0.06880003,False
1773033238830,0.027698,0.03256215,0.9079815,0.2510113,0.9426014,-0.6310464,-0.346185,-0.1975466,0.6655163,96.55611,-0.8454722,-0.4638166,-0.2646718,-0.06389254,0.9847015,0.2763881,1.024749,-0.05523804,1.017277,0.2843215,1.057706,-0.04473255,1.020363,0.294811,1.063041,-0.03777298,-0.08304799,0.1035513,0.1380095,-0.0189021,-0.078039,0.1361263,0.1580435,-0.002282506,-0.07763996,0.13658,0.1571218,-0.03771116,-0.08285765,0.1037421,0.1380215,-0.01913081,-0.07704718,0.1378142,0.1590441,-0.00223113,-0.07618029,0.1400127,0.1594113,-0.02675458,-0.08060822,0.116164,0.1439013,-0.07630196,0.3739065,-0.01412161,0.9242146,44.89956,-0.1998095,0.979137,-0.03697982,2.707401,-0.00465731,-0.0820251,0.1057428,0.133908,0.6419592,0.3569711,0.1689638,0.6571997,97.8267,0.851725,0.4736145,0.2241741,0.9820496,True,True,False,-0.1259795,0.5651,0.1630342,0.601489,0.3803487,0.0008594393,0.6231181,0.6834164,93.77761,0.521005,0.001177268,0.8535528,-0.03016167,0.5589873,0.2421661,0.6099352,-0.03030443,0.5375912,0.2058948,0.5764679,-0.04870959,0.536181,0.1946576,0.5724983,0.05880498,-0.04378276,0.1150948,0.1364616,0.01995791,-0.06282753,0.09892348,0.1188759,0.008301522,-0.0519666,0.08137479,0.09690871,0.05873057,-0.04366037,0.115256,0.1365263,0.01997473,-0.06290271,0.09877978,0.1187989,0.008362457,-0.05176119,0.08089503,0.09640102,0.03998313,-0.04801075,0.1034891,0.120887,0.7531548,0.4605197,-0.4346094,-0.1783093,200.5426,0.765421,0.46802,-0.4416877,4.898076,0,0,0,0,0,0,0,0,0,1,0,0,0.387127,False,True,False,-0.05018388,1.000077,0.3007943,1.045538,0.01715606,-0.006710455,-0.01337111,0.999741,2.608326,0.7537764,-0.2948337,-0.5874792,0.1001839,-7.748604E-05,-0.0007942617,0.1001871,0.8394276,-0.368236,-0.002695792,0.3996954,132.8817,0.9157577,-0.4017201,-0.002940924,-0.0484676,1.086006,0.05552878,1.088505,-0.0289414,0.0179732,-0.002740163,-0.9994158,356.0827,-0.8467859,0.5258713,-0.08017342,False
1773033238845,0.0422223,0.03189975,0.9078768,0.2516833,0.9426571,-0.6306085,-0.3448812,-0.2021088,0.6652383,96.59878,-0.8446052,-0.4619164,-0.2706943,-0.06412925,0.9851304,0.2770132,1.025344,-0.05524646,1.017287,0.2852575,1.057968,-0.04480797,1.019976,0.2958063,1.062949,-0.03776337,-0.08315054,0.1034599,0.1380002,-0.01882331,-0.07828207,0.1356802,0.1577704,-0.002285493,-0.07795514,0.1358468,0.1566416,-0.03772245,-0.0829207,0.1036814,0.1380169,-0.01906469,-0.07731549,0.1373504,0.1587648,-0.002242825,-0.07656752,0.1390944,0.1587919,-0.02675533,-0.08076853,0.1158795,0.1437618,-0.07442109,0.3795312,-0.01516226,0.9220563,45.54287,-0.1922748,0.9805591,-0.03917329,2.70033,-0.004657994,-0.08217126,0.1054834,0.133793,0.6443762,0.3591243,0.1645163,0.654785,98.19329,0.852558,0.4751484,0.2176673,0.9408445,True,True,False,-0.1258894,0.5651923,0.163018,0.6015525,0.3802521,0.0005831122,0.6231813,0.6834128,93.77817,0.5208704,0.0007987488,0.8536355,-0.03009617,0.5590929,0.2421577,0.6100255,-0.03021975,0.5376229,0.2059662,0.5765186,-0.04852782,0.5361822,0.1947249,0.5725068,0.05882642,-0.0438285,0.1150475,0.1364457,0.01994723,-0.06282096,0.09898949,0.1189255,0.008283463,-0.05203896,0.08151322,0.09706222,0.05875122,-0.04369654,0.1152111,0.1365089,0.01996882,-0.06288513,0.09882495,0.1188262,0.008345468,-0.05182102,0.08102852,0.0965437,0.04003185,-0.04803635,0.1035301,0.1209484,0.7527354,0.4599522,-0.4358588,-0.1784953,200.5643,0.765021,0.4674592,-0.4429725,4.869043,0,0,0,0,0,0,0,0,0,1,0,0,0.3878645,False,True,False,-0.05038183,1.000157,0.3015613,1.045845,0.02453654,-0.0101355,-0.02040809,0.9994392,3.83775,0.7327694,-0.3026908,-0.6094758,0.1003818,-0.0001571178,-0.001561314,0.1003941,0.8338409,-0.3727508,0.0002596324,0.407144,131.9489,0.9129338,-0.4081076,0.0002842596,-0.04868689,1.086035,0.05547234,1.08854,-0.02862816,0.01830521,-0.002849369,-0.9994184,356.0917,-0.8395508,0.5368195,-0.08356073,False
1773033238858,0.0557337,0.03152762,0.9079058,0.2521489,0.9427969,-0.6297253,-0.3441035,-0.2105722,0.663851,96.81152,-0.8420309,-0.4601145,-0.2815645,-0.06383946,0.9861267,0.2769643,1.02627,-0.05478697,1.016946,0.2859536,1.057805,-0.04392856,1.01525,0.2963351,1.058525,-0.0377034,-0.08324361,0.1033947,0.137991,-0.01868841,-0.0789836,0.134357,0.1569696,-0.002719989,-0.07858251,0.1299084,0.1518513,-0.03771856,-0.08298633,0.1036232,0.1380116,-0.01898825,-0.07765812,0.1367345,0.1583908,-0.002339809,-0.07698315,0.1371678,0.1573114,-0.02680043,-0.0809388,0.115367,0.1434535,-0.07108548,0.391794,-0.01045822,0.9172432,46.94735,-0.1784598,0.9835973,-0.02625531,2.744009,-0.00469912,-0.08232649,0.1050161,0.133522,0.6501035,0.3711335,0.1572644,0.6441221,99.80024,0.8498944,0.4851909,0.2055952,1.288377,True,True,False,-0.1259454,0.5652488,0.1629171,0.60159,0.3800025,-0.0002670288,0.6231073,0.6836193,93.74577,0.5206664,-0.0003658736,0.8537601,-0.03023812,0.5590726,0.2421369,0.6100055,-0.03033762,0.5375242,0.2060148,0.57645,-0.04858627,0.5361055,0.1947327,0.5724426,0.05886685,-0.04389318,0.1149874,0.1364332,0.0199364,-0.06282679,0.09904642,0.1189742,0.008273863,-0.05209458,0.081584,0.09715066,0.05877475,-0.04373648,0.1151656,0.1364935,0.01996224,-0.06287327,0.09887001,0.1188563,0.008330924,-0.05187667,0.08114183,0.09666742,0.04007468,-0.04806592,0.1035597,0.1209997,0.7524926,0.459213,-0.4370193,-0.1785846,200.5747,0.7647869,0.4667157,-0.4441594,4.845218,0,0,0,0,0,0,0,0,0,1,0,0,0.38497,False,True,False,-0.05062129,1.000205,0.3023416,1.046128,0.03159435,-0.01340851,-0.02712889,0.9990426,5.014823,0.7221749,-0.3064879,-0.6201047,0.1006213,-0.0002053976,-0.002341628,0.1006487,0.8284094,-0.3770229,0.003081421,0.4142248,131.059,0.9101654,-0.4142314,0.003385527,-0.04890934,1.08604,0.05541031,1.088552,-0.02827929,0.0185321,-0.003226215,-0.999423,356.1071,-0.8326128,0.5456312,-0.09498782,False
1773033238871,0.0694947,0.03115363,0.9079333,0.2526054,0.9429331,-0.6288055,-0.3432933,-0.2188927,0.6624495,97.02609,-0.8394073,-0.4582703,-0.2922051,-0.06351049,0.9871112,0.2770115,1.027209,-0.05432032,1.016822,0.2865254,1.057816,-0.04318641,1.01258,0.2966468,1.056022,-0.03755405,-0.08336724,0.1033314,0.1379775,-0.01857952,-0.0795228,0.1332901,0.156318,-0.002970835,-0.07881659,0.1262287,0.1488441,-0.03768452,-0.08306484,0.1035631,0.1380043,-0.01890397,-0.07804708,0.1360138,0.1579508,-0.002470015,-0.07736707,0.1348216,0.1554627,-0.0267806,-0.08110069,0.1148358,0.1431146,-0.06708921,0.4074032,-0.002549041,0.9107773,48.77402,-0.1624837,0.9866921,-0.006173537,2.803691,-0.004681019,-0.08247408,0.1045318,0.1332321,0.6566797,0.3880178,0.1494515,0.6291886,102.0194,0.8448729,0.4992171,0.1922817,1.29695,True,True,False,-0.1260022,0.5653089,0.1628109,0.6016296,0.3795806,-0.00154984,0.623006,0.6839443,93.69473,0.5203054,-0.002124424,0.8539777,-0.03041831,0.5590234,0.2421574,0.6099776,-0.03050146,0.5373688,0.2061268,0.5763538,-0.04867592,0.5359784,0.1947942,0.5723521,0.05893159,-0.0440018,0.1149014,0.1364237,0.01992467,-0.06283589,0.09910607,0.1190267,0.008262323,-0.05215647,0.08166762,0.09725309,0.05880713,-0.04379114,0.1151111,0.1364789,0.0199545,-0.06286557,0.09891874,0.1188915,0.008316784,-0.05193444,0.08125067,0.09678856,0.04011977,-0.04810624,0.1035808,0.1210487,0.7523881,0.4581876,-0.438246,-0.1786529,200.5826,0.7646903,0.4656794,-0.4454117,4.822918,0,0,0,0,0,0,0,0,0,1,0,0,0.3834611,False,True,False,-0.05046488,1.000473,0.3025151,1.046426,0.04998707,-0.0131276,-0.04124342,0.9978116,7.582435,0.7559925,-0.1985387,-0.6237558,0.1004649,-0.0004725456,-0.002515078,0.1004975,0.815245,-0.3885635,0.001637983,0.4294082,129.14,0.9027079,-0.4302502,0.001813713,-0.0491101,1.086055,0.05536045,1.088573,-0.0280071,0.01879819,-0.003633137,-0.9994243,356.1116,-0.8255377,0.5540958,-0.1070904,False
1773033238886,0.0833232,0.03080396,0.9082505,0.2531628,0.9433765,-0.6277983,-0.3442868,-0.2318023,0.6584859,97.631,-0.8341803,-0.4574674,-0.3080049,-0.06310884,0.9887478,0.2760088,1.028487,-0.05372521,1.016593,0.2865525,1.057573,-0.04097573,1.0045,0.2953823,1.047831,-0.03764715,-0.08348191,0.1031773,0.1379568,-0.01841312,-0.08042187,0.1313387,0.1551019,-0.00372234,-0.07795256,0.1157393,0.1395925,-0.03767676,-0.08315109,0.1034832,0.1379943,-0.01880233,-0.07854504,0.1350285,0.157339,-0.002729714,-0.07749005,0.130652,0.151928,-0.02661624,-0.08116656,0.1141832,0.1425981,-0.06075016,0.4380694,0.0204436,0.8966531,52.55689,-0.137216,0.9894643,0.04617583,2.972521,-0.004531171,-0.08253419,0.1039368,0.1327979,0.6660389,0.4273613,0.1396821,0.5951838,106.9485,0.8288294,0.5318152,0.1738226,1.299995,True,True,False,-0.1261381,0.5654218,0.1627108,0.601737,0.3796642,-0.002369076,0.6228379,0.6840487,93.67834,0.5204898,-0.003247817,0.8538619,-0.03061338,0.5589891,0.2420981,0.6099324,-0.03066922,0.5373072,0.2061048,0.5762975,-0.04879867,0.5359488,0.1947391,0.5723161,0.05894472,-0.04404164,0.1148638,0.1364105,0.01991235,-0.06285249,0.09916144,0.1190795,0.00825284,-0.05221594,0.08172842,0.09733523,0.05883564,-0.04384293,0.1150598,0.1364647,0.01994578,-0.06286287,0.09896904,0.1189304,0.008303553,-0.05199278,0.08134995,0.09690208,0.0401582,-0.0481469,0.1035985,0.1210927,0.7523519,0.45714,-0.4394136,-0.1786209,200.5789,0.764649,0.4646119,-0.4465958,4.803524,0,0,0,0,0,0,0,0,0,1,0,0,0.3810861,False,True,False,-0.05026873,1.000715,0.3027329,1.046711,0.07300844,-0.008720521,-0.05727476,0.9956472,10.69572,0.7833333,-0.09356555,-0.6145211,0.1002687,-0.0007148981,-0.002732873,0.1003085,0.7987953,-0.4029445,-0.004240995,0.4467034,126.9353,0.8928258,-0.4503773,-0.004740226,-0.04934341,1.086083,0.05528972,1.088609,-0.0277123,0.01878383,-0.004212749,-0.9994307,356.133,-0.821348,0.5567225,-0.1248591,False
1773033238899,0.0971396,0.03039989,0.9085928,0.2537875,0.9438608,-0.6267562,-0.345079,-0.2436375,0.6547809,98.19392,-0.8292415,-0.4565632,-0.3223492,-0.06273973,0.9903106,0.2753122,1.029781,-0.05322142,1.016623,0.2865943,1.057588,-0.03944774,1.000872,0.2943414,1.044001,-0.03764626,-0.08361678,0.1030377,0.1379339,-0.01828584,-0.08108588,0.1297535,0.154095,-0.004096415,-0.07692886,0.1102536,0.1345016,-0.03767043,-0.08324734,0.1033911,0.1379815,-0.0186954,-0.0790782,0.1339135,0.1566388,-0.003013258,-0.07737247,0.1261327,0.1480035,-0.0261263,-0.08114415,0.1137415,0.1421411,-0.05486152,0.4747567,0.04642037,0.8771781,57.39237,-0.1142555,0.9887363,0.09667585,3.16417,-0.004084457,-0.08251373,0.1035342,0.1324557,0.6726905,0.4682637,0.1265949,0.5587403,112.0626,0.8111127,0.5646203,0.1526448,1.299999,True,True,False,-0.1262795,0.565541,0.1626067,0.6018505,0.3797428,-0.003150165,0.6226766,0.6841487,93.66261,0.5206646,-0.004319185,0.8537505,-0.03081024,0.5589683,0.2420308,0.6098965,-0.03083647,0.5372568,0.206075,0.5762488,-0.04892183,0.5359295,0.1946775,0.5722876,0.05895698,-0.04408177,0.1148268,0.1363977,0.01989912,-0.06287263,0.09921854,0.1191355,0.008242937,-0.05227835,0.08179046,0.09741998,0.05886077,-0.04389229,0.1150116,0.1364507,0.01993614,-0.06286488,0.09902072,0.1189729,0.008291019,-0.05205194,0.08144144,0.09700955,0.04019096,-0.04818797,0.1036136,0.1211329,0.752369,0.4560806,-0.4405307,-0.1785052,200.5654,0.76465,0.4635254,-0.4477215,4.78663,0,0,0,0,0,0,0,0,0,1,0,0,0.379445,False,True,False,-0.04991596,1.001593,0.3022221,1.047386,0.1158945,0.009800244,-0.08497459,0.9895715,16.56367,0.804586,0.06803724,-0.5899278,0.09991597,-0.001592636,-0.002222061,0.09995336,0.7671149,-0.4311034,-0.02478045,0.474416,123.3573,0.8714237,-0.4897228,-0.02814998,-0.04959637,1.086128,0.05521526,1.088661,-0.02731779,0.01873208,-0.004963922,-0.999439,356.1614,-0.8156565,0.5593036,-0.1482131,False
1773033238913,0.1110937,0.02984033,0.9089943,0.2546717,0.9444674,-0.6221316,-0.3452473,-0.2639047,0.651238,98.72999,-0.8198093,-0.4549471,-0.3477585,-0.06196815,0.9925378,0.2747241,1.031719,-0.05221216,1.017597,0.286992,1.058581,-0.03640976,0.9961275,0.2926216,1.038857,-0.03768575,-0.08374491,0.1028859,0.1379091,-0.01819856,-0.08154082,0.1286994,0.1534394,-0.00463023,-0.0740556,0.1031479,0.1270636,-0.03767363,-0.08335104,0.1032857,0.1379661,-0.0185917,-0.07959963,0.1327991,0.1559402,-0.003351804,-0.07667509,0.1209221,0.1432217,-0.02521045,-0.08091919,0.1134667,0.1416269,-0.05085746,0.5217625,0.08073211,0.847738,64.06702,-0.09588236,0.9836869,0.1522055,3.444805,-0.003249416,-0.08230862,0.1032836,0.1321089,0.674697,0.5092912,0.1125379,0.5222468,117.0338,0.7911602,0.5972028,0.1319637,1.3,True,True,False,-0.126173,0.5656386,0.1626364,0.6019279,0.3797525,-0.003508747,0.6226647,0.6841523,93.66204,0.5206802,-0.004810857,0.8537382,-0.03073879,0.5590574,0.2420854,0.6099963,-0.03067343,0.5372494,0.2061552,0.5762619,-0.04875631,0.5359588,0.1947276,0.5723179,0.0590011,-0.04409916,0.1147837,0.1363861,0.01987662,-0.06293803,0.09930974,0.1192422,0.008233189,-0.0523551,0.08184899,0.09750947,0.05889006,-0.0439354,0.114964,0.1364371,0.01992374,-0.06288013,0.09908106,0.1190291,0.008278967,-0.05211524,0.08152675,0.09711411,0.04022126,-0.04822998,0.103626,0.1211703,0.7524417,0.4549454,-0.4416827,-0.1782486,200.5355,0.7646878,0.4623497,-0.4488712,4.775782,0,0,0,0,0,0,0,0,0,1,0,0,0.3784449,False,True,False,-0.04941353,1.002625,0.3020803,1.048309,0.1606723,0.02925207,-0.114594,0.9798964,23.01625,0.8053474,0.1466219,-0.5743865,0.09941353,-0.002625465,-0.002080292,0.09946994,0.7309504,-0.4599437,-0.04603152,0.5020403,119.7298,0.8451816,-0.5318226,-0.05322522,-0.04984604,1.086193,0.05513319,1.088733,-0.02734256,0.01897662,-0.005488066,-0.999431,356.1342,-0.8106442,0.5626132,-0.1627086,False
1773033238927,0.1250908,0.02923781,0.909408,0.2556057,0.945099,-0.6179685,-0.345253,-0.2814007,0.6478649,99.23836,-0.8112429,-0.4532335,-0.369411,-0.06132674,0.9945335,0.274479,1.033536,-0.05145229,1.018404,0.2875344,1.059467,-0.03442419,0.9937461,0.2916611,1.036235,-0.03766182,-0.0838863,0.1027447,0.1378833,-0.01811752,-0.08196091,0.1276856,0.1528053,-0.004931822,-0.07203215,0.09890679,0.1224561,-0.03767116,-0.08346292,0.1031725,0.1379483,-0.01849246,-0.0801013,0.1317004,0.155252,-0.003683799,-0.07570178,0.1158547,0.1384437,-0.0240593,-0.08058672,0.1131253,0.1409624,-0.05022196,0.5714421,0.1117392,0.8114468,71.52493,-0.08593378,0.9777831,0.1911947,3.74417,-0.002199855,-0.08200549,0.1029723,0.131655,0.6730372,0.5490586,0.09342597,0.4866491,121.7589,0.7704203,0.628503,0.106944,1.3,True,True,False,-0.1260539,0.56574,0.162672,0.6020079,0.3797568,-0.003788173,0.6226617,0.6841512,93.66222,0.5206854,-0.005193972,0.8537328,-0.03065225,0.5591763,0.2421454,0.6101246,-0.03042364,0.5372192,0.206244,0.5762523,-0.04856917,0.5360008,0.1947774,0.5723584,0.05905771,-0.04410767,0.1147379,0.1363748,0.01983968,-0.06305938,0.09946476,0.1194292,0.008223142,-0.05243639,0.08190805,0.09760186,0.05892513,-0.04397138,0.1149167,0.136424,0.01990618,-0.06291756,0.09916138,0.1191128,0.008267305,-0.05218246,0.08160675,0.09721635,0.04024437,-0.04827534,0.1036342,0.121203,0.7526163,0.4536418,-0.4429048,-0.1778011,200.4834,0.7648023,0.460987,-0.4500761,4.775288,0,0,0,0,0,0,0,0,0,1,0,0,0.3779074,False,True,False,-0.04836102,1.004099,0.3025508,1.049805,0.210033,0.04332315,-0.1484433,0.9653879,30.23723,0.8052851,0.1661048,-0.5691448,0.09836102,-0.004099011,-0.002550751,0.09847943,0.6874374,-0.4885523,-0.06269768,0.5336812,115.491,0.8128757,-0.5776996,-0.07413827,-0.05014142,1.08626,0.05505219,1.088809,-0.02688515,0.01897925,-0.005985402,-0.9994404,356.1664,-0.8037644,0.5674078,-0.1789409,False
1773033238941,0.1387869,0.0286244,0.9098135,0.2565411,0.9457237,-0.6142992,-0.3451545,-0.2962891,0.6447619,99.70435,-0.8036531,-0.4515462,-0.3876183,-0.06081836,0.9962783,0.2744899,1.035188,-0.05091654,1.018987,0.2881725,1.060175,-0.03278622,0.9919643,0.2909465,1.034272,-0.0375926,-0.0840389,0.1026092,0.1378564,-0.01803897,-0.08236667,0.1266578,0.1521574,-0.005165793,-0.07019027,0.09552756,0.1186544,-0.03765499,-0.08358131,0.1030567,0.137929,-0.01839914,-0.08057482,0.1306324,0.1545822,-0.00399018,-0.07456893,0.1112058,0.1339522,-0.02288066,-0.08017867,0.1125266,0.1400513,-0.05255464,0.6191866,0.1378774,0.7712559,79.06639,-0.0825649,0.9727607,0.2166095,4.03267,-0.001125222,-0.08163346,0.1024265,0.1309827,0.6678544,0.5872136,0.07054659,0.4518565,126.2743,0.7486393,0.6582442,0.07908005,1.299999,True,True,False,-0.125923,0.5658448,0.1627132,0.6020902,0.3797584,-0.004069387,0.6226646,0.6841461,93.66302,0.5206842,-0.00557951,0.8537312,-0.03056455,0.5593185,0.2422253,0.6102823,-0.03013154,0.5371761,0.2063426,0.5762321,-0.04836671,0.536047,0.1948317,0.572403,0.05913646,-0.04410059,0.1146866,0.1363635,0.01979594,-0.06320643,0.09964804,0.1196523,0.008212784,-0.05252196,0.0819676,0.09769695,0.05896859,-0.04399791,0.1148694,0.1364115,0.01988355,-0.06297684,0.09926154,0.1192237,0.008256109,-0.05225232,0.08168117,0.09731537,0.04026229,-0.04832223,0.1036384,0.1212313,0.7528791,0.4521803,-0.4442047,-0.1771675,200.4096,0.7649806,0.4594484,-0.4513447,4.785726,0,0,0,0,0,0,0,0,0,1,0,0,0.3821118,False,True,False,-0.04723465,1.005347,0.3033622,1.051182,0.2575532,0.0560399,-0.1833488,0.9470529,37.45621,0.8021527,0.1745369,-0.5710422,0.09723465,-0.005347133,-0.003362149,0.09743959,0.6410024,-0.5161788,-0.07711708,0.5627863,111.5026,0.7754663,-0.6244583,-0.09329402,-0.05045296,1.086341,0.05499309,1.088901,-0.02655485,0.0189414,-0.006407187,-0.9994473,356.1901,-0.7988417,0.5698086,-0.1927455,False
