Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Total Thumb Tip Translation,Total Index Tip Translation,Total Middle Tip Translation,Total Thumb Tip Translation_left,Total Index Tip Translation_left,Total Middle Tip Translation_left,Total Wrist Translation,Total Wrist Rotation,Total Wrist Translation_left,Total Wrist Rotation_left,Total Die Translation,Total Die Rotation,Total Die Local Translation,Total Die Local Rotation,Total Die Local Translation_left,Total Die Local Rotation_left,Total Head Translation,Total Head Rotation,Total Grabbed Time,Total Grabbed Time_left
1,1,135,0.6879925,0.5426716,-0.4818443,1,16.40326,False,-0.002254862,-0.0007740259,-0.005518675,0.006011596,-0.002987006,0.02787704,0.0273817,0.9992319,4.491881,-0.0762206,0.7113495,0.6987096,0.3661459,0.3733158,0.4003558,0,0,0,0.5603246,459.5632,0,0,0.4689053,800.4119,0.2777616,544.3815,0,0,0.05297671,17.14762,5.94502,0
1,2,135,0.4223054,-0.9057521,-0.03565657,1,9.252327,False,0.001691189,-0.0002062321,0.0008343458,0.001897046,-0.001113126,-0.06529637,-0.02217957,0.9976189,7.909461,-0.01613967,-0.9467587,-0.3215906,0.2811534,0.2380728,0.2301622,0,0,0,0.3648636,314.493,0,0,0.2937693,494.5499,0.2492082,426.5931,0,0,0.06827278,21.83163,7.430444,0
1,3,135,-0.9953267,-0.03933405,-0.08819091,1,30.01118,True,0.002836112,-0.009345651,0.01171401,0.01525132,-0.3031209,0.5068464,0.2807764,0.756564,81.67556,-0.4635446,0.7750897,0.4293744,0.5806543,0.5202879,0.5741367,0,0,0,0.8727146,502.0413,0,0,0.747713,1224.762,0.652365,1080.696,0,0,0.1116142,45.87437,10.20749,0
1,4,135,-0.5045977,-0.8228891,-0.2612177,1,30.0028,True,0.003451839,0.001958132,-0.008129835,0.00904675,0.1308201,-0.1755111,0.02585687,-0.9754043,334.5322,0.5934932,-0.7962437,0.1173052,0.5291145,0.5179052,0.5406689,0,0,0,0.8438476,615.4009,0,0,0.7266858,1205.067,0.5690446,1004.543,0,0,0.1129398,34.76841,8.488735,0
1,5,135,-0.2518759,0.5681328,-0.7834435,1,19.55015,False,-0.004264239,0.004744947,-0.00976631,0.01166529,-0.04371246,0.01179883,0.04089503,0.9981371,6.995647,-0.7164717,0.1933893,0.6702923,0.3151609,0.2732603,0.3742339,0,0,0,0.5475981,345.9571,0,0,0.4781549,790.3052,0.3406412,681.0188,0,0,0.1158407,39.72462,11.22799,0
1,6,135,0.8404638,0.5390987,-0.05470932,1,13.24915,False,0.001114421,-0.001645446,0.005699515,0.00603605,0.05024169,-0.05507859,-0.002402728,0.9972144,8.55519,0.6735817,-0.7384291,-0.03221296,0.3073077,0.2273814,0.2694474,0,0,0,0.5156571,380.0285,0,0,0.3430508,670.4936,0.3067629,526.9418,0,0,0.06989828,25.20175,7.739772,0
1,7,135,0.5057837,0.8390207,0.2005669,1,27.72063,False,0.005618788,0.001838028,-0.001013964,0.005998104,-0.05790465,-0.04407888,-0.04406469,-0.9963747,350.2396,-0.6806456,-0.5181294,-0.5179626,0.4599277,0.3832956,0.5024619,0,0,0,0.664829,578.5787,0,0,0.6364063,1049.672,0.4226148,872.9504,0,0,0.1257048,41.3502,18.5209,0
1,8,135,0.6548305,-0.741795,-0.1446973,1,20.6027,False,0.001782652,2.789497E-05,-0.001469821,0.002310627,0.04636075,-0.02991186,0.01649579,0.9983405,6.602527,0.8050678,-0.5194281,0.2864542,0.4484431,0.4697268,0.4043893,0,0,0,0.8339472,465.2401,0,0,0.6769549,1003.201,0.3795843,793.7195,0,0,0.1103676,40.74371,9.672174,0
1,9,135,-0.9518282,-0.2471593,-0.1814815,1,12.48517,False,-0.001937155,0.002255201,-0.008926898,0.009408933,-0.002238377,0.003010188,0.00141194,0.9999919,0.4597004,-0.5579706,0.7503635,0.3519608,0.2962404,0.2308034,0.2858579,0,0,0,0.4246046,342.3695,0,0,0.3431731,538.413,0.2346574,412.6812,0,0,0.0650936,21.2912,5.836262,0
1,10,135,0.1662474,-0.6010926,-0.7816966,1,28.94534,False,-0.001491666,0.002389669,0.001838803,0.003364043,0.01509504,0.05678168,-0.03506743,0.9976564,7.846821,0.2206136,0.8298625,-0.5125094,0.5782081,0.6335843,0.6659175,0,0,0,1.018761,708.6467,0,0,0.8139185,1344.242,0.6394778,1155.585,0,0,0.1714914,55.09523,18.061,0
