Block Num	Trial Num	Current Angle	Current Axis X	Current Axis Y	Current Axis Z	Current Axis Magnitude	Task Completion Time	Is Timeout	Target Offset Position X	Target Offset Position Y	Target Offset Position Z	Target Offset Position Magnitude	Target Offset Rotation X	Target Offset Rotation Y	Target Offset Rotation Z	Target Offset Rotation W	Target Offset Rotation Angle	Target Offset Rotation Axis X	Target Offset Rotation Axis Y	Target Offset Rotation Axis Z	Total Thumb Tip Translation	Total Index Tip Translation	Total Middle Tip Translation	Total Thumb Tip Translation_left	Total Index Tip Translation_left	Total Middle Tip Translation_left	Total Wrist Translation	Total Wrist Rotation	Total Wrist Translation_left	Total Wrist Rotation_left	Total Die Translation	Total Die Rotation	Total Die Local Translation	Total Die Local Rotation	Total Die Local Translation_left	Total Die Local Rotation_left	Total Head Translation	Total Head Rotation	Total Grabbed Time	Total Grabbed Time_left
2	1	135	0.23685	-0.8266029	-0.510519	0.9999999	15.20675	FALSE	-0.000866123	-0.002084613	0.00093317	0.00244266	-0.04407427	-0.04027805	-0.05024137	0.9969509	8.950981	-0.5648184	-0.5161694	-0.6438507	0.2703816	0.2440896	0.3291734	0	0	0	0.5829679	321.7187	0	0	0.3835581	611.9813	0.2997719	511.5942	0	0	0.06838852	24.19295	6.947581	0
2	2	135	-0.2642474	0.6292963	-0.7308621	1	12.0699	FALSE	0.001620315	0.006150723	-0.002337605	0.006776519	-0.008679696	0.02961066	0.01365711	0.9994306	3.867214	-0.2572388	0.8775665	0.4047536	0.362563	0.3107211	0.328263	0	0	0	0.6538218	293.5159	0	0	0.4430755	676.114	0.340151	590.7507	0	0	0.07997283	27.09008	6.233449	0
2	3	135	0.8595765	0.3521661	-0.3702799	1	28.23346	FALSE	0.002473038	0.007058442	4.15E-05	0.007479254	0.01888875	-0.0435164	-0.03764918	-0.9981644	353.0557	0.3118854	-0.7185298	-0.621652	0.4040552	0.4118216	0.4563697	0	0	0	0.8411531	395.2606	0	0	0.6355413	1120.156	0.503485	991.4334	0	0	0.125201	39.13786	15.91914	0
2	4	135	-0.8772712	0.3993433	0.2663085	1	8.086594	FALSE	0.007805832	0.002861917	0.002017051	0.00855512	-0.05136175	-0.0110219	0.009288543	0.9985762	6.115742	-0.9628297	-0.206617	0.1741234	0.138661	0.1137675	0.1372252	0	0	0	0.2241252	198.9221	0	0	0.201697	347.4311	0.1201811	247.3423	0	0	0.03629483	11.09683	3.667001	0
2	5	135	0.7974691	-0.5914413	0.119332	1	11.58707	FALSE	-0.002022102	-0.003309131	0.003546834	0.005255404	-0.01392428	0.07249334	-0.03112252	0.9967861	9.189907	-0.1738118	0.9049083	-0.3884913	0.3447633	0.2567959	0.3196299	0	0	0	0.4933846	352.8771	0	0	0.3863785	694.234	0.2894078	560.2054	0	0	0.1048824	35.05727	6.945998	0
2	6	135	-0.3789082	-0.8927888	-0.2436324	1	11.57263	FALSE	-4.82E-05	-0.000893831	0.000796974	0.00119851	-0.02748346	0.0756655	0.01730739	0.9966043	9.446376	-0.3337719	0.9189171	0.2101891	0.26088	0.2593913	0.2716347	0	0	0	0.3893958	259.6905	0	0	0.3471309	522.016	0.2565226	457.5928	0	0	0.07099137	25.77986	6.987671	0
2	7	135	0.2104862	-0.9720693	-0.1038121	1	25.68352	FALSE	0.001759499	-0.001692891	0.006590605	0.007028356	-0.06274765	0.01368341	0.05593732	0.9963667	9.771272	-0.7367576	0.1606651	0.6567934	0.4785095	0.6036822	0.6256557	0	0	0	0.8032342	559.2151	0	0	0.7384008	1196.453	0.4442188	952.8831	0	0	0.1514405	49.61614	14.02539	0
2	8	135	0.9225082	0.03453084	-0.3844298	1	21.36334	FALSE	0.00183855	-0.002777576	0.001788884	0.003780913	0.04835005	-0.03848774	-0.02906514	0.9976655	7.831633	0.7080014	-0.5635852	-0.4256079	0.3184717	0.3530644	0.384038	0	0	0	0.6060895	342.4984	0	0	0.5858948	789.1703	0.3797998	678.0906	0	0	0.1128204	36.59521	11.29093	0
2	9	135	-0.3197927	-0.8970104	-0.3051311	1	9.58689	FALSE	-0.001478743	0.000164509	-0.00022465	0.00150473	0.009415686	0.06991082	-0.0404727	0.9966875	9.329694	0.1157756	0.8596258	-0.4976537	0.1042227	0.1175863	0.1255083	0	0	0	0.1945646	128.5783	0	0	0.2005502	268.2519	0.09743609	211.0814	0	0	0.04291399	17.9871	3.220633	0
2	10	135	-0.2671336	-0.6945349	-0.6680276	1	18.00259	FALSE	0.003669031	-0.005882382	0.016718	0.0180985	0.0130324	-0.02617478	0.04730381	0.9984526	6.375895	0.234347	-0.4706714	0.8506109	0.4188742	0.3928695	0.4885447	0	0	0	0.6046442	374.388	0	0	0.4714643	907.593	0.3838688	752.9277	0	0	0.06732761	21.87531	8.307796	0
