Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773034512317,0,1,1,135,0.8216777,-0.536501,-0.1923863,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.7591313,-0.4956623,-0.1777417,0.3826834,135,0.8216777,-0.536501,-0.1923863
Trial Start,1773034518141,0,1,1,135,0.8216777,-0.536501,-0.1923863,1,-1,-0.04932112,0.9994243,0.3025942,1.045392,0.01656274,-0.004912583,-0.01029139,0.9997978,2.304321,0.8237232,-0.24432,-0.5118271,0.09932113,0.0005756617,-0.002594203,0.09935667,0.7484116,-0.4985507,-0.1782477,0.3994435,132.9132,0.8163679,-0.5438194,-0.1944327
On Target,1773034520877,2.741559,1,1,135,0.8216777,-0.536501,-0.1923863,1,-1,0.05279565,1.004368,0.2948402,1.048081,0.7550418,-0.439897,-0.1902608,0.447441,126.8408,0.8442698,-0.4918824,-0.2127451,-0.002795648,-0.004368424,0.005159825,0.007315912,0.0346074,-0.06366878,-0.04702545,0.9962618,9.911574,0.4006082,-0.7370167,-0.544357
Trial End,1773034521864,3.727688,1,2,135,0.8216777,-0.536501,-0.1923863,1,-1,0.04595391,1.001748,0.2907659,1.044106,0.7632959,-0.4667533,-0.1826388,0.407632,131.8877,0.8358966,-0.5111485,-0.2000104,0.004046086,-0.001748323,0.00923413,0.01023214,0.00977988,-0.02640628,-0.02657032,0.9992503,4.437523,0.2526099,-0.6820623,-0.6862993
Trial Load,1773034521865,3.727688,1,2,135,0.9474441,-0.1049321,0.3022232,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.8753244,-0.09694458,0.2792178,0.3826834,135,0.9474443,-0.1049321,0.3022232
Trial Start,1773034522904,0,1,2,135,0.9474441,-0.1049321,0.3022232,1,-1,-0.04975628,0.9996959,0.3011941,1.045268,0.03259125,-0.03142454,-0.0124251,0.9988974,5.381728,0.6942073,-0.6693561,-0.2646599,0.09975629,0.0003041029,-0.00119409,0.09976389,0.8519083,-0.1047881,0.3080119,0.4103665,131.5443,0.934191,-0.1149092,0.3377617
On Target,1773034526584,3.69349,1,2,135,0.9474441,-0.1049321,0.3022232,1,-1,0.04857994,1.001912,0.293932,1.045267,0.8833996,-0.08004288,0.3343837,0.3184116,142.8662,0.9319027,-0.08443764,0.352743,0.001420062,-0.001912236,0.006067991,0.006518723,-0.04928165,0.04579607,-0.05463421,0.9962376,9.943544,-0.5686468,0.5284277,-0.6304085
Trial End,1773034527570,4.679664,1,3,135,0.9474441,-0.1049321,0.3022232,1,-1,0.04990767,1.002521,0.2980704,1.047084,0.8760185,-0.07136322,0.3007553,0.3701961,136.5446,0.9430165,-0.07682108,0.3237571,9.233132E-05,-0.00252068,0.001929581,0.003175789,-0.001965357,0.0100795,-0.03418801,0.9993628,4.09129,-0.05505895,0.2823746,-0.9577679
Trial Load,1773034527571,4.679664,1,3,135,0.1406549,0.9843898,-0.1057967,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.1299482,0.9094576,-0.09774338,0.3826834,135,0.1406549,0.9843898,-0.1057967
Trial Start,1773034528542,0,1,3,135,0.1406549,0.9843898,-0.1057967,1,-1,-0.05027325,1.000031,0.2993581,1.045086,0.0133181,-0.01631091,-0.004965633,0.999766,2.479084,0.6156584,-0.7540075,-0.2295472,0.1002733,-3.099442E-05,0.000641942,0.1002753,0.1309315,0.9161431,-0.08158842,0.3699757,136.5718,0.1409318,0.9861166,-0.08782002
