Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773034536458,0.0137703,0.02993021,0.8987198,0.275125,0.9403653,0.6044525,0.3515882,0.284195,-0.6559392,261.9818,0.8007969,0.4657947,0.3765101,-0.06220653,0.9842275,0.2894052,1.027779,-0.05069467,1.024134,0.2948089,1.066927,-0.03963482,1.020757,0.3125327,1.068266,-0.04224576,-0.07981309,0.105346,0.1387538,-0.0277258,-0.06853881,0.1474453,0.1649436,-0.005102622,-0.07078953,0.1427683,0.1594364,0,0,0,0,0,0,0,0,0,1,0,0,-0.05569603,0.6992223,0.1475342,0.7167847,0.01015656,-0.4956288,-0.2199109,-0.8401715,294.3165,0.01872795,-0.9139034,-0.4054996,0.06424769,0.6881887,0.1326659,0.7037981,0.01908619,0.6968445,0.1580316,0.714794,0.009844705,0.6912481,0.1658324,0.7109299,0.06350131,-0.06414149,0.0978359,0.1331105,0.02321326,-0.03117618,0.07318351,0.08286516,0.009667395,-0.03115264,0.06769517,0.07514374,0,0,0,0,0,0,0,0,0,1,0,0,-0.04897476,1.001831,0.3001624,1.046977,0.008502569,-0.01375456,-0.01297496,0.9997851,2.375901,0.4101213,-0.6634511,-0.6258472,0.09897476,-0.001830578,-0.0001623631,0.09899183,0.7981682,0.1730905,0.432878,0.3815546,135.14,0.8634948,0.1872572,0.4683072,-0.03570331,1.070254,0.02117577,1.071058,0.02136313,-0.04719289,-0.00395507,-0.9986495,354.0439,0.4111949,-0.9083629,-0.07612669,False
1773034536472,0.0277695,0.02900167,0.8989111,0.2757755,0.9407095,0.6002041,0.3503713,0.3013039,-0.6528484,261.5134,0.7923606,0.4625433,0.3977669,-0.06122706,0.9865095,0.2895332,1.029941,-0.04999463,1.023441,0.2966724,1.066745,-0.03948762,1.018114,0.3140132,1.066171,-0.04172453,-0.07978403,0.1055716,0.1387508,-0.02715147,-0.07027181,0.1449538,0.1633614,-0.005128245,-0.0723529,0.1386844,0.1565076,0,0,0,0,0,0,0,0,0,1,0,0,-0.05574349,0.6993785,0.1474045,0.716914,0.010222,-0.4956622,-0.219787,-0.8401834,294.319,0.01884927,-0.9139962,-0.4052851,0.06420276,0.6883346,0.1325417,0.7039133,0.01903892,0.696978,0.1578874,0.7148911,0.009782404,0.6914205,0.1656983,0.7110654,0.06350382,-0.0641311,0.0978452,0.1331135,0.02322089,-0.03119336,0.07317239,0.08286395,0.00967459,-0.03112681,0.06768503,0.07512482,0,0,0,0,0,0,0,0,0,1,0,0,-0.04813674,1.00343,0.3004771,1.048559,0.01577681,-0.02558901,-0.02431245,0.9992523,4.43152,0.4080601,-0.6618481,-0.6288305,0.09813674,-0.00342989,-0.0004771352,0.09819782,0.7921014,0.1653747,0.4478442,0.3803447,135.2899,0.8564696,0.1788135,0.4842372,-0.03583487,1.070303,0.02124422,1.071113,0.02145922,-0.04676111,-0.004202068,-0.9986668,354.0821,0.4157104,-0.9058617,-0.08140294,False
1773034536485,0.041575,0.02840076,0.8986246,0.2757609,0.9404131,0.5652255,0.3617659,0.3535478,-0.6516514,261.3325,0.7451703,0.4769374,0.466103,-0.06026953,0.9881057,0.2873505,1.030803,-0.04956597,1.022091,0.2991835,1.066132,-0.04053071,1.016193,0.3160152,1.064968,-0.0414965,-0.07979786,0.1056487,0.1387491,-0.02639007,-0.07168902,0.1430874,0.1622028,-0.005134075,-0.07266545,0.1377888,0.1558601,0,0,0,0,0,0,0,0,0,1,0,0,-0.05575556,0.6995886,0.1473772,0.7171143,0.01037191,-0.4956281,-0.2197113,-0.8402215,294.327,0.01912778,-0.9140326,-0.4051896,0.06419829,0.6885378,0.1325635,0.7041157,0.01902574,0.6971884,0.1578622,0.7150903,0.009752467,0.6916684,0.1656828,0.7113024,0.06348088,-0.06413038,0.09786373,0.1331159,0.02322973,-0.03119937,0.073166,0.08286305,0.009681551,-0.03108943,0.06767891,0.07510473,0,0,0,0,0,0,0,0,0,1,0,0,-0.04797802,1.003673,0.3005762,1.048813,0.05352194,-0.0745974,-0.03978628,0.9949813,11.48538,0.534893,-0.745519,-0.3976201,0.09797803,-0.003673077,-0.0005761981,0.09804855,0.7566755,0.1552184,0.4983046,0.3937538,133.6235,0.823175,0.1688596,0.5420974,-0.03596387,1.070324,0.02129386,1.07114,0.02178037,-0.04664209,-0.004402102,-0.9986645,354.0771,0.4215737,-0.9027889,-0.08520564,False
1773034536500,0.0556356,0.02780316,0.8983644,0.2757871,0.9401544,0.540727,0.3680356,0.3888118,-0.6488371,260.908,0.7106158,0.4836672,0.510971,-0.05942288,0.9894039,0.286134,1.031661,-0.04949348,1.020746,0.3009757,1.065344,-0.04154735,1.013985,0.3172453,1.063267,-0.04127268,-0.07979076,0.1057419,0.1387492,-0.02566851,-0.07284467,0.1414279,0.161143,-0.005133977,-0.07322976,0.1361809,0.1547068,0,0,0,0,0,0,0,0,0,1,0,0,-0.05576785,0.6998078,0.1473472,0.7173229,0.0105291,-0.4955811,-0.2196503,-0.8402632,294.3358,0.01941999,-0.914055,-0.4051253,0.06419425,0.6887512,0.1325914,0.7043292,0.019012,0.6974106,0.1578362,0.7153008,0.009721689,0.6919291,0.1656672,0.7115518,0.06345189,-0.06413108,0.09788452,0.1331177,0.02323885,-0.03120476,0.07315961,0.082862,0.009688348,-0.03104986,0.06767344,0.0750843,0,0,0,0,0,0,0,0,0,1,0,0,-0.04781506,1.003932,0.3007281,1.049096,0.07873859,-0.1076829,-0.05131408,0.989733,16.43467,0.5508952,-0.7534046,-0.3590194,0.09781506,-0.003932118,-0.0007281005,0.09789677,0.731154,0.1471715,0.5317537,0.4012387,132.6887,0.7982262,0.1606722,0.580534,-0.03608426,1.070359,0.02135825,1.07118,0.02196501,-0.04637335,-0.004621797,-0.9986719,354.0936,0.4263392,-0.9001033,-0.08970874,False
1773034536514,0.0696025,0.02736358,0.8984979,0.2754087,0.9401581,0.4934346,0.3817808,0.4446925,-0.642662,259.9812,0.6440446,0.4983109,0.580425,-0.05796652,0.9916441,0.2829565,1.032852,-0.05010678,1.019343,0.3025429,1.064473,-0.04413755,1.01163,0.3181749,1.061404,-0.04149824,-0.07918524,0.1061693,0.138796,-0.02474941,-0.07376939,0.1400644,0.1602264,-0.005114898,-0.07360722,0.1352847,0.1540978,0,0,0,0,0,0,0,0,0,1,0,0,-0.05572316,0.6999382,0.147267,0.7174302,0.01061609,-0.4956077,-0.2195877,-0.8402628,294.3358,0.01958039,-0.9141029,-0.4050093,0.06424423,0.6888534,0.1325496,0.7044259,0.01905668,0.6975348,0.1577434,0.7154027,0.009755008,0.6920872,0.1655853,0.711687,0.0634119,-0.06414786,0.09790412,0.1331211,0.02324776,-0.03121459,0.07315064,0.08286028,0.009695881,-0.03102116,0.06766784,0.07506836,0,0,0,0,0,0,0,0,0,1,0,0,-0.04831624,1.004036,0.3002889,1.049093,0.1222294,-0.1654671,-0.0647252,0.9764688,24.90835,0.5667722,-0.7672638,-0.300128,0.09831624,-0.004035711,-0.0002889335,0.09839945,0.6822698,0.1380119,0.5857979,0.4150922,130.9498,0.7499288,0.1516982,0.6438901,-0.03614549,1.070399,0.02144146,1.071224,0.02219863,-0.04613921,-0.004978009,-0.9986759,354.1025,0.4315186,-0.8968989,-0.09676739,False
1773034536528,0.0833388,0.0268352,0.89866,0.2750013,0.9401785,0.4655645,0.3881713,0.4759316,-0.6372298,259.1711,0.6041006,0.5036778,0.6175526,-0.05690862,0.9933865,0.2810781,1.033954,-0.05094196,1.018004,0.3032933,1.063445,-0.04604854,1.009705,0.3181615,1.059647,-0.04177597,-0.07861144,0.1065352,0.1388335,-0.02393558,-0.07466714,0.138655,0.15929,-0.005092118,-0.07415537,0.1339376,0.1531804,0,0,0,0,0,0,0,0,0,1,0,0,-0.05567476,0.7000701,0.1471812,0.7175376,0.01069932,-0.4956342,-0.2195366,-0.8402594,294.3351,0.01973373,-0.9141433,-0.4049113,0.06429803,0.6889548,0.1325064,0.7045218,0.01910504,0.6976613,0.1576442,0.7155054,0.009792529,0.6922478,0.1654974,0.7118232,0.06336545,-0.06416806,0.09792539,0.1331244,0.02325678,-0.03122467,0.07314134,0.0828584,0.00970342,-0.0309923,0.06766269,0.07505278,0,0,0,0,0,0,0,0,0,1,0,0,-0.04869871,1.004303,0.2998768,1.049249,0.1466218,-0.1979951,-0.0730288,0.9664196,29.78061,0.5705811,-0.7705011,-0.2841927,0.09869871,-0.004303455,0.0001232028,0.09879256,0.6528445,0.1318162,0.6154202,0.421517,130.1392,0.7199269,0.1453609,0.6786571,-0.03619954,1.070434,0.02152952,1.071262,0.02229117,-0.04606427,-0.005083054,-0.9986768,354.1045,0.433464,-0.8957448,-0.09884277,False
1773034536542,0.09720311,0.02622751,0.8988482,0.2745769,0.9402172,0.446521,0.3917534,0.4968134,-0.6327122,258.501,0.5766123,0.5058885,0.641557,-0.05616477,0.9948413,0.2797323,1.034946,-0.0519022,1.016705,0.3036241,1.062342,-0.04768185,1.007758,0.3176733,1.057717,-0.04206442,-0.07809295,0.1068402,0.1388624,-0.02320181,-0.07554444,0.1371923,0.1583256,-0.005067443,-0.07477935,0.1321219,0.1519007,0,0,0,0,0,0,0,0,0,1,0,0,-0.05562292,0.7002034,0.14709,0.7176449,0.01077891,-0.4956604,-0.2194966,-0.8402535,294.3338,0.01988018,-0.9141758,-0.4048305,0.06435554,0.6890554,0.132462,0.704617,0.01915686,0.6977901,0.1575392,0.7156093,0.009834044,0.6924107,0.1654042,0.7119606,0.06331293,-0.06419166,0.0979483,0.1331276,0.02326598,-0.03123487,0.07313182,0.08285642,0.009710907,-0.03096331,0.06765808,0.07503762,0,0,0,0,0,0,0,0,0,1,0,0,-0.04908999,1.004639,0.2994842,1.049476,0.1628418,-0.2197055,-0.0790876,0.9586226,33.07946,0.5720168,-0.7717627,-0.2778122,0.09909,-0.004638553,0.0005157888,0.09919985,0.6324447,0.127092,0.6349253,0.4251249,129.6829,0.69873,0.1404123,0.7014706,-0.03626726,1.070467,0.02161589,1.071299,0.02245272,-0.04592159,-0.00495959,-0.9986804,354.1125,0.437197,-0.8941805,-0.09657262,False
1773034536554,0.1110775,0.02570779,0.8994547,0.2729672,0.9403142,0.3941926,0.4105842,0.554079,-0.6074778,254.8147,0.4962538,0.5168893,0.6975368,-0.05217131,0.999368,0.2730414,1.037309,-0.0517207,1.018204,0.2992911,1.06254,-0.05010214,1.008083,0.3125942,1.056625,-0.04239259,-0.07690945,0.1076676,0.1389406,-0.02265049,-0.0755519,0.1370673,0.158141,-0.005032121,-0.07496645,0.1317266,0.1516483,0,0,0,0,0,0,0,0,0,1,0,0,-0.05562612,0.7002178,0.1470816,0.7176575,0.01122634,-0.4956331,-0.2191943,-0.8403426,294.3526,0.02071068,-0.9143584,-0.4043761,0.06436074,0.6890166,0.1325327,0.7045928,0.01915122,0.6978014,0.1575459,0.7156216,0.009814441,0.692454,0.1654201,0.7120062,0.06328013,-0.0642132,0.0979609,0.1331317,0.02327569,-0.03124437,0.07312441,0.08285619,0.009718568,-0.03094419,0.06765056,0.07502395,0,0,0,0,0,0,0,0,0,1,0,0,-0.04877052,1.00661,0.2943079,1.049885,0.1971849,-0.2897402,-0.09357455,0.9318866,42.53834,0.5435836,-0.7987328,-0.2579589,0.09877052,-0.006610036,0.005692154,0.09915498,0.5713241,0.1231046,0.6919829,0.423785,129.8524,0.6307657,0.1359126,0.763978,-0.03634953,1.070467,0.02169369,1.071304,0.02266107,-0.04589937,-0.004808994,-0.9986774,354.1058,0.4407561,-0.8927396,-0.0935346,False
1773034536569,0.1249537,0.02511864,0.9001171,0.2712723,0.9404416,0.3637745,0.4191002,0.5843579,-0.5920718,252.6084,0.4513974,0.5200496,0.725113,-0.04960652,1.002453,0.2692675,1.039172,-0.05176092,1.019218,0.2965364,1.062741,-0.05164899,1.008281,0.308916,1.055806,-0.04266255,-0.07595143,0.1083105,0.1389959,-0.02214013,-0.07557771,0.136891,0.1579282,-0.004990719,-0.07528201,0.1310542,0.15122,0,0,0,0,0,0,0,0,0,1,0,0,-0.0556297,0.7002262,0.1470737,0.7176644,0.01227459,-0.4955598,-0.2184976,-0.8405526,294.3971,0.02265814,-0.9147728,-0.4033331,0.06437087,0.6889349,0.132677,0.7045411,0.01914017,0.6978123,0.1575915,0.715642,0.009785362,0.6925079,0.1654776,0.7120715,0.06324501,-0.06423713,0.09797344,0.1331358,0.02328556,-0.03125389,0.07311714,0.08285614,0.009726182,-0.03092625,0.06764311,0.07501081,0,0,0,0,0,0,0,0,0,1,0,0,-0.04862768,1.008091,0.2909675,1.050368,0.2162798,-0.3272758,-0.1016878,0.9142063,47.81347,0.5336961,-0.8075917,-0.2509267,0.09862769,-0.008090615,0.009032488,0.09937034,0.5356687,0.1197913,0.7214301,0.4221939,130.0536,0.5909162,0.1321463,0.7958364,-0.03643195,1.07048,0.02178072,1.071321,0.02258465,-0.04588279,-0.005137865,-0.9986783,354.1078,0.4394186,-0.8927189,-0.09996492,False
1773034536582,0.1389569,0.02563202,0.9004053,0.2700312,0.9403742,0.3178293,0.4218219,0.6270602,-0.5725788,249.8605,0.3876677,0.5145113,0.7648477,-0.0449893,1.005648,0.2681692,1.041762,-0.04974701,1.019915,0.2961571,1.063207,-0.0523261,1.0078,0.3071714,1.054871,-0.04271724,-0.07539151,0.1087144,0.1390233,-0.02195163,-0.07529037,0.1366989,0.1575979,-0.004919838,-0.07623983,0.130413,0.1511432,0,0,0,0,0,0,0,0,0,1,0,0,-0.05557413,0.7002332,0.1471377,0.71768,0.01319806,-0.495737,-0.2176664,-0.8406498,294.4176,0.02436957,-0.9153544,-0.4019106,0.06443116,0.6888261,0.1328241,0.704468,0.01919532,0.6977991,0.157666,0.715647,0.00982438,0.6925457,0.1655706,0.7121304,0.06321551,-0.06425115,0.09799176,0.133142,0.02329563,-0.03126416,0.07311166,0.082858,0.009734255,-0.03090361,0.06763835,0.07499824,0,0,0,0,0,0,0,0,0,1,0,0,-0.04661737,1.009334,0.2900106,1.051207,0.2490339,-0.3741064,-0.1171235,0.885612,55.34614,0.5362187,-0.8055245,-0.2521898,0.09661737,-0.009334445,0.009989411,0.0975799,0.4834715,0.1064826,0.7591118,0.4226891,129.991,0.5334712,0.1174948,0.8376177,-0.03652768,1.07048,0.02189718,1.071326,0.02249489,-0.0457816,-0.005553319,-0.9986827,354.1176,0.4384048,-0.8922412,-0.1082291,False
