Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773036230372,0,1,1,135,-0.7724041,-0.5119016,-0.3759638,1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,0,0,0.1,-0.7136083,-0.4729355,-0.3473453,0.3826834,135,-0.7724041,-0.5119017,-0.3759638
Trial Start,1773036232036,0,1,1,135,-0.7724041,-0.5119016,-0.3759638,1,-0.05167933,0.9786729,0.3055068,1.02655,-0.2865996,0.04534653,0.1928173,0.9373505,40.77748,-0.822645,0.130161,0.5534557,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1016793,0.02132708,-0.005506814,0.1040378,-0.4837849,-0.6978047,-0.2314694,0.4748082,123.3063,-0.5496998,-0.7928793,-0.2630067
Grab,1773036234042,2.015216,1,1,135,-0.7724041,-0.5119016,-0.3759638,1,-0.05750806,0.9543368,0.3115836,1.00556,-0.4679487,0.2982514,0.1096918,0.8246441,68.89514,-0.8272734,0.5272702,0.1939211,0.1132686,-0.05124191,0.007517048,0.1245472,0.427535,0.8022659,0.3150021,0.2726847,148.3518,0.4443753,0.8338666,0.3274098,-0.2238475,-0.2079249,-0.004222118,0.3055459,-0.6833737,-0.3861172,0.6028005,-0.1433365,196.4819,-0.6905038,-0.3901458,0.60909,0.1075081,0.04566324,-0.0115836,0.1173767,-0.4611157,-0.7449561,0.1057307,0.4703552,123.8853,-0.5225242,-0.8441646,0.1198113
Release,1773036235557,3.529402,1,1,135,-0.7724041,-0.5119016,-0.3759638,1,0.009476241,1.002413,0.239639,1.030703,0.5027295,-0.3317613,-0.5188871,0.6065919,105.313,0.6323535,-0.4173028,-0.6526772,0.0933606,-0.06860242,0.01820849,0.1172776,0.217853,0.8963525,-0.329094,0.2019642,156.6963,0.2224368,0.9152123,-0.3360184,-0.2028369,-0.2338817,-0.1250538,0.333889,0.1694315,0.1191919,0.6503912,0.7308062,86.09196,0.2482203,0.1746184,0.9528354,0.04052376,-0.002412915,0.06036104,0.07274237,-0.7554197,0.3849835,-0.4866336,0.2105154,155.6949,-0.7727362,0.3938085,-0.4977887
Grab,1773036236378,4.349847,1,1,135,-0.7724041,-0.5119016,-0.3759638,1,0.019975,0.9809485,0.2309869,1.007975,0.5866203,-0.3286341,-0.6384389,0.3745292,136.0096,0.632669,-0.3544313,-0.6885554,0.09899233,-0.05095123,0.004969283,0.111446,-0.3726478,0.5400833,-0.5912456,0.4689054,124.0735,-0.421906,0.6114739,-0.669399,-0.1933108,-0.2152797,-0.1270258,0.3159904,0.2376228,0.1781663,0.4623695,0.8354679,66.67082,0.4324037,0.3242103,0.8413767,0.030025,0.01905149,0.06901312,0.0776355,-0.6795479,0.6079898,-0.3977205,0.1018905,168.3039,-0.683103,0.6111705,-0.3998011
Release,1773036236586,4.558761,1,1,135,-0.7724041,-0.5119016,-0.3759638,1,0.02023985,0.9878477,0.2325163,1.015045,0.2409007,-0.5467864,-0.7778525,0.1947743,157.5369,0.2456044,-0.5574629,-0.7930407,0.08749288,-0.05177709,0.008269618,0.1020013,-0.5125261,0.3903317,-0.5691057,0.510957,118.5448,-0.5962335,0.4540819,-0.6620539,-0.1931336,-0.2180423,-0.1332465,0.3203087,0.5206982,-0.1875322,0.3455861,0.7578094,81.45706,0.7980346,-0.2874164,0.5296535,0.02976015,0.01215231,0.06748371,0.07474889,-0.4091316,0.7558882,-0.2741045,0.4314063,128.8863,-0.4535033,0.8378668,-0.303832
Grab,1773036238252,6.225438,1,1,135,-0.7724041,-0.5119016,-0.3759638,1,0.03357385,0.9966518,0.2393877,1.025548,-0.06217526,-0.7724996,-0.571014,0.27078,148.5786,-0.06458819,-0.8024791,-0.5931742,0.1079729,-0.05739664,0.02640361,0.1250986,-0.09669109,0.2272863,-0.03067937,0.9685302,28.82443,-0.3884791,0.9131761,-0.1232616,-0.218245,-0.2122545,-0.1476061,0.3383347,0.6400183,-0.449641,0.4601524,0.4200706,130.3219,0.705261,-0.4954768,0.5070598,0.01642615,0.003348172,0.06061235,0.06288788,-0.1711662,0.5534453,-0.3973938,0.7116733,89.25757,-0.2436492,0.7878104,-0.5656764
Release,1773036239836,7.808282,1,1,135,-0.7724041,-0.5119016,-0.3759638,1,0.0507716,1.008495,0.2777626,1.047279,-0.5875104,-0.4698659,-0.5026988,0.425854,129.5905,-0.6493321,-0.5193082,-0.5555961,0.1086131,-0.04812136,0.04427829,0.1267795,-0.03939305,0.4279836,0.06292608,0.9007323,51.49104,-0.09068907,0.9852862,0.1448658,-0.2625071,-0.2176557,-0.1399898,0.3686206,0.2206191,-0.8604972,0.4130288,0.2006957,156.8447,0.2252011,-0.878369,0.4216071,-0.000771597,-0.008495212,0.02223742,0.02381736,-0.1536009,0.1330695,-0.01298952,0.9790459,23.49985,-0.7542753,0.6534535,-0.06378654
Grab,1773036240960,8.934848,1,1,135,-0.7724041,-0.5119016,-0.3759638,1,0.04889771,1.010814,0.2902369,1.052793,-0.7396301,-0.461087,-0.4010079,0.2820263,147.2377,-0.7709244,-0.480596,-0.4179749,0.1102359,-0.06130738,0.02178363,0.1280042,-0.132033,0.2924291,0.1482196,0.9354591,41.39516,-0.3735704,0.8273905,0.4193683,-0.2716891,-0.2203016,-0.1298037,0.3730908,0.2213847,-0.9276537,0.2966288,0.04958661,174.3155,0.2216573,-0.9287963,0.2969941,0.001102291,-0.01081371,0.009763062,0.01461057,0.05229339,0.0723257,0.07626042,0.9930856,13.48343,0.4454527,0.6160946,0.6496118
Release,1773036242264,10.2385,1,1,135,-0.7724041,-0.5119016,-0.3759638,1,0.04481772,1.000279,0.2977493,1.044616,-0.7691351,-0.4906868,-0.2969464,0.2819232,147.25,-0.8016525,-0.5114321,-0.3095007,0.1039718,-0.06484812,0.02987653,0.126127,-0.2868877,0.2522781,0.1335924,0.9144421,47.74675,-0.7088605,0.6233449,0.3300887,-0.2733206,-0.2122891,-0.1204892,0.3664539,0.2276707,-0.9199171,0.3127713,-0.06397191,187.3357,0.2281381,-0.9218054,0.3134133,0.005182285,-0.0002791882,0.002250671,0.005656814,0.1231538,-0.0008057849,0.02930483,0.9919547,14.54568,0.9728215,-0.006365091,0.231486
