Timestamp,Trial Duration,Wrist World Position X,Wrist World Position Y,Wrist World Position Z,Wrist World Position Magnitude,Wrist World Rotation X,Wrist World Rotation Y,Wrist World Rotation Z,Wrist World Rotation W,Wrist World Rotation Angle,Wrist World Rotation Axis X,Wrist World Rotation Axis Y,Wrist World Rotation Axis Z,Wrist World Position_left X,Wrist World Position_left Y,Wrist World Position_left Z,Wrist World Position_left Magnitude,Wrist World Rotation_left X,Wrist World Rotation_left Y,Wrist World Rotation_left Z,Wrist World Rotation_left W,Wrist World Rotation_left Angle,Wrist World Rotation_left Axis X,Wrist World Rotation_left Axis Y,Wrist World Rotation_left Axis Z,Thumb Tip World Position X,Thumb Tip World Position Y,Thumb Tip World Position Z,Thumb Tip World Position Magnitude,Index Tip World Position X,Index Tip World Position Y,Index Tip World Position Z,Index Tip World Position Magnitude,Middle Tip World Position X,Middle Tip World Position Y,Middle Tip World Position Z,Middle Tip World Position Magnitude,Thumb Tip World Position_left X,Thumb Tip World Position_left Y,Thumb Tip World Position_left Z,Thumb Tip World Position_left Magnitude,Index Tip World Position_left X,Index Tip World Position_left Y,Index Tip World Position_left Z,Index Tip World Position_left Magnitude,Middle Tip World Position_left X,Middle Tip World Position_left Y,Middle Tip World Position_left Z,Middle Tip World Position_left Magnitude,Thumb Tip Local Position X,Thumb Tip Local Position Y,Thumb Tip Local Position Z,Thumb Tip Local Position Magnitude,Index Tip Local Position X,Index Tip Local Position Y,Index Tip Local Position Z,Index Tip Local Position Magnitude,Middle Tip Local Position X,Middle Tip Local Position Y,Middle Tip Local Position Z,Middle Tip Local Position Magnitude,Thumb Tip Local Position_left X,Thumb Tip Local Position_left Y,Thumb Tip Local Position_left Z,Thumb Tip Local Position_left Magnitude,Index Tip Local Position_left X,Index Tip Local Position_left Y,Index Tip Local Position_left Z,Index Tip Local Position_left Magnitude,Middle Tip Local Position_left X,Middle Tip Local Position_left Y,Middle Tip Local Position_left Z,Middle Tip Local Position_left Magnitude,Thumb Tip Euro Position X,Thumb Tip Euro Position Y,Thumb Tip Euro Position Z,Thumb Tip Euro Position Magnitude,Index Tip Euro Position X,Index Tip Euro Position Y,Index Tip Euro Position Z,Index Tip Euro Position Magnitude,Middle Tip Euro Position X,Middle Tip Euro Position Y,Middle Tip Euro Position Z,Middle Tip Euro Position Magnitude,Thumb Tip Euro Position_left X,Thumb Tip Euro Position_left Y,Thumb Tip Euro Position_left Z,Thumb Tip Euro Position_left Magnitude,Index Tip Euro Position_left X,Index Tip Euro Position_left Y,Index Tip Euro Position_left Z,Index Tip Euro Position_left Magnitude,Middle Tip Euro Position_left X,Middle Tip Euro Position_left Y,Middle Tip Euro Position_left Z,Middle Tip Euro Position_left Magnitude,Triangle Local Position X,Triangle Local Position Y,Triangle Local Position Z,Triangle Local Position Magnitude,Triangle Local Rotation X,Triangle Local Rotation Y,Triangle Local Rotation Z,Triangle Local Rotation W,Triangle Local Rotation Angle,Triangle Local Rotation Axis X,Triangle Local Rotation Axis Y,Triangle Local Rotation Axis Z,Triangle Local Position_left X,Triangle Local Position_left Y,Triangle Local Position_left Z,Triangle Local Position_left Magnitude,Triangle Local Rotation_left X,Triangle Local Rotation_left Y,Triangle Local Rotation_left Z,Triangle Local Rotation_left W,Triangle Local Rotation_left Angle,Triangle Local Rotation_left Axis X,Triangle Local Rotation_left Axis Y,Triangle Local Rotation_left Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is Grabbed,Is Grabbed_right,Is Grabbed_left,Is On Target
1773036499353,0.0141347,0.141254,0.9275338,0.2465791,0.9700891,-0.5037592,-0.7978008,-0.006086149,0.3312154,141.3149,-0.5338948,-0.8455264,-0.006450232,-0.1198602,0.7145538,0.146285,0.7391568,0.4223089,0.1173764,-0.8854568,0.1544154,162.2342,0.4274356,0.1188013,-0.8962059,0.03035812,0.9861719,0.2965932,1.030254,0.03727536,1.00767,0.3292599,1.060755,0.04016544,0.988219,0.3419204,1.04647,0.00447195,0.6993045,0.2015257,0.7277769,0.01065849,0.6929111,0.2499229,0.7366824,0.003512727,0.6940404,0.2773239,0.7474042,0.1039151,-0.07691725,0.03902745,0.1350472,0.1366843,-0.07132778,0.01730011,0.1551436,0.1271072,-0.08267242,-0.0007711798,0.1516297,-0.1147122,0.05614947,-0.04930429,0.1369035,-0.1552319,0.06061884,-0.02174309,0.1680606,-0.1726583,0.0547901,-0.00016772,0.1811433,0.103644,-0.07696547,0.03958659,0.1350291,0.1362397,-0.07142897,0.01725442,0.1547936,0.1264909,-0.08267792,-0.0006627124,0.1511159,-0.1146287,0.05637475,-0.04927028,0.1369139,-0.1549889,0.0608094,-0.021616,0.1678886,-0.1723806,0.05512192,-9.180563E-05,0.1809793,0.1158016,-0.07755991,0.0244383,0.1415019,-0.2314571,0.9370076,-0.1224728,0.2311814,153.2667,-0.2379017,0.9630973,-0.1258828,-0.1362638,0.05608436,-0.03107322,0.1505949,0.169719,-0.3835019,-0.3492931,0.8379237,66.15697,0.3109618,-0.7026581,-0.6399801,-0.0502255,0.9999143,0.2998589,1.045116,-0.002081486,-0.00317148,0.005256732,0.999979,0.7423005,-0.3213269,-0.4895935,0.8115017,0.1107413,-0.05688678,0.02998902,0.1280589,0.4684413,-0.6563263,-0.4960059,-0.3221442,217.5853,0.4948197,-0.6932848,-0.5239366,-0.2714554,-0.2113817,-0.1213166,0.3648123,0.4023776,0.8705664,-0.09491099,-0.2668299,210.9514,0.4175151,0.9033174,-0.09848157,0.1002255,8.565187E-05,0.0001410842,0.1002256,0.1384734,-0.1911351,-0.8950858,0.3783042,135.5427,0.1495907,-0.2064804,-0.9669479,-0.0262291,1.088277,0.04368049,1.089469,0.00129148,-0.06010938,-0.01140672,-0.9981258,352.9831,0.02110414,-0.9822502,-0.1863977,False,False,False,False
1773036499367,0.0310247,0.04106621,0.9073379,0.2455969,0.940886,-0.5917434,-0.7457287,-0.2864629,0.1080158,167.5981,-0.595226,-0.7501175,-0.2881489,-0.1203101,0.7068951,0.1487789,0.7323322,0.4158823,0.1156518,-0.8866931,0.1656556,160.9294,0.4217088,0.117272,-0.8991157,-0.04371422,1.004684,0.2090274,1.027129,-0.03082494,1.059053,0.3038016,1.102197,-0.05026043,1.03849,0.3323988,1.091548,0.004834928,0.6948988,0.2027266,0.7238825,0.01060311,0.6882735,0.2510086,0.7326924,0.003935853,0.6897106,0.2785418,0.7438425,0.08502883,-0.07782383,0.06866492,0.134169,0.1734854,-0.02990391,0.02412952,0.1776898,0.1762832,-0.04248475,-0.01397902,0.1818684,-0.1144714,0.05618817,-0.04954533,0.1368048,-0.1540777,0.0612722,-0.02101785,0.1671405,-0.1717278,0.05549928,0.0004236549,0.1804738,0.1021256,-0.07703548,0.04195841,0.1346277,0.1392777,-0.0680419,0.0178152,0.15603,0.1305523,-0.07939949,-0.001748882,0.1528111,-0.1146159,0.05635953,-0.04929272,0.1369049,-0.1549145,0.06084715,-0.02156721,0.1678274,-0.1723274,0.0551527,-4.976111E-05,0.1809379,0.1158901,-0.07612626,0.0264008,0.1411479,-0.2502069,0.9252642,-0.09697566,0.2681014,148.8974,-0.2597149,0.9604247,-0.1006608,-0.1362394,0.05608655,-0.03106612,0.1505721,0.1705776,-0.3826235,-0.3523085,0.836888,66.37415,0.3116287,-0.6990159,-0.6436335,-0.05039909,0.9998601,0.2996731,1.045019,-0.007099373,-0.002752899,0.009863917,0.9999224,1.427631,-0.5698485,-0.2209682,0.7917514,0.128341,-0.05742388,-0.008945663,0.1408863,0.5963348,0.7416636,0.2867002,0.1101044,167.3573,0.5999826,0.7462004,0.288454,-0.2171018,-0.2519371,-0.05469681,0.3370419,-0.4140142,-0.1158342,0.8886235,0.1597586,161.6142,-0.419401,-0.1173413,0.9001855,0.1003991,0.0001398921,0.0003269613,0.1003997,0.1408928,-0.1951534,-0.8958949,0.3734124,136.1476,0.1518788,-0.2103705,-0.9657521,-0.02667072,1.088202,0.04383206,1.089411,0.0008393349,-0.05750401,-0.01137963,-0.99828,353.2782,0.01431695,-0.980874,-0.1941079,False,False,False,False
1773036499380,0.0489974,0.04077911,0.907691,0.2453987,0.9411623,-0.5920333,-0.7456803,-0.28542,0.1095119,167.4256,-0.5956157,-0.7501924,-0.2871471,-0.1203794,0.7067182,0.1488268,0.7321825,0.4156331,0.1152369,-0.8867803,0.1661031,160.8774,0.4214883,0.1168603,-0.8992727,-0.04737714,1.001566,0.2091821,1.024274,-0.031638,1.059644,0.3025253,1.102438,-0.05074454,1.038805,0.3318947,1.091716,0.00480219,0.6948776,0.20272,0.72386,0.0105794,0.6882898,0.2510403,0.7327182,0.003850157,0.6896021,0.2785611,0.7437487,0.0831064,-0.08129413,0.06618419,0.133775,0.1732174,-0.03088213,0.02528945,0.177757,0.1760968,-0.04308872,-0.01350001,0.1817937,-0.1144603,0.05616865,-0.04958888,0.1368032,-0.1540821,0.0612695,-0.02102813,0.167145,-0.1716505,0.05561272,0.0005066134,0.1804354,0.1003009,-0.07744406,0.04428267,0.1342341,0.1425339,-0.06447674,0.01853229,0.1575329,0.1349219,-0.07591578,-0.002876302,0.1548399,-0.1146009,0.05634122,-0.04932113,0.1368951,-0.1548347,0.06088767,-0.02151549,0.1677617,-0.1722624,0.05519684,3.618252E-06,0.1808895,0.1157674,-0.07496532,0.02835524,0.1408045,-0.2661234,0.9121894,-0.07398989,0.3026788,144.7629,-0.2792209,0.9570836,-0.07763137,-0.1362087,0.05609161,-0.03105913,0.1505448,0.1711525,-0.3817406,-0.3550702,0.8360061,66.55851,0.3119121,-0.6956927,-0.6470879,-0.05043481,0.9998466,0.2996183,1.044992,-0.00870318,-0.002056731,0.01075377,0.9999022,1.602261,-0.6224449,-0.1470959,0.7691014,0.1278987,-0.05759852,-0.008867951,0.14055,0.599351,0.7374549,0.2901421,0.1129438,167.0299,0.6032107,0.742204,0.2920106,-0.2171886,-0.2518629,-0.05457281,0.3370223,-0.4154756,-0.117881,0.888676,0.1540751,162.2737,-0.4204967,-0.1193056,0.8994158,0.1004348,0.0001534224,0.0003817379,0.1004357,0.1410516,-0.1967306,-0.896004,0.3722615,136.2897,0.1519743,-0.2119649,-0.9653884,-0.02706501,1.088076,0.04388746,1.089297,0.0005289706,-0.05524466,-0.01127761,-0.998409,353.5352,0.009381165,-0.9797508,-0.2000057,False,False,False,False
1773036499394,0.0601507,0.0406597,0.9079063,0.2452278,0.9413202,-0.5923704,-0.7455305,-0.2844607,0.1111927,167.2319,-0.5960667,-0.7501825,-0.2862357,-0.1204123,0.7066255,0.1488476,0.7321027,0.415372,0.114754,-0.886871,0.166605,160.819,0.4212596,0.1163806,-0.899442,-0.04866219,1.000565,0.2093532,1.02339,-0.03197303,1.059855,0.3021957,1.102559,-0.05091503,1.038882,0.3317136,1.091743,0.004796691,0.6949204,0.2027102,0.7238984,0.01060105,0.6883888,0.2510561,0.7328169,0.0038602,0.6897437,0.2785673,0.7438824,0.08236888,-0.08240035,0.0653957,0.1336078,0.1731044,-0.03137062,0.02568978,0.1777898,0.1759285,-0.04352798,-0.01322285,0.1817151,-0.1144529,0.05617589,-0.04960136,0.1368046,-0.1540927,0.06129237,-0.02103229,0.1671636,-0.1716445,0.05562169,0.000506416,0.1804324,0.09848138,-0.07794696,0.04642496,0.1339014,0.1456358,-0.06111754,0.01925855,0.1591101,0.1390827,-0.07262947,-0.003926141,0.1569537,-0.1145859,0.05632444,-0.04934957,0.1368859,-0.1547594,0.06092873,-0.02146646,0.1677009,-0.1721997,0.05523995,5.463588E-05,0.180843,0.1155203,-0.07406885,0.03013373,0.1404961,-0.2782768,0.9002647,-0.05649649,0.3299907,141.4636,-0.2947897,0.9536862,-0.05984898,-0.136178,0.05609736,-0.03105389,0.1505181,0.1717068,-0.3808868,-0.3577341,0.8351457,66.73797,0.3121779,-0.6924852,-0.6503916,-0.05048833,0.9998297,0.2995416,1.044956,-0.01104406,-0.001220464,0.01222763,0.9998635,1.893348,-0.6684297,-0.0738673,0.7400641,0.1276504,-0.05778139,-0.008732168,0.1403907,0.5999471,0.736383,0.2908988,0.1148117,166.8145,0.6039407,0.7412848,0.2928352,-0.2174909,-0.2516909,-0.05437427,0.3370566,-0.4161913,-0.1183372,0.8884315,0.1532004,162.3751,-0.4211631,-0.1197509,0.8990447,0.1004883,0.0001702905,0.0004584491,0.1004895,0.1414765,-0.1989385,-0.8961977,0.370456,136.5125,0.1523136,-0.2141772,-0.9648466,-0.02750174,1.087974,0.04391798,1.089207,0.0001294969,-0.0531873,-0.01173157,-0.9985157,353.7557,0.002377605,-0.9765363,-0.2153955,False,False,False,False
1773036499408,0.07470401,0.04039743,0.9081,0.2449343,0.9414194,-0.5927893,-0.7451698,-0.283846,0.1129351,167.0309,-0.5966062,-0.7499679,-0.2856736,-0.1204385,0.7064858,0.1488769,0.7319781,0.4150462,0.1141842,-0.8869704,0.167278,160.7408,0.420978,0.1158161,-0.8996467,-0.05056248,0.999284,0.2100825,1.022379,-0.03238034,1.060045,0.3017472,1.102631,-0.05109544,1.039037,0.3314692,1.091824,0.004783459,0.6949794,0.2027453,0.7239648,0.010626,0.6885037,0.2510648,0.7329283,0.003899398,0.6899344,0.2785847,0.7440659,0.08183002,-0.08386077,0.06382873,0.1334275,0.1729494,-0.0318612,0.02617012,0.1777963,0.1758261,-0.04385988,-0.01285221,0.1816692,-0.1144673,0.05615846,-0.04958022,0.1368018,-0.1540841,0.06131243,-0.02103562,0.1671635,-0.1716537,0.05561253,0.0004924722,0.1804383,0.0973909,-0.07833425,0.04756471,0.1337297,0.1474246,-0.05920158,0.01971118,0.1600855,0.141489,-0.07074539,-0.004510699,0.1582542,-0.1145781,0.05631357,-0.04936467,0.1368804,-0.1547152,0.06095386,-0.02143825,0.1676656,-0.1721639,0.05526435,8.33093E-05,0.1808164,0.1153379,-0.07365762,0.03108479,0.1403372,-0.2842953,0.8935364,-0.04767452,0.3442325,139.7301,-0.3028012,0.9517001,-0.05077783,-0.1361618,0.05609985,-0.03104969,0.1505035,0.1720811,-0.3803772,-0.3593954,0.8345875,66.85418,0.3123775,-0.690496,-0.6524077,-0.05090072,0.9996586,0.2990992,1.044686,-0.02059137,2.357239E-05,0.020381,0.9995802,3.320487,-0.7107185,0.0008136096,0.7034576,0.1274189,-0.05785064,-0.008616818,0.1402017,0.6009192,0.7345471,0.2926944,0.1169052,166.573,0.6050681,0.7396186,0.2947152,-0.2178639,-0.251488,-0.05415311,0.3371104,-0.4171507,-0.1190935,0.8881403,0.1516864,162.5507,-0.4220342,-0.1204877,0.8985376,0.1009007,0.0003414154,0.0009008348,0.1009053,0.145539,-0.2068036,-0.8974057,0.3615435,137.61,0.1560982,-0.2218077,-0.9625148,-0.02795498,1.087836,0.04396337,1.089083,-0.0001383315,-0.05117238,-0.01197402,-0.9986181,353.9749,-0.00263216,-0.9737039,-0.2278407,False,False,False,False
1773036499422,0.0885108,0.03946919,0.9083614,0.2441221,0.9414212,-0.5932539,-0.744594,-0.2837579,0.1145037,166.85,-0.5971816,-0.7495238,-0.2856366,-0.1204245,0.7062076,0.1489251,0.7317171,0.4146948,0.1135993,-0.8870636,0.1680519,160.6509,0.4206776,0.1152382,-0.8998614,-0.05499152,0.9966533,0.2124013,1.020518,-0.03364671,1.060465,0.3000443,1.102608,-0.05181082,1.039674,0.3303925,1.092138,0.004809849,0.6950434,0.2028085,0.724044,0.01068532,0.6885082,0.251087,0.7329409,0.003989349,0.6898681,0.2785164,0.7439793,0.08166961,-0.08676091,0.05938964,0.1331334,0.1725903,-0.03276981,0.02733956,0.1777884,0.1758683,-0.04410446,-0.01195382,0.1817078,-0.114511,0.05603354,-0.04959005,0.1367907,-0.1540639,0.06133533,-0.02103303,0.1671529,-0.1715542,0.05575508,0.0004612878,0.1803876,0.09607377,-0.07904024,0.0485554,0.1335483,0.149533,-0.05698712,0.02035029,0.1613127,0.1443693,-0.06851341,-0.005134284,0.1598842,-0.1145725,0.05629011,-0.04938355,0.1368728,-0.1546606,0.06098582,-0.0214043,0.1676225,-0.1721129,0.05530546,0.0001149764,0.1807804,0.1151356,-0.07334915,0.03197659,0.1402099,-0.2904959,0.8851318,-0.03719981,0.3616215,137.6004,-0.3115823,0.9493812,-0.03990004,-0.1361385,0.0561007,-0.03104878,0.1504826,0.1723602,-0.3797993,-0.3613792,0.8339362,66.98956,0.3123253,-0.6882156,-0.6548374,-0.05103949,0.9995852,0.298974,1.044587,-0.02293529,-0.0005012273,0.0231916,0.9994678,3.738767,-0.7030863,-0.01536523,0.7109433,0.1269984,-0.057618,-0.008715285,0.1397297,0.6058159,0.7263501,0.3013186,0.1208708,166.1153,0.6102904,0.7317148,0.3035442,-0.2177473,-0.2513582,-0.05389219,0.3368964,-0.4203173,-0.1233616,0.8877674,0.1413656,163.7462,-0.4245812,-0.124613,0.8967733,0.1010395,0.0004147887,0.001026005,0.1010455,0.1474274,-0.2083004,-0.8978624,0.3587747,137.9501,0.1579426,-0.2231573,-0.9619019,-0.02836771,1.087793,0.04397908,1.089051,-0.0005254314,-0.04925525,-0.01244785,-0.9987085,354.1756,-0.01034194,-0.969479,-0.245008,False,False,False,False
1773036499436,0.102661,0.03906307,0.9083902,0.2439005,0.9413745,-0.5936278,-0.7441309,-0.2839826,0.1150184,166.7906,-0.5975938,-0.7491024,-0.2858799,-0.1204314,0.7061333,0.1489102,0.7316435,0.4144807,0.113264,-0.8871123,0.1685492,160.593,0.4204967,0.114908,-0.8999882,-0.05654069,0.9958922,0.2137974,1.020151,-0.03391033,1.060627,0.2997156,1.102683,-0.0522468,1.039701,0.3299834,1.092061,0.004793033,0.6951222,0.2028217,0.7241232,0.01070236,0.6885852,0.251046,0.7329994,0.004019687,0.6900008,0.2784849,0.7440908,0.08198089,-0.08760261,0.05751356,0.1330522,0.1725371,-0.03288176,0.02768242,0.1778105,0.1757306,-0.04442272,-0.01164804,0.1816323,-0.1145288,0.05600686,-0.04955048,0.1367803,-0.1540355,0.0613737,-0.02102573,0.1671399,-0.1715447,0.05576877,0.0004583262,0.1803828,0.0949488,-0.07972373,0.0492705,0.1334119,0.1513693,-0.05506289,0.02093558,0.1624281,0.1468728,-0.06659035,-0.00565425,0.1613625,-0.114569,0.0562675,-0.04939688,0.1368654,-0.1546107,0.06101678,-0.02137408,0.1675839,-0.1720675,0.05534244,0.0001423845,0.1807485,0.1149862,-0.07314403,0.03263517,0.1401319,-0.2955447,0.8778547,-0.02899302,0.3757445,135.8593,-0.3189137,0.9472673,-0.03128552,-0.1361202,0.05610065,-0.03104489,0.1504652,0.1726673,-0.3792727,-0.3632918,0.8332811,67.12545,0.3123225,-0.6860325,-0.6571259,-0.05186016,0.9991029,0.2983289,1.043981,-0.02483572,-0.007505603,0.02849392,0.9992573,4.416833,-0.6445011,-0.1947747,0.7394335,0.1268223,-0.05752081,-0.008692879,0.1395281,0.6080738,0.7233968,0.3032683,0.1223592,165.9435,0.6126775,0.7288737,0.3055643,-0.2178932,-0.251172,-0.05369895,0.336821,-0.420308,-0.1240219,0.888159,0.138323,164.0984,-0.4243876,-0.1252257,0.8967797,0.1018602,0.0008971095,0.001671135,0.1018778,0.1554016,-0.2065688,-0.8984025,0.3550391,138.4083,0.1662314,-0.2209643,-0.961011,-0.02873309,1.087762,0.04407088,1.089033,-0.0008752133,-0.04748913,-0.01267821,-0.9987909,354.3644,-0.01780349,-0.9660186,-0.2578987,False,False,False,False
1773036499450,0.1168497,0.03801962,0.9083567,0.2438203,0.9412788,-0.594292,-0.7433134,-0.2846645,0.115188,166.7711,-0.5982742,-0.7482943,-0.286572,-0.1205024,0.7059436,0.1488174,0.7314532,0.4141825,0.1128198,-0.8871703,0.1692726,160.5089,0.420247,0.1144717,-0.9001604,-0.05945706,0.9948593,0.2175699,1.020106,-0.03478351,1.060715,0.2995458,1.102748,-0.05389721,1.03932,0.3291992,1.091542,0.004704416,0.6950981,0.2027834,0.7240888,0.01065543,0.6886044,0.2508975,0.732966,0.003994519,0.6901294,0.2783922,0.7441753,0.08341023,-0.08864635,0.0534607,0.1329417,0.1724581,-0.033097,0.02795469,0.1778164,0.1751751,-0.04556298,-0.01128336,0.1813549,-0.1145509,0.05601889,-0.04946379,0.1367724,-0.1539725,0.06143368,-0.02101782,0.1671029,-0.1715501,0.05576321,0.0004652478,0.1803862,0.09400669,-0.08045226,0.04961262,0.1333088,0.1530912,-0.0532694,0.02150868,0.163515,0.1491836,-0.06487349,-0.006113862,0.1627934,-0.1145675,0.0562472,-0.04940234,0.1368578,-0.1545586,0.06105082,-0.02134499,0.1675445,-0.1720253,0.0553768,0.000168746,0.1807189,0.1149759,-0.07301315,0.03300006,0.1401406,-0.3004849,0.8707469,-0.02221888,0.3886068,134.2643,-0.3261164,0.945022,-0.02411416,-0.1361087,0.05610121,-0.0310328,0.1504525,0.1731017,-0.378737,-0.3653655,0.8325275,67.28148,0.3124672,-0.6836612,-0.6595242,-0.05214127,0.9989687,0.298095,1.0438,-0.02362322,-0.009797201,0.02925845,0.9992447,4.454076,-0.6079211,-0.2521216,0.7529383,0.1260059,-0.05775842,-0.008420486,0.1388684,0.6143063,0.7178932,0.3017354,0.1273299,165.3694,0.6193475,0.7237846,0.3042116,-0.2173965,-0.2508298,-0.05320604,0.3361662,-0.4146348,-0.1242383,0.8916414,0.1327346,164.7447,-0.4183364,-0.1253474,0.8996013,0.1021413,0.00103128,0.001904964,0.1021642,0.1571306,-0.2045033,-0.898609,0.3549513,138.4191,0.1680748,-0.218747,-0.9611976,-0.0290782,1.087733,0.04412436,1.089016,-0.00101827,-0.04574275,-0.01310965,-0.9988667,354.544,-0.0213948,-0.9610978,-0.275446,False,False,False,False
1773036499463,0.1296799,0.03756516,0.9082717,0.2438194,0.9411783,-0.595062,-0.742372,-0.2856374,0.1148757,166.8071,-0.5990276,-0.7473194,-0.2875409,-0.1205324,0.7058691,0.1487807,0.7313789,0.4138972,0.1124129,-0.8872176,0.1699922,160.4253,0.4200103,0.1140732,-0.9003214,-0.06045045,0.9945872,0.2192193,1.020252,-0.03508677,1.060684,0.2995271,1.102723,-0.05450839,1.039088,0.328846,1.091245,0.004691876,0.6952044,0.2027414,0.724179,0.01066866,0.6888071,0.2508552,0.7331421,0.004012609,0.6903055,0.2783201,0.7443116,0.08405243,-0.08899786,0.05174164,0.1329008,0.1723784,-0.03334338,0.02802224,0.1777957,0.1748372,-0.04612929,-0.01113988,0.1811631,-0.1145508,0.05603403,-0.04944624,0.1367722,-0.1539753,0.06143219,-0.02101807,0.1671049,-0.1715177,0.05581756,0.0004668906,0.1803723,0.0931919,-0.08115174,0.04978689,0.1332256,0.1546699,-0.05163839,0.02204184,0.1645453,0.1512834,-0.06333922,-0.006525256,0.1641375,-0.1145662,0.05622975,-0.04940594,0.1368508,-0.1545108,0.06108204,-0.02131823,0.1675085,-0.1719837,0.05541288,0.0001931501,0.1806904,0.1150157,-0.07292166,0.0332265,0.1401791,-0.3047732,0.8642834,-0.01659787,0.399815,132.8668,-0.3325055,0.9429274,-0.01810817,-0.136096,0.05610405,-0.03102161,0.1504398,0.173389,-0.3782896,-0.3670799,0.8319169,67.4077,0.3124687,-0.6817254,-0.6615241,-0.05243538,0.9988093,0.2978358,1.043588,-0.02382078,-0.01180669,0.02975801,0.9992036,4.573748,-0.5969729,-0.2958876,0.745766,0.1256971,-0.05788024,-0.008317065,0.1386328,0.6164179,0.7165276,0.30049,0.1277621,165.3194,0.6215112,0.7224481,0.3029729,-0.2175106,-0.250531,-0.05294161,0.3359753,-0.4121971,-0.1228424,0.8929207,0.1330263,164.711,-0.4158934,-0.123944,0.9009277,0.1024354,0.001190662,0.002164185,0.1024652,0.1590925,-0.2038362,-0.8984567,0.3548467,138.4319,0.1701662,-0.2180242,-0.9609938,-0.02938109,1.087755,0.04413429,1.089047,-0.001083657,-0.04425735,-0.01327498,-0.9989314,354.702,-0.02344692,-0.9575899,-0.2872289,False,False,False,False
1773036499478,0.1438005,0.03711234,0.9081296,0.2438824,0.9410395,-0.595884,-0.7412965,-0.287069,0.1139879,166.9095,-0.5997934,-0.7461598,-0.2889524,-0.1205345,0.705793,0.1487833,0.7313062,0.4136459,0.1119981,-0.8872483,0.1707158,160.3411,0.4198086,0.1136667,-0.900467,-0.06157253,0.9940646,0.2211356,1.020224,-0.03524891,1.060712,0.2994896,1.102745,-0.05514667,1.038878,0.3284292,1.090951,0.004741669,0.6953877,0.2026818,0.7243386,0.01073223,0.6890365,0.2508749,0.7333653,0.004044312,0.6904588,0.2782747,0.744437,0.08470811,-0.08948878,0.0495706,0.1328192,0.1723286,-0.03347381,0.02814339,0.1777911,0.1745097,-0.04669911,-0.010978,0.1809834,-0.1145392,0.05599611,-0.04952437,0.1367752,-0.1540123,0.06141605,-0.0210411,0.167136,-0.1714615,0.05589096,0.0004646555,0.1803415,0.092559,-0.08177369,0.04977075,0.1331587,0.1559872,-0.0502833,0.02249702,0.1654284,0.1530161,-0.06209785,-0.006857434,0.1652789,-0.1145642,0.05621232,-0.04941478,0.1368451,-0.1544736,0.06110696,-0.02129756,0.1674806,-0.1719448,0.05544854,0.0002134045,0.1806643,0.1151029,-0.07286952,0.03329768,0.1402405,-0.3082862,0.8587873,-0.01227872,0.4090149,131.7141,-0.3378377,0.9411083,-0.01345572,-0.1360799,0.05610662,-0.03101902,0.1504257,0.1734387,-0.3779592,-0.3682591,0.8315353,67.48643,0.3122367,-0.6804292,-0.6629665,-0.05350121,0.9980878,0.2967805,1.042651,-0.02181107,-0.01534636,0.03385638,0.9990709,4.940109,-0.5060859,-0.3560843,0.7855754,0.1253812,-0.05800074,-0.008249136,0.1383929,0.618143,0.7147897,0.3008553,0.1283012,165.2571,0.6232943,0.7207465,0.3033625,-0.2175475,-0.2502185,-0.05269234,0.3357271,-0.4102404,-0.1227501,0.8938377,0.1330014,164.7139,-0.4139177,-0.1238504,0.9018499,0.1035012,0.001912177,0.003219545,0.1035689,0.1622535,-0.2001112,-0.8998169,0.3520781,138.7711,0.1733532,-0.2138007,-0.961373,-0.02965062,1.087771,0.04414773,1.089071,-0.0008194177,-0.04322101,-0.01340866,-0.9989752,354.8117,-0.01810457,-0.9549437,-0.2962567,False,False,False,False
