Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773037101763,0,1,1,135,0.2867651,-0.4334901,0.8543139,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.2649364,-0.4004926,0.7892832,0.3826834,135,0.2867652,-0.43349,0.854314
Grab,1773037105400,2.7386,1,1,135,0.2867651,-0.4334901,0.8543139,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.2649364,-0.4004926,0.7892832,0.3826834,135,0.2867652,-0.43349,0.854314
Trial Start,1773037105422,0,1,1,135,0.2867651,-0.4334901,0.8543139,1,-1,-0.05000003,1,0.3,1.045227,0.02670288,0.007899298,0.004751327,0.9996009,3.237408,0.9453145,0.2796448,0.1682028,0.1,0,-2.980232E-08,0.1,0.2627496,-0.423173,0.7743628,0.3901918,134.0671,0.2853698,-0.4596041,0.8410279
Clutch Start,1773037107510,2.096872,1,1,135,0.2867651,-0.4334901,0.8543139,1,0,0.04422201,1.000488,0.2733135,1.038091,0.5207918,-0.03555366,-0.1053002,0.8464182,64.35159,0.9779783,-0.06676507,-0.1977399,0.005777989,-0.000488162,0.02668649,0.0273092,-0.04528522,-0.7643285,0.5092065,0.3930143,133.7156,-0.0492481,-0.8312142,0.5537667
Clutch End,1773037108677,3.264312,1,1,135,0.2867651,-0.4334901,0.8543139,1,0,0.06918,1.010506,0.2495136,1.043152,0.5576081,0.1189362,-0.2262016,0.789785,75.66916,0.9090687,0.1939017,-0.3687766,-0.01918,-0.01050603,0.05048643,0.05501935,-0.0008622895,-0.8618576,0.4550992,0.2237982,154.1356,-0.0008847303,-0.8842871,0.4669429
Release,1773037108677,3.264312,1,1,135,0.2867651,-0.4334901,0.8543139,1,0,0.06918,1.010506,0.2495136,1.043152,0.5576081,0.1189362,-0.2262016,0.789785,75.66916,0.9090687,0.1939017,-0.3687766,-0.01918,-0.01050603,0.05048643,0.05501935,-0.0008622895,-0.8618576,0.4550992,0.2237982,154.1356,-0.0008847303,-0.8842871,0.4669429
Grab,1773037109413,3.999975,1,1,135,0.2867651,-0.4334901,0.8543139,1,0,0.06918,1.010506,0.2495136,1.043152,0.5576081,0.1189362,-0.2262016,0.789785,75.66916,0.9090687,0.1939017,-0.3687766,-0.01918,-0.01050603,0.05048643,0.05501935,-0.0008622895,-0.8618576,0.4550992,0.2237982,154.1356,-0.0008847303,-0.8842871,0.4669429
Release,1773037111594,6.180583,1,1,135,0.2867651,-0.4334901,0.8543139,1,0,0.06766751,0.9923886,0.2858687,1.034956,0.3878932,-0.3838167,0.1527487,0.8239487,69.0359,0.6845201,-0.6773262,0.2695576,-0.01766751,0.007611394,0.01413128,0.02386979,-0.1719116,-0.4487939,0.5382131,0.6923563,92.36616,-0.2382513,-0.6219809,0.7459064
Grab,1773037112649,7.23619,1,1,135,0.2867651,-0.4334901,0.8543139,1,0,0.06766751,0.9923886,0.2858687,1.034956,0.3878932,-0.3838167,0.1527487,0.8239487,69.0359,0.6845201,-0.6773262,0.2695576,-0.01766751,0.007611394,0.01413128,0.02386979,-0.1719116,-0.4487939,0.5382131,0.6923563,92.36616,-0.2382513,-0.6219809,0.7459064
Release,1773037113080,7.66689,1,1,135,0.2867651,-0.4334901,0.8543139,1,0,0.06846297,0.9871516,0.3009969,1.034289,0.0410778,-0.3047307,0.8198387,0.4830284,122.2332,0.04691363,-0.3480232,0.9363115,-0.01846297,0.01284838,-0.0009968877,0.02251568,0.2000725,0.1079492,0.1317904,0.9648572,30.46959,0.7613828,0.4108045,0.5015329
