Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,0.2867651,-0.4334901,0.8543139,1,21.0386,False,0.0005350038,-0.002759576,0.002699345,0.003897172,-0.04390243,-0.02068162,-0.04042797,0.9980034,7.242731,-0.6950697,-0.3274344,-0.6400614,0.9007213,0.4976299,0.6407611,0.4316052,446.5691,0.6768062,1627.795,0,0,0,0,0,0,0,0.8005366,1775.688,0.09803045,17.18799
1,3,135,0.8312002,0.3625237,0.4215243,1,14.00031,False,-0.002923522,0.002510786,0.001465857,0.004123077,-0.06939152,-0.01729009,-0.02663324,0.997084,8.75317,-0.9093202,-0.2265728,-0.3490072,0.3880616,0.2793495,0.395005,0.4466456,349.1393,0.4109969,732.8901,0,0,0,0,0,0,0,0.5751275,801.9274,0.2061487,63.6178
1,4,135,0.4877729,-0.8725014,0.02861726,1,5.527847,False,-0.001494769,0.001574397,0.001046717,0.00241012,-0.02373517,-0.03479884,-0.01746174,0.9989599,5.226886,-0.520537,-0.7631747,-0.3829542,0.1888919,0.122861,0.1683696,0.1337218,149.2479,0.1440075,490.8867,0,0,0,0,0,0,0,0.2319535,550.3403,0.038296,11.58624
1,5,135,0.5807783,-0.2063508,-0.7874744,1,9.707248,False,0.0007507354,-0.0005015135,-8.556247E-05,0.000906885,0.03048819,-0.01488044,-0.01940813,0.9992359,4.479839,0.7800712,-0.3807312,-0.4965767,0.2498873,0.2766529,0.3153798,0.2493264,209.1789,0.2358585,887.3035,0,0,0,0,0,0,0,0.3704103,960.8089,0.03889093,4.90445
1,6,135,-0.192491,-0.02346879,0.9810181,1,10.277,False,-0.0007726476,-0.003329158,0.001964509,0.003942027,0.03651126,-0.02508245,-0.05898635,0.9972757,8.460717,0.4949577,-0.3400252,-0.7996367,0.4590635,0.267998,0.2959919,0.2363257,182.3453,0.3659572,899.3896,0,0,0,0,0,0,0,0.4313695,918.7933,0.04656966,7.302092
1,7,135,0.1338756,-0.5900933,-0.7961578,1,17.98396,False,0.0009348057,-0.001714349,0.006497055,0.006784142,-0.04575035,0.02404936,0.007517799,0.9986352,5.987643,-0.8759668,0.4604651,0.1439408,0.5811084,0.6152288,0.7619889,0.4760807,452.5494,0.5856671,1233.48,0,0,0,0,0,0,0,0.8289151,1408.189,0.09049709,16.4914
1,8,135,0.9642296,-0.106941,0.2425383,1,5.693777,False,0.00135693,-0.001566172,0.0078471,0.008116104,-0.02904332,0.04866521,-0.03739027,0.9976924,7.786195,-0.4277667,0.7167692,-0.5507054,0.1332251,0.09842316,0.1755588,0.1605764,126.4702,0.09544858,252.9008,0,0,0,0,0,0,0,0.2496386,323.0974,0.03521929,6.30569
1,9,135,0.4139326,0.4567943,0.7874,1,10.9021,False,0.005132165,-0.0002400875,0.002316952,0.005636047,-0.08370381,0.01155247,-0.01183869,0.9963535,9.789139,-0.9810282,0.1353976,-0.1387523,0.4122455,0.282666,0.3211715,0.264631,222.5556,0.2861242,519.8409,0,0,0,0,0,0,0,0.4184659,595.98,0.05343294,8.594442
1,10,135,-0.4116168,-0.7038791,0.5789006,1,14.69265,False,-0.001837093,-0.003141165,0.005078733,0.006247828,-0.005093209,-0.01165115,0.04715491,-0.9988068,354.4012,-0.1042854,-0.2385618,0.9655152,0.5226836,0.3884832,0.5018995,0.3670854,333.9548,0.5232185,874.236,0,0,0,0,0,0,0,0.6047936,964.8461,0.1307877,35.82555
1,11,135,-0.3895101,-0.5583871,-0.7324519,1,19.13726,False,0.0003994852,0.001999855,-0.00153327,0.002551456,-0.001087022,0.01921289,0.002582326,0.9998116,2.225175,-0.05598454,0.9895147,0.1329967,0.4615525,0.5088282,0.6051972,0.4538565,355.8375,0.4575393,1361.592,0,0,0,0,0,0,0,0.6667006,1295.7,0.09878413,18.63522
2,2,135,0.8876793,-0.406392,-0.2164971,1,30.01107,True,-0.0006219447,-0.001529336,0.002390921,0.002905544,-0.1955103,0.3640207,-0.2341117,0.8800321,56.70755,-0.4116748,0.7664974,-0.4929555,0.5485682,0.6615337,0.9404181,0.6542799,624.5594,0.5856028,1706.262,0,0,0,0,0,0,0,1.088755,1756.561,0.3007236,83.24846
2,3,135,-0.3240114,0.2881656,0.9010978,1,17.85992,False,-0.002410423,0.0008661747,0.00580281,0.006342949,0.00454897,0.01455825,-0.005005567,0.9998712,1.839246,0.2834201,0.9070407,-0.311868,0.5485411,0.6376976,0.7049947,0.6757842,528.4188,0.6120362,1777.503,0,0,0,0,0,0,0,0.9190063,1837.652,0.1979194,45.28246
2,4,135,-0.4728239,0.6075159,0.6382492,1,18.9002,False,-0.0009331293,0.001251578,-0.004739702,0.004990186,-0.0438354,0.005206116,0.02748309,0.9986472,5.96143,-0.8429939,0.1001183,0.5285243,0.2721831,0.3062271,0.4136109,0.3716681,312.2307,0.3253822,873.1224,0,0,0,0,0,0,0,0.4583831,776.863,0.1680471,41.71018
2,5,135,-0.4465153,-0.824503,-0.3475901,1,23.15139,False,-0.00128597,4.845858E-05,-0.0003890991,0.00134442,0.01468653,-0.05187014,0.01505562,0.9984325,6.417274,0.2623901,-0.9267135,0.2689842,0.5608445,0.6661038,0.7298509,0.6416476,599.8291,0.6049503,1530.683,0,0,0,0,0,0,0,1.007656,1679.854,0.1223551,26.36655
2,6,135,0.8727251,0.4441994,-0.2025779,1,3.583073,False,0.001835022,-0.001268744,-0.00152421,0.002701895,0.003229698,0.02531856,-0.002377942,0.9996715,2.937475,0.1260061,0.9877996,-0.09277499,0.07933424,0.06716764,0.08179493,0.1504268,100.249,0.06990945,206.466,0,0,0,0,0,0,0,0.1807747,279.5449,0.03082193,6.51043
