Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Thumb Tip Euro Position X,Right Thumb Tip Euro Position Y,Right Thumb Tip Euro Position Z,Right Thumb Tip Euro Position Magnitude,Right Index Tip Euro Position X,Right Index Tip Euro Position Y,Right Index Tip Euro Position Z,Right Index Tip Euro Position Magnitude,Right Middle Tip Euro Position X,Right Middle Tip Euro Position Y,Right Middle Tip Euro Position Z,Right Middle Tip Euro Position Magnitude,Right Triangle Local Position X,Right Triangle Local Position Y,Right Triangle Local Position Z,Right Triangle Local Position Magnitude,Right Triangle Local Rotation X,Right Triangle Local Rotation Y,Right Triangle Local Rotation Z,Right Triangle Local Rotation W,Right Triangle Local Rotation Angle,Right Triangle Local Rotation Axis X,Right Triangle Local Rotation Axis Y,Right Triangle Local Rotation Axis Z,Right Triangle Area,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Right Angle Scale Factor,Right Is Grabbed,Right Is Rotating,Right Is Clutching,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Thumb Tip Euro Position X,Left Thumb Tip Euro Position Y,Left Thumb Tip Euro Position Z,Left Thumb Tip Euro Position Magnitude,Left Index Tip Euro Position X,Left Index Tip Euro Position Y,Left Index Tip Euro Position Z,Left Index Tip Euro Position Magnitude,Left Middle Tip Euro Position X,Left Middle Tip Euro Position Y,Left Middle Tip Euro Position Z,Left Middle Tip Euro Position Magnitude,Left Triangle Local Position X,Left Triangle Local Position Y,Left Triangle Local Position Z,Left Triangle Local Position Magnitude,Left Triangle Local Rotation X,Left Triangle Local Rotation Y,Left Triangle Local Rotation Z,Left Triangle Local Rotation W,Left Triangle Local Rotation Angle,Left Triangle Local Rotation Axis X,Left Triangle Local Rotation Axis Y,Left Triangle Local Rotation Axis Z,Left Triangle Area,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Left Angle Scale Factor,Left Is Grabbed,Left Is Rotating,Left Is Clutching,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773037460922,0.0142024,0.03006363,0.9120038,0.2505283,0.9462659,-0.604633,-0.3316711,-0.1470564,0.7090752,89.68056,-0.8574739,-0.4703668,-0.2085513,-0.06194471,0.9841892,0.2926789,1.028653,-0.06394593,1.016564,0.2924669,1.05973,-0.0498006,1.018431,0.3060926,1.064601,-0.02913774,-0.07879013,0.1073872,0.1363411,-0.02406917,-0.07194138,0.1419283,0.1609302,-0.002557994,-0.07337787,0.1400755,0.1581518,-0.02994333,-0.07857673,0.1073431,0.1363578,-0.02459228,-0.06331255,0.1521274,0.1666014,-0.00112297,-0.06299965,0.1562965,0.1685194,-0.02147404,-0.07239895,0.1263457,0.1471937,-0.1549153,0.2458998,-0.06374564,0.9547099,34.61959,-0.5206571,0.8264478,-0.2142436,5.449598,-0.008862489,-0.06646975,0.1096685,0.1285455,0.6323287,0.3556469,0.1332489,0.6752188,95.05771,0.8572583,0.4821562,0.1806477,1.3,True,True,False,-0.11481,0.6995176,0.2465345,0.7505234,0.08623393,-0.3016801,-0.1103095,-0.9430719,321.148,0.2592809,-0.9070662,-0.3316693,-0.003864564,0.6888086,0.3052206,0.7534134,-0.03361437,0.6591589,0.3158574,0.7317009,-0.06584504,0.6808342,0.292728,0.7440164,0.05689064,-0.04911868,0.1159248,0.1381584,0.01906066,-0.07299747,0.09989474,0.1251835,0.009631936,-0.03852459,0.06552844,0.07662177,0.05640578,-0.04956398,0.1158922,0.1380913,0.01937753,-0.0709425,0.0977092,0.1222923,0.009731614,-0.0377441,0.06563336,0.07633518,0.03043825,-0.04850342,0.09181989,0.1082126,0.8114893,0.4500453,-0.2716207,-0.2552773,209.58,0.8392971,0.4654673,-0.2809285,10.89488,0,0,0,0,0,0,0,0,0,1,0,0,0.8506846,False,True,False,-0.05000002,1,0.3,1.045227,0.02313413,0.005545915,-0.0009398288,0.9997166,2.72802,0.9718325,0.2329761,-0.03948089,0.1,0,0,0.1,0.8682468,0.1827844,-0.2223403,0.4041068,132.3297,0.9492025,0.1998273,-0.2430715,-0.005615438,1.100232,0.0263336,1.100561,0.01987753,-0.01675382,-0.02697666,-0.999298,355.7059,0.5305731,-0.4471949,-0.7200639,False
1773037460936,0.0277633,0.03023428,0.9119546,0.2504281,0.9461975,-0.6082821,-0.3299094,-0.1506788,0.7060089,90.17778,-0.8589094,-0.4658401,-0.2127622,-0.06113506,0.9853559,0.2919067,1.029501,-0.06241351,1.014774,0.2923041,1.057877,-0.04830024,1.013742,0.3057613,1.059951,-0.02913307,-0.07881887,0.1073877,0.1363571,-0.02379829,-0.07308756,0.1387232,0.1585947,-0.003023714,-0.07503408,0.1338898,0.1535113,-0.02977627,-0.0786265,0.1073522,0.1363571,-0.02442909,-0.06539848,0.1493139,0.1648283,-0.001513105,-0.06555559,0.1515367,0.1651157,-0.02135447,-0.07320897,0.1252756,0.1466613,-0.1435863,0.2658613,-0.05908121,0.9514253,35.86299,-0.4663714,0.8635236,-0.1918971,4.98909,-0.008753442,-0.06720831,0.1086929,0.1280927,0.6473966,0.3693672,0.1213063,0.6555383,98.07905,0.8572949,0.4891232,0.1606362,1.3,True,True,False,-0.114763,0.699701,0.2465745,0.7507003,0.08562861,-0.3012989,-0.1089899,-0.9434023,321.262,0.2581892,-0.908483,-0.3286287,-0.003875315,0.6887352,0.3053375,0.7533938,-0.03380145,0.6590734,0.3158765,0.7316408,-0.06588058,0.6806937,0.2928378,0.7439343,0.05695379,-0.04903068,0.1159403,0.1381662,0.01907199,-0.07297842,0.09979165,0.1250918,0.009601448,-0.03870289,0.06552501,0.07670482,0.05651835,-0.0494547,0.115902,0.1381063,0.01931484,-0.07138171,0.09815587,0.1228942,0.00970509,-0.0379415,0.06561127,0.07641063,0.03036075,-0.04868026,0.0918475,0.1082936,0.8122556,0.4485405,-0.2739364,-0.2530045,209.3108,0.8395709,0.4636245,-0.2831486,11.07577,0,0,0,0,0,0,0,0,0,1,0,0,0.6707547,False,True,False,-0.04906867,1.000037,0.3006496,1.045405,0.04821439,0.01580854,-0.0101224,0.9986606,5.931539,0.9318702,0.3055417,-0.1956421,0.09906867,-3.71933E-05,-0.000649631,0.09907081,0.8571012,0.1761698,-0.223076,0.4296265,129.1123,0.9491637,0.1950924,-0.2470369,-0.005770791,1.100224,0.02635849,1.100555,0.01968578,-0.01650265,-0.02763512,-0.999288,355.6754,0.5217568,-0.4373904,-0.7324481,False
1773037460949,0.041669,0.03039616,0.9119177,0.2503252,0.9461398,-0.6118752,-0.3280638,-0.1541616,0.7030059,90.66266,-0.8603613,-0.4612924,-0.2167675,-0.06037726,0.9864917,0.291118,1.030321,-0.06094202,1.013091,0.2922305,1.056157,-0.0466807,1.009843,0.3051727,1.05598,-0.02921047,-0.07885484,0.1073883,0.136395,-0.0234852,-0.07422175,0.1356506,0.1564017,-0.003386565,-0.07605341,0.128472,0.149334,-0.02965732,-0.07867435,0.1073597,0.1363647,-0.02423154,-0.06732766,0.1463573,0.162913,-0.001905845,-0.06784464,0.1464477,0.1614109,-0.02121386,-0.07393439,0.1241615,0.1460562,-0.1328411,0.2909955,-0.053207,0.9459619,37.84365,-0.4096521,0.8973647,-0.1640784,4.536587,-0.008625229,-0.06786973,0.1076772,0.1275738,0.6622007,0.3879287,0.1046734,0.6324914,101.5317,0.8549296,0.5008326,0.1351379,1.3,True,True,False,-0.1147137,0.6998854,0.2466176,0.7508788,0.08505874,-0.3009306,-0.1076508,-0.9437252,321.3737,0.2571843,-0.909896,-0.3254937,-0.003884479,0.6886642,0.3054579,0.7533777,-0.03398409,0.6589896,0.3159036,0.7315854,-0.06591269,0.6805491,0.2929524,0.7438499,0.05701464,-0.04894456,0.1159561,0.138174,0.01908228,-0.07296515,0.09969168,0.1250059,0.009570473,-0.03889086,0.06552181,0.07679324,0.05662232,-0.04934806,0.1159132,0.1381202,0.01926619,-0.07172905,0.09849097,0.123356,0.009677105,-0.03814089,0.06559265,0.07649033,0.03032279,-0.04883408,0.09188874,0.1083872,0.8126988,0.4476267,-0.2760254,-0.2509206,209.064,0.8395582,0.4624206,-0.2851479,11.21703,0,0,0,0,0,0,0,0,0,1,0,0,0.5488011,False,True,False,-0.04819873,1.000046,0.3003878,1.045298,0.07395122,0.02074786,-0.02422971,0.9967516,9.238885,0.9182247,0.2576185,-0.3008513,0.09819873,-4.565716E-05,-0.000387758,0.0981995,0.8470268,0.1672581,-0.2169429,0.4555286,125.8021,0.951479,0.1878837,-0.2436955,-0.005891398,1.100203,0.02637806,1.100535,0.01971641,-0.01628293,-0.02809483,-0.9992781,355.6457,0.5189953,-0.4286157,-0.7395406,False
1773037460964,0.055819,0.03062716,0.9117918,0.2503961,0.9460447,-0.616954,-0.326281,-0.1592941,0.6982363,91.42866,-0.8618273,-0.4557841,-0.222519,-0.05929437,0.9880058,0.2900619,1.03141,-0.05903231,1.012635,0.2911332,1.055307,-0.0444084,1.00629,0.3037416,1.05207,-0.02918788,-0.07889113,0.1073828,0.1364068,-0.02334345,-0.07452354,0.1334202,0.1545951,-0.00376784,-0.07628313,0.1229027,0.144701,-0.02955732,-0.07872038,0.1073646,0.1363733,-0.02404337,-0.06892673,0.1434942,0.1609956,-0.00230201,-0.06971733,0.141094,0.1573954,-0.02105494,-0.07450447,0.1230601,0.1453892,-0.1242215,0.322161,-0.04595173,0.9373739,40.76976,-0.3566255,0.9248869,-0.1319221,4.138924,-0.008480349,-0.06838948,0.1066729,0.1269967,0.6749507,0.4125748,0.08184742,0.6062381,105.364,0.8486922,0.5187773,0.1029161,1.3,True,True,False,-0.1145908,0.6999846,0.2466699,0.7509696,0.08500374,-0.3004132,-0.1067418,-0.9439982,321.4684,0.2576256,-0.9104791,-0.3235085,-0.003825121,0.6886742,0.3056272,0.7534552,-0.03402736,0.6589548,0.316048,0.7316185,-0.06584626,0.6803429,0.293115,0.7437194,0.05707427,-0.04886113,0.1159708,0.1381815,0.01908865,-0.0729768,0.09966356,0.1249913,0.009536303,-0.03915336,0.06552321,0.07692345,0.05671829,-0.04924486,0.1159254,0.1381329,0.01922855,-0.07200562,0.09874959,0.1237175,0.009647426,-0.0383565,0.06557801,0.07658178,0.03031396,-0.04897472,0.09194042,0.1084919,0.8129553,0.447066,-0.2780301,-0.2488679,208.8211,0.8393637,0.4615887,-0.2870618,11.325,0,0,0,0,0,0,0,0,0,1,0,0,0.4818484,False,True,False,-0.04727446,1.000027,0.3001158,1.045159,0.1039894,0.02717984,-0.04403966,0.9932311,13.34048,0.8952656,0.2339968,-0.3791464,0.09727445,-2.69413E-05,-0.0001158118,0.09727453,0.8345895,0.15343,-0.2088038,0.4861283,121.8272,0.9550308,0.1755718,-0.2389367,-0.005967032,1.100165,0.02639336,1.100497,0.01962793,-0.01640947,-0.02874351,-0.9992594,355.5896,0.5100937,-0.426452,-0.7469908,False
1773037460978,0.0695037,0.03087881,0.9116578,0.250484,0.945947,-0.6218976,-0.3244154,-0.1642379,0.6935589,92.17502,-0.8632672,-0.4503269,-0.2279816,-0.05817414,0.9894549,0.2890594,1.032454,-0.05717861,1.012463,0.2900434,1.05474,-0.04212882,1.003107,0.3023195,1.048521,-0.02917086,-0.0789294,0.1073763,0.1364202,-0.02322808,-0.07470211,0.1315831,0.1530819,-0.004080035,-0.07623176,0.1177972,0.1403714,-0.02947718,-0.07876358,0.107367,0.1363828,-0.02387536,-0.07017864,0.1409073,0.1592167,-0.002670797,-0.07112866,0.1358544,0.1533716,-0.02084493,-0.07490224,0.1220771,0.1447331,-0.1181215,0.3586884,-0.03763835,0.9251883,44.60647,-0.3112486,0.9451396,-0.09917661,3.814833,-0.008288882,-0.06875215,0.1057766,0.1264289,0.6845389,0.4424166,0.0527619,0.5769664,109.5251,0.838107,0.5416675,0.0645984,1.3,True,True,False,-0.1144612,0.7000793,0.2467253,0.7510564,0.08499511,-0.2999112,-0.1058667,-0.9442571,321.5584,0.2581798,-0.9110054,-0.3215791,-0.003757179,0.6886923,0.3057981,0.7535408,-0.03405127,0.6589234,0.3162059,0.7316595,-0.06576309,0.6801378,0.293295,0.7435954,0.05713196,-0.04877956,0.1159856,0.1381889,0.01909381,-0.07299663,0.09964733,0.1249907,0.009499512,-0.03942193,0.06554125,0.0770713,0.05680382,-0.04914883,0.1159377,0.1381443,0.01920074,-0.07221898,0.09894196,0.123991,0.009617061,-0.03857751,0.06557046,0.07668244,0.03032677,-0.04910019,0.09199888,0.1086017,0.8130569,0.4467868,-0.2799102,-0.2469217,208.5909,0.8390374,0.4610635,-0.2888545,11.40286,0,0,0,0,0,0,0,0,0,1,0,0,0.4426523,False,True,False,-0.04600177,1.000401,0.2994318,1.045265,0.1362694,0.0332512,-0.07373743,0.9873641,18.23601,0.8599158,0.2098287,-0.4653133,0.09600177,-0.0004013777,0.0005682111,0.09600429,0.8210992,0.1311284,-0.1956379,0.5199299,117.3449,0.9612395,0.1535086,-0.2290282,-0.006015878,1.100129,0.02641928,1.100463,0.01944013,-0.01646391,-0.02938347,-0.9992436,355.5426,0.4998983,-0.4233656,-0.7555891,False
1773037460991,0.0836509,0.03119929,0.9114164,0.2507151,0.9457861,-0.624845,-0.3231373,-0.1677228,0.6906665,92.63422,-0.864032,-0.4468323,-0.2319262,-0.05725522,0.9902151,0.2886537,1.033018,-0.05573187,1.012039,0.2895529,1.05412,-0.03995505,0.9997725,0.3011907,1.04492,-0.02912488,-0.07898144,0.1073612,0.1364286,-0.02312975,-0.07476535,0.13023,0.1519365,-0.004356241,-0.07559347,0.1131943,0.1361848,-0.02940222,-0.07880979,0.1073658,0.1363924,-0.02371779,-0.07119892,0.1385148,0.1575379,-0.003029946,-0.07212121,0.1305594,0.1491858,-0.02054396,-0.07514583,0.1211641,0.1440475,-0.1147204,0.4030725,-0.02623476,0.9075702,49.6566,-0.2732086,0.9599239,-0.06247853,3.546373,-0.008014469,-0.06897423,0.1049442,0.1258371,0.6891855,0.4763049,0.02009621,0.5456677,113.8594,0.8224154,0.5683817,0.02398111,1.3,True,True,False,-0.1144457,0.7001244,0.2468205,0.7511274,0.08486128,-0.2997855,-0.1052077,-0.9443827,321.6022,0.2580558,-0.9116218,-0.3199274,-0.003745519,0.6886785,0.3059011,0.7535699,-0.03410083,0.6588424,0.3163483,0.7316505,-0.06571399,0.6798484,0.2935207,0.7434155,0.05719965,-0.04869776,0.1159941,0.1381951,0.01909745,-0.07302979,0.0996616,0.125022,0.009453867,-0.03974484,0.06561807,0.07729656,0.05688781,-0.04905327,0.1159496,0.1381548,0.01917886,-0.07239759,0.09909979,0.1242176,0.009582663,-0.03882615,0.06558049,0.0768121,0.03035924,-0.04922613,0.09207369,0.1087311,0.8130229,0.446689,-0.2819106,-0.2449268,208.355,0.8385643,0.4607219,-0.290767,11.45921,0,0,0,0,0,0,0,0,0,1,0,0,0.4234877,False,True,False,-0.04461489,1.000859,0.2987351,1.045443,0.1714989,0.04005048,-0.1112291,0.9780656,24.04518,0.8233369,0.1922755,-0.5339921,0.09461489,-0.0008586645,0.0012649,0.09462725,0.8047124,0.101737,-0.1788341,0.5568715,112.3206,0.9688342,0.1224863,-0.2153074,-0.006011019,1.100037,0.02643371,1.100371,0.01922119,-0.01646457,-0.02977353,-0.9992362,355.5211,0.4918897,-0.4213448,-0.7619345,False
1773037461005,0.097563,0.03155249,0.9111475,0.2509961,0.9456132,-0.6275464,-0.3219069,-0.1708633,0.6880168,93.05334,-0.8647527,-0.4435844,-0.2354479,-0.05633911,0.9908535,0.2883686,1.033499,-0.05428577,1.011435,0.2891867,1.053364,-0.03775383,0.9964277,0.3001192,1.041329,-0.02907845,-0.07903686,0.1073438,0.136437,-0.02302186,-0.07479776,0.1288095,0.1507203,-0.004603962,-0.07477857,0.1087038,0.132021,-0.02933428,-0.0788573,0.1073612,0.1364016,-0.0235728,-0.07198834,0.1363595,0.1559869,-0.003361144,-0.07270327,0.1254627,0.1450447,-0.02013267,-0.07524273,0.1202849,0.1433013,-0.1146798,0.4541093,-0.01300323,0.8834389,55.87996,-0.2447566,0.9691874,-0.02775227,3.333232,-0.007639463,-0.06906258,0.1041426,0.1251946,0.6887475,0.5098954,-0.01396682,0.5152072,117.9774,0.8036112,0.5949316,-0.0162961,1.3,True,True,False,-0.1144328,0.7001624,0.246921,0.7511939,0.084752,-0.2996858,-0.1045966,-0.944492,321.6403,0.25797,-0.9121903,-0.3183736,-0.003731638,0.6886692,0.3060026,0.7536025,-0.03413408,0.6587603,0.3165023,0.7316447,-0.06566387,0.6795571,0.2937557,0.7432375,0.05726722,-0.04861738,0.1160017,0.1382012,0.01910306,-0.07307146,0.09968997,0.1250698,0.009403523,-0.04006933,0.0656997,0.07752696,0.05696724,-0.04896214,0.1159604,0.1381643,0.01916302,-0.07254368,0.0992272,0.1244019,0.009545398,-0.03908755,0.06560529,0.07696106,0.03040469,-0.04934772,0.09215834,0.1088706,0.8128821,0.4467274,-0.2839406,-0.2429712,208.1239,0.8379939,0.4605278,-0.2927122,11.49666,0,0,0,0,0,0,0,0,0,1,0,0,0.430718,False,True,False,-0.0433703,1.000757,0.2985956,1.045254,0.208433,0.04960711,-0.1525563,0.9647909,30.49845,0.7924659,0.1886071,-0.5800219,0.0933703,-0.0007573366,0.001404405,0.09338394,0.7842611,0.06758153,-0.1617936,0.5951388,106.9549,0.9759068,0.08409606,-0.2013302,-0.005958725,1.099961,0.02646415,1.100296,0.01884801,-0.01668385,-0.0300649,-0.999231,355.5057,0.4806912,-0.4254973,-0.7667615,False
1773037461019,0.1115615,0.03190155,0.9108789,0.2513002,0.9454469,-0.6301576,-0.3206709,-0.1738604,0.6854518,93.4577,-0.865461,-0.4404106,-0.2387806,-0.05543967,0.9914525,0.2881322,1.033959,-0.05283536,1.010737,0.2888669,1.052533,-0.03547808,0.9931505,0.2989722,1.037782,-0.02903962,-0.07909635,0.1073244,0.136448,-0.02290572,-0.07479313,0.1273254,0.1494337,-0.004831801,-0.07370435,0.1043154,0.1278177,-0.02927217,-0.07890756,0.1073535,0.1364113,-0.02343327,-0.07260556,0.1343374,0.1544902,-0.003672244,-0.07292291,0.1204622,0.140863,-0.01959068,-0.07520861,0.1192883,0.1423722,-0.1186797,0.5126438,0.001831844,0.8503577,63.49881,-0.2255389,0.9742281,0.003481236,3.16027,-0.007145316,-0.06903148,0.103234,0.1243932,0.6836628,0.5425062,-0.04937371,0.4856488,121.89,0.7820849,0.620607,-0.05648169,1.3,True,True,False,-0.1144221,0.7001936,0.2470266,0.7512561,0.08465584,-0.2996008,-0.1039857,-0.944595,321.6763,0.2579099,-0.9127545,-0.3167996,-0.003718473,0.6886542,0.3061058,0.7536306,-0.03413875,0.6586584,0.3166997,0.7316387,-0.06562274,0.6792625,0.2939975,0.7430602,0.0573346,-0.04853829,0.1160084,0.138207,0.01910606,-0.07314159,0.09976684,0.1251725,0.009345357,-0.04039007,0.0657797,0.07775386,0.05704451,-0.0488731,0.1159704,0.1381731,0.01915107,-0.07267357,0.09934398,0.124569,0.009503576,-0.03936286,0.06564174,0.07712711,0.0304564,-0.04946929,0.09225066,0.1090183,0.8126791,0.4468197,-0.286048,-0.2410008,207.8912,0.8373604,0.4603897,-0.2947353,11.52316,0,0,0,0,0,0,0,0,0,1,0,0,0.436492,False,True,False,-0.04199523,1.000609,0.2985475,1.045041,0.2421719,0.05852142,-0.1959099,0.9484447,36.95625,0.7640877,0.1846436,-0.6181244,0.09199522,-0.0006085634,0.001452535,0.0920087,0.7628432,0.03062745,-0.1433085,0.6297579,101.9355,0.9820436,0.03942814,-0.1844877,-0.005926125,1.099938,0.02650125,1.100273,0.01848371,-0.01685472,-0.03040288,-0.9992247,355.4872,0.4694747,-0.4280994,-0.7722145,False
1773037461033,0.1250022,0.03223053,0.9104447,0.2514868,0.9450895,-0.6324437,-0.3207063,-0.1782339,0.6821988,93.96859,-0.8649788,-0.4386227,-0.2437664,-0.05471632,0.9918857,0.2874098,1.034135,-0.051754,1.010785,0.2880423,1.052299,-0.03437236,0.9923859,0.2980528,1.036748,-0.02905121,-0.07917637,0.1072941,0.136473,-0.02284917,-0.0747583,0.126857,0.1490087,-0.004917211,-0.07336228,0.1030307,0.1265762,-0.0292271,-0.07896226,0.1073415,0.1364238,-0.02331506,-0.07306354,0.1327126,0.1532792,-0.003927313,-0.07301597,0.1164442,0.1374991,-0.01905147,-0.07516299,0.1182588,0.1414128,-0.1238186,0.5651446,0.01236437,0.8155536,70.71572,-0.2139668,0.9766073,0.02136646,3.034311,-0.006653681,-0.0689899,0.1022954,0.1235646,0.6757981,0.5721759,-0.08706872,0.4564328,125.6857,0.7595303,0.6430692,-0.09785665,1.299994,True,True,False,-0.1143685,0.7001723,0.2470002,0.7512194,0.0845209,-0.2994914,-0.1033145,-0.9447155,321.7183,0.2577711,-0.9133865,-0.3150878,-0.00365606,0.6885616,0.3060654,0.7535293,-0.03405656,0.6584512,0.3168421,0.7315099,-0.0655434,0.6788392,0.2941164,0.7427133,0.05742214,-0.04846801,0.1160047,0.1382155,0.019103,-0.07327513,0.09993229,0.1253819,0.009273701,-0.0407831,0.06585065,0.07801007,0.0571214,-0.04879071,0.1159774,0.1381815,0.0191413,-0.07279984,0.09946701,0.1247393,0.009457039,-0.03965367,0.06568399,0.07730611,0.03050796,-0.04959646,0.09234495,0.1091702,0.8124898,0.4468302,-0.2882571,-0.238979,207.6526,0.8367344,0.4601636,-0.2968587,11.54446,0,0,0,0,0,0,0,0,0,1,0,0,0.4491564,False,True,False,-0.04045653,1.000354,0.2985462,1.044737,0.2727356,0.06615327,-0.240912,0.9290859,43.41448,0.7373942,0.1788583,-0.6513528,0.09045653,-0.0003539324,0.001453847,0.09046891,0.7405766,-0.008533239,-0.1229706,0.6605694,97.31338,0.9864292,-0.01136606,-0.1637937,-0.005884423,1.099941,0.02653199,1.100277,0.01831424,-0.01697715,-0.03017392,-0.9992326,355.5106,0.4675861,-0.4334483,-0.7703788,False
1773037461048,0.1388692,0.03254005,0.9100206,0.2516784,0.9447425,-0.6348152,-0.3206337,-0.1826548,0.6788527,94.4919,-0.8645476,-0.4366674,-0.2487554,-0.05398735,0.992347,0.2866769,1.034336,-0.05057587,1.01062,0.2872216,1.051858,-0.03290459,0.9908414,0.2968877,1.034887,-0.02907898,-0.07926251,0.1072603,0.1365024,-0.0227693,-0.07470525,0.1261129,0.1483367,-0.00504346,-0.07266579,0.10081,0.1243721,-0.02919615,-0.07902487,0.1073246,0.1364402,-0.02320191,-0.07342061,0.131243,0.1521632,-0.004161729,-0.07294025,0.1127406,0.134343,-0.01847958,-0.07506164,0.1170533,0.1402755,-0.1314054,0.6163363,0.0220233,0.7761297,78.18488,-0.2083903,0.9774221,0.03492584,2.935822,-0.006132261,-0.06889748,0.1011962,0.1225771,0.6642472,0.6001056,-0.1254849,0.4276713,129.3603,0.73484,0.6638818,-0.1388208,1.299973,True,True,False,-0.1143144,0.7001423,0.24697,0.7511732,0.08438455,-0.299385,-0.1025923,-0.9448401,321.7619,0.2576376,-0.9140632,-0.3132282,-0.003593236,0.688449,0.3060195,0.7534075,-0.03392192,0.6581895,0.3170653,0.7313648,-0.06546979,0.6784143,0.2942348,0.7423654,0.05751209,-0.04839978,0.1159989,0.1382241,0.01909045,-0.07347476,0.1001957,0.1257066,0.009199725,-0.04116435,0.06592444,0.07826347,0.05720293,-0.04870921,0.1159818,0.1381902,0.01913072,-0.07294469,0.09962288,0.1249465,0.00940363,-0.0399709,0.06573384,0.07750508,0.03055456,-0.04973903,0.0924449,0.1093326,0.8123454,0.4466803,-0.2906945,-0.2367878,207.3941,0.8361235,0.4597551,-0.2992035,11.56985,0,0,0,0,0,0,0,0,0,1,0,0,0.4578394,False,True,False,-0.03909447,0.9999126,0.2981395,1.044146,0.3022651,0.06844067,-0.2858863,0.9067639,49.87618,0.7168819,0.1623207,-0.6780362,0.08909447,8.744001E-05,0.001860559,0.08911394,0.7172847,-0.0463892,-0.09747751,0.6883668,92.99807,0.9888635,-0.0639531,-0.1343845,-0.005845302,1.099956,0.02656032,1.100292,0.01791477,-0.01714983,-0.029484,-0.9992576,355.584,0.4649918,-0.4451373,-0.7652804,False
