Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773037950486,0,1,1,135,-0.669251,0.5558688,-0.493065,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.6183073,0.5135559,-0.4555326,0.3826834,135,-0.669251,0.5558689,-0.493065
Trial Start,1773037953792,0,1,1,135,-0.669251,0.5558688,-0.493065,1,-1,-0.03969451,0.9817865,0.2843566,1.022907,0,0,0,1,0,1,0,0,0.08969451,0.01821345,0.01564339,0.09285231,-0.6183073,0.5135559,-0.4555326,0.3826834,135,-0.669251,0.5558689,-0.493065
On Target,1773037958528,4.766294,1,1,135,-0.669251,0.5558688,-0.493065,1,-1,0.044003,1.011901,0.2872688,1.052808,0.5528593,-0.5431353,0.4620077,-0.4311607,231.0825,0.6127391,-0.601962,0.5120475,0.005996998,-0.0119015,0.01273119,0.01843076,0.06516882,-0.04739347,-0.03229531,-0.9962249,350.0397,0.7506995,-0.5459397,-0.3720194
Trial End,1773037959516,5.752624,1,2,135,-0.669251,0.5558688,-0.493065,1,-1,0.04836713,1.002031,0.2942142,1.045451,0.617213,-0.5361424,0.4522714,-0.3564408,221.7635,0.6606027,-0.5738329,0.4840659,0.001632873,-0.002031207,0.005785763,0.006345639,-0.00384352,0.02363847,-0.02523379,-0.9993947,356.0128,-0.1104837,0.6794986,-0.7253566
Trial Load,1773037959516,5.752624,1,2,135,-0.359643,0.8407035,0.404814,0.9999999,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.3322668,0.7767089,0.3739994,0.3826834,135,-0.359643,0.8407037,0.404814
Trial Start,1773037960472,0,1,2,135,-0.359643,0.8407035,0.404814,0.9999999,-1,-0.04762809,0.9984818,0.304523,1.044973,0,0,0,1,0,1,0,0,0.09762809,0.00151819,-0.004523009,0.09774459,-0.3322668,0.7767089,0.3739994,0.3826834,135,-0.359643,0.8407037,0.404814
On Target,1773037964347,3.888889,1,2,135,-0.359643,0.8407035,0.404814,0.9999999,-1,0.04383933,1.000678,0.2963203,1.04455,-0.4047866,0.7607965,0.3322232,0.3833593,134.9162,-0.4382707,0.8237301,0.3597049,0.006160673,-0.0006779432,0.003679693,0.007207887,0.05402425,0.04761752,-0.04537409,0.996371,9.765414,0.6347117,0.5594413,-0.5330842
Trial End,1773037965347,4.888927,1,3,135,-0.359643,0.8407035,0.404814,0.9999999,-1,0.04674897,1.002261,0.2940985,1.045565,-0.3826063,0.7595523,0.332235,0.4078145,131.8648,-0.4190352,0.8318712,0.363868,0.003251035,-0.002260923,0.005901515,0.00710696,0.03693605,0.05878894,-0.01941812,0.997398,8.26854,0.5123328,0.81545,-0.269345
Trial Load,1773037965347,4.888927,1,3,135,-0.5648113,-0.8038713,-0.1864914,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.5218177,-0.7426803,-0.1722956,0.3826835,135,-0.5648114,-0.8038714,-0.1864914
Trial Start,1773037966222,0,1,3,135,-0.5648113,-0.8038713,-0.1864914,1,-1,-0.04982007,1.002354,0.2991576,1.04723,0.02106301,-0.01348219,-0.004049348,-0.999679,357.0966,0.8314055,-0.5321729,-0.1598371,0.09982006,-0.002353907,0.0008424222,0.09985137,0.5129053,0.7533434,0.1511116,-0.3828411,225.0195,0.555204,0.8154707,0.1635735
