Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773038160801,0.0137506,0.03316968,0.934722,0.2587363,0.970438,0.2355983,0.4533864,0.4562543,-0.7285371,273.5278,0.343936,0.6618719,0.6660585,-0.076461,0.9898071,0.2836131,1.032473,-0.08402713,1.006825,0.2980173,1.053362,-0.08580264,0.9878182,0.3094117,1.038693,-0.02411435,-0.07514588,0.1123573,0.1373046,-0.02013391,-0.07250091,0.1377339,0.156947,-0.0001224302,-0.08318412,0.1287933,0.153321,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.01964102,0.04598076,0.05,0.5,0,0,0.8660254,60,1,0,0,0.02980466,-0.141756,0.04691141,0.1522622,0.01697812,-0.1349306,0.03172376,0.1396457,0.001976641,-0.146213,0.02790244,0.1488647,0.03268929,-0.06608295,0.1165005,0.1378691,0.01862134,-0.07676584,0.1016886,0.1287646,0.002167949,-0.08658265,0.1103095,0.1402478,0,0,0,0,0,0,0,0,0,1,0,0,-0.0501953,0.9983034,0.2998993,1.043585,-0.000296804,0.001708844,-0.0006267223,-0.9999983,359.7906,-0.162456,0.9353374,-0.3430371,0.1001953,0.001696587,0.000100702,0.1002097,0.8380169,-0.2637869,-0.286522,-0.3821642,224.9356,0.9068519,-0.2854545,-0.310057,-0.02286054,1.088706,0.02689995,1.089278,0.04346208,-0.09328518,-0.04228832,-0.993791,347.2238,0.3906263,-0.8384241,-0.3800769,False
1773038160815,0.0279288,0.03376289,0.9338502,0.2586698,0.9696011,0.2312037,0.4555013,0.4599292,-0.7263116,273.1562,0.3363621,0.6626769,0.6691188,-0.07538948,0.989541,0.2835464,1.032121,-0.08354783,1.005216,0.2970622,1.051516,-0.0853055,0.9840828,0.3065425,1.034246,-0.02347731,-0.074221,0.1129045,0.1371399,-0.01983019,-0.0727708,0.1369871,0.1563787,-0.0004475446,-0.08449453,0.125328,0.1511511,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.01964102,0.04598076,0.05,0.5,0,0,0.8660254,60,1,0,0,0.02980466,-0.141756,0.04691141,0.1522622,0.01697812,-0.1349306,0.03172376,0.1396457,0.001976641,-0.146213,0.02790244,0.1488647,0.03268929,-0.06608295,0.1165005,0.1378691,0.01862134,-0.07676584,0.1016886,0.1287646,0.002167949,-0.08658265,0.1103095,0.1402478,0,0,0,0,0,0,0,0,0,1,0,0,-0.04989298,0.9973559,0.2993568,1.042508,0.003669888,-0.007131782,-0.0005795637,0.9999677,0.9211037,0.4565602,-0.8872446,-0.07210185,0.09989299,0.002644122,0.0006432533,0.09993005,-0.8405264,0.2658923,0.2833241,0.3775505,135.6359,-0.9077065,0.287144,0.3059691,-0.02293762,1.088685,0.02694188,1.089259,0.04358067,-0.09319294,-0.04264291,-0.9937794,347.2118,0.3913251,-0.8368098,-0.3829046,False
1773038160827,0.0414792,0.03430606,0.9330576,0.2586074,0.9688401,0.2253254,0.4582414,0.464873,-0.7232817,272.6522,0.326297,0.663586,0.6731893,-0.07433446,0.9894191,0.2833379,1.03187,-0.08318487,1.003326,0.2956237,1.049274,-0.08489539,0.9811059,0.3037343,1.030549,-0.02275495,-0.07319786,0.1134867,0.1369487,-0.0195422,-0.07326947,0.1358056,0.1555425,-0.0007032222,-0.08539093,0.1225856,0.1493966,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.01964102,0.04598076,0.05,0.5,0,0,0.8660254,60,1,0,0,0.02980466,-0.141756,0.04691141,0.1522622,0.01697812,-0.1349306,0.03172376,0.1396457,0.001976641,-0.146213,0.02790244,0.1488647,0.03268929,-0.06608295,0.1165005,0.1378691,0.01862134,-0.07676584,0.1016886,0.1287646,0.002167949,-0.08658265,0.1103095,0.1402478,0,0,0,0,0,0,0,0,0,1,0,0,-0.04972019,0.9964756,0.2986631,1.041458,0.008222413,-0.01435178,-0.002258688,0.9998607,1.912679,0.4926232,-0.8598476,-0.1353231,0.09972019,0.003524423,0.001336932,0.09979142,-0.8438163,0.2687212,0.2790916,0.37131,136.4072,-0.9087862,0.2894115,0.3005803,-0.02301688,1.088674,0.02698865,1.089252,0.04345015,-0.09305573,-0.04290914,-0.9937865,347.2191,0.3903755,-0.836054,-0.3855147,False
1773038160843,0.0558285,0.03483001,0.9322976,0.2585462,0.9681106,0.2192975,0.4609594,0.4699571,-0.7201149,272.1279,0.3160567,0.6643457,0.6773133,-0.0730802,0.9894604,0.2834207,1.031843,-0.08277799,1.000813,0.2937973,1.046324,-0.08425513,0.9780214,0.300697,1.026666,-0.02180239,-0.07186095,0.1142076,0.1366848,-0.01922892,-0.07412066,0.1338533,0.1542087,-0.0009957806,-0.08620718,0.1194934,0.1473477,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.01964102,0.04598076,0.05,0.5,0,0,0.8660254,60,1,0,0,0.02980466,-0.141756,0.04691141,0.1522622,0.01697812,-0.1349306,0.03172376,0.1396457,0.001976641,-0.146213,0.02790244,0.1488647,0.03268929,-0.06608295,0.1165005,0.1378691,0.01862134,-0.07676584,0.1016886,0.1287646,0.002167949,-0.08658265,0.1103095,0.1402478,0,0,0,0,0,0,0,0,0,1,0,0,-0.04955659,0.99564,0.2979589,1.040449,0.01292518,-0.02171886,-0.004039899,0.9996724,2.933208,0.5050073,-0.8485906,-0.1578453,0.0995566,0.00436002,0.002041101,0.09967292,-0.8471112,0.2716272,0.2747912,0.3648443,137.204,-0.9098268,0.291737,0.2951353,-0.02311756,1.088673,0.02701071,1.089253,0.04320647,-0.09304808,-0.04307595,-0.9937906,347.2233,0.3883141,-0.836261,-0.387141,False
1773038160856,0.0696086,0.03548053,0.9319739,0.2585391,0.9678206,0.2205198,0.460559,0.4708242,-0.7194311,272.0151,0.3174939,0.6630909,0.6778704,-0.07218733,0.9895653,0.2834375,1.031885,-0.08187218,1.00094,0.2938714,1.046396,-0.08342308,0.9781041,0.3007319,1.026687,-0.02183102,-0.07178994,0.114237,0.1366765,-0.01919515,-0.07408056,0.1339152,0.154239,-0.0009916988,-0.08620852,0.1194808,0.1473382,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.01964102,0.04598076,0.05,0.5,0,0,0.8660254,60,1,0,0,0.02980466,-0.141756,0.04691141,0.1522622,0.01697812,-0.1349306,0.03172376,0.1396457,0.001976641,-0.146213,0.02790244,0.1488647,0.03268929,-0.06608295,0.1165005,0.1378691,0.01862134,-0.07676584,0.1016886,0.1287646,0.002167949,-0.08658265,0.1103095,0.1402478,0,0,0,0,0,0,0,0,0,1,0,0,-0.04867505,0.9956203,0.2979558,1.040388,0.01244692,-0.02138389,-0.005631634,0.999678,2.908015,0.4905346,-0.8427421,-0.2219434,0.09867505,0.00437969,0.002044171,0.09879335,-0.8464165,0.2729709,0.2755563,0.3648766,137.2,-0.9090931,0.2931843,0.2959611,-0.02322832,1.088635,0.02702209,1.089218,0.04326329,-0.09295005,-0.04304729,-0.9937986,347.2315,0.389074,-0.8359153,-0.3871315,False
1773038160870,0.0831332,0.03612213,0.9316428,0.2585297,0.967523,0.2212441,0.4603164,0.4714224,-0.7189721,271.9394,0.3183191,0.6622887,0.6782677,-0.07135721,0.9895385,0.2834704,1.031811,-0.08106408,1.000887,0.2939181,1.046296,-0.08265565,0.9779804,0.3007072,1.0265,-0.02182821,-0.07169195,0.1142816,0.136662,-0.01915805,-0.0740535,0.1339508,0.1542523,-0.0009924649,-0.08622687,0.119407,0.1472891,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.01964102,0.04598076,0.05,0.5,0,0,0.8660254,60,1,0,0,0.02980466,-0.141756,0.04691141,0.1522622,0.01697812,-0.1349306,0.03172376,0.1396457,0.001976641,-0.146213,0.02790244,0.1488647,0.03268929,-0.06608295,0.1165005,0.1378691,0.01862134,-0.07676584,0.1016886,0.1287646,0.002167949,-0.08658265,0.1103095,0.1402478,0,0,0,0,0,0,0,0,0,1,0,0,-0.04788815,0.9954813,0.2979457,1.040215,0.01219129,-0.02122608,-0.006661869,0.9996782,2.907207,0.4805937,-0.836755,-0.262618,0.09788815,0.004518688,0.002054274,0.09801392,-0.8460016,0.2738468,0.2760153,0.3648355,137.2051,-0.9086316,0.2941199,0.2964489,-0.023339,1.088611,0.02704713,1.089197,0.04309976,-0.09285444,-0.04327048,-0.9938049,347.238,0.3878006,-0.8354805,-0.3893367,False
1773038160884,0.0974142,0.03710643,0.9311963,0.2579257,0.966969,0.2243803,0.4590867,0.4721616,-0.718301,271.8288,0.3225095,0.659861,0.6786539,-0.06994621,0.9898248,0.2830187,1.031865,-0.07968996,1.001734,0.293896,1.046994,-0.08137766,0.9784544,0.3005735,1.02681,-0.02195658,-0.07161525,0.1143129,0.1366685,-0.0191467,-0.07381683,0.1346697,0.1547626,-0.0009512532,-0.0862169,0.119698,0.1475191,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.01964102,0.04598076,0.05,0.5,0,0,0.8660254,60,1,0,0,0.02980466,-0.141756,0.04691141,0.1522622,0.01697812,-0.1349306,0.03172376,0.1396457,0.001976641,-0.146213,0.02790244,0.1488647,0.03268929,-0.06608295,0.1165005,0.1378691,0.01862134,-0.07676584,0.1016886,0.1287646,0.002167949,-0.08658265,0.1103095,0.1402478,0,0,0,0,0,0,0,0,0,1,0,0,-0.04642591,0.9955814,0.2974683,1.040108,0.0106413,-0.01937749,-0.009216039,0.9997131,2.744612,0.4443237,-0.8091001,-0.3848124,0.09642591,0.004418612,0.002531737,0.09656028,-0.8442315,0.2757336,0.2781417,0.3658983,137.0743,-0.9071369,0.2962791,0.2988666,-0.0234444,1.088599,0.02709908,1.089189,0.04305815,-0.09269404,-0.04334017,-0.9938186,347.2523,0.387856,-0.8349625,-0.3903964,False
1773038160899,0.1113793,0.03817255,0.9306996,0.257278,0.9663596,0.2290277,0.4572369,0.4733259,-0.7172471,271.6553,0.328676,0.6561775,0.6792667,-0.06823497,0.9903878,0.2826355,1.032185,-0.07797572,1.002804,0.293897,1.047889,-0.07984971,0.9792958,0.3005794,1.027494,-0.02208159,-0.0715194,0.1143541,0.1366729,-0.019126,-0.07363503,0.1353049,0.1552268,-0.0008982536,-0.08622234,0.1200719,0.1478254,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.01964102,0.04598076,0.05,0.5,0,0,0.8660254,60,1,0,0,0.02980466,-0.141756,0.04691141,0.1522622,0.01697812,-0.1349306,0.03172376,0.1396457,0.001976641,-0.146213,0.02790244,0.1488647,0.03268929,-0.06608295,0.1165005,0.1378691,0.01862134,-0.07676584,0.1016886,0.1287646,0.002167949,-0.08658265,0.1103095,0.1402478,0,0,0,0,0,0,0,0,0,1,0,0,-0.04463644,0.9959023,0.2970018,1.040204,0.00837424,-0.01666156,-0.01308508,0.9997405,2.610726,0.3675963,-0.7313769,-0.5743837,0.09463644,0.0040977,0.002998233,0.09477255,-0.8415838,0.278594,0.2813062,0.3674084,136.8882,-0.9048708,0.2995442,0.3024604,-0.0235225,1.088585,0.02715102,1.089177,0.04327542,-0.0923386,-0.04360769,-0.9938306,347.2646,0.3901888,-0.8325624,-0.3931847,False
1773038160911,0.1246518,0.0392316,0.9301946,0.2566401,0.965746,0.2341518,0.4551646,0.4746742,-0.7160186,271.4535,0.3354219,0.6520224,0.6799699,-0.06642552,0.9910796,0.2823013,1.03264,-0.07614593,1.003846,0.2938559,1.04874,-0.07823986,0.9802499,0.3006238,1.028293,-0.02220318,-0.07138529,0.1144179,0.1366758,-0.01909848,-0.07352117,0.1357748,0.1555793,-0.0008447251,-0.08623307,0.1204337,0.1481254,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.01964102,0.04598076,0.05,0.5,0,0,0.8660254,60,1,0,0,0.02980466,-0.141756,0.04691141,0.1522622,0.01697812,-0.1349306,0.03172376,0.1396457,0.001976641,-0.146213,0.02790244,0.1488647,0.03268929,-0.06608295,0.1165005,0.1378691,0.01862134,-0.07676584,0.1016886,0.1287646,0.002167949,-0.08658265,0.1103095,0.1402478,0,0,0,0,0,0,0,0,0,1,0,0,-0.04276184,0.9963048,0.2965554,1.040383,0.005902964,-0.01368809,-0.01743585,0.9997368,2.628654,0.2573496,-0.5967552,-0.7601451,0.09276184,0.00369525,0.003444642,0.0928993,-0.8386309,0.2818098,0.2848079,0.3690068,136.6913,-0.90231,0.3032083,0.3064339,-0.02358238,1.088579,0.02719824,1.089174,0.0432767,-0.09210324,-0.04391,-0.993839,347.2733,0.3904672,-0.8310082,-0.3961812,False
1773038160926,0.1385847,0.03992936,0.9297825,0.2553232,0.9650284,0.2471505,0.4495019,0.474139,-0.7155815,271.3817,0.3538156,0.6434976,0.6787677,-0.06428173,0.9926722,0.2821201,1.033984,-0.0738502,1.006866,0.2945474,1.051661,-0.07635197,0.9839777,0.3022837,1.032191,-0.02240369,-0.07128531,0.1144633,0.1366945,-0.01908057,-0.07308347,0.1373539,0.1567525,-0.000578218,-0.08568919,0.122916,0.1498376,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.01964102,0.04598076,0.05,0.5,0,0,0.8660254,60,1,0,0,0.02980466,-0.141756,0.04691141,0.1522622,0.01697812,-0.1349306,0.03172376,0.1396457,0.001976641,-0.146213,0.02790244,0.1488647,0.03268929,-0.06608295,0.1165005,0.1378691,0.01862134,-0.07676584,0.1016886,0.1287646,0.002167949,-0.08658265,0.1103095,0.1402478,0,0,0,0,0,0,0,0,0,1,0,0,-0.04029984,0.9976003,0.2959524,1.041354,0.001335034,0.003701492,0.02446378,-0.999693,357.1603,0.05388077,0.1493889,0.9873357,0.09029984,0.002399683,0.004047602,0.09042236,0.8310935,-0.2859461,-0.293937,-0.3756591,224.1301,0.896775,-0.3085445,-0.3171669,-0.02364836,1.088586,0.0272423,1.089184,0.04346983,-0.09200871,-0.0440049,-0.9938352,347.2693,0.392087,-0.8298956,-0.3969132,False
