Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773050875551,0,1,1,135,-0.6023867,0.4629844,-0.650212,1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,0,0,0.1,-0.5565327,0.4277419,-0.6007176,0.3826834,135,-0.6023867,0.4629844,-0.650212
Trial Start,1773050880369,0,1,1,135,-0.6023867,0.4629844,-0.650212,1,-0.05020212,0.999843,0.3001822,1.045139,0.00303619,-0.002133237,0.001529658,0.999992,0.4597004,0.7568452,-0.5317619,0.3813049,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1002021,0.0001569986,-0.0001821816,0.1002024,-0.557063,0.4295273,-0.6011866,0.3791592,135.4368,-0.6020145,0.4641876,-0.6496987
Grab,1773050882217,1.855095,1,1,135,-0.6023867,0.4629844,-0.650212,1,-0.06635003,0.9660137,0.314174,1.017983,0.6073426,-0.3034139,-0.4022905,0.6141966,104.2129,0.7696131,-0.3844804,-0.509775,0.1051258,-0.07895455,0.02879691,0.1345902,0.332461,0.7161444,-0.5349727,0.3006842,145.0026,0.3485926,0.7508929,-0.5609305,0.1231869,0.03427723,-0.4604525,0.4778771,0.246229,-0.4924763,0.7908977,0.2670564,149.0216,0.2555089,-0.5110368,0.820705,0.11635,0.03398633,-0.01417401,0.1220381,-0.2198979,0.9675583,-0.1240827,0.008917005,178.9782,-0.2199067,0.9675968,-0.1240876
Release,1773050882662,2.299391,1,1,135,-0.6023867,0.4629844,-0.650212,1,-0.06474943,0.9697329,0.2852945,1.0129,0.2252177,-0.1141651,-0.5611842,0.7882357,75.95811,0.3659855,-0.1855217,-0.9119409,0.1261001,-0.1024079,0.02385812,0.1641884,0.3016604,0.8005063,-0.483706,0.1849849,158.6795,0.3069581,0.8145645,-0.4922006,0.1368955,0.05249638,-0.4487683,0.4721115,0.1771979,-0.8154224,0.4434471,0.3271726,141.8055,0.1875181,-0.8629133,0.4692738,0.1147494,0.03026712,0.01470554,0.1195817,-0.2162431,0.8284602,-0.2259527,0.4645838,124.6334,-0.2441965,0.9355538,-0.2551613
Grab,1773050883899,3.53586,1,1,135,-0.6023867,0.4629844,-0.650212,1,-0.04864971,0.9852734,0.2738294,1.023774,0.197511,-0.07524303,-0.5818134,0.7853796,76.4884,0.3190734,-0.121553,-0.9399029,0.1061005,-0.0616451,0.02914934,0.1261234,-0.1792619,0.7382227,0.5175008,0.3938089,133.6166,-0.1950211,0.8031211,0.5629951,0.1344114,0.06789217,-0.4589135,0.4829879,0.1682858,-0.8125608,0.4196019,0.3679119,136.8262,0.1809796,-0.8738522,0.4512524,0.09864971,0.01472658,0.02617061,0.1031191,-0.2186079,0.8071805,-0.2065325,0.5079514,118.9451,-0.2537863,0.937072,-0.2397677
Release,1773050884523,4.162221,1,1,135,-0.6023867,0.4629844,-0.650212,1,0.002687033,1.01435,0.2464095,1.043854,-0.9454594,-0.1075815,-0.2830836,0.1199851,166.2175,-0.9523394,-0.1083644,-0.2851436,0.09928969,-0.08025422,0.04762861,0.1362632,-0.257941,0.139137,0.5744617,0.7642652,80.31669,-0.3999691,0.215749,0.8907734,0.1442879,0.1252539,-0.4642013,0.5019864,0.06833649,-0.6120259,-0.7011602,-0.3593452,222.12,0.07322776,-0.6558324,-0.7513466,0.04731297,-0.01434994,0.05359049,0.0729135,0.4807489,-0.3179165,-0.4280309,0.6961316,91.76508,0.6696467,-0.4428336,-0.5962146
Grab,1773050885759,5.396875,1,1,135,-0.6023867,0.4629844,-0.650212,1,0.01444153,1.02019,0.2545561,1.051568,-0.9414874,-0.3159919,0.1021123,-0.05765209,186.6101,-0.9430559,-0.3165183,0.1022824,0.1038615,-0.09588537,-0.003892093,0.1414085,-0.4066251,0.332002,0.7102319,0.4690432,124.0556,-0.4604127,0.3759185,0.80418,-0.2190045,-0.04416836,-0.2068079,0.3044393,-0.1530417,-0.7895805,-0.2981082,-0.5140743,241.8712,-0.1784232,-0.9205299,-0.3475485,0.03555847,-0.02019036,0.04544392,0.06113268,0.5385211,-0.5261322,-0.5830175,0.3054025,144.4352,0.5655407,-0.5525302,-0.6122696
Release,1773050886149,5.785638,1,1,135,-0.6023867,0.4629844,-0.650212,1,0.04739721,1.018493,0.2750838,1.056052,-0.9613325,0.005778996,0.2359351,0.1419193,163.6822,-0.9711624,0.005838088,0.2383476,0.1101567,-0.1003545,-0.005079111,0.1491017,-0.1648958,0.2786287,0.8090986,0.4904436,121.2605,-0.189215,0.3197216,0.9284265,-0.2510993,-0.007982817,-0.2027317,0.322823,-0.5292072,-0.7114235,-0.2137667,-0.4100247,228.4128,-0.5802237,-0.780006,-0.2343742,0.002602786,-0.01849282,0.02491626,0.03113806,0.1845124,-0.6503016,-0.5835278,0.4500647,126.5043,0.2066218,-0.7282246,-0.6534496
Grab_left,1773050886969,6.605479,1,1,135,-0.6023867,0.4629844,-0.650212,1,0.05525107,1.025276,0.2700551,1.061684,-0.9460379,0.09073806,0.1583414,0.2677818,148.9354,-0.9818972,0.09417746,0.1643433,0.1077265,-0.09517852,0.002462446,0.1437707,-0.1649911,0.3522678,0.7604514,0.5199992,117.3356,-0.1931603,0.412411,0.8902844,-0.1185799,0.08973768,-0.03122372,0.1519505,-0.6618873,-0.6542641,-0.3432779,0.1265078,165.4643,-0.6672482,-0.6595632,-0.3460582,-0.005251069,-0.02527595,0.02994493,0.03953664,0.0907665,-0.5766063,-0.5756171,0.5726707,110.1267,0.1107198,-0.7033623,-0.7021557
Release,1773050887567,7.203182,1,1,135,-0.6023867,0.4629844,-0.650212,1,0.05290177,1.038288,0.2775637,1.076049,-0.3815589,0.5485469,-0.28576,0.6869137,93.22742,-0.5250288,0.7548058,-0.3932085,0.1264591,-0.08630287,0.03641631,0.1573729,0.09420987,0.8830816,0.4437805,0.1197925,166.2397,0.09489321,0.8894869,0.4469993,-0.1282876,0.1021767,0.02050575,0.1652824,-0.5963203,-0.1295265,0.1361471,0.7804416,77.39798,-0.9537632,-0.2071666,0.2177556,-0.00290177,-0.03828752,0.02243635,0.04447184,-0.4435639,0.01372758,-0.16121,0.881518,56.34795,-0.9394547,0.02907459,-0.3414377
